0.283468-0.0503186j 0.116814+0.115589j -0.118419-0.151976j -0.141283+0.112066j 0.0722799+0.0696625j 0.0121883-0.0953615j 0.00663822-0.0809948j 0.0192562-0.0133818j 0.0667988-0.0844307j -0.0219337-0.121297j 0.00890219-0.00535042j 0.0212328-0.0199568j -0.160983-0.125701j -0.0434433-0.0310498j -0.0599743+0.00155373j 0.0217698+0.0194013j 0.0812076+0.0500137j -0.121095-0.11417j -0.0279978-0.0620608j 0.0108959-0.0903108j -0.00612033-0.00202587j -0.0635986-0.0992883j -0.110612+0.139592j 0.0391032+0.075196j 
-0.0764175-0.000134786j 0.00465877+0.00906904j 0.00856052+0.0958121j -0.0228113-0.0360739j -0.0120548+0.0369708j 0.00918662-0.000424912j 0.0618331+0.106118j -0.0413939+0.0700978j 0.044315-0.0489917j -0.00928509-0.000424968j -0.00631408-0.0250052j -0.0466044-0.105236j -0.0808073-0.0335269j -0.0831781+0.120417j 0.159507+0.077166j -0.26937+0.273084j 0.135656-0.127903j 0.33009+0.289088j 0.0266404-0.0747347j 0.217461-0.0690473j 0.113189-0.121503j -0.177225+0.0379092j -0.00869531-0.0234782j -0.0645685+0.0366299j 
0.0442568+0.0831344j -0.038472-0.11657j 0.0491404-0.0548749j 0.0937501+0.0658506j 0.027972-0.0863359j -0.0186926+0.0615647j -0.0166301+0.0169805j -0.0183679-0.0208183j -0.00406393-0.0400851j -0.0861141-0.0532062j -0.0134982-0.00677589j -0.082061+0.0162384j 0.0360298+0.222115j -0.157545-0.0997283j 0.0454994-0.0271388j -0.132329-0.000501405j -0.0785027-0.0914888j 0.114536+0.25594j -0.0653648+0.017094j 0.183892+0.0738302j 0.0209645+0.0576116j 0.0123627+0.0294963j 0.14949+0.056646j -0.136745+0.0166634j 
0.0412454-0.00394394j -0.0196487+0.000538546j -0.0828858-0.051629j -0.0453795-0.00292379j -0.0283719-0.0158895j -0.161924-0.119636j 0.0310725-0.140724j -0.0428932+0.0271369j -0.0622544+0.0120832j 0.0294593-0.0468985j -0.218072-0.0771572j -0.123709+0.110233j -0.0361871-0.123792j -0.301262-0.266754j -0.123337-0.236154j -0.184034+0.170787j 0.272213+0.157092j 0.134669+0.0396251j -0.272884+0.0347909j 0.00667097-0.0118051j -0.0201463+0.0466301j 6.2794e-05+0.0531715j -0.0980275+0.0251967j 0.0836743-0.0288115j 
-0.0139706-0.0149112j -0.00938314+0.0395902j -0.0926+0.0791045j -0.035343+0.0259389j -0.0759383+0.0425554j 0.0500436-0.0298656j -0.0880026-0.0323003j -0.0886476-0.120157j -0.101524-0.0141138j -0.00826157+0.0505532j -0.0530472-0.04605j -0.0390531+0.0446206j 0.203217+0.0191874j 0.0323607-0.0792798j -0.0620347-0.00367546j -0.0550194-0.161217j -0.0812857-0.0918481j 0.0367997+0.00844278j 0.0983758+0.0619027j 0.0349941+0.171855j -0.0378764-0.164364j 0.0323348-0.0327856j -0.167272-0.119336j 0.0230725-0.142533j 
-0.00124911+0.0259573j -0.0540407-0.0515502j 0.0393599-0.0196725j 0.0426321+0.0433722j 0.0633216+0.00513286j -0.118974-0.0221514j -0.0627099-0.0927269j -0.0332709+0.048033j -0.109764+0.0831233j -0.0278781+0.0830743j -0.0818376-0.0280325j -0.0409471+0.0900536j 0.0857095+0.00144224j -0.0933224-0.125755j -0.109272-0.110291j -0.0298664+0.0146931j -0.0380349+0.153186j -0.0316002-0.0634663j -0.123148+0.0494308j -0.0762239+0.0629839j -0.0888454+0.127533j 0.116644+0.0614867j 0.00726736+0.0318867j 0.017775-0.0318619j 
0.0531662+0.0222192j -0.108922-0.0421523j -0.00613696-0.100202j 0.0542395-0.00152473j -0.0123972-0.105085j 0.0163378-0.00673457j 0.0788209-0.00926975j -0.000889493-0.023275j 0.00515087-0.100603j -0.0483261-0.0539251j 0.016521-0.000321181j -0.019872+0.030055j 0.0937005+0.170132j -0.0903797-0.00822179j -0.0813648-0.149355j 0.0333832-0.0652334j -0.100477-0.0325704j 0.17423+0.18058j -0.0712742+0.196276j -0.0664832+0.178165j 0.0409539+0.0112769j 0.0454665+0.140323j 0.142453-0.139307j 0.0309375+0.0291525j 
-0.0339653-0.0191899j 0.0789915+0.0385544j 0.0615799+0.176634j -0.0668338-0.0188419j 0.0601278+0.122777j -0.0376297-0.0494681j -0.00193347+0.0136412j -0.0272152+0.14149j -0.0474031+0.0496421j 0.0594526+0.0910239j 0.011129-0.0552725j 0.0192417-0.118614j -0.0671918-0.176271j 0.201024+0.21144j -0.0309228+0.0708828j -0.115482+0.153678j 0.0344355+0.0724535j 0.0525301+0.0731744j -9.76539e-05+0.0128969j -0.244867+0.198945j -0.0527817-0.0275422j -0.0169578+0.20354j -0.00330415-0.101686j 0.0728066-0.067943j 
0.0297176+0.0539737j -0.0555579-0.0661294j 0.0368716-0.0839833j 0.016036+0.018372j 0.0220867-0.0543866j 0.0070536+0.044755j 0.0338844+0.0943044j -0.00203453-0.0325907j 0.0377501-0.0256756j 0.0548697+0.0192578j -0.0234383+0.00985991j -0.0140934+0.0128299j 0.0207163+0.152585j 0.0116353-0.0343483j -0.0494489+0.000702372j -0.0130947-0.0198219j 0.0698784-0.109363j -0.0278111+0.00114583j -0.069226-0.011788j -0.0488941+0.0374916j 0.131281-0.0534178j 0.0170488+0.0494535j 0.129267-0.0775042j 0.0862465+0.0481972j 
-0.0287669-0.00646041j -0.0472537-0.0122016j 0.0491124+6.27371e-05j 0.0339371+0.00185252j 0.0386946+0.0111828j 0.100664+0.0743224j -0.0612076+0.075801j 0.00854177-0.00484959j 0.0643595+0.053554j 0.0430539+0.00109567j 0.0517983+0.0141254j -0.0111024-0.0746476j 0.00249473-0.0191255j 0.0748247+0.106364j -0.0211675+0.061615j 0.0137148+0.00761713j -0.144657-0.041638j -0.00386375+0.0557189j 0.0545034+0.0473796j -0.0423357+0.088783j -0.0386644+0.051679j 0.00130047+0.0586764j 0.0888849-0.0660863j -0.00466763+0.0159064j 
0.0698102-0.0169073j -0.0918852+0.00459637j -0.020487-0.0401196j 0.0495607-0.0557234j -0.00565371-0.0358801j -0.00951756+0.0112589j 0.0740432-0.0100474j -0.00574778+0.0361904j -0.0286639-0.039888j -0.0148719+0.0387997j -0.0273875-0.00126445j -0.0856059+0.0461536j 0.145636+0.0497012j -0.022991+0.001234j 0.0146899+0.128393j -0.0877317+0.191859j -0.0812052-0.10139j -0.0996954-0.0100425j -0.130185-0.0489557j 0.0194492+0.0326885j 0.0292835-0.0820203j 0.0419598-0.0378259j -0.0155363-0.0264999j 0.0155419-0.0462833j 
-0.00466725-0.0186302j -0.0108308+0.00715512j 0.0161858-0.0189155j 0.00597765+0.00732486j -0.00907025-0.00690866j -0.00451739-0.0191489j -0.0516072+0.02558j 0.0251605-0.0192714j -0.00916508+0.00637784j -0.042201+0.0165001j 0.0202436+0.0029254j 0.0376722+0.0206967j -0.00504251-0.0195495j -0.0449223-0.0206445j 0.0245764-0.102556j 0.0609895-0.0416477j -0.0195905+0.0368516j 0.136192+0.062183j 0.0122352+0.101301j 0.0468651-0.00895065j -0.0257418+0.0472186j -0.0297347+0.014695j -0.0170317+0.0320999j -0.0510137+0.0248099j 
-0.0254796-0.0163436j 0.0240511+0.0120496j -0.0450899-0.0102813j -0.0335486-0.00399763j -0.0785136-0.0296279j -0.00832016-0.0111191j 0.0251087-0.0507015j 0.0106333-0.0492662j -0.0140415+0.00222043j 0.0325969+0.0171501j -0.0300943+0.0204466j 0.0403338+0.0550944j 0.0310167+0.0588547j 0.0282871-0.119254j -0.0317833-0.0385139j 0.161715-0.128624j 0.0622298-0.00753695j -0.10007-0.0917324j -0.0373342+0.0646897j -0.0410946-0.0678446j 0.0447854-0.0367259j 0.0217965-0.0512946j -0.0445818-0.0531494j 0.0524498-0.0416897j 
-0.0287166+0.0165449j 0.000347146-0.0223155j 0.071892+0.0599056j 0.0817514-0.0150912j 0.0286287+0.0144459j 0.00996094+0.012938j -0.0206461+0.0264021j -0.0654176+0.0190945j -0.00947832+0.0358283j -0.0819972-0.00279109j 0.0198768-0.0291924j -0.0362329-0.0219013j -0.0032124-0.0321763j -0.0131397+0.0510698j -0.0385869+0.0535646j -0.0560651+0.0857139j -0.173021+0.0769937j -0.0460298-0.0485328j -0.0181462+0.0029005j 0.0198313+0.0358524j -0.0962606+0.147001j 0.0783096+0.00651773j 0.0645237+0.085459j -0.0699738+0.0369119j 
-0.0107759-0.0316954j 0.0552155+0.0475372j -0.0450371+0.0335724j -0.0703375-0.0151627j -0.00298904+0.05712j 0.0687243-0.0468166j 0.0358565+0.0456224j -0.0800378-0.0340696j 0.0287363-0.034296j 0.0402552+0.0283262j -0.0705318-0.0443178j -0.00395928-0.0029272j -0.0178338-0.0452285j 0.0389774+0.0300245j 0.0717005-0.00496116j -0.0311505+0.0573408j 0.177277-0.0387943j 0.0844659+0.0743247j 0.0142577-0.0192414j -0.041137+0.0129397j 0.0273833-0.126219j -0.040472+0.0409232j -0.0583736-0.0488773j 0.0454769-0.061411j 
0.0285632+0.00107545j 0.0282898+0.000162432j -0.00480193-0.00754569j 0.00512225+0.00203072j -0.0095703-0.00540026j 0.0144718-0.000649466j -0.0256877-0.0115699j -0.0149675+0.00517675j 0.00507729-0.0026818j 0.00339035-0.00898983j -0.00724208+0.0045724j 0.00485915+0.00329498j -0.000170776+0.00404157j -0.0208902-0.0260546j 0.00996586+0.0216533j 0.0168255-0.0048406j -0.0122169+0.000949752j -0.00735861+0.000642964j -0.0197034+0.03591j 0.0116906-0.0169859j 0.0132268-0.000993422j 0.0225192-0.00556689j -0.00706429-0.00268066j 0.0108921+0.000639038j 
-0.00121553+0.0024128j -0.000524254+0.0102638j 0.0139166-0.000551349j -0.00698311+0.0118356j -0.0125517-0.0105542j 0.00800599+0.00847769j 0.00405808+0.00574183j -0.0107888+0.00393269j 0.00446755+0.011235j -0.0067339+0.0110115j 7.82418e-05-0.0105345j 0.0099206-0.0169514j 0.00403528+0.0063197j 0.00573946+0.00803834j -0.0452597-0.0261921j 0.0267762-0.000640252j -0.00206603+0.00452534j 0.0166603-0.0164983j -0.0178827+0.0472043j 0.0024638-0.00753436j -0.0031144-0.00539987j -0.0157635-0.00270669j -0.000644276+0.000603006j 0.00127007-0.00418939j 
-0.0175075+0.0057489j 0.0184248-0.00838347j 0.00459617+0.0547495j 0.00039046-0.0084597j 0.00785068+0.00700726j 0.0134045-0.0030004j -0.0189188+0.0439266j -0.0397697-0.0359093j 0.0101306+0.00173027j -0.00935183-0.0173021j -0.00780747+0.00101908j -0.000541419+0.0290125j -0.0254274-0.00728191j -0.000341604+0.0285432j -0.00390768+0.00587494j -0.00318511+0.00641531j -0.0263956+0.00369726j -0.00784453-0.0191612j 0.0170215-0.0238024j 0.00714095+0.0199244j 0.0196259+0.0191811j 0.0136555-0.0157918j 0.00392833-0.000167902j 0.000899092+0.0183808j 
0.00232909-0.0357846j -0.0105859+0.0483302j -0.0324245-0.0384935j -0.0177259-0.0746217j -0.0134062-0.0274545j 0.0349102+0.00796281j 0.0199079-0.0189954j 0.0060856+0.0162534j 0.0100052-0.0120673j 0.030239+0.0292069j 0.00684656+0.00959025j -0.0191849+0.014433j 0.0205554-0.0273736j -0.0170929+0.0821899j -0.0188967-0.0264221j 0.060562+0.0523753j -0.0116925+0.0394617j 0.0209625-0.0549414j 0.00423525-0.00412955j -0.00272954-0.0594367j 0.0180133+0.00462705j -0.0175872-0.0078698j 0.0314853+0.00262454j 0.0407503+0.0116183j 
0.00412765+0.0103941j -0.0188425-0.0155341j 0.0175817+0.0218067j 0.0264898+0.00831551j 0.0116636+0.0205709j -0.0381233-0.0162641j -0.00528629-0.0226322j -0.0142563+0.0176073j 0.000548201+0.0552876j 0.00593786+0.00172249j -0.0629259-0.00221593j -0.0904752+0.0195548j -0.0224303-0.0201928j -0.0675461-0.0692744j -0.125533-0.0517538j -0.0313887+0.0491762j -0.0603226+0.108892j -0.0459399-0.049993j -0.056599+0.0227906j -0.0479999+0.0231831j -0.0609114+0.140089j 0.0255263+0.0400589j 0.0209378+0.0106459j 0.000596002-0.00518261j 
0.000126027+0.0105135j 0.00499108+0.0166075j -0.00179214-0.0162785j 0.0239346-0.0120214j -0.0231239-0.015166j 0.0273614-0.027444j -0.0261753-0.00146731j -0.000941659+0.0169554j -0.00149452-0.0237644j -0.0188261-0.00553735j 0.00437563+0.0330916j 0.025054+0.0304769j 0.034105-0.00328984j 0.00757375-0.0181553j 0.0176911+0.00452967j 0.0187296-0.0349994j 0.0132469-0.00549292j -0.0144074-0.0160893j -0.0132903-0.0149528j 0.00712719-0.023751j -0.0388511-0.00308718j 0.0110734-0.0060799j -0.0124679+0.0258537j -0.00912236-0.00928914j 
0.0225189+0.00633617j -0.00317092-0.00204863j -0.0110697+0.00242533j 0.0027863+0.0171398j 0.00924448+0.0362501j -0.0391783-0.0178095j 0.00494694-0.0128132j 0.0192863+0.0311451j 0.00664203+0.00457899j 0.00921613-0.0264684j -0.0275122+0.0139568j -0.0323747-0.00229577j -0.0325039-0.0211006j -0.074321-0.0427652j 0.0130908+0.0156769j -0.0662076+0.0614647j 0.0211332+0.0361783j 0.0266165+0.0550681j -0.0193647+0.0192355j -0.00664497-0.00356964j 0.00095448+0.0147762j 0.00117437+0.0370723j -0.0225429-0.0171617j 0.0138273-0.00590407j 
0.00237329+0.0174718j 0.0344161-0.0121094j -0.018662+0.0491904j -0.00501941+0.0509781j 0.0170712+0.0177776j -0.00816018+0.00082732j -0.00235903-0.013771j -0.0451806-0.00880063j -0.00320718+0.0125856j -0.00216039-0.0285041j -0.0114005-0.00600942j 0.0478673-0.0483297j -0.0344499+0.00972589j 0.00790616-0.0316126j 0.0150151-0.0258544j -0.0526735-0.0586672j 0.0202487-0.0198663j 0.0179532+0.0172965j 0.0157051-0.0143336j -0.0154614+0.025712j -0.0194934-0.00636956j 0.0380546+0.00453342j -0.00793724-0.00203792j -0.0334332+0.00107626j 
0.00837512-0.00750848j -0.00160247+0.0275693j -0.0269461+0.0122291j -0.0469561-0.0201265j -0.0417278-0.00137825j -0.00369388+0.025332j 0.0134942-0.0248596j 0.0165405+0.0146334j -0.010111+0.0086144j 0.0362377+0.0159563j -0.016384+0.00971373j 0.022105-0.0266634j -0.000638711+0.00156725j 0.0585153+0.027789j -0.0220808+0.00860247j -0.00978492-0.00470452j 0.0194872+0.020987j -0.0400056-0.032061j -4.40796e-05-0.0329093j -0.0246137+0.00643313j -0.0079949-0.0468946j 0.00145315+0.00442506j 0.0167509+0.0051316j -0.000814388-0.0344899j 
0.0155902+0.00490456j 0.00186302-0.00515624j -0.00357034-0.0268354j -0.014294+0.0392871j 0.024034-0.00204535j -0.0283839+0.0082836j -0.00863233-0.0602737j 0.0229707+0.0343423j -0.0169199-0.00233502j 0.0113704+0.000743272j -0.00196617+0.00952458j -0.0382713-0.00467888j 0.0120347+0.0479584j -0.042057-0.0372966j -0.00143907-0.0104224j 0.0145793+0.0060537j 0.0161442+0.0242687j 0.00142237-0.00762906j -0.00791905+0.0104762j 0.0195633-0.0359388j 0.0226905-0.010791j 0.00478142-0.022641j -0.0053911+0.00944839j -0.002533+0.00382797j 
0.045846+0.0380023j -0.0284614-0.0251769j 0.00289957-0.0497078j 0.0103417-0.0170302j 0.0076168-0.0221302j -0.00236638-0.0314979j 0.083483+0.0973879j -0.00339909+0.0437215j 0.00673632-0.0221818j 0.0429753+0.0407914j -0.0303834-0.0184731j -0.0640851-0.0274519j 0.0446961+0.0487717j 0.0129065-0.0118924j -0.0307665+0.0127313j -0.0562509+0.0547188j 0.00168142-0.0565722j -0.033761-0.0446204j -0.013697-0.00765969j -0.0173317+0.0226621j 0.0428574-0.0452383j 0.0138113-0.0227832j 0.0399329-0.037828j 0.0374041-0.0239471j 
-0.0457992-0.0330091j 0.0938593+0.0278749j 0.026931+0.116768j -0.0563991+0.00768855j 0.0379634+0.0588842j 0.0013117-0.00449608j 0.00381503+0.0394022j -0.0213766+0.0118854j -0.00116219+0.00904799j 0.0635087-0.0215194j 0.0532996+0.0275733j -0.0134855+0.00287804j -0.0418368-0.0343189j 0.0209688+0.0961755j 0.0070769+0.0643855j -0.00333277+0.0771026j 0.0352471+0.0377066j 0.00315901+0.0248334j 0.0199174-0.03409j -0.0196788+0.0147442j 0.0350283-0.0268635j -0.022031+0.0387701j -0.00960742-0.0341796j 0.0319791-0.0229792j 
0.0247484-0.0444601j 0.0247558+0.0634758j -0.117546-0.0553629j -0.122835-0.0553212j -0.0199018+0.00722658j -0.0256019-0.0623272j 0.0198005-0.0234265j -0.00849725-0.00710653j -0.00862348-0.0336938j 0.0829109+0.0233144j -0.0541852-0.0181023j -0.0145513+0.0071719j -0.0555485-0.0624753j -0.0374808-0.0477557j -0.028645-0.0417291j -0.0282548+0.0129016j 0.0790451+0.0349833j -0.0146583-0.0354257j -0.0411145-0.0293545j 0.00236509-0.0175142j 0.0625533-0.014654j -0.00862661-0.0094567j -0.0247791+0.0206878j 0.0653154-0.0326813j 
-0.066552-0.0226584j 0.105855+0.0753315j -0.00385233+0.00731704j -0.0654725-0.060705j 0.0153529+0.0410938j -0.00925679-0.0358027j -0.0144043-0.0505854j 0.0324137-0.0191326j -0.0146878+0.00356204j 0.0633899+0.0617095j 0.0562368-0.0208473j 0.00749597-0.00907372j -0.0258665-0.111104j 0.0261624-0.0068594j 0.0385752-0.0281277j 0.100593-0.0297123j 0.0327612+0.063851j 0.00354954-0.0129888j 0.0433424+0.0128162j -0.0052688-0.0255954j -0.0104402+0.0536151j -0.0297179-0.00367051j -0.0384997+0.0699501j -0.0106039+0.00697057j 
-0.00506243-0.0246198j -0.0179351+0.0645106j 0.0395651+0.0848351j 0.049297-0.0425028j -0.00960273+0.0844858j 0.00399423-0.0158488j -0.0264313+0.0169162j -0.0527092+0.0416226j -0.028973+0.0176476j -0.0634482+0.0985147j -0.0109438+0.0722843j 0.0238937-0.0171834j 0.0373756-0.0269771j 0.00258842+0.0255838j -0.00723147+0.0310368j -0.0741038+0.0784482j -0.0713425+0.0418565j 0.0102597+0.0098042j -0.00601937-0.012208j -0.00681685+0.0400791j -0.085143+0.0888904j 0.0229144+0.038606j 0.022704+0.0402548j -0.0598641+0.0332908j 
