-0.221902-0j 0.756529-0j -0.204667-0j -0.206788-0j -0.179083-0j -0.147736-0j -0.0472024-0j -0.029055-0j -0.032158-0j 0.0767293-0j -0.0169487-0j 0.0775245-0j -0.0296603-0j -0.0104865-0j -0.0173018-0j -0.0183514-0j -0.010705-0j -0.00279265-0j -0.0189018-0j -0.00272824-0j -0.0206279-0j -0.00297737-0j -0.0159783-0j -0.00230626-0j -0.0161439-0j 0.0440222-0j -0.00233016-0j 0.00635406-0j 0.0544747-0j -0.0120329-0j 0.00786275-0j 0.0317769-0j -0.0104208-0j -0.0017368-0j 0.0045866-0j -0.00150411-0j -0.01489-0j -0.00744499-0j -0.00214918-0j -0.0061418-0j -0.00752214-0j -0.00107459-0j -0.000886493-0j -0.00108573-0j -0.00339886-0j -0.000490584-0j -0.000749379-0j -0.000108164-0j 
0.00605564-0j -0.0268755-0j 0.00558531-0j 0.0596882-0j -0.0192008-0j -0.052237-0j 0.0654669-0j -0.0375063-0j 0.163093-0j -0.032818-0j -0.0218787-0j -0.350715-0j 0.150426-0j -0.0135368-0j 0.289379-0j -0.250563-0j 0.258296-0j -0.515333-0j 0.000515826-0j -0.00711809-0j -0.00221165-0j 0.0305195-0j 0.000436043-0j -0.00601714-0j 0.00465984-0j 0.000398051-0j -0.064303-0j -0.00549287-0j -0.0019352-0j -0.00129013-0j 0.0267046-0j -0.0037228-0j 0.000284381-0j 0.017803-0j 0.0513724-0j -0.00392429-0j 0.00429791-0j -0.000798228-0j -0.0593087-0j -0.00313288-0j -0.0026597-0j 0.0110151-0j 0.0432319-0j 0.0367022-0j 0.00471401-0j -0.0650506-0j -0.000342105-0j 0.00472085-0j 
0.0182609-0j 0.0206279-0j 0.0168426-0j 0.0170171-0j 0.0147373-0j 0.0121576-0j 0.00388442-0j -0.0122022-0j 0.00264637-0j 0.00209214-0j 0.00139476-0j 0.00211382-0j 0.00244082-0j 0.000862962-0j 0.00142381-0j 0.00151018-0j 0.00088094-0j 0.000229815-0j -0.149659-0j 0.000224514-0j 0.833508-0j -0.00125041-0j -0.126511-0j 0.000189789-0j -0.127822-0j -0.115488-0j 0.000191755-0j 0.000173253-0j -0.14291-0j -0.0952731-0j 0.000214389-0j -0.083364-0j -0.0825089-0j 0.000142926-0j 0.00012506-0j 0.000123778-0j -0.117894-0j -0.0589472-0j 0.000176862-0j -0.048629-0j -0.0595581-0j 8.8431e-05-0j 7.29519e-05-0j 8.93474e-05-0j -0.0269112-0j 4.03715e-05-0j -0.00593336-0j 8.90107e-06-0j 
-0.00263573-0j -0.00297737-0j -0.00243102-0j -0.00245621-0j -0.00212714-0j -0.0017548-0j -0.000560667-0j -0.168383-0j 0.0365183-0j 0.0288702-0j 0.0192468-0j 0.0291694-0j 0.0336819-0j 0.0119084-0j 0.0196478-0j 0.0208396-0j 0.0121565-0j 0.00317131-0j -0.000224514-0j -0.144986-0j 0.00125041-0j 0.807481-0j -0.000189789-0j -0.122561-0j -0.000191755-0j -0.000173253-0j -0.123831-0j -0.111882-0j -0.000214389-0j -0.000142926-0j -0.138447-0j -0.00012506-0j -0.000123778-0j -0.0922981-0j -0.0807609-0j -0.0799325-0j -0.000176862-0j -8.8431e-05-0j -0.114213-0j -7.29519e-05-0j -8.93474e-05-0j -0.0571065-0j -0.0471105-0j -0.0576983-0j -4.03715e-05-0j -0.0260709-0j -8.90107e-06-0j -0.00574809-0j 
0.0819413-0j -0.00032497-0j -0.0186413-0j 0.0182983-0j -0.00023217-0j 0.0263374-0j 0.0168911-0j -0.00264637-0j 0.000169026-0j -0.00231557-0j -0.00154371-0j 0.00227296-0j -3.84527e-05-0j -0.000955124-0j 0.00308446-0j 0.00162388-0j 0.00286955-0j 0.00125007-0j 0.165642-0j -0.000248492-0j 0.00257302-0j -3.85998e-06-0j -0.567689-0j 0.000851631-0j 0.557244-0j 0.127822-0j -0.000835962-0j -0.000191755-0j 0.00225139-0j 0.00150093-0j -3.37748e-06-0j -0.180594-0j 0.0913207-0j -2.25165e-06-0j 0.000270922-0j -0.000136997-0j -0.126771-0j 0.000928652-0j 0.000190178-0j -0.158403-0j -0.129023-0j -1.39314e-06-0j 0.000237632-0j 0.000193556-0j -0.117021-0j 0.000175552-0j -0.0387479-0j 5.81285e-05-0j 
-0.0118272-0j 4.69055e-05-0j 0.00269064-0j -0.00264114-0j 3.35109e-05-0j -0.00380148-0j -0.00243802-0j -0.0365183-0j 0.00233245-0j -0.0319535-0j -0.0213023-0j 0.0313655-0j -0.000530624-0j -0.0131801-0j 0.0425636-0j 0.0224086-0j 0.0395981-0j 0.0172502-0j 0.000248492-0j 0.16047-0j 3.85998e-06-0j 0.00249268-0j -0.000851631-0j -0.549962-0j 0.000835962-0j 0.000191755-0j 0.539843-0j 0.123831-0j 3.37748e-06-0j 2.25165e-06-0j 0.00218109-0j -0.000270922-0j 0.000136997-0j 0.00145406-0j -0.174955-0j 0.0884691-0j -0.000190178-0j 1.39314e-06-0j -0.122812-0j -0.000237632-0j -0.000193556-0j 0.000899654-0j -0.153457-0j -0.124994-0j -0.000175552-0j -0.113367-0j -5.81285e-05-0j -0.0375379-0j 
-0.0159783-0j 0.0544747-0j 0.0145009-0j -0.01489-0j 0.0382716-0j 0.0104673-0j -0.00339886-0j -0.00209214-0j -0.00231557-0j -0.00543635-0j -0.00122041-0j 0.00558223-0j 0.00210146-0j 0.00373912-0j -0.00124584-0j 0.00392184-0j 0.000758458-0j -0.000201088-0j 0.130952-0j -0.00019645-0j 0.14291-0j -0.000214389-0j -0.108922-0j 0.000163401-0j 0.111845-0j -0.304986-0j -0.000167786-0j 0.000457531-0j 0.371347-0j 0.083364-0j -0.000557084-0j -0.22015-0j -0.21427-0j -0.00012506-0j 0.000330263-0j 0.000321442-0j -0.101503-0j -0.255412-0j 0.000152272-0j 0.0425504-0j -0.154668-0j 0.000383162-0j -6.38329e-05-0j 0.000232029-0j -0.0231696-0j 3.47584e-05-0j 0.00519169-0j -7.78844e-06-0j 
-0.0106522-0j -0.0120329-0j 0.0490199-0j 0.0495279-0j -0.00859673-0j -0.00709194-0j -0.00226591-0j -0.00139476-0j -0.00154371-0j -0.00122041-0j -0.00566078-0j -0.00123306-0j 0.00710397-0j -0.000503394-0j 0.00414398-0j -0.00088094-0j -0.000513882-0j -0.000134059-0j 0.0873011-0j -0.000130967-0j 0.0952731-0j -0.000142926-0j 0.0737982-0j -0.00011071-0j 0.074563-0j -0.336127-0j -0.000111857-0j 0.000504248-0j 0.083364-0j 0.386677-0j -0.00012506-0j 0.048629-0j -0.24014-0j -0.000580082-0j -7.29519e-05-0j 0.000360252-0j -0.343129-0j 0.0343859-0j 0.000514753-0j -0.141534-0j 0.0347422-0j -5.15848e-05-0j 0.000212325-0j -5.21193e-05-0j 0.0156982-0j -2.355e-05-0j 0.00346113-0j -5.19229e-06-0j 
0.00230626-0j -0.00786275-0j -0.00209302-0j 0.00214918-0j -0.00552403-0j -0.00151082-0j 0.000490584-0j -0.0288702-0j -0.0319535-0j -0.0750184-0j -0.016841-0j 0.0770315-0j 0.0289989-0j 0.0515976-0j -0.0171918-0j 0.054119-0j 0.0104663-0j -0.0027749-0j 0.00019645-0j 0.126863-0j 0.000214389-0j 0.138447-0j -0.000163401-0j -0.10552-0j 0.000167786-0j -0.000457531-0j 0.108352-0j -0.295462-0j 0.000557084-0j 0.00012506-0j 0.359751-0j -0.000330263-0j -0.000321442-0j 0.0807609-0j -0.213276-0j -0.207579-0j -0.000152272-0j -0.000383162-0j -0.0983334-0j 6.38329e-05-0j -0.000232029-0j -0.247436-0j 0.0412217-0j -0.149838-0j -3.47584e-05-0j -0.0224461-0j 7.78844e-06-0j 0.00502958-0j 
0.0161439-0j 0.0534724-0j 0.01489-0j -0.0150382-0j -0.0126578-0j 0.00984329-0j 0.0363225-0j 0.00211382-0j -0.00227296-0j -0.00558223-0j 0.00123306-0j 0.0056378-0j -0.00209642-0j 0.000762917-0j 0.00115278-0j -0.00133456-0j 0.00371858-0j 0.00372269-0j -0.132309-0j 0.000198486-0j 0.14028-0j -0.000210444-0j -0.111845-0j 0.000167786-0j 0.112958-0j 0.308146-0j -0.000169456-0j -0.000462273-0j -0.370456-0j 0.0818301-0j 0.000555749-0j 0.203706-0j -0.0729435-0j -0.000122759-0j -0.000305594-0j 0.000109428-0j 0.104184-0j 0.0506298-0j -0.000156295-0j -0.20527-0j -0.0482206-0j -7.59534e-05-0j 0.000307941-0j 7.23393e-05-0j -0.251642-0j 0.000377506-0j -0.146938-0j 0.000220432-0j 
0.00153751-0j 0.0017368-0j -0.00707542-0j -0.00714874-0j 0.00124083-0j 0.00102363-0j 0.000327056-0j -0.0192468-0j -0.0213023-0j -0.016841-0j -0.0781154-0j -0.0170155-0j 0.0980305-0j -0.00694654-0j 0.0571845-0j -0.0121565-0j -0.00709126-0j -0.00184993-0j 0.000130967-0j 0.084575-0j 0.000142926-0j 0.0922981-0j 0.00011071-0j 0.0714938-0j 0.000111857-0j -0.000504248-0j 0.0722347-0j -0.325631-0j 0.00012506-0j 0.000580082-0j 0.0807609-0j 7.29519e-05-0j -0.000360252-0j 0.374602-0j 0.0471105-0j -0.232642-0j -0.000514753-0j 5.15848e-05-0j -0.332415-0j -0.000212325-0j 5.21193e-05-0j 0.0333122-0j -0.137114-0j 0.0336574-0j 2.355e-05-0j 0.015208-0j 5.19229e-06-0j 0.00335305-0j 
-0.00233016-0j -0.00771808-0j -0.00214918-0j 0.00217057-0j 0.001827-0j -0.00142076-0j -0.0052427-0j 0.0291694-0j -0.0313655-0j -0.0770315-0j 0.0170155-0j 0.0777983-0j -0.0289294-0j 0.0105278-0j 0.0159076-0j -0.0184162-0j 0.0513142-0j 0.0513709-0j -0.000198486-0j -0.128177-0j 0.000210444-0j 0.1359-0j -0.000167786-0j -0.108352-0j 0.000169456-0j 0.000462273-0j 0.109431-0j 0.298524-0j -0.000555749-0j 0.000122759-0j -0.358889-0j 0.000305594-0j -0.000109428-0j 0.0792749-0j 0.197345-0j -0.0706657-0j 0.000156295-0j 7.59534e-05-0j 0.100931-0j -0.000307941-0j -7.23393e-05-0j 0.0490488-0j -0.19886-0j -0.0467149-0j -0.000377506-0j -0.243784-0j -0.000220432-0j -0.142349-0j 
0.0186413-0j 0.00029973-0j 0.0337456-0j 0.0336647-0j -0.000635543-0j 0.0239022-0j -0.0155792-0j 0.00244082-0j 3.84527e-05-0j -0.00210146-0j -0.00710397-0j -0.00209642-0j 6.96092e-05-0j -0.00436231-0j 0.00567469-0j 0.00444522-0j 0.00260422-0j -0.00115298-0j -0.152777-0j 0.000229192-0j -0.00237318-0j 3.56018e-06-0j 0.127075-0j -0.000190635-0j 0.126771-0j 0.235164-0j -0.000190178-0j -0.000352786-0j 0.00204322-0j 0.00690708-0j -3.06518e-06-0j 0.166568-0j -0.498637-0j -1.03618e-05-0j -0.00024988-0j 0.000748041-0j 0.229488-0j 0.00424141-0j -0.000344271-0j -0.291425-0j -0.353187-0j -6.36284e-06-0j 0.000437187-0j 0.000529841-0j -0.106201-0j 0.00015932-0j 0.0357384-0j -5.36137e-05-0j 
0.0065907-0j 0.00744499-0j -0.0301015-0j 0.0061418-0j 0.0676188-0j -0.0217284-0j 0.00140196-0j 0.000862962-0j 0.000955124-0j -0.00373912-0j 0.000503394-0j 0.000762917-0j -0.00436231-0j 0.00222375-0j 0.000513882-0j 0.00692916-0j -0.00157444-0j 8.29446e-05-0j -0.0540148-0j 8.10315e-05-0j -0.0589472-0j 8.8431e-05-0j 0.226104-0j -0.000339195-0j -0.0461335-0j -0.041682-0j 6.92082e-05-0j 6.25302e-05-0j 0.255412-0j -0.0343859-0j -0.000383162-0j -0.0300877-0j -0.378575-0j 5.15848e-05-0j 4.51367e-05-0j 0.000567928-0j 0.210704-0j -0.1519-0j -0.000316093-0j -0.0175511-0j -0.27327-0j 0.000227876-0j 2.63297e-05-0j 0.000409952-0j 0.0480964-0j -7.2153e-05-0j -0.00214146-0j 3.21257e-06-0j 
-0.00269064-0j -4.32624e-05-0j -0.00487075-0j -0.00485908-0j 9.17327e-05-0j -0.00344998-0j 0.00224866-0j 0.0336819-0j 0.000530624-0j -0.0289989-0j -0.0980305-0j -0.0289294-0j 0.000960566-0j -0.0601972-0j 0.0783073-0j 0.0613414-0j 0.0359367-0j -0.0159104-0j -0.000229192-0j -0.148006-0j -3.56018e-06-0j -0.00229907-0j 0.000190635-0j 0.123107-0j 0.000190178-0j 0.000352786-0j 0.122812-0j 0.22782-0j 3.06518e-06-0j 1.03618e-05-0j 0.00197942-0j 0.00024988-0j -0.000748041-0j 0.0066914-0j 0.161366-0j -0.483066-0j 0.000344271-0j 6.36284e-06-0j 0.222322-0j -0.000437187-0j -0.000529841-0j 0.00410896-0j -0.282325-0j -0.342158-0j -0.00015932-0j -0.102885-0j 5.36137e-05-0j 0.0346224-0j 
-0.0108741-0j 0.0240427-0j 0.0200058-0j 0.0185115-0j 0.0171769-0j -0.0280314-0j 0.0299701-0j -0.00142381-0j 0.00308446-0j -0.00124584-0j 0.00414398-0j -0.00115278-0j -0.00567469-0j -0.000513882-0j 0.00654828-0j -0.000823584-0j -0.0006104-0j 0.00605377-0j 0.0891198-0j -0.000133695-0j -0.190363-0j 0.000285577-0j 0.0753357-0j -0.000113017-0j 0.0697084-0j -0.137179-0j -0.000104575-0j 0.000205792-0j -0.166568-0j 0.554047-0j 0.00024988-0j 0.19221-0j -0.0980052-0j -0.000831166-0j -0.000288348-0j 0.000147025-0j -0.128247-0j -0.0687056-0j 0.000192393-0j -0.067211-0j 0.137321-0j 0.00010307-0j 0.000100828-0j -0.000206006-0j -0.207633-0j 0.000311485-0j -0.347749-0j 0.000521683-0j 
-0.000951286-0j -0.00107459-0j 0.00434478-0j -0.000886493-0j -0.00975994-0j 0.00313623-0j -0.000202355-0j 0.0119084-0j 0.0131801-0j -0.0515976-0j 0.00694654-0j 0.0105278-0j -0.0601972-0j 0.0306864-0j 0.00709126-0j 0.0956183-0j -0.0217263-0j 0.00114459-0j -8.10315e-05-0j -0.0523281-0j -8.8431e-05-0j -0.0571065-0j 0.000339195-0j 0.219044-0j -6.92082e-05-0j -6.25302e-05-0j -0.0446929-0j -0.0403804-0j 0.000383162-0j -5.15848e-05-0j 0.247436-0j -4.51367e-05-0j -0.000567928-0j -0.0333122-0j -0.0291481-0j -0.366754-0j 0.000316093-0j -0.000227876-0j 0.204125-0j -2.63297e-05-0j -0.000409952-0j -0.147157-0j -0.0170031-0j -0.264737-0j 7.2153e-05-0j 0.0465946-0j -3.21257e-06-0j -0.0020746-0j 
-0.0115337-0j 0.0126578-0j 0.0315724-0j 0.0107438-0j 0.00846759-0j 0.0208716-0j -0.02595-0j -0.00151018-0j 0.00162388-0j 0.00392184-0j -0.00088094-0j 0.00133456-0j -0.00444522-0j -0.00692916-0j -0.000823584-0j 0.00089277-0j 0.00788481-0j -0.00265962-0j 0.0945259-0j -0.000141805-0j -0.100221-0j 0.000150349-0j -0.237153-0j 0.000355771-0j -0.0807009-0j 0.0729435-0j 0.000121065-0j -0.000109428-0j 0.260267-0j -0.0584623-0j -0.000390445-0j 0.0482206-0j 0.0487963-0j 8.77035e-05-0j -7.23393e-05-0j -7.32029e-05-0j 0.220911-0j -0.459843-0j -0.000331404-0j 0.146652-0j 0.0322577-0j 0.000689844-0j -0.000220003-0j -4.83921e-05-0j -0.533577-0j 0.000800457-0j 0.104977-0j -0.000157484-0j 
0.00156954-0j -0.00347026-0j -0.00288759-0j -0.0026719-0j -0.00247927-0j 0.00404599-0j -0.00432581-0j -0.0196478-0j 0.0425636-0j -0.0171918-0j 0.0571845-0j -0.0159076-0j -0.0783073-0j -0.00709126-0j 0.0903624-0j -0.011365-0j -0.00842316-0j 0.0835385-0j 0.000133695-0j 0.086337-0j -0.000285577-0j -0.184419-0j 0.000113017-0j 0.0729833-0j 0.000104575-0j -0.000205792-0j 0.0675317-0j -0.132895-0j -0.00024988-0j 0.000831166-0j -0.161366-0j 0.000288348-0j -0.000147025-0j 0.536746-0j 0.186208-0j -0.0949449-0j -0.000192393-0j -0.00010307-0j -0.124243-0j -0.000100828-0j 0.000206006-0j -0.0665602-0j -0.0651123-0j 0.133033-0j -0.000311485-0j -0.201149-0j -0.000521683-0j -0.33689-0j 
0.00166475-0j -0.001827-0j -0.00455709-0j -0.00155073-0j -0.00122219-0j -0.00301255-0j 0.00374556-0j -0.0208396-0j 0.0224086-0j 0.054119-0j -0.0121565-0j 0.0184162-0j -0.0613414-0j -0.0956183-0j -0.011365-0j 0.0123197-0j 0.108806-0j -0.0367011-0j 0.000141805-0j 0.0915742-0j -0.000150349-0j -0.0970915-0j -0.000355771-0j -0.229748-0j -0.000121065-0j 0.000109428-0j -0.078181-0j 0.0706657-0j 0.000390445-0j -8.77035e-05-0j 0.25214-0j 7.23393e-05-0j 7.32029e-05-0j -0.0566367-0j 0.0467149-0j 0.0472726-0j 0.000331404-0j -0.000689844-0j 0.214013-0j 0.000220003-0j 4.83921e-05-0j -0.445484-0j 0.142073-0j 0.0312504-0j -0.000800457-0j -0.516915-0j 0.000157484-0j 0.101699-0j 
0.00672801-0j -0.0223676-0j -0.00610591-0j 0.0299361-0j 0.0474278-0j -0.00512846-0j -0.026751-0j 0.00088094-0j -0.00286955-0j -0.000758458-0j 0.000513882-0j 0.00371858-0j 0.00260422-0j -0.00157444-0j 0.0006104-0j -0.00788481-0j 0.00450421-0j 0.00274314-0j -0.0551401-0j 8.27196e-05-0j 0.1771-0j -0.00026568-0j 0.0458639-0j -6.88037e-05-0j -0.224862-0j -0.0425504-0j 0.000337332-0j 6.38329e-05-0j -0.152477-0j 0.103308-0j 0.000228741-0j -0.0357388-0j 0.0902231-0j -0.00015498-0j 5.36144e-05-0j -0.00013535-0j 0.20407-0j -0.316518-0j -0.000306141-0j 0.252691-0j 0.0757799-0j 0.000474831-0j -0.000379081-0j -0.000113683-0j -0.182358-0j 0.000273568-0j -0.452131-0j 0.000678274-0j 
