1.00719-0j 0.102152-0j 0.103211-0j 0.0586083-0j 0.00845938-0j 0.0725241-0j 0.010468-0j 0.0423057-0j 0.00610631-0j 0.0411828-0j 0.00728015-0j 0.0480466-0j 0.000606679-0j 0.0294224-0j 0.00849351-0j 0.0420407-0j 0.00520119-0j 0.000707793-0j 0.0173409-0j 0.000433433-0j 0.00743182-0j 0.000619319-0j 0.00306547-0j 0.000255456-0j 0.0317002-0j 0.00528337-0j 0.0358092-0j 0.00323539-0j 0.000660421-0j 0.0292381-0j 3.89157e-05-0j 0.0295411-0j 0.0059682-0j 0.00365476-0j 0.0255833-0j 0.00487302-0j 0.000746025-0j 0.0211052-0j 0.0029841-0j 0.00492352-0j 4.396e-05-0j 0.00674321-0j 0.000609127-0j 0.00426389-0j 0.00301503-0j 0.00261109-0j 0.00061544-0j 3.58932e-05-0j 0.00351753-0j 0.000532986-0j 0.00215404-0j 0.00112387-0j 3.62651e-05-0j 0.000688226-0j 0.000439691-0j 3.14065e-05-0j 2.59091e-05-0j 0.000140483-0j 8.27807e-06-0j 
0.0001496-0j 0.0496144-0j 0.0494954-0j -0.058843-0j -0.00843951-0j 0.0010198-0j 0.000146264-0j 0.0831365-0j 0.0119238-0j 0.000429747-0j 0.345749-0j 7.13644e-06-0j -0.000911046-0j -0.000911228-0j 0.00574155-0j 0.000419374-0j -0.73312-0j -1.5129e-05-0j -0.000532561-0j 0.00193177-0j 0.337404-0j -0.000889057-0j -0.428467-0j 0.00112901-0j 0.000330796-0j -0.00260791-0j 5.3188e-06-0j -0.00653045-0j 0.0633925-0j -0.000300209-0j -7.80546e-05-0j -0.000299489-0j -4.19322e-05-0j -0.000105002-0j -1.12779e-05-0j 0.00236677-0j 0.00101928-0j 0.000424151-0j 0.00592662-0j 0.0023611-0j -1.25503e-06-0j -0.000276457-0j -0.0575309-0j 8.89122e-05-0j 0.00591241-0j 0.000222644-0j -0.057393-0j 7.08374e-05-0j -0.0033439-0j -0.00216126-0j -0.00837344-0j 0.00217952-0j 7.06676e-05-0j 0.00545771-0j 0.0812827-0j 2.66114e-06-0j -0.000100083-0j -0.0529792-0j 6.52328e-05-0j 
-1.24667e-05-0j -0.0125784-0j -0.0125483-0j -5.09654e-05-0j -0.100854-0j 8.83277e-07-0j 0.00174789-0j 7.20066e-05-0j 0.142492-0j -3.58123e-05-0j 0.000911046-0j -5.94703e-07-0j 0.334801-0j 7.59357e-05-0j 1.5129e-05-0j -3.49479e-05-0j -0.00193177-0j 0.00555974-0j 4.43801e-05-0j -0.709905-0j 0.000889057-0j 0.32672-0j -0.00112901-0j -0.414899-0j -2.75663e-05-0j 0.000661167-0j -4.43234e-07-0j -2.81347e-06-0j -0.00787362-0j 2.50174e-05-0j 0.0887069-0j 2.49574e-05-0j 1.06308e-05-0j -4.52373e-08-0j 9.39825e-07-0j -0.000600033-0j -0.000126599-0j -3.53459e-05-0j 2.55333e-06-0j -0.000598594-0j 0.0014263-0j 2.30381e-05-0j 0.0071456-0j -2.25413e-05-0j 2.54721e-06-0j 9.59205e-08-0j 0.00712847-0j -0.0805047-0j 0.000847758-0j 0.000268437-0j -3.60748e-06-0j -0.000552559-0j -0.0803117-0j 2.35131e-06-0j -0.0100957-0j -0.00302431-0j 0.113741-0j 0.00658025-0j -0.0741353-0j 
0.0120001-0j 0.0294135-0j 0.0272164-0j 0.0343251-0j 0.00492305-0j -0.0831365-0j -0.0119238-0j 0.095935-0j 0.0137594-0j -0.000250686-0j -0.201687-0j 0.000572445-0j 0.000531444-0j -0.000179099-0j 0.460555-0j -0.000234364-0j -0.144092-0j -0.00121356-0j -0.000122824-0j 0.000379682-0j -0.188555-0j 0.000496843-0j -0.0988168-0j 0.000260382-0j -0.000192964-0j 0.00152128-0j 0.000426644-0j 0.00380943-0j -0.0369789-0j -0.000177977-0j 4.55319e-05-0j -0.000164682-0j -0.00336356-0j -0.00842267-0j 0.000304809-0j 0.00140313-0j 0.0817606-0j -0.000497426-0j 0.00351356-0j 0.00129832-0j -0.000100671-0j 0.000531829-0j -0.0341068-0j -0.00240304-0j 0.00325111-0j -0.00601745-0j -0.0315592-0j 4.19955e-05-0j 0.00392159-0j 0.0584126-0j 0.00982002-0j -0.00419281-0j 3.88585e-05-0j -0.0104992-0j -0.095325-0j -7.19229e-05-0j 0.000117373-0j 0.101918-0j -0.00012549-0j 
-0.00100001-0j -0.00745702-0j -0.00690001-0j 2.97298e-05-0j 0.0588314-0j -7.20066e-05-0j -0.142492-0j 8.30917e-05-0j 0.164427-0j 2.08905e-05-0j -0.000531444-0j -4.77037e-05-0j -0.1953-0j 1.49249e-05-0j 0.00121356-0j 1.95303e-05-0j -0.000379682-0j 0.445971-0j 1.02353e-05-0j -0.139529-0j -0.000496843-0j -0.182585-0j -0.000260382-0j -0.0956878-0j 1.60803e-05-0j -0.000385681-0j -3.55537e-05-0j 1.64119e-06-0j 0.00459295-0j 1.48314e-05-0j -0.0517457-0j 1.37235e-05-0j 0.000852741-0j -3.62868e-06-0j -2.54008e-05-0j -0.000355725-0j -0.010155-0j 4.14522e-05-0j 1.51372e-06-0j -0.000329154-0j 0.11441-0j -4.43191e-05-0j 0.00423622-0j 0.000609228-0j 1.40065e-06-0j -2.59246e-06-0j 0.00391979-0j -0.0477267-0j -0.000994215-0j -0.0072551-0j 4.2307e-06-0j 0.00106298-0j -0.0441616-0j -4.52329e-06-0j 0.0118398-0j 0.0817384-0j -0.133391-0j -0.0126586-0j 0.142616-0j 
0.0358092-0j 0.00363187-0j 0.00366951-0j 0.00208373-0j 0.00030076-0j 0.00257848-0j 0.000372172-0j 0.00150411-0j 0.0002171-0j -0.00441906-0j -0.000781187-0j 0.00170822-0j -6.50989e-05-0j 0.00104607-0j 0.000301974-0j 0.00149469-0j 0.00018492-0j 2.51645e-05-0j 0.00061653-0j 1.541e-05-0j 0.000264227-0j 2.20189e-05-0j 0.000108988-0j 9.08234e-06-0j -0.220775-0j 0.000187842-0j 0.752687-0j 0.000115029-0j 2.34803e-05-0j -0.203627-0j 1.38359e-06-0j -0.205737-0j -0.00064041-0j -0.00039217-0j -0.178174-0j 0.000173253-0j -8.00513e-05-0j -0.146986-0j 0.000106095-0j 0.000175048-0j -4.71707e-06-0j -0.0469627-0j 2.16566e-05-0j 0.000151596-0j 0.000107195-0j 9.28332e-05-0j 2.1881e-05-0j 1.27613e-06-0j 0.00012506-0j 1.89495e-05-0j 7.65835e-05-0j 3.99574e-05-0j 1.28935e-06-0j 2.44688e-05-0j 1.56325e-05-0j 1.11661e-06-0j 9.21156e-07-0j 4.99467e-06-0j 2.94314e-07-0j 
-0.0059682-0j 0.0286328-0j 0.0289295-0j -0.000347288-0j 0.00479237-0j -0.000429747-0j 0.00593025-0j -0.000250686-0j 0.00345931-0j -0.107339-0j -0.00615869-0j 0.0414927-0j -0.00156137-0j 0.025409-0j 0.00238069-0j 0.0363061-0j 0.00145787-0j 0.00060356-0j 0.0149755-0j 0.000369604-0j 0.0020831-0j 0.000528115-0j 0.000859236-0j 0.000217836-0j -0.000187842-0j -0.215827-0j 0.00064041-0j -1.91716e-05-0j 0.000374139-0j -0.000173253-0j 4.43233e-05-0j -0.000175048-0j 0.735818-0j 6.53616e-05-0j -0.000151596-0j -0.199064-0j -0.00127555-0j -0.00012506-0j -1.76825e-05-0j -0.201127-0j -0.000151111-0j -3.99574e-05-0j 0.00034508-0j -0.174181-0j -1.78658e-05-0j -1.54722e-05-0j 0.000348656-0j 4.08807e-05-0j -0.143692-0j 0.000301945-0j -1.27639e-05-0j -0.0459102-0j 4.13044e-05-0j -4.07813e-06-0j 0.000249092-0j 3.57706e-05-0j 2.95093e-05-0j 7.9586e-05-0j 9.42835e-06-0j 
-0.000594653-0j -0.00423718-0j 0.00415922-0j 0.00484914-0j 0.000699913-0j -4.28186e-05-0j -6.18034e-06-0j 0.00343467-0j 0.000495752-0j -0.00170822-0j -0.000301974-0j 5.65834e-05-0j -2.51645e-05-0j -0.00122041-0j 1.00026e-05-0j 0.00169417-0j -0.00021574-0j 8.33553e-07-0j 0.0021169-0j -1.79784e-05-0j 0.000299489-0j 2.49574e-05-0j 0.000374219-0j 3.11849e-05-0j 0.25757-0j -0.000219149-0j 0.00414143-0j -0.000134201-0j -2.73936e-05-0j -0.47387-0j -1.61419e-06-0j 0.465151-0j -3.52366e-06-0j -2.15779e-06-0j 0.00295878-0j 0.000403184-0j -4.40457e-07-0j -0.335644-0j 0.000246899-0j -0.000395765-0j -2.59542e-08-0j -0.21526-0j 5.0398e-05-0j -2.51742e-06-0j -0.000242356-0j -1.5416e-06-0j -4.94707e-05-0j 2.96973e-06-0j 0.000285577-0j -3.14678e-07-0j 0.00017488-0j 0.00018315-0j -2.91509e-06-0j 0.000112156-0j 3.56971e-05-0j -1.85426e-08-0j 2.10347e-06-0j 2.28938e-05-0j 1.34903e-06-0j 
-0.00365476-0j -0.000370676-0j -0.000374518-0j 0.0411363-0j -3.06962e-05-0j 0.0509035-0j -3.79846e-05-0j 0.0296937-0j -2.21577e-05-0j 0.000451019-0j -0.0154219-0j -0.000174345-0j 6.64413e-06-0j -0.000106764-0j 0.00596146-0j -0.000152552-0j 0.00365064-0j -2.56834e-06-0j -6.29243e-05-0j -1.57278e-06-0j 0.00521628-0j -2.2473e-06-0j 0.00215161-0j -9.26962e-07-0j -0.000115029-0j -1.91716e-05-0j 0.00039217-0j -0.217348-0j 0.000463539-0j -0.000106095-0j -1.41212e-07-0j -0.000107195-0j 6.53616e-05-0j 0.741005-0j -9.28332e-05-0j -1.76825e-05-0j -0.00158035-0j -7.65835e-05-0j -0.200467-0j -1.78658e-05-0j 4.81434e-07-0j -2.44688e-05-0j 0.000427537-0j -1.54722e-05-0j -0.202544-0j -0.175409-0j 0.000431967-0j -1.30244e-07-0j -1.27639e-05-0j 0.000374095-0j -0.144705-0j -4.07813e-06-0j -1.31594e-07-0j -0.0462338-0j 0.000308612-0j -1.13964e-07-0j -9.40151e-08-0j 9.86031e-05-0j -3.00383e-08-0j 
-0.0255833-0j 0.00770096-0j -0.00262162-0j -0.00148869-0j -0.000214874-0j 0.00546737-0j 0.000789147-0j -0.00107459-0j -0.000155104-0j -0.00104607-0j -0.00018492-0j -0.00122041-0j -1.541e-05-0j -0.000699778-0j -0.00021574-0j 0.00316932-0j -0.000123704-0j -1.79784e-05-0j -0.00044047-0j -1.03087e-05-0j 0.000560262-0j 4.66885e-05-0j -7.78648e-05-0j -6.48874e-06-0j 0.157729-0j -0.000134201-0j 0.178174-0j -8.21809e-05-0j -1.67751e-05-0j -0.431768-0j -9.88483e-07-0j 0.146986-0j -0.000151596-0j -9.28332e-05-0j 0.119191-0j 0.000367362-0j -1.89495e-05-0j -0.311666-0j 0.000224962-0j -0.00012506-0j -1.11661e-06-0j 0.0335518-0j 4.59202e-05-0j -0.000101412-0j -7.65835e-05-0j -6.21018e-05-0j -1.56325e-05-0j 2.70588e-06-0j 0.000265176-0j -1.26765e-05-0j 0.000162386-0j -2.85469e-05-0j -9.21156e-07-0j -1.74814e-05-0j 3.3147e-05-0j -7.46968e-07-0j 1.9532e-06-0j -3.56837e-06-0j -2.10268e-07-0j 
0.000746025-0j -0.00723386-0j -0.00730883-0j -0.00417675-0j 0.0280337-0j -0.00516846-0j 0.03469-0j -0.00301493-0j 0.0202358-0j -9.20638e-05-0j -0.149704-0j 3.55879e-05-0j -0.0185939-0j 2.17931e-05-0j 0.0578691-0j 3.11395e-05-0j 0.0354375-0j 0.0071876-0j 1.28444e-05-0j 0.00440149-0j 0.0506355-0j 0.00628915-0j 0.0208861-0j 0.00259414-0j 2.34803e-05-0j -0.000374139-0j -8.00513e-05-0j -0.000463539-0j -0.210573-0j 2.16566e-05-0j 0.000795915-0j 2.1881e-05-0j 0.00127555-0j 0.00158035-0j 1.89495e-05-0j -0.00034508-0j 0.717905-0j 1.56325e-05-0j -0.000427537-0j -0.000348656-0j -0.00271351-0j 4.99467e-06-0j -0.194218-0j -0.000301945-0j -0.000431967-0j -0.000374095-0j -0.19623-0j 0.000734097-0j -0.000249092-0j -0.16994-0j -0.000308612-0j -7.9586e-05-0j 0.000741704-0j -9.86031e-05-0j -0.140194-0j 0.000642335-0j 0.000529899-0j -0.0447926-0j 0.000169305-0j 
-0.0355146-0j -0.00364806-0j -0.00374444-0j 0.00212714-0j 0.000307026-0j 0.00251625-0j 0.000363189-0j 0.00140618-0j 0.000202965-0j 0.00149469-0j 0.000264227-0j -0.00169417-0j 2.20189e-05-0j -0.00316932-0j -0.000299489-0j 0.00150075-0j -0.000560262-0j -2.49574e-05-0j 0.00300507-0j -4.66885e-05-0j 0.000265297-0j 2.21081e-05-0j 0.000531226-0j 4.42688e-05-0j -0.225374-0j 0.000191755-0j 0.24734-0j 0.000117426-0j 2.39694e-05-0j 0.204535-0j 1.41241e-06-0j 0.209938-0j -0.000210444-0j -0.00012887-0j -0.524455-0j -0.000174025-0j -2.63056e-05-0j 0.135212-0j -0.000106568-0j -0.000178622-0j -1.55007e-06-0j -0.507075-0j -2.17531e-05-0j 0.000446223-0j -0.000109383-0j 0.000273255-0j -2.23278e-05-0j -1.28181e-06-0j -0.000115042-0j 5.57779e-05-0j -7.04488e-05-0j 0.000431436-0j -1.31568e-06-0j 0.000264199-0j -1.43803e-05-0j 3.28674e-06-0j -8.47367e-07-0j 5.39294e-05-0j 3.17782e-06-0j 
9.91088e-05-0j -0.0334049-0j 0.0327903-0j -0.00080819-0j 0.0111525-0j 7.13644e-06-0j -9.84786e-05-0j -0.000572445-0j 0.0078994-0j -0.0414927-0j -0.00238069-0j 0.00137441-0j -0.00060356-0j -0.0296438-0j 7.88583e-05-0j 0.0411513-0j -0.00170085-0j 1.99924e-05-0j 0.0514196-0j -0.000431204-0j 0.0023611-0j 0.000598594-0j 0.00295025-0j 0.000747957-0j 0.000219149-0j 0.251798-0j 3.52366e-06-0j 2.23668e-05-0j -0.000436495-0j -0.000403184-0j -5.17105e-05-0j 0.000395765-0j 0.00404861-0j 3.59632e-07-0j 2.51742e-06-0j -0.46325-0j -7.01833e-06-0j -0.000285577-0j -4.11498e-05-0j 0.454726-0j -8.31444e-07-0j -0.00018315-0j 0.000803051-0j 0.00289247-0j 4.03926e-05-0j 2.56934e-07-0j -0.000788275-0j 9.51354e-05-0j -0.328122-0j -5.01414e-06-0j -2.91466e-05-0j -0.210436-0j -9.33849e-05-0j -1.86927e-05-0j 0.000568805-0j -5.94012e-07-0j 6.73849e-05-0j 0.000364793-0j 4.32161e-05-0j 
-4.396e-05-0j 0.000856977-0j 0.000865858-0j -2.55802e-06-0j -0.0101949-0j -3.16539e-06-0j -0.0126156-0j -1.84648e-06-0j -0.00735909-0j 5.42491e-06-0j -0.000184329-0j -2.09704e-06-0j -0.209485-0j -1.28417e-06-0j 7.12538e-05-0j -1.83491e-06-0j 4.36339e-05-0j 0.080978-0j -7.56862e-07-0j 0.0495887-0j 6.23471e-05-0j 0.0708557-0j 2.57169e-05-0j 0.0292265-0j -1.38359e-06-0j 4.43233e-05-0j 4.71707e-06-0j -1.41212e-07-0j -0.000795915-0j -1.27613e-06-0j -0.20381-0j -1.28935e-06-0j -0.000151111-0j 4.81434e-07-0j -1.11661e-06-0j 4.08807e-05-0j 0.00271351-0j -9.21156e-07-0j -1.30244e-07-0j 4.13044e-05-0j 0.694848-0j -2.94314e-07-0j -0.000734097-0j 3.57706e-05-0j -1.31594e-07-0j -1.13964e-07-0j -0.000741704-0j -0.18798-0j 2.95093e-05-0j -0.000642335-0j -9.40151e-08-0j 9.42835e-06-0j -0.189928-0j -3.00383e-08-0j -0.000529899-0j -0.164482-0j -0.135691-0j -0.000169305-0j -0.043354-0j 
