-0.0110775+0.0134442j -0.0269304-0.00341547j -0.024572+0.000556378j -0.0192534+0.0105026j -0.00906875+0.00230602j -0.0117522+0.00626663j -0.035663+0.00707442j -0.0155473+0.00179095j 0.0186253-0.00126393j -0.012186+0.00109588j 0.0200328-0.000695429j 0.0389197-0.00384166j 0.0394959-0.0030868j -0.0120442-0.00129675j -0.0366075+0.00185617j 0.00715291+0.000759954j -0.0336829+0.000393095j -0.0511644+0.00333599j 0.000592029-0.00353431j 0.0400324-0.00138182j -0.031605+4.03122e-05j 0.0711226+0.00014821j -0.0127943+0.000305448j -0.0446185+0.000991014j -0.0412793-0.00211375j 0.0627646-0.00205465j 0.00419764-0.00223702j -0.0204762-0.000510126j -0.0071876-8.53037e-05j -0.0244132+0.00157077j 0.02221+0.00259874j -0.00317144-0.000345844j 0.00419284-0.0007152j 0.0698535-0.00297518j -0.0295749-0.000189794j 0.0128926+0.00138277j 0.0112928-0.00326035j 0.0265713-0.00306297j -0.11158-0.00480638j 0.0674836-0.00186917j -0.0543085+7.50265e-05j 0.119678+0.00626339j 0.0524005+0.00116306j 0.11042+0.0033533j -0.207565+0.00898617j -0.270291-0.00612401j -0.241334-0.00469757j 0.0749305+0.00509226j -0.195004-0.00380269j 0.122928-0.00737016j 0.374743+0.00107417j -0.0275022+0.000543992j 0.22687+0.00142546j 0.0510483+0.00118029j -0.203238+0.00080101j 0.140453-0.0030803j 0.0164453+0.000444472j -0.0162028-0.00202001j 0.00960765+5.41065e-05j -0.0650169+3.34192e-05j 0.0732252+0.00566567j 0.00379377+0.00540991j 0.0104523-0.00346227j 0.0847726-0.00182001j 0.0539574+0.00371001j 0.0597978+6.89294e-05j -0.00942154-0.00328157j 0.0649764-0.00156106j 0.0175866-0.00102366j 0.0686912+0.00308873j -0.0416851-0.00382214j 0.0829042+0.00310804j -0.0443894+0.000295458j -0.0281028-0.00310261j -0.0474277+0.00208528j -0.0097574+0.00186528j 0.0515872+0.0050557j -0.0424981+0.000264142j -0.0471704+0.00299204j 0.0335522-0.00369373j 0.00801339+0.00220893j 0.0268386+0.000982907j -0.0275276+0.00479913j 0.0213316+0.00463878j -0.0041217+0.00452006j 0.0138318-0.00410855j -0.0465962-0.00734227j 0.015211-0.0115982j -0.00118343+0.00112553j -0.0307945-0.00941514j -0.0249328-0.00340409j -0.0168597+0.0419379j 0.0769064-0.000635726j 0.0372839-0.0349729j -0.0139308+0.0506486j -0.0760741-0.0174423j -0.00911052-0.0689865j -0.230126+0.0201107j 
-0.00753401+5.17554e-06j 0.00238287-0.00617219j 0.00548544-0.00724812j -0.0107607+0.00363115j -0.00699374+0.00629995j -0.0102861-0.00113745j -0.0332831-5.29404e-05j -0.00614175-0.00012452j -0.00591605+0.00278191j 0.0255624+0.0015732j 0.0105457+0.004666j 0.00382824-0.000766944j 0.0477464-0.00187907j -0.027117+0.00128868j -0.0497698-0.00284539j -0.012739-0.0038271j -0.0343801-0.0102868j -0.00522861+0.000390875j -0.0012836-0.000512592j -0.0172669-0.00288276j -0.0144014+0.00104617j 0.0153742-0.000478052j -0.0323719-0.00193397j 0.0701501+0.00364447j 0.0188907+0.00118018j 0.0521903+0.0089177j 0.0636584-0.00530489j 0.0327876-0.00339835j 0.0354267+0.00201546j -0.0347+0.00307629j -0.0471071-0.00434347j 0.0133269+0.0028638j -0.0246022+0.00184583j 0.101282+0.00107064j -0.0146976+0.00871578j 0.0622682+0.00366403j 0.0765169-0.00102498j -0.101939+0.00441897j 0.155836-0.0080524j 0.0260332+0.0031215j 3.49473e-05-0.00198864j 0.0684387+0.00055842j 0.0179262-0.00167122j -0.0492932-0.000425706j 0.0142374-0.0015076j -0.0105898-0.00443051j -0.00756989+0.00338515j -0.00142351+0.00203992j 0.0133802+0.000403011j 0.03436+0.00406741j 0.0087111-0.0046238j 0.00591194-0.00030523j 0.000584567+0.0043793j 0.0180669-0.00391238j 0.000183719-0.0158784j -0.0212732-0.0142289j 0.0109967+0.010519j -0.0117201+0.00896682j 0.0173651+0.0066067j 0.00512108+0.00998776j 0.0170035-0.00175123j 0.0143013-0.00894444j 0.00661401-0.0316856j -0.00728487+0.00940476j 0.016869-0.0297747j 0.00463968+0.0191305j -0.00643873+0.00583415j -0.00913289-0.0129066j -0.00452823+0.0101989j 0.00622677+0.0178339j -0.0138897+0.0118248j -0.00639663-0.00492926j 0.0111935+0.0177551j -0.00595765+0.00855121j -0.00484059+0.0106024j -0.000129807-0.00928562j 0.0131326-0.0311089j 0.00205819-0.04101j -0.00466911+0.01575j -0.0134306+0.0166281j -0.0232991+0.0182717j 0.00613293+0.0305345j 0.0145437-0.0414623j 0.0186124+0.0357749j 0.000847844+0.0908506j -0.015839-0.0364897j 0.00838502+0.0373031j -0.00540113-0.0220468j -0.0134848-0.0507399j -0.00598781+0.0256718j 0.00305546+0.00377954j 0.00513421-0.01545j 0.0103012+0.0138874j -0.00290119+0.0061039j -0.004111+0.00249861j -0.00654147+0.00867815j 0.0294393+0.00265271j -0.000209094+0.00677686j 
0.00604593-0.000181682j -0.00530501+0.0076851j -0.00671992+0.000308163j 0.00323602-0.000605571j -0.00183868-0.00312597j 0.00171885-0.000975949j 0.00413192+0.00860395j -0.00698129+0.00550323j 0.00363986-0.00479734j -0.0494791+0.00150321j 0.00391203+0.00108317j -0.0132891-0.00261498j -0.0194044+0.00666716j 0.0181371+0.000804097j -0.0328731+0.0051132j -0.050867-0.00107296j -0.0146405-4.38135e-05j -0.00197856-0.000470727j -0.00209004-0.0026022j 0.0227174-0.010733j 0.0585377+0.00458153j -0.0527694-0.00384499j 0.0245952-0.0013937j 0.0357609+0.0155362j 0.0134222-0.0116553j 0.0697923-0.00387246j 0.086971+0.000755022j 0.0430578+0.004763j -0.0365462-0.00375999j -0.00736955-0.00533613j 0.11527+0.00699831j -0.0516325-0.00528289j 0.0126347-0.00272245j 0.0101354+0.000459712j -0.0310903-0.00278627j 0.0260907-0.010101j -0.147824-0.00102247j 0.0273006+0.00537329j 0.00751521+0.00208078j -0.0566306+0.00322999j -0.0715095-0.00564147j 0.0221544+0.00474603j 0.00741214-0.000791537j -0.00472717-0.00562817j -0.0340445+0.011678j -0.0150604-0.01123j -0.0120879+0.00260539j -0.0265723+0.0065665j -0.00862081+0.00111727j 0.0157675+0.00589497j 0.0043076+0.00889495j 0.0108615+0.00604385j 0.0247811-0.000664272j -0.00109951-0.00151875j -0.0139771+0.00937608j 0.0255192+0.00291466j 0.00990866+0.00158023j 0.0166026+0.00986761j -0.0135966+0.0349473j -0.0116595-0.0133166j 0.01186+0.00107889j -0.0200081+0.00171485j 0.00214001-0.0252428j 0.00890306+0.00533606j -0.00172088-0.0145234j 0.00380639+0.0226374j -0.00328233-0.0168698j 0.0209483+0.0303583j 0.0118919-0.0428632j 0.0100837+0.00996889j -0.00633919+0.0172635j 0.00430393-0.00270985j -0.023375+0.0189561j -0.0302183+0.0422144j -0.0112994+0.0347051j 0.0125882+0.0095543j 0.0254239-0.00485531j -0.0270709+0.00346455j 0.00306185+0.0173369j 0.0100099-0.01479j 0.0216758-0.045789j -0.023419-0.0352906j -0.0162178-0.0402554j 0.020445+0.0104774j -0.00237347-0.0112805j 0.0119984-0.0265718j 0.00163334-0.0172447j 0.00124011+0.00350124j 0.00782273+0.0216916j -0.00102742+0.0168809j 0.00972018-0.0180622j 0.0157694-0.00393685j 0.00285684+0.021527j -0.0122164+0.0114223j -0.00317631-0.0117566j 0.0115509-3.92218e-05j -0.00473451+0.00786645j -0.0297188+4.10387e-05j 
0.00376022-0.0015036j -0.000656796+0.00344852j 0.00158421-0.00593449j -0.00356513-0.00250647j -0.00860825-0.00166185j -0.00437344-0.00422078j -0.00541364+0.00604653j -0.00949641+0.00384087j 0.000119084-0.00377275j -0.0401065-0.000725179j 0.00066292-0.00179205j -0.051128+0.00142289j -0.00858569+0.000862307j 0.0235599-0.00476339j 0.0459202+0.00605207j 0.0138451+0.00335129j 0.0176791+0.00460002j -0.0221401-0.00817291j 0.00420131+0.00559487j -0.00368361+0.00680361j -0.0047066-0.00101838j -0.0376732-0.00171312j -0.0555096-0.0106283j 0.027301+0.00966471j 0.0177105-0.00902848j -0.0523445-0.00453268j -0.0392172+9.93169e-05j -0.0120949+0.000471024j 0.0544235-0.00874896j 0.0328214+0.0103133j -0.0566893+0.00121284j -0.0403776+0.00713855j 0.0365652+0.0032655j 0.116344+0.00852235j -0.148816+0.00972818j 0.0943933-0.00390221j -0.0816495-0.00634151j -0.0386001+0.00599013j -0.075331+0.00119135j -0.020592+0.00176193j 0.0277104-0.00580466j -0.0273991+0.00424059j -0.00807672-0.00326321j -0.00711685-0.00479229j 0.00142826+0.0115735j -0.0184697-0.00633515j -0.000929161+0.0118508j -0.0335633+0.00728805j -0.00833375+0.00286871j 0.0166937+0.019364j -0.0064931+0.000580172j 0.0193824-0.00954896j -0.00444476+0.0199176j -0.0105329-0.0160957j -0.00889874+0.0149758j 0.00758671+0.0196296j 0.00921073+0.00674197j 0.0149585-0.00173829j -0.0106107-0.00243776j 0.00654456-0.00832386j 0.00332039-0.0290121j -0.0173398+0.000401386j 0.0028018+0.00311002j 0.0167778-0.0572968j -0.00987878-0.00437938j 8.32452e-05+0.00123826j -0.00425941+0.000830172j 0.00106267-0.00173357j 0.00690856-0.0441921j -0.00198735+0.00701959j -0.00188997-0.018059j -0.0229833+0.0226655j 0.000421681-0.00772472j 0.00560833-0.033346j -0.0091273-0.00588978j 0.0260773-0.02324j 0.0156269+0.00692864j -0.0214834+0.0153712j -0.0133887-0.059993j -0.00543036-0.0512745j -0.00102939+0.0210241j -0.000659407+0.0220733j -0.0135503+0.0717964j 0.00130111+0.0101858j 0.00232998-0.00833708j 0.0230175+0.00838189j 0.00238128+0.0148701j 0.0071364+0.0591819j 0.00510126+0.0419922j -0.00422689+0.0320311j 0.0166399+0.00125576j 0.00545999+0.0112937j 0.00130877+0.0111375j -0.0142342+0.00896463j 0.000475967-0.00399364j 0.00521297+0.000699253j -0.00421925+0.00141309j -0.00390143-0.000506133j 
0.00620025-0.000388439j -0.00112811+0.00509349j 0.000412996+0.00216527j 0.00807831-0.006573j 0.00856256-0.00909144j -0.00132342+0.0010555j 0.0153599+0.00205877j 0.0117138-0.00216375j 0.00651961-0.00100556j -0.0134798-0.00126705j -0.0148982-0.000395123j -0.00490054-0.000353747j 0.00905631+0.00485282j 0.00715585+0.00739321j -0.000615313+0.0054499j -0.0171742+0.010945j -0.00242042+0.00293262j 0.0167448+0.00286934j -0.0412467+0.00854841j -0.0688757+0.00392577j 0.012004-0.000745475j -0.00134257-0.00281722j 0.0245878-0.0015398j 0.00373138+0.00169023j 0.0507199-0.00748586j -0.058033-0.00192882j -0.0669234-0.00114126j -0.00561904+0.00821617j 0.129448+0.00296833j 0.0444048-0.00228853j 0.0876652+0.00406424j 0.0281364+0.00634828j 0.0702973-0.00589676j 0.0456781+0.00237497j -0.0116636-0.00585572j -0.00591024-0.00468809j -0.0333714-4.95921e-05j -0.111124-0.000816665j -0.0868812+0.0124014j -0.0145375-0.00557863j -0.0516866+1.15257e-05j -0.0474255+0.00554325j -0.0133091+0.0024763j 0.0315302+0.00397803j -0.0115325+0.000642171j 0.00679346+0.00135374j 0.0203483-0.00137387j 0.00855407-0.00166196j -0.0287477+0.0070527j -0.00863999-0.0129362j -0.0184164+0.00310624j 0.015151-0.0036949j -0.0150963-0.0106836j -0.0153497+0.017354j -0.00196161-0.0188055j 0.00641214+0.00112231j 0.00719066-0.00609676j 0.0127036+0.035266j -0.0111727+0.0165352j -0.0130828-0.00379191j -0.0221341-0.0182074j -0.0196069-0.0227566j 0.0181855-0.031602j 0.00399413+0.0124383j -0.0172595+0.0191322j -0.00264821-0.0289888j 0.00324611+0.036425j -0.00232608-0.0316171j 0.00357933-0.0286728j -0.0230341+0.0439735j 0.00718179-0.0358333j -0.00841811+0.00541656j -0.0102422-0.0118094j -0.00599876+0.0335572j 0.0106181+0.0688431j -0.00203403-0.00780699j -0.000694433+0.0276027j -0.0154731-0.034086j -0.00949869+0.0443432j -0.0109711+0.0589939j -0.0059271-0.0300053j -0.00339211+0.0186777j -0.0254245-0.0254168j -0.000667998-0.0149966j 0.00152107-0.0165569j 0.0153313-0.0240057j -0.00281626+0.0239063j 0.013797+0.034781j 0.00958748+0.00781226j 0.00269188-0.00315645j 0.00198944-0.00895173j 0.00821759+0.0205619j -0.0149696+0.00647678j -0.00673001-0.0064625j 0.0115468+0.000185148j -0.00335748-0.00426474j -0.0225233-0.00426874j 0.00561317-0.00574121j 
-0.00410046-0.00942007j 0.0124999-0.00605694j 0.0114055-0.00333762j 0.00561827-0.000153458j 0.00736444+0.00949797j -0.0291448-0.000777622j -0.018285-0.00541631j 0.0125555-0.00223183j -0.00718839-0.00277658j 0.0352346+0.00116943j 0.0245356+0.00795106j 0.0387456+0.00480238j 0.00346129-0.0120081j -0.00609831+0.00165795j -0.0166616-0.00480434j 0.0345107-0.00296578j -0.0280047-0.00602508j -0.00615183-0.00637728j 0.0871616-0.00114228j 0.00581438+0.00372711j -0.050492-0.0129246j -0.0200035-0.00671158j -0.0241557-0.0126589j -0.00566412-0.00856071j 0.08333+0.0073395j -0.0317588-0.00360595j 0.0357294-0.00117328j 0.0442268-0.00204739j 0.0824782-0.00985934j 0.016448-0.00111779j -0.0514018-0.00758885j 0.0417532+0.00564223j 0.0616284-0.00915384j -0.125179+0.00551542j -0.00781408-0.00706453j -0.0102472-0.0036018j -0.0914673+0.00773238j 0.000935548-0.00926467j -0.0471334-0.00374712j 0.0748159+0.00415699j -0.00778631-0.00795457j 0.0229554-2.81709e-05j -0.0854633-0.000448434j -0.0271372-0.00375231j -0.00888866-0.005126j 0.025222-0.00175905j -0.0123088+0.00503095j 0.00359274-0.000972074j 0.0562304+0.00355307j -0.0035831-0.00120966j -0.0162001-0.00455941j 0.0163943+0.00237055j -0.00972431+0.0113674j 0.0324975-0.0123383j 0.0295717+0.00387852j -0.0284944-0.0235085j 0.000587827+0.000328346j -0.00977846-0.00173938j 0.00739382+0.0236837j 0.0247738-0.00975438j 0.000753619-0.00751537j 0.0501097-0.0303716j 0.000516614-0.00858706j -0.0153719-0.00679092j -0.00450074-0.0202792j 0.000561719+0.0123073j 0.0069456+0.0193053j -0.03305+0.0346442j -0.0116737+0.0125528j -0.00601269+0.0287254j 0.00952193-0.0209888j 0.0129754-0.00317149j 0.0153898+0.0263028j 0.0139786-0.0337837j 0.0286443+0.00588332j 0.0167487-0.0331513j -0.00784721+0.0241108j 0.0132563-0.0228639j 0.00596499+0.0455338j -0.00678813-0.0150443j 0.0157207-0.0186036j -0.0119082-0.0426779j -0.000315645+0.0368314j -0.0128737-0.0438713j -0.00877644-0.0517843j -0.00845644+0.00215744j 0.00104354-0.00459298j 0.00332725+0.0227296j 0.0116688-0.00575038j -0.0132399-0.0221418j -0.000614859-0.00998105j 0.00285235+0.00888041j -0.00639376+0.0105369j 0.00904635-0.0144579j -0.0263799+0.0141612j 0.000795887-0.000597267j 0.0236739-0.00606702j 0.033297+0.0112809j 
0.00386316-0.00449363j 0.00110556+0.000532109j -0.00316415+0.0102394j 0.0165456+0.00201374j 0.00787711-0.00562829j 0.017441+0.0028594j 0.0010454+0.000457716j -0.00906139+0.00417734j 0.0296429-0.00533034j 0.0042317+0.00902003j 0.0172698-0.000850905j 0.00564086+0.00178988j -0.00702229-0.00212238j -0.0228235-0.00653581j 0.018767+0.00356314j 0.0543461+0.00575256j 0.0308979-0.00614264j -0.0538265+0.00961165j -0.0284821-0.00341986j -0.0810201-0.0133699j 0.0121148+0.00694366j 0.0188897-0.00298542j 0.00427896+0.00764897j 0.0615854+5.55661e-05j 0.0146988-0.00542642j 0.10728+0.00405505j 0.0908254-0.00433507j 0.120854-0.00212413j -0.0258989-0.007758j 0.0748357+0.00605733j 0.00238221-0.0102338j 0.0421768-0.00135292j 0.0153455-0.00716549j -0.0882667-0.00392966j -0.0721735-0.000174203j 0.032759+0.00805009j 0.0108792+0.0104213j 0.0648717-0.00199456j -0.0211806-0.000884333j 0.0142221-0.00141185j -0.028101+0.00646147j 0.0555321+0.000716978j 0.0268187+0.00700453j -0.00220128-0.00363143j -0.0280056+0.00194823j 0.0113057+0.0033732j 0.00321875-0.00831118j 0.0205152+0.00574316j -0.0104258-0.000658418j -0.0219902-0.000424158j 0.0111688-0.00299329j -0.00784949+0.00555558j 0.0262176+0.0093576j 0.00724602-0.00739571j -0.000830927-0.00598343j 0.0365854+0.0063958j -0.0194255+0.0149993j 0.00533675-0.0164928j 0.00667108-0.0410591j 0.0190536-0.0080475j -0.0148716+0.0147689j -0.0033327+0.0119624j 0.0110213-0.0257306j 0.0101513+0.0273949j -0.0177116+0.00313898j 0.0311965+0.0147477j 0.000444805+0.0115805j 0.0151326-0.0510501j 0.0328455+0.00164467j 0.0138631+0.0201811j -0.0157452+0.0323459j 0.0330073-0.0175315j -0.0350397-0.0257121j -0.00596641+0.0139093j 0.00530022+0.0291969j 0.0209654-0.0310497j 0.0111479+0.0158919j 0.0109182-0.00344615j 0.00737544+0.00996434j 0.00354706-0.0424191j 0.0230749+0.013685j -0.0210578-0.028715j -0.00266221+0.0221648j -1.87663e-05-0.0145581j -0.00300968+0.00810971j -0.00518648+0.051254j -0.00350781+0.000523139j 0.00174761-0.00275071j -0.00673551+0.00296277j 0.00249364-0.0119055j -0.0148832-0.0113763j 0.0127284-0.0216277j 0.00316033-0.000907756j 0.00782287+0.00191324j -0.00997167-0.00574624j 0.00181792-0.00948463j -0.0193433+0.00678651j -0.0210586-0.00748488j 
0.00747716+0.00223511j -0.00291591+0.00775743j 0.00468406-0.00422373j 0.00131095-0.0132724j 0.00254066-0.0125682j 0.00407647-0.00447624j 0.0263846+0.00623792j 0.0153548-0.00362183j -0.0279376+0.0131591j -0.00507388-0.00526473j -0.0314325-0.00425848j 0.00744696+0.00487035j 0.064396+0.00611729j 0.00397058-0.00360075j -0.00420408+0.0132919j -0.0269048-0.00126773j -0.0426843-0.000225947j -0.00419852+0.00805928j -0.0321759+0.0200338j 0.028927-0.00689186j 0.0044351-0.00317076j 0.00918407-5.40314e-05j -0.00441011+0.00976344j 0.125028+0.00906606j -0.0420727-0.00110102j -0.113547+0.00705673j -0.0052915-0.0024985j 0.0483648-0.00279376j 0.0149879-0.00699171j 0.0395673+0.00607114j 0.00192503+0.00317963j -0.0657955-0.00555283j -0.0540067+8.70748e-05j -0.0832486+0.0102244j 0.0389157-0.0074356j 0.000486151+0.00101014j -0.038462+0.00763611j -0.0282789+0.000471374j -0.0642395+0.0170959j -0.0656329-0.00473959j -0.0356204+0.00600667j -0.0194323+0.00684005j 0.00237669-0.00539385j 0.0580861+0.0129814j -0.0121018-0.00304235j -0.00531507+0.00211706j 0.033802-6.63782e-06j -0.0110667+0.00425763j -0.0445326+0.00418976j -0.00908954-0.0126611j -0.0319176-0.00248209j -0.00219665-0.00453488j -0.0414602-0.0207538j -0.0559748+0.0244827j 0.00232983-0.00379986j -0.0190876+0.00872855j -0.000786227+0.0394079j 0.0184145+0.0271598j -0.00345356-0.0209856j -0.00582033-0.0342318j -0.00273661+0.0173957j -0.0409327-0.00727396j 0.0260905+0.0178937j -0.003311+0.0123267j 0.00661598-0.0215354j -0.00457278+0.0384342j 0.0359767-0.00454264j 0.0077961-0.0133519j 0.0132194-0.0237414j -0.0201825-0.0253503j 0.0013224-0.0159578j -0.0381193+0.0179522j -0.00256211+0.035435j -0.0190426+0.0197017j 0.00690044-0.0377588j -0.00449969-0.0050328j -0.0153097-0.0248045j -0.00263489-0.00600303j 0.00568037+0.0271089j -0.00847943-0.047548j 0.000686097+0.0226527j 0.0103057-0.0144407j -0.0189677-0.0249676j -0.00267547-0.0131522j -0.000328264-0.00405623j 0.0127095-0.0179441j -0.00582997-0.028167j 0.00173626+0.0272836j 0.00908011-0.00209284j 4.00798e-05-0.0110748j -0.00238193+0.00176743j 0.00100006+0.0190841j -0.0111717+0.00161458j -0.0179894-0.00398023j 0.0336775+0.000346565j -0.00106882-0.00288778j -0.0243051-0.0106332j 0.0172218-0.00529459j 
-0.00467382+0.00831506j -0.00639945-0.000751371j -0.00187502-0.00822779j -0.0201575+0.000947309j -0.0131834+0.00299774j 0.00333956-0.00165555j -0.00171235+0.00172784j -0.00425845-0.00208505j -0.0220024+0.00810889j -0.00647195-0.00755846j -0.0178525-0.00487104j -0.0255048-0.00351681j 0.0209558+0.00682957j 0.0106562-0.00059684j -0.0121746-0.00213078j -0.0488335-0.00802378j -0.00145823+0.00497208j -0.0062412-0.00281203j -0.00390719-0.00170433j 0.117506+0.00187035j 0.0639004-0.00263825j 0.0319462+0.00856771j 0.0327463+0.000118603j 0.0303142+0.00325993j -0.0226258+0.00419746j 0.0462066-7.48373e-05j -0.06656+0.00729556j -0.0654758-0.0036026j 0.0733957+0.00644975j 0.00561721-0.00187229j -0.0524624+0.00600673j 0.0114248-0.00633743j -0.066717+0.0103746j 0.00728793-0.000802563j 0.0311807-0.00212272j -0.0239419-0.00670953j 0.000255721-0.0105747j 0.0472329+0.00532471j 0.029516-0.00324408j -0.0197179+0.00200259j 0.0479381+0.000927517j -0.0243051-0.00243477j 0.0209712-0.007548j -0.00536713+0.00492579j 0.0218777+6.91286e-05j -0.0248345-0.00128647j -0.000179621+0.00368282j -0.0162882-0.00118173j -0.0111904-0.00494584j 0.026793+0.00824385j 0.00515302+0.000879888j -0.0105646-0.00283814j -0.0143272-0.0058168j -0.0159734+0.0092107j -0.0209025+0.0206021j -0.0176665+0.00184619j 0.0130046+0.00492598j -0.0132739-0.00541801j -0.00586609+0.0272295j -0.0199412-0.00334806j 0.031623+0.00522292j -0.0225284+0.00078866j -0.0203067+0.015197j -0.0109131+0.0119253j 0.0290642-0.0172867j 0.000168094-0.0241981j -0.00513225+0.00139363j 0.00957323+0.000164201j -0.0245254+0.0167065j -0.00338322+0.0466207j -0.00221686+0.0240746j -0.0319781-0.0470196j 0.0252339-0.0574021j -0.00409786+0.0406788j -0.00186845-0.00411544j -0.0215238-0.0501897j -0.000580149+0.0349455j 0.00416721+0.0191832j -0.00191862-0.00126107j 0.00273409+0.00299882j -0.01109+0.0207441j 0.0175962+0.0141374j 0.0112438+0.0111292j -0.0072894-0.0036478j -0.00138908-0.0148304j 0.000818357-0.0176407j -0.00135446-0.0212948j -0.00785235-0.00535153j -0.000705262+0.00460791j 0.00119269+0.0109312j 0.0105246+0.0154093j -0.0150166+0.004355j 0.00783926-0.005106j -0.00819203+0.00851277j 0.0179557-0.00245685j -0.00277845+0.010694j 0.0170386+0.000772811j -0.0026109+0.00397416j 
0.00422236-0.00667241j 0.00652192+0.0032903j 0.0101142-0.00558545j 0.00410649-0.00938742j 0.0102226-0.000193536j -0.00335746-0.00493611j 0.00658589+0.00902996j -0.0106236+0.00260557j -0.0410894+0.00718128j -0.0134708+0.00131698j 0.00603562+0.00972955j 0.0318047+0.00764674j 0.00192963-0.00152708j -0.00374472+0.00543894j -0.000860135-0.00833233j 0.00623226+0.0032214j 0.0455316+0.00717812j 0.030932+0.000462219j 0.0835814+0.0110338j -0.0377852-0.0034717j -0.00811573+0.012428j -0.00870954+0.00414683j 0.081989+0.00290759j 0.00243337+0.000210426j 0.0180956+0.00202617j -0.0519098+0.00417493j -0.00959623-0.0178492j 0.0301784+0.012845j -0.0213627-0.00737687j 0.0497089-0.00207687j 0.0644848-0.00942286j 0.0105521-0.00332099j -0.113076+0.00397316j 0.0134091+0.011245j 0.00426291+0.0115184j 0.0610343+0.0165176j 0.0173661+0.00604167j -0.0816426+0.00657217j -0.0181251+0.00142136j -0.0388761-0.000688114j -0.0217084-0.00108893j 0.0313582+0.0047089j -0.0532267-0.0082235j 0.000898779+0.00126806j -0.0148381+0.00594628j 0.0164922-0.00530093j 0.0254615+0.00788292j -0.023529+0.0179326j -0.00188676+0.00762593j -0.00438386+0.0230402j -0.0212988-0.00914561j 0.0155446+0.0138089j -0.0104391-0.00925398j -0.00244716-0.0409119j 0.031389+0.00731791j -0.0312306+0.0329024j -0.000906878-0.0183797j -0.00369599+0.00991265j 0.0140812-0.00314781j 0.0171865-0.0126319j -0.0263554+0.0230003j 0.0092874+0.0185686j -0.00817746+0.0394349j -0.0266046-0.000803248j -0.0166007+0.0211449j -0.0063789+0.0286058j 0.00120772-0.038473j 0.00454515-0.0403712j 0.0184454-0.00901834j -0.0257611+0.0318919j 0.000302597+0.0426627j -0.0135245-0.0125517j -0.0272437+0.0116135j -0.00309746-0.0407549j 0.0041109+0.0451583j -0.00737386+0.0207741j -0.00754921-0.0392857j -9.2363e-05+0.0124192j 0.00119133-0.0415675j -0.00297183+0.0342387j 0.00536113+0.0650889j 0.00502047+0.000464794j -0.0206151-0.0212644j 0.0101904-0.0275474j 0.00753873+0.0646388j 0.00178555+0.0167443j 0.00982422+0.00644703j -0.00225876+0.0034536j 2.89915e-05-0.0130617j -0.0107175-0.00265219j -0.00697448+0.00159085j 0.0076119+0.00701115j -0.00498498+0.0144038j -0.011353-0.00966486j -6.6416e-05+0.0077003j 0.0113097-0.00265483j -0.00304927-0.00950077j 0.0270571+0.00438776j 
-0.00396999+0.00367525j -0.00155371+7.37306e-05j 0.00410841-0.0124624j -0.019857-0.00375964j 0.00476808+0.00875984j -0.015363-0.000716771j -0.00936268+0.00615845j -0.0106474-0.00460339j -0.0275654+0.0105113j -0.000675301-0.0164941j -0.0543161-0.006911j -0.0346546+0.0119653j 0.0861539-0.000484828j 0.00318528+0.00131278j -0.0134227-0.014469j -0.0742177+0.000923668j -0.00229376+0.00437212j 0.044449+0.0056953j 0.0445587+0.00678089j -0.0136082-0.00920443j 0.0165701+0.00479433j 0.0251019+0.00975816j 0.0388912+0.0014152j -0.0181119-0.000344996j -0.000709941-0.0047251j 0.0216272-0.00191853j 0.0248786+0.00570735j -0.0247436-0.00327426j -0.00719546+0.00145413j 0.0575547+0.00389749j -0.0471801-0.0111822j -0.104683-0.00267781j -0.0174465+0.000893578j -0.0935933+0.0140073j -0.00447124-0.00907191j -0.0172776+0.00515526j -0.00831069-0.000334433j 0.00187735-0.00151543j -0.0256462-0.00211818j -0.027978+0.00220957j 0.0246279-0.00394231j 0.00923214+0.00213676j -0.0373114-0.0142522j -0.0171613+0.00302793j 0.000219505+0.00456753j -0.0105615-0.00934758j 0.00255336+0.00821289j -0.0188389+0.00344926j 0.02416+0.00624837j 0.0284454+0.0146832j 0.0131347-0.0162866j 0.0108864-0.037679j -0.039093-0.00314576j -0.037191-0.00727137j -0.0197559-0.00927622j -0.0577559-0.00212422j 0.00482737+0.00112254j -0.0200299+0.0336453j 0.00586217+0.0228468j -0.0217749+0.0174159j 0.000825476+0.0134752j -0.00133586-0.0114256j -0.00960227-0.0491131j -0.0334716+0.055981j 0.0328451+0.00609383j 0.0054481-0.0110024j 0.016089+0.0256998j 0.00370431-0.0363817j -0.0104945-0.0102351j 0.00594811-0.0215649j 0.00319928+0.062831j -0.0145339+0.0180701j 0.0143348-0.0361463j -0.000950204-0.0330823j 0.00617806+0.00487807j -0.00103123-0.0277773j -0.00556129+0.0270359j 0.0173539+0.0314889j 0.00558989-0.0218137j -0.00613111-0.0317784j 0.00323012-0.011872j 0.00901435-0.0245189j 0.000304412+0.0308792j -0.00499102-0.000401662j -0.00614381-0.00511693j 0.000636667+0.0107365j -0.00179475-0.0195498j -0.0108438+0.0252343j 0.00807308-0.0125509j -0.0169695-0.0112417j 0.00447566+0.0126548j -0.0113221+0.0132028j -0.00320038+0.00946806j -0.00995288-0.0014698j 0.0113217+0.00396648j 0.00606778+0.0119198j 0.0282506-0.00243366j 0.0140799+0.0123611j 
