0.541789-1.27676e-15j -0.156076-0.677903j 0.19816+0.0825731j 0.127409-0.220414j 0.0082135+0.140382j 0.0271689-0.0590975j 0.125991+0.034646j 0.0270641-0.0820719j -0.01108+0.056041j 0.151169-0.14927j 0.171483-0.00530044j -0.0677347-0.109043j -0.0363239+0.0418966j -0.0933934+0.160227j -0.11016-0.00391743j 0.0139112+0.00762789j 0.0274296-0.0353093j 0.0171027+0.0225499j -0.0399089+0.0221831j -0.0452826-0.103479j 0.0323238-0.0695256j -0.107031+0.0248675j 0.0213104-0.115406j -0.0631729+0.0970571j 0.00418379-0.028626j 0.0439123+0.0870283j 0.140462-0.035177j -0.050337+0.00754135j -0.0454497+0.0619623j -0.0475105-0.0490484j -0.0789445+0.101761j -0.00359791+0.0099164j 0.0877568+0.0330125j 0.0717889+0.00465809j -0.0581069-0.0404859j 0.000915676+0.0340933j 
-0.0677347+0.109043j 0.00763631-0.0517178j -0.0539263-0.271839j -0.175117-0.160269j -0.0502127-0.189315j -0.0387645-0.0630298j 0.19821-0.123573j -0.0359108+0.0203946j 0.214985-0.221272j 0.182744+0.0514711j 0.132758-0.25499j -0.142751-1.27091e-12j -0.197335+0.0567075j -0.0969941-0.021321j -0.156034-0.0679481j -0.0715176-0.0157335j -0.109336+0.0324799j 0.0573376-0.00521706j 0.107049+0.00940399j -0.0359607+0.0115161j 0.0697871-0.00427405j 0.00669218-0.0809919j 0.165+0.0564233j 0.0604659+0.0344404j 0.0406021-0.0508593j 0.00388423+0.18292j -0.0939645+0.0072092j 0.0477227+0.0213603j 0.102142-0.105045j -0.0842623+0.136795j -0.0233689+0.0433715j 0.0332239-0.0732473j 0.0594744-0.0112614j -0.110628+0.0420938j -0.108611+0.0228743j -0.129413+0.0284371j 
-0.0363239-0.0418966j 0.0266852-0.0827529j 0.120579+0.208693j 0.186777+0.152999j 0.137898+0.0862285j 0.122437+0.0586529j 0.284297+0.211933j 0.0709515+0.37865j 0.0304562-0.012222j 0.257445-0.0321562j -0.0224293+0.0899359j -0.197335-0.0567075j -0.195316-7.40796e-14j -0.105676-0.0707504j 0.0470624+0.019528j 0.152159-0.0626352j -0.140976-0.0265899j -0.0727796+0.0115784j -0.045667-0.00224789j 0.124356+0.0792119j 0.0496865+0.0219108j 0.0722052-0.141863j 0.0120276-0.0551208j 0.0810864+0.102354j 0.0657053+0.00787351j 0.130377-0.180748j -0.0101366-0.0593375j 0.0775549-0.0621692j -0.0813831+0.083706j 0.0535793-0.0209191j 0.0267107+0.0268831j -0.0936504+0.101171j 0.120602+0.0252636j -0.0271119+0.0852552j 0.0899129-0.00488488j 0.0639909-0.0399339j 
-0.0933934-0.160227j 0.125479+0.0374627j -0.103848-0.164178j -0.0143967-0.05472j -0.104606-0.124877j -0.0959819+0.0751868j 0.118344+0.495485j 0.287158+0.216542j -0.199725+0.129219j -0.0387157+0.118797j -0.00575814+0.167321j -0.0969941+0.021321j -0.105676+0.0707504j 0.139762-1.00531e-12j -0.0850697-0.0213278j -0.148107+0.0288985j 0.067981-0.0951408j 0.0954823+0.0258615j 0.167109+0.199949j 0.0151034+0.0759823j 0.0123998+0.100609j -0.125368+0.0901834j 0.0850228+0.1962j -0.0194289+0.174445j 0.0194419+0.0631431j -0.0918042+0.0931993j -0.0453967-0.0914042j -0.0600409-0.0260813j 0.0618848+0.0118482j 0.0659341-0.0791793j -0.0234143-0.030049j 0.0556995+0.0794616j -0.0752301+0.0670585j -0.0136238-0.041918j -0.119385+0.0594183j -0.0568695+0.041427j 
-0.11016+0.00391743j 0.0292312-0.0578433j -0.00516925-0.0375714j -0.272119+0.0299809j 0.0476262+0.0757229j 0.182949+0.502685j -0.100806+0.0795477j 0.126494+0.0552324j 0.0367178+0.0621876j 0.0429713+0.145834j -0.0802798-0.0186147j -0.156034+0.0679481j 0.0470624-0.019528j -0.0850697+0.0213278j 0.0188255-1.11189e-13j 0.0891249+0.176146j -0.17934-0.208954j -0.061082-0.156099j -0.103043-0.237453j 0.114717-0.00957471j 0.0428964-0.0236909j 0.0721829+0.21392j -0.0679929-0.0533288j 0.0815349+0.000527456j 0.0843557-8.53363e-05j -0.0696698+0.178421j -0.0293252+0.0583158j -0.00973816-0.0160054j -0.0169715-0.161256j -0.089696-0.083653j 0.00999727+0.00552005j 0.0227827-0.0179307j 0.0333601-0.13672j 0.020455+0.00434793j 0.0267906-0.0497587j -0.0153417-0.00280198j 
0.0139112-0.00762789j -0.000273564+0.0337802j -0.0293933-0.0142116j 0.0433559-0.113121j -0.0792802-0.0748799j -0.0130808-0.00445715j -0.0625288+0.0424166j 0.0657526-0.0377117j 0.135027-0.0297058j -0.0195444+0.0709465j -0.0269783-0.0970382j -0.0715176+0.0157335j 0.152159+0.0626352j -0.148107-0.0288985j 0.0891249-0.176146j 0.0158469-9.15934e-16j -0.0053593-0.00191861j -0.00607912+0.00744531j -0.0427271-0.0125529j -0.0201468+0.0065968j -0.0036305+0.0115269j 0.0302286+0.0212972j -0.0433538-0.0505555j -0.0620102-0.0014367j -0.0054275-0.00471656j -0.0439711-0.0452546j 0.0079515+0.0583818j -0.00990439+0.0222963j 0.0615919-0.00524665j -0.0244753-0.0872998j -0.031417+0.0205344j 0.11282-0.109568j 0.101296-0.0749761j 0.0179364-0.102976j 0.0568299+0.00291804j 0.129287-0.314539j 
0.0274296+0.0353093j -0.0590233-0.0421825j -0.033953-0.0624058j 0.122875+0.0635508j 0.0647142-0.0922088j 0.0297581-0.0512428j -0.121311+0.0605325j 0.0882446-0.00389242j 0.103134-0.0223441j -0.039206+0.0151718j 0.0739423+0.0488792j -0.109336-0.0324799j -0.140976+0.0265899j 0.067981+0.0951408j -0.17934+0.208954j -0.0053593+0.00191861j -0.0571167+8.18789e-16j 0.0219036-0.00450682j -0.0903497-0.00149283j -0.0464216+0.0397133j 0.0378736-0.00191479j -0.000218937-0.00485492j -0.0222011-0.0252433j -0.0575575+0.0740426j -0.00638474+0.000734498j -0.0179021-0.0146792j -0.059242-0.0478188j -0.0255471+0.00407317j 0.00655429-0.166243j 0.161199+0.145586j 0.014735-0.0874064j -0.0136545+0.0911236j 0.0646057+0.0958307j -0.157904+0.0960063j 0.00923001-0.235751j 0.0594758+0.0118191j 
0.0171027-0.0225499j 0.0710502+0.00503985j -0.0515603-0.00917208j -0.00486376-0.0340544j -0.0492582-0.0246255j 0.021397+0.00552988j -0.0157745-0.0410355j -0.0317961+0.0859027j 0.115369-0.0373183j -0.0945444-0.0549455j 0.144152+0.0239472j 0.0573376+0.00521706j -0.0727796-0.0115784j 0.0954823-0.0258615j -0.061082+0.156099j -0.00607912-0.00744531j 0.0219036+0.00450682j 0.0291716-4.16334e-16j -0.0156519+0.0372703j -0.0579859-0.0406098j 0.0377573+0.0128406j 0.0487303-0.00971059j -0.0235957+0.0471226j -0.222612-0.0224593j 0.0356363-0.0242294j 0.0346813+0.0388464j -0.0565549+0.119759j 0.029919-0.0138437j -0.142104+0.00344949j -0.0740708+0.0719066j -0.0837293+0.100265j 0.270897-0.0510889j 0.0796154-0.0162694j 0.19946-0.411498j -0.157841+0.0854343j 0.0225233-0.102681j 
-0.0399089-0.0221831j 0.0886291+0.0338064j 0.00275832-0.0417354j -0.0174443+0.0411849j 0.0446722+0.0560031j 0.035001-0.137609j -0.0742627+0.0638269j 0.119003+0.0278574j -0.0575692+0.0152197j -0.0861881-0.0515009j 0.0410368+0.0200008j 0.107049-0.00940399j -0.045667+0.00224789j 0.167109-0.199949j -0.103043+0.237453j -0.0427271+0.0125529j -0.0903497+0.00149283j -0.0156519-0.0372703j -0.0666578-6.60028e-14j -0.00642523+0.0347559j -0.0723654-0.0402396j -0.0597339+0.0010816j 0.0547185-0.00487005j 0.108667-0.0365346j 0.00784642+0.0204216j 0.0213583+0.139547j 0.0096859+0.0964577j 0.0143244-0.00640596j 0.144311+0.250906j -0.0666821-0.0515822j -0.0382535+0.0471361j -0.13004+0.0243989j -0.0666646-0.2009j 0.0783761-0.022552j 0.069943+0.0967187j 0.100411-0.0767506j 
-0.0452826+0.103479j 0.00532442-0.0133058j 0.0767321-0.0176159j 0.0250019+0.0074601j -0.0405001-0.0929426j -0.0220385+0.0174293j -0.0571775-0.0794656j 0.092265-0.0997794j 0.0407687-0.0777996j -0.0556155+0.0225602j 0.0889667-0.0689883j -0.0359607-0.0115161j 0.124356-0.0792119j 0.0151034-0.0759823j 0.114717+0.00957471j -0.0201468-0.0065968j -0.0464216-0.0397133j -0.0579859+0.0406098j -0.00642523-0.0347559j 0.0684473+2.4581e-14j -0.116327+0.115834j -0.055919-0.035095j 0.0105686+0.0179839j -0.0446195-0.0267606j -0.0515177+0.0374885j -0.0371167+0.0763036j 0.17088-0.0603254j 0.111324-0.0222148j -0.136137+0.050548j 0.048113+0.0356582j -0.155832+0.140908j 0.206797+0.057353j 0.135007-0.0219629j -0.275382+0.048323j 0.00430905-0.0882667j -0.112829+0.110162j 
0.0323238+0.0695256j -0.0780199+0.0995619j 0.0223059+0.0212106j -0.0759446-0.00309403j -0.0432265+0.0487555j 0.0100688+0.00585335j -0.0237521-0.0318624j 0.0257698+0.0276121j 0.0309231-0.0454789j -0.0777283-0.0116904j 0.0698881-0.0410162j 0.0697871+0.00427405j 0.0496865-0.0219108j 0.0123998-0.100609j 0.0428964+0.0236909j -0.0036305-0.0115269j 0.0378736+0.00191479j 0.0377573-0.0128406j -0.0723654+0.0402396j -0.116327-0.115834j -0.131166-2.70894e-14j 0.0961409+0.080931j 0.0406272-0.0380498j 0.143576+0.0330462j 0.178311-0.142219j -0.0512679+0.0120347j 0.092316-0.0866818j -0.172541+0.017788j 0.0204689-0.00314308j 0.0869301-0.0342531j 0.435641-0.518459j 0.155936-0.132473j -0.0353416+0.0411889j -0.0874275+0.0982762j 0.0134499-0.0838215j -0.032717+0.0209297j 
-0.107031-0.0248675j 0.0439007+0.0549493j 0.101642-0.026493j 0.0438253-0.0109947j -0.0601877-0.000727003j 0.0864997+0.0724701j -0.0611313+0.0779717j -0.0577664+0.0219582j -0.0932209+0.145333j 0.0160711-0.0133997j -0.0524524-0.00840807j 0.00669218+0.0809919j 0.0722052+0.141863j -0.125368-0.0901834j 0.0721829-0.21392j 0.0302286-0.0212972j -0.000218937+0.00485492j 0.0487303+0.00971059j -0.0597339-0.0010816j -0.055919+0.035095j 0.0961409-0.080931j 0.0165619-2.01297e-13j -0.0434653-0.0261194j -0.0110796-0.0804816j 0.013576+0.0500802j 0.0775315+0.0617602j -0.052723-0.0837474j -0.0258854-0.000309526j 0.103714-0.0386044j -0.0113433+0.124609j -0.0831394+0.0300199j 0.0602591+0.0279262j 0.074961+0.0712172j 0.0621929-0.0638657j -0.158912-0.161818j 0.0293346+0.0931457j 
0.0213104+0.115406j -0.0483979+0.0565356j 0.0326685-0.0979687j 0.00399509-0.00581497j -0.0714126+0.0896724j -0.0259377-0.165942j 0.0694673+0.00159429j -0.0785387+0.0812349j -0.0971316+0.0993932j 0.0499125-0.0977831j -0.0067136+0.0498525j 0.165-0.0564233j 0.0120276+0.0551208j 0.0850228-0.1962j -0.0679929+0.0533288j -0.0433538+0.0505555j -0.0222011+0.0252433j -0.0235957-0.0471226j 0.0547185+0.00487005j 0.0105686-0.0179839j 0.0406272+0.0380498j -0.0434653+0.0261194j 0.0717572+6.26443e-14j -0.154682-0.0613391j -0.0632176-0.0981201j -0.0780629-0.130719j -0.000989344-0.168086j 0.0869514-0.0663707j -0.279479-0.278072j -0.122423+0.00831623j 0.0336677-0.0146812j 0.121924-0.05944j 0.142121+0.246667j -0.145956+0.0174227j 0.0170842-0.157609j 0.0601348-0.0105582j 
-0.0631729-0.0970571j -0.0507281+0.00944601j 0.0574327-0.0446406j -0.0290239+0.0735549j 0.0207595+0.0250049j -0.00884532-0.0158438j -0.0619063-0.0273071j 0.080153-0.0606157j -0.0433217-0.0267279j -0.0809145+0.0191647j 0.0145415-0.0721814j 0.0604659-0.0344404j 0.0810864-0.102354j -0.0194289-0.174445j 0.0815349-0.000527456j -0.0620102+0.0014367j -0.0575575-0.0740426j -0.222612+0.0224593j 0.108667+0.0365346j -0.0446195+0.0267606j 0.143576-0.0330462j -0.0110796+0.0804816j -0.154682+0.0613391j 0.0078327-2.57364e-14j 0.0357593-0.242416j 0.0453363-0.0870954j -0.0669261+0.0174585j -0.043972-0.109848j 0.0901312-0.0595283j 0.0335641-0.00749316j -0.172633+0.00630427j -0.105924+0.0181811j 0.00966307-0.00781298j 0.0304097-0.0127962j -0.0238135+0.00427329j -0.0114759+0.0216812j 
0.00418379+0.028626j 0.140774-0.03802j 0.101549+0.0675075j 0.00496751+0.0428489j 0.00738701-0.098756j -0.0286851+0.0574159j -0.0467212-0.0906018j -0.0121191-0.0601528j 0.0958599-0.00564714j -0.0678302-0.0170956j 0.0325481-0.0561422j 0.0406021+0.0508593j 0.0657053-0.00787351j 0.0194419-0.0631431j 0.0843557+8.53363e-05j -0.0054275+0.00471656j -0.00638474-0.000734498j 0.0356363+0.0242294j 0.00784642-0.0204216j -0.0515177-0.0374885j 0.178311+0.142219j 0.013576-0.0500802j -0.0632176+0.0981201j 0.0357593+0.242416j -0.0344811-1.07497e-12j 0.0776949-0.145031j -0.311867+0.407423j -0.075234+0.0212738j 0.00359655-0.172165j 0.0588904+0.0642938j 0.0889089-0.0917516j -0.180381+0.0671369j 0.00526839+0.0944607j -0.0480437+0.120622j -0.0590735-0.0448491j 0.00977017+0.0583584j 
0.0439123-0.0870283j -0.0465702-0.0851749j 0.0590699-0.00434975j 0.014018+0.000839478j -0.0585941-0.000983767j 0.0690253-0.175552j 0.0926303-0.0955248j -0.131698+0.181876j -0.00111645+0.187574j 0.0623831-0.0351142j -0.0624169-0.0401672j 0.00388423-0.18292j 0.130377+0.180748j -0.0918042-0.0931993j -0.0696698-0.178421j -0.0439711+0.0452546j -0.0179021+0.0146792j 0.0346813-0.0388464j 0.0213583-0.139547j -0.0371167-0.0763036j -0.0512679-0.0120347j 0.0775315-0.0617602j -0.0780629+0.130719j 0.0453363+0.0870954j 0.0776949+0.145031j -0.0487724-1.28178e-13j -0.0763199+0.139999j -0.0452722+0.0938754j 0.0719485+0.121204j 0.0824116+0.0704441j 0.0463062-0.00273624j -0.0361144+0.0807697j -0.0193538-0.138605j -0.0343685-0.0430319j 0.0153353+0.0121165j 0.0448266+0.0480534j 
0.140462+0.035177j 0.00173477-0.0318585j 0.0068308+0.0995102j -0.00587205+0.0418914j 0.101682-0.0647065j 0.0852712-0.00225427j 0.0209584+0.063268j 0.0667346+0.00937334j -0.0431084+0.0505748j 0.0325768+0.0574638j -0.0717469+0.017902j -0.0939645-0.0072092j -0.0101366+0.0593375j -0.0453967+0.0914042j -0.0293252-0.0583158j 0.0079515-0.0583818j -0.059242+0.0478188j -0.0565549-0.119759j 0.0096859-0.0964577j 0.17088+0.0603254j 0.092316+0.0866818j -0.052723+0.0837474j -0.000989344+0.168086j -0.0669261-0.0174585j -0.311867-0.407423j -0.0763199-0.139999j -0.033521-4.35652e-13j 0.0246491-0.241355j -0.0566407-0.0854941j -0.0153188-0.060049j 0.176831-0.151774j 0.047674-0.0374901j 0.0066168+0.0163371j 0.0391485-0.0263118j -0.00605671+0.00118451j -0.0052822-0.0038864j 
-0.050337-0.00754135j -0.0616883+0.0976608j 0.0223029-0.0234125j 0.0283584+0.0739218j 0.0584378+0.0454992j 0.0819442+0.0026331j -0.019793+0.175315j 0.0800977+0.102317j -0.0600895-0.033928j 0.0103866+0.0687925j -0.0765887-0.0181128j 0.0477227-0.0213603j 0.0775549+0.0621692j -0.0600409+0.0260813j -0.00973816+0.0160054j -0.00990439-0.0222963j -0.0255471-0.00407317j 0.029919+0.0138437j 0.0143244+0.00640596j 0.111324+0.0222148j -0.172541-0.017788j -0.0258854+0.000309526j 0.0869514+0.0663707j -0.043972+0.109848j -0.075234-0.0212738j -0.0452722-0.0938754j 0.0246491+0.241355j 0.00019492+8.0165e-14j -0.158105-0.0735258j 0.00190442+0.0731348j 0.146767+0.0313573j 0.0353847+0.0309961j 0.113305-0.0316656j -0.219551-0.0245456j -0.0656663+0.072027j -0.0597072-0.00276382j 
-0.0454497-0.0619623j 0.0142361-0.111751j -0.0774376-0.0895057j -0.0090114-0.00935189j 0.0389526+0.099672j -0.0654164-0.0381294j 0.0760923+0.204571j 0.0202002-0.0668283j -0.165044-0.0455332j -0.0181891-0.0515304j 0.0549463+0.103316j 0.102142+0.105045j -0.0813831-0.083706j 0.0618848-0.0118482j -0.0169715+0.161256j 0.0615919+0.00524665j 0.00655429+0.166243j -0.142104-0.00344949j 0.144311-0.250906j -0.136137-0.050548j 0.0204689+0.00314308j 0.103714+0.0386044j -0.279479+0.278072j 0.0901312+0.0595283j 0.00359655+0.172165j 0.0719485-0.121204j -0.0566407+0.0854941j -0.158105+0.0735258j 0.0697197+2.19491e-13j 0.0490182+0.0226354j 0.0399527-0.031005j -0.00777996-0.0135631j 0.0490443-0.00474822j -0.0165371+0.0461062j -0.0223617-0.0247176j -0.0411271-0.0513204j 
-0.0475105+0.0490484j 0.108375-0.0354038j 0.0551277-0.00884549j 0.043109+0.0119997j -0.0984934-0.0196519j -0.0759848-0.218267j 0.134236-0.0761644j -0.0691843+0.144075j -0.00709627-0.0835708j 0.0532178-0.0160596j -0.0175166-0.0103343j -0.0842623-0.136795j 0.0535793+0.0209191j 0.0659341+0.0791793j -0.089696+0.083653j -0.0244753+0.0872998j 0.161199-0.145586j -0.0740708-0.0719066j -0.0666821+0.0515822j 0.048113-0.0356582j 0.0869301+0.0342531j -0.0113433-0.124609j -0.122423-0.00831623j 0.0335641+0.00749316j 0.0588904-0.0642938j 0.0824116-0.0704441j -0.0153188+0.060049j 0.00190442-0.0731348j 0.0490182-0.0226354j 0.0256673-3.99722e-13j -0.0929956-0.0878907j -0.0546496-0.0345742j 0.0613118-0.00498741j -0.0504452+0.0122596j -0.00318186+0.00417296j -0.0326462-0.0255056j 
