0.0349428+0.0132731j 0.0360171-0.0185709j -0.0141476+0.028441j 0.0579846+0.00869186j -0.0443871+0.000454681j 0.0397963-0.00964551j 0.0162176-0.0144907j 0.0270308-0.0398685j -0.000741348+0.0276849j -0.0496867+0.0113881j 0.0307607-0.0155812j 0.000667915+0.00820446j -0.000820624+0.0121411j 0.0101684+0.0224673j 0.00476304+0.0138371j 0.0124119+0.0297459j 0.00343339-0.0287073j -0.0322686-0.090817j 0.0408039-0.0599485j 0.125328-0.0412292j -0.0126274+0.0453925j -0.0129639-0.0263176j 0.0198583-0.0331413j -0.0426588-0.0189053j 0.0115009-0.00923854j -0.0194479+0.01339j 0.0305048+0.011263j -0.00623048+0.0142478j 0.0627223-0.00755063j 0.00558047-0.00316754j 0.0320825-0.0284433j 0.0183651-0.0140218j -0.0597874-0.0114858j 0.0101041+0.031895j 0.100992-0.0388697j 0.0490371-0.0477515j 0.1406+0.069509j -0.090896+0.10933j 0.0380837+0.0169491j -0.0088397-0.0918476j 0.0583525-0.0123057j -0.0437487+0.0107991j -0.00215799+0.00562056j 0.0698035+0.00763918j 0.0121641-0.00583185j 0.0213209-0.0104236j -0.0152928-0.00612217j 0.0395216-0.0130296j 0.0233838-0.0068011j -0.00844346-0.0175323j 0.040263-0.00981562j -0.0088092+0.0161979j -0.00247848-0.00148386j 0.0467749-0.0209722j 0.0648134+0.0036239j 0.0114322-0.00131119j -0.00721148+0.00612316j -0.016564-0.00886417j 0.025032-0.00936895j -0.0242267-0.0135467j -0.0145441+0.025429j 0.00250028+0.0154805j -0.00773518-0.026155j 0.0246134-0.00120359j -0.00413546+0.00105014j -0.0108309-0.00041942j 0.0126133+3.78863e-05j 0.0123385-0.00218349j 0.000282346-0.00378828j -0.00692217+0.00199968j -0.0148634-0.0015499j -0.00199133+0.000198429j 0.00167363-0.00531035j -0.000837614+0.000595168j 0.0192176-0.00158028j 0.00619364+0.000332181j 0.00222367-0.00200944j -0.0194885-0.0025109j 0.00734624+0.00528433j -0.012648-0.00142031j 0.00351861+0.00343063j 0.00629662+0.00615166j 0.00039407-0.0035875j -0.00885672-0.00269752j -0.0203396-0.00325067j 0.0189042+0.000456088j 0.00176325-0.00992794j 0.00226671-0.0107974j 0.00585941-0.00802919j -0.0276442+0.0356207j 0.0255763+0.0248492j -0.0156845-0.0195395j -0.012183-0.00721819j 0.134842-0.0259605j 0.137888+0.0121542j 
-0.025978+0.0297096j 0.0108312+0.00765728j -0.0716419+0.00208835j 0.0198395+0.0844793j 0.0225556-0.0394986j -0.0222588-0.0253193j -0.0114261+0.0532818j -0.0109989+0.056761j -0.0482791-0.0328602j -0.0062308-0.0315467j 0.0164359+0.0327719j 0.0312775-0.018822j -0.0281605+0.0568729j 0.054754+0.0928228j 0.0456801+0.255287j 0.0242305-0.0126109j 0.0492394+0.184509j 0.0617686+0.0745681j -0.0388445-0.104585j 0.0136046-0.029325j -0.00524476+0.00678032j 0.0217408+0.0013717j 0.0448257+0.0176047j -0.0213471-0.00133546j 0.0303134-0.028707j -0.0100934-0.0125119j -0.0220502+0.00849715j 0.019685+0.00139879j -0.0187844+0.0411447j -0.00917152-0.0292084j -0.00609723+0.0102306j -0.00403357-0.0431924j -0.0213324+0.0246231j 0.00856804+0.00707j -0.01115-0.00508127j 0.00612931-0.0058638j 0.00861894+0.00152874j 0.0074023-0.00518296j 0.00519821+0.014439j 0.0150833+0.0115513j 0.00311691-0.000253119j 0.00118282-0.00921425j 0.00567523+0.00471788j -0.011946+0.0076878j 0.00450199-0.00859703j -0.00579446+0.000717411j 0.00338518+0.00159873j 0.00547036-0.0259376j -0.00182917-0.0178289j -0.0037893+0.00940451j -0.00171263-0.0355056j -0.00690197-0.0254097j 0.00646569+0.00560629j 0.0111511-0.0182733j -0.00245681-0.00347768j -0.00206176+0.0035375j 0.0037915+0.00117212j -0.00630679+0.00519734j 0.00459506+0.0145939j -0.00666863+0.00928354j -0.0148099+0.00783214j 0.00626283-0.00782258j -0.0140863-0.00431447j 0.00423764+0.00300459j 0.010284+0.0112847j 0.00342033-0.00248553j -0.000441027+0.00460005j 0.000561074+0.00266702j -0.00175767-0.0106866j 0.00265019+0.00555683j -0.00956125+4.32129e-05j -0.00468926-0.00104276j -0.00167404+0.0172009j -0.000110868-0.00357498j 0.00981331-0.00514778j 0.00260608+0.00943968j -0.00920013-0.0157447j -0.00877486+0.0214243j -0.00341825+0.0171078j -0.00731816+0.0109138j 0.000184773-0.0113635j 0.00401062-0.0106651j 0.0115814-0.00136209j -0.00846316-0.00666393j 0.00276656+0.0018325j -0.0156074-0.00372645j -0.00389423+0.00110092j -0.00429868+0.0425923j -0.0342485-0.00212911j -0.0107873+0.0079354j -0.0126942+0.00913067j 0.0218599-0.00337501j -0.00225807+0.00155248j -0.00248919+1.82178e-05j -0.00302702+1.04248e-05j 
-0.058748-0.00554111j 0.0269309+0.0182384j -0.327834+0.0378967j 0.0320932-0.0241645j 0.0904198-0.033755j -0.0578129-0.0474701j -0.0163052-0.0684773j -0.0389152-0.00616564j -0.0737149-0.0825153j 0.0121238+0.0242291j -0.0176176+0.078584j 0.016417+0.013966j -0.0240725-0.0294721j -0.0124316-0.0785886j 0.0122288-0.162243j -0.0742253+0.0275488j 0.00954189-0.0371498j 0.0996564-0.00975864j 0.106091-0.0896175j 0.036195+0.000722158j 0.025354+0.0119962j 0.0168358-0.00809971j -0.0186374+0.00967783j 0.00860385+0.0105265j -0.0142903+0.0185173j -0.0206046+0.00916139j -0.0149116-0.030367j -0.0217849+0.0253008j -0.0127572+0.0127554j 0.000689934-0.00877005j 0.0229948-0.00883402j 0.00455076+0.0158635j -0.0123522-0.0126218j 0.0121039+0.0169517j 0.00340809-0.0300447j -0.0312193-0.0222766j -0.0118588-0.00658515j 0.00537871-0.00126601j 0.0160564-0.011016j -0.00177415+0.0101489j 0.00124446+0.000397549j -0.0128421+0.0165088j 0.0137883+0.00717983j 0.00671747-0.0109287j -0.000236162-0.00193127j 0.0158452-0.00242407j 0.00970763-0.00530096j 0.00400266-0.00840359j -0.00854402-0.00831952j 0.0113739+0.00400532j -0.011775-0.0217975j 0.00488458-0.0108828j 0.000295652-7.62697e-05j 0.00452083+0.00459823j -0.00606332+0.0182558j 0.00691606+0.000337795j -0.00256117+0.00857125j -0.000408466-0.00271805j 0.00109303+0.00323619j -0.00208287+0.00893704j 0.00746361+0.00576554j 0.000970623-0.00312601j 0.00815909+0.00210699j -0.00620875-0.00134833j -0.00453106-0.00144595j -0.00757544-0.0108999j 0.00829317-0.0124722j 0.0128633-0.00506271j -0.00660405+0.0070114j 0.00528048+0.00884719j 0.00730049-0.0282969j -0.00463105+0.00779526j -0.00475691+0.0135334j 0.000720758-0.00557757j 0.00752516-0.00799611j -0.000165691-0.00418958j 0.00526844-0.000865074j -0.0080417-0.00377877j -0.00129509-0.00703418j -0.0170075+0.0011027j 0.004713-0.0076085j -0.00536444+0.0070403j -0.00910605+0.0122861j -0.00527555+0.00705068j 0.00194078+0.00394799j 0.0202365-0.0174497j -0.00207697+0.00311074j -0.00837333-0.0059609j -0.00168958-0.00418122j 0.00695146+0.0469315j 0.001912-0.0180334j -0.0177249+0.0268824j -0.00256606-0.00808666j -0.0298794-0.0143168j 0.0154344+0.000570039j 
-0.00768593+0.0145472j 0.00388902-0.016912j -0.0362805-0.0567355j -0.00428311+0.0114638j 0.00751039-0.00958178j 0.000774224+0.0729133j 0.005315+0.128636j 0.00370549+0.0463486j -0.00103832+0.0379251j 0.0110714-0.0800101j -0.0101643-0.0926605j -0.0153802+0.0700316j 0.0128066+0.152202j -0.0345389-0.0641212j -0.0199157+0.166511j -0.0144453+0.0409044j 0.00876305+0.08701j 0.00530266-0.101482j 0.0297916+0.0293368j 0.00361673-0.0655443j -0.0104961-0.0178764j 0.000816265+0.00592022j -0.00990467-0.0332552j 0.0173824+0.00947382j 0.0213639-0.0798288j -0.00444827-0.0343775j 0.00100743+0.0469787j -0.0139247-0.0460625j -0.0273802-0.00176015j 0.012716+0.0121412j -0.0236607+0.0183479j 0.0144238-0.0179701j -0.0116492+0.0193656j 0.0048397-0.00700279j 0.00987492-0.0158819j -0.00908795-0.00543722j 0.0174622+0.00746323j -0.0166392-0.0104972j -0.0131774-0.000554645j -0.00790068-0.00311623j 0.00869994-0.00438335j -0.0125331-0.0114382j -0.00124845-0.00193473j -0.0174522-0.00957319j -0.00659507-0.00691554j -0.00151916-0.00813554j 0.00491495+0.00422757j 0.0171078+0.00495439j 0.0106389+0.0111747j 0.00974909+0.000103868j 0.00992171-0.0161372j 0.00669728-0.000861521j 0.0030206-0.00489341j 0.010272-0.00912472j 0.0050638-0.00982915j -0.00429771+0.00758347j -0.00179669-0.010437j 0.0025671+0.00987148j 0.0156994+0.00878652j -0.0134115+0.00710688j -0.0115784-0.000465244j 0.000754025+0.00182391j -0.00578215-0.00290685j 0.00483633-0.00589722j 0.00437419-0.00514378j 0.0148914+0.00350971j -0.00362427+0.00346232j -0.00696319-0.000516533j 0.00757441-0.0104547j -0.0044471+0.0101947j -0.00237375+0.0196412j 0.00219154-0.00739045j -0.0121574-0.0204161j 0.0149846+0.00645544j 0.00300342+0.000505726j -0.0124005+0.0173049j -0.000130046-0.017259j -0.00935255-0.00476924j 0.0104413-0.0132348j -0.00513007+0.00805769j 0.000565631-0.00126972j 0.00626996-0.00338659j 0.00734619-0.0138836j 0.00336967-0.00610697j -0.0103673+0.0102272j -0.00545531+0.00156728j 9.9027e-05+0.0124855j -0.0310977-0.01922j 0.0233379-0.0306273j -0.0187467+0.00691754j -0.0146374-0.00606911j 0.0085458-0.00221613j 0.0131728-0.00650124j -0.00776171+0.00384145j 0.00711791+0.000518215j 
-0.0281464-0.00866688j 0.0147706-0.00421325j -0.140574-0.0187627j 0.0984279+0.012955j 0.0572078+0.0515181j 0.000582175+0.101274j 0.0466848+0.0267246j -0.00828507-0.0325187j 0.00124887+0.0221604j 0.00704361-0.0506587j -0.0294933-0.167862j -0.00940946-0.113461j 0.0193428-0.0239666j 0.0121755+0.0613779j -0.0276569-0.0440469j 0.00668285+0.0168949j 0.0405319+0.0132972j 0.00285734-0.119134j 0.0128893+0.04121j 0.029079-0.0231739j -0.0527154-0.0324109j 0.019777+0.00294926j -0.00667618-0.00947029j 0.0131319+0.0170018j -0.0164354-0.0139403j 0.0156395+0.0151252j 0.00365099+0.0213141j 0.00869734-0.0152219j -0.0333768+0.0146626j 0.00677683+0.00584035j -0.00901752+0.0180474j -0.0374181-0.0263585j 0.0417165+0.00552499j -0.00897971-0.0211352j 0.0577854+0.00206714j -0.0159394+0.0106374j -0.0221942-0.00843952j 0.00456611+0.000481984j -0.00551591-0.0381262j 0.00608803-0.00798655j -0.0118032-0.0135265j -0.00169716+0.0101442j 0.0170402-0.00402482j -0.0134402-0.0206258j -0.00366146-0.0210466j -0.0249898-0.0369951j 0.0100227+0.0150106j 0.0304651+0.031337j 0.00485854+0.0130289j -0.00813183+0.00234935j 0.00915667+0.0288428j 0.0154167+0.0219558j -0.0088556-0.00910213j -0.00849247-0.000716306j -0.0096422-0.0175343j -0.0141852+0.00281836j -0.00130586-0.00138211j 0.00227805+0.00487276j 0.0101716-0.00791162j 0.0089508+0.0114969j -0.0115801-0.00408688j -0.00159941+0.0169477j -0.00578885-0.000857666j 0.00364023-0.000178574j -0.00313709-0.0403235j 0.0068569+0.00242981j -0.0138085-0.00238591j -0.00288446+0.00161102j 0.00388127+0.00538484j -0.0116173-0.00150873j 0.00566382+0.0213713j 0.00697276-0.00933977j -0.00166595-0.00567218j 0.00217185+0.00186349j -0.00298917+0.00584951j 0.00132647+0.00989456j 0.00548668-0.0100834j -0.00586445-0.0211932j 0.00428009-0.0228457j -0.000466482-0.000524876j -0.00219709+0.0130736j 0.00070936-0.00605301j 0.00783687-0.0100775j -0.00485678+0.00409046j -0.00554929+0.00619567j -0.00602107-0.00253197j 0.0144763+0.00725511j 0.0123512+0.0265647j -0.0218621+0.00524237j -0.0220031+0.017924j -0.0170891+0.00610989j 0.0179169-0.00021813j 0.0078177+0.00478866j -0.00833208-0.00861508j 0.00537064+0.00188423j 
-0.018785-0.019262j -0.0023298-0.0126344j -0.101088-0.0453401j -0.0477829-0.0230264j 0.0184764+0.0156447j -0.0238531+0.108759j -0.0178629+0.135312j -0.0156673+0.033464j -0.0358297+0.143571j 0.0101116+0.0371983j -0.000280217-0.13186j 0.0134581-0.0668206j -0.0105353+0.127933j -0.020744+0.0852368j -0.0024804+0.270858j -0.0225238-0.142821j -0.0205811+0.0134617j 0.0267011-0.0808054j 0.0420181+0.0405124j -0.0115652-0.0221127j 0.00600213-0.0601475j -0.0147392+0.00837075j 0.00465617-0.0465023j 0.0117145-0.0127381j -0.0070368-0.0406282j 0.00834312-0.00778396j -0.0107201+0.0477953j -0.00763233-0.0299505j 0.0021517-0.0342216j -0.0212788+0.0106708j 0.00843786+0.0177373j -0.0142868-0.0201675j -0.00556921+0.0117647j -0.00201702-0.0210115j -0.0118337+0.0215061j -0.0114243+0.00542798j 0.00755419-0.0117903j -0.010821-0.00967089j 0.00406572-0.00670119j -0.0137429-0.00493871j -0.00169872-0.00785488j -0.00565785-0.00301564j -0.00690054+0.00189909j -0.00248608+0.00418037j -0.00880881+0.00866004j -0.00684398+0.0224055j -0.000876751-0.00534935j 0.0261926-0.0280882j 0.00449319-0.0064451j -0.00636202+0.000184606j 0.00622359-0.0251275j -0.000809827-0.00498064j -0.00218322-0.000128611j 0.00704101-0.0169461j 0.00645117+0.00964477j 0.00147393+0.010886j -0.00328094-0.00772578j -0.00396764+0.00884329j 0.00512932-0.00169649j -0.00400753+0.00205613j -0.00688663+0.00578245j 0.0162458+0.000480041j -0.00128529-0.000903229j -0.00931279-0.00675466j 0.0157794+0.00766284j 0.0161724+0.00887087j 0.00507025+0.00954522j -0.0103568+0.015727j 0.00265355-0.0275844j -0.0069352+0.0104733j 0.0165728+0.014993j -0.00471839-0.0056604j -9.59408e-05-0.0130315j 0.00689146-0.00107828j -0.000312058+0.0153176j -0.0119515+0.0208862j 0.00214311-0.0195206j -0.011747+0.00766649j 0.013481+0.00738986j 0.00398215-0.001078j 0.00314556-0.0111633j 0.00438511-0.0266676j 0.0177301-0.0101235j -0.00632199-0.00766716j -0.00969189+0.000414157j -0.000869337-0.000297769j -0.025667+0.00310723j 0.0313628-0.0161935j 0.0114358+0.0368532j 0.00962669+0.0123771j 0.00518781-0.00893584j -0.00723983-0.00400103j 0.00569886+0.00189953j -0.00903813-0.00153939j 0.01956-0.000616647j 
0.00801182+0.0244286j 0.00295945-0.00704946j 0.0511932+0.0218172j -0.00840584-0.0187012j -0.0171608-0.0428511j -0.00347266-0.0828623j -0.00932251-0.0300286j 0.0112473+0.00214782j 0.0133632-0.140144j 0.00933794-0.156412j 0.0120726+0.0332478j -0.00710619+0.121979j 0.0104418+0.0796079j -0.0192463-0.231203j -0.000454738-0.0107016j 0.00922492+0.131076j 0.000563976-0.0600538j -0.00486812+0.0732967j -0.010178-0.138804j 0.00716926+0.0161723j 0.0208963+0.0283449j 0.00447843+0.00363603j -0.00894982-0.0134099j -0.0146662-0.0161995j -0.0023069+0.000993165j 0.0146141-0.0429014j 0.00976673+0.0137799j 0.010246-0.0105985j 0.0107643-0.0167968j -0.00567038-0.0208432j 0.00147259-0.00878339j -0.00291413+0.00550907j 0.00725001+0.00901983j 0.00547088+0.0150007j 0.0144452+0.00064017j 0.000643321-0.000512027j 0.010879+0.0102838j 0.00542963-0.0106203j -0.0111692+0.0212731j -0.00383617+0.00318551j -0.00968833+0.00868597j -0.00217744-0.00519167j -0.00597821-0.00266467j -0.0210197+0.000852557j -0.0092314+0.0086518j -0.0323832+0.0064689j 0.0095516-0.00960761j 0.0348025-0.00163604j 0.0347491+0.0140026j 0.00970569-0.0034717j 0.0408855-0.0210487j 0.0248018-0.0161057j -0.00758301-0.00914789j 0.0218851-0.00143801j -0.0293854+0.00506106j -0.0117446+0.00156246j 0.00448371+0.00340676j 0.00423592-0.00534542j 0.00573027+0.0126856j -0.00234001-0.000409534j -0.0138014-0.00504367j 0.00299238+0.00752881j -0.000957368+0.00940697j 0.0239354+0.00479699j -0.0456075+0.00131213j -0.015724-0.0119771j -0.0176023-0.0122053j 0.00531348-0.00893338j 0.00655383+0.0115709j 0.00456344-0.00250883j -0.000511461-0.0077466j -0.0111575+0.00466614j -0.001923+0.00522993j -0.00740742+0.0137152j -0.000724844-0.0153495j -0.00385409-0.00663084j -0.00136284+0.00667181j -0.00647223+0.00120063j -0.0117659+0.00488558j 0.00181121-0.00182958j 0.00366574+0.00495274j -0.00701008+0.00981147j -0.00703594-0.00771267j 0.0100625-0.0130304j -0.00205793-0.00286778j 0.00646765-0.00656904j 0.00580435+0.000240281j 0.0133968-0.00340573j 0.00278506+0.0117707j -0.0026615+0.0019606j -0.0056532+0.00124083j 0.00222476-0.000515118j -0.00810871-0.00147872j -0.00557175+0.00243876j -0.00801547-0.000275474j 
0.00323248+0.0135835j 0.00583807-0.0120267j 0.0179428-0.0599213j 0.0120973+0.00487597j -0.00352112-0.0323913j 0.000442965+0.0201484j 0.00119298+0.0725914j 0.00505216+0.0571319j 0.00125023-0.0464197j -0.00565592-0.0926697j -0.00879905-0.0341339j -0.0117376+0.14228j 0.00703625+0.205159j -0.0161819-0.286148j -0.00683842+0.00823271j 0.0102105+0.109448j 0.0081097-0.00816662j -0.00877178-0.0888147j -0.00289297-0.00884773j 0.00387762-0.0543011j -0.00950273+0.000973491j 0.0175654+0.00632317j -0.0144748-0.0418935j -0.0126584+0.0183816j -0.000475105-0.0423765j 0.0194111-0.0360482j 0.0115227+0.0187594j 0.00587258-0.0142957j -0.00149676+0.0116291j 0.00932734-0.0114679j -0.00362274-0.00160092j -0.0316915+0.00822853j 0.0194149+0.0153661j -0.00329101+0.00239043j 0.0277118-0.00346575j 0.00222305-0.00970886j 0.0049907+0.0137338j -0.0125706-0.0144911j 0.00598599-0.00415156j 0.00199709-7.1712e-05j -0.00644061+0.00536974j -0.00585702-0.0110198j 0.000824711-0.00242925j 0.00785168-0.012582j 0.0103249-0.00111075j 0.0260596-0.0173448j -0.00446467+0.00347624j -0.0454478+0.0207725j -0.0124868+0.029213j 0.0215198-0.00399766j -0.0391124-0.00390149j -0.0254165+0.00949875j -0.00031435-0.0161359j -0.0148946+0.00371115j 0.0263497-0.0173892j 0.00163612+0.00129088j 0.000613276-0.0045797j -0.000133538+0.00193059j 0.0029013+0.0115969j -0.0131617-0.00108904j 0.00847208-0.000780966j -0.00708795-0.016666j -0.00405543+0.00487042j 0.00164872+0.00382979j 0.0313799-0.0023478j 0.00316614+0.00870472j 0.0101708-0.00358945j -0.00669998-0.0025453j -0.00879217-0.00104492j -0.00393656-0.00480503j -0.000354544+0.00490042j -0.00816258+0.00351936j 0.00663404-0.00637459j -0.00981309+0.0149065j 0.0014082-0.00202106j -0.00587429+0.0191695j -0.00457474-0.00738862j 0.00432048-0.0134803j 0.00972237-0.0188906j -0.00920057+0.0122386j 5.04494e-05-0.00161137j 0.00233645+0.00454597j -0.00851691+0.00228558j -0.0027713+0.00318495j 6.01823e-05+0.00257291j -0.00303832+0.00119552j 0.00959645-0.0020656j 0.0110146-0.000991064j 0.00170303+0.00442452j -0.0123673+0.00808135j -0.0112141+0.00835095j 0.0101822-0.0105553j 0.00161155-0.00323777j -0.00427059+0.00313804j -0.00237427+0.00110311j 
0.0033747+0.00637871j -0.00188064-0.0157709j 0.0193606-0.0636279j -0.0191258-0.030435j -0.0096684-0.0621211j 0.00684951+0.00200351j 0.011104-0.07062j -0.00485087-0.0289405j 0.001407+0.0165321j -0.0023569-0.0191888j -0.00141985+0.078486j -0.000841908-0.214881j 0.00821908+0.0737143j -0.00276212-0.108146j 0.000429481-0.0112016j 0.00215564+0.0632596j 0.0141127-0.0530493j -0.00305012+0.00364465j 0.00251646-0.00962915j 0.0038011-0.0275143j 0.0150633+0.0107842j -0.00863497-0.00502672j 0.00767647-0.0296845j -0.0167417-0.00658786j 0.0107936-0.0291462j 0.00348382-0.0193629j -0.0174219+0.00549478j -0.00804792-0.00279958j -0.0111142+0.00477442j -0.0394031-0.00478365j 0.0126686+0.000872107j 0.000843759-0.00331256j 0.00672237+0.0102289j -0.00472215+0.00344539j -0.00280964-0.00493265j -0.00676328-0.0136918j 0.0303996+0.018232j 0.00917042-0.0100067j -0.00367925+0.00665706j 0.00921525-7.2107e-05j -0.00231769+0.00873045j 0.00273331+0.00108677j 0.0021175-0.00167204j 0.0156351+0.00542746j -0.00696227+0.00123371j 0.00258027-0.0036931j -0.00331859-0.00431587j -0.0023243+0.0121373j -9.69261e-05+0.000466117j 0.00721598+0.00241464j -0.00897691+0.00244591j -0.0031922+0.00549524j 0.000320578-0.0119229j 0.00308596+0.0123212j 0.00294417+0.00988567j -0.0100284+0.00478115j -0.00190124+0.000470532j -0.00169275-0.00170381j 0.00221356+0.0142166j -0.00788875-0.00487109j 5.45855e-05-0.00882954j -0.0023629-0.00168614j -0.00255177+0.00264477j 0.000762205+0.00109854j 0.00717138+0.00254356j 0.00264071+0.00243706j 0.00845387+0.0036404j -0.0037164-0.00973352j 0.00151703+0.00225085j 0.001716+0.0140964j -0.0102535-0.0078854j 0.00627964-0.00756961j -0.0164514-0.0200814j 0.0197874-0.0202754j 0.0107209-0.00968226j -0.00118271-0.00419874j 0.00261827-0.0025349j 0.00706091-0.00919996j -0.00392677+0.0019824j -0.00562163+0.00842401j 0.000471163+0.00141437j 0.000424472-0.0065241j 0.00389873-0.00319652j -0.00681732+0.00284022j 0.000753977-0.0029064j 0.00107995-0.000235543j 0.00184067-0.00465135j 0.0370731+0.00756981j -0.0128438+0.0243477j -0.00170241+0.00511768j -0.00443114+0.00305247j 0.00159433-0.0086736j -0.00520186-0.00523412j -0.00865243+0.00427811j -0.00192484+0.00184757j 
-0.000397811-0.000319162j -0.00302583-0.0156611j -0.0317726-0.05806j -0.0196516-0.0168995j -0.011382-0.0277276j 0.000534111+0.00677609j 0.0119421-0.0549135j -0.0410168-0.0456758j -0.0163803+0.0323322j 0.00868481-0.0307696j 0.0275617+0.0339301j 0.0183222-0.243043j -0.0181989+0.0102024j 0.0540351+0.00696576j -0.00250484+0.0308445j -0.00520649+0.0340778j 0.0220285-0.00920517j -0.00837095+0.0334234j 0.0154686-0.0133952j -0.0158718-0.0248413j 0.00758003+0.0231324j 0.00667944-0.0248716j -0.00874546-0.00493799j -0.0143724-0.00941627j -0.0250397-0.00964204j -0.0101034-0.0120494j -0.000854565-0.0189265j -0.020338+0.00037431j -0.00112733-0.00512461j 0.0303828-0.0440221j 0.00991969+0.00699252j 0.00688633-0.00177252j -0.0247702+0.0041238j 0.00134772+0.000333414j -0.0205836-0.00244935j 0.00843945-0.0117333j 0.0337757+0.028072j -0.00947991-0.014303j 0.00973418-0.000471337j -0.0223356-0.00581524j -0.00125835+0.010942j -0.00952159+0.00657342j 0.00141594+0.000478739j 0.0121106+0.00849441j -0.0108051+6.88548e-06j -0.0185136+0.00708575j 0.00313806-0.0106508j 0.00598416+0.00854525j -0.00216223-0.0076473j 0.00093831+0.00638179j -0.010237-0.00331908j -0.00464264+0.00609942j -0.00361082+0.00276769j -0.00318192+0.0205008j -0.00593564+0.0179974j 0.00211663-0.00309751j -0.00522068-0.00065889j -0.000603308-0.00342343j -4.8863e-07+0.0129006j 0.00122434-0.0126288j 0.000247103-0.000617138j 0.00715858-0.0017173j -0.00159937+7.28992e-05j 0.00277028+0.00418352j -0.00114813-0.00209452j 0.000696282+0.00992954j 0.00372747-0.00222883j 0.00228262+0.00440083j -0.00570155+0.00156184j -0.00569523+0.00741249j 0.0178026-0.00810913j 0.000989395+0.0125985j 0.0237128-0.0145416j 0.018956+0.0183087j 0.00454476+0.00363017j 0.00732951+0.00290599j -0.00970786-0.00533597j 0.00305893+0.00267538j -0.00701025+0.000661038j -0.00467042+0.00216372j -0.0032263-0.00367499j 0.0175017+0.000573848j 0.00884027+0.0027218j -0.012748-0.0102763j -0.00270991-0.00113233j 0.00733592+0.00659532j -0.00234778+0.00563185j -0.0226361+0.0148967j -0.0153766-0.0233821j 0.00557897+0.00425372j 0.000887868-0.000460909j -0.0117608-0.00348295j -0.0115888-0.00987283j -0.00780773+0.00355289j 0.0104947+0.00173732j 
-0.00235509+0.00860145j -0.00846518-0.0343866j 0.0390409-0.0313541j -0.073508-0.0697306j -0.0196036-0.0418328j -0.0106946+0.00504611j -0.0170796-0.0369534j 0.0233713-0.170544j 0.000418523-0.00612757j 0.00633634-0.10753j -0.0113952-0.0498852j -0.0222537-0.444907j 0.0133265+0.0186858j -0.0453895+0.0380948j 0.0247337-0.0306697j 0.0129352+0.0212621j -0.00641259-0.0999245j 0.00955709+0.0985395j -0.0119246-0.00621009j 0.0139417-0.0105043j 0.00186351-0.00991764j 0.0227188+4.91552e-05j -0.0121557-0.0475662j 0.00506571-0.0415043j 0.00959704-0.0318896j -0.00136916+0.0102354j -0.000341773+0.00248253j 0.00622024+0.0244947j -0.0139436+0.00991666j 0.004544+0.0322329j -0.0160663-0.0174792j -0.0189152-0.000405445j 0.0124115-0.0067296j 0.00585526+0.000333598j 0.00966102-0.00118639j -0.0124889-0.00236387j 0.0113881+0.0190954j 0.0409936-0.00401417j 0.00664235+0.0141361j 0.0119972-0.0190679j -0.00661901+0.0012436j -0.000734918+0.0103548j -0.00395862+0.00140414j 0.00604232+0.00968435j -0.00603341-0.00147273j -0.00161291-0.00452091j -0.0156614-0.0111571j -0.000871476+0.00787342j 0.000314523-0.00925378j -0.00678993+0.0123026j -0.00548674+0.00317096j -0.00536071+0.00376161j 0.000752409-0.010337j 0.00205622+0.0100747j -0.000532116+0.0108915j -0.0125548+0.00947958j 0.00939018+0.010802j -0.00434432-0.0025297j -0.0017511+0.0116044j 0.00323168-0.00514451j -0.0156621-0.00137674j 0.023815+0.00368874j -0.0134289+0.00127534j 0.00187443+0.00826558j 0.00742587-0.0126088j -0.00433837+0.0139497j -0.0036614+0.0024994j -0.00882213-0.00952823j 0.00169527-0.0016931j 7.10133e-05-0.00493308j -0.00255128+0.00643369j -0.0122813-0.0042322j -0.00379052+0.0197033j -0.0104663-0.0149208j 0.000601381-0.00257688j -0.00534753+0.00829906j 0.00340862-0.0110545j -0.000904382-0.0109679j -0.000457869+0.00190836j 0.00246573+0.00649666j 0.000503071+0.0028126j 0.000613989-0.00508026j -0.00180154+0.00602622j -0.00439182-0.0107514j -0.00535828+0.000802294j -0.0127816+0.00348893j -0.00621408+0.00537917j -0.00676683-0.0251795j 0.0215618-0.0137672j -0.0154353+2.85522e-06j -0.0152156-0.00602971j 0.00448834+0.00381231j -0.00919867-0.0054015j -0.0193932+0.000593786j -0.0111926+0.00347056j 
