0.0464104+0.0477243j 0.111823-0.0286399j 0.00105712-0.00965351j -0.0605741+0.10583j -0.00904251-0.00390757j 0.0612849+0.12334j 0.0811843-0.00885202j -0.143171-0.0776357j -0.166425+0.340195j 0.0287504-0.023388j 0.299635+0.248049j 0.234952+0.278482j 0.00390084+0.0204286j -0.0860539+0.091544j 0.494967-0.226216j 0.0320462-0.0339285j 0.0818917+0.401878j -0.179552+0.0283957j 
-0.0103292+0.000467351j -0.00510466-0.00926996j 0.0110385+0.0105329j -0.00242589+0.0038423j 0.013568-0.00856152j 0.00976624+0.00365698j -0.00586464+0.014877j -0.00679279+0.00226967j -0.00742174-0.000463999j 0.0214851+0.0114782j -0.00292398-0.00461127j 0.00528391+0.00475314j 0.00684088-0.00942292j 0.0214385-0.0129053j -0.00514986+0.00115425j -0.00976604-0.0139283j -0.00465885+0.00390295j -0.0220791+0.00943098j 
-0.00137508-0.00332653j 0.00391689-0.0018931j 0.00117723-0.000654219j 0.000131218-7.69157e-05j -0.000877151-0.00198086j -0.00260652+0.0020717j -0.00326787-0.000682724j -0.00982304+0.00373565j -0.00553755-0.00100696j 0.0172582+0.00807752j -0.00029877-0.00281425j -0.00587937+0.00631503j 0.00905463-0.00478195j 0.0208981-0.00470901j -0.00625059-7.61651e-05j -0.0108166-0.00534467j 0.000860821-0.00077917j -0.021055+0.00209972j 
0.00180022+0.00483255j -0.00543761+0.00324721j -0.00860372-0.00104858j -0.000871623-0.000518758j -0.00118327+0.00980983j 0.00246973-0.00360806j 0.00668418-0.00129962j 0.0114068+0.00637699j -0.00403729+0.00279906j 0.00356447+0.017595j -0.00760574+0.00525376j 0.0200556-0.00424089j -0.00296895-0.0041029j -0.00178695-0.00817289j -0.00432401+0.000918271j 0.00941814-0.0214087j -0.00561403+0.00150262j -0.0025048+0.00313009j 
-0.0130739-0.00521016j 0.00723309-0.0152632j -0.00504125-0.00535169j -0.00143437-0.00695459j -0.00398879+0.00478618j 0.000729308+0.0161042j -0.0186268+0.00194372j -0.0068856-0.000333873j 0.000381363-0.00765191j -0.00891198+0.00151412j -0.00739403+0.0197426j 0.0100581-0.00856736j -0.000893974+0.0030906j -0.0250779-0.00708224j -0.00414644-0.0129708j 0.00616509+0.009558j 0.00128617-0.00619133j -0.00484336-0.00626272j 
-0.00471986+0.0047897j -0.0123151-0.00624788j 0.0131854+0.0233803j -0.00674034+0.00742006j 0.0263219-0.00812454j 0.0161019-0.00152854j -0.00576534+0.0223932j -0.0022183-0.00424632j 0.0017541-0.00445237j -0.00799272-0.00481772j -0.00207228+0.0014903j 0.00164006-0.00505214j -0.00353138+0.00340326j -0.0123357-0.000102468j 0.00257662-0.00325029j 0.00318598+0.00643162j -0.00128304+3.54153e-05j 0.0111437+7.55862e-05j 
-0.0013303+0.00215098j -0.00198007+0.000426812j -0.000668887+0.00108244j 0.000863653-0.000303033j -0.000370723-0.000776959j 0.00168848-0.000534304j 0.00125112-0.00142071j 0.00953647-0.00616601j 0.00518875+0.00565083j 0.00375208-0.00700216j 0.014723-0.0188413j -0.0111912+0.00491259j -0.00178273-0.000426374j 0.0164801+0.0138033j 0.00785066+0.0135861j -0.00317002-0.00491932j -0.00458077+0.00538811j 0.00989282+0.00606925j 
0.00473214-0.0201415j 0.0135543+0.0045557j 0.0260375+0.0115431j 0.00697596+0.00957283j 0.0166094-0.025523j -0.012428-0.00125845j -0.000574559-0.00303542j -0.00431731-0.00315012j 0.00342804-0.000936682j -0.000119821-0.00433134j -0.000888865+0.00316424j -0.00645011-0.00082942j 0.00356295+0.00150264j -0.00245186-0.000447749j -0.0010217-0.00152143j -0.0054846+0.00842646j 0.00420901-0.0033935j -0.00300945-0.00334532j 
0.014594+0.00642357j -0.00839382+0.0144763j -0.00235375+0.00193153j -0.00190783+0.00570593j 0.00157421+0.0048696j 0.00013118-0.0157562j 0.0176363+0.00140059j -0.000221177+0.012365j -0.00979-0.00313969j -0.00606905+0.0117874j -0.0194608+0.0125033j 0.0192727+0.00138549j -0.000892439-0.00313792j -0.00918519-0.0183096j -0.00880424-0.01243j 0.00992257-0.00088022j 0.00352695-0.00223998j -0.00725905-0.00543483j 
-0.00492709-0.000769158j -0.00362671-0.00240572j -0.000455754+0.000256919j 0.00181073-0.000563218j 0.000584811+0.000880086j 0.00308211+0.00192106j 0.00179586+0.000334127j 0.0213205+0.002058j 0.000199698+0.000941429j -0.00680325+0.0101398j -0.00147353-0.00505923j 0.0193136+0.00458708j -0.00847352-0.00586339j 0.000819695-0.00379995j 0.00224188+0.00320099j 0.0164061-0.0111162j -0.00782595+0.00152832j 0.00731755+0.0054514j 
0.00135877-0.000361328j 0.000823704+0.0027788j -0.00193653-0.00576501j 0.0027887-0.000355217j -0.00690511-0.000778588j -0.00322327-0.00222227j 0.00686716-0.0044234j 0.000727032+0.00341258j -0.00440305+0.00188583j 0.0116232+0.0102478j 0.00735393-0.00592281j -0.00356575+0.00243727j 0.00861589-0.0035925j 0.0186136+0.0074226j -0.00755068+0.0045812j -0.00121119-0.0139223j -0.00524568+0.0022597j -0.0166493-0.00249062j 
0.00558685+0.0171587j -0.00773467+0.004098j -0.0121747-0.0100568j -0.00606973-0.00468001j -0.0130969+0.0113877j 0.00487629-0.00673396j 0.0031237+0.0027325j -0.023151-0.00462682j -0.00183651-0.00160439j 0.00896411-0.0146596j 0.00227097+0.00599316j -0.0234992-0.0120325j 0.00517156+0.00868878j -0.00565954+0.00644357j -0.00237343-0.00323672j -0.0223898+0.0114234j 0.00912029+0.00043175j -1.84416e-05-0.00595005j 
0.0029741+0.00184104j -0.00196545+0.00235536j -0.00216411-0.00189401j -0.000654881+0.000658985j -0.00329096+0.00237806j 0.000203117-0.00332541j 0.00483155+0.00136286j -0.00933115+0.0049211j -0.00533316-0.0062435j 0.000679736+0.00764126j -0.0103645+0.00388152j 0.00517239+0.00417596j 0.00665045-0.00272699j 0.00573213-0.00948782j -0.00497753-0.0116123j -0.00217148+0.000849453j 0.00159592+0.000252511j -0.0159792-0.0113267j 
-0.000107342-0.00205574j -2.11708e-05-0.00126687j -0.000376416+0.00261108j 0.000259758+0.000937719j 0.00331503-0.000310249j 0.000116113+0.001475j -0.000622874-0.000418801j 0.0126896+0.00727367j 0.00178531+0.00426495j -0.00749913-0.000794038j 0.00433633-0.00524886j 0.00532385+0.0084003j -0.00314764-0.00332414j -1.55148e-05+0.00251521j 0.00223305+0.00803012j 0.0147834-0.00178341j -0.00402675-0.00244863j 0.00883086+0.0106842j 
