-0.0181025+0.0168699j 0.00221738+0.095709j -0.0469042+0.0533314j 0.0238801-0.0258494j -0.000683866-0.0111552j -0.0030494+0.0195621j 0.0311254-0.0391994j -0.0268707-0.0100426j 0.0890772+0.0267863j 0.0329717-0.0174674j 0.00473271+0.0144947j -0.00273092+0.00652939j 0.0132858+0.047449j 0.000144746+0.00903044j 0.0229865+0.0350236j -0.0274866-0.00708959j -0.046473-0.0202998j -0.000431969-0.0322346j -0.0394968+0.0163057j 0.0477881+0.0321399j 0.0290814+0.00345015j -0.0241052-0.013447j 0.00156164-0.00445053j -0.00446095+0.00732243j -0.0283244+0.00604827j 0.0187807-0.00494616j 0.0137604-0.0133007j 0.0136742+0.00360743j 0.0163611+0.00656097j 0.0011669+0.00532963j 0.00926439-0.0131319j -0.00796167-0.0152128j -0.00754108-0.0201066j -0.0152782-0.0180449j -0.00885458+0.00891384j -0.006924-0.0025259j -0.00530641-0.0142275j -0.032597-0.0190136j -0.0195739-0.0226097j 0.00282181+0.00135788j 0.0151555+0.00519724j 0.017836-0.00692388j -0.00171954-0.00415829j -0.00706973-0.0172678j 0.0124012-0.00726492j 0.00921741+0.00182397j -0.0125002-0.00520099j 0.00453424+0.0106365j -0.0166918+0.0061443j 0.032598+0.017938j -0.00249228-0.00748533j -0.0189325+0.00391359j 0.00149341-0.00717019j -0.00453159+0.0177068j -0.0038999+0.00893927j 0.0169744-0.00954413j -0.00468312-0.00302609j -0.0114875+0.0262492j 0.0130727+0.000838173j -0.00820047-0.0127427j -0.000747833-0.00210451j 0.00902027-0.0116475j -0.00397205-0.0069747j 0.00518519+0.00131171j -0.00142273+0.036851j -0.0259404-0.0252587j -0.00219527-0.0197892j 0.0162233+0.0165723j 0.0106704+8.06858e-05j -0.0115959-0.0160781j -0.0074178-0.0192572j 0.00669811+0.033692j -0.0210077-0.0355032j 0.0648889-0.0181771j -0.00816557+0.0264417j 0.00174347-0.0148561j 0.055094+0.0639171j -0.00227653-0.00968662j 0.0139826-0.02666j -0.0104623+0.0489578j -0.0340604-0.0715722j 0.0774408+0.0497705j -0.0199187-0.0213178j -0.0092349+0.0865618j 0.0901987+0.0220093j 0.0882283+0.0194662j -0.0961783-0.0252247j 0.0482118+0.0131077j 0.0402298+0.0553264j 0.107977+0.115592j 0.0381611+0.0722046j 0.0217117-0.019179j 0.0341846+0.0339209j -0.0202778-0.0477905j 0.105115+0.128903j -0.201996+0.233576j -0.114925+0.0417132j 
-0.00735348-0.000891454j 0.00766997-0.0236181j 0.00964888+0.000663529j -0.0165637+0.0144313j -0.00972718-0.000807327j -0.0199382-0.0420334j -0.0275503+0.0138895j 0.0247172+0.0130351j -0.0182861-0.0131089j 0.00652811-0.0205503j -0.00118541+0.0191571j -0.00264652-0.0127442j 0.0117755-0.00724612j 0.013715-0.0247658j 0.0443681-0.0456225j -0.0409134+0.0521739j 0.0205025-0.0760123j 0.0405176-0.00302007j 0.00392778+0.0284699j 0.0269146+0.0767417j -0.0508873+0.0514884j 0.0196237+0.00917113j -0.0586163-0.0275953j -0.0792536-0.093851j 0.0465046+0.0799107j -0.0135254+0.0536493j -0.0490541+0.117507j -0.00493325-0.0923358j -0.0130537+0.0211399j 0.164776-0.0117877j -0.1953-0.0590974j 0.0212277+0.151638j 0.0547784+0.0711913j -0.0594525-0.131204j 0.0574092-0.0093924j 0.0252643+0.159109j 0.156177+0.0705131j 0.0453593+0.0598607j 0.0185588-0.0170797j -0.144594-0.0526983j -0.110684+0.0763209j -0.0534567-0.147728j 0.0573638+0.0881724j -0.0643206-0.0675273j -0.0167416+0.0108257j -0.157274-0.0967659j -0.121435+0.0015652j 0.0292929-0.0707134j -0.102643-0.00782441j 0.122684+0.00042964j 0.00153122-0.0560929j -0.116565-0.0531956j -0.0651474+0.0408798j 0.00478716+0.000419967j -0.0330535+0.0173336j 0.00122462+0.0589278j 0.0652956+0.0564105j 0.0984998+0.0254956j 0.0254906+0.0917546j -0.127583+0.0490308j 0.0846195-0.0176819j 0.011519-0.0115403j 0.00868952-0.00931762j -0.0395316-0.0238376j -0.0528749+0.0285325j 0.0138125-0.0485152j -0.0439474+0.0420817j 0.0193397-0.00585959j -0.019387-0.0618276j -0.0444882-0.015043j 0.0330264-0.0114246j -0.0743601-0.046527j 0.0866456+0.064789j -0.0102903-0.0546782j 0.00171506-0.0615528j 0.0347525-0.034421j 0.0136603-0.0175617j 0.0440993-0.0161692j 0.0413771-0.0414615j 0.0104724-0.0071724j -0.00858311+0.00707455j 0.0162696-0.0557206j -0.0154086-0.0329749j -0.0251191+0.00477735j -0.0520165-0.0259147j 0.00339953+0.0279713j -0.00362231+0.0318195j 0.00606206-0.0225748j -0.048656-0.00625691j 0.0127208-0.0424652j -0.0241209-0.0208973j 0.0085367+0.00458234j -0.0542855+0.0282019j -0.0226327+0.0231106j -0.0175762-0.0118032j 0.0185068-0.0340462j 0.00940868-0.00136913j 
-0.00105542+0.00688744j -0.00840358-0.00139985j 0.00067759-0.00747034j -0.0493305+0.00544079j 0.0255433+0.00790969j 0.00343273+0.0169779j 0.00311705+0.00839504j 0.016958-0.0258704j -0.0402125+0.00651365j -0.0204393-3.4103e-05j -0.0109675+0.0103514j 0.0123798-0.036206j 0.00682396+0.0128636j 0.0432768+0.0166092j 0.0234747-0.0322319j -0.0343873-0.0232022j -0.0136239+0.000502662j -0.0410367-0.0624805j 0.0371526+0.0238806j -0.0134036-0.00326572j -0.0226067+0.0019925j 0.0199721+0.0388551j 0.0273813-0.0366812j 0.0650346+0.0247111j 0.0397024-0.0311266j 0.0249365+0.029879j 0.0734475+0.0164327j 0.10462-0.0384459j -0.0745083+0.0234148j 0.00532557-0.000307539j -0.019685-0.0372663j 0.0489375-0.122972j -0.0119987-0.00882127j 0.120439-0.00690776j 0.0776689+0.014432j -0.047959+0.225549j -0.0749733+0.126414j 0.0128237+0.0138708j 0.115394-0.185041j -0.0163223+0.0391854j 0.0722521-0.000688053j 0.0220205+0.0272444j 0.101047+0.0598088j -0.0836247+0.0355761j 0.123118+0.0634987j 0.0120178-0.0276983j 0.0305413-0.0310951j 0.0915203-0.128736j 0.0138001+0.101124j 0.0022473+0.0502036j -0.112562+0.0107726j 0.0550071-0.0250464j 0.0761809-0.103991j 0.034493-0.00120115j 0.101233-0.0231813j -0.023406+0.0157112j 0.0594494+0.0482328j -0.0396125+0.0203982j -0.0767195+0.0263308j 0.0390112+0.0504559j -0.0470067+0.0386996j 0.0118523-0.0198151j -0.0167177-0.0198197j -0.0147115+0.0274778j 0.102757+0.112236j 0.0292857-0.057946j -0.0802384+0.0192959j -0.0630802+0.0426325j 0.0290861+0.0219379j 0.0209877+0.0149186j 0.0101837+0.0772115j -0.0175787+0.0745761j -0.00123946+0.0267936j 0.0281475+0.0416937j -0.0631187+0.0203465j -0.0151279-0.0289258j 0.010326-0.00587827j -0.0112779+0.0451915j 0.0098422+0.0623509j -0.0512956-0.0483331j -0.00211971+0.04446j 0.0222631+0.0786024j -0.0282474+0.0209592j -0.0121483-0.0654796j -0.0398799+0.0365535j 0.00850187-0.00329383j 0.0487722+0.000893673j -0.00490061-0.0187662j 0.00960058+0.0318468j -0.00912285+0.0491704j 0.0060181+0.0395974j -0.000601115-0.0175983j -0.00865247+0.00517655j 0.00608479-0.0360899j -0.0170698-0.0284177j 0.0689735-0.0416195j -0.0133239+0.0356012j 
-0.0187052-0.00875447j 0.0103052-0.00298185j 0.00601877-0.0138428j -0.0134437+0.0333214j -0.0100091-0.0151264j 0.0174073+0.0169931j -0.0445345+0.0131639j -0.0278924-0.0125864j -0.01007+0.0299429j 0.0145393+0.0167352j -0.00303324-0.0113698j -0.00509506-0.025613j 0.0804651+0.0329493j 0.0493447-0.0231122j -0.0190335+0.00292841j 0.0222922-0.0341289j 0.0558404-0.00976143j -0.0036293-0.00138756j 0.0334481-0.0462617j -0.0402834+0.00294772j 0.0111614-0.00504626j -0.0490017-0.0439897j 0.0100432+0.126594j -0.0334414+0.0711074j -0.073127-0.0700209j -0.0439386-0.0294465j -0.134714-0.0570239j -0.13408-0.0116589j 0.0906022+0.00734517j -0.0533319+0.0303845j 0.073649+0.0170382j -0.106951-0.0973174j 0.0371525-0.0181287j 0.0392398+0.215069j -0.100143+0.110364j 0.209766-0.15186j -0.0512525-0.0310303j -0.101803-0.0294788j -0.0591007+0.0409087j -0.0353674-0.0190178j -0.000727325+0.0409408j 0.0178859+0.0537805j -0.100271-0.0154714j -0.0157345+0.0475837j 0.019502-0.0514411j -0.0701954+0.0357381j 0.0649295+0.0284551j -0.0363742+0.139937j 0.0709571+0.0570063j -0.0289961-0.0855947j 0.0514348+0.0237217j 0.149169-0.0701337j -0.0745991+0.0757285j -0.00626334+0.0088718j 0.0362147+0.0617433j 0.0380363-0.0390313j -0.0124496+0.0154983j 0.0496582-0.0120472j 0.0261226-0.047268j -0.0120981-0.0901098j 0.0838018+0.0527759j 0.0482429+0.0259623j -0.00221432-0.0292394j 0.0391056-0.0561589j 0.00804447+0.0479486j -0.0205814+0.0252155j 0.0410256+0.000798727j 0.0990407+0.0022347j 0.0547506+0.00554016j 0.0283665-0.0130916j 0.0911773+0.0608651j -0.0474224+0.00223864j 0.0148605+0.0282684j 0.019813+0.0959606j 0.00100433-0.0200919j 0.0300568-0.0190289j 0.0894705-0.0511558j -0.0593575-0.0165885j -0.0290804+0.0286682j -0.00885231+0.0154116j 0.00869191+0.00522216j -0.0398121+0.027906j 0.00733307+0.000539189j -0.00893479-0.04305j 0.0151437-0.0626294j -0.00787589-0.0578444j -0.0027377+0.0233099j -0.00251674+0.0251207j -0.0282928+0.0186721j 0.0553875-0.0433971j 0.024643+0.00507657j 0.0199537-0.0518368j -0.0367014+0.00413546j -0.0222552+0.0234342j -0.0107191-0.0164783j 0.0172542-0.0490485j 0.0402999-0.0300902j 
-0.0227133-0.016065j 0.0033272+0.00594594j -0.00400629+0.01888j 0.0249893+0.00519488j 0.0318249+0.03479j 0.0238727-0.0134058j 0.0249712-0.00418704j -0.0561898+0.0120705j 0.0328065+0.0194113j -0.00337817+0.0204202j 0.0648722+0.0121192j -0.00385102-0.0240842j 0.0704885+0.0208278j -0.00684349-0.040641j 0.0431468+0.0278623j -0.00441333+0.068993j -0.0517366+0.00644481j -0.068524+0.0312485j -0.0141796+0.0469905j 0.0650032-0.00320917j 0.0320447+0.0259283j 0.0375794-0.0219561j -0.0346759+0.0179303j -0.0274552+0.0561014j 0.0188802-0.0570583j 0.0295421-0.0287704j 0.0827759+0.02572j 0.0657267+0.131534j -0.0899071-0.0473553j -0.0371694-0.0180118j 0.023583+0.0504291j 0.0909141+0.0215078j 0.00512119+0.0278404j 0.0164166+0.0324141j 0.0163125+0.021539j -0.115832+0.0434977j -0.0656207-0.037642j 0.006246-0.00693575j -0.019676+0.0311143j 0.0361554+0.0376637j 0.0121948+0.0785427j 0.00105541+0.00482627j 0.0556793-0.0529349j 0.0159946-0.0215056j 0.0292412+0.0277548j -0.0381928+0.123088j 0.0652625+0.0347609j 0.0676436+0.0886687j 0.000665751-0.0168267j 0.0509839+0.0800198j -0.00735167+0.00822689j 0.00674005+0.0799541j -0.0181598-0.00548455j 0.122201+0.0339704j -0.105257+0.03029j -0.0380417+0.043022j -0.0195455-0.0486537j 0.0514935+0.0427667j 0.0348661-0.0207406j -0.00128223-0.0234126j 0.0633495+0.0722949j -0.0426357+0.0171676j 0.0634592+0.00538455j 0.0232269+0.0447927j 0.099503+0.072827j 0.0409156-0.0235422j -0.00592677-0.124433j -0.165432+0.0235288j 0.0486249-0.00295196j -0.0409244+0.0128154j -0.00807317-0.012334j -0.0361341-0.0437466j -0.105143+0.0336701j 0.00813837-0.00842633j -0.0366952-0.0840616j 0.065626-0.0160762j 0.0193262-0.0302257j 0.173054-0.118968j 0.106108-0.0774436j -0.0384072-0.071767j 0.0444775-0.0306433j 0.0075784-0.0819222j -0.0840884-0.00468999j -0.018679+0.117094j -0.0429009+0.061441j -0.0451646+0.066859j -0.070323+0.032645j 0.0110517+0.00244833j -0.0489577-0.00729922j 0.0297238-0.0197829j -0.053822+0.0181326j 0.0122344+0.0908779j 0.0898104-0.0716719j -0.00252774+0.0203364j 0.0260047-0.00548618j -0.0304315+0.0229496j -0.0389854+0.0207007j 
-0.0203336+0.00524676j 0.00670615+0.00232567j 0.0149336+0.00457638j 0.00039918-0.000623075j 0.000726321+0.029399j -0.00253846-0.000696484j 0.00394931-0.00963477j -0.012637-0.00799531j -0.0114294-0.00813599j -0.00752508-0.00084884j 0.0108716-0.00911343j 0.0029638-0.00369852j -0.0391978-0.0272016j -0.0277111+0.00750333j -0.00939492-0.0449834j -0.00724982-0.000491664j -0.0229604-0.0497675j -0.0384652-0.0731703j 0.0252914-0.0441255j -0.0153853-0.0402137j -0.00820235+0.121626j 0.0899754-0.0142326j -0.0261295+0.021211j 0.0551573+0.0496932j -0.0308783-0.0649593j 0.0585777-0.055976j 0.0160898+0.0296631j 0.0693052+0.0173801j -0.0963111-0.102997j 0.10546+0.00443165j -0.0500262+0.0125697j 0.114378+0.0738672j -0.0167449-0.00187998j 0.0208432-0.0209591j 0.0385187-0.0640386j 0.0380047+0.0648594j -0.0794911+0.0358783j -0.00302595+0.0819907j 0.0365445-0.0147854j 0.0425312+0.0945629j -0.0689124+0.0869222j 0.0660042+0.0202197j 0.0249682+0.0671655j -0.0746382+0.0848543j 0.0944269+0.0686419j -0.0251834+0.134018j 0.0549507+0.0318849j -0.00316955+0.0649734j 0.0732481-0.00594864j 0.0397939+0.0509413j -0.0337533-0.0382964j -0.00976591+0.0838185j -0.00998298-0.00643014j -0.0293353+0.0413696j 0.0341544+0.0274704j 0.0272008-0.0627217j 0.00832832+0.0786416j -0.0182562+0.0485764j -0.0101705+0.0451092j -0.111798-0.0397144j -0.0689809-0.0144936j -0.0395051+0.0112678j -0.0197097-0.0354947j -0.0128711+0.072524j 0.0502059-0.0196255j -0.00496608-0.00633332j -0.0120922-0.0718481j -0.0559907+0.011079j 0.0372416-0.0148878j 0.0527974-0.0330429j 0.0113729-0.00680444j -0.00714988-0.0166183j -0.011351-0.00576122j -0.0607409+0.0603233j -0.0386452+0.0323807j 0.0374352+0.00350331j 0.00828741-0.0596804j -0.00510014+0.0174568j -0.0342759+0.0112158j 0.0163233+0.0246578j -0.00201433+0.00892565j -0.052359+0.0188496j 0.0428088-0.0336987j -0.025136-0.0293299j -0.00360558-0.0605994j -0.000152821-0.0137828j 0.0213725+0.0008243j 0.00256887+0.000603869j -0.00542545+0.01385j 0.0377222-0.00825654j 0.00161965-0.0325531j -0.000435398-0.00450812j -0.00821346-0.00970662j -0.00756014+0.00774557j 0.00391649-0.00503357j -0.00264497-0.0142485j 0.042365-0.0127733j 
-0.00179178-0.0114531j 0.0150954+0.0121733j -0.00146919-0.00572859j 0.0203799+0.00160733j -0.00096364-0.0171982j 0.015637+0.0135041j -0.00582574+0.00149386j -0.0117731+0.00777919j 0.0083406+0.00602385j -0.00296027-0.00312052j -0.0139576-0.000826538j -0.011593-0.0145772j 0.0238187+0.0424117j 0.0391397-0.0192919j -0.0386723-0.00854708j 0.0614777-0.0177451j 0.00254009+0.0353858j 0.0146003+0.0938731j 0.0144155+0.0219085j -0.0414388-0.052376j -0.116891-0.102623j -0.0811124-0.069726j 0.0134675+0.0387448j -0.0115102+0.0136722j -0.101395-0.0350222j 0.0120155-0.0343233j -0.112884-0.0050521j -0.102275+0.0117014j 0.101536-0.0886006j 0.0930481-0.043536j -0.0207682-0.0695435j 0.164041-0.0849609j -0.0587959-0.0799305j 0.0603539+0.0807959j -0.0521968+0.034281j 0.066222+0.0743225j -0.040362+0.111337j 0.0484415+0.0697031j -0.152939-0.128157j -0.0543311+0.0516718j -0.0997059+0.0039887j 0.190435+0.173655j 0.0819089+0.103033j -0.106932+0.153991j 0.0653744+0.0471277j -0.0880458+0.0411855j -0.037603-0.0873945j -0.0616479+0.00684072j 0.0250414-0.0720716j 0.027392-0.00136002j 0.0999475-0.127366j -0.00631008+0.0856207j -0.0694376-0.0168181j -0.103146-0.01625j -0.00563747+0.0190759j 0.0418166-0.0448121j 0.0421279-0.0495125j 0.0516834+0.106102j -0.0542562-0.0411523j -0.120716-0.0691381j -0.0539004-0.0654363j -0.0301735+0.0651885j -0.00312283-0.070522j -0.0431307+0.0252339j 0.0287801-0.00395099j -0.0407632+0.0505253j -0.00201114-0.0795449j -0.0303445+0.0983329j 0.0741679-0.10892j 0.0148938-0.126486j 0.0596169-0.0403875j 0.0132487-0.02517j -0.199232+0.0313882j -0.0532042+0.0277571j 0.0244717-0.0430418j -0.0527472+0.0316181j 0.0239405-0.0072697j -0.0156112-0.0333722j -0.0268791-0.0102107j 0.101171-0.00497085j 0.0303761-0.0520853j -0.0476982+0.0364053j 0.010794+0.0316015j 0.029708-0.00275045j 0.00671533+0.0439791j -0.0098586-0.00590065j -0.00276877-0.0674422j -0.023118+0.00852643j 0.00419529+0.00309841j 0.00871575+0.02903j 0.0143051+0.00132103j -0.115928+0.0540761j -0.00915481+0.0518697j 0.00998328-0.00607339j -0.00598519+0.0182294j -0.00774227-0.00794006j 0.0209031-0.0242682j 
-0.0222073-0.0168722j 0.022733+0.0155131j 0.020283-0.039189j 0.0129312-0.00701692j 0.00966503-0.0138691j 0.000786851+0.0291747j -0.0217356+0.026727j 0.018417+0.0159076j 0.0164084-0.0124243j 0.0119792-0.0179202j -0.0247662-0.00403671j 0.0271078+0.0156654j -0.0479711+0.0373892j 0.0475574+0.0427778j 0.00661525-0.0582929j 0.0332319-0.0200399j 0.0361458-0.0587154j 0.0386742+0.0196656j -0.0212408+0.0202793j 0.0386944+0.083409j -0.0295735-0.0335061j -0.0483871-0.0366151j -0.0143047+0.0727565j 0.000234734+0.0531736j 0.0117617-0.0262926j -0.0227492-0.0467833j -0.055538+0.0184871j 0.00896166+0.0553045j 0.0374083+0.0282518j 0.0601259-0.0310213j 0.0016343+0.0324463j -0.0143171-0.0391579j 0.0373229-0.020099j -0.0159045+0.060661j 0.0152997+0.0568565j 0.0562234-0.0796532j -0.0650772-0.0563759j 0.0666446-0.138338j -0.0777946+0.117817j 0.0363994-0.00799517j -0.0170157+0.00783872j -0.0792101+0.051099j -0.00939176-0.0142156j -0.0422938+0.0236245j -0.148187-0.0461072j 0.0111814+0.0185278j 0.0300526-0.0968299j 0.123544+0.0284296j 0.0377073+0.0813872j -1.22767e-05+0.0361378j 0.0717026-0.0103394j 0.0746257+0.0568566j 0.0759048-0.069355j 0.0881026+0.0534411j -0.104051+0.059346j -0.103668-0.0831992j 0.0135263+0.0253176j 0.00412796-0.0128079j -0.0393028-0.125877j 0.0767478+0.0737533j 0.0583554-0.0535096j 0.0280627-0.0973534j 0.0982325+0.0752013j -0.0106382-0.023608j 0.0252723+0.0175406j -0.0363117-0.0498597j -0.00646652-0.0152397j 0.0391718+0.015343j -0.0372867-0.04094j -0.00451612+0.0763015j 0.0455302+0.0495443j -0.0288296+0.0351128j 0.0364403+0.0371273j -0.0366745-0.0282986j 0.0249315-0.0632545j 0.00613855-0.0488998j 0.184761-0.0506117j 0.0146858+0.0131751j 0.0131198+0.0127421j 0.0269954-0.0115812j -0.0356718+0.081206j 0.137179+0.0197589j -0.0531417-0.0262783j -0.0487392+0.101425j -0.0461406+0.0210656j 0.0546153-0.0172799j -0.032913+0.0257971j 0.0426601-0.0474319j -0.0930607+0.0436641j 0.0263816-0.0662641j -0.0193374+0.0138277j -0.00885883-0.0604991j -0.0666495+0.0245333j -0.039255+0.0613038j 0.0036659+0.0238291j -0.0478925+0.017145j 0.0128512-0.0492518j 
-0.0251002-0.0257947j -0.0209917-0.021322j 0.0229504+0.0112114j 0.0114658-0.014764j 0.0156318+0.00172072j -0.00379316-0.0015437j -0.004315-0.0376346j -0.0379374+0.0072932j -0.00819141+0.00691528j 0.00492173-0.0412878j 0.0307408+0.00593644j -0.0146062+0.0297356j -0.00323714-0.0272521j 0.00386473+0.0250794j -0.0338121+0.0190568j 0.0430558-0.00603689j 0.00584031-0.028842j 0.00317092+0.0249931j -0.00224854+0.0186638j -0.0294341-0.0693732j 0.0127799-0.000930227j 0.00546558-0.0352397j -0.0355375+0.03358j -0.0727024+0.0176381j -0.0179361+0.0277309j 0.0379817+0.0712114j -0.0364376-0.00434736j -0.0657093+0.0415263j 0.0553181-0.0290737j -0.0115458+0.0171474j 0.0177171+0.00693872j -0.0608286-0.0537556j 0.0200006+0.0195873j -0.0311803+0.0405193j -0.10306+0.122833j -0.0413575-0.102151j -0.0302315-0.0325248j 0.0919168+0.0249941j 0.00680124+0.0433405j -0.0786493+0.0437928j 0.0650172-0.0165727j -0.00723931-0.00920234j -0.0168789-0.0982697j -0.0834892+0.0120535j -0.0324866+0.071741j 0.121238-0.0473965j 0.0366796+0.028236j -0.0674524-0.0562472j -0.106683+0.0250993j -0.0198304-0.0409022j -0.0359789-0.0158276j -0.0535209+0.0160248j 0.040419+0.000486691j -0.0509322+0.0501328j 0.0972271-0.0114873j 0.0375716-0.0639116j 0.0796879+0.0146878j 0.0154126+0.0161852j -0.0100543+0.148228j 0.0911035-0.0213634j -0.0807071-0.124118j -0.0188154-0.0509886j 0.00814834-0.071981j -0.116713+0.084167j 0.00585648-0.0726955j 0.0705982+0.0172605j -0.0992531-0.0364664j 0.0247279+0.0168924j 0.120084+0.166923j 0.0628219-0.0321265j -0.0136034-0.0802483j -0.117323+0.0377488j -0.0319206-0.0101414j -0.112662-0.133503j 0.0483444+0.0515632j -0.0110564-0.0582539j -0.1761+0.0507738j -0.022699+0.123338j 0.0237106+0.0103455j -0.0205961-0.113989j -0.00355255+0.0172102j 0.011938-0.00754944j 0.0540423-0.0985595j 0.0221506-0.0704583j -0.0817753-0.0574298j 0.0368262+0.035038j 0.0713987-0.000609913j -0.00743512-0.0311511j 0.0660462-0.0345001j 0.0127207+0.0602653j 0.0684277-0.0698726j 0.0232352-0.00756156j -0.00913182-0.00244062j 0.000768469-0.00352161j 0.0293901+7.91407e-05j 0.0471967-0.069129j 0.0608578+0.00158124j 
-0.0174266+0.00419412j 0.0023531-0.00956393j -0.00199843+0.0255268j -0.0146788-0.00119155j 0.0202375+0.0326487j 0.00343777+0.0184777j 0.0230415-0.032105j 0.0235278-0.0207794j -0.0878978+0.010008j 0.00725134-0.0287667j 0.0221945-0.0132595j 0.0118148-0.00949323j -0.0741169-0.00100708j 0.0145515-0.0112806j -0.0600991+0.0274911j -0.0068959+0.0436598j 0.0783884-0.065699j 0.0359351+0.0182588j 0.0122366-0.0148319j -0.00596804+0.00206514j 0.0116436+0.0225568j 0.0676125-0.0697663j 0.0191901-0.0214124j 0.0762859-0.0548189j -0.114809+0.0364423j -0.0554969-0.0301932j -0.063501-0.0659642j 0.0106786-0.0651939j 0.0683775+0.0468488j -0.090789+0.000215575j 0.0436871-0.000922579j -0.094929+0.0530477j -0.121479+0.0587413j -0.00719031-0.00843705j 0.0754184-0.00690401j 0.0853569+0.0423031j 0.0355372-0.034078j -0.142889-0.0272939j -0.15766+0.0587471j 0.112271-0.0698482j -0.133429-0.0248374j -0.0365251+0.0252296j -0.0361418-0.00632777j 0.00309838-0.068558j -0.0427817+0.0448808j 0.019661-0.0832545j -0.104627-0.0430642j -0.0341453-0.0069177j 0.0262618+0.0323289j -0.000953134+0.0623649j 0.0565687+0.0805822j 0.0868253-0.0637089j 0.0759184-0.0569614j 0.0191505+0.00298592j -0.00819063-0.0446842j 0.0519723-0.0126377j -0.0361021+0.0146332j -0.00170902+0.0435685j -0.00130685-0.00966604j 0.0173313+0.064436j -0.0164758+0.0975477j -0.0726366+0.00458828j -0.000122725+0.0274564j -0.0261977-0.00933067j 0.0260097-0.0601193j -0.0833795-0.0443606j 0.0139444-0.0551469j -0.0441253-0.00160955j -0.043826+0.037183j 0.00825781-0.0540951j 0.00739353-0.057544j -0.0268252+0.0783479j 0.0548151+0.0186112j -0.0609593-0.0138527j 0.0315528+0.0180216j -0.0215089+0.0957156j -0.016363-0.0566483j 0.0583785-0.0198481j 0.0625483+0.0473589j -0.0254133-0.0591348j 0.00371477-0.0122964j -0.0155807+0.0110664j 0.0191988-0.0139298j 0.024965-0.0473773j -0.0548647+0.0996721j -0.0148604+0.0210543j 0.0245875-0.0201481j -0.00307789+0.0110393j -0.0325652-0.035781j -0.0127332-0.00699029j 0.00996712-0.0540083j 0.0742874-0.0604109j -0.0708588-0.0112354j 0.00835683+0.00719094j 0.0253001-0.0474469j 0.0694502-0.0414315j 0.00711691+0.0377431j 
-0.030333-0.000162744j 0.0392864+0.0290154j 0.00476143+0.00219878j 0.00962797+0.00582769j -0.0364886-0.0171853j -0.0134403-0.0145807j -0.0130254-0.0318912j -0.0128174+0.0064679j 0.00894733+0.023239j 0.028651-0.00198056j 0.0260466+0.00383245j -0.0471085-0.0245278j -0.0119537+0.0393355j -0.041486-0.03832j -0.00936964+0.0139483j 0.0174094-0.0082218j 0.00622617+0.0152864j -0.0131382-0.0121318j 0.0272066-0.0151995j 0.0143043-0.0229879j -0.00681483+0.0528828j 0.000745137-0.0346983j 0.0691169-0.0431638j 0.0276818+0.0280022j -0.0365642-0.0421141j 0.0168043-0.0539398j 0.0391687-0.0257289j 0.0964281-0.0224962j -0.0747278+0.0393879j -0.0756319-0.00694525j 0.00647031+0.0490883j 0.0386883-0.0109931j -0.0450225+0.0336909j -0.0481321+0.0315682j 0.0803576-0.0483019j -0.0305922+0.0397848j -0.102032+0.0370141j -0.0826653-0.000379344j -0.0389171-0.0377015j 0.125761-0.011058j -0.115797-0.0332057j 0.0573258-0.0104501j -0.073609-0.0224931j 0.0991486-0.021j -0.024236-0.0079227j 0.0788518-0.0230169j 0.0621162+0.00176596j -0.090535-0.0245583j 0.166923-0.117899j -0.0544819-0.0411109j -0.0836795-0.0231317j -0.018788+0.0466652j -0.0243361+0.0244817j 0.0391746-0.0323592j 0.0782374-0.0321988j -0.0595051+0.0840431j -0.122687+0.0146147j 0.0906381+0.0280091j 0.184471+0.00807443j 0.0427306-0.171863j 0.0442184-0.105762j 0.0378317+0.0130735j 0.0710758-0.0109628j -0.0580427+0.0226096j -0.0192606-0.0226559j -0.00307207-0.0558069j 0.0178755-0.0175833j 0.0255705-0.0162757j 0.00190921+0.113123j -0.0228777-0.0272358j 0.0383321+0.00780885j -0.00459715+0.0870935j -0.00898622+0.0142142j -0.080016-0.0384431j 0.0611734-0.00432477j -0.00677313-0.0519061j -0.0537029-0.030039j -0.0434063+0.0427465j 0.0295961+0.0140009j -0.00920796-0.0581795j 0.00609678+0.0498353j 0.0770714-0.0075861j 0.024925-0.0554606j -0.042489-0.0479544j -0.0532728-0.0373819j -0.00964823-0.00643695j 0.0438664+0.0256346j -0.00977812-0.0293762j -0.026943+0.0182058j -0.0448483+0.0266903j 0.0574187-0.0217694j 0.0402471-0.0400139j 0.00901946-0.0293947j -0.0396215+0.017106j -0.00647205+0.0107056j 0.0148252-0.0338968j 0.0512873-0.0216987j 
