-0.00644478-0j -0.000930224-0j -0.00528337-0j -0.000933977-0j -7.78314e-05-0j -0.00321513-0j -0.00324844-0j -0.000535854-0j -0.000328142-0j -0.000541407-0j -6.69818e-05-0j -0.000331543-0j -6.76759e-05-0j -3.94694e-06-0j -3.98784e-06-0j 0.575528-0j 0.71218-0j 0.415438-0j -0.000376533-0j -0.000307438-0j -0.000465936-0j -4.43748e-05-0j -0.000271796-0j -0.000380435-0j -3.84297e-05-0j -0.00022192-0j -5.49111e-05-0j -4.52899e-06-0j -4.75544e-05-0j -3.20315e-05-0j -2.06719e-07-0j -2.77401e-05-0j -5.60434e-06-0j -2.55802e-07-0j -3.2692e-06-0j -1.49218e-07-0j -0.00183307-0j -0.00213859-0j -0.00130961-0j 0.0714904-0j -0.00187126-0j -0.000771856-0j -0.000229134-0j 0.0834055-0j -0.000152756-0j -3.30727e-05-0j 0.0510752-0j 0.0729798-0j -3.8189e-05-0j -0.000267323-0j 0.0301026-0j -0.000178215-0j -0.000163701-0j -1.35019e-05-0j -3.18242e-06-0j -3.85848e-05-0j -0.000109134-0j -2.36283e-05-0j -0.000233908-0j -3.37547e-06-0j -0.000155939-0j -4.45539e-05-0j -9.64821e-05-0j -3.37617e-05-0j -2.81289e-07-0j -1.57522e-05-0j -2.72836e-05-0j -3.71282e-06-0j -6.43214e-05-0j -1.3926e-05-0j -1.0483e-08-0j -9.6462e-06-0j -3.93804e-06-0j -3.89846e-05-0j -2.27363e-06-0j -1.37832e-05-0j -2.41155e-06-0j -3.24872e-06-0j -1.60803e-05-0j -3.2817e-07-0j -3.44579e-06-0j -5.68526e-06-0j -2.00962e-07-0j -1.34003e-06-0j -1.22302e-08-0j -7.48943e-09-0j -2.87149e-07-0j -1.42131e-06-0j -1.18443e-07-0j -1.07014e-08-0j -4.41411e-09-0j 
0.000106575-0j 0.0688235-0j 1.2436e-06-0j -2.10178e-05-0j 0.000251166-0j -0.0104148-0j 0.0102232-0j -0.000847179-0j 5.42638e-06-0j 0.000831591-0j 0.00495571-0j -5.32653e-06-0j -0.00486453-0j 0.00180223-0j -0.00176907-0j 3.85848e-05-0j 6.79612e-07-0j -5.45146e-05-0j 0.11661-0j 5.08399e-06-0j 0.00205391-0j 0.00328312-0j -0.164753-0j 8.95467e-08-0j -6.07569e-05-0j -7.18293e-06-0j 5.7827e-05-0j 0.0010268-0j -1.07014e-06-0j -0.00463856-0j 0.000157866-0j 8.58406e-05-0j 1.80855e-05-0j 2.78057e-06-0j -0.00145072-0j -0.000223041-0j 3.03129e-05-0j 5.0338e-07-0j 2.16566e-05-0j -0.000458225-0j -3.00635e-05-0j -3.7565e-05-0j -0.000742236-0j -7.60934e-06-0j 2.52607e-06-0j -0.479318-0j -0.000327371-0j 0.000454455-0j -6.03764e-05-0j -1.23257e-05-0j 0.000567852-0j 4.19483e-08-0j -0.000530279-0j 2.23276e-07-0j 0.00072151-0j -0.00795961-0j 1.80471e-06-0j -0.342441-0j 0.00073613-0j 0.000249737-0j -2.50529e-06-0j -1.00262e-06-0j 0.000919811-0j 0.475374-0j 0.00012844-0j 3.70774e-09-0j -4.3135e-05-0j 1.19815e-05-0j -3.13042e-06-0j 0.593991-0j 1.20334e-05-0j 1.59516e-07-0j 4.14717e-06-0j 5.98796e-05-0j 0.000515472-0j -2.21439e-07-0j 0.000178421-0j -0.000715574-0j 7.4821e-05-0j 2.1329e-06-0j -0.000247682-0j -2.76693e-07-0j 9.17621e-05-0j -0.000894126-0j 1.99829e-07-0j 8.5971e-06-0j -0.000127383-0j -0.000309485-0j -0.000159169-0j -1.19344e-05-0j -1.49124e-05-0j 
-0.0118403-0j -0.00169819-0j -0.00020928-0j 0.00115531-0j -3.04423e-06-0j 6.13924e-05-0j -6.02628e-05-0j 0.0705386-0j -0.00121199-0j -0.0692408-0j 0.011765-0j 0.00118969-0j -0.0115486-0j -1.44862e-05-0j 1.42196e-05-0j 4.45539e-05-0j 7.84748e-07-0j -6.29481e-05-0j -0.000340098-0j 0.0823174-0j -5.99031e-06-0j 0.0118063-0j 0.000480509-0j 0.00144989-0j 0.0067141-0j -0.116302-0j 0.00020795-0j 0.0011974-0j 0.000118259-0j -0.0166806-0j -9.4937e-07-0j -0.00948604-0j 2.10904e-05-0j -1.67217e-08-0j -0.00169175-0j 1.34132e-06-0j 3.50023e-05-0j 5.81253e-07-0j 2.50069e-05-0j -0.000261789-0j -3.47143e-05-0j -4.33764e-05-0j -0.000420964-0j -4.3473e-06-0j -0.000853123-0j -6.03764e-05-0j -0.000187031-0j 0.000259635-0j -0.483679-0j -6.99058e-06-0j 0.00032442-0j -1.41671e-05-0j -0.000300751-0j -7.49323e-05-0j 0.00127449-0j -1.00262e-06-0j -0.000609501-0j -4.3135e-05-0j 0.000417501-0j 0.00119193-0j 0.000846104-0j -0.00803204-0j 0.000521677-0j 5.98796e-05-0j 9.93308e-05-0j -1.24434e-06-0j -0.345557-0j 2.11644e-05-0j 0.00105723-0j 7.4821e-05-0j -5.78127e-08-0j -5.35342e-05-0j 1.97933e-05-0j 0.4797-0j 0.000910541-0j 7.43158e-05-0j 0.000851556-0j -0.00126401-0j 0.599396-0j 1.6495e-06-0j -0.00118212-0j 9.28593e-05-0j 7.09653e-05-0j -0.0015794-0j -9.60045e-10-0j -4.13034e-08-0j -9.85135e-05-0j -0.00147709-0j -0.000123095-0j 5.7337e-08-0j 7.1644e-08-0j 
-0.0126456-0j 6.28e-06-0j 5.07697e-07-0j -2.60848e-05-0j 7.47909e-09-0j 2.17055e-05-0j -2.13061e-05-0j 3.61758e-06-0j 0.124325-0j -3.55102e-06-0j -0.000131428-0j -0.122038-0j 0.000129009-0j 2.6646e-08-0j -2.61557e-08-0j 1.57522e-05-0j 2.7745e-07-0j -2.22555e-05-0j 2.542e-06-0j -0.000603236-0j 4.47734e-08-0j 2.99577e-07-0j -3.59147e-06-0j -1.06251e-05-0j 0.0145601-0j 0.000852284-0j 5.27659e-09-0j -8.88651e-06-0j 0.000256454-0j -4.23258e-07-0j 1.39557e-09-0j -0.0205713-0j -1.56522e-07-0j 2.45809e-11-0j 1.25553e-05-0j -1.97174e-09-0j 1.23752e-05-0j 2.05504e-07-0j 8.84126e-06-0j 1.95669e-06-0j -1.22734e-05-0j -1.53359e-05-0j -0.000449594-0j 3.2493e-08-0j 1.03127e-06-0j 2.23276e-07-0j 1.39793e-06-0j -1.94059e-06-0j -7.49323e-05-0j -7.46601e-06-0j -2.42481e-06-0j 1.71253e-08-0j -0.000321205-0j -0.487036-0j 2.14847e-08-0j 3.70774e-09-0j 7.36772e-07-0j 1.59516e-07-0j 0.000445895-0j 0.00127888-0j -1.02278e-06-0j -1.24434e-06-0j 0.000557156-0j -2.21439e-07-0j -5.51928e-07-0j -0.00808778-0j -5.35342e-05-0j 3.56778e-10-0j -1.27799e-06-0j -2.76693e-07-0j 7.07714e-11-0j -0.347955-0j 2.12373e-05-0j 7.43158e-05-0j 1.53494e-08-0j 0.483028-0j 0.000913679-0j -2.13079e-08-0j 9.28593e-05-0j -9.16539e-09-0j -0.00126836-0j 0.603555-0j -3.94317e-07-0j -2.66248e-08-0j 1.17524e-12-0j 5.05616e-11-0j 5.47387e-07-0j -0.00158485-0j 6.83973e-07-0j -7.01892e-11-0j -8.7703e-11-0j 
-1.02552e-05-0j -0.0202937-0j 1.744e-05-0j 3.04423e-06-0j 0.00111872-0j -5.11604e-06-0j 5.0219e-06-0j -0.0178832-0j -5.22153e-07-0j 0.0175542-0j -0.00146127-0j 5.12546e-07-0j 0.00143438-0j 0.0164631-0j -0.0161602-0j -3.71282e-06-0j -6.53957e-08-0j 5.24567e-06-0j 8.62229e-05-0j 7.12971e-05-0j 1.51868e-06-0j 0.141088-0j -0.00012182-0j 1.25579e-06-0j 8.80008e-06-0j -0.000100732-0j 0.00248504-0j 0.00457349-0j 1.55e-07-0j -0.199336-0j 0.00217841-0j -1.24332e-05-0j 8.0555e-05-0j 3.83693e-05-0j -0.00646166-0j -0.00307777-0j -2.91686e-06-0j -4.84378e-08-0j -2.0839e-06-0j 6.63696e-05-0j 2.89286e-06-0j 3.6147e-06-0j -3.64607e-07-0j 1.10214e-06-0j 7.10936e-05-0j -0.00072151-0j 4.74167e-05-0j -6.58236e-05-0j -0.00127449-0j -6.05472e-09-0j -8.22481e-05-0j 1.18059e-06-0j -2.60488e-07-0j -2.14847e-08-0j -0.468363-0j -1.19815e-05-0j 5.07917e-05-0j -0.000515472-0j 3.61608e-07-0j -7.36388e-05-0j -7.05087e-05-0j -2.11644e-05-0j 4.51837e-07-0j 0.000715574-0j 0.00117329-0j -3.56778e-10-0j -0.000910541-0j -0.0077777-0j -8.81023e-05-0j 0.000894126-0j 0.000222098-0j -1.53494e-08-0j -1.22286e-06-0j 0.00126401-0j -0.334615-0j 2.13079e-08-0j -5.26101e-05-0j 0.46451-0j 0.0015794-0j 1.94838e-05-0j 7.30329e-05-0j 2.66248e-08-0j 0.000838237-0j 0.580416-0j 3.68819e-06-0j 0.000158675-0j -0.00116363-0j 9.12564e-05-0j -0.00145399-0j -0.000220271-0j -0.000275234-0j 
0.00210397-0j -0.00702427-0j -1.26924e-07-0j -0.000414925-0j -2.56346e-05-0j -5.42638e-06-0j 5.32653e-06-0j 8.64649e-05-0j -0.0102531-0j -8.48739e-05-0j 0.097834-0j 0.0100645-0j -0.0960339-0j -0.000183939-0j 0.000180554-0j -3.93804e-06-0j -6.93626e-08-0j 5.56388e-06-0j 6.07569e-05-0j 0.000100366-0j 1.07014e-06-0j -0.000335082-0j -8.58406e-05-0j 1.7678e-06-0j 0.1148-0j -0.000141803-0j -5.90195e-06-0j 0.0202707-0j 0.00202203-0j 0.000473421-0j -1.61121e-05-0j -0.162196-0j 0.000357038-0j -2.8379e-07-0j -0.0286396-0j 2.27641e-05-0j -3.0938e-06-0j -5.1376e-08-0j -2.21031e-06-0j 4.67673e-05-0j 3.06834e-06-0j 3.83397e-06-0j 7.48033e-05-0j 7.76625e-07-0j -2.57816e-07-0j -0.000249737-0j 3.34122e-05-0j -4.63826e-05-0j -0.00119193-0j 1.24219e-06-0j -5.79561e-05-0j -4.28133e-09-0j 5.34421e-05-0j -0.00127888-0j -7.36388e-05-0j -4.14717e-06-0j -1.84193e-07-0j -0.000178421-0j -7.41879e-05-0j -0.471879-0j 2.55695e-07-0j -1.97933e-05-0j -9.26995e-05-0j 0.000247682-0j 0.00253562-0j -2.12373e-05-0j -0.000851556-0j -1.22286e-06-0j 3.19497e-07-0j 0.000309485-0j -1.22816e-06-0j -0.000913679-0j -0.00783608-0j 0.00118212-0j -5.26101e-05-0j 0.00126836-0j -0.337126-0j 7.30329e-05-0j 0.00147709-0j 4.21069e-05-0j 0.467996-0j 0.00158485-0j 0.00181154-0j 9.12564e-05-0j -2.03949e-08-0j -8.77438e-07-0j -0.00251476-0j 0.584772-0j -0.00314225-0j 1.21805e-06-0j 1.52199e-06-0j 
-8.72121e-05-0j 0.00361259-0j 1.0577e-08-0j 3.45783e-05-0j -0.000408436-0j 4.52198e-07-0j -4.43878e-07-0j -1.44862e-05-0j -8.92714e-06-0j 1.42196e-05-0j -0.025028-0j 8.76288e-06-0j 0.0245675-0j 0.0666111-0j -0.0653855-0j 3.2817e-07-0j 5.78022e-09-0j -4.63656e-07-0j -1.01791e-05-0j -4.16031e-06-0j -1.79289e-07-0j 0.000172333-0j 1.43816e-05-0j -7.32776e-08-0j 0.000200953-0j 5.87791e-06-0j 3.03538e-06-0j 0.160652-0j 3.53947e-06-0j -0.000243481-0j 0.0182138-0j -0.000283916-0j 0.00282964-0j 0.000320808-0j -0.226978-0j -0.0257334-0j 2.57816e-07-0j 4.28133e-09-0j 1.84193e-07-0j -7.83532e-06-0j -2.55695e-07-0j -3.19497e-07-0j -3.10069e-06-0j -1.30114e-07-0j 2.14847e-08-0j 0.00012844-0j -5.59782e-06-0j 7.77086e-06-0j 9.93308e-05-0j -5.14905e-08-0j 9.70987e-06-0j 3.56778e-10-0j -2.21524e-06-0j -5.51928e-07-0j -0.00117329-0j 2.1329e-06-0j 1.53494e-08-0j 9.17621e-05-0j 3.07518e-06-0j -0.00253562-0j -2.13079e-08-0j 1.6495e-06-0j 3.84251e-06-0j -0.000127383-0j -0.456748-0j -9.16539e-09-0j 7.09653e-05-0j -1.94838e-05-0j -2.66248e-08-0j -0.000159169-0j 0.0028102-0j -3.94317e-07-0j -4.21069e-05-0j -9.85135e-05-0j -0.000838237-0j 5.47387e-07-0j -0.00181154-0j 0.00116363-0j -0.000123095-0j -0.00758482-0j 0.00251476-0j 6.83973e-07-0j -0.326317-0j 0.00145399-0j 4.66666e-05-0j 0.00200771-0j 0.45299-0j 0.00314225-0j 0.566022-0j -0.00278708-0j -0.00348253-0j 
-3.3781e-08-0j -0.00033846-0j -3.94182e-10-0j 2.01253e-08-0j 7.73151e-05-0j -1.68524e-08-0j 1.65423e-08-0j 8.11206e-07-0j -1.71999e-09-0j -7.9628e-07-0j -2.43712e-05-0j 1.68835e-09-0j 2.39228e-05-0j -0.0394318-0j 0.0387062-0j -1.22302e-08-0j -2.15416e-10-0j 1.72794e-08-0j 5.70017e-07-0j -1.61147e-09-0j 1.004e-08-0j -1.61457e-05-0j -8.0535e-07-0j -2.83835e-11-0j 5.81771e-08-0j 2.27677e-09-0j -2.84382e-07-0j 0.000316074-0j 1.0247e-09-0j 2.28115e-05-0j 0.194658-0j -8.21956e-08-0j 5.56716e-06-0j 0.0034286-0j -0.000446566-0j -0.275023-0j -9.60825e-09-0j -1.59556e-10-0j -6.86446e-09-0j 4.38767e-07-0j 9.5292e-09-0j 1.1907e-08-0j -1.20103e-09-0j 7.28623e-09-0j -8.00687e-10-0j -1.20334e-05-0j 3.13471e-07-0j -4.35158e-07-0j 5.78127e-08-0j -1.99445e-11-0j -5.43739e-07-0j -1.32963e-11-0j -8.58058e-10-0j -7.07714e-11-0j 0.000222098-0j -1.99829e-07-0j -5.72039e-10-0j -8.5971e-06-0j 1.19115e-09-0j -1.22816e-06-0j 7.941e-10-0j 9.60045e-10-0j 1.48837e-09-0j 1.19344e-05-0j -0.0028102-0j -1.17524e-12-0j 4.13034e-08-0j 3.68819e-06-0j 9.92246e-10-0j 1.49124e-05-0j -0.441648-0j -5.05616e-11-0j -2.03949e-08-0j -5.7337e-08-0j 0.000158675-0j 7.01892e-11-0j -8.77438e-07-0j -0.000220271-0j -7.1644e-08-0j -4.66666e-05-0j 1.21805e-06-0j 8.7703e-11-0j -0.00200771-0j -0.000275234-0j -0.00733406-0j -0.315528-0j 0.00278708-0j 1.52199e-06-0j 0.00348253-0j 0.438014-0j 0.547309-0j 
0.00384281-0j 0.000554662-0j 0.0031503-0j 0.0005569-0j 4.64083e-05-0j -0.00188632-0j 0.00193694-0j -0.000314387-0j -0.000192522-0j 0.000322823-0j -3.92984e-05-0j 0.000197688-0j 4.03529e-05-0j -2.31568e-06-0j 2.37782e-06-0j 0.00139126-0j -0.00169398-0j 0.00100427-0j 0.000224514-0j 0.000183315-0j -0.000273366-0j 2.64593e-05-0j 0.000162063-0j -0.000223202-0j 2.29144e-05-0j 0.000132324-0j -3.22165e-05-0j 2.70049e-06-0j -2.79003e-05-0j 1.90993e-05-0j 1.2326e-07-0j 1.65405e-05-0j -3.28808e-06-0j -1.5008e-07-0j 1.94931e-06-0j 8.89736e-08-0j 0.001093-0j 0.00127517-0j -0.00231758-0j 0.000172819-0j -0.00109787-0j 0.000460233-0j 0.000136625-0j 0.000201622-0j 9.10835e-05-0j 1.97201e-05-0j -0.000366442-0j -0.000173589-0j 2.27709e-05-0j 0.000159396-0j 7.27692e-05-0j 0.000106264-0j -0.000289698-0j 8.05072e-06-0j 1.89757e-06-0j 2.30068e-05-0j -0.000193132-0j -4.18143e-05-0j -0.000137234-0j 2.01268e-06-0j -9.14895e-05-0j 2.6566e-05-0j 5.75291e-05-0j -1.98081e-05-0j 1.67723e-07-0j 9.3925e-06-0j -4.8283e-05-0j 2.21383e-06-0j 3.83527e-05-0j 8.30361e-06-0j 6.25068e-09-0j -1.70706e-05-0j 2.34813e-06-0j -2.28724e-05-0j -4.02358e-06-0j -8.08661e-06-0j -4.26765e-06-0j -1.90603e-06-0j 9.58818e-06-0j 1.95677e-07-0j -2.02165e-06-0j 3.38993e-06-0j -3.55638e-07-0j 7.99015e-07-0j 7.29246e-09-0j -1.32538e-08-0j -1.68471e-07-0j 8.47483e-07-0j 7.06236e-08-0j -6.27854e-09-0j 2.63199e-09-0j 
-0.00388263-0j -0.00056041-0j 0.00309234-0j 0.000546653-0j 4.55544e-05-0j -0.00193694-0j 0.00195622-0j -0.000322823-0j -0.000197688-0j 0.000326037-0j -4.03529e-05-0j 0.000199656-0j 4.07546e-05-0j -2.37782e-06-0j 2.40149e-06-0j -0.00140568-0j 0.00168992-0j -0.000929252-0j -0.000226841-0j -0.000185215-0j 0.00027271-0j -2.67335e-05-0j -0.000149957-0j 0.000222667-0j -2.31519e-05-0j -0.00012244-0j 3.21392e-05-0j -2.72847e-06-0j 2.78334e-05-0j -1.76726e-05-0j -1.24537e-07-0j -1.5305e-05-0j 3.2802e-06-0j 1.4972e-07-0j -1.80371e-06-0j -8.23276e-08-0j -0.00110433-0j 0.00125171-0j -0.00078897-0j -0.00017461-0j 0.00112688-0j -0.00222024-0j -0.000138041-0j 0.000197912-0j -9.20274e-05-0j -1.99245e-05-0j -0.000124747-0j 0.000178175-0j -2.30068e-05-0j 0.000156463-0j -0.000351051-0j 0.000104309-0j -9.86213e-05-0j -8.13415e-06-0j -1.91724e-06-0j 2.25835e-05-0j -6.57475e-05-0j -1.42348e-05-0j 0.00014086-0j -2.03354e-06-0j 9.39065e-05-0j 2.60772e-05-0j -0.00027753-0j 2.03314e-05-0j -1.69461e-07-0j 9.21968e-06-0j -1.64369e-05-0j 2.1731e-06-0j -0.00018502-0j -4.0058e-05-0j -6.31545e-09-0j -5.81132e-06-0j 2.30492e-06-0j 2.34766e-05-0j -1.36974e-06-0j 8.30024e-06-0j -1.45283e-06-0j 1.95639e-06-0j -4.6255e-05-0j 1.92077e-07-0j 2.07506e-06-0j -1.63536e-05-0j -1.21069e-07-0j -3.85458e-06-0j 7.15828e-09-0j -4.51198e-09-0j 1.72922e-07-0j -4.0884e-06-0j -3.407e-07-0j 6.44441e-09-0j -1.26972e-08-0j 
-0.000599103-0j 0.00826727-0j -0.000491139-0j 0.0041069-0j 0.0010412-0j 0.000294082-0j -0.000301974-0j -0.00231847-0j 3.00146e-05-0j 0.00238069-0j -0.000585745-0j -3.08201e-05-0j 0.000601463-0j -6.93917e-05-0j 7.12538e-05-0j -0.000216901-0j 0.000264096-0j -0.000156568-0j 0.0016557-0j -2.85793e-05-0j -0.00201596-0j 0.000394377-0j 0.00119515-0j 3.47977e-05-0j 0.000168984-0j -2.06296e-05-0j -0.000480188-0j 6.05869e-05-0j -0.000205753-0j 0.000284676-0j 4.62181e-06-0j 0.000121979-0j -7.37698e-05-0j -5.62746e-06-0j 4.37339e-05-0j 3.3362e-06-0j 0.0507907-0j 0.0592558-0j -0.107696-0j 0.00127447-0j -0.0510171-0j 0.0213865-0j -2.13002e-05-0j 0.00148688-0j -1.42001e-05-0j 0.00029393-0j -0.00270235-0j -0.00128015-0j 0.000167926-0j -2.48502e-05-0j 0.000536642-0j -1.65668e-05-0j 4.51646e-05-0j -1.25513e-06-0j 4.25731e-05-0j 0.000342918-0j 3.01097e-05-0j -0.000623244-0j 2.13952e-05-0j 2.99991e-05-0j 1.42634e-05-0j 0.000195913-0j -8.96892e-06-0j -0.00029524-0j 5.026e-06-0j -1.46431e-06-0j -0.000356066-0j 4.96686e-05-0j -5.97928e-06-0j 0.000123766-0j 2.81449e-07-0j 2.66135e-06-0j 3.4999e-05-0j -0.000168674-0j -9.02712e-05-0j 1.26072e-06-0j -6.36096e-05-0j -4.27629e-05-0j 7.07088e-05-0j 5.86367e-06-0j -3.01328e-05-0j -5.28499e-07-0j -1.0657e-05-0j 1.79263e-05-0j 3.28357e-07-0j -5.9678e-07-0j -5.04841e-06-0j 1.26318e-05-0j 2.11631e-06-0j -2.82704e-07-0j 1.1851e-07-0j 
0.000605312-0j -0.00835294-0j -0.000482103-0j 0.00403134-0j 0.00102204-0j 0.000301974-0j -0.000304979-0j -0.00238069-0j 3.08201e-05-0j 0.00240438-0j -0.000601463-0j -3.11268e-05-0j 0.00060745-0j -7.12538e-05-0j 7.1963e-05-0j 0.000219149-0j -0.000263463-0j 0.000144873-0j -0.00167286-0j 2.88754e-05-0j 0.00201112-0j -0.000398464-0j -0.00110587-0j -3.47143e-05-0j -0.000170735-0j 1.90886e-05-0j 0.000479037-0j -6.12148e-05-0j 0.00020526-0j -0.000263412-0j -4.66971e-06-0j -0.000112868-0j 7.3593e-05-0j 5.61397e-06-0j -4.04671e-05-0j -3.087e-06-0j -0.051317-0j 0.0581655-0j -0.0366626-0j -0.00128767-0j 0.0523649-0j -0.103172-0j 2.15209e-05-0j 0.00145952-0j 1.43473e-05-0j -0.000296976-0j -0.000919958-0j 0.00131397-0j -0.000169666-0j -2.4393e-05-0j -0.00258885-0j -1.6262e-05-0j 1.53753e-05-0j 1.26813e-06-0j -4.30142e-05-0j 0.000336609-0j 1.02502e-05-0j -0.00021217-0j -2.19604e-05-0j -3.031e-05-0j -1.46403e-05-0j 0.000192308-0j 4.32676e-05-0j 0.00030304-0j -5.07808e-06-0j -1.43737e-06-0j -0.000121215-0j 4.87547e-05-0j 2.88451e-05-0j -0.000597067-0j -2.84366e-07-0j 9.05998e-07-0j 3.4355e-05-0j 0.00017313-0j -3.07309e-05-0j -1.29403e-06-0j -2.16545e-05-0j 4.38926e-05-0j -0.000341111-0j 5.75578e-06-0j 3.09289e-05-0j 2.54957e-06-0j -3.62796e-06-0j -8.64797e-05-0j 3.22316e-07-0j -2.03161e-07-0j 5.18178e-06-0j -6.09379e-05-0j -1.02094e-05-0j 2.90173e-07-0j -5.71715e-07-0j 
0.0446494-0j -6.69818e-05-0j -0.000380435-0j 0.00647059-0j -5.60434e-06-0j 0.000227795-0j -0.000233908-0j 3.79658e-05-0j -0.00449705-0j -3.89846e-05-0j -0.000456606-0j 0.00461773-0j 0.000468858-0j 2.79645e-07-0j -2.87149e-07-0j 0.0414415-0j -0.0504587-0j 0.0299141-0j -2.71127e-05-0j 0.00212993-0j 3.3012e-05-0j -3.19526e-06-0j -1.9571e-05-0j -0.00259337-0j 0.000535249-0j 0.00153746-0j 3.89051e-06-0j 3.13768e-05-0j -0.000651712-0j -2.30646e-06-0j -1.4885e-08-0j 0.000386363-0j -3.8204e-05-0j 1.81238e-08-0j 2.2649e-05-0j -1.07446e-08-0j -0.000131992-0j -0.000153991-0j 0.000279875-0j 0.00514775-0j 0.000132581-0j -5.55784e-05-0j 0.00158744-0j 0.0060057-0j -1.09994e-05-0j -2.38143e-06-0j -0.0109152-0j -0.00517069-0j 0.000264573-0j 0.00185201-0j 0.00216757-0j -1.28326e-05-0j -0.00336598-0j 0.000282567-0j -2.29154e-07-0j -2.77834e-06-0j 2.33229e-05-0j 5.04955e-06-0j -0.00159452-0j 4.70135e-05-0j 1.10484e-05-0j 0.000308669-0j 0.000668427-0j 2.39205e-06-0j 1.94877e-06-0j 0.000329661-0j -0.000560997-0j -2.67346e-07-0j -4.63153e-06-0j -1.00276e-06-0j -7.54841e-10-0j -0.00059915-0j 5.4849e-05-0j -0.000265753-0j 4.85893e-07-0j -0.000283827-0j -9.96865e-05-0j 2.30175e-07-0j 0.000111405-0j 2.27356e-06-0j -4.72231e-05-0j 0.000118981-0j -4.13213e-06-0j -9.64902e-08-0j -8.80648e-10-0j 1.60055e-09-0j -1.95745e-06-0j 1.97961e-05-0j 8.20572e-07-0j 7.58206e-10-0j -3.17843e-10-0j 
-0.0451121-0j 6.76759e-05-0j -0.000373435-0j 0.00635153-0j -5.50122e-06-0j 0.000233908-0j -0.000236236-0j 3.89846e-05-0j -0.00461773-0j -3.93727e-05-0j -0.000468858-0j 0.00466369-0j 0.000473525-0j 2.87149e-07-0j -2.90007e-07-0j -0.041871-0j 0.0503377-0j -0.0276796-0j 2.73936e-05-0j -0.002152-0j -3.29329e-05-0j 3.22837e-06-0j 1.81091e-05-0j 0.00258716-0j -0.000540796-0j -0.00142262-0j -3.88118e-06-0j -3.1702e-05-0j 0.00065015-0j 2.13417e-06-0j 1.50393e-08-0j -0.000357503-0j 3.81124e-05-0j -1.80804e-08-0j -2.09572e-05-0j 9.942e-09-0j 0.00013336-0j -0.000151158-0j 9.52772e-05-0j -0.00520109-0j -0.000136083-0j 0.00026812-0j -0.00160389-0j 0.0058952-0j 1.11134e-05-0j 2.40611e-06-0j -0.00371584-0j 0.0053073-0j -0.000267315-0j 0.00181794-0j -0.0104567-0j -1.25965e-05-0j -0.00114588-0j -0.000285495-0j 2.31528e-07-0j -2.72722e-06-0j 7.93977e-06-0j 1.71901e-06-0j 0.00163664-0j -4.75007e-05-0j -1.13403e-05-0j 0.00030299-0j -0.00322461-0j -2.45525e-06-0j -1.96896e-06-0j 0.000323596-0j -0.000190979-0j -2.62427e-07-0j 2.23433e-05-0j 4.83747e-06-0j 7.62663e-10-0j -0.000203968-0j 5.38398e-05-0j 0.000272774-0j 1.65412e-07-0j 0.000291325-0j -3.39361e-05-0j -2.36256e-07-0j -0.000537434-0j 2.23173e-06-0j 4.84706e-05-0j -0.000573985-0j -1.40669e-06-0j 4.65485e-07-0j -8.64444e-10-0j 5.44873e-10-0j 2.00917e-06-0j -9.54996e-05-0j -3.95858e-06-0j -7.78237e-10-0j 1.53333e-09-0j 
6.69818e-05-0j 0.0432552-0j 5.49111e-05-0j -0.000928038-0j 0.0110902-0j -3.28794e-05-0j 3.37617e-05-0j 0.000523906-0j -3.35574e-06-0j -0.000537965-0j -0.00306467-0j 3.44579e-06-0j 0.00314691-0j -0.00111452-0j 0.00114443-0j -0.00598157-0j 0.00728308-0j -0.00431773-0j -0.000374139-0j 3.19526e-06-0j 0.000455546-0j 0.00206342-0j -0.000270068-0j -3.89051e-06-0j -3.81854e-05-0j 2.30646e-06-0j -0.00251239-0j 0.000645338-0j 4.6494e-05-0j 0.00148945-0j 9.92178e-05-0j -2.75637e-05-0j -0.000785755-0j -0.000120806-0j 0.00046583-0j 7.16192e-05-0j 1.90515e-05-0j 2.22267e-05-0j -4.03964e-05-0j 0.0710358-0j -1.91364e-05-0j 8.02205e-06-0j 2.38143e-06-0j 0.0828751-0j 1.58762e-06-0j 0.00153787-0j -0.150623-0j -0.0713525-0j -3.79462e-05-0j 2.77834e-06-0j 0.0299112-0j 1.85223e-06-0j -5.04955e-06-0j 1.40327e-07-0j 0.000453465-0j 0.00179418-0j -3.36637e-06-0j -0.00326088-0j -2.39205e-06-0j 0.000156958-0j -1.5947e-06-0j -4.42706e-05-0j 1.00276e-06-0j -0.00154473-0j 8.07239e-05-0j 1.63715e-07-0j 8.04605e-05-0j 0.000529042-0j 6.68504e-07-0j 0.000647555-0j 7.56295e-06-0j -2.97548e-07-0j 0.000183118-0j 3.81154e-05-0j -0.000961519-0j -1.40953e-07-0j -0.000332812-0j -0.000455486-0j -1.59781e-05-0j 9.41779e-05-0j -0.000157658-0j 5.9088e-08-0j -0.000171166-0j 0.000190941-0j 8.82344e-06-0j -1.60363e-05-0j -8.10838e-05-0j 6.60908e-05-0j 3.39906e-05-0j -7.59666e-06-0j 3.18455e-06-0j 
