-0.315794-0j -0.356728-0j 0.286595-0j -0.294285-0j 0.756399-0j 0.206875-0j -0.0671751-0j -0.0413489-0j -0.0457649-0j 0.0355999-0j -0.0241202-0j -0.0365552-0j 0.0415333-0j 0.0738999-0j -0.0246227-0j 0.0775111-0j 0.0149901-0j -0.0039743-0j -0.0268997-0j -0.00388263-0j -0.0293561-0j -0.00423718-0j 0.0223744-0j -0.0229748-0j 0.00322946-0j -0.0207579-0j -0.00331612-0j -0.00299614-0j 0.0252745-0j -0.0171244-0j -0.0149838-0j 0.00364806-0j 0.0440146-0j -0.00247169-0j -0.00216273-0j 0.00635297-0j 0.0208504-0j 0.0524659-0j 0.0030095-0j -0.00874057-0j 0.00757281-0j 0.0317714-0j -0.00126159-0j 0.00475943-0j 0.00458581-0j 0.000686964-0j -0.00106646-0j -0.000153931-0j 
-0.0094766-0j 0.0315054-0j -0.00874057-0j -0.042166-0j 0.0225085-0j -0.00734135-0j 0.0376795-0j -0.00124083-0j 0.00404185-0j -0.00108573-0j -0.000723818-0j -0.00523773-0j 0.00372793-0j -0.00044784-0j -0.000859768-0j -0.00374202-0j 0.00644775-0j -0.0038638-0j 0.0776665-0j -0.000116513-0j -0.249451-0j 0.000374219-0j 0.0656539-0j 0.316725-0j -9.84921e-05-0j 0.0599335-0j -0.000475143-0j -8.99106e-05-0j -0.218269-0j -0.145513-0j 0.0503392-0j 0.000327441-0j 0.0428186-0j 0.000218294-0j -7.55175e-05-0j -6.42352e-05-0j 0.292126-0j -0.0900315-0j -0.000438239-0j -0.355924-0j 0.000135063-0j 0.0359641-0j 0.000533947-0j -0.261044-0j -5.39523e-05-0j 0.00039161-0j 0.63684-0j -0.000955369-0j 
0.00136783-0j -0.00454741-0j 0.00126159-0j 0.00608613-0j -0.00324883-0j 0.00105963-0j -0.00543857-0j -0.0171227-0j 0.0557752-0j -0.0149824-0j -0.00998826-0j -0.0722776-0j 0.0514432-0j -0.00617992-0j -0.0118643-0j -0.0516376-0j 0.0889751-0j -0.0533181-0j 0.000116513-0j 0.0752413-0j -0.000374219-0j -0.241661-0j 9.84921e-05-0j 0.000475143-0j 0.0636037-0j 8.99106e-05-0j 0.306835-0j 0.058062-0j -0.000327441-0j -0.000218294-0j 7.55175e-05-0j -0.211454-0j 6.42352e-05-0j -0.140969-0j 0.0487673-0j 0.0414815-0j 0.000438239-0j -0.000135063-0j 0.283004-0j -0.000533947-0j -0.0872201-0j 5.39523e-05-0j -0.34481-0j -0.00039161-0j 0.034841-0j -0.252892-0j 0.000955369-0j 0.616954-0j 
-0.0662186-0j 0.0184501-0j 0.0150645-0j 0.0152206-0j 0.0131814-0j 0.0108741-0j 0.00347433-0j 0.00213859-0j -0.00959639-0j 0.00187126-0j 0.00124751-0j 0.00189065-0j 0.00218314-0j 0.000771856-0j 0.0012735-0j 0.00135075-0j 0.000787937-0j 0.000205553-0j 0.00139126-0j 0.000200812-0j 0.00151831-0j 0.000219149-0j -0.00476814-0j -0.00481756-0j -0.000688222-0j 0.00107361-0j -0.000695354-0j 0.000154962-0j 0.00132852-0j 0.000885681-0j 0.000774971-0j 0.000191755-0j 0.000767022-0j 0.000127837-0j 0.000111857-0j 0.00011071-0j 0.00109597-0j 0.000547987-0j 0.00015819-0j 0.000452066-0j 7.90951e-05-0j 0.000553666-0j 6.52501e-05-0j 0.000250173-0j 7.99148e-05-0j 3.61093e-05-0j 5.51579e-05-0j 7.96136e-06-0j 
0.0117059-0j -0.00326155-0j -0.00266305-0j -0.00269064-0j -0.00233016-0j -0.00192229-0j -0.00061418-0j 0.0178828-0j -0.0802449-0j 0.0156475-0j 0.0104316-0j 0.0158096-0j 0.0182554-0j 0.00645425-0j 0.010649-0j 0.0112949-0j 0.00658872-0j 0.00171883-0j 0.0236632-0j 0.00339387-0j 0.025824-0j 0.00370378-0j -0.0810984-0j -0.0819389-0j -0.0116315-0j 0.0182603-0j -0.011752-0j 0.00261897-0j 0.022596-0j 0.015064-0j 0.013181-0j 0.00324081-0j 0.0130458-0j 0.00216054-0j 0.00189047-0j 0.00187108-0j 0.0186408-0j 0.00932038-0j 0.00267353-0j 0.00768892-0j 0.00133677-0j 0.00941696-0j 0.00110278-0j 0.00425504-0j 0.00135062-0j 0.000610275-0j 0.000938147-0j 0.000134553-0j 
-0.000975492-0j 0.000271796-0j 0.00022192-0j 0.00022422-0j 0.00019418-0j 0.000160191-0j 5.11817e-05-0j -0.00453372-0j 0.020344-0j -0.003967-0j -0.00264467-0j -0.00400811-0j -0.00462817-0j -0.0016363-0j -0.00269976-0j -0.00286353-0j -0.00167039-0j -0.000435763-0j 2.04953e-05-0j 0.0405574-0j 2.23668e-05-0j 0.044261-0j -7.02414e-05-0j -7.09693e-05-0j -0.138998-0j 1.58157e-05-0j -0.140439-0j 0.0312972-0j 1.9571e-05-0j 1.30473e-05-0j 1.14164e-05-0j 0.0387283-0j 1.12993e-05-0j 0.0258189-0j 0.0225915-0j 0.0223598-0j 1.61452e-05-0j 8.07261e-06-0j 0.0319493-0j 6.65956e-06-0j 0.0159746-0j 8.15627e-06-0j 0.0131784-0j 3.68539e-06-0j 0.0161402-0j 0.00729291-0j 8.12553e-07-0j 0.00160793-0j 
-0.0184501-0j 0.000895336-0j -0.0170171-0j 0.016704-0j -0.000211941-0j 0.0240427-0j 0.0154194-0j -0.00241579-0j -3.80583e-05-0j 0.0063797-0j -0.00140921-0j -0.00626231-0j -3.51023e-05-0j -0.000871905-0j 0.00281571-0j 0.0014824-0j 0.00261953-0j 0.00114115-0j -0.0015716-0j -0.000226841-0j -2.44126e-05-0j -3.52366e-06-0j -0.00132852-0j 0.00130408-0j -0.000191755-0j 0.00366025-0j 0.000188227-0j 0.000528311-0j 6.44697e-05-0j -1.42407e-05-0j -0.00517139-0j 9.3054e-06-0j -0.000866443-0j -2.05547e-06-0j -0.000746426-0j -0.00012506-0j 0.00120279-0j -8.81098e-06-0j 0.000173608-0j 0.00150291-0j -1.27176e-06-0j 0.00122416-0j 0.000216927-0j 0.00111029-0j 0.000176692-0j 0.000160256-0j 0.000367637-0j 5.30638e-05-0j 
-0.0150645-0j -0.0170171-0j -0.0272705-0j 0.0280023-0j 0.0360828-0j 0.00986863-0j -0.00320448-0j -0.00197248-0j -0.00218314-0j 0.00169824-0j 0.00574087-0j -0.00174381-0j -0.00395205-0j 0.00352528-0j 0.00234294-0j 0.00369754-0j 0.000715081-0j -0.000189588-0j -0.00128321-0j -0.000185215-0j -0.00140038-0j -0.000202128-0j 0.00106733-0j -0.00109597-0j 0.000154056-0j 0.00197519-0j -0.00015819-0j 0.000285094-0j 0.00120568-0j 0.00407579-0j -0.000714779-0j 0.000174025-0j -0.00418816-0j 0.000588289-0j -0.00010317-0j -0.000604509-0j -0.00198399-0j 0.0025028-0j -0.000286365-0j 0.000831698-0j 0.000361249-0j 0.00151561-0j 0.000120045-0j 0.000227041-0j 0.000218759-0j 3.27705e-05-0j -5.08739e-05-0j -7.34301e-06-0j 
0.00326155-0j -0.000158275-0j 0.00300823-0j -0.00295288-0j 3.74663e-05-0j -0.00425019-0j -0.00272578-0j -0.0202008-0j -0.000318243-0j 0.0533469-0j -0.0117838-0j -0.0523654-0j -0.000293525-0j -0.00729086-0j 0.0235449-0j 0.0123958-0j 0.0219045-0j 0.0095423-0j -0.0267304-0j -0.00383378-0j -0.00041522-0j -5.95525e-05-0j -0.022596-0j 0.0221802-0j -0.00324081-0j 0.0622549-0j 0.00318118-0j 0.00892886-0j 0.00109653-0j -0.000242211-0j -0.0879571-0j 0.000157268-0j -0.0147368-0j -3.4739e-05-0j -0.0126152-0j -0.00211361-0j 0.0204575-0j -0.000149861-0j 0.0029341-0j 0.0255622-0j -2.14936e-05-0j 0.0208209-0j 0.00366623-0j 0.0188842-0j 0.00298622-0j 0.00270845-0j 0.00625291-0j 0.000896818-0j 
0.0152206-0j -0.016704-0j -0.0280023-0j 0.0282811-0j -0.0119339-0j 0.00928035-0j 0.0342451-0j 0.00199292-0j -0.00214297-0j 0.00174381-0j -0.00580036-0j -0.00176117-0j 0.00394257-0j 0.000719285-0j -0.00216793-0j -0.00125824-0j 0.00350591-0j 0.00350979-0j 0.0012965-0j 0.000187134-0j -0.00137462-0j -0.000198409-0j 0.00109597-0j -0.00110688-0j 0.00015819-0j -0.00199566-0j -0.000159765-0j -0.000288048-0j -0.00120279-0j 0.00400079-0j 0.000661388-0j -0.000173608-0j -0.00142577-0j 0.000577465-0j 9.54631e-05-0j -0.000205792-0j 0.00203641-0j -0.000496126-0j 0.00029393-0j -0.00401225-0j -7.16096e-05-0j 0.000472518-0j -0.000579118-0j 0.00246586-0j 6.82021e-05-0j 0.000355916-0j 0.00143985-0j 0.000207825-0j 
-0.000271796-0j 1.31895e-05-0j -0.000250686-0j 0.000246073-0j -3.12219e-06-0j 0.000354182-0j 0.000227149-0j 0.00512138-0j 8.0682e-05-0j -0.0135247-0j 0.00298747-0j 0.0132758-0j 7.44155e-05-0j 0.0018484-0j -0.00596919-0j -0.00314262-0j -0.0055533-0j -0.0024192-0j -2.31519e-05-0j -0.0458145-0j -3.59632e-07-0j -0.000711664-0j -1.9571e-05-0j 1.92109e-05-0j -0.0387283-0j 5.39206e-05-0j 0.0380158-0j 0.106702-0j 9.49728e-07-0j -2.09785e-07-0j -7.61818e-05-0j 0.00187939-0j -1.27639e-05-0j -0.000415137-0j -0.150754-0j -0.0252581-0j 1.77188e-05-0j -1.29798e-07-0j 0.0350631-0j 2.214e-05-0j -0.000256853-0j 1.80335e-05-0j 0.0438122-0j 1.63561e-05-0j 0.035686-0j 0.0323665-0j 5.4158e-06-0j 0.0107172-0j 
0.0131814-0j 0.000211941-0j -0.0360828-0j -0.0119339-0j 0.00014178-0j 0.0509797-0j -0.0110161-0j 0.00172592-0j 2.71901e-05-0j -0.0044821-0j 0.00100679-0j -0.0014824-0j -7.44303e-05-0j 0.00791904-0j -0.00201164-0j -0.000991665-0j 0.00555441-0j -0.000815278-0j 0.00112281-0j 0.000162063-0j 1.74412e-05-0j 2.51742e-06-0j -0.00281697-0j -0.000931677-0j -0.000406595-0j 0.000866443-0j -0.000134476-0j 0.00012506-0j -4.52936e-05-0j 1.0174e-05-0j -0.00122416-0j -6.53757e-06-0j 0.000579617-0j 1.4685e-06-0j -0.000176692-0j 8.36605e-05-0j 0.00255038-0j 8.00255e-05-0j 0.000368115-0j -0.00107373-0j 1.15507e-05-0j -0.000818913-0j -0.00015498-0j 0.00235424-0j -0.0001182-0j 0.000339805-0j -0.000262652-0j -3.79106e-05-0j 
0.00266305-0j 0.00300823-0j 0.0048208-0j -0.00495016-0j -0.0063786-0j -0.00174454-0j 0.000566477-0j -0.0164939-0j -0.0182554-0j 0.0142006-0j 0.0480051-0j -0.0145817-0j -0.0330469-0j 0.0294783-0j 0.0195917-0j 0.0309188-0j 0.0059795-0j -0.00158533-0j -0.0218253-0j -0.00313027-0j -0.0238183-0j -0.00341612-0j 0.0181536-0j -0.0186408-0j 0.00260367-0j 0.0335948-0j -0.00267353-0j 0.0048183-0j 0.0205067-0j 0.0693226-0j -0.0121572-0j 0.00294115-0j -0.0712338-0j 0.00994253-0j -0.00174364-0j -0.0102166-0j -0.0337446-0j 0.0425687-0j -0.00483978-0j 0.0141458-0j 0.00610537-0j 0.025778-0j 0.00202885-0j 0.0038616-0j 0.00369719-0j 0.000553846-0j -0.000865282-0j -0.000124102-0j 
-0.0108741-0j 0.0240427-0j 0.00986863-0j -0.00928035-0j -0.0509797-0j 0.0275818-0j 0.0299701-0j -0.00142381-0j 0.00308446-0j 0.00122585-0j -0.000830558-0j -0.00115278-0j -0.00279925-0j 0.00254468-0j -0.00328285-0j 0.00244433-0j 0.000600609-0j 0.00605377-0j -0.000926267-0j -0.000133695-0j 0.00197854-0j 0.000285577-0j 0.000770441-0j -0.000724514-0j 0.000111204-0j -0.000714779-0j -0.000104575-0j -0.00010317-0j -0.00170345-0j 0.00115415-0j -0.00199773-0j -0.000245872-0j 0.00151561-0j 0.000166587-0j -0.000288348-0j 0.000218759-0j 0.000657522-0j -0.00353609-0j 9.49052e-05-0j -0.000350208-0j -0.000510391-0j 0.00423596-0j -5.05481e-05-0j -0.00212341-0j 0.000611408-0j -0.000306488-0j 0.00361433-0j 0.000521683-0j 
-0.00269064-0j 0.00295288-0j 0.00495016-0j -0.00499943-0j 0.00210964-0j -0.00164055-0j -0.00605374-0j 0.0166648-0j -0.0179195-0j 0.0145817-0j -0.0485026-0j -0.0147269-0j 0.0329677-0j 0.00601465-0j -0.0181282-0j -0.0105214-0j 0.0293164-0j 0.0293488-0j 0.0220514-0j 0.00316271-0j -0.02338-0j -0.00335326-0j 0.0186408-0j -0.0188263-0j 0.00267353-0j -0.0339429-0j -0.00270014-0j -0.00486824-0j -0.0204575-0j 0.0680471-0j 0.0112491-0j -0.0029341-0j -0.02425-0j 0.00975959-0j 0.0016134-0j -0.00347804-0j 0.034636-0j -0.0084383-0j 0.00496764-0j -0.0682419-0j -0.00121026-0j 0.00803677-0j -0.00978754-0j 0.0419403-0j 0.00115267-0j 0.00601525-0j 0.0244896-0j 0.0035124-0j 
-0.00022192-0j -0.000250686-0j -0.000401733-0j 0.000412513-0j 0.00053155-0j 0.000145379-0j -4.72064e-05-0j 0.00418159-0j 0.00462817-0j -0.0036002-0j -0.0121704-0j 0.00369681-0j 0.00837818-0j -0.00747344-0j -0.00496694-0j -0.00783864-0j -0.00151594-0j 0.000401918-0j -1.89034e-05-0j -0.0374073-0j -2.06296e-05-0j -0.0408233-0j 1.57233e-05-0j -1.61452e-05-0j 0.0311143-0j 2.90973e-05-0j -0.0319493-0j 0.0575797-0j 1.77613e-05-0j 6.0042e-05-0j -1.05297e-05-0j 0.0351474-0j -6.16974e-05-0j 0.118815-0j -0.0208369-0j -0.122091-0j -2.9227e-05-0j 3.68698e-05-0j -0.0578364-0j 1.22521e-05-0j 0.0729604-0j 2.2327e-05-0j 0.0242452-0j 3.34463e-06-0j 0.0441821-0j 0.00661857-0j -7.49443e-07-0j -0.00148305-0j 
-0.00233016-0j -3.74663e-05-0j 0.0063786-0j 0.00210964-0j -2.50635e-05-0j -0.00901202-0j 0.00194739-0j 0.0144322-0j 0.000227364-0j -0.0374793-0j 0.00841875-0j -0.0123958-0j -0.000622386-0j 0.0662189-0j -0.0168213-0j -0.00829229-0j 0.0464459-0j -0.00681735-0j 0.0190971-0j 0.00273899-0j 0.000296647-0j 4.25464e-05-0j -0.0479122-0j -0.0158463-0j -0.00687176-0j 0.0147368-0j -0.00227275-0j 0.00211361-0j -0.000770371-0j 0.000173044-0j -0.0208209-0j -0.00011049-0j 0.00985835-0j 2.48187e-05-0j -0.00298622-0j 0.00141392-0j 0.0433778-0j 0.0013611-0j 0.00622142-0j -0.0182625-0j 0.000195215-0j -0.0139284-0j -0.00261928-0j 0.0400418-0j -0.00199767-0j 0.00574296-0j -0.0044673-0j -0.000640718-0j 
0.00347433-0j -0.0154194-0j 0.00320448-0j 0.0342451-0j -0.0110161-0j -0.0299701-0j 0.0375606-0j 0.000454916-0j -0.00197816-0j 0.000398051-0j 0.000265367-0j 0.00425383-0j -0.00182452-0j 0.000164188-0j -0.00350989-0j 0.00303908-0j -0.00313288-0j 0.00625049-0j 0.000295947-0j 4.27162e-05-0j -0.0012689-0j -0.00018315-0j 0.000250173-0j 0.00267351-0j 3.61093e-05-0j 0.000228375-0j 0.000385888-0j 3.29632e-05-0j -0.00111029-0j -0.000740192-0j -0.0021359-0j -0.000160256-0j 0.000163159-0j -0.000106838-0j -0.00030829-0j 2.355e-05-0j 0.00246586-0j -0.000457971-0j 0.000355916-0j -0.00179744-0j -6.61024e-05-0j -0.00152596-0j -0.000259438-0j 0.00270459-0j -0.000220253-0j 0.000390374-0j -0.000196277-0j -2.83302e-05-0j 
0.00022422-0j -0.000246073-0j -0.000412513-0j 0.000416619-0j -0.000175803-0j 0.000136712-0j 0.000504479-0j -0.00422492-0j 0.00454301-0j -0.00369681-0j 0.0122965-0j 0.0037336-0j -0.00835809-0j -0.00152485-0j 0.00459593-0j 0.00266741-0j -0.00743239-0j -0.0074406-0j 1.90993e-05-0j 0.037795-0j -2.025e-05-0j -0.0400721-0j 1.61452e-05-0j -1.63059e-05-0j 0.0319493-0j -2.93988e-05-0j -0.0322673-0j -0.0581764-0j -1.77188e-05-0j 5.89373e-05-0j 9.74316e-06-0j -0.0350631-0j -2.10035e-05-0j 0.116629-0j 0.0192804-0j -0.0415632-0j 2.99991e-05-0j -7.30862e-06-0j 0.0593643-0j -5.9106e-05-0j -0.0144628-0j 6.96085e-06-0j -0.116963-0j 3.63255e-05-0j 0.0137746-0j 0.0718834-0j 2.1211e-05-0j 0.0419739-0j 
