-0.416099-0j 0.495149-0j -0.300356-0j -0.0519797-0j -0.060643-0j 0.10856-0j 0.0510276-0j -0.0218872-0j -0.0328542-0j -0.0047421-0j -0.0371128-0j -0.00535677-0j 0.0291403-0j -0.0306165-0j 0.00420604-0j 0.0775102-0j -0.00441911-0j 0.0111876-0j 0.0210346-0j -0.00698868-0j 0.00303608-0j -0.00100873-0j 
0.0306165-0j 0.0349908-0j 0.0195276-0j 0.00382466-0j -0.00428547-0j -0.00798781-0j 0.00375165-0j 0.00754986-0j -0.229945-0j 0.000348923-0j 0.249469-0j -0.000378548-0j 0.203952-0j 0.214116-0j -0.000309479-0j -0.521016-0j -0.000324902-0j 0.000790598-0j 0.130083-0j -0.509388-0j -0.00019739-0j 0.000772953-0j 
-0.00441911-0j -0.00505048-0j -0.00281857-0j 0.0524773-0j -0.0588-0j -0.109599-0j 0.0514756-0j 0.10359-0j -0.000348923-0j -0.222738-0j 0.000378548-0j 0.241649-0j 0.000309479-0j 0.000324902-0j 0.197559-0j -0.000790598-0j 0.207404-0j -0.504684-0j 0.00019739-0j -0.000772953-0j 0.126005-0j -0.493421-0j 
-0.0126287-0j 0.0456443-0j -0.0111541-0j -0.00157759-0j 0.00537585-0j -0.00112709-0j -0.00754986-0j 0.00914148-0j 0.0948477-0j -0.000143923-0j -0.312943-0j 0.000474864-0j 0.0874809-0j 0.414363-0j -0.000132745-0j -0.223577-0j -0.00062876-0j 0.00033926-0j 0.0772663-0j -0.374442-0j -0.000117245-0j 0.000568184-0j 
0.00182279-0j -0.00658819-0j 0.00160995-0j -0.0216458-0j 0.0737609-0j -0.0154645-0j -0.10359-0j 0.125428-0j 0.000143923-0j 0.0918745-0j -0.000474864-0j -0.303133-0j 0.000132745-0j 0.00062876-0j 0.0847387-0j -0.00033926-0j 0.401374-0j -0.216569-0j 0.000117245-0j -0.000568184-0j 0.0748443-0j -0.362705-0j 
0.0218891-0j 0.0270863-0j 0.0158004-0j 0.00273441-0j 0.00319015-0j 0.00195356-0j 0.00279138-0j 0.00115139-0j -0.00676351-0j -0.000976229-0j 0.00195233-0j 0.000281795-0j 0.00159407-0j 0.00161059-0j 0.000230085-0j 0.00139481-0j 0.000232469-0j 0.000201324-0j 0.00115066-0j 0.000367642-0j 0.000166084-0j 5.30646e-05-0j 
-0.00386948-0j -0.00478823-0j -0.00279314-0j 0.0227335-0j 0.0265224-0j 0.0162416-0j 0.0232071-0j 0.00957244-0j -0.113729-0j -0.016405-0j 0.0328287-0j 0.00473541-0j 0.0268045-0j 0.0270823-0j 0.00386645-0j 0.023454-0j 0.00390651-0j 0.00338314-0j 0.0193485-0j 0.00618195-0j 0.00279095-0j 0.000891721-0j 
0.000322456-0j 0.000399019-0j 0.000232761-0j -0.00576393-0j -0.00672459-0j -0.00411795-0j -0.00588401-0j -0.00242703-0j -9.9636e-05-0j -0.194926-0j 2.87606e-05-0j 0.0562666-0j 2.34829e-05-0j 2.37263e-05-0j 0.0459415-0j 2.05475e-05-0j 0.0464176-0j 0.0401988-0j 1.69509e-05-0j 5.41588e-06-0j 0.0331623-0j 0.0105955-0j 
-0.0247263-0j -0.000605596-0j 0.034637-0j 0.00904485-0j -7.13253e-05-0j -0.00220678-0j 0.00302838-0j 0.00379892-0j -0.00195233-0j -0.000281795-0j 0.000127818-0j 1.84489e-05-0j -0.0018007-0j 0.00174734-0j -0.000259908-0j -3.11852e-05-0j 0.000252207-0j -4.5012e-06-0j 0.00252244-0j 0.00162009-0j 0.000364083-0j 0.000233839-0j 
0.0392538-0j 0.0240244-0j -0.0145732-0j -0.00252203-0j 0.00572092-0j 0.00526728-0j 0.00247584-0j -0.00106196-0j -0.00159407-0j -0.000230085-0j -0.0018007-0j -0.000259908-0j -0.00274902-0j 0.00288829-0j -0.000396787-0j 0.00376076-0j 0.000416888-0j 0.000542819-0j 0.00102059-0j -0.000339088-0j 0.000147309-0j -4.89431e-05-0j 
0.00437104-0j 0.000107055-0j -0.00612302-0j 0.0751974-0j -0.000592987-0j -0.0183468-0j 0.0251775-0j 0.0315836-0j -0.0328287-0j -0.00473541-0j 0.00214927-0j 0.000310024-0j -0.0302789-0j 0.0293817-0j -0.00436762-0j -0.000524383-0j 0.00423819-0j -7.56402e-05-0j 0.0424152-0j 0.0272419-0j 0.00611822-0j 0.00392954-0j 
-0.0396606-0j -0.0242423-0j 0.0130102-0j 0.00254817-0j 0.00555139-0j 0.0018205-0j -0.00259922-0j 0.00503008-0j 0.00161059-0j 0.000232469-0j -0.00174734-0j -0.000252207-0j -0.00288829-0j 0.00291593-0j -0.000416888-0j -0.00124836-0j 0.000420878-0j -0.000180185-0j 0.000947471-0j 0.00356788-0j 0.000136756-0j 0.000514979-0j 
-0.000364253-0j -8.92127e-06-0j 0.000510251-0j -0.0190658-0j 0.000150348-0j 0.00465172-0j -0.00638359-0j -0.00800782-0j -2.87606e-05-0j -0.0562666-0j 1.88293e-06-0j 0.00368373-0j -2.65268e-05-0j 2.57407e-05-0j -0.0518965-0j -4.59402e-07-0j 0.0503587-0j -0.000898764-0j 3.71591e-05-0j 2.38661e-05-0j 0.0726974-0j 0.0466912-0j 
-0.00693916-0j -0.00424696-0j 0.0025762-0j -0.0209678-0j 0.0475628-0j 0.0437913-0j 0.0205837-0j -0.00882895-0j -0.0268045-0j -0.00386645-0j -0.0302789-0j -0.00436762-0j -0.0462252-0j 0.0485669-0j -0.0066678-0j 0.0632377-0j 0.00700558-0j 0.00912178-0j 0.0171613-0j -0.00570181-0j 0.00247545-0j -0.000822462-0j 
0.0176653-0j -0.00126479-0j -0.0247459-0j 0.00220678-0j 5.09573e-05-0j 0.00133937-0j 0.00632478-0j -0.00271408-0j 0.00139481-0j 0.000201324-0j 3.11852e-05-0j 4.5012e-06-0j -0.00376076-0j -0.00124836-0j -0.000542819-0j 1.89274e-05-0j -0.000180185-0j 2.73193e-06-0j 0.00526813-0j -0.00115745-0j 0.000760389-0j -0.000167063-0j 
0.00701107-0j 0.00428547-0j -0.0022999-0j 0.0211851-0j 0.0461534-0j 0.0151354-0j -0.0216095-0j 0.0418193-0j 0.0270823-0j 0.00390651-0j -0.0293817-0j -0.00423819-0j -0.0485669-0j 0.0490317-0j -0.00700558-0j -0.0209913-0j 0.00707263-0j -0.00302791-0j 0.0159318-0j 0.0599943-0j 0.0022981-0j 0.00865393-0j 
0.000578263-0j 0.000353913-0j -0.000214683-0j 0.00531625-0j -0.0120592-0j -0.011103-0j -0.00521887-0j 0.00223853-0j -2.34829e-05-0j -0.0459415-0j -2.65268e-05-0j -0.0518965-0j -4.0497e-05-0j 4.25485e-05-0j -0.0792274-0j 5.54012e-05-0j 0.083241-0j 0.108386-0j 1.50347e-05-0j -4.99524e-06-0j 0.0294136-0j -0.00977258-0j 
-0.0145732-0j -0.0336538-0j -0.0402045-0j -0.0018205-0j 0.00412172-0j 0.00380212-0j 0.00157912-0j -0.000937961-0j -0.00115066-0j -0.000166084-0j 0.00252244-0j 0.000364083-0j 0.00102059-0j -0.000947471-0j 0.000147309-0j -0.00526813-0j -0.000136756-0j -0.000760389-0j 0.0028156-0j 0.00307478-0j 0.000406397-0j 0.000443807-0j 
-0.00312282-0j 0.000223585-0j 0.0043745-0j 0.0183468-0j 0.00042365-0j 0.0111353-0j 0.0525832-0j -0.0225644-0j 0.023454-0j 0.00338314-0j 0.000524383-0j 7.56402e-05-0j -0.0632377-0j -0.0209913-0j -0.00912178-0j 0.000318266-0j -0.00302791-0j 4.59086e-05-0j 0.0885843-0j -0.0194626-0j 0.0127779-0j -0.0028074-0j 
0.0046562-0j -0.0224768-0j -0.0422215-0j 0.000581659-0j -0.00264725-0j 0.000415557-0j 0.00618363-0j -0.00454547-0j 0.000367642-0j 5.30646e-05-0j -0.00162009-0j -0.000233839-0j 0.000339088-0j 0.00356788-0j 4.89431e-05-0j -0.00115745-0j 0.000514979-0j -0.000167063-0j -0.00307478-0j 0.00382313-0j -0.000443807-0j 0.000551821-0j 
-0.000584256-0j -0.000357122-0j 0.000191659-0j -0.00537135-0j -0.0117019-0j -0.00383747-0j 0.00547895-0j -0.010603-0j 2.37263e-05-0j 0.0464176-0j -2.57407e-05-0j -0.0503587-0j -4.25485e-05-0j 4.29557e-05-0j -0.083241-0j -1.83901e-05-0j 0.0840377-0j -0.035978-0j 1.39576e-05-0j 5.25598e-05-0j 0.0273063-0j 0.102827-0j 
0.0025762-0j 0.0059492-0j 0.00710722-0j -0.0151354-0j 0.0342673-0j 0.0316102-0j 0.0131285-0j -0.00779805-0j -0.0193485-0j -0.00279095-0j 0.0424152-0j 0.00611822-0j 0.0171613-0j -0.0159318-0j 0.00247545-0j -0.0885843-0j -0.0022981-0j -0.0127779-0j 0.0473447-0j 0.0517029-0j 0.00682928-0j 0.00745793-0j 
0.000260235-0j -1.86321e-05-0j -0.000364541-0j -0.00465172-0j -0.000107414-0j -0.00282329-0j -0.0133321-0j 0.00572106-0j 2.05475e-05-0j 0.0401988-0j 4.59402e-07-0j 0.000898764-0j -5.54012e-05-0j -1.83901e-05-0j -0.108386-0j 2.78826e-07-0j -0.035978-0j 0.000545491-0j 7.76069e-05-0j -1.70508e-05-0j 0.151829-0j -0.0333578-0j 
-0.000214683-0j -0.000495767-0j -0.000592268-0j 0.00383747-0j -0.00868827-0j -0.00801458-0j -0.00332866-0j 0.00197715-0j -1.69509e-05-0j -0.0331623-0j 3.71591e-05-0j 0.0726974-0j 1.50347e-05-0j -1.39576e-05-0j 0.0294136-0j -7.76069e-05-0j -0.0273063-0j -0.151829-0j 4.14777e-05-0j 4.52959e-05-0j 0.0811463-0j 0.0886159-0j 
-0.000823107-0j 0.00397337-0j 0.00746378-0j 0.00483582-0j -0.0220088-0j 0.00345487-0j 0.0514097-0j -0.0377903-0j 0.00618195-0j 0.000891721-0j -0.0272419-0j -0.00392954-0j 0.00570181-0j 0.0599943-0j 0.000822462-0j -0.0194626-0j 0.00865393-0j -0.0028074-0j -0.0517029-0j 0.0642864-0j -0.00745793-0j 0.00927305-0j 
6.85922e-05-0j -0.000331114-0j -0.000621981-0j -0.00122609-0j 0.0055802-0j -0.000875962-0j -0.0130346-0j 0.00958151-0j 5.41588e-06-0j 0.0105955-0j -2.38661e-05-0j -0.0466912-0j 4.99524e-06-0j 5.25598e-05-0j 0.00977258-0j -1.70508e-05-0j 0.102827-0j -0.0333578-0j -4.52959e-05-0j 5.632e-05-0j -0.0886159-0j 0.110183-0j 
