0.034708+0.233536j 0.313024-0.0354945j 0.205721+0.409787j 0.141641+0.0773545j 0.372739-0.373437j -0.168261+0.173767j -0.388794-0.234704j -0.056679+0.198812j 0.0881435-0.0658563j 0.077846+0.0111024j 0.054785+0.0329803j -0.0852527-0.00176089j -0.0352878+0.0737862j 0.0468829-0.0472943j 0.102009+0.0828439j -0.0122229+0.0836886j -0.00891367-0.0280299j -0.0295046+0.0268j -0.034333+0.0415828j -0.026477+0.0133997j -0.00529005-0.0138551j 0.0347372-0.00332666j -1.27258e-05+0.0298231j -0.0239502-0.0147428j 0.0248084+0.00155655j -0.0240785+0.0136346j 0.0264066-0.0132358j -0.0239409-0.00599032j 0.0168182+0.00193938j 0.0411268+0.0365594j -0.0209866+0.0437826j 0.024563+0.0105527j -0.0322409-0.0194196j -0.0187127+0.0361224j 
0.000960158+0.0206218j -0.0212863-0.00817053j -0.0106108+0.0168377j -0.038208+0.0117519j -0.00811408-0.0250249j 0.0176137+0.00818851j 0.00583193-0.00287076j -0.0194158+0.0130713j 0.00450051+0.000463784j -0.00762479-0.00105291j 0.0153248+0.0247376j 0.00614884-0.000212247j -0.00535548-0.00925288j 0.00642897-0.000986242j -0.00664009+0.000376021j -0.00370312+0.00835313j 0.00187777-0.007928j 0.0257171+0.0368381j 0.0240784-0.00794707j -0.00734911-0.0138378j 0.0352916+0.0128126j -0.0186809+0.014247j -0.00218694+0.0146036j 0.00182978+0.0237244j -0.0309302-0.0136155j -0.0173346+0.0168433j -0.0165601+0.00395825j -0.00980417+0.0182904j -0.0046036+0.0148553j -0.00224435-0.00317005j -0.0339997+0.00598193j -0.00884695+0.0134043j 0.014389+0.00876248j 0.0141803+0.00606058j 
-0.0107444-0.00961554j -0.013826+0.00172317j 0.0101614-0.0193974j 0.0317519+0.00835121j 0.00145823+0.0266188j -0.0066687+0.0217838j -0.0138818-0.0220797j -0.0181628+0.0304456j -0.0198686+0.0184426j 0.00154472+0.00112718j -0.0183312-0.0300994j 0.00760695+0.00496743j 0.0274249-0.0115985j 0.0108704+0.0129012j 0.0133018+0.000635289j -0.0161682+0.0293187j -0.00511419+0.0283812j -0.0509612+0.0163525j 0.0729416-0.0492156j -0.0351909-0.0165686j -0.0302697-0.0087383j 0.0265788-0.0322739j 0.0320386+0.00779756j -0.00913784+0.000192413j 0.0575057+0.043717j 0.0684087+0.0209877j -0.0387455-0.0446071j 0.0376562-0.0112j -0.0177016-0.0281638j 0.0189737+0.00125537j -0.00715533+0.011836j -0.00328548-0.0442321j 0.00557048+0.0151259j -0.00160739-0.00407123j 
0.0346055+0.00499853j -0.0196539+0.0214843j 0.00517434+0.0222422j -0.0276957-0.013171j 0.00403466+0.0121419j 0.0344309+0.0104929j 0.0127206-0.03053j 0.0292667+0.0159415j -0.00725905+0.00628j -0.00932168+0.0109987j -0.0347551-0.0511477j 0.00479644+0.0104799j 0.0233687-0.00647713j -0.0103856-0.00393322j 0.0153554-0.00075914j 0.000147436+0.00116505j 0.0158791-0.000254113j 0.00903927-0.0367552j 0.0184386-0.00432791j -0.00296607-0.025289j -0.0539092+0.00988716j 0.0474305-0.0598741j 0.0281885+0.00729674j -0.0600562-0.00985668j 0.0320111+0.0063977j 0.0564521+0.0133435j 0.0197944-0.00982503j 0.0164119-0.0490678j 0.00102564-0.0319533j -0.0236039+0.0140286j 0.0296501-0.0109684j -0.00344418-0.0073601j -0.00555539-0.0111139j -0.000829005-0.00440219j 
-0.0148364-0.0150795j 0.0262069+0.0243927j 0.00681368+0.0118349j -0.00230145-0.0253114j -0.0442161+0.0040674j 0.00151856-0.0128767j -0.0144398-0.00159279j 0.0047664-0.0512755j 0.0288026+0.00649253j -0.0404873+0.011505j 0.0294901+0.0145162j -0.02585+0.0236319j -0.00015022+0.0381967j -0.00880202-0.0144012j -0.0110935+0.00414901j 0.0274363-0.0229292j -0.018963-0.00234179j -0.00677193-0.0525864j -0.0559252+0.0603853j 0.0272268+0.0400648j 0.0105511+0.00358103j -0.0181937+0.0113521j -0.0988243+0.00150057j 0.0072297-0.035534j -0.0214369+0.019093j -0.0422178-0.0462321j 0.0053815+0.0317795j 0.000262878+0.00495746j -0.00995563+0.033606j 0.00765548-0.0080472j -0.00557887+0.00173822j 0.00726208+0.00445532j -0.0107247+0.00217496j -0.0121872+0.000165406j 
0.0105442-0.00632758j 0.00719525+0.00551557j 0.00189575-0.000651681j -0.00111041-0.00163688j 0.00327187+0.00386224j -0.0044991-0.0100819j 0.0124086+0.0139847j -0.0195827+0.00833311j -0.0176552-0.0250915j 0.049866+0.000454941j 0.0371897-0.0100131j -0.0105169-0.0273977j -0.0202833+0.00219955j 0.00640028+0.00611375j -0.0144864-0.0223648j -0.0234758-0.00202998j -0.0307798-0.0414552j 0.0255958-0.0194633j -0.0218113-0.00416288j -9.50725e-05+0.0437511j -0.0236822+0.040323j -0.0132371+0.0123321j 0.0530648+0.00151149j -0.00502031-0.00555819j 0.0289491-0.00665855j -0.00386793-0.00597649j -0.0577495-0.00454974j -0.0361133+0.0232542j 0.0319831+0.0374116j -0.000749077+0.026347j 0.025271+0.0116262j 0.0313916-0.0322477j 0.0211727-0.00411008j 0.000686108-0.0136232j 
0.0201604+0.00903455j 0.0107834-0.0147079j -0.0111112-0.00561998j 0.0096523+0.00754949j 0.0160804+0.0115637j 0.00176492+0.00279249j 0.00538075+0.0089229j 0.0121942+0.0292983j 0.002769-0.0142202j 0.0127678+0.0111382j 0.00123366-0.0369598j 0.00298784-0.0202213j -0.054798-0.0204906j -0.0154404+0.000663281j -0.0196293-0.0138461j 0.020499+0.0201541j 0.0208629-0.0147227j -0.00492796+0.0156226j 0.0233723-0.0276215j -0.0136969-0.0550356j -0.0170767-0.00437225j 0.0152297-0.0474053j -0.00283858+0.00454041j 0.0240993+0.00338717j -0.0734005-0.0071517j -0.0657754+0.0283514j 0.0328286-0.00733556j -0.0367206-0.0439272j 0.0058618-0.0420796j -0.00252656+0.00297678j -0.00559194-0.0172418j -0.0410809-0.00463963j -0.0294467+0.00844582j 0.0272997+0.0120921j 
-0.0310894-0.0232871j -0.0202214+0.0266408j 0.000722714-0.0116203j -0.015896-0.00557754j -0.00644226-0.0358274j 0.0120582+0.0150104j 0.00365855+0.00601195j -0.0528145-0.013616j -0.00256386-0.0115524j 0.00689147+0.0314387j 0.0015974+0.012882j 0.0437911-0.013761j 0.0231877+0.043369j -0.00566635+0.0378562j -0.00697498+0.00190951j 0.000803062-0.0292814j -0.0524542-0.00395501j 0.0111473-0.00327148j -0.0040177+0.0216636j 0.00960647-0.00915332j -0.012746-0.0321601j 0.0239638-0.0440055j 0.0160229-0.0207322j 0.0238685-0.00749434j 0.0182933+0.0233566j 0.000870234-0.0420252j 0.0223236+0.0101544j 0.0224391-0.000762469j 0.00439207-0.015799j 0.0187963-0.0211255j 0.00646714-0.019651j -0.0395115+0.0196145j 0.0416233+0.0215561j 0.051111-0.0168037j 
0.0182543-0.0358332j -0.0161797-0.0312409j 0.0245779+0.0225047j -0.00204795-0.00227107j 0.0032754+0.0145927j -0.0249023-0.0101224j 0.0112432-0.0102289j -0.0239721-0.00301489j -0.0421252+0.0294506j 0.00103116+0.00684128j 0.0181071+0.000965115j 0.0149501+0.0228871j -0.00369489+0.0248797j 0.0123713-0.000935966j 0.0393897-0.0102698j -0.030579+0.00106083j -0.0157442-0.00661455j -0.0653752-0.00710184j 0.0254495-0.0587401j 0.0014602-0.0359342j 0.0112071+0.0117488j -0.00175559+0.0038551j -0.0130294+0.0192371j -0.00150972+0.0269892j -0.00710067-0.0042051j -0.0215043+0.010875j -0.0230689+0.0455861j 0.0450279-0.010507j -0.0339687-0.0933116j 0.0214504+0.00162162j -0.00302391+0.0126206j 0.0469265+0.0351927j -0.0369552-0.000180015j 0.0292329+0.0256807j 
-0.00470647+0.00730389j 0.00890626+0.00343179j 0.0198638-0.00611524j -0.00108599-0.0138638j -0.00237892-0.0194964j -0.0151863-0.0403181j -0.0340115-0.0052233j -0.0137063-0.00286739j 0.013653-0.00763458j -0.0239377-0.00487785j -0.00890587+0.0275845j -0.000658213-0.00648221j -0.0137829-0.000960608j 0.0061401+0.0068856j -0.0301787-0.00235925j -0.019011+0.00124506j -0.0121059-0.00318483j -0.0388812-0.0238565j -0.0233483-0.0264458j 0.00654292-0.0310664j 0.00845598-0.0208126j -0.0174046+0.0319938j -0.00542257+0.0151078j -0.0221138-0.00262949j -0.0167383-0.0365703j -0.0156333+0.034704j -0.0210279-0.0426001j 0.00894402+0.00467357j -0.0186197+0.04068j 0.0625751+0.0233376j 0.0115098+0.011563j -0.00847705+0.0229738j 0.00627993-0.00862984j 0.00316935+0.0028027j 
0.0560268+0.012026j 0.00764433-0.037532j -0.0189958+0.0119345j 0.0163131+0.0088316j 0.0430086+0.0152685j 0.00191495-0.00398215j 0.0369541+0.00491759j 0.0522744+0.00386115j -0.0232587-0.0155395j 0.0294627-0.0197269j -0.036604-0.0191979j 0.0130453+0.00347242j 0.0121324-0.00062028j -0.012571-0.0105647j 0.0300776+0.0105924j -0.0173262-0.00973941j 0.065621-0.00452279j 0.00700904+0.00806487j -0.0394143+0.0230504j 0.0274902-0.00703241j 0.0147462-0.00438249j -0.0229335+0.0188924j 0.0433911+0.0146666j -0.0450293+0.000470111j -0.00788222-0.0520072j 0.0189484+0.0317818j 0.0516753+0.0411729j 0.00840644-0.0186643j 0.0181245-0.0447032j -0.0316413-0.0150204j 0.00110995-0.029674j 0.0751539+0.0109911j -0.030474-0.0302125j -0.0524462+0.0256499j 
-0.00287529-0.00414443j -0.00262667+0.000202091j 0.00549857-0.0038856j -0.0142174-0.00808515j 0.010265+0.00587056j -0.00580013+0.00915774j -0.0086684+0.0023451j -0.00515018-0.0142976j 0.00330637+0.00355288j 0.0226012-0.00744132j 0.00728373+0.00432544j 0.00475537+0.0047125j -0.00558084-0.00989789j -0.00257695-0.00468491j 0.00229814-0.00862053j 0.000165026+0.0104376j 0.00862228+0.0153661j 0.0221335+0.00762716j 0.0197429+0.0135492j 0.00755771-0.0059524j -0.00518401-0.033915j -0.0217279+0.022751j 0.000246895-0.0197263j -0.00912534-0.0257262j 0.0284288+0.0209709j 0.00373618-0.0118172j -0.00968345-0.0207008j -0.0310806-0.0290767j -0.00319732-0.0223857j -0.0196029-0.0178256j -0.00472974+0.0110487j -0.0265407+0.00901443j -0.00104545-0.00835015j 0.0158333+0.00498627j 
-0.031336-0.0158806j -0.017228+0.0170934j 0.00549893+0.00839343j -0.0175724+0.00592517j -0.0175831-0.0144283j 0.00957924+0.0186144j 0.00701797+0.00917749j -0.00153744-0.00113321j -0.0152357+0.0151194j -0.00894111+0.004441j 0.0327058+0.0130122j 0.0164202-0.0140603j -0.0251166+0.00633362j 0.00901627+0.00193584j -0.00446283-0.00811609j -0.006341-0.0147137j 0.00114429+0.0163783j -0.0114768-0.0118353j -0.00968432-0.0148389j 0.00143829-0.00697956j 0.0442101-0.00975172j -0.0155137+0.0272365j -0.0101671-0.00700972j 0.00198891+0.0158095j 0.00641079+0.00274895j -0.00450817-0.00644161j -0.0471884-0.0200018j 0.0133504+0.018496j 0.00279053+0.0243316j 0.0212694+0.0255757j 0.022571+0.0187789j -0.00878471+0.00014292j -0.00625496+0.00659329j -0.00238313-0.0246984j 
0.00899172-0.00676097j 0.00703029+0.00610862j 0.00240906-0.00614535j 0.00269917+0.00716282j -0.00122777+0.0181645j 0.00136773+0.0102785j -0.0129738-0.000989864j -0.0117191-0.00886188j -0.00226326-0.0104151j -0.000483693+0.0031154j 0.00749856-0.00696509j -0.00163873+0.0158545j 0.000806994-0.00225695j 0.021807-0.0152683j 0.000854103-0.0174465j 0.001226-0.0225738j -0.0088708-0.00421877j 0.00705014+0.00826969j -0.0116271-0.000631576j -0.00757454+0.0145792j -0.00825938-0.0274229j 0.0260792+0.0080015j -0.0157087+0.00275287j 0.00728888-0.032876j 0.00746615-0.00491607j -0.0194152-0.00586044j 0.0269695-0.00540544j 0.0121919-0.00552774j -0.0320232-0.00901036j -0.00604581+0.0235597j 0.0400241-0.0121542j 0.0218699+0.00650516j -0.00609708-0.00532454j 0.0168985-0.00727872j 
0.00412467+0.00680749j -0.00323655-0.010998j 0.00717573-0.00404256j -0.0152535+0.00442412j -0.0109165+0.00148766j -0.00256977+0.00681844j -0.0139165-0.0259156j -0.00904672+0.00236148j -0.0109291+0.010708j 0.00984992+0.00518147j 0.0134913+0.00648518j 0.024225-0.000978057j 0.00079929-0.0177594j -0.0338527+0.00366438j -0.0291397+0.0182553j -0.021718-0.00257341j -0.00245708-0.00544835j -0.0142886+0.00833404j 0.0227531-0.0177522j -0.00388174+0.0222576j -0.0112042-0.0176976j -0.0216743-0.0176247j 0.0138447-0.00319398j -0.0490577-0.0359677j -0.0290191-0.0501165j 0.00982229+0.0134932j -0.0146642-0.000148295j -0.0307335+0.0137067j 0.018608+0.0132224j 0.0315266-0.000591108j -0.0365079-0.0112041j -0.00425513-0.0103589j -0.00462424+0.0104349j 0.00471398-0.0143412j 
0.0136895+0.00803402j -0.0120559+0.00502352j -0.0112609+0.0458821j 0.00232074+0.011656j -0.0167346-0.00193393j 0.0136495+0.0154332j 0.00728571+0.0155401j -0.00803409-0.0103885j 0.0034625-0.0128684j 0.00370632+0.013969j -0.01159+0.00143558j -0.0110722+0.022515j -0.00122546-0.0115536j -0.00427164-0.00670645j -0.0232943-0.00185157j -0.0113187+0.0257048j -0.000434801-0.00479028j -0.0034609-0.00451352j 0.00329981-0.00778715j -0.0030928+0.000546226j 0.0120803+0.0138208j -0.00652067+0.010762j 0.00345581+0.0198476j -0.0260231+0.0113576j -0.0120868-0.0171893j 0.000720298+0.0167998j -0.00345968-0.0124133j -0.00169457+0.00138717j -0.017236+0.00306251j 0.0216086-0.00168797j -0.00743609-0.0137823j -0.00211465+0.00888168j 0.00194943-0.00775856j -0.00375696+0.008139j 
0.0107274-0.00213337j -0.0176017+0.00365234j -0.0146973+0.0207657j -0.00715983+0.00279326j -0.00476512+0.00965141j -0.0172067-0.0011059j -0.0237314+0.0198411j 0.00893907-0.00275456j -0.00798362+0.00125082j 0.0229698-0.0048763j -0.00347256-0.00707159j -0.00540293-0.0217056j -0.0016929+0.0141696j -0.0188811+0.00893067j -0.00200085-0.00478109j 0.00872586+0.00457513j -0.00123346+0.00444617j 0.0196106-0.00629265j 0.00931825-0.0044485j 0.00223026+0.00306228j 0.0264541+0.0083888j 0.00571236+0.0268364j -0.0071348-0.00456377j 0.00768252-0.0138618j 0.0200092-0.00361204j -0.0070437-0.0196758j 0.00917068-0.0069104j -0.00815463+0.0118243j 0.0111345-0.00804534j -0.00571865-0.000646849j 0.0147567+0.00909403j -0.00756281+0.00726523j 0.000661223+0.00391201j -0.00575024-0.001398j 
0.00833555+0.0033828j 0.00150475-0.00701061j -0.00659809-0.00130233j 0.00235745-0.00690606j 0.00174701-0.00016423j 0.000233163+0.00460556j 0.00853322-0.0064323j -0.0045931+0.00308872j -0.0119661-0.00430097j 0.0116962-0.00981686j 0.00347165-0.00410785j -0.0126215-0.00929852j 0.0122212-0.0126652j 0.00580999+0.0172454j 0.00499992-3.68511e-05j 0.00886164-0.0166751j -0.00911863-0.00359527j 0.00270085+0.00362884j 0.0103484-0.0108847j -0.00583923+0.0208235j 0.0534352-0.056272j -0.00418992-0.0118061j 0.00669522-0.0205903j -0.0446325-0.0425476j -0.0179866-0.00611746j 0.00608569-0.0182576j -0.0055838-0.0119988j -0.0118311-0.0105406j 0.0131451-0.0260254j -0.0174166-0.00547219j 0.00317714+0.00822365j -0.00156569+0.00890715j -0.00338527+0.0014018j 0.00566147-0.00212467j 
-0.00329202-0.00420841j -0.00186235+0.00784274j 0.000363815-0.0052113j 0.0109741-0.00488153j 0.00591504+0.00161043j -0.00308383+0.00316434j 0.00243756+0.00631328j -0.00592735+0.0268564j -0.00422099-0.00695036j -0.0261546+0.00297228j -0.0139023-0.0134574j 0.00717293-0.000746531j 0.000421405+0.0135106j 0.014997-0.0152467j -0.00416922-0.0147354j -0.019399+0.0192718j 0.00429435+0.00309849j -0.00216514+0.0176344j 0.0343444-0.0417157j -0.0136953+0.0098443j 0.0143161-0.00155655j 0.0249353+0.0200621j 0.00873068-0.00906181j 0.0203441+0.0164826j 0.011218+0.0190044j 0.0181603-0.0309808j 0.0195116-0.0112083j 0.0113709+0.00332663j -0.0182088+0.00629852j 0.00946078+0.00709165j 0.0152735+0.00535514j 0.0152889-0.00699336j -0.00966439+0.0014815j 0.00313614-0.00839553j 
-0.00554167-0.0069851j 0.0100812-0.0130775j -0.0203435+0.000401349j -0.000229281+0.00153202j -0.023022-0.0167254j 0.0143649-0.00596315j 0.0012218-0.0172914j -0.0234553-0.0143164j -0.00255245-0.00437929j 0.00939226-0.00048842j 0.0284924+0.0118284j -0.00453176+0.00999548j 0.0140372-0.0149485j 0.0117314-0.00236917j 0.00169903-0.00135492j 0.00184963+0.00624596j -0.0182142-0.000206667j 0.00679608+0.00258645j -0.0300929+0.0117453j 0.0323511+0.0138681j 0.00742689+0.023198j 0.00695606+0.033526j -0.0082176+0.0112223j 0.0268954+0.0290066j 0.0194852-0.0031907j -0.00115208+0.00531569j 0.00687558+0.00559127j 0.0317902+0.0227167j -0.00909937+0.00507857j -0.00223132-0.00357529j 0.00499702+0.0158799j -0.0076646+0.00974833j -0.0149587-0.0119442j 0.00140877-0.0189728j 
0.00154383+0.00732095j -0.00751903+0.00378598j 0.0140251+0.00505466j -0.0115876+0.00792802j 0.00154551-0.000751149j -0.0081034+0.00221983j -0.00937299-0.00345929j 0.00723803-0.00638782j -0.0146112+0.0113762j 0.00900954-0.00303027j -0.00441561+0.015421j -0.0152868-0.00397137j 0.0153612-0.0208864j -0.0103127+0.0271475j -0.00132321+0.0249951j 0.0254469-0.00727107j -0.00629145-0.00239598j -0.0297663-0.0143657j -0.0205572-0.0172452j 0.0101906+0.00659027j -0.0787115+0.0263771j 0.0226071-0.0160424j -0.00566145-0.00362699j 0.0156768-0.0105086j 0.00362389-0.0298874j -0.0163795+0.0336937j 0.0209884-0.015419j 0.014601+0.00704449j -0.00269287+0.0299378j -0.0100653+0.00622557j -0.00487271+0.0244514j -0.0103048-0.00790526j 0.00580705-0.000192951j -0.0020067+0.00434056j 
