0.00429453-0.0163855j -0.00443609+0.0331755j -0.00449042+0.00814272j -0.0475491+0.0115786j -0.00951524+0.0167751j 0.00329125+0.0160793j -0.00429936-0.0460446j 0.0106593+0.0481575j -0.0446409+0.0417555j -0.0307718-0.0882176j 0.0633362+0.0123258j -0.043536-0.0364719j -0.105593+0.0238833j 0.0349602-0.0481831j 0.0519452+0.0538208j -0.00405541-0.0316177j -0.00491598+0.00419523j -0.0378105-0.0544133j 0.0314741-0.108653j -0.036023-0.0516579j 0.06989+0.0540488j -0.0776973-0.0691346j -0.00563709+0.0887091j -0.00647815+0.0514379j 0.0339619-0.0207306j -0.0145599-0.0475676j 0.016166+0.039183j 0.0434896-0.00340591j 0.0708415-0.0661963j 0.181142-0.0388418j -0.0394623+0.0106995j -0.126949+0.0382562j 0.00456809-0.10905j 0.0467429+0.0303634j -0.0357082+0.0632585j 0.0860464+0.0016304j -0.0442716-0.231352j 0.0562638+0.0255231j 0.0180875-0.218005j -0.267133-0.0401051j 
-0.00232816+0.0360474j 0.0108324+0.00557783j 0.013474-0.0034164j 0.0401227+0.0246799j 0.00492262+0.0384397j -0.0338585+0.0251075j -0.00780529+0.00148236j 0.0130717+0.054995j 0.0163444-0.0260755j -0.0158709-0.00264648j -0.00339367+0.0220019j -0.0274853-0.0233146j -0.0257522+0.00785787j 0.000202403-0.00460335j -0.00743065+0.0118464j -0.00129346+0.0352463j -0.0546355+0.018843j -0.035195-0.00517531j -0.00880295-0.00321401j 0.00487202-0.0289961j -0.0250045+0.00423648j -0.00213378-0.0470461j -0.0456018+0.0242008j 0.0339976-0.00253015j 0.010746-0.0145591j -0.0106069-0.0310397j -0.0538311+0.0143216j 0.000506988+0.0387151j -0.0191124-5.30981e-05j 0.0131594+0.000939181j -0.00280498+0.0057818j -0.0474378-0.0172076j 0.0128643+0.0283685j -0.060842+0.0112239j 0.0182957-0.0173749j 0.0176046+0.0249502j -0.0321486-0.00341815j 0.010866+0.0158945j -0.0242126+0.00941291j -0.00311408+0.0245057j 
0.0199684+0.0177361j -0.0272521+0.0119101j -0.0252812+0.0143037j -0.0441674-0.0195395j 0.00191095-0.0200818j 0.0266748-0.0114284j 0.0199266-0.0214882j 0.0137613-0.0211146j -0.012984+0.0168909j 0.0107996-0.0291484j 0.0211982+0.0316747j 0.0114959-0.0102377j 0.0116568+0.0102468j 0.0131459-0.0216006j -0.00309514+0.00730388j 0.0292467-0.0285552j -0.0201555-0.0320554j 0.0629239-0.00137031j 0.0421306-0.0263957j 0.00795999+0.0141343j 0.0141367+0.00849869j 0.00828936-0.0300494j -0.0365282+0.02606j -0.019096-0.000584131j -0.00710269+0.0005816j 0.0418214+0.0147191j 0.0107998+0.0066106j 0.0105696-0.00996999j 0.0160609+0.00255845j 0.0366453+0.00730788j -0.0263576-0.0148171j 0.0168806+0.00202414j 0.0271927-0.0181013j 0.0217268-0.00508426j -0.00363563+0.0105668j 0.0505415+0.00338195j -0.0642156-0.0380082j 0.0306514+0.0023923j -0.0177427-0.0148511j 0.00577288+0.0325535j 
0.011177+0.0234883j -0.0160271+0.00869456j -0.0561881+0.0179502j -0.00624922-0.00374413j 0.017789-0.002032j -0.0239082-0.00703802j 0.0228525-0.0534617j 0.0204323-0.0552438j 0.0101028+0.00328876j 0.00853821+0.0235207j -0.000637563+0.00334382j -0.0260756+0.0173618j -0.00497562-0.00082588j 0.0148981-0.00536248j -0.023043-0.0184403j -0.0319796-0.042727j 0.00680686-0.0253074j 0.046395+0.0157718j -0.00733305-0.0214388j -0.00651719+0.033865j -0.00266223+0.00881912j 0.000440557+0.0295337j -0.0134159+0.00283801j -0.0160265+0.00965862j 0.00271198-0.0191233j 0.032681+0.0188489j 0.0374008-0.0273213j 0.00395663+0.0102768j 0.000365262+0.00434004j 0.00732435-0.00398482j -0.0127069+0.0331375j 0.0487055+0.0331634j -0.035055-0.0179291j -0.00111556+0.000656782j 0.0213736-0.0138124j -0.0142155+0.0250583j -0.0222034+0.00245067j -0.0153447+0.0558557j 0.0323415+0.0252188j 0.00520677-0.0157562j 
0.0164307+0.00827057j -0.0108696-0.0273068j 0.0117507-0.00243146j 0.0176253+0.0062606j 0.0320137-0.0239714j 0.0135863-0.0155025j 0.0152677+0.0140686j -0.00485217-0.0488151j 0.0180985-0.0270176j 0.00680959+0.0263681j 0.00376342-0.00675905j -0.0149631-0.00951824j 0.0169103+0.00880331j -0.00394119+0.0163677j -0.00270373-0.00115025j -0.0549127-0.0100388j 0.0248879-0.00977623j 0.00179674+0.0276304j -0.0370457-0.0221623j -0.000546304-0.00162781j 0.00726565-0.0309205j -0.0212278+0.0480277j 0.00339165+0.0107163j 0.0185583+0.00878299j -0.00747057+0.0220147j 0.0269116-0.0244561j 0.0131578+0.00494303j 0.0066908-0.00645282j -0.0241958-0.00748352j 0.00457293+0.00382455j 0.0196859-0.011407j -0.0384379-0.0395472j 0.00502779+0.0306588j 0.0387767-0.0134609j -0.0319157+0.0131712j 0.00891496-0.0296603j 0.0566213-0.0123611j -0.0346761-0.0676108j -0.00241169-0.00120885j -0.0161534-0.0167328j 
-0.0108242+0.0186565j 0.0198482-0.00446451j 0.0172406-0.0201171j -0.00434106+0.0155703j 0.0297155+0.0143019j -0.01377+0.0199731j 0.0123252-0.00376829j -0.0150496+0.00403005j -0.00225546+0.0051102j -0.0150778-0.0324215j 0.00913467-0.0153608j -0.0286226-0.00280867j -0.0366421+0.000410006j 0.0111597-0.00899931j -0.00360795+0.0164828j -0.0198568+0.0239874j 0.0129484+0.00539198j -0.024509-0.0171436j 0.00345064-0.0195001j -0.00683965-0.0285388j -0.00147353-0.0047114j -0.0226765-0.0116794j 0.0116139+0.00659205j 0.0126592+0.0137224j 0.0212482+0.00787426j -0.0187609-0.00872894j 0.000423116-0.000702728j 0.0119669+0.00429931j 0.00952337+0.00785914j 0.0634279+0.00343748j -0.0101899+0.0470972j -0.0176797+0.0114484j -0.0274392-0.0161079j 0.038987+0.0632513j -0.0361391+0.0641799j 0.00610118-0.0239272j 0.00759794-0.0565357j 0.0176211-0.00393832j -0.0115307-0.069101j -0.074925-0.0339879j 
-0.00117461-0.00118189j -0.0125698-0.0147221j 0.00137286-0.0344327j 0.0286863-0.00483295j 0.0300869-0.0251287j -0.00951496+0.00489634j 0.0624056+0.00222631j -0.0515505-0.013346j 0.014813-0.0269875j 0.0286023+0.00968773j -0.00142691+0.000568207j -0.00194943+0.00153804j -0.00843443+0.00179915j 0.00334488+0.0200502j -0.0242614-0.0180285j 0.0468253-0.00976281j -0.0467252+0.0100357j 0.0496084-0.00136048j -0.00707293-0.0127075j 0.0262601-0.0164421j -0.00587801-0.0349432j -0.00635817+0.0209096j -0.0130381+0.00344803j 0.040035-0.00103302j -0.015043+0.0552618j 0.0133718-0.0231795j 0.0198746+0.000905574j -0.00815017-0.0507206j 0.00466217-0.0136685j 0.00556606+0.0192961j 0.0300141-0.0554398j 0.0145988-0.0133755j 0.0133861+0.00401394j -0.0438577-0.00355111j 0.00339833-0.0199516j -0.0143285+0.0253494j 0.0430665+0.0571394j 0.0213926-0.0237115j -0.0825748+0.00524881j 0.0359609+0.0239854j 
-0.000883899+0.0172604j 0.0113145-0.0126868j 0.0279961-0.0203372j -0.0109352+0.0172694j -0.00288121+0.00496112j -0.015917-0.00362218j 0.00354034+0.0196782j -0.011875+0.00731257j -0.00771139-0.020778j -0.0151628-0.0166762j -0.0101876-0.010424j 0.00214948-7.40756e-05j -0.00396023+0.00589642j 0.019364-0.00297424j -0.00659757-0.00420794j 0.0101858+0.0247138j 0.0125731+0.00885284j -0.0125943-0.0318897j 0.00581946-0.00540276j -0.0108647-0.0184033j 0.00933641+0.0039275j -0.0226583-0.0292173j 0.006107+0.0179751j 0.0104546+0.00272636j 0.0061131+0.0345648j -0.0278397+0.0110563j 0.00916377-0.010005j 0.0247866-0.0291279j -0.019589+0.0116252j 0.00673476+0.0163732j -0.0156984-0.00921688j -0.00915661+0.0212418j -0.033062+0.0296112j 0.00505049-0.0514929j 0.000350423-0.0479151j -0.033275+0.0329233j 0.0115147+0.0107402j 0.0228632+0.00764643j 0.00478615+0.0288636j -0.0121891+0.00678592j 
-0.0080433+0.0162795j -0.00172295+0.00557337j 0.00650153+0.000617274j -0.00013848+0.0120469j 0.0310963-0.00757117j -0.00492321+0.0150542j -0.0104677-0.0014417j 0.0231705-0.015191j 0.0211268-0.0271343j -0.00347682+0.00517371j -0.00263708+0.0151634j 0.0112746-0.0100867j -0.00964151-0.00303136j -0.00404733-0.0298606j -0.000135485+0.0027271j -0.026969-0.0109324j 0.00292894-0.00681701j 0.00577069+0.0088171j -0.00214913-0.0105867j 0.0104433-0.00502185j 0.0212466+0.000364533j -0.00406921+0.0117117j -0.00775485-0.00565304j 0.0346383-0.0152039j -0.0248872+0.0142965j -0.0132768-0.00973714j 0.0054112-0.00749353j -0.000555076-0.0279419j 0.0374821+0.0105365j 0.0494377+0.0111495j 0.016605+0.0155733j -0.00327088+0.0104485j -0.0208875-0.0141683j 0.00220516+0.00969515j 0.0409468+0.0371162j 0.0415569+0.0304186j 0.0124565-0.00946621j -0.0355724-0.0180267j 0.0151883-0.00634813j 0.0136146+0.00375773j 
-0.0143159+0.00459226j 0.00438507-0.0117288j 0.000194413-0.00753391j 0.0245038+0.000866933j 0.0222157-0.00178398j 0.00182375-0.00360691j 0.0125471+0.00525067j -0.00472665+0.000558161j 0.0354195-0.0233684j 0.0212419-0.00041672j -0.00705014+0.00481929j 0.00395495+0.0162433j 0.00599601-0.0125942j 0.00581922+0.0128787j 0.0411163-0.00552856j -0.026296-0.0141662j -0.0489721-0.00449255j 0.00863842+0.0203499j -0.0209405-0.00405966j -0.0106889+0.000356938j 0.00220055-0.0131167j -0.0111784-0.0158156j -0.0330301+0.0112879j 0.0241339+0.0482385j 0.0372983+0.0392668j 0.011246+0.00898226j -0.00789367-0.0222387j 0.00299148+0.0427701j -0.00800046-0.0140918j -0.0076288-0.00457711j -0.0149935-0.0125762j -0.0324682+0.00793477j 0.0426955+0.00259577j 0.0438451-0.0230189j 0.00686779-0.0102766j 0.00162061-0.0285539j 0.00903715-0.0243187j 0.0306629-0.0342653j 0.0162966-0.00741593j 0.029687+0.00721339j 
-0.000131474-0.00811887j -0.0170347-0.0123581j -0.000346815+0.0033197j -0.00866774+0.00234198j 0.0105286+0.00637657j -0.0244477-8.11096e-05j 0.0169032-0.00635723j 0.00273699-0.0171665j 0.0041891+0.00272138j 0.00781143+0.00919743j 0.0206234-0.00818974j -0.0104786-0.00209278j 0.0175462-0.00699641j -0.0148823+0.0281288j 0.00250995+0.0119708j -0.00282627-0.00250335j -0.00493919-0.00472985j -0.0044427+0.0188219j -0.0226756+0.00370813j -0.0115982+0.0191786j -0.0102785+0.00294504j 0.0174825-0.0179071j -0.0304652+0.00822188j -0.0106697-0.017059j -0.00505937-0.00415716j -0.017552+0.00165442j 0.0209416-0.0106133j 0.0058898-0.0960778j 0.0264605+0.0122793j -0.0415301+0.0284583j -0.0444072+0.0362356j -0.0144713+0.00824353j -0.0514912-0.00515499j 0.000627971-0.0140844j 0.00736898-0.0293439j 0.0338043+0.000377391j 0.0190901-0.0120198j 0.0150678-0.003395j -0.00383311-0.00479343j -0.00526865-0.000546686j 
0.006171+0.023176j 0.000317191+0.0106919j 0.0038645+0.00940068j 0.011037+0.0293341j -0.0161474-0.0109712j -0.0113035-0.0108263j -0.00225707+0.0128953j -0.00178075+0.00108584j -0.0143922-0.0315449j -0.0146839-0.00121894j -0.00196135-0.0121808j -0.00141967-0.0176034j 0.000857014+0.0135812j -0.00418878+0.0154353j -0.00623407-0.000690732j 0.00108014+0.00795743j 0.00569371+0.00589251j 0.00720594+0.00427861j 0.0215284+0.00441675j 0.0118093-0.00653959j 0.00528575-0.0051658j -0.0040625-0.0225046j -0.0246618+0.0169295j 0.0298394-9.42776e-06j -0.0043184+0.0370172j 0.00314226+0.00142969j -0.0207651+0.00811797j 0.00153737-0.0227126j -0.0354476+0.0233472j 0.0207348+0.0115117j -0.0271452-0.00279043j 0.0122784-0.00710558j 0.0122154+0.0365589j 0.0324667+0.00788469j -0.0117235+0.0248526j -0.0186102-0.00414314j -0.0208918+0.0280088j -0.0144868+0.00374853j -0.0250952+0.0163297j 0.0191715-0.00490404j 
0.00715918-0.000562864j -0.0327387+0.0125606j -0.0101405+0.00233194j -0.00365693-0.00634049j 0.00854438-0.00353095j 0.00834234-0.000836839j 0.00813716-0.0123395j 0.0176788-0.02248j 0.0077588+0.00436911j -0.0116728-0.00790174j -0.0194165-0.0263289j 0.0159037+0.0246562j -0.00523126-0.0200861j 0.038318-0.00564753j -0.00598668-0.0234412j -0.00912278-0.0179206j 0.0027766-0.00694626j 0.00822452+0.0227503j 0.00450026-0.0128007j 0.00744752+0.0143937j -0.000358575+3.89954e-05j 0.00634502+0.016752j -0.00261929+0.0125509j -0.01975-0.0281055j 0.0105221-0.0180377j 0.00451224-0.00647386j 0.0021672+0.00420631j -0.0175301+0.0181592j -0.0083258-0.00506468j -0.0247371-0.000248084j -0.00763759-0.00958063j 0.0248414-0.000899164j 0.00414601-0.0168794j -0.0189948-0.0076517j -0.000752452-0.0178118j 0.00939112-0.00513145j -0.00494142+0.0141343j -0.0157007+0.0131869j 0.0100317+0.00192155j -0.00330915+0.00821381j 
0.000161161+0.00976801j -0.0157486+0.000948307j -0.0130312-0.0101226j -0.0101094+0.00255867j 0.0153833-0.00184882j -0.00305371+0.0131796j 0.00881189-0.0169917j 0.00311048-0.0206415j -0.00282216+0.00516733j 0.0071499+0.0220723j 0.0218699+0.00797124j -0.0363199-0.00157182j 0.00814234-0.000292899j -0.00113936+0.0207712j 0.00710423+0.0109429j 0.0166581-0.0126965j 0.0120251-0.0106958j -0.000968956-0.000763924j 0.0198416+0.00245994j 0.0393375+0.0333015j 0.00974207-0.000537053j 0.00267464+0.0245128j -0.000788835+0.0368464j 0.01278+0.00838064j 0.00836399+0.0495222j -0.0128705-0.00708925j -0.0218533+0.000579499j 0.0092131+0.084499j 0.0219191-0.000270866j -0.026265-0.033104j -0.0129909-0.0240749j 0.0296847-0.00731364j 0.00381615-0.0166814j 0.00943278-0.0368486j -0.0374641-0.00494614j -0.00751659+0.00556877j -0.00825716+0.0130406j -0.00781662+0.00272814j 0.000265583+0.000363005j -0.000578219+0.00874751j 
0.00465933-0.0166901j 0.00222013-0.0148947j 0.025169-0.00615231j 0.00243877+0.0198094j 0.00328676-0.00674844j -0.00837267+0.00751501j -0.0102234+0.0181658j -0.0253549-0.000221406j -0.00624694-0.0176313j -0.00661857+0.0201139j -0.0287003+0.017596j 0.00905896-0.00769146j -0.0255575+0.000748784j -0.0067219-0.0107335j 0.00555071-0.00514119j 0.00224984+0.0332424j -0.00202215+0.00933972j 0.00770537-0.0120607j -0.0102727+0.0378962j -0.00283786-0.00244183j 0.0113647+0.00293178j -0.0227664-0.0237265j 0.00262484-0.022629j 0.0201464+0.00531191j 0.0206061+0.0380843j -0.00330368+0.00615776j 0.0104157+0.00818783j -0.00547264+0.0215281j 0.012254+0.0202139j -0.0120257-0.0103521j -0.0146036+0.0232784j 0.00909158+0.00953189j -0.0122456+0.00348538j 0.0393155-0.00971817j -0.0178669-0.000208443j -0.00990028+0.000607599j 0.0247896-0.00870218j 0.00536506-0.0144164j -0.0173897+0.00256959j 0.0307319-0.00146186j 
-0.0123824+0.00581905j -0.000884696-0.0126727j 0.01744+0.0130213j 0.0204287-0.0168178j 0.00577996-0.00802331j 0.00835674+0.00606039j 0.0148435-0.0132284j -0.00209694-0.0121467j 0.00262809-0.00528823j -0.03061+0.00952139j -0.0129043+0.00979841j 0.00790925-0.0334431j 0.00809508+0.014794j -0.0103994-0.0161753j -0.00475348+0.00834652j -0.0023116-0.00318838j -0.00194937-0.0144267j -0.00654768+0.0240623j -0.00522123-0.0373804j 0.00212776+0.0454682j 0.0101722+0.00194203j 0.0129922+0.0319545j 0.00809919+0.0398739j 0.00185624+0.012166j 0.0200872+0.00212106j -0.0148139-0.0109187j -0.0130449-0.00465283j 0.0111264+0.0136314j 0.00883285-0.0216652j -0.00395566-0.0101984j -0.0255513-0.0149175j -0.0251006-0.0041952j 0.0022104-0.0152723j -0.0021306-0.00354454j -0.0316502+0.00287768j -0.00936119+0.00235883j 0.00587036-0.0325171j 0.0190854-0.00430049j 0.00963495-0.0151381j -0.0300217-0.0164821j 
