-0.00322239-0j -0.000537065-0j -0.000328884-0j -6.71331e-05-0j -3.95586e-06-0j -0.00290293-0j -0.000468458-0j -0.000382494-0j -5.52083e-05-0j -4.78118e-05-0j -5.63467e-06-0j -2.57186e-07-0j -0.00186795-0j -0.00188731-0j -0.000295349-0j -0.00029841-0j -0.000233494-0j -0.000155663-0j -0.000235914-0j -3.3702e-05-0j -0.000157276-0j -3.40512e-05-0j -3.89157e-05-0j -1.37588e-05-0j -3.9319e-05-0j -3.24298e-06-0j -1.39014e-05-0j -3.4397e-06-0j -3.27658e-06-0j -3.47534e-06-0j -2.86641e-07-0j -2.89612e-07-0j -1.06825e-08-0j -1.07932e-08-0j -0.00140761-0j -0.00174183-0j -0.00101607-0j -0.00021945-0j -0.000271555-0j -0.000158407-0j -0.000169985-0j -2.45353e-05-0j -0.000155175-0j -0.000210346-0j -0.000122702-0j -3.03608e-05-0j -2.74312e-05-0j -0.000192019-0j -1.77105e-05-0j -1.82875e-05-0j -0.000112011-0j -2.28594e-06-0j -1.58374e-05-0j -3.39444e-05-0j -2.26296e-05-0j -3.2328e-06-0j -2.8287e-06-0j -1.98009e-05-0j -1.95978e-05-0j -1.6164e-06-0j -1.32006e-05-0j -1.90495e-07-0j -1.65008e-06-0j -1.14321e-05-0j -4.00039e-06-0j -2.33307e-07-0j -2.0002e-06-0j -2.33356e-06-0j -2.35725e-07-0j -1.50599e-08-0j -1.16678e-06-0j -2.88703e-07-0j -1.37506e-07-0j -4.74343e-10-0j -1.86357e-08-0j -1.6841e-07-0j -5.8697e-10-0j -1.08708e-08-0j -3.42399e-10-0j 
0.00918208-0j 0.000373046-0j -4.84492e-06-0j 9.42504e-05-0j 1.11658e-05-0j 0.0103831-0j -0.0629397-0j -5.63467e-06-0j 7.75087e-05-0j 3.32101e-05-0j 1.19075e-05-0j 9.08364e-07-0j -2.75176e-05-0j -2.78027e-05-0j -0.0498103-0j -0.0503265-0j 0.000665333-0j -2.29313e-06-0j 0.000672228-0j -0.0091521-0j -2.31689e-06-0j -0.00924695-0j 2.70309e-05-0j -2.02686e-07-0j 2.7311e-05-0j 6.85326e-06-0j -2.04786e-07-0j 4.8291e-06-0j 6.92428e-06-0j 4.87914e-06-0j 8.09072e-07-0j 8.17457e-07-0j 4.53072e-08-0j 4.57767e-08-0j -2.07361e-05-0j -2.56596e-05-0j -1.49681e-05-0j 0.00015243-0j 0.000188623-0j 0.00011003-0j 0.000607999-0j -0.00836344-0j 0.000442164-0j 0.000752361-0j 0.000438877-0j -0.0103492-0j -0.00368553-0j 0.00054715-0j -0.00603705-0j 1.27025e-05-0j 0.000319171-0j -0.00093441-0j -2.33307e-07-0j -0.00456061-0j 1.57185e-05-0j 4.53864e-06-0j -0.00115627-0j -0.00266036-0j -2.88703e-07-0j 1.12275e-06-0j 9.16915e-06-0j 5.3769e-07-0j -0.000674493-0j -1.6841e-07-0j 5.61628e-06-0j 4.9304e-07-0j 1.38934e-06-0j 3.27616e-06-0j 6.65357e-07-0j 5.31906e-08-0j 8.10446e-07-0j 6.10106e-07-0j 3.88125e-07-0j 2.34828e-09-0j 6.582e-08-0j 3.55895e-07-0j 2.90585e-09-0j 3.8395e-08-0j 1.69508e-09-0j 
6.25476e-06-0j -9.93486e-05-0j -0.000122702-0j -0.0553816-0j 0.000210682-0j 5.63467e-06-0j -8.66573e-05-0j -7.09804e-05-0j 0.000476378-0j 0.00169999-0j -0.014245-0j 2.29086e-05-0j -0.00106046-0j -0.00107145-0j -5.4635e-05-0j -5.52012e-05-0j -4.33301e-05-0j 3.02146e-07-0j -4.37791e-05-0j 0.000290806-0j 3.05278e-07-0j 0.000293819-0j 0.000688241-0j -7.71316e-06-0j 0.000695374-0j 8.57544e-05-0j -7.7931e-06-0j -0.00570484-0j 8.6643e-05-0j -0.00576396-0j -0.0014595-0j -0.00147463-0j 1.43028e-06-0j 1.4451e-06-0j 2.73222e-06-0j 3.38095e-06-0j 1.97222e-06-0j 0.0118732-0j 0.0146923-0j 0.00857051-0j -3.15446e-05-0j 0.000211708-0j 3.01199e-07-0j -3.90344e-05-0j -2.27701e-05-0j 0.000261976-0j 0.000485134-0j 3.72714e-07-0j 0.000152819-0j -3.3829e-06-0j 2.17417e-07-0j 6.04473e-05-0j -5.90873e-06-0j 0.000600322-0j -4.18613e-06-0j -0.00266691-0j 7.47997e-05-0j 0.000350188-0j -7.31167e-06-0j 8.63583e-05-0j -2.44191e-06-0j 1.01454e-05-0j 4.36332e-05-0j -4.26514e-06-0j -0.00330013-0j -0.00118582-0j 0.000106863-0j -0.00192507-0j 1.25543e-05-0j -0.000128249-0j 6.23367e-05-0j -0.00146737-0j 7.32333e-06-0j 8.90376e-08-0j -0.0001587-0j -0.000855968-0j 1.10178e-07-0j -9.2575e-05-0j 6.42707e-08-0j 
-3.68565e-07-0j 1.17698e-05-0j -3.76165e-08-0j -0.000210682-0j -0.0535989-0j -3.32026e-07-0j 1.02662e-05-0j -4.37483e-08-0j -0.000173258-0j 1.04779e-06-0j 0.00167334-0j -0.0181953-0j 6.24883e-05-0j 6.31359e-05-0j 6.47258e-06-0j 6.53965e-06-0j -2.67062e-08-0j -1.78041e-08-0j -2.6983e-08-0j -0.000105766-0j -1.79887e-08-0j -0.000106862-0j 8.52837e-07-0j -1.57368e-09-0j 8.61675e-07-0j 0.000963075-0j -1.58999e-09-0j -1.07947e-05-0j 0.000973056-0j -1.09065e-05-0j -0.00388377-0j -0.00392402-0j -0.0022995-0j -0.00232333-0j -1.60997e-07-0j -1.99224e-07-0j -1.16214e-07-0j -0.00140661-0j -0.00174059-0j -0.00101534-0j -1.94423e-08-0j -7.69981e-05-0j -1.77483e-08-0j -2.40586e-08-0j -1.40342e-08-0j -9.52803e-05-0j 6.01155e-07-0j -2.19624e-08-0j -5.55802e-05-0j 4.0077e-07-0j -1.28114e-08-0j 0.000678861-0j -1.81143e-09-0j 7.43892e-07-0j 4.95928e-07-0j -1.01454e-05-0j 0.000840048-0j 4.33937e-07-0j -2.24153e-09-0j 3.54234e-08-0j 2.89291e-07-0j -0.00258106-0j 0.000490028-0j -1.30756e-09-0j -1.25543e-05-0j 6.9286e-05-0j 4.38342e-08-0j -7.32333e-06-0j -0.0031939-0j -0.00106545-0j 2.557e-08-0j 8.5737e-05-0j -0.00186311-0j -0.000239924-0j -0.00131843-0j 5.00132e-05-0j -0.000296891-0j -0.000769083-0j -0.000173186-0j 
-3.87593e-05-0j 0.000932573-0j 0.000760356-0j 7.71998e-05-0j -4.75816e-08-0j 0.00847779-0j -5.63467e-06-0j -0.0634982-0j 9.5865e-05-0j 0.000110537-0j 6.47959e-06-0j -3.09347e-09-0j -2.2468e-05-0j -2.27008e-05-0j 0.000862546-0j 0.000871485-0j 0.000268507-0j 0.000542466-0j 0.000271289-0j -4.05372e-07-0j 0.000548087-0j -4.09573e-07-0j -0.00646043-0j 4.77967e-05-0j -0.00652738-0j 5.63118e-06-0j 4.8292e-05-0j 7.95233e-06-0j 5.68954e-06-0j 8.03474e-06-0j 3.29623e-07-0j 3.33039e-07-0j -1.2849e-10-0j -1.29822e-10-0j -1.69309e-05-0j -2.0951e-05-0j -1.22214e-05-0j -2.63957e-06-0j -3.2663e-06-0j -1.90534e-06-0j -0.0474612-0j 7.16534e-05-0j 0.000269449-0j -0.0587302-0j -0.0342593-0j 8.86666e-05-0j 3.15446e-05-0j 0.000333426-0j 5.17222e-05-0j 6.37297e-05-0j 0.000194498-0j -2.74956e-08-0j -0.00528588-0j 3.90344e-05-0j 7.88614e-05-0j -0.000536681-0j -3.4024e-08-0j 2.27701e-05-0j -0.00654094-0j 5.61523e-06-0j 4.60025e-05-0j 3.3078e-07-0j -1.98473e-08-0j -0.00381555-0j -0.000664109-0j 5.3939e-07-0j 6.94849e-06-0j -0.000387397-0j 4.09319e-07-0j 1.73182e-08-0j 4.05329e-06-0j 6.67462e-07-0j 2.38769e-07-0j -5.70546e-12-0j 2.14302e-08-0j 3.89353e-07-0j -7.06015e-12-0j 1.25009e-08-0j -4.11842e-12-0j 
0.0102924-0j -4.42278e-06-0j 0.00052058-0j 5.28551e-05-0j -3.25769e-08-0j -2.39059e-05-0j 0.00149627-0j 0.000301144-0j -4.54646e-07-0j 7.56798e-05-0j 4.43628e-06-0j -2.11796e-09-0j -1.53828e-05-0j -1.55422e-05-0j -2.43223e-06-0j -2.45744e-06-0j -0.0713011-0j -1.2819e-06-0j -0.07204-0j 0.000107645-0j -1.29518e-06-0j 0.000108761-0j 3.0639e-05-0j 3.27242e-05-0j 3.09565e-05-0j -2.67062e-08-0j 3.30633e-05-0j 5.44459e-06-0j -2.6983e-08-0j 5.50101e-06-0j 2.25678e-07-0j 2.28016e-07-0j -8.79713e-11-0j -8.8883e-11-0j -1.15918e-05-0j -1.43441e-05-0j -8.36742e-06-0j -1.80719e-06-0j -2.23629e-06-0j -1.3045e-06-0j 0.000133832-0j -2.0205e-07-0j 0.000495632-0j 0.000165609-0j 9.66053e-05-0j -2.50024e-07-0j -0.00837656-0j 0.000613314-0j -1.45848e-07-0j -1.50599e-07-0j 0.000357766-0j 7.30136e-06-0j 2.50686e-05-0j -0.0103655-0j -1.86357e-07-0j 2.54524e-06-0j 9.03497e-06-0j -0.00604652-0j 3.10208e-05-0j 3.84449e-06-0j -1.08708e-07-0j -1.56874e-09-0j 5.2704e-06-0j 1.80955e-05-0j 3.14958e-06-0j 3.69295e-07-0j 4.75731e-06-0j 1.83725e-06-0j -1.94122e-09-0j 1.18569e-08-0j 2.7751e-06-0j 4.5698e-07-0j -1.13238e-09-0j -3.90626e-12-0j 1.46722e-08-0j 2.66571e-07-0j -4.83376e-12-0j 8.5588e-09-0j -2.81969e-12-0j 
5.59443e-06-0j 0.0128282-0j 5.70979e-07-0j 0.000518119-0j 0.000188439-0j -0.00122366-0j -7.75087e-05-0j -9.5865e-05-0j -0.0615112-0j -7.9107e-06-0j 0.000133268-0j 2.049e-05-0j 3.24298e-06-0j 3.27658e-06-0j 0.0118649-0j 0.0119879-0j 4.05372e-07-0j -7.82982e-05-0j 4.09573e-07-0j 0.000260104-0j -7.91096e-05-0j 0.0002628-0j 0.000929528-0j 2.38868e-08-0j 0.000939161-0j -0.0110728-0j 2.41343e-08-0j 2.65468e-05-0j -0.0111876-0j 2.68219e-05-0j 1.36543e-05-0j 1.37958e-05-0j 1.27928e-06-0j 1.29254e-06-0j 2.44377e-06-0j 3.02401e-06-0j 1.76401e-06-0j -3.63091e-05-0j -4.49302e-05-0j -2.62093e-05-0j -7.16534e-05-0j -0.045976-0j -3.88916e-05-0j -8.86666e-05-0j -5.17222e-05-0j -0.0568924-0j -4.53864e-06-0j -4.81259e-05-0j -0.0331872-0j 0.000876644-0j -2.80734e-05-0j 5.40657e-05-0j -3.96936e-06-0j -5.61628e-06-0j 0.00108479-0j -0.00360188-0j 6.69029e-05-0j -3.27616e-06-0j -4.91183e-06-0j -2.67442e-07-0j 0.000632795-0j -0.00131-0j 3.90267e-05-0j -2.86523e-06-0j -0.0044571-0j 5.51806e-06-0j -3.30942e-07-0j -0.00259997-0j -0.00162104-0j 1.19983e-06-0j -1.9305e-07-0j 6.82825e-06-0j -0.000945609-0j 7.96376e-08-0j 1.48471e-06-0j 3.98314e-06-0j 9.85466e-08-0j 8.6608e-07-0j 5.74855e-08-0j 
0.00483938-0j 0.00120812-0j -2.5535e-06-0j -5.2123e-07-0j -3.07138e-08-0j -2.25387e-05-0j 0.00070353-0j 0.000860412-0j 0.00012419-0j -3.71217e-07-0j -4.37483e-08-0j -1.99683e-09-0j -1.4503e-05-0j -1.46533e-05-0j -2.29313e-06-0j -2.31689e-06-0j 0.000350661-0j -0.0503747-0j 0.000354295-0j 5.06136e-05-0j -0.0508967-0j 5.11381e-05-0j 8.754e-05-0j -1.06825e-07-0j 8.84472e-05-0j 7.295e-06-0j -1.07932e-07-0j -2.67062e-08-0j 7.3706e-06-0j -2.6983e-08-0j -2.22552e-09-0j -2.24858e-09-0j -8.29402e-11-0j -8.37997e-11-0j -1.09289e-05-0j -1.35238e-05-0j -7.88888e-06-0j -1.70384e-06-0j -2.10839e-06-0j -1.22989e-06-0j -1.31979e-06-0j -1.90495e-07-0j -0.0675183-0j -1.63315e-06-0j -9.52672e-07-0j -2.35725e-07-0j 4.11962e-05-0j -0.0835496-0j -1.37506e-07-0j -0.00591809-0j -0.0487373-0j 3.43302e-06-0j 3.5626e-05-0j 5.09777e-05-0j -0.00732327-0j 7.27212e-06-0j 4.24814e-06-0j 2.9737e-05-0j 4.40849e-05-0j -1.25499e-08-0j -0.0042719-0j 4.28514e-07-0j 2.47808e-06-0j 2.57162e-05-0j 8.99879e-06-0j -1.81143e-09-0j -1.55298e-08-0j 5.24929e-06-0j 5.30259e-07-0j -1.16927e-10-0j -9.05903e-09-0j -2.24153e-09-0j 3.09318e-07-0j -3.68286e-12-0j -1.4469e-10-0j -1.30756e-09-0j -4.55731e-12-0j -8.44025e-11-0j -2.65843e-12-0j 
-0.00148558-0j -6.08383e-05-0j 3.90923e-07-0j 0.000354732-0j 0.000129016-0j 3.45052e-06-0j 0.0205822-0j 4.54646e-07-0j 0.000291721-0j -5.41608e-06-0j 9.12424e-05-0j 1.40286e-05-0j 2.22031e-06-0j 2.24332e-06-0j -3.3457e-05-0j -3.38037e-05-0j -0.000107645-0j 1.85026e-07-0j -0.000108761-0j -0.0690699-0j 1.86944e-07-0j -0.0697857-0j -4.40834e-06-0j 1.63542e-08-0j -4.45403e-06-0j 5.25136e-05-0j 1.65236e-08-0j 1.81754e-05-0j 5.30578e-05-0j 1.83637e-05-0j 9.34846e-06-0j 9.44534e-06-0j 8.75864e-07-0j 8.8494e-07-0j 1.67313e-06-0j 2.0704e-06-0j 1.20773e-06-0j -2.48591e-05-0j -3.07616e-05-0j -1.79443e-05-0j 2.0205e-07-0j 0.000129644-0j -7.15384e-05-0j 2.50024e-07-0j 1.45848e-07-0j 0.000160427-0j 0.00120522-0j -8.85242e-05-0j 9.35822e-05-0j -2.07159e-06-0j -5.16391e-05-0j -0.014357-0j 1.88249e-08-0j 0.00149138-0j -2.56347e-06-0j 1.70821e-05-0j -0.0177658-0j 0.000869974-0j 2.32946e-08-0j -1.83105e-07-0j -1.49536e-06-0j 6.21276e-06-0j -0.0103634-0j 1.35885e-08-0j 2.11381e-05-0j 3.77796e-06-0j -2.26581e-07-0j 1.23305e-05-0j 7.6879e-06-0j 8.21464e-07-0j -1.32172e-07-0j 4.67498e-06-0j 4.48461e-06-0j 5.45242e-08-0j 1.01651e-06-0j 2.72707e-06-0j 6.74702e-08-0j 5.92964e-07-0j 3.93576e-08-0j 
4.84492e-06-0j -3.80738e-05-0j 0.00903897-0j 0.00184894-0j -1.1396e-06-0j -0.00105972-0j -3.32101e-05-0j -0.000110537-0j -7.9107e-06-0j -0.0619587-0j 0.000233595-0j -9.27095e-08-0j 2.8085e-06-0j 2.8376e-06-0j 0.00508374-0j 0.00513643-0j -6.74778e-05-0j 2.34042e-07-0j -6.8177e-05-0j -4.8291e-06-0j 2.36467e-07-0j -4.87914e-06-0j 0.000530274-0j 0.00114638-0j 0.00053577-0j -6.99458e-07-0j 0.00115826-0j -0.00900946-0j -7.06707e-07-0j -0.00910282-0j 1.58719e-05-0j 1.60363e-05-0j -4.62415e-09-0j -4.67207e-09-0j 2.11637e-06-0j 2.61887e-06-0j 1.52767e-06-0j -1.55573e-05-0j -1.92512e-05-0j -1.12299e-05-0j 0.0119273-0j 0.00085359-0j 2.33307e-07-0j 0.0147593-0j 0.00860961-0j 0.00105626-0j 0.000373785-0j 2.88703e-07-0j 0.000616154-0j -1.29644e-06-0j 1.6841e-07-0j -4.9304e-07-0j 0.000435273-0j 0.000462535-0j -1.60427e-06-0j 8.90361e-05-0j -6.10106e-07-0j 0.000269812-0j 0.000538622-0j -0.00635022-0j -9.35823e-07-0j -5.48777e-08-0j -3.55895e-07-0j 0.000314196-0j 0.000110177-0j -0.000919846-0j -0.007858-0j 6.42697e-05-0j -6.79077e-08-0j 1.04346e-06-0j -0.00458383-0j -0.00113825-0j -3.96128e-08-0j -2.3967e-10-0j 1.29122e-06-0j -0.00066398-0j -2.96577e-10-0j 7.53209e-07-0j -1.73003e-10-0j 
-5.70979e-07-0j 1.36514e-05-0j 1.12011e-05-0j 0.0154932-0j 0.00181996-0j 0.00012489-0j 1.19075e-05-0j 6.47959e-06-0j -0.000133268-0j -0.000233595-0j -0.0599958-0j 0.000298945-0j -3.30985e-07-0j -3.34415e-07-0j -0.00182279-0j -0.00184168-0j 3.95548e-06-0j -2.75821e-08-0j 3.99647e-06-0j -8.13537e-05-0j -2.78679e-08-0j -8.21968e-05-0j -9.4571e-05-0j 7.04112e-07-0j -9.5551e-05-0j 0.000361172-0j 7.11409e-07-0j 0.00159595-0j 0.000364915-0j 0.00161248-0j -0.0126079-0j -0.0127385-0j 2.49645e-05-0j 2.52232e-05-0j -2.49416e-07-0j -3.08637e-07-0j -1.80038e-07-0j 5.57811e-06-0j 6.90256e-06-0j 4.0265e-06-0j -0.000699169-0j 0.0143801-0j -2.74956e-08-0j -0.000865178-0j -0.000504687-0j 0.0177944-0j -6.6662e-05-0j -3.4024e-08-0j 0.0103801-0j 4.64843e-07-0j -1.98473e-08-0j 0.000254586-0j 5.3939e-07-0j -8.249e-05-0j 5.75214e-07-0j 0.000746074-0j 0.000315035-0j -4.81192e-05-0j 6.67462e-07-0j -1.18665e-05-0j 3.35541e-07-0j 8.76406e-05-0j 0.00018377-0j 3.89353e-07-0j 0.00092322-0j -0.00499432-0j -1.4684e-05-0j 0.000538545-0j 0.00010845-0j -0.00167358-0j -8.56567e-06-0j -0.00618015-0j 6.32623e-05-0j 1.94601e-06-0j -0.00207095-0j -0.00360509-0j 2.40806e-06-0j -0.00120806-0j 1.4047e-06-0j 
-0.00120985-0j 0.00709591-0j -0.000122702-0j 0.00118728-0j -1.47122e-06-0j 5.63467e-06-0j 0.00829304-0j 0.010247-0j 0.00147434-0j 0.000841076-0j 0.00015-0j -1.19687e-07-0j 3.62576e-06-0j 3.66333e-06-0j -2.70309e-05-0j -2.7311e-05-0j 0.00838125-0j -8.754e-05-0j 0.00846811-0j 0.0012059-0j -8.84472e-05-0j 0.00121839-0j -0.0491572-0j -7.71316e-06-0j -0.0496666-0j 0.00013036-0j -7.7931e-06-0j 0.000122301-0j 0.000131711-0j 0.000123569-0j 1.01919e-05-0j 1.02976e-05-0j -5.96975e-09-0j -6.03161e-09-0j 2.73222e-06-0j 3.38095e-06-0j 1.97222e-06-0j -2.00844e-05-0j -2.48532e-05-0j -1.44977e-05-0j -3.15446e-05-0j -4.53864e-06-0j 0.00841066-0j -3.90344e-05-0j -2.27701e-05-0j -5.61628e-06-0j -0.0464269-0j 0.0104077-0j -3.27616e-06-0j 0.000484917-0j 0.00607113-0j 0.000123119-0j 0.000853005-0j -0.0574503-0j 0.000600054-0j -0.00825378-0j 0.000152352-0j -0.0335127-0j 0.00105554-0j 4.27261e-05-0j 0.000350031-0j 1.02277e-05-0j 8.88722e-05-0j 0.000615731-0j -0.0102135-0j 1.24867e-05-0j 5.28708e-05-0j -0.00595789-0j 1.26561e-05-0j 6.70046e-07-0j 3.08413e-05-0j 1.54515e-05-0j 7.38275e-06-0j -3.09413e-10-0j 8.2914e-07-0j 9.01337e-06-0j -3.82879e-10-0j 4.83665e-07-0j -2.23346e-10-0j 
2.60615e-08-0j -1.0414e-06-0j 2.65989e-09-0j 2.49158e-05-0j 0.0197896-0j -5.7004e-06-0j -9.08364e-07-0j 3.09347e-09-0j 2.049e-05-0j -9.27095e-08-0j -0.000298945-0j -0.0580365-0j 1.51073e-08-0j 1.52639e-08-0j 0.000139051-0j 0.000140492-0j 1.88842e-09-0j 1.25894e-09-0j 1.90798e-09-0j 1.25082e-05-0j 1.27199e-09-0j 1.26378e-05-0j -7.54595e-08-0j 1.11276e-10-0j -7.62415e-08-0j -0.000172055-0j 1.12429e-10-0j 1.27661e-06-0j -0.000173838-0j 1.28984e-06-0j 0.00143395-0j 0.00144881-0j -0.0152766-0j -0.0154349-0j 1.13842e-08-0j 1.40873e-08-0j 8.21758e-09-0j -4.25525e-07-0j -5.2656e-07-0j -3.0716e-07-0j -3.33796e-07-0j -0.00221094-0j 1.25499e-09-0j -4.13051e-07-0j -2.40946e-07-0j -0.0027359-0j -5.31906e-08-0j 1.55298e-09-0j -0.00159594-0j -3.54604e-08-0j 9.05903e-10-0j -0.000121279-0j 1.28087e-10-0j -6.582e-08-0j -4.388e-08-0j 1.19983e-06-0j -0.000150076-0j -3.8395e-08-0j 1.585e-10-0j -3.13429e-09-0j -2.55967e-08-0j 0.000952969-0j -8.75441e-05-0j 9.24583e-11-0j 1.48471e-06-0j -1.2378e-05-0j -3.87848e-09-0j 8.6608e-07-0j 0.00117924-0j -0.00339841-0j -2.26245e-09-0j -1.5317e-05-0j 0.000687889-0j -0.0024166-0j -0.00420532-0j -8.93493e-06-0j -0.00299039-0j -0.0024531-0j -0.0017444-0j 
2.40746e-06-0j 0.00823149-0j 2.4571e-07-0j -4.77991e-06-0j -5.66273e-07-0j 2.16879e-06-0j -1.65022e-05-0j -0.000124333-0j 0.00171028-0j -1.68425e-06-0j -6.03892e-07-0j -4.60677e-08-0j 1.39555e-06-0j 1.41002e-06-0j -1.04042e-05-0j -1.0512e-05-0j 1.74444e-07-0j 0.0146431-0j 1.76252e-07-0j -2.3996e-06-0j 0.0147949-0j -2.42447e-06-0j 0.000596454-0j 1.02792e-08-0j 0.000602635-0j 0.000151222-0j 1.03858e-08-0j -2.44908e-07-0j 0.000152789-0j -2.47446e-07-0j -4.10321e-08-0j -4.14574e-08-0j -2.29776e-09-0j -2.32157e-09-0j 1.05163e-06-0j 1.30133e-06-0j 7.59107e-07-0j -7.7305e-06-0j -9.566e-06-0j -5.58017e-06-0j 1.26997e-07-0j -1.74692e-06-0j -5.04407e-05-0j 1.5715e-07-0j 9.16709e-08-0j -2.16171e-06-0j -9.66312e-07-0j -6.24172e-05-0j -1.26099e-06-0j -0.0811137-0j -3.641e-05-0j -2.44994e-07-0j -5.14808e-06-0j -1.19575e-06-0j -0.100373-0j 0.000100148-0j -3.03164e-07-0j -6.97521e-07-0j -6.37043e-06-0j -5.69405e-08-0j -0.058551-0j 1.18645e-05-0j -1.76846e-07-0j -3.71608e-06-0j 0.000123927-0j -2.50046e-08-0j -7.04603e-08-0j 7.22906e-05-0j 1.46815e-05-0j -2.69756e-09-0j -4.11018e-08-0j -3.09416e-08-0j 8.56423e-06-0j -1.19093e-10-0j -3.33806e-09-0j -1.80492e-08-0j -1.4737e-10-0j -1.9472e-09-0j -8.5966e-11-0j 
-0.000427745-0j 3.68565e-07-0j 0.0125075-0j -1.33059e-05-0j 2.71474e-09-0j 1.99216e-06-0j -6.21838e-05-0j -7.58111e-05-0j 3.78871e-08-0j 0.00181829-0j -1.1168e-06-0j 1.76496e-10-0j 1.2819e-06-0j 1.29518e-06-0j 2.02686e-07-0j 2.04786e-07-0j 0.00895165-0j 1.06825e-07-0j 0.00904442-0j -4.47365e-06-0j 1.07932e-07-0j -4.52001e-06-0j -7.71316e-06-0j -0.0494983-0j -7.7931e-06-0j 2.22552e-09-0j -0.0500112-0j 0.000130812-0j 2.24858e-09-0j 0.000132168-0j -5.68128e-08-0j -5.74016e-08-0j 7.33095e-12-0j 7.40692e-12-0j 9.65985e-07-0j 1.19535e-06-0j 6.97285e-07-0j 1.50599e-07-0j 1.86357e-07-0j 1.08708e-07-0j -3.36914e-05-0j 1.68375e-08-0j -2.05981e-05-0j -4.1691e-05-0j -2.43197e-05-0j 2.08354e-08-0j 0.00105165-0j -2.54889e-05-0j 1.2154e-08-0j 1.25499e-08-0j -1.48685e-05-0j -3.03439e-07-0j 0.0006023-0j 0.00130135-0j 1.55298e-08-0j -6.40748e-07-0j -3.75486e-07-0j 0.000759123-0j 0.000745308-0j -0.00581513-0j 9.05903e-09-0j 1.30729e-10-0j -2.19034e-07-0j 0.000434763-0j -7.92885e-07-0j 8.87271e-06-0j -0.00719586-0j -4.62516e-07-0j 1.61768e-10-0j -2.98491e-09-0j -0.00419758-0j 1.09794e-05-0j 9.43649e-11-0j 3.25522e-13-0j -3.69363e-09-0j 6.40466e-06-0j 4.02813e-13-0j -2.15462e-09-0j 2.34974e-13-0j 
0.00010082-0j -0.00179906-0j -5.31978e-08-0j -0.000147934-0j 0.00166139-0j -4.69556e-07-0j -0.00210257-0j 8.93169e-06-0j 0.0175628-0j 1.10942e-06-0j 0.000572861-0j 0.000272898-0j -3.02146e-07-0j -3.05278e-07-0j 6.85326e-06-0j 6.92428e-06-0j 7.30545e-06-0j 7.295e-06-0j 7.38115e-06-0j 0.014365-0j 7.3706e-06-0j 0.0145139-0j -0.00013036-0j -2.22552e-09-0j -0.000131711-0j -0.0475972-0j -2.24858e-09-0j -7.57969e-06-0j -0.0480905-0j -7.65823e-06-0j 0.000120384-0j 0.000121632-0j 2.27894e-05-0j 2.30255e-05-0j -2.27685e-07-0j -2.81746e-07-0j -1.64352e-07-0j 5.0921e-06-0j 6.30115e-06-0j 3.67567e-06-0j -2.74956e-08-0j -5.40657e-05-0j -0.000700888-0j -3.4024e-08-0j -1.98473e-08-0j -6.69029e-05-0j -0.000123119-0j -0.000867305-0j -3.90267e-05-0j -0.000122943-0j -0.000505928-0j -0.0449535-0j 3.69823e-07-0j -0.000152352-0j -0.000152135-0j 0.00102841-0j -0.0556272-0j -8.88722e-05-0j 4.57633e-07-0j 3.75068e-08-0j -8.87451e-05-0j -0.0115497-0j -0.0324492-0j 2.66952e-07-0j 0.0012726-0j 2.37197e-05-0j 4.64124e-08-0j 0.000742349-0j -0.0142921-0j 1.598e-05-0j 2.70739e-08-0j 2.93516e-05-0j -0.00833704-0j 1.77645e-06-0j 1.97742e-05-0j 1.71218e-05-0j 2.19825e-06-0j 1.15349e-05-0j 1.28231e-06-0j 
2.5535e-06-0j -0.000123303-0j 0.00476395-0j -1.02252e-05-0j 3.13471e-09-0j 2.30035e-06-0j 3.71217e-07-0j 0.016879-0j -1.26751e-05-0j 0.000692564-0j -8.58227e-07-0j 2.038e-10-0j 1.48021e-06-0j 1.49555e-06-0j 2.34042e-07-0j 2.36467e-07-0j -3.55639e-05-0j 0.00514134-0j -3.59325e-05-0j 2.67062e-08-0j 0.00519462-0j 2.6983e-08-0j 0.0017173-0j 0.000604195-0j 0.0017351-0j -7.44543e-07-0j 0.000610456-0j 4.98247e-05-0j -7.52259e-07-0j 5.03411e-05-0j -4.36588e-08-0j -4.41113e-08-0j 8.46505e-12-0j 8.55277e-12-0j 1.11542e-06-0j 1.38027e-06-0j 8.05155e-07-0j 1.73897e-07-0j 2.15187e-07-0j 1.25526e-07-0j -2.58907e-05-0j 1.94423e-08-0j -3.5626e-05-0j -3.20382e-05-0j -1.86889e-05-0j 2.40586e-08-0j -4.1781e-06-0j -4.40849e-05-0j 1.40342e-08-0j 0.000604013-0j -2.57162e-05-0j 1.81143e-09-0j -0.066466-0j -5.17013e-06-0j 0.000747428-0j 0.00014266-0j 2.24153e-09-0j -3.01591e-06-0j -0.0822474-0j 7.09817e-05-0j 0.000435999-0j -4.3735e-08-0j 1.30756e-09-0j -0.0479777-0j 0.000176533-0j 3.37951e-06-0j 8.78353e-05-0j 0.000102977-0j -5.41193e-08-0j -2.2938e-09-0j 5.12373e-05-0j 4.18193e-06-0j -3.15696e-08-0j 3.7588e-13-0j -2.83844e-09-0j 2.43946e-06-0j 4.65128e-13-0j -1.65576e-09-0j 2.71325e-13-0j 
