-0.189729+0.298926j 0.303495+0.117877j 0.0438586+0.25063j -0.300327-0.0910127j -0.218865+0.289458j -0.216918-0.0248903j -0.244548+0.22229j -0.316069-0.317691j 0.0378808-0.285408j -0.131794-0.099136j 0.0345361+0.0400669j -0.0555176+0.0356608j 0.0642588-0.114604j 0.0151913+0.00832149j -0.0237841+0.0114947j 0.0717154-0.0107657j -0.0743125+0.00265362j 0.00576469+0.0895994j 
0.0137817+0.0111675j 0.0341407+0.00307466j 0.0163619+0.00621109j 0.019185+0.0102835j -0.0137017+0.0192837j -0.0113603-0.00952977j -0.00670464-0.0255863j -0.00847228-0.000650188j 0.00604039+0.0163099j 0.0338655-0.0210167j -0.0186769+0.0127392j 0.0101103+0.00439547j -0.00684859+0.00746245j -0.029297-0.043294j 0.00281214+0.0427585j 0.0489716+0.00727338j -0.0250825+0.01211j -0.00570391+0.0144254j 
0.00833238+0.0212731j 0.0142971-0.0180232j -0.00645223-0.0151209j 0.0102003-0.0237245j -0.00975199-0.00482687j -0.0185047+0.023788j 0.0150567-0.00877987j 0.010398-0.0159121j 0.0197863-0.0209868j -0.0153256-0.00519163j 0.0119117-0.00376062j -0.0169815+0.0332424j 0.000299587-0.00376429j -0.0282228-0.0289123j 0.0196773+0.0457597j 0.0166239-0.00341419j 0.00892038+0.00280196j 0.0215823+0.00417448j 
-0.0030583+0.00010413j 0.0203068+0.0162342j 0.000397029-0.0103596j -0.0255582+0.0197753j 0.0252678-0.0142443j -0.0185263+0.0289882j -0.0221785+0.0042904j 0.0224441-0.0121589j 0.00299224-0.0176909j -0.00178316-0.0107546j -0.0109477-0.00550012j 0.00994289-0.0200409j 0.00167637-0.0193759j -0.0114186+0.031948j 0.00516319+0.0188865j -0.0155042+0.0102861j 0.0125788+0.015968j -0.0105519+0.0233863j 
-0.000498859-0.0108564j 0.00473824+0.0164296j -0.0041064+0.023551j -0.0228801+0.0221361j 0.0337163+0.00219029j 0.0151427-0.000726025j -0.0302704-0.0109931j 0.00253215-0.00119277j 0.0014731+0.0164053j -0.00106361+0.0018057j 0.024607-0.0184513j -0.0543359+0.0147098j -0.00488298+0.0084155j -0.00538674-0.00396277j 0.0248812-0.0215652j 0.00842357-0.000647288j 0.0155515+0.00894709j -0.00906539-0.00112185j 
0.00788185-0.00697644j 0.0139212+0.000225616j 0.00286257+0.0054089j 0.0197403-0.00555133j 0.00125837+0.012664j -0.0182621-0.00455111j -0.00433524-0.00880969j 0.00695299+0.00679463j -0.000470519+0.00177069j -0.00724932-0.00462692j -0.000189927-0.0052371j 0.019277+0.00123544j 0.00226742-0.00156396j -0.00724543+0.00793212j -0.00472393+0.0103428j 0.00259413+0.00190966j -0.00390051+0.000252721j 0.00107078-0.00198283j 
-0.0281267-0.00996362j 0.0195313-0.0184856j 0.00545692+0.0219377j -0.000703988+0.0183853j 0.0237596+0.0179255j 0.0163443-0.007402j -0.00141851-0.00585613j 0.0159566-0.00993453j 0.012461-0.000187628j -0.00550595-0.00985241j 0.0256498+0.0188933j 0.0143403+0.00635438j -0.00656632+0.0102647j -0.0435145-0.0240772j 0.0033937+0.00165602j 0.0135194+0.00894083j -0.0085464-0.0266386j 0.0243525-0.000193424j 
0.0237412+0.0205293j -0.00620346+0.0262726j -0.0219103-0.0184126j 0.0123768+0.0377243j -0.0112249-0.0150125j -0.0166514+0.00466292j 0.000255761-0.0277129j 0.00728904-0.00278405j -0.0170493-0.0114155j -0.0108828+0.00342225j 0.0078005+0.0189276j 0.00165009+0.0376827j -0.00948253+0.0161733j -0.0179981-0.00298888j 0.0173563-0.0124487j -0.00895159+0.0109329j -0.00478164-0.00404364j -0.00154565+0.000598581j 
0.00778232+0.00401377j -0.00928851+0.0109036j 0.00668308-0.00355638j -0.00945447-0.014864j -0.0133841-0.00342737j -5.52121e-05-2.55864e-05j -0.00298609+0.0135529j -0.021615-0.000397567j -0.0053445+0.00666914j 0.02386+0.0087427j 0.0033693+0.00110018j -0.0519153+0.0351487j 0.0143801-0.00254582j -0.0316978+0.00427519j -0.00504744-0.0337455j -0.0029013-0.0270922j -0.00608738+0.00877517j -0.014892+0.00899603j 
0.0226796-0.00951385j -0.00217835+0.00523134j -0.0106169+0.00537637j 0.0228337-0.0233268j 0.0047473+0.00740302j -0.016006-0.00155132j -0.00660244+0.000313465j 7.86641e-05+0.00868243j 0.00256736-0.000380944j -0.0272264+0.015461j 0.0250237-0.0155697j -0.0153052-0.0149308j 0.00124351+0.00103938j 0.0178294+0.0134828j 0.0120416-0.00112156j -0.00736542+0.00141699j 0.0166496+0.00074239j 0.0106903-0.00916743j 
-0.021767+0.0477775j -0.0208837-0.0155478j 0.0087885+0.0150657j -0.0201059-0.016384j 3.42764e-05+0.0213868j 0.00811901+0.0033634j -0.006977-0.0263555j -0.0154246-0.0346128j -0.00470535+0.019745j -0.0200792+0.00740222j -0.0130103+0.013381j 0.0279644+0.0465584j 0.00498418+0.019845j 0.0262378+0.000537673j 0.0197508+0.0228634j 0.0181769+0.000510141j -0.0145568+0.0154756j -0.00979343+0.00301503j 
-0.0118099+0.00115639j -0.0232964-0.0138443j -0.0193064-0.00231218j -0.00281733+0.0102426j 0.00844239-0.0117461j 0.0153917-0.00548695j 0.00758618-0.0130147j 0.00681339+0.000900817j -0.0139106-0.00775323j -0.0347241-0.01156j 0.0214452-0.0304611j 0.0135197-0.0249119j -0.00235385+0.00468831j 0.00626085-0.0135311j -0.0151957+0.0183013j -0.0377398+0.0101699j 0.0114739+0.00528986j 0.000904538-0.0334655j 
-0.0279407-0.027132j -0.0124154-0.0103403j -0.0146833-0.0162922j -0.00150109+0.0113018j -8.38282e-05-0.0080825j -0.001673-0.00653298j 0.0320375+0.0185533j 0.0218866+0.018j -0.037343-0.018464j -0.0310309-0.034291j -0.00955882+0.00859993j -0.0108238-0.0337987j 0.0244324-0.0073645j -0.000717289-0.0101768j -0.0256617-0.0264224j -0.0523943-0.0042727j 0.0117518-0.00972532j -0.00131003-0.0263615j 
