0.000729497+0.0132119j -0.0232518+0.0245936j 0.00930301+0.00697906j 0.030064-0.00163395j -0.00341877+0.0556351j 0.0242272+0.00526206j 0.0280484+0.0121178j -0.0193412-0.0232533j 0.0341032-0.0293969j 0.00151157+0.0229917j -0.0105936-0.0301268j -0.00576444-0.0455741j 0.0187109-0.0187581j -0.0120227+0.0392939j -0.0307111-0.0410639j -0.0036127-0.0359585j 0.0125912-0.00735806j 0.00257591-0.0215067j 0.00522288-0.0303948j -0.00470523-0.00883703j -0.00385896+0.0322417j 0.0295154-0.0206571j -0.00844542+0.0251445j 0.0380563+0.0215431j 0.0150665-0.00813245j 0.0025667-0.0348817j 0.066668-0.0285023j -0.0601554-0.0350803j 0.0353235+0.0435653j -0.00526216+0.0176929j -0.00418294-0.00316896j 0.00860914+0.0618712j 0.00594746+0.0421688j -0.0222674+0.0337643j 0.0499527-0.0365605j 0.0276425+0.0399712j -0.0387096+0.0111112j -0.0220197-0.00332744j 0.0123021-0.00742424j 0.0217164-0.0365143j -0.0185172-0.0365222j -0.0135974+0.0753441j 0.017398+0.00222756j 0.0640169-0.0142006j -0.066988-0.0549972j 0.0158814-0.0380094j 0.0177902+0.0241725j -0.0174411+0.0241607j -0.00902588+0.0112148j -0.060708-0.0309212j -0.075038+0.00754207j -0.0778409-0.0152047j -0.022861+0.0372488j 0.00709665-0.0461793j 0.00485101-0.0451087j 0.0548303-0.0737181j 0.0641504+0.0504548j -0.0899982-0.0227436j 0.0179609+0.0288085j -0.040453+0.0881829j 0.042282+0.0651673j 0.012428+0.00644558j 0.0295089+0.0297845j 0.00583227-0.0325555j -0.0164042-0.0297059j -0.0200942-0.0389588j -0.0600022-0.0499244j -0.0992798+0.0504337j 0.0115079-0.0409002j 0.0170721-0.0277465j 
0.000813296-0.0146476j -0.00621455+0.00846768j -0.0081475+0.0371665j 0.0441203-0.0164657j 0.0923133-0.0695142j 0.0845861-0.038435j 0.0780713-0.0256585j 0.108832+0.0749726j 0.0363604-0.0887304j 0.0608591+0.0271499j -0.0235629-0.0287942j 0.0148167-0.0179056j 0.00158068+0.106816j 0.116785+0.120852j 0.053567+0.0846439j -0.00687204-0.121613j 0.117007-0.00593383j 0.0085893+0.0275323j 0.0711729+0.0995778j -0.0497952+0.0936764j -0.0728867-0.0067912j 0.0251956-0.103645j 0.162793-0.164265j -0.120011-0.110178j 0.0925589+0.0923025j -0.094778-0.126636j -0.13541+0.15754j 0.0860088+0.068279j 0.15901-0.106306j -0.119431+0.177198j 0.0608962-0.123606j 0.0119164+0.028732j -0.0140101-0.0685601j -0.0368978+0.195907j 0.107312-0.0151083j 0.11808+0.0536122j 0.0109582-0.064601j 0.021434-0.0393386j -0.0313345-0.0315503j 0.0208713-0.05228j 0.0686083-0.0578443j -0.0175712+0.00217196j 0.0910492-0.00795684j 0.0792462-0.0128294j -0.176885-0.00856832j 0.108893-0.0891457j 0.0299218+0.0632064j -0.127165+0.103327j 0.0900227-0.041651j -0.0546147-0.183147j -0.0907865-0.0521103j 0.0430934+0.0157234j 0.0987889+0.070641j 0.0258979+0.0357526j -0.0123573-0.00984975j -0.0630512-0.0846379j -0.0786645-0.00446628j 0.0823201-0.00625776j -0.021171-0.035849j -0.00837965+0.0121764j -0.0625132-0.0209197j 0.00863591+0.00558982j -0.136315-0.041517j 0.00689207-0.03391j -0.201533-0.00021337j 0.00453552+0.111553j -0.0181034-0.0142576j -0.00150534+0.028657j -0.00830282-0.0141893j 0.00161566+0.00288714j 
0.0152973-0.01758j 0.00253317+0.0110252j 0.042662+0.00472142j -0.0309427-0.0261935j 0.0336133+0.0759145j -0.0778955-0.0145703j 0.0252534-0.0963354j 0.0101362+0.0503054j 0.000551128+0.0942181j -0.0129592-0.0761567j -0.0239109+0.0400569j -0.0994335+0.0417082j -0.0668031-0.0161452j 0.052368-0.016347j 0.0494273+0.00841766j 0.0561268+0.0143245j -0.0146635+0.0544325j -0.146918+0.0486021j -0.055393-0.0253482j -0.0692743-0.10602j -0.0308483+0.0877568j 0.00563256+0.0568927j -0.0816866-0.0317448j -0.126507-0.0555284j 0.00169323+0.0702517j 0.105389-0.140669j -0.0909943-0.011306j -0.0554733+0.0713201j -0.00139481-0.102438j 0.0197398-0.049568j 0.04809+0.0307376j -0.0454816-0.139608j 0.00351662-0.0130993j 0.0409358-0.0629668j -0.0414527-0.107232j -0.0170224-0.0368382j -0.0864105-0.0598084j -0.020572-0.0602095j -0.0142437+0.0427412j -0.0164481-0.00886073j -0.0792054+0.0256499j -0.0190415+0.0243124j -0.000641523-0.0552269j -0.0202693-0.00569543j -0.111427-0.0363426j -0.00046032+0.00833688j -0.12837+0.106945j -0.0852413-0.0909138j -0.0430245-0.0153409j -0.00726397-0.0103573j -0.0486962-0.0141687j 0.0082667-0.00819226j 0.111471-0.0136666j 0.00505028-0.0454204j 0.108812-0.0724426j -0.0571558-0.0545294j -0.0616718-0.0225768j 0.0303898-0.0962934j -0.0693187-0.00466824j 0.021321+0.00454104j -0.0206248-0.0102263j 0.0049907+0.0120178j -0.0268399-0.058516j -0.0654309+0.0166786j 0.00686002+0.0690401j -0.0121298+0.173567j 0.00219613-0.0507344j 0.0253784+0.00787219j -0.00760295-0.00755095j -0.000853091-0.00134539j 
0.0174135+0.00290384j -0.00178508+0.038942j -0.00574884-0.0535726j -0.0319821-0.0297465j 0.0135605+0.0892774j -0.0842625-0.00940496j -0.0507863-0.126081j 0.0251419-0.059072j 0.0325514+0.0460093j -0.104443-0.024157j -0.0314656-0.0540648j -0.0348039-0.0257172j -0.0171602-0.0242692j -0.0789161-0.0573654j 0.0678542+0.0208106j -0.00699025+0.0538353j -0.110189-0.0822721j -0.0546661-0.0224184j -0.0264273-0.0429599j -0.0943586-0.0258069j -0.0578821+0.145831j 0.0940466+0.0823335j -0.0916093+0.128838j 0.0618609-0.0241738j -0.106981+0.0716094j 0.171619-0.00573516j -0.0128797-0.0199967j -0.0880704+0.00951377j -0.00831027-0.163507j 0.0233812-0.0546674j 0.000164694+0.135586j -0.0286878-0.168352j -0.0157773-0.0191731j 0.0381504-0.0932563j -0.0307968-0.0971484j -0.0322655+0.040268j -0.0126449+0.0127311j -0.0661944-0.0645947j 0.0812082+0.0102142j -0.00627242-0.0201985j -0.0491389+0.0806401j 0.00943294-0.0220786j 0.0146587+0.0678215j 0.0724601+0.0155764j -0.147495-0.0805585j -0.0328956-0.0304025j 0.018453+0.0148625j -0.0393335+0.0254094j -0.0379312-0.0588594j -0.00713431+0.0979437j -0.145227-0.0327849j 0.0216494-0.125004j 0.0803669-0.00286432j -0.0133692-0.0505922j -0.107542-0.0588893j -0.0508718-0.0468509j -0.137592-0.0190012j 0.032508-0.020924j -0.0226969-0.0662001j -0.00843472+0.0759069j -0.0695623-0.0183596j -0.0117869-0.0156247j -0.1103-0.0431286j -0.172954+0.0550883j -0.113659+0.0661582j -0.00192034+0.0202516j -0.0425052-0.0289796j -0.00841205+0.037876j -0.0133988-0.0179625j -0.00469067-0.00887042j 
0.00648583+0.0269664j -0.00755086+0.0613142j 0.003098-0.0247146j -0.0111908-0.027698j 0.0785214-0.0709528j -0.000835172+0.0179128j 0.0297067-0.00270445j -0.0465199-0.00677391j 0.108601-0.0468474j 0.0898205-0.0079227j -0.0429357+0.142192j 0.0592854-0.0649219j -0.0330898-0.159937j 0.0696525+0.0267157j -0.0751703+0.0175708j 0.11091-0.00206621j 0.0963928-0.0557123j -0.0711314+0.118126j -0.0395011-0.0897361j 0.0141784-0.113213j -0.044524-0.105573j 0.0207359+0.0766548j -0.0230865-0.057487j -0.0886273-0.12728j 0.0028338-0.205537j -0.0807251-0.0690754j -0.177873+0.0344394j 0.00546665-0.196261j 0.00758857+0.0785109j 0.0480246-0.0422674j 0.0639842-0.00721656j -0.120308+0.0120231j -0.0156613+0.0329175j -0.00437629-0.0250427j -0.0418186+0.123831j 0.0315694-0.16362j -0.0434991+0.00862873j -0.043413-0.0434323j -0.100231-0.0134817j -0.0278314+0.04752j -0.0265921+0.022656j 0.0654933-0.0983412j -0.114408+0.0648836j 0.0965142+0.0469811j -0.013739+0.110855j 0.132759-0.0230984j 0.0410951-0.044998j 0.0668475-0.161055j 0.0806265+0.0544229j 0.0175736+0.006498j 0.05363+0.177339j -0.0590023+0.0361796j 0.0463708+0.153489j 0.0796691+0.00616138j 0.0197458-0.036863j 0.102476+0.0211051j 0.0692616+0.135546j -0.0878198+0.0379398j 0.013724-0.00166056j -0.073919+0.0668336j 0.0161354+0.013337j 0.0573095-0.0324601j 0.0791698-0.214273j 0.042748+0.0320289j 0.0902936+0.127464j -0.0263446-0.0631122j -0.0220784+0.0190365j -0.00618071+0.0195907j 0.00146898-0.0132443j 0.000296768-0.00611253j 
0.00497152+0.0108061j -0.00651391+0.0352683j -0.0605745+0.0693839j 0.0420234+0.0270248j 0.0310149+0.160694j 0.0758303-0.00420967j -0.0206632+0.0419489j -0.023381+0.0761142j -0.0494215+0.0892239j -0.0101053+0.0572996j -0.132688+0.0524469j -0.0948167+0.0161988j -0.0914652-0.139143j -0.00677506+0.0474831j -0.140374+0.0772872j -0.130367+0.0116403j -0.159453-0.0875972j 0.13563+0.000201783j 0.0644167+0.0195815j 0.0612127+0.117527j -0.102988+0.131351j 0.110856+0.03026j -0.0464203+0.0975749j 0.068195+0.0643079j 0.066425+0.017625j -0.1627+0.00420676j 0.0665904+0.01634j 0.0313325-0.0117415j -0.0881905+0.126981j 0.0455046+0.024332j -0.0845122+0.0643507j -0.0071829+0.029172j 0.0417084+0.105571j 0.0272691+0.0433365j 0.0140603+0.117299j 0.00680407+0.0780392j -0.0498751+0.136575j -0.0217732-0.103185j -0.00820419-0.0583443j -0.0216096+0.0148625j 0.000441633-0.0723826j -0.0673607+0.0521932j -0.076931+0.0739468j 0.123456+0.0407474j -0.0215741+0.0344988j -0.0769857-0.0980877j -0.0381183-0.0198585j -0.0460199+0.0999695j 0.0705202+0.0419348j 0.0561479+0.0692028j -0.0758723-0.0482313j 0.048486-0.156655j 0.0420233-0.0664562j -0.117904-0.10371j 0.00541637+0.0497571j 0.096121-0.0756939j 0.0983743-0.0432677j -0.0202304-0.0601694j 0.0119558+0.0030605j -0.0375028+0.0464238j -0.0129121+0.00139493j 0.067611-0.00272617j 0.0550691-0.184311j 0.018008+0.0290328j 0.00279594+0.121506j 0.0519969-0.00320967j -0.0478693-0.0089807j 0.0111203+0.00341343j 0.0186602-0.0105955j -0.0053052-0.00988703j 
-0.0388905-0.0234709j 0.0144349+0.00629584j 0.0101882+0.0182698j 0.0823236+0.0222992j -0.125048-0.0106481j 0.123052-0.0479775j 0.0941144+0.00180223j 0.0349761-0.00296043j -0.00341732+0.0239458j 0.174936-0.0188741j -0.0413594+0.0170562j -0.0455-0.00598612j -0.00753596+0.0356875j -0.00608375+0.0873013j 0.0521308-0.0362846j -0.107639-0.0209442j 0.0946266+0.132166j -0.0327005+0.0333865j -0.10916+0.0771009j -0.00131025+0.0217841j 0.0054981+0.0275348j -0.0474379-0.00297649j 0.0315755+0.0345772j 0.00756829+0.00203575j 0.143799+0.0920151j -0.0787887-0.0546455j 0.0184481+0.075646j 0.00665362-0.0418018j -0.0637613+0.0146759j 0.0673727+0.0170748j -0.0689954+0.15157j 0.0681227+0.0390011j -0.0360103-0.0686702j -0.00806915+0.184522j 0.0307152+0.0513451j 0.0888121+0.102903j -0.144078-0.100751j -0.0672983+0.0243071j -0.151739+0.024278j 0.0989969+0.0448538j 0.0555633+0.0685019j -0.0106841+0.0100713j -0.0454437+0.0414438j -0.108089+0.0483472j 0.0491144-0.0684873j -0.0905953+0.0819656j -0.108978+0.0453265j 0.0124358+0.0483613j 0.0440962+0.027286j 0.0410199-0.111176j 0.0882041-0.0112917j 0.00410562-0.0231651j 0.0833774+0.0507421j 0.00399945+0.0348376j 0.0871188-0.0163157j -0.0649069-0.0850457j 0.0498314+0.0882773j -0.113328-0.0974152j 0.153062-0.0542666j -0.0107933+0.0593214j 0.0712291+0.0479587j -0.0325488+0.00471599j 0.100054-0.0437034j 0.12328-0.0025057j 0.101803+0.0129597j 0.00187093+0.0924171j -0.00175865-0.0471764j 0.00599389+0.0193358j -0.00552992-0.0251448j 0.000160806-0.0306391j 
0.00835944-0.0408015j -0.00930863+0.0526101j 0.0992023+0.104919j 0.022836+0.108177j 0.0683806-0.140666j -0.132648+0.0544808j 0.0208747+0.0837155j -0.0640896+0.0882599j -0.0328296+0.00803809j -0.0513981-0.0516296j 0.102516+0.0400717j -0.0314857+0.0677901j 0.0316853-0.0755511j 0.23147+0.0796308j -0.0212491+0.129678j 0.133902+0.068607j 0.0352975-0.0712805j 0.100299+0.117913j -0.0322252-0.172764j 0.0459573-0.0705511j 0.09706+0.165781j -0.149195-0.0257099j -0.0101757-0.131672j -0.130078-0.0304995j -0.0859033+0.00617398j -0.0279638-0.141449j 0.0455814-0.0125031j 0.0080207+0.0660774j 0.0609312+0.0278622j 0.0458092-0.0727559j 0.0142145-0.0913877j -0.0610492-0.0266382j 0.020863+0.150721j -0.0835477+0.00432488j 0.0148169-0.14659j 0.0687809+0.0240561j -0.0492187-0.160313j 0.0448224+0.00188261j 0.059937-0.0395275j -0.0508804-0.0461489j 0.00425307-0.0260074j 0.032719-0.0634858j -0.0547164+0.0731512j 0.18611-0.00120097j -0.0178793-0.128753j 0.108703-0.028257j 0.0185266+0.0769536j 0.0181774-0.060246j -0.0338827-0.0143833j -0.0136356+0.0292824j -0.0124028+0.0280045j -0.0247173-0.0190704j 0.00621407-0.00989618j -0.0160523-0.0539297j 0.0557456-0.037084j 0.0991521+0.0159178j 0.0247852+0.0390135j -0.0366895-0.031339j -0.0140785+0.0353337j 0.00284278-0.0221891j -0.0141343+0.0719352j -0.0490276-0.00703873j 0.0380204+0.0230675j -0.0297993+0.00389155j 0.0700843-0.0387604j -0.0389603-0.0742133j 0.0218559-0.047327j 0.0322843+0.0117411j -0.030605-0.00990212j -0.00120686+0.0167196j 
-0.0391836+0.012971j 0.00754713+0.0128919j 0.0322996+0.0271215j 0.0958942+0.115769j -0.00316766-0.0443319j -0.0893898+0.0835619j 0.0705256+0.04787j 0.0108812-0.00571397j 0.0432131+0.0779486j 0.0294585+0.127256j 0.0511332-0.116288j 0.0752316-0.0179718j 0.0204961-0.0708638j 0.0028187-0.126674j 0.0482636+0.0668922j 0.0135308+0.0543526j -0.0336812-0.0711182j 0.151699-0.0921137j 0.0143625-0.0689885j -0.0241548-0.0447109j 0.04239+0.05077j -0.111341-0.0558446j 0.161006-0.122693j 0.0472207-0.014592j -0.0322532-0.0634782j 0.06686+0.0314025j 0.168151+0.127924j 0.0164198-0.00854894j -0.00323017+0.162241j 0.09119+0.0406249j 0.0949868+0.164331j -0.0507982+0.00806875j 0.0697577-0.0118294j 0.00488486-0.0548752j 0.033595-0.136047j -0.049302+0.0678619j -0.0558292+0.0107442j 0.0545641-0.0886336j 0.055421-0.0317534j 0.0683394-0.040166j 0.0837591-0.0301714j 0.0252799-0.0718886j -0.0839315+0.0404108j 0.114776+0.161602j -0.181646+0.01465j -0.103386+0.0169112j -0.132476-0.0193891j 0.00379202+0.0532695j -0.0545519+0.00076869j 0.0334702+0.00481566j -0.0438442+0.0185121j 0.121093-0.0564039j -0.00765613+0.0586695j 0.0459038-0.0267511j 0.0303369+0.0454632j 0.0403824-0.0815273j -0.0134999+0.0697645j -0.0793292+0.0139367j 0.00193822+0.00321712j -0.110565+0.0320658j -0.0303004-0.0530947j 0.0616577-0.0303676j -0.00926366+0.114151j -0.0127791-0.0175107j 0.00833745-0.0761598j 0.00634998+0.104374j -0.0335896-0.00776974j 0.0265982+0.0315799j -0.0343458-0.00415651j -0.00901363+0.0202545j 
0.0131223-0.00460826j -0.0182874+0.00106784j 0.00441688+0.0786891j 0.00479085+0.0213095j 0.0816657+0.0655849j -0.0137009-0.0536789j -0.0395701+0.0143608j -0.0423607+0.107228j -0.0718198+0.0606376j -0.0531005-0.044862j -0.0621206+0.0713079j -0.139509+0.0272566j -0.107447-0.0797384j 0.061483+0.0568383j -0.109425+0.0527978j -0.0324393-0.0362842j -0.063734-0.00835977j 0.013619+0.0381613j 0.0452209-0.00767543j 0.0345865-0.025445j -0.0246234+0.0718146j 0.0353828+0.0454454j -0.0691986+0.0468584j -0.0609906+0.0256019j 0.0334055+0.0516379j -0.0725725-0.123664j -0.0383465+0.0615355j 0.0621031+0.0343837j -0.0284209+0.00826372j -0.0283312-0.0307828j -0.0273992-0.0023852j -0.0154734+0.000597416j 0.0220503+0.0725713j -0.004393+0.0123824j 0.0148449+0.00475911j 0.0301562-0.000764265j -0.0437976+0.00750666j 0.0217059-0.0201442j 0.0187269+0.011276j -0.069622+0.0312605j -0.0498434-0.0562338j -0.0626988+0.0467634j -0.0160364-0.00314627j 0.0101591-0.0123653j -0.0166096+0.0458594j 0.0014675-0.0618629j -0.0838162+0.0270409j -0.0891822-0.0278023j 0.0361606+0.0131358j 0.0357042+0.0332084j -0.0575555-0.0191912j 0.0394474-0.0311368j 0.076204-0.100894j -0.0640335-0.0718627j 0.105129+0.0286065j 0.00501894-0.0492163j 0.00974074-0.0350735j -0.00355642-0.0511623j 0.013846+0.00829045j 0.0374761-0.0141949j -0.00967656-0.000561141j -0.0355458+0.00265293j 0.0480606-0.135114j -0.00224628+0.0209223j 0.0363757+0.0812197j 0.0258614+0.111196j -0.0138202-0.0164592j -0.00590177-0.0270509j 0.0213341+0.0129308j 0.0131898-0.00662211j 
-0.0047639+0.0084945j 0.00657989-0.0158322j -0.00654114+0.000463143j 0.00225424-0.0130064j 0.0274275-0.00382217j -0.0261645+0.00919978j 0.0154645+0.0103652j 0.00766203+0.0263913j 0.0244241+0.0365216j 0.00478727+0.010644j 0.00492434+0.0225098j 0.00397342+0.0178511j -0.0309703+0.00672902j -0.000424278-0.040563j 0.00562402+0.000899406j 0.0261849+0.000609277j -0.0283133-0.010633j 0.0267557+0.0216058j -0.00314562+0.0115358j -0.0136379-0.0157479j -0.0320534-0.0264271j -0.0135023+0.0230246j 0.0153176-0.0369436j -0.0349944-0.0386846j 0.0186356-0.028656j 0.0291731+0.00598165j 0.00568836+0.0260989j 0.0363913+0.0350958j 0.0139334+0.02452j -0.00445347-0.00523005j 0.0551855-0.0354503j -0.0245917-0.0282784j 0.0479596+0.00311404j 0.0327952-0.0108852j -0.0164943-0.0134541j -0.0276127-0.0301965j 0.00606409+0.0198563j 0.0124695-0.00733532j -0.00669231-0.0070414j -0.00854056-0.024837j -0.0181635-0.0257591j -0.0228405+0.00174657j -0.0234668-0.0316812j -0.0221902+0.0370938j -0.0401947+0.0622436j -0.0297616-0.010954j -0.0715808-0.0275564j -0.0198643+0.00362051j -0.0172335+0.0193642j 0.018886-0.00852069j -0.00573912-0.0209052j 0.0445414+0.00573798j 0.0253518+0.0286765j 0.000671301-0.00828577j 0.0543185+0.0215317j -0.0148944+0.01795j 0.00460926-0.0197316j -0.0129835-0.0065341j -0.0413181+0.0123906j 0.000507006-0.0202281j -0.0194293-0.054307j 0.0427687-0.00751472j 0.00842951+0.0155645j 0.00394579-0.00857455j 0.00364641-0.0151441j 0.0225505+0.0826927j -0.000773804+0.00939269j 0.0484655+0.00705731j -0.0103658+0.0140644j -0.00423066+0.00679426j 
0.00711005+0.00471761j -0.00619608-0.00576715j -0.0320849+0.00872003j -0.00867902-0.0163348j 0.0334184+0.040873j 0.0284473-0.0122939j -0.0311905+0.0136607j -0.0216748-0.00114026j -0.0151584-0.0212526j -0.0209009-0.0134796j -0.0158974+0.0159598j -0.0109749-0.0149163j -0.0142665-0.00648577j -0.00939607+0.0218632j -0.0511831-0.0314713j -0.0164985-0.0167183j -0.00943264+0.00169836j 0.00618853-0.00305586j 0.0208397-0.0111387j -0.00742673+0.0047174j -0.0140021-0.0250328j 0.0336638-0.0240591j 0.00882574+0.0432916j -0.00460282+0.0281274j 0.0104945-0.0153466j 0.000209484+0.00738944j 0.0233918-0.0248015j -0.00526943-0.0193139j -0.00590565+0.0123492j -0.026967+0.0278272j -0.0154677-0.0362382j -0.0111543+0.0346058j 0.0085525+0.00376306j 0.000644364-0.0142597j -0.00285547+0.0260839j 0.0153524-0.0203134j 0.0187875+0.000282396j -0.0141011+0.0128288j 0.0304594+0.00228436j -0.0384757+0.00358147j -0.00867948-0.00226892j -0.0247781+0.0232476j 0.00233314-0.00639098j -0.000445579-0.0209268j 0.0267492+0.0189319j 0.00281169-0.0268879j 0.0157382-0.00410258j 0.0128482-0.0133455j -0.00190871+0.0173308j -0.0116526+0.0114109j -0.0125146-0.00870578j -0.0119089+0.0289519j -0.00275391-0.0111425j -0.0192741-0.0343014j -0.0283943+0.00666571j 0.0106777+0.0104385j 0.0291236-0.0322802j -0.0172691+0.0171752j 0.0446623+0.0139856j 0.00905367+0.0129414j -0.00439464-0.00672981j -0.0191363+0.00817159j 0.0163512+0.0214796j 0.0269096+0.00457924j 0.0246499-0.00544015j -0.00176533-0.0100328j -0.0104713+0.0143925j -0.0269593+0.014616j 0.012539+0.00226079j 0.00300047-0.00770068j 
0.00218312+6.99757e-05j 0.019037+0.00262372j -0.0129506-0.0170364j -0.00386451+0.0183294j -0.00818678+0.00385526j -0.0022286+0.016766j 0.00712562+0.0247732j 0.00454814-0.0161042j 0.0414077-0.0154222j 0.0421064+0.0336079j 0.0221875-0.0201073j 0.0327662-0.00768879j 0.0267056-0.0251812j -0.0312547+0.00653191j -0.00111424-0.00197041j -0.0144827+0.0159624j -0.00749898-0.048511j 0.0563086+0.00508889j 0.0171603+0.00513347j 0.00459103+0.0308678j -0.00435139+0.0066114j -0.025676-0.0111557j 0.0289393-0.0452615j 0.00325771+0.010616j 0.0330443-0.0554543j -0.0181949+0.0465017j -0.000162512-0.0203303j -0.0325446-0.0159111j 0.00669512+0.0149236j 0.00751213+0.0133919j 0.00479644+0.0194807j -0.0198115-0.00794464j 0.0529821-0.0349251j -0.0275128-0.00184661j -0.0019055+0.0343363j -0.000237425+0.0136227j -0.0159682+0.0208437j -0.0294351-0.0209618j -0.00022066-0.0219245j 0.027706+0.0014455j 0.020509-0.00744497j 0.0122471+0.00204225j -0.0105503-0.0118341j 0.0168637+0.0546357j 0.00287154+0.000325219j -0.0115516-0.00827236j 0.00929991-0.0161706j 0.0258546+0.0164741j 0.0162824-0.000735209j 0.014664+0.0230297j 0.00458987+0.0233201j 0.00351903-0.00598692j -0.0339858+0.0335952j 0.00597078-0.000216408j 0.00311974-0.0108239j 0.0275453+0.0121594j 0.04763-0.000964181j 0.00299955-0.0100745j -0.0630723+0.0205405j 0.00382347-0.0186164j -0.0133192-0.0192223j 0.0655782-0.00976742j -0.0217404-0.0193146j 0.000438593+0.00752842j -0.00264101+0.0236862j 0.000173844-0.0213409j 0.015149-0.000602863j 0.0571351+0.0046741j -0.0170098-0.00219482j -0.0193408+0.00743639j 
-0.000469823+0.00054609j -0.0126492-0.000124008j 0.0165849-0.00309682j 0.0158346+0.0133085j 0.0135203-0.0057348j -0.0160972-0.0035874j -0.0161351+0.00471751j -0.000307407+0.00358445j -0.00551555+0.0109659j -0.0159794-0.0106446j -0.0230415-0.00888376j -0.00689717-0.00468414j -0.0133491-0.0137605j 0.00185801-0.0184021j -0.00897152+0.0247497j 0.00133642+0.00523293j -0.00837725-0.00158504j 0.0237622-0.0233173j 0.00718888+0.000674225j 0.0240891+0.00452488j -0.0153144+0.0013977j -0.00187679+0.0230401j 0.0054315+0.00989913j 0.0184786+0.0203171j -0.00131347-0.00746145j -0.0203686+0.0031461j 0.00278813+0.00261494j 0.0210756-0.0085469j -0.000653177+0.00104513j 0.014554-0.00770117j 0.0359201+0.00512275j -0.00935672-0.000334932j 0.00336026+0.0206763j 0.00792793+0.000605807j -0.0271129-0.0151295j -0.0136393-0.00128152j 0.0204475-0.0210418j 0.0213956-0.0223104j 0.0120535+0.007588j -0.0183062+0.0111815j -0.00595358-0.0148096j -0.00215861+0.0118737j 0.0149985-0.00497726j 0.024019-0.017616j 0.0300662-0.0106512j 0.0118115+0.00942834j 0.0291163-0.012262j -0.00514771-0.0152774j 0.0078111-0.00811997j -0.000413083+0.00356138j 0.00324483+0.00769543j -0.00657409-0.00543031j -0.0102158-0.00261297j -0.00971688+0.0110525j 0.00575404+0.0221897j 0.00823308-0.0107047j -0.00144303+0.0237093j 0.0135086+0.0111539j 0.0203755+0.00148627j -0.0192418-0.00292169j -0.00796955+0.00916045j -0.0293423+0.000639555j -0.00259991-0.0330388j -0.0119751-0.000498269j -0.00671506+0.0137774j -0.00201006-0.0272921j -0.0139229+0.00211825j -0.0386957-0.00558723j 0.00625498+0.00563103j 0.0147724-0.00428548j 
0.0113272+0.0118906j 0.0465706-0.00831487j -0.019933+0.00304962j -0.0409064-0.00621991j -0.0297465+0.025714j -0.0227666+0.00409442j -0.0252441-0.00458997j 0.00251859+0.0149388j 0.075077+0.0409991j 0.0502145+0.0176473j 0.0524875-0.00837605j 0.00533147+0.0134494j -0.0184092+0.0213286j -0.028005+0.0278886j 0.075389-0.0113919j 0.00632305+0.0286822j -0.0459561-0.0253151j 0.0530725+0.0605352j -0.0180462-0.0206669j -0.0038402+0.0148751j -0.0218834+0.0269043j -0.0736314-0.0244259j -0.00273191-0.040789j -0.018353-0.0153089j -0.0304882-0.00279899j 0.00447615-0.00252228j 0.000795517-0.0377389j -0.0394663+0.0633757j 0.0271969-0.0613189j 0.0135967+0.0643483j -0.0437873-0.00261351j 0.0243303-0.0718673j 0.0983559-0.0319114j -0.00710607-0.0274946j -0.0571136+0.0592698j -0.012809+0.0322088j -0.0599014+0.043768j -0.0814934-0.0343417j -0.0677665-0.07978j 0.0377153-0.00528079j 0.0358749-0.00449462j 0.00484735-0.035009j -0.0254796-0.0770429j 0.00260449+0.122342j 0.00398363-0.0213805j -0.0358955+0.00242936j -0.0120665-0.0243411j 0.0589782+0.0323699j 0.0254858+0.0278313j 0.0143109+0.028311j 0.00528377+0.0182161j 0.0117737-0.0088056j -0.00462735+0.0505394j 0.0514108+0.0217977j 0.00682095-0.0641847j 0.0858966+0.0520749j 0.102091-0.0753364j -0.0215656-0.0530936j -0.19629+0.0564759j 0.0895361-0.0320602j -0.0243491-0.0690676j 0.163471-0.00928474j -0.0139825-0.00308766j 0.0157326-0.00250899j 0.0405635-0.00336605j 0.00467675-0.0151399j 0.0319338-0.0195281j 0.230539+0.0341226j -0.0369832-0.0125859j -0.059716+0.00503127j 
