0.0563822-0.000323248j -0.00642949-0.0761996j -0.0990123-0.0117555j -0.0275585+0.0793032j -0.145884+0.061779j 0.0280863+0.149207j 0.0242079-0.0667369j -0.0223534-0.0533353j -0.0934175+0.0273748j 0.0204179+0.065355j 0.087456+0.00734755j 0.00784044+0.0210489j 0.0457605+0.0601664j -0.0620753+0.0184073j -0.0581886-0.0271553j -0.0115357+0.0228057j 0.025757+0.0168838j -0.0140298-0.0940261j 0.099196+0.0239241j 0.0113392-0.073292j 0.079803-0.0211923j 0.0773155+0.135546j 0.17248+0.0733388j 0.0305597-0.113077j -0.0265866+0.0688341j -0.023452+0.0705946j 0.0406529+0.0129032j -0.0107423+0.0221658j -0.00174973-0.0790979j 0.0952483+0.026684j -0.0486948+0.0533135j 0.112039+0.00245329j 0.00470118+0.0159168j -0.00111603+0.0453446j 0.0750872-0.0762066j -0.0452628-0.0881663j 0.077384+0.00938389j -0.0645653-0.0916009j 0.0942303+0.0376187j 0.0653018-0.0382552j 0.0853018+0.0113183j -0.045164-0.0163317j 0.0237383-0.0347642j 0.0208477+0.0190063j 0.0016072-0.00199101j -0.0365221+0.105431j 0.0588649-0.0409143j 0.0862476-0.0810781j -0.0397218-0.0422716j -0.0621675+0.0624921j -0.00326972-0.022137j -0.0207021-0.0380452j -0.000148093+0.00283362j -0.0722292+0.051789j -0.0085874+0.0296813j -0.0258935-0.0164422j 0.0167025-0.0240084j 0.0257785-0.0577887j -0.014505-0.0128723j 0.0371538+0.02174j -0.0187283+0.0479753j 0.037508-0.0155692j -0.0214595+0.0340925j 0.0235996+0.0149162j -0.0382306-0.0223156j 0.00608608+0.022533j -0.017473+0.0382796j 0.0253958+0.0345352j -0.0231395+0.0118352j 0.0121533+0.0323838j 0.00600059-0.0341629j 0.0414456+0.0293282j -0.0180898-0.0218017j 0.015413+0.0715907j 0.0122593-0.015707j 0.0506246+0.018059j 0.0265296-0.00365981j -0.00458539+0.0273363j -0.0184959+0.0160505j -0.0427676+0.0243085j 0.0211035+0.00319795j -0.0242033+0.00721501j -0.0194371-0.0234811j 0.0104478-0.0292715j 0.133655+0.0307946j 0.0375561-0.0206329j 0.102143+0.0346879j 0.010926+0.0172645j 0.0107004+0.0258043j -0.0293895+0.0116803j 0.0309115+0.00166734j -0.0215594-0.0250879j -0.052878-0.0981674j 0.0559805+0.0481855j -0.0198143+0.0681427j 
0.000114522-0.0125013j -0.00637319+0.00519612j 0.000252517+0.00588017j -0.00215105+0.0040435j -0.00826286+0.00362625j 0.000466461+0.0045935j -0.0138172-0.00164993j 0.00225968-0.0033169j -0.00459002+0.0108121j -0.00115635-0.00209465j 0.00250455-0.0019239j 0.00207088+0.00793664j 0.0156227+0.015882j -0.0119441+0.0127386j -0.00695356-0.00584429j 0.00180037+0.00564074j -0.00791715+0.00796801j 0.00567709-0.00432333j -0.000217845-0.00751666j -0.00115779+0.0038619j -0.00953386+0.00698866j -0.0066275-0.00316433j -0.0287716+0.00399197j -0.00339061-0.00238062j 0.00643274-0.0126711j 0.00131268+0.00444629j -0.00074521-0.0133242j -0.00380093+0.000172525j -0.00679178-0.00697973j -0.00266544-0.0023593j 0.0177523-0.00729167j -0.00290071+0.000687549j -0.00725427-0.00161984j 0.00623293+0.00887708j 0.0073089-0.00433423j -0.00449799-0.00521985j -0.00666422-0.00167377j -0.0110663-0.0220176j 0.0129764+0.0028249j -0.00146523-0.00703311j 0.00480565+0.0103161j -0.00613007+0.00448938j -0.0082045+0.0036492j 0.00270036+0.0168154j 0.0106971-0.00381664j -0.00474916+0.00606828j -0.000434643+0.000401214j -0.0182644+0.000640563j 0.00233248+0.011118j -0.00472478-0.00261797j -0.00218235+0.0120699j 0.00530757+0.00398117j 0.00935552+0.000577682j -0.0186807+0.0024408j 0.0209187+0.000162997j 0.01304+0.00978703j 0.00235098-0.00650668j -0.00464398+0.00202693j -0.0121641-0.0109362j -0.0161204-0.0108362j -0.00348098+0.0273922j 0.00583956+0.020513j 0.0207629+0.00194314j -0.00846562+0.000182776j -0.000697606-0.00102046j 0.0123715+0.00121766j 0.00404834+0.01615j -0.01284-0.0117827j 0.0168408+0.00198065j 0.00934051-0.00745366j -0.00987412+0.012787j -0.0110408-0.0212743j 0.000794072+0.0039673j 0.0132859-0.0163941j 0.00256021+0.00818132j -0.00185737-0.000456543j 0.000668159-0.00647277j 0.00454797-0.00894543j 0.00463858-0.0142923j 0.0123001+0.00786849j 0.0106452-0.00027921j 0.00594842-0.00814122j 0.00387211-0.00486761j 0.0117731-0.00609603j -0.0321495+0.000393264j 0.00896307+0.00681822j 0.00102634+0.00549613j 0.00969125-0.00841734j 0.00816892+0.000851638j -0.01808+0.00593335j 0.0217306-0.00300042j -0.0145715+0.0315607j 0.00078322-0.0177655j 0.0216634-0.000848427j 0.0222095+0.0103787j 
-0.0127208+0.0118383j 0.0101541+0.0012113j 0.0116432-0.00507421j -0.00409759-0.00820137j 0.0232329-0.0105967j -0.00501318-0.0131793j 0.000549765+0.012639j 0.00461379+0.01616j -0.000844383+0.00909768j -0.00681019-0.000250884j -0.00203669-3.45233e-05j 0.0028753-0.00411893j 0.000990236-0.0204576j 0.00670567-0.0014243j 0.00281933+0.00116724j 0.00204884-0.0077385j -0.00173892+0.00163802j 0.0012306+0.00722464j -0.0165286-0.0113696j -0.000560153+0.010309j -0.00570699+0.00486106j -0.0174646-0.00978186j -0.0126678-0.00370793j 0.000919996+0.00153869j -0.0129021-0.00866426j -0.000321499+0.00526978j 0.00710091+0.00369648j -0.00601246-0.00443834j -0.00550239+0.006229j -0.00823398+0.0035361j -0.00435273+0.0113171j -0.00659136-0.00502369j 0.00856082-0.00477924j -0.0037087+0.00090823j -0.00514427-0.00314431j 0.00675833-0.00321478j -0.00422637-0.003746j 0.0221292+0.0284317j -0.00505518-0.00630017j 0.0105562+0.0119831j -0.0311935-0.00596492j 0.0032957-4.46583e-05j -0.00306331+0.00697724j 0.0103745-0.00338736j -0.0139083-0.00425485j -0.00152968-0.00575422j -3.93261e-05-0.0128334j -0.00132281+0.00860698j 0.00315173+0.0101471j 0.00209177-0.0028598j -0.00633514-0.00321461j 0.000942954-0.00268121j -0.0027039+0.000258939j 0.00389647-0.000294159j 0.00787866-0.0039931j 0.003867+0.0104966j -0.00392981-0.0210385j 0.000396596+0.0162633j 0.00192339+0.00161979j -0.0308253-0.00414588j 0.00726791-0.0205741j -0.00876129+0.00454394j -0.00693969-0.0286487j 0.00244463-0.00150124j 0.00396085-0.0130594j -0.000493114+0.00758083j 0.0223088-0.0172716j 0.000456211+0.00502959j 0.0137135-0.00896006j -0.00427005+0.00459493j -0.00469076-0.000484072j -0.0123722-0.000933424j 0.00653213-0.00160541j -0.00349291-0.0229306j 0.00871674-0.00300804j -0.0114408-0.012426j -0.000133811-0.00549845j 0.014272+0.00242272j 0.0261161+0.00706363j 0.0148015+0.00419562j 0.00408153-0.00791529j 0.00886737-0.00230204j -0.025906-0.00229477j -0.0157356+0.00912108j -0.00744666-0.00108004j -0.00779581+0.0196621j -0.0281183-0.0174287j -0.0018411+0.00482401j 0.00345189-0.00141262j 0.0105693-0.0132812j -0.0144348+0.0142649j 0.00366162+0.0105111j -0.0110789+0.0425243j -0.0225386-0.00887626j 0.0124002-0.022946j 
-0.0100612-0.00836549j -0.00297622+0.00864676j 0.00348641+0.00616917j 0.00561754-0.00192643j -0.00652439+0.00819384j -0.0096749+0.00710026j 0.000709916+0.00569899j 0.00232128+0.000615723j -0.00387051-0.00484765j 0.00267003-0.00429523j -0.00291177+0.00291044j 0.000301074+0.00789249j -0.00164524-0.004071j -0.00658264+0.00919075j 4.67372e-05+0.00701802j -0.00289056+0.000798994j -0.00439235+0.00647316j -0.00224313-0.00162374j 0.00273901+0.00636149j 0.00493395-0.000216147j -0.0153426-0.00676277j -0.00159777-0.000468215j -0.0200586+0.00701478j 0.0035647+0.00411903j 0.00419371+0.000753673j -0.0124677+0.000811205j 3.6104e-06+0.00302837j 6.09247e-05-0.000601891j 0.00229628-0.00730662j -0.0043881-0.00316565j 0.00159659-0.0162256j 0.00566418+0.000109574j -0.00184932-0.00338557j 0.0051923-0.00478829j -0.00107386+0.000691646j -0.00111688+0.0031035j -0.00779181+0.00441275j 0.00744835-0.00187564j 0.013849+0.0023246j 0.0119745-0.0138271j -0.00160016+0.0210453j -0.00642345-0.000535139j -0.00833548-0.00107369j -0.0106925+0.0190143j 0.00244999+0.0048886j 0.00972514-0.00657688j 0.0061679+0.000619601j -0.0050404+0.00544866j -0.00340668-0.000938012j -0.00923128-0.000592915j -0.00734729-0.00340349j 0.00713058+0.0146867j -0.00183813-0.00162338j -0.00851282-0.00232908j 0.0170163+0.00936579j -0.00305064+0.0258309j -0.0101232-0.00852878j 0.00601806+0.00550153j -0.00569117-0.0014695j 0.0064017-0.0240085j -0.015086+0.0132326j 0.017764+0.00781039j 0.0191579-0.00154623j -0.0165471+0.0094048j -0.00127267+0.00200697j 0.0153299-0.0032743j -0.0233101+0.00879191j -0.0178471-0.00679352j 0.0148243-0.00375303j 0.000707478-0.0167181j -0.00949246+0.00121958j -0.00717364-0.0131534j 0.0037209+0.00686127j 0.00447449-0.013636j -0.00510101+0.00545384j -0.00431134+0.00828801j -0.0085383-0.0170855j -0.00880121-0.0054304j -0.00753799-0.0173155j 0.0139796+0.00530258j -0.00106794-0.0027171j 0.00546415-0.00316802j 0.00830128-0.00848771j -0.00388578-0.0269534j -0.0342139-0.0111298j 0.00872971-0.0196252j -0.0144758+0.000870917j 0.00511888-0.0101223j 0.00760303-0.00451366j -0.0121962+0.0086149j 0.005722-0.0215405j -0.000932152+0.0059296j 0.0154771-0.0279403j -0.00030633-0.0114839j -0.000158108+0.020775j 
-0.0126047+0.0108459j 0.00829742+0.00115493j 0.005966-0.00617886j 0.00503059-0.00200181j 0.00755875-0.0101431j 0.00046744-0.00826164j 0.0141952-0.00141888j -0.00331299+0.00310504j 0.000931707-0.00574147j 0.0010526-0.00328207j 0.00763374+0.000712755j 0.00466412-0.00524055j -0.000887761-0.00051768j -0.0020425+0.0032769j 0.00328145+0.000172729j 0.00574251-0.00306327j -0.00321377+0.000306589j -0.00766183+0.0142457j -0.00471636-0.00211768j -0.00278069-0.0112621j -0.00171263+0.00950858j -0.0154253+0.00764585j 0.0134676-4.81731e-05j 0.000403168-0.00388683j -0.000271467+0.00277812j -0.00743907-0.00972506j -0.00318443+0.00491391j 0.0035741+2.99399e-05j 0.00177427+0.00718829j -0.00568597+0.00944477j -0.018293+0.0188103j -0.0143069-0.00769635j 0.00763096+0.00511696j -0.00027601+0.00286256j 0.00409083+0.0247805j 0.00625148+0.00153319j 0.00766859+0.0146972j -0.00057566+0.00849299j -0.0101503-0.0162486j 0.00908328+0.0144165j -0.0156342-0.0158381j 0.00461829+0.000929628j 0.00211449+0.00717126j 0.0176346+0.00942354j 0.00126217-0.017191j -0.0046994+0.00479362j -0.00184011-0.00677101j -0.00319471+0.00102542j 0.014912+0.0169736j -0.0124734-0.0163384j -0.00332352-0.00900224j -0.0140665-0.00246535j 0.010292-0.00469802j 0.0123276+0.00173443j -0.001978+0.000786301j -0.00785474+0.0144132j 0.006113-0.0190629j -0.00196123-0.00875316j -0.00601169-0.0108918j -0.00603082+0.00204059j -0.00062345-0.0159983j 0.00413519-0.010959j 0.00893006-0.0293228j 0.00351187-0.0083121j 0.0164498-0.0124011j -0.00523148+0.00501696j 0.010165+0.00282587j -0.00698424+0.00426784j 0.00226549-0.010101j 0.00631265+0.0104176j 0.010264+0.00828719j -0.00813839-0.00757648j -0.00287146-0.0101516j 0.00692316-0.0110027j 0.00345919-0.00472909j 0.00394663-0.0149184j 0.022433+0.00398209j 0.0142199-0.00294983j 0.0226833-0.000682232j -0.00974351-0.000827972j 0.016955+0.00915733j -0.0037718+0.00784738j -0.00738444+0.0159179j -0.00932944+0.00715375j 0.000202591-0.0173875j 0.00409532+0.0113415j -0.00891403+0.0156347j 0.000918858-0.00701671j 0.00572114+0.00357935j 0.0109812-0.00694701j 0.00230259+0.00805718j -0.00957138+0.0271665j -0.00463626-0.0136955j -0.00922108-0.0117341j -0.010613-0.014148j 
-0.000558273+0.00540669j 0.00278809-0.0085973j -0.00789707-0.000993846j -0.00674736+0.00186172j -0.00458187+0.000176167j 0.00189635-0.00214816j 0.00674444+0.00307345j -0.000400171-0.00945705j -0.00175382+0.00117137j 0.00305764+0.0145932j 0.00623423-0.00143556j -0.00108914-0.00395204j 0.00689855-0.0041586j -0.000119494+0.00467052j 0.00984933-0.00917667j 0.00127038+0.00633439j -0.00320665-0.0046763j 0.00322121-0.0146507j 0.00761696-0.00683865j -0.00103336+5.42257e-05j -0.00187496-0.00447477j -0.00266155+0.00395573j 0.00200281-0.00427724j 0.000565517-0.0048462j 0.00190927+0.00334625j -0.00527843+0.00372053j -0.00324119+0.000775163j 0.00221652+0.00522081j -0.000476975-0.000226721j 0.00517937+0.000240815j -0.000849218+0.00772002j 0.000827672-0.000694463j 0.000687422-0.000678469j 0.000641848-0.00815077j 0.00772872+0.00243215j -0.0040326-0.00496268j 0.00117564+0.00721943j -0.0104456+0.00476606j 0.00102372+0.0106169j 0.00903357+0.00227074j 0.00147486-0.00425141j 0.00646622+0.0167894j 0.0159313-0.00534057j 2.61142e-05-0.000456055j -0.0152118+0.0110643j -0.000828543+0.00389941j -0.012589-0.00140933j 0.0119422+0.0049724j 0.00725618+0.00166598j 0.0020083-0.00772031j 0.0102894+0.0026798j 0.00876274-0.00796781j -0.0159786-0.00826517j 0.0155047+0.00375085j -0.00500969+0.00202301j -0.00544778+0.00494817j 0.0053738-0.00731015j -0.000284875+0.0131124j 0.00485688-0.00814239j -0.00908736-0.0212693j -0.00249958-0.000385948j -0.00537855-0.0120374j -0.00115105+0.0137486j 0.00983626+0.0214493j -0.0197286+0.00847197j -0.00913461+0.00445526j -0.00942004-0.0127525j -0.0156511+0.0298338j 0.00608632+0.00223549j -0.0254506-0.0145649j -0.0130079-0.00412148j 0.0215768+0.0244088j -0.00383779+0.0106999j -0.00308538+0.00737621j -0.00795639+0.000509041j -0.0048017+0.0110454j -0.00293516-0.0204885j -0.0236724+0.0180262j 0.00382935+0.0289538j -0.0143914-0.0130277j -0.00973381-0.003379j 0.0109117-0.00390343j -0.0128973+0.00713598j 0.00847483-0.00447318j 0.0136946-0.00296282j 0.0136304+0.0147505j 0.00145395+0.00869066j -0.00413492+0.0292067j -0.00544618-0.00844533j 0.00108764+0.0353435j -0.00775868+0.00700126j 0.00792626-0.00273143j -0.00253859+0.0102305j -0.000364877-0.000591762j -0.00781992+0.00100913j 
-0.00238203-0.00801545j -0.0129032-0.000708112j -0.00141224+0.00556115j -0.000373302+0.0042602j -0.00372039+0.00373296j -0.000460927+0.0147913j -0.000361305+0.0050385j 0.00303021+0.000121331j -0.00024195-0.00101883j -0.0031708-0.00386071j -0.000903065-0.00695361j -0.00230953+0.00613563j -0.00313293-0.00867923j 0.00602192+0.00863672j 0.00305087+0.00343755j -0.00298418+0.00540859j 0.00190872+0.00247278j 0.00563065-0.00485798j 0.00452951+0.000456552j 4.64734e-05-0.00237088j 0.00156745+0.0131134j -0.00545163+0.0032428j -0.00435414+0.00130794j -0.000949711+0.0108632j -0.0014761-0.0141582j -0.00743036-0.00743969j -0.00375995-0.00505492j 0.00704734+0.00525215j 0.00902281-0.00434587j -0.0129672-0.00937687j -0.00197799-0.0123761j -0.00459451+0.00109694j 0.00262436-0.00285136j -0.000743334-0.00686653j 0.000815606-0.00118036j 0.00453959+0.00706702j -0.00106425-0.0189291j -0.00286586-0.00782674j 0.0039196-0.0454435j -0.00246094-0.0106945j 0.0110448-0.0073174j 0.00633233+0.00911645j -0.000875951+0.0122593j -0.00877807+0.021839j 0.00677351+0.00683389j 0.00472317+0.00665008j -0.00685469-0.00804352j 0.00256783+0.00121842j 0.00437119-0.0070154j -0.00197312+0.00294267j -0.00842712+0.000655873j -0.00156075+0.00384702j -0.00792679-0.0061173j 0.00196176-0.0021515j 0.000617688-0.00532845j 0.00182752+0.00247818j -0.00434973-0.000700432j -0.000312787+0.00566552j -0.0010345+0.00574549j -0.00280378+0.0159773j -0.00832753-0.00919618j 0.00822525+0.0290821j 0.0240341+0.0107316j -0.0143376+0.00375327j -0.00230516+0.00418949j -0.0176368+0.0032704j 0.0246726-0.00547222j 0.000280805-0.00729298j -0.00879583-0.00291531j 0.0119576+0.00529555j 0.00923965+0.0111058j 0.0173762+0.0189665j -0.0114079+0.00105193j 0.0028146-0.00411502j -0.0154609-0.0129665j -0.00602659-0.00875847j 0.0141298-0.0151148j 0.000124731+0.00458917j 0.0118618+0.0038991j -0.0181713+0.00943975j -0.0221011-0.00325974j 0.00341442+0.00861086j 0.0152415-0.00188605j -0.000221911+0.0062593j -0.0211231-0.00421088j 0.0166787-0.0164078j -0.0171118+0.0122689j 0.00408944+0.00602878j 0.00972289+0.00209172j -0.0105949+0.0067816j 0.00725129-0.00328652j -0.00754212-0.0143564j -0.00245349-0.0100374j 0.00425567-0.00441401j 0.00236907+0.00118453j 
0.00887149+0.00449546j 0.00365381-0.00540677j -0.00699096+0.00250771j -0.00147059-0.00203629j -0.0128959-0.005067j 0.0119817+0.0120107j 0.00954083-0.00349556j 0.0104932+0.00564698j -0.00336409+0.00370248j 0.000142759-0.00711564j -0.00334294-0.00618728j 0.00785332-5.52221e-05j 0.00365843-0.0121534j -0.0104595+0.00941594j -0.00047331+0.00259556j 0.0047951-0.00443712j -0.010196+0.00041309j -0.00460023-0.000355265j -0.0039711+5.16433e-05j -0.0069802-0.00281635j 0.0060507-0.000487045j 0.0155102+0.00436906j -0.000867105-0.000162872j 0.023863-0.00951262j 0.00575784-0.000501515j -0.0161097+0.0154043j -0.00164703-0.0142914j 0.00503534+0.0114216j 0.00120533+0.00872859j 0.00815211-0.00960735j 0.0012994-0.00440326j -0.000532033-0.000919299j -0.00282805-0.00189831j 0.00635339+0.00414052j 0.0107806-0.0025984j -0.000345909-0.00277851j 0.00796213-0.00283556j -0.00727639-0.0119498j 0.0159315-0.0102209j -0.0112199-0.00452782j -0.0114684-0.00192713j -0.00887897-0.00756958j -0.00574333-0.00169514j -0.00806039-0.0131339j 0.000728936-0.00486201j -0.027467+0.0133399j 0.00255113+0.00843662j 0.00937094-0.00118125j -0.0102077-0.00706263j 0.0157146+0.00122916j 0.0179184-0.00813146j -0.00201878-0.00898874j 0.0183185-0.00514975j -0.00254274-0.00674058j 0.00272162-0.0221037j 0.0016381-0.00586355j 0.0118861-0.00685126j 0.000486564-0.00216333j -0.011182+0.00665295j 0.00591852+0.00238111j -0.0138314+0.0119762j -0.000713995-0.00547681j -0.00453028-0.00608889j 0.00341494-0.000577991j -0.00453508-0.00302061j 0.00121249-0.00111972j 0.00256448+0.00508995j 0.00171449+0.00582233j 0.00210977-3.43762e-05j 0.00975449+0.00182045j 0.00823233-0.00198173j 0.00346992-0.00243393j 0.00220016-0.00865392j -0.00517268+0.002016j 0.00993822+0.00166894j -0.00660859-0.00381381j 0.0156836+0.00962246j 0.00779489+0.00801046j 0.0118144+0.0123253j -0.0125118-0.00428721j 0.00783363+0.00737637j 0.0156697-0.0173584j 0.0158619-0.00257573j -0.0127767+0.0235756j 0.00889783+0.0176656j 0.0127764+0.0041106j 0.00872586-0.0134686j 0.00396678-0.00411726j 0.00336798+0.00303258j -0.00461712+0.00637878j 0.0142382-0.00271768j -0.00174461+0.00532574j 0.0043317-0.0105995j 0.0069344+0.00202736j -0.00914384+0.00570279j 
0.00265436-0.00611895j -0.00608069-0.00458694j -0.00955595+0.00389541j -0.0122034-0.00232052j 0.0152229+0.00070354j -0.00944217+0.00262006j -0.0122356+0.00509186j -0.00198666+0.00649986j -0.000297533+0.00331331j -0.00592515+0.00894167j -0.00886357+0.00454561j -0.00347876-0.000613179j 0.0028342+0.00512239j -0.00122845-0.00716445j 0.000208431-0.00145761j -0.00179637+0.00277579j 0.00223245+0.00439856j 0.00262558-0.0167938j -0.0175396-0.00589186j 0.00101833-0.00946633j 0.00479089-0.00386805j -0.00283935+0.00599853j 0.00384304+0.00368581j -0.0220398-0.007528j -0.00146595-0.0108895j 0.010603-0.0117495j 0.00879861+0.003297j -0.00240305-0.00154692j 0.00103921-0.00138513j 0.00383559+0.00795726j -0.00799148-0.00930305j -0.00752455+0.011929j -0.00306199-0.00464472j 0.003511+0.000260303j 0.00227299+0.00568627j 0.00134068-0.00793267j 0.00629566+0.00390627j -0.00193507+0.00436598j -0.00758381-0.0252787j 0.00971104-0.00587736j 0.0258408+0.0120119j -0.00325154-0.00377233j -0.00338903-0.00203536j -0.00895104-0.00777355j 0.00294962+0.00646452j 0.0296666-0.00626569j -0.0118658+0.00516988j -0.015027+0.000674477j 0.00583713-0.0107363j -0.00948996+0.00553806j -0.0225193-0.00333786j -0.0188132+0.00869004j -0.00101047+0.00742365j -0.00455815+0.000533485j -0.0113123+0.0101245j -0.0211199-0.0214438j -0.0022588+0.00418768j -0.000820393-0.00108212j 0.0212271-0.0101032j 0.021656+0.0174086j 0.011734-0.0131548j 0.0107982+0.0202979j -0.019002+0.022982j 0.0159944-0.0136931j 0.0166856+0.00871359j -0.0192342-0.0129606j 0.00608272+0.00881856j 0.000694253-0.0166047j -0.0259103-0.00315769j 0.0305794+0.00882217j 0.00574573+0.00364609j 0.0278701+0.00554972j -0.00935254-0.00373233j 0.016372+0.00447912j -0.00512705-0.00420451j 0.0200773+0.00319941j -0.00591142-0.00220695j -0.0080973+0.000351546j -0.0126137-0.00595487j -0.00468553-0.000332482j 0.0107865-0.0150377j -0.0125448-0.00593138j -0.0061655-0.0121425j 0.0081313-0.000600133j -0.00321818+0.000367659j -0.00831734+0.00142176j 0.00216839+0.00975109j 0.00161528-9.67653e-05j 0.007309+0.00141033j 0.0100545-0.00941267j -0.000572833+0.00913117j 0.00858777+0.0058214j -0.000265743-0.010868j 0.00635854+0.00131205j -0.00988916-0.000791864j 
-0.00684356+0.00493233j -0.00321363+0.00591126j 0.00086919-0.00142655j 0.00140814+0.00186623j 0.00312225-0.000495252j 0.00253625-0.00287619j 0.000783463-0.003957j 0.00950104-0.0070741j -0.0027156-0.00779674j -0.0182801-0.0195683j 0.012458+0.00172246j -0.00997782-0.00232892j -0.00171158+0.00650244j 0.0016034+0.0101711j -0.0113867+0.014407j 0.00696782-0.0049081j -0.00312354-0.0019124j -0.00144875+0.0200616j -0.00419415-0.000130049j 0.00146769+0.000341863j 0.00517285-0.00144672j -0.00215301+0.00600296j -0.00555052+0.00573817j -0.00158058-0.00485767j -0.00161539+0.00312441j -0.00680422-0.00187591j -0.00591985-0.00720531j 0.00764018-0.0125131j 0.00687888-0.00496197j -0.00871824+0.00177943j -0.00132004+0.00108548j -0.00909115+0.00389932j -0.00783218-0.00192218j -0.00252896-0.00486098j 0.00473857+0.00689144j 0.00344432-0.00531979j 0.00255399+0.00465802j -0.00152241-0.00283132j 0.00361474+0.00816656j -0.00271809+0.00129563j 0.00826636-0.00132408j 0.00626243+0.00634784j 0.00254685-2.49509e-05j -0.0053698+0.00540893j -0.0031594+0.00619644j 0.00433559+0.00686415j -0.00530887+0.00438429j 0.00571829+0.00349532j -0.00512109-0.00770888j 0.00319487+0.000575257j -0.0069532+0.0110647j 0.00529306+0.00484j -0.00153771-0.00339218j 0.010297-0.00572713j 0.00130441+0.00587066j 0.00179361-0.00673692j -0.000546704+0.00496739j 0.00188809+0.00907451j -0.000189746-0.00445184j 0.000976088+0.00205594j -0.00156293+0.00245762j 0.00086541+0.00418849j 0.00200862+0.0170434j -0.00309536+0.00621159j -0.0138927+0.00549294j -0.00416581+0.00374176j 0.00107764-0.000954045j -0.00255414+0.00628617j 0.00281223+0.00612826j -0.00890555+0.000409282j -0.00884351-0.00111212j 0.0104139+0.0125272j 0.00758638+0.00213752j -0.00857822+0.0106204j -0.00811009-0.000647615j 0.000863969-0.00116016j -0.0115456-0.00616625j -0.0112288-0.000124908j -0.00187871+0.00640904j -0.00155235-0.0035562j -0.0101951-0.00504677j 0.00832309+0.0039375j -0.00137261+0.00494979j 0.00970025-0.00101461j -0.00197876-0.00127276j -0.00118817-0.00254214j 0.00602388+0.00364186j -0.000958708+0.00829356j -0.00265876-0.00605238j -0.00360869+0.0117485j -0.000541496-0.00204879j 0.00315424-0.0073693j -0.00588936+0.000373722j -0.000710351+0.00413479j 0.00118973+0.00153677j 
-0.00248649+0.00847718j 0.00139876-0.00289673j -0.00206421+0.00475365j -0.0043766-0.00410966j 0.00428156+0.000709936j 0.0047067+0.00196017j 0.00759272+0.000152877j 0.00959519-0.000865732j -0.00920594+0.0183977j 0.00753048+0.0121348j -0.00671979-0.00762353j 0.00800486-0.00798479j 0.00385573-0.0124849j 0.000953549-0.00160727j 0.0164103-0.00727531j -0.00398426+0.0020792j -0.00276376+0.0123792j 0.00352236-0.0179347j -0.00926268-0.00507604j -0.00314995-0.00574231j 0.016783-0.00878086j 0.00468957+0.00547561j 0.000560383-0.00418568j 0.0100628+0.00118796j -0.0100003+0.00469982j -0.0130829+0.00147056j -0.00835928+0.0113426j 0.0102287-0.000229734j 0.000735246-0.00620125j -0.00746843-0.00800381j -0.00306183+0.0010866j 0.000667401+0.00358298j -0.0051089+0.00118223j 0.000707253+0.00340265j 0.00521204+0.00165151j -0.00152561-0.00776457j 0.0100187+0.00778971j 0.00459563+0.00358773j 0.017316+0.033757j -0.00524305+0.00940516j -0.00737553-0.00957325j -0.00170864+0.00128021j 0.00167103-0.00799651j 0.00575501-0.00447148j -0.00123761-0.0191955j -0.0147391+0.011447j 0.00813155+0.0212361j 0.0104056-0.00490281j -0.00705511+0.0012296j -0.00454662+0.00267463j 0.00241092+0.0167629j 0.0044765-0.00226648j 0.00937936+0.0014687j -0.00677837-0.00747833j 0.0183568-0.00307076j 0.0191905+0.00663667j -0.000501401+0.00363959j 0.00481091-0.00418783j -0.0103293-0.00279111j -0.00807323-0.00764302j -0.00654572+0.0271085j 0.00316987-0.0237386j -0.00257115-0.0107177j 0.00534639+0.00326272j -0.00358632-0.00120053j 0.00633242+0.00279674j -0.0118496+8.64581e-05j 0.0036551-0.000248823j 0.016653+0.000959834j -0.0194038+0.00723462j -0.00474122-0.00774734j -0.0212856-0.00497016j 0.00667507-0.00368251j -0.00713766+0.00890208j 0.0176591+0.000631722j 0.00470385+0.000461012j 0.00768208+0.00753078j 0.00128971-0.00505944j -0.000385675-0.00693188j -0.00967261+0.000558504j 0.0120155-0.00305222j -0.00245483-0.00144357j -0.00112214+0.00848976j -0.00245689+0.000808591j 0.00737755-0.00696505j -0.00249041+0.00280511j 0.013407-0.00907446j -0.000122181-0.00235169j -0.00264489-0.00172549j -0.0024598-0.000163581j 0.00127881+0.00661993j -0.00109504+0.0121948j -0.00475119+0.00438364j 4.69497e-05-0.000716937j 0.00203564-0.00493634j 
