-0.11371+9.81583e-13j -0.0400016+2.16199e-13j -0.166559-1.84984e-15j 0.0958549+1.93537e-15j 0.0877726-3.8756e-16j 0.183694+1.96382e-14j 0.10159+3.09905e-15j 0.0581754-9.83115e-16j 0.0533614+4.49697e-16j 0.180864-4.91231e-15j -0.159273+3.72832e-15j -0.148764-9.31962e-16j -0.0660818+3.78731e-16j 0.015846+8.37204e-16j 0.0639748-9.1599e-15j -0.202566+3.16896e-14j -0.0790305-2.26982e-14j -0.0692294-5.64741e-14j -0.202159-3.40182e-14j -0.0542536+1.11519e-14j 0.125531+3.27595e-14j -0.120792-2.69603e-14j -0.206096+5.80774e-15j 0.097021-1.1332e-13j -0.0213004+9.11755e-15j -0.0994035+8.61781e-14j -0.0445649+2.98516e-15j 0.210523-4.09513e-14j 0.116544-4.16562e-14j -0.0514376+3.12478e-15j -0.0915169+4.97751e-15j -0.045047+1.32353e-14j -0.0232603+2.50883e-14j 0.0341073-1.01343e-13j -0.177252-3.27462e-15j -0.110614-1.91636e-14j -0.0584187+1.55572e-14j 0.117461+3.57579e-14j 0.221476-2.93594e-14j 0.100599-2.49464e-14j 0.0372094-2.35212e-14j -0.123328+1.60552e-14j 0.159272+3.89788e-15j 0.0495772-2.71523e-14j 0.0134457-9.02039e-15j -0.00341901+9.40616e-15j -0.0601218-8.31582e-16j 0.0818393-2.37263e-14j -0.176214-1.70561e-15j -0.0582859+2.32011e-14j 0.143934-3.38173e-14j -0.105788-6.18347e-14j 0.0294212+8.65733e-15j 0.108307-9.10233e-15j 0.164021+1.97094e-15j 0.0425026+4.27384e-15j 0.136583+1.51683e-14j -0.0226944+1.26519e-15j 0.19533-3.67783e-14j 0.0484739+7.81274e-14j -0.0326991+1.49498e-14j -0.144392-1.96644e-15j -0.0779243+8.941e-16j -0.0474371-2.1462e-15j 0.0804828+1.40537e-15j 0.132912-3.31009e-15j 0.146576+1.24225e-15j -0.15417-2.21156e-14j -0.0465075+3.52955e-15j -0.0560814+5.49442e-16j -0.0946577+3.97575e-15j -0.169037+1.23877e-14j -0.0802742-2.32785e-15j 0.0906984-2.12001e-15j 0.156161-2.05027e-15j -0.0386313-1.94093e-13j 0.109046+8.65814e-13j 
-0.000213937+1.84678e-15j -7.52601e-05+4.06763e-16j -0.000313369-3.48035e-18j 0.000180344+3.64126e-18j 0.000165138-7.29167e-19j 0.000345608+3.69478e-17j 0.000191134+5.83064e-18j 0.000109453-1.84966e-18j 0.000100396+8.46074e-19j 0.000340283-9.24218e-18j -0.000299662+7.01457e-18j -0.000279888-1.75342e-18j -0.000124328+7.12557e-19j 2.98131e-05+1.57514e-18j 0.000120364-1.72337e-17j -0.000381114+5.96218e-17j -0.00014869-4.27052e-17j -0.00013025-1.06252e-16j -0.000380347-6.40028e-17j -0.000102074+2.09815e-17j 0.000236178+6.16347e-17j -0.000227261-5.0724e-17j -0.000387755+1.09269e-17j 0.000182538-2.13204e-16j -4.00753e-05+1.7154e-17j -0.000187021+1.62138e-16j -8.38458e-05+5.61636e-18j 0.000396083-7.7047e-17j 0.000219269-7.83732e-17j -9.67762e-05+5.87906e-18j -0.000172183+9.36483e-18j -8.47527e-05+2.49013e-17j -4.37626e-05+4.7202e-17j 6.41706e-05-1.9067e-16j -0.000333488-6.16097e-18j -0.000208113-3.60549e-17j -0.000109911+2.92697e-17j 0.000220995+6.72761e-17j 0.000416691-5.52377e-17j 0.000189271-4.69349e-17j 7.00069e-05-4.42534e-17j -0.000232032+3.02067e-17j 0.000299659+7.33359e-18j 9.32761e-05-5.10852e-17j 2.52971e-05-1.69712e-17j -6.43263e-06+1.7697e-17j -0.000113115-1.56456e-18j 0.000153975-4.46393e-17j -0.000331535-3.20899e-18j -0.000109661+4.36512e-17j 0.000270802-6.36248e-17j -0.000199033-1.16338e-16j 5.53539e-05+1.62882e-17j 0.000203773-1.71254e-17j 0.000308595+3.70819e-18j 7.99656e-05+8.04093e-18j 0.000256971+2.85381e-17j -4.2698e-05+2.38037e-18j 0.0003675-6.91958e-17j 9.12002e-05+1.46991e-16j -6.15211e-05+2.8127e-17j -0.000271664-3.69972e-18j -0.000146609+1.68219e-18j -8.92495e-05-4.03792e-18j 0.000151423+2.64411e-18j 0.000250064-6.2277e-18j 0.000275772+2.33721e-18j -0.000290061-4.1609e-17j -8.75006e-05+6.64061e-18j -0.000105513+1.03374e-18j -0.000178092+7.48009e-18j -0.000318031+2.33066e-17j -0.00015103-4.37969e-18j 0.000170643-3.98865e-18j 0.000293806-3.85745e-18j -7.26822e-05-3.65172e-16j 0.000205163+1.62897e-15j 
-0.000182841+1.57836e-15j -6.43213e-05+3.47641e-16j -0.000267822-2.97449e-18j 0.000154132+3.11201e-18j 0.000141136-6.23185e-19j 0.000295375+3.15776e-17j 0.000163353+4.98317e-18j 9.35442e-05-1.58082e-18j 8.58035e-05+7.23099e-19j 0.000290823-7.89885e-18j -0.000256107+5.99502e-18j -0.000239207-1.49857e-18j -0.000106258+6.08988e-19j 2.54798e-05+1.3462e-18j 0.000102869-1.47288e-17j -0.00032572+5.09559e-17j -0.000127079-3.64981e-17j -0.000111319-9.08086e-17j -0.000325065-5.47002e-17j -8.72381e-05+1.79319e-17j 0.00020185+5.26763e-17j -0.000194229-4.33514e-17j -0.000331395+9.33867e-18j 0.000156007-1.82215e-16j -3.42504e-05+1.46607e-17j -0.000159838+1.38572e-16j -7.1659e-05+4.80004e-18j 0.000338514-6.58485e-17j 0.000187399-6.69818e-17j -8.271e-05+5.02455e-18j -0.000147156+8.00367e-18j -7.24341e-05+2.12819e-17j -3.74018e-05+4.03413e-17j 5.48435e-05-1.62957e-16j -0.000285016-5.26549e-18j -0.000177864-3.08144e-17j -9.39354e-05+2.50155e-17j 0.000188874+5.74977e-17j 0.000356126-4.72091e-17j 0.000161761-4.0113e-17j 5.98316e-05-3.78213e-17j -0.000198307+2.58162e-17j 0.000256104+6.26767e-18j 7.97186e-05-4.36601e-17j 2.16202e-05-1.45045e-17j -5.49766e-06+1.51248e-17j -9.66739e-05-1.33716e-18j 0.000131595-3.81511e-17j -0.000283347-2.74257e-18j -9.37219e-05+3.73066e-17j 0.000231441-5.43771e-17j -0.000170104-9.94283e-17j 4.73084e-05+1.39207e-17j 0.000174155-1.46363e-17j 0.000263741+3.16922e-18j 6.83428e-05+6.8722e-18j 0.000219621+2.43902e-17j -3.6492e-05+2.03439e-18j 0.000314085-5.91384e-17j 7.79445e-05+1.25626e-16j -5.25792e-05+2.40388e-17j -0.000232178-3.16197e-18j -0.0001253+1.43768e-18j -7.62773e-05-3.45102e-18j 0.000129414+2.25979e-18j 0.000213718-5.32252e-18j 0.000235689+1.9975e-18j -0.000247901-3.55613e-17j -7.47826e-05+5.67541e-18j -9.01771e-05+8.83486e-19j -0.000152207+6.39288e-18j -0.000271806+1.99191e-17j -0.000129078-3.74312e-18j 0.00014584-3.40891e-18j 0.000251102-3.29678e-18j -6.2118e-05-3.12096e-16j 0.000175343+1.3922e-15j 
5.99063e-06-5.17133e-17j 2.10742e-06-1.13901e-17j 8.77492e-06+9.74562e-20j -5.04998e-06-1.01962e-19j -4.62417e-06+2.04181e-20j -9.67768e-06-1.03461e-18j -5.35212e-06-1.63269e-19j -3.06489e-06+5.1794e-20j -2.81127e-06-2.36916e-20j -9.52855e-06+2.58798e-19j 8.39109e-06-1.96421e-19j 7.83739e-06+4.90991e-20j 3.48143e-06-1.99529e-20j -8.34823e-07-4.41069e-20j -3.37042e-06+4.82576e-19j 1.06719e-05-1.66952e-18j 4.16361e-06+1.19582e-18j 3.64725e-06+2.97526e-18j 1.06504e-05+1.7922e-18j 2.85827e-06-5.87521e-19j -6.61344e-06-1.72589e-18j 6.36373e-06+1.42037e-18j 1.08579e-05-3.05973e-19j -5.11141e-06+5.97011e-18j 1.12218e-06-4.80345e-19j 5.23693e-06-4.54017e-18j 2.34784e-06-1.57269e-19j -1.10911e-05+2.15746e-18j -6.13994e-06+2.1946e-18j 2.70991e-06-1.64625e-19j 4.82144e-06-2.62233e-19j 2.37323e-06-6.97282e-19j 1.22543e-06-1.32174e-18j -1.7969e-06+5.33912e-18j 9.33829e-06+1.72519e-19j 5.82754e-06+1.0096e-18j 3.0777e-06-8.19608e-19j -6.18827e-06-1.88386e-18j -1.16681e-05+1.54676e-18j -5.29994e-06+1.31427e-18j -1.96033e-06+1.23918e-18j 6.49734e-06-8.45844e-19j -8.39101e-06-2.05354e-19j -2.6119e-06+1.43048e-18j -7.08366e-07+4.75226e-19j 1.80126e-07-4.9555e-19j 3.16743e-06+4.38107e-20j -4.31159e-06+1.24998e-18j 9.28359e-06+8.98578e-20j 3.07071e-06-1.22232e-18j -7.58295e-06+1.78161e-18j 5.57329e-06+3.25767e-18j -1.55001e-06-4.56099e-19j -5.70602e-06+4.79543e-19j -8.64124e-06-1.03836e-19j -2.23919e-06-2.25161e-19j -7.19566e-06-7.99121e-19j 1.19562e-06-6.66547e-20j -1.02907e-05+1.93761e-18j -2.55378e-06-4.11603e-18j 1.72271e-06-7.8761e-19j 7.60709e-06+1.03599e-19j 4.10533e-06-4.71044e-20j 2.49915e-06+1.13069e-19j -4.24012e-06-7.40399e-20j -7.00225e-06+1.74387e-19j -7.72213e-06-6.54463e-20j 8.12225e-06+1.16513e-18j 2.45018e-06-1.85949e-19j 2.95457e-06-2.89466e-20j 4.9869e-06-2.09456e-19j 8.90546e-06-6.5263e-19j 4.22913e-06+1.2264e-19j -4.77831e-06+1.1169e-19j -8.22711e-06+1.08016e-19j 2.03524e-06+1.02255e-17j -5.74496e-06-4.56142e-17j 
-2.39013e-05+2.06325e-16j -8.40816e-06+4.5444e-17j -3.501e-05-3.88829e-19j 2.01483e-05+4.06806e-19j 1.84494e-05-8.14635e-20j 3.86118e-05+4.12786e-18j 2.13537e-05+6.51406e-19j 1.22282e-05-2.06646e-19j 1.12163e-05+9.45244e-20j 3.80168e-05-1.03255e-18j -3.34786e-05+7.83677e-19j -3.12694e-05-1.95894e-19j -1.38901e-05+7.96077e-20j 3.33076e-06+1.75977e-19j 1.34472e-05-1.92537e-18j -4.25785e-05+6.66102e-18j -1.66119e-05-4.77107e-18j -1.45517e-05-1.18706e-17j -4.24929e-05-7.15048e-18j -1.14039e-05+2.34408e-18j 2.63861e-05+6.88591e-18j -2.53899e-05-5.66695e-18j -4.33204e-05+1.22076e-18j 2.03934e-05-2.38194e-17j -4.47726e-06+1.91647e-18j -2.08942e-05+1.81143e-17j -9.36736e-06+6.27467e-19j 4.42509e-05-8.60779e-18j 2.4497e-05-8.75595e-18j -1.0812e-05+6.56816e-19j -1.92365e-05+1.04625e-18j -9.46868e-06+2.782e-18j -4.88921e-06+5.27346e-18j 7.16921e-06-2.13019e-17j -3.72577e-05-6.88311e-19j -2.32506e-05-4.0281e-18j -1.22794e-05+3.27005e-18j 2.46898e-05+7.51617e-18j 4.65533e-05-6.17123e-18j 2.11456e-05-5.24363e-18j 7.82126e-06-4.94405e-18j -2.5923e-05+3.37473e-18j 3.34783e-05+8.19318e-19j 1.04209e-05-5.7073e-18j 2.82622e-06-1.89605e-18j -7.18661e-07+1.97713e-18j -1.26373e-05-1.74795e-19j 1.72023e-05-4.98716e-18j -3.70395e-05-3.58513e-19j -1.22514e-05+4.87677e-18j 3.02543e-05-7.10824e-18j -2.22362e-05-1.29974e-17j 6.18421e-06+1.81973e-18j 2.27657e-05-1.91327e-18j 3.44766e-05+4.14284e-19j 8.93386e-06+8.98343e-19j 2.87091e-05+3.18831e-18j -4.77027e-06+2.65937e-19j 4.10576e-05-7.73064e-18j 1.0189e-05+1.6422e-17j -6.87322e-06+3.14239e-18j -3.03506e-05-4.13337e-19j -1.63793e-05+1.87936e-19j -9.97106e-06-4.51122e-19j 1.69171e-05+2.95403e-19j 2.79374e-05-6.95767e-19j 3.08096e-05+2.61116e-19j -3.2406e-05-4.64861e-18j -9.77567e-06+7.41897e-19j -1.17881e-05+1.1549e-19j -1.98966e-05+8.35685e-19j -3.55308e-05+2.60385e-18j -1.68733e-05-4.89305e-19j 1.90644e-05-4.45617e-19j 3.28243e-05-4.30959e-19j -8.12014e-06-4.07975e-17j 2.29211e-05+1.8199e-16j 
-2.79915e-05+2.41633e-16j -9.84703e-06+5.32208e-17j -4.10012e-05-4.55368e-19j 2.35962e-05+4.76422e-19j 2.16066e-05-9.54042e-20j 4.52194e-05+4.83425e-18j 2.5008e-05+7.62881e-19j 1.43208e-05-2.4201e-19j 1.31358e-05+1.107e-19j 4.45225e-05-1.20925e-18j -3.92077e-05+9.17787e-19j -3.66205e-05-2.29417e-19j -1.62671e-05+9.32309e-20j 3.90075e-06+2.06091e-19j 1.57484e-05-2.25486e-18j -4.98649e-05+7.80091e-18j -1.94546e-05-5.58754e-18j -1.70419e-05-1.3902e-17j -4.97646e-05-8.37413e-18j -1.33554e-05+2.74522e-18j 3.09016e-05+8.06428e-18j -2.97348e-05-6.63673e-18j -5.07338e-05+1.42967e-18j 2.38833e-05-2.78956e-17j -5.24345e-06+2.24443e-18j -2.44698e-05+2.12141e-17j -1.09704e-05+7.34845e-19j 5.18235e-05-1.00808e-17j 2.86891e-05-1.02543e-17j -1.26622e-05+7.69216e-19j -2.25284e-05+1.22529e-18j -1.1089e-05+3.25808e-18j -5.72589e-06+6.1759e-18j 8.39607e-06-2.49473e-17j -4.36336e-05-8.06101e-19j -2.72294e-05-4.71742e-18j -1.43807e-05+3.82965e-18j 2.8915e-05+8.8024e-18j 5.45199e-05-7.2273e-18j 2.47642e-05-6.14096e-18j 9.15971e-06-5.79012e-18j -3.03591e-05+3.95224e-18j 3.92074e-05+9.59526e-19j 1.22042e-05-6.68398e-18j 3.30987e-06-2.22051e-18j -8.41645e-07+2.31548e-18j -1.47999e-05-2.04707e-19j 2.01461e-05-5.84061e-18j -4.3378e-05-4.19865e-19j -1.4348e-05+5.71132e-18j 3.54317e-05-8.32467e-18j -2.60414e-05-1.52216e-17j 7.2425e-06+2.13114e-18j 2.66616e-05-2.24069e-18j 4.03765e-05+4.8518e-19j 1.04627e-05+1.05208e-18j 3.3622e-05+3.73392e-18j -5.5866e-06+3.11447e-19j 4.80837e-05-9.05358e-18j 1.19326e-05+1.92323e-17j -8.04942e-06+3.68014e-18j -3.55444e-05-4.84071e-19j -1.91823e-05+2.20097e-19j -1.16774e-05-5.28321e-19j 1.98121e-05+3.45955e-19j 3.27183e-05-8.14832e-19j 3.6082e-05+3.05801e-19j -3.79516e-05-5.44412e-18j -1.14486e-05+8.68857e-19j -1.38053e-05+1.35254e-19j -2.33015e-05+9.78694e-19j -4.16111e-05+3.04944e-18j -1.97608e-05-5.73039e-19j 2.23269e-05-5.21875e-19j 3.84415e-05-5.04708e-19j -9.50973e-06-4.77791e-17j 2.68436e-05+2.13134e-16j 
-5.01892e-05+4.33252e-16j -1.76559e-05+9.54259e-17j -7.3516e-05-8.16484e-19j 4.23085e-05+8.54234e-19j 3.87411e-05-1.71062e-19j 8.10792e-05+8.66791e-18j 4.48398e-05+1.36786e-18j 2.56775e-05-4.33928e-19j 2.35527e-05+1.98488e-19j 7.98298e-05-2.1682e-18j -7.03002e-05+1.64561e-18j -6.56614e-05-4.1135e-19j -2.91673e-05+1.67165e-19j 6.99411e-06+3.69526e-19j 2.82372e-05-4.043e-18j -8.94088e-05+1.39872e-17j -3.48825e-05-1.00186e-17j -3.05565e-05-2.49266e-17j -8.92289e-05-1.5015e-17j -2.39465e-05+4.92223e-18j 5.54071e-05+1.44594e-17j -5.33151e-05-1.18998e-17j -9.09667e-05+2.56343e-18j 4.28232e-05-5.00174e-17j -9.4016e-06+4.02431e-18j -4.38748e-05+3.80374e-17j -1.96701e-05+1.31759e-18j 9.29206e-05-1.80751e-17j 5.14402e-05-1.83862e-17j -2.27036e-05+1.37922e-18j -4.03938e-05+2.19698e-18j -1.98829e-05+5.8418e-18j -1.02666e-05+1.10735e-17j 1.50543e-05-4.47309e-17j -7.82358e-05-1.44536e-18j -4.88229e-05-8.45843e-18j -2.57849e-05+6.86664e-18j 5.18451e-05+1.57829e-17j 9.77552e-05-1.29587e-17j 4.44027e-05-1.10109e-17j 1.64235e-05-1.03818e-17j -5.44345e-05+7.08645e-18j 7.02996e-05+1.72045e-18j 2.18824e-05-1.19845e-17j 5.93466e-06-3.98143e-18j -1.50909e-06+4.1517e-18j -2.65366e-05-3.67044e-19j 3.61223e-05-1.04723e-17j -7.77775e-05-7.52825e-19j -2.57263e-05+1.02405e-17j 6.35297e-05-1.49263e-17j -4.66928e-05-2.72927e-17j 1.29859e-05+3.82118e-18j 4.78048e-05-4.01759e-18j 7.23959e-05+8.69936e-19j 1.87598e-05+1.88639e-18j 6.0285e-05+6.695e-18j -1.00169e-05+5.58431e-19j 8.6215e-05-1.62332e-17j 2.13954e-05+3.44839e-17j -1.44328e-05+6.59856e-18j -6.37319e-05-8.67948e-19j -3.43943e-05+3.94639e-19j -2.09378e-05-9.47291e-19j 3.55236e-05+6.20304e-19j 5.86646e-05-1.46101e-18j 6.46957e-05+5.48307e-19j -6.80479e-05-9.76142e-18j -2.05275e-05+1.55788e-18j -2.47533e-05+2.42513e-19j -4.17801e-05+1.75482e-18j -7.46096e-05+5.46771e-18j -3.54315e-05-1.02747e-18j 4.00325e-05-9.35732e-19j 6.89264e-05-9.04952e-19j -1.70511e-05-8.56689e-17j 4.8131e-05+3.82154e-16j 
-6.8144e-05+5.88244e-16j -2.39722e-05+1.29564e-16j -9.98156e-05-1.10857e-18j 5.7444e-05+1.15983e-18j 5.26004e-05-2.32257e-19j 0.000110085+1.17688e-17j 6.08808e-05+1.8572e-18j 3.48634e-05-5.89162e-19j 3.19785e-05+2.69495e-19j 0.000108388-2.94386e-18j -9.54495e-05+2.23431e-18j -8.91511e-05-5.58507e-19j -3.96016e-05+2.26966e-19j 9.49619e-06+5.0172e-19j 3.83389e-05-5.48935e-18j -0.000121394+1.8991e-17j -4.73614e-05-1.36026e-17j -4.14878e-05-3.38438e-17j -0.00012115-2.03864e-17j -3.25131e-05+6.68311e-18j 7.52285e-05+1.96321e-17j -7.2388e-05-1.61568e-17j -0.000123509+3.48047e-18j 5.81428e-05-6.79106e-17j -1.27649e-05+5.46397e-18j -5.95706e-05+5.16449e-17j -2.67069e-05+1.78895e-18j 0.000126162-2.45413e-17j 6.98424e-05-2.49637e-17j -3.08255e-05+1.87262e-18j -5.48443e-05+2.98292e-18j -2.69958e-05+7.93165e-18j -1.39394e-05+1.5035e-17j 2.04399e-05-6.0733e-17j -0.000106224-1.96242e-18j -6.62888e-05-1.14844e-17j -3.50092e-05+9.32312e-18j 7.03922e-05+2.1429e-17j 0.000132726-1.75945e-17j 6.02873e-05-1.49499e-17j 2.22989e-05-1.40958e-17j -7.39079e-05+9.62156e-18j 9.54486e-05+2.33592e-18j 2.97107e-05-1.62719e-17j 8.05773e-06-5.40574e-18j -2.04895e-06+5.63693e-18j -3.60298e-05-4.98351e-19j 4.90447e-05-1.42187e-17j -0.000105602-1.02214e-18j -3.49296e-05+1.3904e-17j 8.62568e-05-2.0266e-17j -6.33967e-05-3.70564e-17j 1.76315e-05+5.18817e-18j 6.49065e-05-5.45485e-18j 9.82949e-05+1.18115e-18j 2.5471e-05+2.56123e-18j 8.18514e-05+9.09007e-18j -1.36003e-05+7.58204e-19j 0.000117058-2.20405e-17j 2.90494e-05+4.68202e-17j -1.9596e-05+8.95914e-18j -8.65314e-05-1.17845e-18j -4.66985e-05+5.35817e-19j -2.84281e-05-1.28617e-18j 4.82318e-05+8.42211e-19j 7.96513e-05-1.98367e-18j 8.784e-05+7.44458e-19j -9.23914e-05-1.32535e-17j -2.7871e-05+2.11519e-18j -3.36085e-05+3.2927e-19j -5.67265e-05+2.38259e-18j -0.0001013+7.42373e-18j -4.81068e-05-1.39504e-18j 5.43538e-05-1.27048e-18j 9.35841e-05-1.22869e-18j -2.3151e-05-1.16316e-16j 6.53495e-05+5.18866e-16j 
-2.29184e-05+1.9784e-16j -8.0624e-06+4.35753e-17j -3.35703e-05-3.7284e-19j 1.93198e-05+3.90077e-19j 1.76908e-05-7.81136e-20j 3.7024e-05+3.95812e-18j 2.04757e-05+6.2462e-19j 1.17254e-05-1.98149e-19j 1.07551e-05+9.06375e-20j 3.64535e-05-9.90088e-19j -3.21019e-05+7.51451e-19j -2.99836e-05-1.87839e-19j -1.33189e-05+7.63342e-20j 3.19379e-06+1.6874e-19j 1.28943e-05-1.8462e-18j -4.08277e-05+6.38711e-18j -1.59288e-05-4.57488e-18j -1.39533e-05-1.13825e-17j -4.07455e-05-6.85644e-18j -1.09349e-05+2.24769e-18j 2.53011e-05+6.60275e-18j -2.43458e-05-5.43392e-18j -4.1539e-05+1.17056e-18j 1.95548e-05-2.28399e-17j -4.29315e-06+1.83766e-18j -2.0035e-05+1.73694e-17j -8.98216e-06+6.01665e-19j 4.24313e-05-8.25383e-18j 2.34897e-05-8.39589e-18j -1.03674e-05+6.29807e-19j -1.84454e-05+1.00323e-18j -9.07931e-06+2.6676e-18j -4.68816e-06+5.05661e-18j 6.87441e-06-2.04259e-17j -3.57256e-05-6.60007e-19j -2.22945e-05-3.86246e-18j -1.17744e-05+3.13558e-18j 2.36746e-05+7.20709e-18j 4.46389e-05-5.91746e-18j 2.0276e-05-5.028e-18j 7.49964e-06-4.74074e-18j -2.4857e-05+3.23596e-18j 3.21016e-05+7.85626e-19j 9.9924e-06-5.47261e-18j 2.71e-06-1.81808e-18j -6.89109e-07+1.89583e-18j -1.21177e-05-1.67607e-19j 1.64949e-05-4.78208e-18j -3.55164e-05-3.4377e-19j -1.17476e-05+4.67623e-18j 2.90102e-05-6.81595e-18j -2.13218e-05-1.24629e-17j 5.92991e-06+1.7449e-18j 2.18296e-05-1.8346e-18j 3.30589e-05+3.97248e-19j 8.56649e-06+8.61402e-19j 2.75285e-05+3.05721e-18j -4.57411e-06+2.55002e-19j 3.93692e-05-7.41275e-18j 9.77001e-06+1.57468e-17j -6.59059e-06+3.01317e-18j -2.91025e-05-3.9634e-19j -1.57058e-05+1.80208e-19j -9.56104e-06-4.32571e-19j 1.62215e-05+2.83256e-19j 2.67886e-05-6.67156e-19j 2.95427e-05+2.50379e-19j -3.10734e-05-4.45746e-18j -9.37369e-06+7.11389e-19j -1.13033e-05+1.10741e-19j -1.90785e-05+8.0132e-19j -3.40697e-05+2.49677e-18j -1.61795e-05-4.69184e-19j 1.82805e-05-4.27293e-19j 3.14746e-05-4.13237e-19j -7.78623e-06-3.91199e-17j 2.19786e-05+1.74507e-16j 
-0.000148857+1.28499e-15j -5.2366e-05+2.83026e-16j -0.000218042-2.42163e-18j 0.000125484+2.53359e-18j 0.000114903-5.07355e-19j 0.000240474+2.57083e-17j 0.000132991+4.05696e-18j 7.61574e-05-1.287e-18j 6.98554e-05+5.88698e-19j 0.000236769-6.43071e-18j -0.000208505+4.88074e-18j -0.000194746-1.22003e-18j -8.65077e-05+4.95797e-19j 2.0744e-05+1.09598e-18j 8.37494e-05-1.19912e-17j -0.000265179+4.14849e-17j -0.000103459-2.97143e-17j -9.06282e-05-7.39302e-17j -0.000264646-4.45332e-17j -7.10233e-05+1.45989e-17j 0.000164333+4.28855e-17j -0.000158128-3.52938e-17j -0.0002698+7.60291e-18j 0.00012701-1.48347e-16j -2.78844e-05+1.19358e-17j -0.000130129+1.12816e-16j -5.83399e-05+3.90787e-18j 0.000275595-5.36094e-17j 0.000152567-5.45321e-17j -6.73369e-05+4.09065e-18j -0.000119805+6.51605e-18j -5.89709e-05+1.73263e-17j -3.045e-05+3.28431e-17j 4.46499e-05-1.32668e-16j -0.000232041-4.28681e-18j -0.000144805-2.5087e-17j -7.64759e-05+2.03659e-17j 0.000153768+4.68107e-17j 0.000289934-3.84344e-17j 0.000131695-3.26573e-17j 4.87109e-05-3.07916e-17j -0.000161448+2.10178e-17j 0.000208503+5.10271e-18j 6.49015e-05-3.55451e-17j 1.76017e-05-1.18086e-17j -4.47582e-06+1.23136e-17j -7.87054e-05-1.08862e-18j 0.000107136-3.10601e-17j -0.000230682-2.23282e-18j -7.6302e-05+3.03725e-17j 0.000188424-4.42702e-17j -0.000138487-8.09478e-17j 3.85153e-05+1.13333e-17j 0.000141785-1.19159e-17j 0.00021472+2.58016e-18j 5.56401e-05+5.59488e-18j 0.0001788+1.98568e-17j -2.97093e-05+1.65626e-18j 0.000255707-4.81465e-17j 6.34571e-05+1.02277e-16j -4.28064e-05+1.95708e-17j -0.000189024-2.57426e-18j -0.000102011+1.17047e-18j -6.20998e-05-2.80959e-18j 0.00010536+1.83977e-18j 0.000173994-4.33324e-18j 0.000191882+1.62623e-18j -0.000201825-2.89516e-17j -6.08829e-05+4.62054e-18j -7.34161e-05+7.19274e-19j -0.000123916+5.20465e-18j -0.000221286+1.62168e-17j -0.000105087-3.04739e-18j 0.000118733-2.7753e-18j 0.00020443-2.68401e-18j -5.05723e-05-2.54087e-16j 0.000142753+1.13344e-15j 
0.000115644-9.98278e-16j 4.06819e-05-2.19876e-16j 0.000169392+1.8813e-18j -9.74852e-05-1.96828e-18j -8.92654e-05+3.94152e-19j -0.000186819-1.99722e-17j -0.000103318-3.15175e-18j -5.91648e-05+9.99835e-19j -5.4269e-05-4.57345e-19j -0.00018394+4.99586e-18j 0.000161982-3.79173e-18j 0.000151294+9.47812e-19j 6.72057e-05-3.85173e-19j -1.61155e-05-8.51442e-19j -6.50629e-05+9.31569e-18j 0.000206011-3.22286e-17j 8.03746e-05+2.30843e-17j 7.04068e-05+5.74346e-17j 0.000205597+3.45968e-17j 5.51763e-05-1.13415e-17j -0.000127666-3.33167e-17j 0.000122846+2.74189e-17j 0.000209601-5.90652e-18j -9.86711e-05+1.15247e-16j 2.16627e-05-9.27261e-18j 0.000101094-8.76438e-17j 4.53229e-05-3.03593e-18j -0.000214103+4.16478e-17j -0.000118526+4.23646e-17j 5.23124e-05-3.17793e-18j 9.30734e-05-5.06216e-18j 4.58131e-05-1.34604e-17j 2.36559e-05-2.5515e-17j -3.46874e-05+1.03067e-16j 0.000180267+3.33031e-18j 0.000112495+1.94895e-17j 5.94122e-05-1.58218e-17j -0.000119459-3.63661e-17j -0.000225243+2.98588e-17j -0.00010231+2.53707e-17j -3.78423e-05+2.39212e-17j 0.000125425-1.63282e-17j -0.000161981-3.96417e-18j -5.04204e-05+2.76141e-17j -1.36743e-05+9.1738e-18j 3.47716e-06-9.56613e-18j 6.11443e-05+8.45725e-19j -8.32312e-05+2.41298e-17j 0.000179211+1.73462e-18j 5.92772e-05-2.35957e-17j -0.000146382+3.43924e-17j 0.000107587+6.28864e-17j -2.99216e-05-8.80457e-18j -0.000110149+9.25714e-18j -0.000166811-2.00446e-18j -4.32254e-05-4.34653e-18j -0.000138906-1.54263e-17j 2.30804e-05-1.28671e-18j -0.000198652+3.74038e-17j -4.92983e-05-7.94562e-17j 3.32553e-05-1.52041e-17j 0.000146848+1.99988e-18j 7.92496e-05-9.09306e-19j 4.82438e-05+2.1827e-18j -8.18516e-05-1.42927e-18j -0.000135172+3.36639e-18j -0.000149069-1.26338e-18j 0.000156793+2.24918e-17j 4.72985e-05-3.58958e-18j 5.70352e-05-5.58787e-19j 9.62676e-05-4.04336e-18j 0.000171912-1.25984e-17j 8.16395e-05+2.36744e-18j -9.22409e-05+2.15607e-18j -0.000158817+2.08514e-18j 3.92884e-05+1.97394e-16j -0.000110901-8.8054e-16j 
