-0.0415727-0j -0.00600051-0j -0.0341882-0j -0.00604367-0j -0.00050364-0j -0.0208702-0j -0.0210865-0j -0.00347837-0j -0.00213006-0j -0.00351442-0j -0.00215213-0j -0.000434797-0j -0.000439302-0j -2.56206e-05-0j -2.58861e-05-0j -0.0151937-0j -0.0188012-0j -0.0109674-0j -0.00245187-0j -0.00200194-0j -0.00303403-0j -0.000288955-0j -0.00176985-0j -0.00247727-0j -0.000250243-0j -0.00144508-0j -0.000357564-0j -2.94914e-05-0j -0.000309659-0j -0.000208579-0j -1.34609e-06-0j -0.000180635-0j -3.64937e-05-0j -1.6657e-06-0j -2.1288e-05-0j -9.71659e-07-0j -0.011974-0j -0.0139696-0j -0.00855461-0j -0.00189325-0j -0.0122234-0j -0.0050419-0j -0.00149675-0j -0.00220879-0j -0.00099783-0j -0.000216037-0j -0.0013526-0j -0.00193269-0j -0.0017462-0j -0.000249458-0j -0.000797195-0j -0.00116414-0j -0.00106933-0j -8.81966e-05-0j -0.000252043-0j -2.07881e-05-0j -0.000712884-0j -0.000154344-0j -0.00152793-0j -2.20491e-05-0j -0.000291034-0j -0.00101862-0j -0.000630238-0j -0.000220537-0j -1.83743e-06-0j -0.000102896-0j -0.000178221-0j -2.42528e-05-0j -0.000420159-0j -9.0967e-05-0j -6.84769e-08-0j -6.30107e-05-0j -2.5724e-05-0j -0.000254655-0j -1.48518e-05-0j -9.0034e-05-0j -1.57527e-05-0j -2.14367e-06-0j -2.12212e-05-0j -0.00010504-0j -2.25085e-05-0j -3.71371e-05-0j -1.31272e-06-0j -7.98897e-08-0j -8.75331e-06-0j -1.87571e-06-0j -9.28428e-06-0j -4.89223e-08-0j -7.7369e-07-0j -6.99035e-08-0j -2.88337e-08-0j 
0.00553797-0j -0.0761784-0j 0.00455426-0j -0.0379607-0j -0.00962435-0j 0.00278015-0j 0.00280897-0j -0.0218479-0j 0.000283748-0j -0.0220743-0j 0.000286689-0j -0.00551989-0j -0.00557709-0j -0.000653938-0j -0.000660714-0j 0.00202397-0j 0.00250453-0j 0.00146098-0j -0.0154003-0j 0.000266681-0j -0.0190569-0j -0.00366838-0j -0.0111165-0j 0.000330001-0j -0.00157179-0j 0.000192501-0j -0.00453939-0j -0.000563568-0j -0.00194499-0j -0.00264798-0j -4.29916e-05-0j -0.00113458-0j -0.00069738-0j -5.31994e-05-0j -0.000406805-0j -3.1033e-05-0j 0.00159507-0j 0.00186091-0j 0.00113957-0j -0.0118916-0j 0.0016283-0j 0.000671639-0j 0.000199384-0j -0.0138735-0j 0.000132922-0j -0.00274266-0j -0.00849578-0j -0.0121394-0j 0.000232614-0j -0.00156686-0j -0.00500723-0j 0.000155076-0j 0.000142447-0j 1.17488e-05-0j -0.00319976-0j -0.000397253-0j 9.49644e-05-0j -0.00195945-0j 0.000203537-0j -0.000279921-0j -0.001828-0j 0.000135692-0j 8.39549e-05-0j -0.00279979-0j -4.68983e-05-0j 1.37069e-05-0j -0.00111942-0j -0.000463462-0j 5.597e-05-0j -0.00115486-0j -2.62625e-06-0j 8.39374e-06-0j -0.000326575-0j -0.0015995-0j -0.000283811-0j 1.19936e-05-0j -0.000199985-0j -5.47147e-05-0j -0.000405529-0j -0.00065976-0j -0.000285753-0j 4.94709e-06-0j -3.35058e-05-0j -3.06396e-06-0j -0.000167272-0j -4.78753e-05-0j -0.000117867-0j -1.87629e-06-0j -1.97476e-05-0j -2.68097e-06-0j -1.10584e-06-0j 
-0.00604367-0j 0.0831348-0j -8.61119e-05-0j 0.00071776-0j 0.000181977-0j -0.00303403-0j 0.00295925-0j 0.0238429-0j -0.000309659-0j -0.0232553-0j 0.000302027-0j 0.00602394-0j -0.00587547-0j 0.000713653-0j -0.000696063-0j -0.00220879-0j -4.73557e-05-0j 0.00310591-0j 0.0168066-0j -0.000291034-0j 0.000360328-0j 0.00400337-0j -0.0236327-0j -6.23966e-06-0j 0.00171532-0j 0.000409239-0j 8.58307e-05-0j 0.000615031-0j 3.67758e-05-0j -0.00562936-0j 4.69175e-05-0j -0.00241201-0j 1.3186e-05-0j 1.00589e-06-0j -0.000864831-0j -6.59733e-05-0j -0.00174073-0j -3.51861e-05-0j -0.00124363-0j 0.0129775-0j 0.00171542-0j 0.00214812-0j -0.000217591-0j 0.000262321-0j -0.00014506-0j 0.00299311-0j 0.00927159-0j -0.0127888-0j -4.39827e-06-0j 0.00170994-0j -0.0160147-0j -2.93218e-06-0j -0.000155454-0j -1.28217e-05-0j 6.05011e-05-0j 0.000433529-0j -0.000103636-0j 0.00213838-0j 0.000214427-0j 0.000305483-0j 3.45638e-05-0j 0.000142951-0j 0.000268515-0j -0.00294959-0j 5.11809e-05-0j -2.5917e-07-0j 0.00122164-0j 8.76313e-06-0j 0.00017901-0j -0.0036936-0j 2.86608e-06-0j -9.16023e-06-0j 6.17487e-06-0j -0.00168508-0j 0.000309728-0j 1.26352e-05-0j 0.000218247-0j 1.03454e-06-0j -0.000427225-0j -0.00211012-0j -0.000301041-0j 1.58224e-05-0j 3.65654e-05-0j 5.79334e-08-0j -0.00053499-0j -5.04367e-05-0j -0.000376976-0j 2.04762e-06-0j -6.3159e-05-0j -2.8244e-06-0j -3.53684e-06-0j 
-0.00468141-0j 0.0643959-0j -0.00384985-0j 0.0320893-0j 0.00813575-0j 0.00228325-0j -0.0023745-0j -0.0179429-0j 0.000233033-0j 0.01866-0j -0.000242347-0j -0.00453329-0j 0.00471448-0j -0.000537057-0j 0.000558522-0j -0.00171092-0j 0.00205689-0j -0.00123501-0j 0.0130184-0j -0.000225434-0j -0.0156508-0j 0.00310099-0j 0.00939714-0j 0.000271019-0j 0.00132868-0j -0.000162727-0j -0.00372805-0j 0.000476401-0j -0.00159735-0j 0.00223842-0j 3.63421e-05-0j 0.000959092-0j -0.000572734-0j -4.36909e-05-0j 0.000343885-0j 2.62331e-05-0j -0.00134836-0j -0.00157309-0j 0.0028351-0j 0.0100523-0j 0.00133727-0j -0.000567757-0j -0.000168545-0j 0.0117277-0j -0.000112363-0j 0.00231845-0j -0.0211363-0j -0.00996964-0j -0.000196636-0j 0.00132451-0j 0.00423276-0j -0.000131091-0j 0.000354387-0j -9.93161e-06-0j 0.00270486-0j 0.00033581-0j 0.000236258-0j -0.00487484-0j 0.000167158-0j 0.000236626-0j 0.00154526-0j 0.000111439-0j -7.09697e-05-0j -0.00229938-0j 3.96445e-05-0j -1.15869e-05-0j -0.00278496-0j 0.000391778-0j -4.73131e-05-0j 0.000976235-0j 2.22005e-06-0j 2.08825e-05-0j 0.000276063-0j -0.00131362-0j -0.000706083-0j 9.8499e-06-0j -0.000497536-0j 4.6252e-05-0j -0.000333047-0j 0.000557715-0j -0.000234679-0j -4.18193e-06-0j -8.33577e-05-0j 2.59006e-06-0j 0.0001414-0j -3.93184e-05-0j 9.96366e-05-0j -4.66794e-06-0j 1.66932e-05-0j -2.20179e-06-0j 9.34803e-07-0j 
0.00472992-0j -0.0650633-0j -0.00375496-0j 0.0312984-0j 0.00793523-0j 0.0023745-0j -0.00239767-0j -0.01866-0j 0.000242347-0j 0.0188421-0j -0.000244711-0j -0.00471448-0j 0.00476048-0j -0.000558522-0j 0.000563971-0j 0.00172865-0j -0.00206498-0j 0.00112034-0j -0.0131533-0j 0.00022777-0j 0.0157123-0j -0.00313313-0j -0.00852462-0j -0.000272084-0j -0.00134245-0j 0.000147618-0j 0.0037427-0j -0.000481338-0j 0.00160363-0j -0.00203058-0j -3.67187e-05-0j -0.000870041-0j 0.000574986-0j 4.38626e-05-0j -0.000311955-0j -2.37974e-05-0j 0.00136233-0j -0.00153431-0j 0.000973298-0j -0.0101565-0j -0.00138988-0j 0.00271125-0j 0.000170292-0j 0.0114387-0j 0.000113528-0j -0.00234248-0j -0.00725616-0j 0.0103619-0j -0.000191789-0j -0.00133824-0j -0.020213-0j -0.00012786-0j 0.000121662-0j 1.00345e-05-0j 0.00263819-0j -0.00033929-0j 8.11082e-05-0j -0.00167355-0j -0.000173735-0j -0.000239078-0j 0.00150718-0j -0.000115823-0j 0.000338906-0j 0.00238984-0j -4.00554e-05-0j -1.13013e-05-0j -0.000956084-0j 0.000382122-0j 0.000225937-0j -0.00466188-0j -2.24306e-06-0j 7.16902e-06-0j 0.000269259-0j 0.0013653-0j -0.0002424-0j -1.02374e-05-0j -0.000170806-0j 4.5112e-05-0j 0.00034615-0j -0.0026633-0j 0.000243912-0j 1.99702e-05-0j -2.86169e-05-0j 2.52622e-06-0j -0.000675238-0j 4.08653e-05-0j -0.000475801-0j -1.60252e-06-0j -7.97163e-05-0j 2.28841e-06-0j -4.46403e-06-0j 
-0.00427352-0j 0.0587852-0j -0.00351442-0j 0.0292934-0j 0.00742689-0j -0.00214538-0j -0.00216762-0j 0.0168595-0j -0.000218962-0j 0.0170342-0j -0.000221231-0j 0.00425957-0j 0.00430371-0j 0.000504629-0j 0.000509858-0j 0.00307154-0j -0.00193269-0j -0.0011274-0j -0.0233713-0j 0.000404711-0j 0.0147058-0j -0.00556708-0j 0.00857838-0j -0.000254655-0j -0.00238532-0j -0.000148549-0j 0.00350294-0j -0.000855262-0j 0.0015009-0j 0.00204338-0j -6.52434e-05-0j 0.000875527-0j 0.000538152-0j 4.10528e-05-0j 0.000313922-0j 2.39475e-05-0j 0.00365315-0j 0.00282409-0j -0.000879383-0j -0.0272351-0j -0.00125652-0j -0.000518289-0j 0.000456643-0j -0.0210543-0j 0.000304429-0j -0.00628144-0j 0.006556-0j 0.00936767-0j 0.000353012-0j -0.00358854-0j 0.00386397-0j 0.000235341-0j -0.000109923-0j 2.6908e-05-0j -0.00485591-0j -0.000909818-0j -7.32819e-05-0j 0.00151206-0j -0.000157065-0j -0.000641096-0j -0.00277414-0j -0.00010471-0j -6.47861e-05-0j 0.00216054-0j -0.00010741-0j 2.08014e-05-0j 0.000863829-0j -0.000703342-0j -4.31908e-05-0j 0.000891177-0j -6.01485e-06-0j -6.47726e-06-0j -0.000495604-0j 0.0012343-0j 0.000219011-0j -9.25516e-06-0j 0.000154324-0j -8.30341e-05-0j 0.000312938-0j 0.000509122-0j 0.000220509-0j -3.81756e-06-0j 2.58556e-05-0j -4.64982e-06-0j 0.00012908-0j 3.69443e-05-0j 9.09553e-05-0j 1.44789e-06-0j 1.52388e-05-0j 2.06884e-06-0j 8.53354e-07-0j 
0.00528822-0j -0.0727429-0j 7.53479e-05-0j -0.00062804-0j -0.00015923-0j -0.0025792-0j -0.00258934-0j 0.0202687-0j -0.000263239-0j 0.0203484-0j -0.000264274-0j 0.0051209-0j 0.00514103-0j 0.00060667-0j 0.000609055-0j 0.00193269-0j -4.02566e-05-0j -0.00271767-0j -0.0147058-0j 0.000254655-0j 0.000306311-0j -0.00350294-0j 0.0206787-0j -5.30428e-06-0j -0.0015009-0j -0.000358084-0j 7.29639e-05-0j -0.000538152-0j 3.12628e-05-0j 0.00492569-0j -4.10528e-05-0j 0.00211051-0j 1.12093e-05-0j 8.55101e-07-0j 0.000756727-0j 5.77267e-05-0j -0.00452054-0j 3.07879e-05-0j -0.00320259-0j 0.0337017-0j 0.00145826-0j -0.0018796-0j -0.000565067-0j -0.000229531-0j -0.000376712-0j 0.00777288-0j 0.023876-0j -0.0108717-0j 3.84848e-06-0j 0.00444059-0j 0.0140129-0j 2.56566e-06-0j -0.000400323-0j -3.32969e-05-0j -5.29385e-05-0j 0.00112584-0j -0.000266882-0j 0.00550671-0j 0.000182282-0j 0.000793316-0j -3.02433e-05-0j 0.000121522-0j -0.00023495-0j -0.00250742-0j 0.000132913-0j 2.26774e-07-0j 0.00314594-0j -7.66774e-06-0j -0.000156634-0j 0.0032319-0j 7.44299e-06-0j -2.35893e-05-0j -5.40301e-06-0j -0.00143247-0j 0.000797605-0j 1.07411e-05-0j 0.000562026-0j -9.05226e-07-0j -0.00036318-0j 0.00184636-0j -0.000255912-0j -1.38446e-05-0j 9.41625e-05-0j -5.06917e-08-0j 0.000468116-0j -4.28758e-05-0j 0.000329854-0j 5.273e-06-0j 5.52641e-05-0j -2.401e-06-0j 3.09473e-06-0j 
0.00352548-0j -0.0484953-0j 5.02319e-05-0j -0.000418693-0j -0.000106153-0j 0.00176985-0j -0.00172623-0j -0.0139084-0j 0.000180635-0j 0.0135656-0j -0.000176182-0j -0.00351397-0j 0.00342736-0j -0.000416298-0j 0.000406037-0j -0.00635625-0j 2.76242e-05-0j -0.00181178-0j 0.0483645-0j -0.000837509-0j -0.000210191-0j 0.0115205-0j 0.0137858-0j 3.6398e-06-0j 0.00493618-0j -0.000238723-0j -5.00679e-05-0j 0.00176988-0j -2.14526e-05-0j 0.00328379-0j 0.000135015-0j 0.001407-0j -7.69186e-06-0j -5.86771e-07-0j 0.000504484-0j 3.84844e-05-0j 0.00101542-0j -0.000101255-0j 0.000725454-0j -0.00757022-0j -0.00100066-0j -0.00125307-0j 0.000126928-0j 0.000754882-0j 8.46186e-05-0j -0.00174598-0j -0.00540843-0j 0.00746015-0j -1.26569e-05-0j -0.000997464-0j 0.00934191-0j -8.43794e-06-0j 9.06817e-05-0j 7.4793e-06-0j 0.000174104-0j -0.000252892-0j 6.04545e-05-0j -0.00124739-0j -0.000125082-0j -0.000178198-0j 9.94644e-05-0j -8.33882e-05-0j -0.000156634-0j 0.00172059-0j -2.98555e-05-0j -7.45816e-07-0j -0.000712623-0j 2.52177e-05-0j -0.000104422-0j 0.0021546-0j -1.67188e-06-0j 5.34347e-06-0j 1.77694e-05-0j 0.00098296-0j -0.000180675-0j -7.37055e-06-0j -0.000127311-0j 2.97711e-06-0j 0.000249215-0j 0.00123091-0j 0.000175607-0j -9.22972e-06-0j -2.13298e-05-0j 1.66715e-07-0j 0.000312077-0j 2.94214e-05-0j 0.000219903-0j -1.19445e-06-0j 3.68428e-05-0j 1.64757e-06-0j 2.06316e-06-0j 
-0.00308479-0j 0.0424334-0j 0.00494182-0j -0.0411911-0j -0.0104434-0j -0.00154862-0j -0.00140483-0j 0.0121698-0j -0.000158055-0j 0.0110399-0j -0.00014338-0j 0.00307472-0j 0.00278923-0j 0.00036426-0j 0.000330439-0j -0.0011274-0j 0.00271767-0j -0.00312834-0j 0.00857838-0j -0.000148549-0j -0.0206787-0j 0.00204338-0j 0.0238034-0j 0.000358084-0j 0.000875527-0j -0.000412195-0j -0.00492569-0j 0.000313922-0j -0.00211051-0j 0.00567002-0j 2.39475e-05-0j 0.00242943-0j -0.000756727-0j -5.77267e-05-0j 0.000871077-0j 6.64498e-05-0j 0.00263698-0j 0.00201928-0j -0.000634772-0j -0.0196593-0j -0.000814352-0j -0.000447908-0j 0.000329623-0j -0.0150542-0j 0.000219748-0j -0.00453418-0j 0.00473237-0j 0.00607118-0j 0.00025241-0j -0.00259034-0j 0.00333926-0j 0.000168273-0j -7.93465e-05-0j 1.94232e-05-0j -0.00347206-0j -0.000656742-0j -5.28977e-05-0j 0.00109146-0j -0.000101794-0j -0.000462768-0j -0.00198356-0j -6.78626e-05-0j -5.59885e-05-0j 0.00140024-0j -7.75326e-05-0j 1.48734e-05-0j 0.000623545-0j -0.000502902-0j -3.73257e-05-0j 0.000770159-0j -4.34175e-06-0j -4.67554e-06-0j -0.000354366-0j 0.000799948-0j 0.00015809-0j -5.99827e-06-0j 0.000111397-0j -5.93709e-05-0j 0.000202815-0j 0.000439986-0j 0.000142912-0j -3.29915e-06-0j 1.86636e-05-0j -3.32471e-06-0j 0.000111552-0j 2.39436e-05-0j 7.86041e-05-0j 1.04514e-06-0j 1.31694e-05-0j 1.34082e-06-0j 7.37473e-07-0j 
0.00305315-0j -0.0419982-0j 0.00251082-0j -0.0209282-0j -0.00530603-0j -0.00451094-0j 0.00154862-0j 0.0354492-0j -0.000460396-0j -0.0121698-0j 0.000158055-0j 0.00895629-0j -0.00307472-0j 0.00106105-0j -0.00036426-0j -0.00219442-0j -0.00406373-0j 0.000805456-0j 0.0166972-0j -0.00028914-0j 0.0309208-0j 0.00397731-0j -0.00612869-0j -0.000535444-0j 0.00170415-0j 0.000106128-0j 0.00736539-0j 0.000611029-0j 0.00315584-0j -0.00145986-0j 4.66121e-05-0j -0.000625507-0j 0.00113153-0j 8.63187e-05-0j -0.000224277-0j -1.71089e-05-0j 0.000879383-0j -0.00201763-0j 0.000557739-0j -0.006556-0j -0.002642-0j 0.000370284-0j 0.000109923-0j 0.0150419-0j 7.32819e-05-0j -0.00151206-0j -0.00415807-0j 0.0196967-0j -0.000252204-0j -0.000863829-0j -0.00276055-0j -0.000168136-0j 6.97174e-05-0j 6.47726e-06-0j 0.00346923-0j -0.000219011-0j 4.64782e-05-0j -0.000959009-0j -0.00033025-0j -0.000154324-0j 0.00198194-0j -0.000220166-0j 4.62854e-05-0j 0.00454281-0j -2.58556e-05-0j -1.48612e-05-0j -0.000547874-0j 0.000502492-0j 3.0857e-05-0j -0.000636687-0j -1.44789e-06-0j 4.10814e-06-0j 0.000354077-0j 0.00259527-0j -0.000138905-0j -1.94602e-05-0j -9.78785e-05-0j 5.93224e-05-0j 0.000657991-0j -0.000363734-0j 0.000463648-0j 2.7274e-06-0j -1.63987e-05-0j 3.32199e-06-0j -9.22193e-05-0j 7.76801e-05-0j -6.49816e-05-0j -9.18308e-07-0j -1.08871e-05-0j 4.35001e-06-0j -6.09666e-07-0j 
-0.00436256-0j 0.0600099-0j 0.00346332-0j -0.0288675-0j -0.0073189-0j 0.00212773-0j 0.00221145-0j -0.0167208-0j 0.000217161-0j -0.0173787-0j 0.000225705-0j -0.00422453-0j -0.00439074-0j -0.000500477-0j -0.000520168-0j 0.00313553-0j -0.00185037-0j -0.00103332-0j -0.0238582-0j 0.000413143-0j 0.0140794-0j -0.00568306-0j 0.00786252-0j -0.000243808-0j -0.00243501-0j -0.000136152-0j 0.00335374-0j -0.00087308-0j 0.00143697-0j 0.00187287-0j -6.66026e-05-0j 0.000802465-0j 0.00051523-0j 3.93042e-05-0j 0.000287726-0j 2.19491e-05-0j -0.00125652-0j -0.00278303-0j 0.002642-0j 0.00936767-0j -0.00124544-0j -0.00250067-0j -0.000157065-0j 0.0207481-0j -0.00010471-0j 0.00216054-0j -0.0196967-0j 0.00928502-0j -0.000347879-0j 0.0012343-0j 0.0186431-0j -0.000231919-0j 0.00033025-0j -9.25516e-06-0j 0.00478531-0j 0.000312938-0j 0.000220166-0j -0.00454281-0j -0.00015568-0j 0.000220509-0j 0.00273381-0j -0.000103786-0j -0.000312584-0j 0.00214148-0j 3.69443e-05-0j -2.0499e-05-0j -0.00259527-0j 0.000693115-0j -0.000208389-0j 0.0042998-0j 2.06884e-06-0j 1.94602e-05-0j 0.000488398-0j 0.00122341-0j -0.000657991-0j -9.1735e-06-0j -0.000463648-0j 8.18268e-05-0j 0.000310177-0j 0.00245644-0j 0.000218563-0j -1.84192e-05-0j -7.76801e-05-0j 4.58221e-06-0j 0.000622793-0j 3.66184e-05-0j 0.000438846-0j -4.35001e-06-0j 7.35248e-05-0j 2.05059e-06-0j 4.11731e-06-0j 
-0.00218128-0j 0.0300049-0j -3.10794e-05-0j 0.000259053-0j 6.5679e-05-0j 0.00538168-0j 0.00106805-0j -0.0422919-0j 0.000549265-0j -0.00839327-0j 0.000109007-0j -0.0106851-0j -0.00212057-0j -0.00126586-0j -0.000251222-0j -0.000797195-0j 8.39982e-05-0j 0.00112098-0j 0.00606583-0j -0.00010504-0j -0.000639139-0j 0.00144489-0j -0.00852951-0j 1.10677e-05-0j 0.000619091-0j 0.000147702-0j -0.000152244-0j 0.000221977-0j -6.52319e-05-0j -0.00203174-0j 1.69334e-05-0j -0.000870539-0j -2.3389e-05-0j -1.78423e-06-0j -0.000312134-0j -2.3811e-05-0j -0.000628261-0j -1.26993e-05-0j -0.00560725-0j 0.00468383-0j -0.00304276-0j 0.000775296-0j -7.85327e-05-0j 9.46766e-05-0j -5.23551e-05-0j 0.00108027-0j 0.0418034-0j 0.0226845-0j -1.58742e-06-0j 0.000617149-0j -0.00578002-0j -1.05828e-06-0j -0.000700907-0j -4.62758e-06-0j 2.1836e-05-0j 0.000156469-0j -0.000467271-0j 0.00964144-0j -0.000380344-0j 0.000110255-0j 1.24747e-05-0j -0.000253563-0j 9.6912e-05-0j 0.00523189-0j 1.84722e-05-0j -9.35395e-08-0j 0.00550808-0j 3.16278e-06-0j 6.4608e-05-0j -0.00133309-0j 1.03442e-06-0j -4.13013e-05-0j 2.22863e-06-0j 0.00298894-0j 0.00139649-0j -2.2412e-05-0j 0.000984025-0j 3.73387e-07-0j 0.0007578-0j -0.000761584-0j 0.000533978-0j 5.7106e-06-0j 0.000164865-0j 2.09093e-08-0j -0.000193088-0j 8.94632e-05-0j -0.000136058-0j 9.23225e-06-0j -2.27953e-05-0j 5.00985e-06-0j -1.27651e-06-0j 
0.00179946-0j -0.0247528-0j -0.00433692-0j 0.0361491-0j 0.00916505-0j 0.000903361-0j 0.00431388-0j -0.00709907-0j 9.21989e-05-0j -0.0339007-0j 0.000440284-0j -0.00179359-0j -0.00856504-0j -0.000212485-0j -0.0010147-0j -0.00129334-0j -0.00238501-0j 0.000568347-0j 0.00984099-0j -0.000170413-0j 0.0181475-0j 0.00234414-0j -0.00432453-0j -0.000314253-0j 0.00100439-0j 7.48862e-05-0j 0.00432276-0j 0.000360127-0j 0.00185217-0j -0.00103011-0j 2.74722e-05-0j -0.00044137-0j 0.000664099-0j 5.06606e-05-0j -0.000158254-0j -1.20724e-05-0j 0.000518289-0j 0.00348503-0j 0.000370284-0j -0.00386397-0j 0.00250067-0j -0.00303628-0j 6.47861e-05-0j -0.0259817-0j 4.31908e-05-0j -0.000891177-0j -0.00276055-0j -0.0186431-0j 0.000435629-0j -0.000509122-0j 0.0226362-0j 0.000290419-0j 4.62854e-05-0j 3.81756e-06-0j -0.00599237-0j -0.00012908-0j 3.0857e-05-0j -0.000636687-0j 0.000312584-0j -9.09553e-05-0j -0.00342339-0j 0.000208389-0j -0.000379535-0j -0.0042998-0j -1.52388e-05-0j 2.56697e-05-0j -0.000363734-0j -0.000867949-0j -0.000253023-0j 0.00522076-0j -8.53354e-07-0j 2.7274e-06-0j -0.000611593-0j -0.00245644-0j -9.22193e-05-0j 1.84192e-05-0j -6.49816e-05-0j -0.000102467-0j -0.000622793-0j 0.00298258-0j -0.000438846-0j -2.23643e-05-0j -1.08871e-05-0j -5.73804e-06-0j 0.000756187-0j -7.35248e-05-0j 0.000532841-0j -6.09666e-07-0j 8.92728e-05-0j -4.11731e-06-0j 4.99918e-06-0j 
0.00220388-0j -0.0303159-0j -0.00353061-0j 0.0294284-0j 0.00746111-0j -0.00325617-0j 0.00100366-0j 0.0255886-0j -0.000332331-0j -0.00788726-0j 0.000102436-0j 0.00646499-0j -0.00199273-0j 0.000765904-0j -0.000236077-0j 0.000805456-0j 0.00571424-0j 0.00223499-0j -0.00612869-0j 0.000106128-0j -0.0434795-0j -0.00145986-0j -0.017006-0j 0.000752918-0j -0.000625507-0j 0.000294486-0j -0.0103569-0j -0.000224277-0j -0.00443761-0j -0.00405086-0j -1.71089e-05-0j -0.00173567-0j -0.00159111-0j -0.000121378-0j -0.000622327-0j -4.7474e-05-0j 0.000634772-0j -0.00144264-0j 0.000402597-0j -0.00473237-0j -0.00171228-0j 0.000320001-0j 7.93465e-05-0j 0.0107552-0j 5.28977e-05-0j -0.00109146-0j -0.00300146-0j 0.0127654-0j -0.00018033-0j -0.000623545-0j -0.00238568-0j -0.00012022-0j 5.03247e-05-0j 4.67554e-06-0j 0.00248056-0j -0.00015809-0j 3.35498e-05-0j -0.000692249-0j -0.000214035-0j -0.000111397-0j 0.00141713-0j -0.00014269-0j 4.00001e-05-0j 0.00294419-0j -1.86636e-05-0j -1.06261e-05-0j -0.000395477-0j 0.000359291-0j 2.66667e-05-0j -0.000550228-0j -1.04514e-06-0j 2.96541e-06-0j 0.000253171-0j 0.00168199-0j -0.000100267-0j -1.26121e-05-0j -7.06524e-05-0j 4.24166e-05-0j 0.000426444-0j -0.000314341-0j 0.00030049-0j 2.35703e-06-0j -1.18372e-05-0j 2.37528e-06-0j -7.96964e-05-0j 5.03444e-05-0j -5.61575e-05-0j -6.6287e-07-0j -9.40868e-06-0j 2.81924e-06-0j -5.26876e-07-0j 
-0.00099582-0j 0.0136982-0j 0.00320479-0j -0.0267126-0j -0.00677256-0j 0.000485687-0j -0.00529659-0j -0.00381678-0j 4.95702e-05-0j 0.0416233-0j -0.000540581-0j -0.000964313-0j 0.0105162-0j -0.000114242-0j 0.00124584-0j -0.000363944-0j -0.00171224-0j 0.00334593-0j 0.00276924-0j -4.79538e-05-0j 0.0130284-0j 0.000659637-0j -0.0254591-0j -0.000225608-0j 0.000282634-0j 0.000440865-0j 0.00310339-0j 0.000101339-0j 0.00132971-0j -0.00606439-0j 7.73062e-06-0j -0.0025984-0j 0.000476769-0j 3.63702e-05-0j -0.000931663-0j -7.10717e-05-0j -0.00028682-0j 0.00130951-0j 0.000603076-0j 0.00213831-0j 0.00298292-0j 0.00224862-0j -3.58526e-05-0j -0.00976268-0j -2.39017e-05-0j 0.000493176-0j -0.00449607-0j -0.0222384-0j 0.000163688-0j 0.000281747-0j -0.016764-0j 0.000109126-0j 7.53845e-05-0j -2.11263e-06-0j -0.00225164-0j 7.14328e-05-0j 5.02564e-05-0j -0.00103696-0j 0.000372865-0j 5.03345e-05-0j -0.00128635-0j 0.000248577-0j 0.000281077-0j -0.00512901-0j 8.4331e-06-0j 9.64543e-06-0j -0.00059241-0j -0.000326133-0j 0.000187385-0j -0.00386641-0j 4.72245e-07-0j 4.44208e-06-0j -0.000229807-0j -0.00293016-0j -0.000150196-0j 2.19713e-05-0j -0.000105835-0j -3.85022e-05-0j -0.000742898-0j -0.00220885-0j -0.000523477-0j 1.65626e-05-0j -1.77317e-05-0j -2.15608e-06-0j -0.00056002-0j -8.77039e-05-0j -0.000394614-0j -9.92955e-07-0j -6.6114e-05-0j -4.91133e-06-0j -3.70231e-06-0j 
0.000219558-0j -0.00302016-0j -0.00106145-0j 0.00884738-0j 0.00224312-0j 0.000110222-0j 0.0030959-0j -0.000866178-0j 1.12495e-05-0j -0.0243291-0j 0.000315974-0j -0.000218841-0j -0.00614678-0j -2.59259e-05-0j -0.000728205-0j 8.02421e-05-0j -0.000583725-0j -0.00563215-0j -0.000610559-0j 1.05728e-05-0j 0.00444154-0j -0.000145436-0j 0.0428549-0j -7.69125e-05-0j -6.23149e-05-0j -0.000742101-0j 0.00105798-0j -2.23432e-05-0j 0.000453313-0j 0.0102081-0j -1.70444e-06-0j 0.00437386-0j 0.000162536-0j 1.2399e-05-0j 0.00156826-0j 0.000119634-0j 6.3238e-05-0j -0.000433718-0j 4.51794e-05-0j -0.000471454-0j 0.00179463-0j 0.00540592-0j 7.90475e-06-0j 0.00323347-0j 5.26983e-06-0j -0.000108735-0j -0.000336823-0j -0.0133794-0j -5.42147e-05-0j -6.21195e-05-0j -0.0403024-0j -3.61432e-05-0j 5.64742e-06-0j 4.65792e-07-0j 0.00074576-0j -1.57494e-05-0j 3.76495e-06-0j -7.76841e-05-0j 0.000224328-0j -1.10977e-05-0j 0.000426047-0j 0.000149552-0j 0.00067574-0j -0.00308579-0j -1.85932e-06-0j -3.19463e-06-0j -4.43803e-05-0j 0.000108018-0j 0.000450493-0j -0.00929526-0j -1.0412e-07-0j 3.32778e-07-0j 7.61138e-05-0j -0.00176289-0j -1.12519e-05-0j 1.32187e-05-0j -7.9286e-06-0j 1.27522e-05-0j -0.000446953-0j -0.00531031-0j -0.000314942-0j 3.98184e-05-0j -1.32837e-06-0j 7.14109e-07-0j -0.00134635-0j -5.27657e-05-0j -0.000948693-0j -7.43871e-08-0j -0.000158945-0j -2.95482e-06-0j -8.90076e-06-0j 
