-0.00683621-0j 0.0493472-0j -0.000791138-0j 0.0108826-0j -0.000697718-0j -0.000661914-0j 0.00581562-0j 0.00147446-0j 0.00520165-0j 0.00356133-0j -6.75563e-05-0j 0.0013142-0j -8.72148e-05-0j 0.000155693-0j -3.3569e-05-0j 0.0011997-0j 0.000514033-0j 0.000484635-0j 0.000184308-0j -5.13918e-06-0j 0.000122872-0j 1.40599e-05-0j 0.000122444-0j 2.14181e-05-0j 2.05143e-05-0j 1.08604e-05-0j 1.14878e-06-0j 1.43498e-06-0j 8.95933e-08-0j 2.77291e-09-0j 
-0.000329199-0j 0.00237632-0j -3.80973e-05-0j 0.000524054-0j 0.00485043-0j -3.18745e-05-0j 0.000280052-0j 7.10029e-05-0j -0.0361611-0j 0.000171496-0j -3.25318e-06-0j 6.32856e-05-0j 0.000606304-0j 7.49741e-06-0j 0.000703332-0j -0.00834011-0j 2.47533e-05-0j -0.00676156-0j 8.87536e-06-0j 3.57268e-05-0j -0.00171429-0j 6.77054e-07-0j -0.000851209-0j 1.03139e-06-0j -0.000142612-0j 5.22986e-07-0j -7.98615e-06-0j 6.91016e-08-0j 4.31438e-09-0j 1.3353e-10-0j 
0.00142577-0j 0.000218275-0j 0.000165001-0j 2.38158e-05-0j 0.000145517-0j -0.0267026-0j 2.5724e-05-0j 2.14367e-06-0j 2.30082e-05-0j -0.00610977-0j 1.40896e-05-0j 2.87603e-06-0j -0.00351838-0j 1.69472e-07-0j 7.00119e-06-0j -0.000507834-0j -0.000439798-0j 2.14367e-06-0j -5.18306e-05-0j 1.07183e-06-0j 1.78639e-07-0j -2.36573e-06-0j 2.67958e-07-0j 9.47376e-08-0j 2.23299e-08-0j 1.57896e-08-0j 8.32185e-10-0j 1.24828e-09-0j 5.56027e-11-0j 1.33759e-12-0j 
-0.000201592-0j -3.08624e-05-0j 0.00448422-0j -3.36736e-06-0j -2.05749e-05-0j -1.95191e-05-0j 0.0006991-0j -3.03097e-07-0j -3.25318e-06-0j -2.2273e-06-0j -0.036416-0j 7.81618e-05-0j 0.000494339-0j -2.39619e-08-0j -9.89911e-07-0j -3.71217e-07-0j -0.0058766-0j 5.82584e-05-0j 7.28229e-06-0j -0.00839831-0j -2.52581e-08-0j -1.7293e-09-0j -0.000692564-0j -0.00148979-0j 6.06858e-07-0j -0.000123719-0j -1.17664e-10-0j -3.22629e-06-0j 1.51111e-09-0j -1.89125e-13-0j 
0.000407363-0j -0.00294055-0j 4.71431e-05-0j -0.000648484-0j -0.0060021-0j 3.94427e-05-0j -0.000346547-0j -8.78616e-05-0j 0.044747-0j -0.000212216-0j 4.0256e-06-0j -7.83119e-05-0j -0.000750262-0j -9.27757e-06-0j -0.000870329-0j 0.0103204-0j -3.06307e-05-0j 0.008367-0j -1.09827e-05-0j -4.42096e-05-0j 0.00212132-0j -8.37812e-07-0j 0.00105332-0j -1.27628e-06-0j 0.000176474-0j -6.47162e-07-0j 9.88235e-06-0j -8.55088e-08-0j -5.33877e-09-0j -1.65234e-10-0j 
4.11498e-05-0j -0.00060038-0j -0.000455287-0j 0.00305562-0j 4.19984e-06-0j 3.98432e-06-0j 0.00676458-0j 0.000842861-0j -6.32856e-05-0j -4.33287e-05-0j -7.81618e-05-0j -0.0352783-0j -5.01907e-05-0j 0.000134205-0j 2.02065e-07-0j 0.00033685-0j 0.00120207-0j 0.000563715-0j -0.0100727-0j -8.93442e-06-0j 7.02385e-05-0j 1.61988e-05-0j -0.00660811-0j 0.000100433-0j -0.00169059-0j -0.00179304-0j 1.65674e-06-0j -0.000317778-0j -1.48369e-05-0j 6.41104e-09-0j 
0.000249458-0j 3.81902e-05-0j -0.00554894-0j 4.1669e-06-0j 2.54602e-05-0j 2.41536e-05-0j -0.000865092-0j 3.75064e-07-0j 4.0256e-06-0j 2.75614e-06-0j 0.0450625-0j -9.67203e-05-0j -0.000611713-0j 2.96514e-08-0j 1.22495e-06-0j 4.59357e-07-0j 0.00727192-0j -7.2091e-05-0j -9.01138e-06-0j 0.0103924-0j 3.12553e-08-0j 2.1399e-09-0j 0.000857005-0j 0.00184352-0j -7.50948e-07-0j 0.000153094-0j 1.45602e-10-0j 3.99233e-06-0j -1.86991e-09-0j 2.3403e-13-0j 
-0.000237628-0j 0.00171532-0j -2.75001e-05-0j 0.000378282-0j 0.00350122-0j -2.30082e-05-0j 0.000202152-0j 5.12526e-05-0j -0.0261024-0j 0.000123792-0j -2.34827e-06-0j 4.56819e-05-0j 0.000437653-0j 5.41191e-06-0j 0.000507692-0j -0.00602021-0j 1.78679e-05-0j -0.00488075-0j 6.40658e-06-0j 2.5789e-05-0j -0.00123744-0j 4.88724e-07-0j -0.000614435-0j 7.44496e-07-0j -0.000102943-0j 3.77511e-07-0j -5.76471e-06-0j 4.98802e-08-0j 3.11428e-09-0j 9.63868e-11-0j 
-2.42478e-06-0j 7.11266e-05-0j -2.80613e-07-0j -0.00111133-0j -2.47478e-07-0j -2.34778e-07-0j 8.38236e-06-0j 0.00946586-0j 7.49741e-06-0j 5.13312e-06-0j -2.39619e-08-0j -0.000134205-0j -3.09347e-08-0j -0.0341428-0j -1.19068e-08-0j -0.000122512-0j 7.40903e-07-0j 6.9853e-07-0j 0.00118323-0j -1.82285e-09-0j 0.000788822-0j -0.012866-0j -1.25038e-05-0j 3.08709e-08-0j -0.0044987-0j 6.97227e-05-0j -0.00266359-0j -0.00131313-0j -0.00041818-0j -3.64689e-05-0j 
-0.000145517-0j -2.22776e-05-0j 0.00323688-0j -2.43069e-06-0j -1.48518e-05-0j -1.40896e-05-0j 0.000504637-0j -2.18787e-07-0j -2.34827e-06-0j -1.60775e-06-0j -0.0262864-0j 5.64202e-05-0j 0.000356832-0j -1.72966e-08-0j -7.14556e-07-0j -2.67958e-07-0j -0.00424196-0j 4.20531e-05-0j 5.25664e-06-0j -0.00606222-0j -1.82323e-08-0j -1.24828e-09-0j -0.000499919-0j -0.00107539-0j 4.38053e-07-0j -8.93049e-05-0j -8.49345e-11-0j -2.32886e-06-0j 1.09078e-09-0j -1.36517e-13-0j 
-5.09203e-05-0j 0.000742932-0j 0.000563389-0j -0.00378113-0j -5.19703e-06-0j -4.93034e-06-0j -0.00837074-0j -0.00104299-0j 7.83119e-05-0j 5.36165e-05-0j 9.67203e-05-0j 0.0436547-0j 6.21079e-05-0j -0.000166071-0j -2.50042e-07-0j -0.000416831-0j -0.00148749-0j -0.000697562-0j 0.0124644-0j 1.10558e-05-0j -8.69156e-05-0j -2.0045e-05-0j 0.00817712-0j -0.00012428-0j 0.002092-0j 0.00221877-0j -2.05011e-06-0j 0.00039323-0j 1.83598e-05-0j -7.93326e-09-0j 
3.00051e-06-0j -8.80147e-05-0j 3.47241e-07-0j 0.00137519-0j 3.06238e-07-0j 2.90523e-07-0j -1.03726e-05-0j -0.0117134-0j -9.27757e-06-0j -6.35192e-06-0j 2.96514e-08-0j 0.000166071-0j 3.82798e-08-0j 0.0422495-0j 1.47339e-08-0j 0.000151601-0j -9.1682e-07-0j -8.64386e-07-0j -0.00146418-0j 2.25566e-09-0j -0.000976117-0j 0.0159209-0j 1.54727e-05-0j -3.82008e-08-0j 0.00556686-0j -8.62774e-05-0j 0.00329603-0j 0.00162492-0j 0.000517471-0j 4.5128e-05-0j 
2.97035e-05-0j -0.000433377-0j -0.000328644-0j 0.00220566-0j 3.0316e-06-0j 2.87603e-06-0j 0.00488293-0j 0.00060841-0j -4.56819e-05-0j -3.12763e-05-0j -5.64202e-05-0j -0.0254653-0j -3.62296e-05-0j 9.68745e-05-0j 1.45858e-07-0j 0.000243151-0j 0.000867703-0j 0.000406911-0j -0.00727088-0j -6.44921e-06-0j 5.07008e-05-0j 1.16929e-05-0j -0.00476999-0j 7.24967e-05-0j -0.00122034-0j -0.00129428-0j 1.1959e-06-0j -0.000229384-0j -1.07099e-05-0j 4.62773e-09-0j 
-1.7503e-06-0j 5.13419e-05-0j -2.02557e-07-0j -0.000802197-0j -1.78639e-07-0j -1.69472e-07-0j 6.0507e-06-0j 0.00683282-0j 5.41191e-06-0j 3.70528e-06-0j -1.72966e-08-0j -9.68745e-05-0j -2.23299e-08-0j -0.0246455-0j -8.59477e-09-0j -8.84339e-05-0j 5.34812e-07-0j 5.04225e-07-0j 0.000854103-0j -1.3158e-09-0j 0.000569402-0j -0.00928717-0j -9.02575e-06-0j 2.22838e-08-0j -0.00324734-0j 5.03285e-05-0j -0.00192268-0j -0.000947868-0j -0.000301858-0j -2.63247e-05-0j 
0.00152518-0j 0.000233494-0j 0.000176505-0j 2.54763e-05-0j 0.000155663-0j -0.0358554-0j 2.75176e-05-0j 2.29313e-06-0j -0.0059759-0j 1.6851e-05-0j -0.00365947-0j -0.000746987-0j 1.94579e-05-0j -4.40166e-05-0j 7.48933e-06-0j 2.8085e-06-0j 2.43223e-06-0j 2.29313e-06-0j 2.86641e-07-0j 1.14657e-06-0j 1.91094e-07-0j 1.30833e-08-0j 2.86641e-07-0j 1.01343e-07-0j 2.38868e-08-0j 1.68905e-08-0j 8.90207e-10-0j 1.33531e-09-0j 5.94795e-11-0j 1.43085e-12-0j 
-0.00177937-0j -0.00027241-0j -0.000205923-0j -2.97224e-05-0j -0.000181607-0j 0.0418313-0j -3.21038e-05-0j -2.67532e-06-0j 0.00697188-0j -1.96595e-05-0j 0.00426939-0j 0.000871485-0j -2.27008e-05-0j 5.13527e-05-0j -8.73755e-06-0j -3.27658e-06-0j -2.8376e-06-0j -2.67532e-06-0j -3.34415e-07-0j -1.33766e-06-0j -2.22943e-07-0j -1.52639e-08-0j -3.34415e-07-0j -1.18233e-07-0j -2.78679e-08-0j -1.97056e-08-0j -1.03858e-09-0j -1.55786e-09-0j -6.93927e-11-0j -1.66933e-12-0j 
-0.000246125-0j 0.00177665-0j -2.84834e-05-0j 0.000391808-0j -2.512e-05-0j 0.00460956-0j 0.00020938-0j 5.30851e-05-0j 0.000187275-0j -0.0497304-0j -2.43223e-06-0j 4.73153e-05-0j 0.000607363-0j 5.60542e-06-0j -1.20859e-06-0j -0.00835469-0j -0.00357973-0j 1.74483e-05-0j -0.00128352-0j -1.85026e-07-0j 4.42376e-06-0j -9.79129e-05-0j 4.40834e-06-0j 7.71115e-07-0j 7.38579e-07-0j 3.91009e-07-0j 4.13596e-08-0j 5.16636e-08-0j 3.22563e-09-0j 9.98331e-11-0j 
-0.00108964-0j -0.000166816-0j -0.000126101-0j -1.82012e-05-0j -0.000111211-0j 0.0256163-0j -1.96595e-05-0j -1.63829e-06-0j 0.00426939-0j -1.20389e-05-0j 0.00261445-0j 0.000533673-0j -1.39014e-05-0j 3.1447e-05-0j -5.35064e-06-0j -2.00649e-06-0j -1.73767e-06-0j -1.63829e-06-0j -2.04786e-07-0j -8.19146e-07-0j -1.36524e-07-0j -9.34718e-09-0j -2.04786e-07-0j -7.24029e-08-0j -1.70655e-08-0j -1.20672e-08-0j -6.35995e-10-0j -9.53992e-10-0j -4.24942e-11-0j -1.02225e-12-0j 
0.00155695-0j 0.000238359-0j 0.000180182-0j 2.60071e-05-0j 0.000158906-0j -0.0366024-0j 2.80908e-05-0j 2.3409e-06-0j -0.00610039-0j 1.72021e-05-0j -0.00373571-0j -0.000762549-0j 1.98632e-05-0j -4.49336e-05-0j 7.64536e-06-0j 2.86701e-06-0j 2.4829e-06-0j 2.3409e-06-0j 2.92613e-07-0j 1.17045e-06-0j 1.95075e-07-0j 1.33559e-08-0j 2.92613e-07-0j 1.03454e-07-0j 2.43844e-08-0j 1.72424e-08-0j 9.08753e-10-0j 1.36313e-09-0j 6.07186e-11-0j 1.46066e-12-0j 
-0.00020096-0j -3.07656e-05-0j 0.00222345-0j -3.3568e-06-0j 0.00296095-0j -1.94579e-05-0j 0.000346641-0j -3.02146e-07-0j 0.000468168-0j -2.22031e-06-0j 0.000381712-0j 3.87556e-05-0j -0.0353853-0j -2.38868e-08-0j 0.00042935-0j 5.34221e-05-0j 6.15985e-05-0j -0.00836927-0j 3.61084e-06-0j -0.00629891-0j 7.295e-06-0j -1.72388e-09-0j -0.001048-0j 5.14656e-06-0j -4.34395e-05-0j 6.42764e-07-0j 1.69331e-08-0j 3.3818e-08-0j 7.49268e-10-0j -1.88532e-13-0j 
-0.00064221-0j -9.8318e-05-0j -7.43214e-05-0j -1.07274e-05-0j -6.55453e-05-0j 0.0150977-0j -1.15869e-05-0j -9.65573e-07-0j 0.00251628-0j -7.09549e-06-0j 0.0015409-0j 0.000314536-0j -8.19316e-06-0j 1.85342e-05-0j -3.15355e-06-0j -1.18258e-06-0j -1.02415e-06-0j -9.65573e-07-0j -1.20697e-07-0j -4.82787e-07-0j -8.04645e-08-0j -5.50902e-09-0j -1.20697e-07-0j -4.26727e-08-0j -1.00581e-08-0j -7.11212e-09-0j -3.74842e-10-0j -5.62262e-10-0j -2.50452e-11-0j -6.02493e-13-0j 
0.000287145-0j -0.00207276-0j 3.32306e-05-0j -0.000457109-0j 2.93066e-05-0j -0.00537782-0j -0.000244277-0j -6.19327e-05-0j -0.000218488-0j 0.0580188-0j 2.8376e-06-0j -5.52012e-05-0j -0.000708591-0j -6.53965e-06-0j 1.41002e-06-0j 0.00974714-0j 0.00417635-0j -2.03564e-05-0j 0.00149744-0j 2.15864e-07-0j -5.16106e-06-0j 0.000114232-0j -5.14307e-06-0j -8.99635e-07-0j -8.61675e-07-0j -4.56177e-07-0j -4.82529e-08-0j -6.02742e-08-0j -3.76324e-09-0j -1.16472e-10-0j 
2.90061e-05-0j -0.000423201-0j 3.3568e-06-0j 0.00215387-0j -0.000427377-0j 2.8085e-06-0j -4.98747e-05-0j 0.000594124-0j 0.00643996-0j -3.05419e-05-0j 2.86641e-07-0j 0.000260104-0j -5.34221e-05-0j 9.45998e-05-0j -6.19714e-05-0j -0.034278-0j -4.40834e-06-0j 0.00120417-0j 7.42654e-05-0j -3.14793e-06-0j -0.0143445-0j 1.14184e-05-0j -0.00349848-0j -1.83681e-07-0j -0.00179944-0j 4.37613e-06-0j -0.00016859-0j 1.16538e-06-0j 1.09391e-07-0j 4.51907e-09-0j 
0.00017584-0j -0.0012693-0j 2.03495e-05-0j -0.000279921-0j 1.79466e-05-0j -0.00329323-0j -0.000149588-0j -3.79259e-05-0j -0.000133796-0j 0.0355291-0j 1.73767e-06-0j -3.38037e-05-0j -0.000433921-0j -4.0047e-06-0j 8.63455e-07-0j 0.00596888-0j 0.00255748-0j -1.24657e-05-0j 0.00091699-0j 1.32189e-07-0j -3.16049e-06-0j 6.99523e-05-0j -3.14947e-06-0j -5.50911e-07-0j -5.27666e-07-0j -2.7935e-07-0j -2.95487e-08-0j -3.69103e-08-0j -2.3045e-09-0j -7.13242e-11-0j 
2.512e-05-0j -0.000181329-0j -0.000558769-0j -3.99887e-05-0j 2.5638e-06-0j 2.43223e-06-0j 0.00410749-0j -5.41798e-06-0j -1.91137e-05-0j -1.30863e-05-0j 0.00453772-0j 0.000928202-0j -6.15985e-05-0j -5.72101e-07-0j 1.23351e-07-0j -4.40834e-06-0j -0.0345273-0j 0.000342291-0j 0.000130174-0j 0.0010465-0j -4.51498e-07-0j -5.16636e-08-0j -0.00822447-0j -0.00875309-0j 1.4489e-05-0j -0.00221152-0j -4.22125e-09-0j -9.63868e-05-0j 6.32784e-08-0j -1.01892e-11-0j 
0.000234453-0j 3.58932e-05-0j -0.00259402-0j 3.91627e-06-0j -0.00345444-0j 2.27008e-05-0j -0.000404414-0j 3.52504e-07-0j -0.000546196-0j 2.59037e-06-0j -0.000445331-0j -4.52149e-05-0j 0.0412828-0j 2.78679e-08-0j -0.000500909-0j -6.23258e-05-0j -7.18649e-05-0j 0.00976415-0j -4.21265e-06-0j 0.00734873-0j -8.51084e-06-0j 2.01119e-09-0j 0.00122267-0j -6.00432e-06-0j 5.06794e-05-0j -7.49891e-07-0j -1.97553e-08-0j -3.94543e-08-0j -8.74146e-10-0j 2.19954e-13-0j 
-0.000251252-0j 0.00181366-0j -2.90768e-05-0j 0.000399971-0j -2.56433e-05-0j 0.0047056-0j 0.000213742-0j 5.41911e-05-0j 0.000191177-0j -0.0507664-0j -2.4829e-06-0j 4.8301e-05-0j 0.000620017-0j 5.7222e-06-0j -1.23376e-06-0j -0.00852875-0j -0.0036543-0j 1.78119e-05-0j -0.00131026-0j -1.88881e-07-0j 4.51592e-06-0j -9.99527e-05-0j 4.50018e-06-0j 7.8718e-07-0j 7.53966e-07-0j 3.99155e-07-0j 4.22213e-08-0j 5.27399e-08-0j 3.29283e-09-0j 1.01913e-10-0j 
-2.96042e-06-0j 6.50158e-05-0j 3.27545e-05-0j -0.000673673-0j -3.02146e-07-0j -2.86641e-07-0j -0.000732543-0j 0.00279763-0j 6.85326e-06-0j 4.69211e-06-0j 5.62315e-06-0j 0.00777783-0j 3.61084e-06-0j 0.000913653-0j -1.4537e-08-0j -7.42654e-05-0j -0.000130174-0j -6.10453e-05-0j -0.0334335-0j 6.42764e-07-0j 0.000233136-0j 0.000166591-0j 0.00145689-0j -1.0876e-05-0j -0.0115094-0j -0.00595147-0j 2.27894e-05-0j -0.00326808-0j -0.000255558-0j 1.54883e-07-0j 
0.000143573-0j 2.198e-05-0j -0.00158851-0j 2.39821e-06-0j -0.00211541-0j 1.39014e-05-0j -0.000247652-0j 2.15864e-07-0j -0.000334475-0j 1.58627e-06-0j -0.000272708-0j -2.76884e-05-0j 0.0252804-0j 1.70655e-08-0j -0.000306743-0j -3.81666e-05-0j -4.40081e-05-0j 0.0059793-0j -2.57971e-06-0j 0.00450016-0j -5.2118e-06-0j 1.2316e-09-0j 0.000748728-0j -3.67688e-06-0j 3.10347e-05-0j -4.59213e-07-0j -1.20976e-08-0j -2.41607e-08-0j -5.35303e-10-0j 1.34693e-13-0j 
-3.38404e-05-0j 0.000493734-0j -3.91627e-06-0j -0.00251285-0j 0.000498606-0j -3.27658e-06-0j 5.81872e-05-0j -0.000693144-0j -0.00751328-0j 3.56322e-05-0j -3.34415e-07-0j -0.000303455-0j 6.23258e-05-0j -0.000110366-0j 7.22999e-05-0j 0.0399909-0j 5.14307e-06-0j -0.00140487-0j -8.6643e-05-0j 3.67258e-06-0j 0.0167352-0j -1.33214e-05-0j 0.00408156-0j 2.14294e-07-0j 0.00209934-0j -5.10549e-06-0j 0.000196689-0j -1.35961e-06-0j -1.27623e-07-0j -5.27225e-09-0j 
0.000103636-0j -0.000748098-0j 1.19936e-05-0j -0.000164979-0j 1.05773e-05-0j -0.00194096-0j -8.81642e-05-0j -2.23527e-05-0j -7.88564e-05-0j 0.0209401-0j 1.02415e-06-0j -1.99232e-05-0j -0.000255744-0j -2.36029e-06-0j 5.08902e-07-0j 0.00351793-0j 0.00150732-0j -7.34702e-06-0j 0.000540454-0j 7.79094e-08-0j -1.86272e-06-0j 4.12284e-05-0j -1.85623e-06-0j -3.24695e-07-0j -3.10995e-07-0j -1.64643e-07-0j -1.74154e-08-0j -2.17541e-08-0j -1.35822e-09-0j -4.20369e-11-0j 
1.35124e-07-0j -4.95971e-06-0j 1.56376e-08-0j 0.000103578-0j 1.3791e-08-0j 1.30833e-08-0j -5.84507e-07-0j -0.00133273-0j -5.22799e-07-0j -3.57936e-07-0j 1.33531e-09-0j 1.25082e-05-0j 1.72388e-09-0j 0.0099347-0j 6.63521e-10-0j 1.14184e-05-0j -5.16636e-08-0j -4.87089e-08-0j -0.000166591-0j 1.01581e-10-0j -0.000111061-0j -0.0323416-0j 1.16538e-06-0j -2.15265e-09-0j 0.00130901-0j -9.81648e-06-0j -0.0139456-0j -0.00330085-0j -0.00331948-0j -0.000485888-0j 
-0.000205147-0j -3.14065e-05-0j 0.00226977-0j -3.42673e-06-0j 0.00302264-0j -1.98632e-05-0j 0.000353862-0j -3.08441e-07-0j 0.000477921-0j -2.26657e-06-0j 0.000389664-0j 3.9563e-05-0j -0.0361224-0j -2.43844e-08-0j 0.000438295-0j 5.4535e-05-0j 6.28818e-05-0j -0.00854363-0j 3.68607e-06-0j -0.00643013-0j 7.44698e-06-0j -1.75979e-09-0j -0.00106983-0j 5.25378e-06-0j -4.43445e-05-0j 6.56155e-07-0j 1.72859e-08-0j 3.45225e-08-0j 7.64877e-10-0j -1.92459e-13-0j 
-2.93066e-05-0j 0.00021155-0j 0.000651897-0j 4.66535e-05-0j -2.9911e-06-0j -2.8376e-06-0j -0.00479207-0j 6.32098e-06-0j 2.22993e-05-0j 1.52673e-05-0j -0.005294-0j -0.0010829-0j 7.18649e-05-0j 6.67451e-07-0j -1.43909e-07-0j 5.14307e-06-0j 0.0402819-0j -0.000399339-0j -0.00015187-0j -0.00122091-0j 5.26748e-07-0j 6.02742e-08-0j 0.00959522-0j 0.0102119-0j -1.69038e-05-0j 0.00258011-0j 4.92479e-09-0j 0.000112451-0j -7.38248e-08-0j 1.18874e-11-0j 
