0.29614-0j 0.358976-0j 0.41451-0j 0.410258-0j 0.0594546-0j 0.502462-0j 0.0946182-0j 0.0346818-0j 0.0214583-0j 0.0367857-0j 0.0514892-0j 0.0509611-0j 0.444806-0j 0.0644612-0j 0.0339741-0j 0.0210204-0j 0.00559792-0j 0.0582412-0j 
0.000988512-0j -0.00383421-0j 0.00153483-0j 0.00149532-0j -0.000210533-0j 0.00180826-0j -0.00370715-0j -0.000117655-0j 0.000373438-0j -0.000404255-0j 0.000190652-0j 0.000185745-0j -0.00164768-0j 0.000231983-0j -0.000125849-0j 0.000385577-0j -0.000379945-0j -0.00021574-0j 
-2.95152e-05-0j 2.60183e-07-0j 4.09034e-05-0j -4.16701e-05-0j 1.65216e-05-0j 3.6418e-07-0j -1.89291e-05-0j -0.00132527-0j 0.000618105-0j 0.000349787-0j 0.000489599-0j -0.000498777-0j 2.26497e-05-0j -8.98024e-06-0j 0.00165906-0j -0.000205735-0j 0.000269267-0j -0.00057003-0j 
-0.0017548-0j -0.00212714-0j -0.00245621-0j -0.00243102-0j 0.0166648-0j 0.008986-0j -0.000560667-0j 0.00972114-0j 0.00601465-0j 0.0103108-0j -0.0435576-0j -0.0431108-0j -0.00263573-0j 0.0180681-0j 0.00952275-0j 0.0058919-0j 0.00156907-0j 0.0163247-0j 
0.00021935-0j 0.000265892-0j 0.000307026-0j 0.000303877-0j -0.00421024-0j -0.00112325-0j 7.00834e-05-0j -0.00245597-0j -0.00151956-0j -0.00260495-0j 0.0110045-0j 0.0108916-0j 0.000329466-0j -0.00456478-0j -0.00240585-0j -0.00148854-0j -0.000396414-0j -0.00412432-0j 
-0.00515861-0j 0.0158163-0j -0.0296291-0j -0.0061418-0j 0.00261953-0j 0.0221381-0j 0.0264766-0j -0.00060414-0j 0.00453069-0j -0.00262943-0j -0.00368044-0j -0.000762917-0j -0.006659-0j 0.00284012-0j -0.000508611-0j -0.000314687-0j -0.002715-0j -0.000871905-0j 
-2.74066e-05-0j 1.04812e-05-0j 1.29253e-05-0j -3.79678e-05-0j 0.0010576-0j 1.56679e-05-0j 2.9504e-06-0j -0.000207867-0j 0.000381707-0j -0.000206443-0j -0.000308602-0j 0.000906512-0j 1.387e-05-0j -0.000386351-0j -0.000203625-0j -0.00160164-0j -3.35514e-05-0j -0.000349071-0j 
6.33279e-06-0j -1.94163e-05-0j 3.63731e-05-0j 7.53977e-06-0j 0.000618105-0j -2.71771e-05-0j -3.25031e-05-0j -0.000142553-0j 0.00106906-0j -0.000620442-0j -0.000868437-0j -0.000180018-0j 8.17469e-06-0j 0.000670156-0j -0.000120012-0j -7.42536e-05-0j -0.000640633-0j -0.000205735-0j 
0.0223251-0j -0.00853784-0j -0.0105288-0j 0.0309281-0j 0.0044821-0j -0.0127628-0j -0.00240336-0j -0.00088094-0j 0.00161768-0j -0.000874905-0j -0.00130786-0j 0.0038418-0j -0.0112983-0j -0.00163735-0j -0.000862962-0j -0.00678775-0j -0.000142191-0j -0.00147936-0j 
0.0105288-0j 0.0127628-0j 0.0147373-0j 0.0145861-0j 0.00211382-0j -0.053916-0j 0.003364-0j 0.00123306-0j 0.000762917-0j 0.00130786-0j -0.00552498-0j -0.00546831-0j 0.0158144-0j 0.00229182-0j 0.00120789-0j 0.000747347-0j 0.000199026-0j 0.00207068-0j 
-0.00107459-0j -0.0013026-0j -0.00150411-0j -0.00148869-0j -0.00021574-0j 0.00550278-0j -0.000343337-0j -0.000125849-0j -7.78648e-05-0j -0.000133483-0j 0.000563891-0j 0.000558107-0j -0.00161405-0j -0.000233908-0j -0.00012328-0j -7.62758e-05-0j -2.0313e-05-0j -0.000211338-0j 
-0.00227855-0j 0.000871389-0j 0.00107459-0j -0.00315659-0j -0.000457452-0j 0.0013026-0j 0.000245292-0j 8.99106e-05-0j -0.000165103-0j 8.92946e-05-0j 0.000133483-0j -0.000392102-0j 0.00115313-0j 0.000167112-0j 8.80757e-05-0j 0.000692772-0j 1.45123e-05-0j 0.000150987-0j 
0.000526498-0j -0.00161424-0j 0.00302401-0j 0.000626845-0j -0.000267355-0j -0.00225946-0j -0.00270225-0j 6.16598e-05-0j -0.000462412-0j 0.000268365-0j 0.000375633-0j 7.78648e-05-0j 0.000679631-0j -0.000289869-0j 5.19099e-05-0j 3.21176e-05-0j 0.000277099-0j 8.89884e-05-0j 
-1.29253e-05-0j -1.56679e-05-0j -1.80917e-05-0j -1.79061e-05-0j 0.000498777-0j 6.61881e-05-0j -4.1297e-06-0j 0.000290953-0j 0.000180018-0j 0.000308602-0j -0.00130368-0j -0.0012903-0j -1.9414e-05-0j 0.000540778-0j 0.000285015-0j 0.000176344-0j 4.69621e-05-0j 0.000488597-0j 
