0.010468-0j 0.0103606-0j -0.0710226-0j -0.0414299-0j -0.057395-0j -0.0725219-0j -0.0104014-0j -0.0828822-0j -0.0118873-0j 0.287026-0j -0.0507548-0j -0.00727946-0j 0.347928-0j -0.00429035-0j -0.0299138-0j 0.401753-0j 0.397632-0j -0.0710419-0j -0.0101891-0j 0.486998-0j -0.000756312-0j 0.000499357-0j 0.000356758-0j -0.00105862-0j 0.000494235-0j 0.000432456-0j -0.00104776-0j 0.0917062-0j -0.000916789-0j 0.000605312-0j -0.00128324-0j 0.431116-0j -0.000241645-0j 0.000535854-0j 0.000113986-0j -0.00113599-0j 
0.000621565-0j -0.00061544-0j -0.00828422-0j 0.00455531-0j 0.00689083-0j 4.47565e-05-0j 0.0289026-0j 4.97143e-05-0j 0.0321043-0j 0.00032801-0j -3.13357e-05-0j -0.0202358-0j -0.000421799-0j -0.0569456-0j -8.81818e-05-0j -0.00050112-0j 0.000496182-0j -4.38609e-05-0j -0.0283243-0j -0.000590396-0j -0.00391979-0j -0.00432131-0j 0.00282853-0j 0.00598849-0j 0.00427872-0j -0.0036373-0j -0.00592947-0j 0.00121038-0j 0.00504059-0j -0.00509116-0j 0.00705535-0j 0.000537965-0j -0.0144643-0j 0.00463903-0j 0.0104375-0j -0.00642879-0j 
-6.34382e-05-0j 6.2813e-05-0j 0.00127268-0j -0.000699818-0j -0.00105862-0j 0.0004395-0j -0.00903935-0j 0.000488184-0j -0.0100407-0j 0.00484833-0j -0.00030771-0j 0.00632879-0j -0.00623464-0j 0.0178098-0j -0.000865928-0j -0.00740709-0j 0.00733409-0j -0.000430705-0j 0.00885846-0j -0.00872668-0j -0.0185183-0j -3.02622e-06-0j 1.98082e-06-0j 0.0282914-0j 2.9964e-06-0j -2.54721e-06-0j -0.0280126-0j 0.0178907-0j 0.0238133-0j -3.56535e-06-0j 0.0333316-0j 0.00795169-0j -0.0683337-0j 3.24872e-06-0j 7.30938e-06-0j -0.0303715-0j 
-0.00426389-0j 0.00415246-0j 0.000601774-0j -0.000356758-0j -0.000494235-0j -0.0290663-0j 4.36045e-05-0j 0.0337602-0j -5.06462e-05-0j -0.00243197-0j -0.0613582-0j 9.2048e-05-0j -0.00889203-0j -1.82792e-05-0j 0.0121847-0j 0.00345954-0j -0.00336913-0j 0.0289373-0j -4.3411e-05-0j 0.0041936-0j 2.10639e-06-0j 0.0296438-0j -0.0208388-0j -2.9964e-06-0j -0.0288691-0j -0.0761933-0j 2.91809e-06-0j 0.000789693-0j 7.70161e-06-0j 0.0359337-0j -3.63218e-06-0j 0.0037124-0j -6.83973e-07-0j 0.0318105-0j 0.00676666-0j -3.2154e-06-0j 
-0.00522218-0j 0.0050857-0j -0.0348629-0j 0.0206682-0j 0.0286328-0j 0.000369997-0j -0.00510573-0j -0.000429747-0j 0.00593025-0j -0.00146437-0j 0.000781053-0j -0.0107781-0j -0.00535418-0j 0.00214034-0j -0.000155104-0j 0.0020831-0j -0.00202866-0j -0.000368355-0j 0.00508307-0j 0.0025251-0j -0.000371251-0j -0.000249116-0j 0.000175122-0j 0.000528115-0j 0.000242605-0j 0.0006403-0j -0.000514314-0j 0.0004755-0j -0.00135741-0j -0.000301974-0j 0.000640172-0j 0.00223535-0j 0.00012055-0j -0.000267323-0j -5.68644e-05-0j 0.000566714-0j 
0.000532986-0j -0.000519058-0j 0.00355818-0j -0.00210944-0j -0.00292232-0j 0.00730435-0j 0.000521102-0j -0.00848392-0j -0.000605254-0j -0.028909-0j 0.0154193-0j 0.00110003-0j -0.1057-0j -0.000218448-0j -0.00306201-0j 0.0411239-0j -0.0400492-0j -0.00727193-0j -0.000518789-0j 0.0498497-0j 3.78907e-05-0j 2.54253e-05-0j -1.78733e-05-0j -5.39005e-05-0j -2.47608e-05-0j -6.53503e-05-0j 5.24919e-05-0j 0.00938715-0j 0.00013854-0j 3.08201e-05-0j -6.53373e-05-0j 0.0441296-0j -1.23036e-05-0j 2.72836e-05-0j 5.8037e-06-0j -5.78401e-05-0j 
0.00061544-0j -0.000599356-0j 0.00830413-0j -0.00492305-0j -0.00682015-0j -4.36045e-05-0j -0.0281587-0j 5.06462e-05-0j 0.032706-0j 0.000348803-0j -9.2048e-05-0j -0.0594423-0j 0.00127533-0j 0.0118042-0j 1.82792e-05-0j -0.000496182-0j 0.000483215-0j 4.3411e-05-0j 0.0280337-0j -0.000601463-0j -0.00416826-0j -0.00427872-0j 0.00300783-0j 0.00592947-0j 0.0041669-0j 0.0109976-0j -0.00577451-0j -0.000113261-0j -0.0152405-0j -0.00518659-0j 0.0071876-0j -0.000532447-0j 0.00135349-0j -0.00459145-0j -0.000976683-0j 0.00636285-0j 
-6.2813e-05-0j 6.11715e-05-0j -0.00127574-0j 0.000756312-0j 0.00104776-0j -0.000428188-0j 0.00880669-0j 0.000497335-0j -0.0102289-0j 0.00515567-0j -0.000903892-0j 0.0185907-0j 0.0188507-0j -0.0036918-0j 0.000179498-0j -0.00733409-0j 0.00714242-0j 0.000426287-0j -0.00876761-0j -0.00889026-0j -0.0196921-0j -2.9964e-06-0j 2.10639e-06-0j 0.0280126-0j 2.91809e-06-0j 7.70161e-06-0j -0.0272805-0j -0.00167412-0j -0.0720006-0j -3.63218e-06-0j 0.0339564-0j -0.00787013-0j 0.00639431-0j -3.2154e-06-0j -6.83973e-07-0j 0.03006-0j 
0.0323607-0j -0.031515-0j -0.00456715-0j 0.0027076-0j 0.00375098-0j -0.00229279-0j -0.000330935-0j 0.00266305-0j 0.000384377-0j -0.000191836-0j -0.00484001-0j -0.000698595-0j -0.000701413-0j 0.000138729-0j 0.000961144-0j 0.000272892-0j -0.000265761-0j 0.00228261-0j 0.000329466-0j 0.000330796-0j -1.59864e-05-0j 0.00154371-0j -0.00108519-0j 2.2741e-05-0j -0.00150337-0j -0.00396779-0j -2.21467e-05-0j 6.22919e-05-0j -5.84511e-05-0j 0.00187126-0j 2.75663e-05-0j 0.000292838-0j 5.19099e-06-0j 0.00165654-0j 0.000352376-0j 2.44032e-05-0j 
0.0326828-0j -0.0323607-0j 0.0045562-0j -0.00250535-0j -0.00378985-0j 0.00235336-0j 0.000339678-0j 0.00261405-0j 0.000377305-0j -0.000180401-0j -0.00164768-0j -0.000237821-0j 0.000231983-0j -0.000669253-0j -0.00463672-0j 0.000275609-0j -0.000272892-0j -0.00230626-0j -0.000332881-0j 0.000324709-0j -1.50334e-05-0j 0.00155908-0j -0.0010205-0j 2.29674e-05-0j -0.00154371-0j 0.0013123-0j -2.2741e-05-0j -0.000665691-0j 1.93319e-05-0j 0.00183683-0j 2.70591e-05-0j -0.000295873-0j -5.54743e-05-0j -0.00167371-0j -0.00376572-0j -2.46561e-05-0j 
2.89555e-06-0j -2.86701e-06-0j -9.70851e-05-0j 5.33849e-05-0j 8.07555e-05-0j 2.08497e-07-0j 0.00138976-0j 2.31593e-07-0j 0.00154371-0j 3.84404e-06-0j -1.45977e-07-0j -0.000973023-0j -4.94318e-06-0j -0.00273818-0j -4.10793e-07-0j -5.87277e-06-0j 5.81489e-06-0j -2.04325e-07-0j -0.00136195-0j -6.91902e-06-0j 0.00882047-0j 1.38127e-07-0j -9.04118e-08-0j -0.0134756-0j -1.36766e-07-0j 1.16264e-07-0j 0.0133428-0j 1.41848e-05-0j -0.0113425-0j 1.62735e-07-0j -0.0158763-0j 6.30456e-06-0j 0.0325482-0j -1.48283e-07-0j -3.33626e-07-0j 0.0144663-0j 
2.86701e-06-0j -2.79209e-06-0j 9.73184e-05-0j -5.76945e-05-0j -7.99272e-05-0j -2.03131e-07-0j -0.00135399-0j 2.35934e-07-0j 0.00157264-0j 4.08772e-06-0j -4.28803e-07-0j -0.00285823-0j 1.4946e-05-0j 0.000567597-0j 8.51531e-08-0j -5.81489e-06-0j 5.66293e-06-0j 2.02229e-07-0j 0.00134798-0j -7.04871e-06-0j 0.00937961-0j 1.36766e-07-0j -9.6143e-08-0j -0.0133428-0j -1.33192e-07-0j -3.51529e-07-0j 0.0129941-0j -1.32734e-06-0j 0.0342948-0j 1.65786e-07-0j -0.0161739-0j -6.23989e-06-0j -0.00304569-0j 1.46762e-07-0j 3.1219e-08-0j -0.014318-0j 
