-0.0103932-0j -0.0720061-0j -0.0104351-0j -0.000869593-0j -0.0590299-0j 0.000736368-0j -0.000756128-0j 0.00589094-0j -0.00604903-0j 6.16116e-05-0j 0.00360745-0j -0.00370426-0j 0.000522792-0j -4.45553e-05-0j 4.33909e-05-0j 0.000603668-0j 0.00418233-0j 0.0353457-0j -0.0362942-0j 0.00512229-0j -3.6526e-05-0j -0.00049579-0j -5.06014e-05-0j -0.00035788-0j -0.00343494-0j -0.000429367-0j -0.00247947-0j 2.81217e-06-0j -0.000309933-0j -0.00420692-0j -0.00303672-0j 0.0317417-0j -1.66718e-06-0j -0.0260693-0j -2.30963e-06-0j -0.0188178-0j 
-0.478324-0j -0.000740697-0j 0.0102624-0j -0.122638-0j -0.000607217-0j -0.0344422-0j -0.0347991-0j 0.0058879-0j 0.00594891-0j -0.00883068-0j -3.77133e-05-0j -3.81042e-05-0j 0.000522521-0j -0.0126553-0j -0.0125255-0j -0.0282354-0j -4.37233e-05-0j -0.000369514-0j -0.000373343-0j 0.00511964-0j -0.00515123-0j -0.0228177-0j -0.00713627-0j -0.0164707-0j -3.53338e-05-0j 0.000422261-0j -2.55053e-05-0j -0.00135768-0j 0.000304804-0j 0.00413729-0j 0.00298646-0j -0.000331836-0j -0.000791978-0j -0.000268164-0j -0.00109717-0j -0.000193571-0j 
0.341731-0j 0.000529179-0j -0.00733182-0j 0.0876168-0j 0.000433816-0j -0.0730307-0j 0.0248617-0j 0.0124846-0j -0.00425011-0j -0.0187244-0j -7.99667e-05-0j 2.72229e-05-0j 0.00110794-0j 0.00904136-0j -0.0265588-0j -0.0598699-0j -9.27101e-05-0j -0.00078351-0j 0.000266729-0j 0.0108556-0j 0.00368022-0j 0.0163017-0j 0.00509839-0j 0.0117672-0j 2.52437e-05-0j -0.000301678-0j 1.82218e-05-0j -0.00287879-0j -0.000217763-0j -0.00295583-0j -0.00213363-0j -0.00070362-0j 0.000565817-0j 0.000191586-0j 0.000783855-0j 0.000138294-0j 
-0.000311887-0j 0.207901-0j -0.0886715-0j 7.68006e-05-0j 0.0052134-0j 0.00216075-0j 0.0104238-0j -0.000179662-0j -0.000866721-0j -0.000532074-0j 0.021281-0j 0.102663-0j -0.00907652-0j -6.384e-06-0j -1.32334e-06-0j 5.41838e-05-0j -0.0361184-0j -0.00107797-0j -0.00520032-0j 0.000459765-0j 0.000122712-0j -1.48781e-05-0j 0.0001461-0j -1.24963e-05-0j 0.00991757-0j 0.00249228-0j 0.00832994-0j 2.52414e-07-0j 0.00209331-0j -0.000126245-0j -0.000106035-0j 0.00284906-0j -5.82139e-08-0j -0.000782309-0j -6.93091e-08-0j -0.000657075-0j 
-0.00837923-0j -0.0584227-0j 0.400492-0j -0.0010553-0j 0.000497791-0j -0.05712-0j 0.0586528-0j 0.00234987-0j -0.00241293-0j -0.0071938-0j 0.00588429-0j -0.00604219-0j -0.0403373-0j -7.22187e-05-0j 7.03314e-05-0j 0.000486691-0j 0.00339337-0j -0.000298065-0j 0.000306063-0j 0.00204326-0j 0.0042648-0j 0.000797315-0j -0.0117852-0j -0.000288531-0j 0.00555914-0j -0.066082-0j -0.00201174-0j 5.70367e-06-0j 0.0239137-0j 0.00334734-0j -0.00121133-0j -0.000267673-0j -3.38138e-06-0j -0.000438511-0j 9.34395e-06-0j 0.000158688-0j 
-0.0102624-0j -0.0715529-0j 0.00698171-0j -1.83968e-05-0j 8.67789e-06-0j 0.071098-0j -0.0697898-0j -0.00292491-0j 0.00287109-0j 0.000127453-0j -0.00732424-0j 0.00718948-0j 0.000714656-0j 8.59316e-05-0j -8.75423e-05-0j -8.62271e-06-0j -6.01204e-05-0j 0.000371004-0j -0.000364178-0j -3.62004e-05-0j -0.0102235-0j -0.000489552-0j 0.0072361-0j 0.000691665-0j -0.00341332-0j 0.0405744-0j 0.00482252-0j -1.01052e-07-0j -0.0573257-0j -0.00205527-0j 0.00290379-0j 4.74236e-06-0j 8.10581e-06-0j 0.000269246-0j -5.7372e-06-0j -0.000380405-0j 
0.00733182-0j 0.0511199-0j -0.00498797-0j 1.31433e-05-0j -6.19978e-06-0j 0.150755-0j 0.0498602-0j -0.00620193-0j -0.00205121-0j 0.000270249-0j -0.0155302-0j -0.00513641-0j 0.00151534-0j -6.13925e-05-0j -0.000185623-0j -1.82834e-05-0j -0.000127478-0j 0.000786672-0j 0.000260181-0j -7.67587e-05-0j 0.00730405-0j 0.000349753-0j -0.00516972-0j -0.000494149-0j 0.00243859-0j -0.0289878-0j -0.00344537-0j -2.14269e-07-0j 0.0409554-0j 0.00146835-0j -0.00207457-0j 1.00556e-05-0j -5.79107e-06-0j -0.000192359-0j 4.09885e-06-0j 0.000271775-0j 
0.00846606-0j 0.0590282-0j 0.393124-0j -0.00103588-0j 0.000488631-0j -0.0586528-0j 0.0592366-0j 0.00241293-0j -0.00243694-0j 0.00717656-0j 0.00604219-0j -0.00610233-0j 0.0402406-0j -7.29376e-05-0j 7.22187e-05-0j -0.000485524-0j -0.00338523-0j -0.000306063-0j 0.000309109-0j -0.00203836-0j -0.00394623-0j -0.000805577-0j 0.0119073-0j 0.000266979-0j -0.00561675-0j 0.0667668-0j 0.00186147-0j -5.68999e-06-0j -0.0221274-0j -0.00338203-0j 0.00112085-0j 0.000267031-0j 3.1288e-06-0j 0.000443056-0j -9.44078e-06-0j -0.000146834-0j 
-0.00604845-0j -0.0421718-0j -0.565837-0j 0.00149098-0j -0.000703305-0j -0.0412314-0j 0.0387735-0j 0.00169623-0j -0.00159511-0j 0.0101638-0j 0.00424751-0j -0.0039943-0j 0.0569906-0j -4.77415e-05-0j 5.07679e-05-0j -0.000687623-0j -0.00479433-0j -0.000215154-0j 0.000202329-0j -0.00288682-0j 0.0119197-0j -0.000288531-0j 0.0042648-0j -0.000806415-0j -0.00201174-0j 0.0239137-0j -0.00562259-0j -8.05844e-06-0j 0.0668362-0j -0.00121133-0j -0.00338554-0j 0.000378182-0j -9.4506e-06-0j 0.000158688-0j -3.38138e-06-0j 0.000443516-0j 
0.0876168-0j 4.42762e-05-0j -1.31433e-05-0j -0.00483003-0j 5.16649e-07-0j -0.0187244-0j -0.00619286-0j 0.00157233-0j 0.000520029-0j 0.00103222-0j -6.69078e-06-0j -2.21289e-06-0j 1.98614e-06-0j 0.0697709-0j 0.210956-0j -0.000218491-0j -1.10412e-07-0j -6.5556e-05-0j -2.16818e-05-0j 1.94601e-05-0j 0.0278979-0j 0.00417962-0j -0.0197458-0j -0.00590518-0j 2.11213e-06-0j -3.79939e-05-0j -2.98412e-06-0j 0.000491657-0j 5.36797e-05-0j -0.000372262-0j 0.000525952-0j -8.37968e-07-0j 0.0132881-0j 1.60299e-05-0j -0.00940516-0j -2.26479e-05-0j 
0.101171-0j 5.11258e-05-0j 0.00103588-0j 0.380675-0j -4.07193e-05-0j 0.00728494-0j -0.00735745-0j -0.000611733-0j 0.000617822-0j 0.0274109-0j 2.60312e-06-0j -2.62903e-06-0j 5.27428e-05-0j 0.0828915-0j -0.0820746-0j -0.00580211-0j -2.93204e-06-0j 2.55053e-05-0j -2.57591e-05-0j 0.000516772-0j -0.0150727-0j -0.00962681-0j 0.04548-0j 0.00319045-0j -4.86481e-06-0j 8.75104e-05-0j 1.61226e-06-0j 0.0130562-0j -2.90021e-05-0j 0.000857423-0j -0.000284161-0j -2.22526e-05-0j -0.0071793-0j -3.69213e-05-0j 0.0216627-0j 1.22362e-05-0j 
0.00908484-0j 0.0633425-0j -0.434218-0j 0.00114416-0j -0.000539709-0j -0.0629397-0j -0.0635919-0j 0.00258929-0j 0.00261612-0j -0.00792675-0j 0.00648381-0j 0.006551-0j -0.044447-0j 7.83002e-05-0j 7.74971e-05-0j 0.000536277-0j 0.0037391-0j -0.000328433-0j -0.000331836-0j 0.00225143-0j -0.00462393-0j 0.000433378-0j -0.00640578-0j 0.000312828-0j 0.00302165-0j -0.0359186-0j 0.00218114-0j 6.28478e-06-0j -0.0259274-0j 0.00181943-0j 0.00131334-0j -0.000294945-0j 3.66612e-06-0j -0.000238351-0j 5.07887e-06-0j -0.000172051-0j 
-0.0722801-0j -3.6526e-05-0j -0.00149098-0j -0.54792-0j 5.86087e-05-0j 0.00512112-0j -0.00481584-0j -0.000430033-0j 0.000404398-0j 0.0388207-0j 1.82993e-06-0j -1.72084e-06-0j 7.46969e-05-0j 0.0542569-0j -0.0576963-0j -0.00821723-0j -4.15249e-06-0j 1.79295e-05-0j -1.68607e-05-0j 0.000731877-0j 0.0455272-0j -0.00344801-0j 0.0162894-0j -0.00963682-0j -1.74241e-06-0j 3.13433e-05-0j -4.86986e-06-0j 0.0184908-0j 8.76013e-05-0j 0.000307101-0j 0.000858314-0j -3.15152e-05-0j 0.0216852-0j -1.3224e-05-0j 0.00775886-0j -3.69597e-05-0j 
-0.100133-0j -5.06014e-05-0j 0.0010553-0j 0.387811-0j -4.14825e-05-0j 0.00709456-0j -0.00728494-0j -0.000595747-0j 0.000611733-0j -0.0274768-0j 2.53509e-06-0j -2.60312e-06-0j -5.28695e-05-0j 0.0820746-0j -0.0799297-0j 0.00581605-0j 2.93908e-06-0j 2.48387e-05-0j -2.55053e-05-0j -0.000518013-0j 0.0162894-0j 0.00952807-0j -0.0450135-0j -0.00344801-0j 4.81491e-06-0j -8.66128e-05-0j -1.74241e-06-0j -0.0130875-0j 3.13433e-05-0j -0.000848629-0j 0.000307101-0j 2.23061e-05-0j 0.00775886-0j 3.65426e-05-0j -0.0214405-0j -1.3224e-05-0j 
-0.122638-0j -6.19738e-05-0j 1.83968e-05-0j 0.00676063-0j -7.23157e-07-0j -0.00883068-0j 0.0086682-0j 0.000741533-0j -0.000727889-0j 0.000486807-0j -3.15546e-06-0j 3.0974e-06-0j 9.3669e-07-0j -0.0976589-0j 0.0994894-0j -0.000103043-0j -5.20717e-08-0j -3.0917e-05-0j 3.03482e-05-0j 9.17765e-06-0j -0.0390489-0j -0.00585025-0j 0.0276383-0j 0.00826554-0j -2.95636e-06-0j 5.31803e-05-0j 4.1769e-06-0j 0.000231872-0j -7.5136e-05-0j 0.000521059-0j -0.000736179-0j -3.95197e-07-0j -0.0185995-0j -2.24372e-05-0j 0.0131645-0j 3.17005e-05-0j 
0.00193251-0j 0.0134741-0j 0.36289-0j -0.000956213-0j 0.000451053-0j -0.0133884-0j -0.143077-0j 0.000550787-0j 0.00588607-0j 0.00662464-0j 0.00137922-0j 0.0147393-0j 0.0371459-0j 0.00017617-0j 1.6485e-05-0j -0.000448185-0j -0.00312489-0j -6.98636e-05-0j -0.000746607-0j -0.0018816-0j 0.012744-0j 9.21872e-05-0j -0.00136262-0j -0.000862187-0j 0.000642759-0j -0.00764054-0j -0.00601145-0j -5.2524e-06-0j 0.0714587-0j 0.000387026-0j -0.00361969-0j 0.000246495-0j -1.01042e-05-0j -5.07016e-05-0j 1.08037e-06-0j 0.00047419-0j 
-0.00049579-0j -0.00343494-0j -0.000497791-0j -4.14825e-05-0j 0.410394-0j 3.51273e-05-0j -3.60699e-05-0j -0.0409556-0j 0.0420546-0j 2.93908e-06-0j 0.000172088-0j -0.000176706-0j 2.49389e-05-0j -2.12544e-06-0j 2.06989e-06-0j -0.00419688-0j -0.0290768-0j 0.00168611-0j -0.00173135-0j 0.000244351-0j -1.74241e-06-0j -0.00687548-0j 4.81491e-06-0j 0.00248809-0j -0.0476347-0j 4.08559e-05-0j 0.017238-0j 1.3415e-07-0j -1.47849e-05-0j 0.000400304-0j -0.000144862-0j 0.00151419-0j -7.953e-08-0j 0.00248059-0j 2.1977e-07-0j -0.000897675-0j 
-0.000607217-0j -0.00420692-0j -8.67789e-06-0j -7.23157e-07-0j 0.00715431-0j -4.37233e-05-0j 4.29188e-05-0j 0.0509779-0j -0.0500399-0j -5.20717e-08-0j -0.0002142-0j 0.000210258-0j -4.41843e-07-0j 2.52901e-06-0j -2.57642e-06-0j 7.43561e-05-0j 0.000515154-0j -0.00209872-0j 0.0020601-0j -4.32916e-06-0j 4.1769e-06-0j 0.00422155-0j -2.95636e-06-0j -0.00596443-0j 0.0292478-0j -2.50855e-05-0j -0.0413228-0j -2.37674e-09-0j 3.54422e-05-0j -0.000245787-0j 0.000347261-0j -2.68268e-05-0j 1.90649e-07-0j -0.00152309-0j -1.34939e-07-0j 0.0021519-0j 
0.000433816-0j 0.00300557-0j 6.19978e-06-0j 5.16649e-07-0j -0.00511129-0j -9.27101e-05-0j -3.06627e-05-0j 0.108093-0j 0.0357502-0j -1.10412e-07-0j -0.000454185-0j -0.000150216-0j -9.36877e-07-0j -1.80682e-06-0j -5.463e-06-0j 0.000157663-0j 0.00109232-0j -0.00445009-0j -0.00147181-0j -9.17948e-06-0j -2.98412e-06-0j -0.00301602-0j 2.11213e-06-0j 0.00426119-0j -0.0208956-0j 1.7922e-05-0j 0.0295224-0j -5.0396e-09-0j -2.53211e-05-0j 0.000175599-0j -0.000248095-0j -5.68832e-05-0j -1.36206e-07-0j 0.00108815-0j 9.64049e-08-0j -0.00153739-0j 
0.000500928-0j 0.00347053-0j -0.000488631-0j -4.07193e-05-0j 0.402843-0j 3.60699e-05-0j -3.64289e-05-0j -0.0420546-0j 0.0424732-0j -2.93204e-06-0j 0.000176706-0j -0.000178464-0j -2.48792e-05-0j -2.14659e-06-0j 2.12544e-06-0j 0.00418682-0j 0.0290071-0j 0.00173135-0j -0.00174859-0j -0.000243765-0j 1.61226e-06-0j 0.00694673-0j -4.86481e-06-0j -0.00230224-0j 0.0481283-0j -4.12793e-05-0j -0.0159504-0j -1.33829e-07-0j 1.36805e-05-0j -0.000404453-0j 0.000134041-0j -0.00151056-0j 7.35893e-08-0j -0.0025063-0j -2.22047e-07-0j 0.000830621-0j 
-0.00035788-0j -0.00247947-0j 0.000703305-0j 5.86087e-05-0j -0.579826-0j 2.53562e-05-0j -2.38447e-05-0j -0.0295633-0j 0.027801-0j -4.15249e-06-0j 0.000124219-0j -0.000116815-0j -3.5235e-05-0j -1.40506e-06-0j 1.49413e-06-0j 0.00592957-0j 0.0410813-0j 0.0012171-0j -0.00114454-0j -0.000345231-0j -4.86986e-06-0j 0.00248809-0j -1.74241e-06-0j 0.00695395-0j 0.017238-0j -1.47849e-05-0j 0.0481784-0j -1.89534e-07-0j -4.13222e-05-0j -0.000144862-0j -0.000404873-0j -0.00213932-0j -2.22278e-07-0j -0.000897675-0j -7.953e-08-0j -0.00250891-0j 
0.00053754-0j 0.00372419-0j 0.000539709-0j 4.49758e-05-0j -0.444953-0j 3.87062e-05-0j 3.91073e-05-0j -0.0451284-0j -0.045596-0j 3.23853e-06-0j 0.000189621-0j 0.000191586-0j 2.74798e-05-0j 2.30442e-06-0j 2.28078e-06-0j -0.00462448-0j -0.0320393-0j 0.0018579-0j 0.00187715-0j 0.000269246-0j 1.88914e-06-0j -0.00373714-0j 2.61713e-06-0j -0.00269761-0j -0.0258917-0j 2.22071e-05-0j -0.0186896-0j 1.47818e-07-0j 1.60299e-05-0j 0.000217584-0j 0.00015706-0j 0.00166846-0j 8.62272e-08-0j 0.00134832-0j 1.19455e-07-0j 0.000973267-0j 
0.108566-0j 5.48625e-05-0j -0.00114416-0j -0.420468-0j 4.49758e-05-0j 0.00781739-0j 0.0078984-0j -0.000656445-0j -0.000663247-0j -0.0302763-0j 2.79338e-06-0j 2.82233e-06-0j -5.82561e-05-0j -0.0889861-0j -0.0880734-0j 0.00640862-0j 3.23853e-06-0j 2.73694e-05-0j 2.7653e-05-0j -0.000570791-0j -0.0176612-0j 0.00517895-0j -0.0244669-0j 0.00373836-0j 2.61713e-06-0j -4.70781e-05-0j 1.88914e-06-0j -0.014421-0j -3.39827e-05-0j -0.000461269-0j -0.000332962-0j 2.45787e-05-0j -0.00841223-0j 1.98626e-05-0j -0.0116539-0j 1.43376e-05-0j 
0.0230939-0j 1.16702e-05-0j 0.000956213-0j 0.351399-0j -3.75877e-05-0j 0.0016629-0j 0.0177708-0j -0.000139638-0j -0.00149226-0j 0.0253029-0j 5.94202e-07-0j 6.35002e-06-0j 4.86866e-05-0j -0.200212-0j -0.0187348-0j -0.0053559-0j -2.70655e-06-0j 5.82196e-06-0j 6.22173e-05-0j 0.000477029-0j 0.0486759-0j 0.00110166-0j -0.00520455-0j -0.0103033-0j 5.5671e-07-0j -1.00143e-05-0j -5.20667e-06-0j 0.0120521-0j 9.36599e-05-0j -9.81202e-05-0j 0.000917676-0j -2.05412e-05-0j 0.023185-0j 4.22513e-06-0j -0.00247899-0j -3.95158e-05-0j 
0.000114344-0j 0.000792202-0j -0.000451053-0j -3.75877e-05-0j 0.371862-0j 8.2335e-06-0j 8.79885e-05-0j -0.00959961-0j -0.102588-0j -2.70655e-06-0j 4.03358e-05-0j 0.000431054-0j -2.29658e-05-0j 5.18477e-06-0j 4.85164e-07-0j 0.00386483-0j 0.0267763-0j 0.000395208-0j 0.00422345-0j -0.000225018-0j -5.20667e-06-0j -0.000794957-0j 5.5671e-07-0j 0.00743489-0j -0.00550762-0j 4.72384e-06-0j 0.0515104-0j -1.23536e-07-0j -4.418e-05-0j 4.6284e-05-0j -0.000432874-0j -0.00139439-0j -2.37651e-07-0j 0.000286811-0j 2.54102e-08-0j -0.00268242-0j 
