0.00148474-0j 0.0118779-0j 8.74892e-05-0j 0.000124228-0j 0.00727371-0j 0.00105411-0j 0.00121718-0j 0.00843285-0j 0.0712676-0j 0.0103281-0j 5.67019e-06-0j 0.000855283-0j 0.000864146-0j 0.0640008-0j 7.55971e-05-0j 6.29976e-06-0j 7.12736e-05-0j 7.20122e-05-0j 6.36504e-06-0j 7.63805e-05-0j 0.000740697-0j 0.000748373-0j 0.0051317-0j 0.00518488-0j 0.00649114-0j 0.00655841-0j 0.00342113-0j 0.00345659-0j 2.34778e-07-0j 0.000305522-0j 2.37211e-07-0j 0.000302388-0j 0.0410536-0j 0.041479-0j 
0.0143048-0j -0.00120121-0j -0.161163-0j -0.0554015-0j 5.11151e-06-0j -0.000106601-0j 0.0117269-0j 5.92608e-06-0j 5.00824e-05-0j -0.00104447-0j -0.0263884-0j -8.64942e-05-0j -8.73905e-05-0j 4.49758e-05-0j 0.000728342-0j -0.0116047-0j -0.0317857-0j -0.0321151-0j -0.0117249-0j 0.00073589-0j 0.00713627-0j 0.00721022-0j 3.60624e-06-0j 3.64361e-06-0j -0.000656445-0j -0.000663247-0j 2.40416e-06-0j 2.42907e-06-0j -0.00219672-0j 2.14702e-07-0j -0.00221948-0j 2.125e-07-0j 2.88499e-05-0j 2.91489e-05-0j 
0.0103257-0j -0.000867076-0j -0.116333-0j 0.0782742-0j 3.68968e-06-0j 0.000150611-0j -0.0165684-0j -8.37268e-06-0j 3.61514e-05-0j 0.00147569-0j 0.037283-0j -6.24348e-05-0j -5.77711e-05-0j -6.35441e-05-0j 0.000525745-0j -0.0083767-0j -0.0229442-0j -0.0212303-0j -0.00775099-0j 0.000486474-0j 0.00515123-0j 0.00476645-0j 2.60312e-06-0j 2.40867e-06-0j -0.000473847-0j -0.000438452-0j 1.73541e-06-0j 1.60578e-06-0j -0.00158567-0j 1.41933e-07-0j -0.00146723-0j 1.5339e-07-0j 2.0825e-05-0j 1.92694e-05-0j 
0.552304-0j 0.000981316-0j -0.00208758-0j 0.00201559-0j 0.0012158-0j -0.000239769-0j -6.6983e-05-0j 9.97979e-06-0j -6.15856e-05-0j 1.21453e-05-0j -3.22082e-06-0j -0.00679855-0j 0.00667346-0j -7.87217e-07-0j 0.0565345-0j 0.0144627-0j -0.00084441-0j 0.000828873-0j -0.0141966-0j -0.0554943-0j -0.00286372-0j 0.00281102-0j 0.000426665-0j -0.000418814-0j 0.000536277-0j -0.00052641-0j -2.95636e-06-0j 2.90196e-06-0j -1.40832e-05-0j -7.45496e-05-0j 1.38241e-05-0j 7.5947e-05-0j -3.54763e-05-0j 3.48236e-05-0j 
-0.483266-0j -0.000858652-0j 0.00182663-0j 0.120378-0j -0.00106383-0j -0.0143198-0j -0.00400044-0j 0.000596026-0j 5.38874e-05-0j 0.00072536-0j -0.000192358-0j -0.00585331-0j -0.00600794-0j -4.70152e-05-0j 0.0486742-0j 0.0124519-0j -0.000727007-0j -0.000746213-0j 0.0127809-0j 0.0499601-0j -0.00246556-0j -0.00253069-0j 0.000367343-0j 0.000377048-0j 0.000461716-0j 0.000473913-0j -2.54532e-06-0j -2.61256e-06-0j -1.21251e-05-0j 6.71151e-05-0j -1.24454e-05-0j 6.53876e-05-0j -3.05438e-05-0j -3.13508e-05-0j 
7.08272e-05-0j -0.0825789-0j 4.17353e-06-0j 5.92608e-06-0j 0.000346981-0j 5.02844e-05-0j -0.00846217-0j -0.0586277-0j 0.0033997-0j 0.000492685-0j 2.70487e-07-0j -0.00594618-0j -0.0060078-0j 0.00305306-0j 3.60624e-06-0j 3.0052e-07-0j -0.000495515-0j -0.00050065-0j 3.03634e-07-0j 3.64361e-06-0j 3.53338e-05-0j 3.56999e-05-0j 0.000244799-0j 0.000247336-0j 0.00030965-0j 0.000312858-0j -0.0477327-0j -0.0482273-0j 1.11997e-08-0j 1.45744e-05-0j 1.13158e-08-0j 1.44249e-05-0j 0.0019584-0j 0.00197869-0j 
5.11258e-05-0j -0.0596086-0j 3.01261e-06-0j -8.37268e-06-0j 0.000250464-0j -7.10445e-05-0j 0.0119558-0j 0.0828323-0j 0.00245404-0j -0.000696091-0j -3.82159e-07-0j -0.00429218-0j -0.00397157-0j -0.00431352-0j 2.60312e-06-0j 2.16927e-07-0j -0.000357682-0j -0.000330964-0j 2.00723e-07-0j 2.40867e-06-0j 2.55053e-05-0j 2.36001e-05-0j 0.000176706-0j 0.000163506-0j 0.000223517-0j 0.000206821-0j -0.0344553-0j -0.0318816-0j 8.08438e-09-0j 9.6347e-06-0j 7.4805e-09-0j 1.04125e-05-0j 0.00141364-0j 0.00130805-0j 
-0.000981316-0j 0.566085-0j -0.000116254-0j -1.75914e-06-0j 5.02844e-05-0j -4.90646e-06-0j 0.00166883-0j -0.000120935-0j 0.000492685-0j -4.80733e-05-0j -1.34194e-07-0j 0.0407616-0j -0.0400116-0j 6.29774e-06-0j -4.99647e-05-0j -8.371e-06-0j 0.010334-0j -0.0101439-0j 8.21698e-06-0j 4.90454e-05-0j -0.000489552-0j 0.000480544-0j 3.54763e-05-0j -3.48236e-05-0j -0.00212267-0j 0.00208362-0j -0.00691741-0j 0.00679013-0j -4.68765e-07-0j -2.052e-06-0j 4.6014e-07-0j 2.09046e-06-0j 0.000283811-0j -0.000278589-0j 
0.000858652-0j -0.495324-0j 0.000101722-0j -0.000105062-0j -4.39989e-05-0j -0.00029303-0j 0.0996681-0j -0.00722264-0j -0.000431099-0j -0.00287109-0j -8.01453e-06-0j 0.0350942-0j 0.0360214-0j 0.000376122-0j -4.30178e-05-0j -7.20713e-06-0j 0.00889721-0j 0.00913226-0j -7.39753e-06-0j -4.41543e-05-0j -0.000421487-0j -0.000432622-0j 3.05438e-05-0j 3.13508e-05-0j -0.00182754-0j -0.00187583-0j -0.00595564-0j -0.00611298-0j -4.0359e-07-0j 1.84736e-06-0j -4.14252e-07-0j 1.79981e-06-0j 0.000244351-0j 0.000250806-0j 
0.199337-0j 0.000354176-0j -0.000753447-0j -0.150415-0j 0.000438806-0j 0.0178929-0j 0.00499865-0j -0.000744748-0j -2.22274e-05-0j -0.000906354-0j 0.000240356-0j -0.00245373-0j -0.0118372-0j 5.87466e-05-0j 0.0204044-0j 0.00521988-0j -0.000304764-0j -0.00147023-0j 0.0251816-0j 0.0984342-0j -0.00103357-0j -0.00498611-0j 0.000153991-0j 0.000742881-0j 0.000193553-0j 0.000933731-0j -1.06701e-06-0j -5.14742e-06-0j -5.08289e-06-0j 0.000132234-0j -2.45207e-05-0j 2.74107e-05-0j -1.28041e-05-0j -6.17691e-05-0j 
-0.0012158-0j 5.02844e-05-0j 3.7038e-07-0j -1.44794e-06-0j 0.570075-0j 0.00117593-0j 7.33446e-08-0j -9.82898e-05-0j 0.000301707-0j 6.2235e-07-0j 3.41674e-10-0j -0.000700361-0j 0.000687475-0j 3.85656e-06-0j 0.0059249-0j -5.15865e-06-0j 3.01732e-07-0j -2.9618e-07-0j 5.06373e-06-0j -0.00581588-0j 3.13569e-06-0j -3.078e-06-0j -0.00420217-0j 0.00412485-0j 2.74798e-05-0j -2.69742e-05-0j 1.44831e-05-0j -1.42167e-05-0j 9.93918e-10-0j -0.070521-0j -9.7563e-10-0j 0.0718429-0j 0.000173798-0j -0.0001706-0j 
0.00106383-0j -4.39989e-05-0j -3.24082e-07-0j -8.6476e-05-0j -0.498816-0j 0.0702305-0j 4.38038e-06-0j -0.00587019-0j -0.000263993-0j 3.71688e-05-0j 2.04059e-08-0j -0.000602986-0j -0.000618916-0j 0.000230326-0j 0.00510112-0j -4.44141e-06-0j 2.59781e-07-0j 2.66644e-07-0j -4.55875e-06-0j 0.00523589-0j 2.69972e-06-0j 2.77104e-06-0j -0.00361792-0j -0.0037135-0j 2.36591e-05-0j 2.42842e-05-0j 1.24695e-05-0j 1.27989e-05-0j 8.55727e-10-0j 0.0634882-0j 8.78334e-10-0j 0.0618541-0j 0.000149634-0j 0.000153587-0j 
-0.00182663-0j 0.000101722-0j -0.467745-0j -0.0140958-0j -3.24082e-07-0j -8.77035e-06-0j 0.00145483-0j 3.65032e-07-0j -3.17535e-06-0j -8.59316e-05-0j 0.15376-0j -7.20713e-06-0j -7.39753e-06-0j 2.7704e-06-0j 9.15129e-05-0j 0.0331402-0j -0.00819071-0j -0.00840709-0j 0.0340157-0j 9.39305e-05-0j 0.000896639-0j 0.000920327-0j 2.24977e-07-0j 2.3092e-07-0j -5.46983e-05-0j -5.61433e-05-0j 1.49984e-07-0j 1.53947e-07-0j 0.019618-0j 1.36071e-08-0j 0.0201363-0j 1.32569e-08-0j 1.79981e-06-0j 1.84736e-06-0j 
0.00208758-0j -0.000116254-0j 0.534566-0j -0.000236019-0j 3.7038e-07-0j -1.4685e-07-0j 2.43595e-05-0j 6.11205e-09-0j 3.62897e-06-0j -1.43883e-06-0j 0.00257454-0j -8.371e-06-0j 8.21698e-06-0j 4.63872e-08-0j 0.000106291-0j 0.038492-0j -0.00951341-0j 0.00933837-0j -0.0377837-0j -0.000104335-0j 0.00104144-0j -0.00102227-0j 2.61308e-07-0j -2.565e-07-0j -6.35314e-05-0j 6.23625e-05-0j 1.74205e-07-0j -1.71e-07-0j 0.0227861-0j -1.51144e-08-0j -0.0223668-0j 1.53977e-08-0j 2.09046e-06-0j -2.052e-06-0j 
0.000841128-0j -0.485215-0j 9.96463e-05-0j 0.000105933-0j -4.31009e-05-0j 0.00029546-0j -0.100495-0j 0.00728256-0j -0.000422301-0j 0.00289491-0j 8.08102e-06-0j -0.0349385-0j -0.0353005-0j -0.000379242-0j 4.28269e-05-0j 7.17514e-06-0j -0.00885772-0j -0.00894951-0j 7.2495e-06-0j 4.32707e-05-0j 0.000419616-0j 0.000423965-0j -3.04083e-05-0j -3.07234e-05-0j 0.00181943-0j 0.00183829-0j 0.00592921-0j 0.00599065-0j 4.01798e-07-0j -1.81039e-06-0j 4.05962e-07-0j -1.79182e-06-0j -0.000243266-0j -0.000245787-0j 
-0.000600931-0j 0.346655-0j -7.11908e-05-0j -7.56824e-05-0j 3.07928e-05-0j -0.000211087-0j 0.0717971-0j -0.00520291-0j 0.000301707-0j -0.00206822-0j -5.77336e-06-0j -0.0740829-0j 0.0252199-0j 0.000270943-0j 9.08094e-05-0j 1.52141e-05-0j -0.0187818-0j 0.00639384-0j -5.17929e-06-0j -3.09141e-05-0j 0.000889747-0j -0.000302895-0j -6.44772e-05-0j 2.19499e-05-0j 0.0038579-0j -0.00131334-0j 0.0125722-0j -0.00427993-0j 8.51966e-07-0j 1.29341e-06-0j -2.90033e-07-0j -3.79935e-06-0j -0.000515817-0j 0.000175599-0j 
-0.473403-0j -0.000841128-0j 0.00178935-0j -0.121376-0j -0.00104212-0j 0.0144386-0j 0.00403363-0j -0.00060097-0j 5.27877e-05-0j -0.000731377-0j 0.000193954-0j 0.00582733-0j 0.00588772-0j 4.74052e-05-0j -0.0484581-0j -0.0123966-0j 0.00072378-0j 0.000731281-0j -0.0125251-0j -0.0489603-0j 0.00245461-0j 0.00248005-0j -0.000365713-0j -0.000369502-0j -0.000459666-0j -0.00046443-0j 2.53402e-06-0j 2.56028e-06-0j 1.20713e-05-0j -6.5772e-05-0j 1.21964e-05-0j -6.50974e-05-0j 3.04083e-05-0j 3.07234e-05-0j 
0.338216-0j 0.000600931-0j -0.00127838-0j 0.0867155-0j 0.000744524-0j -0.0103154-0j -0.00288177-0j 0.000429354-0j -3.77133e-05-0j 0.000522521-0j -0.000138567-0j 0.0123562-0j -0.00420639-0j -3.38679e-05-0j -0.10275-0j -0.0262856-0j 0.00153469-0j -0.000522452-0j 0.00894836-0j 0.0349789-0j 0.00520472-0j -0.00177183-0j -0.000775451-0j 0.000263985-0j -0.000974669-0j 0.000331805-0j 5.3731e-06-0j -1.82915e-06-0j 2.55958e-05-0j 4.69898e-05-0j -8.71353e-06-0j -0.000138031-0j 6.44772e-05-0j -2.19499e-05-0j 
-0.000354176-0j 0.204311-0j -4.19583e-05-0j 0.000131277-0j 1.81486e-05-0j 0.000366147-0j -0.124538-0j 0.00902486-0j 0.000177819-0j 0.0035875-0j 1.00143e-05-0j 0.0147116-0j 0.0709714-0j -0.000469973-0j -1.80332e-05-0j -3.02125e-06-0j 0.00372974-0j 0.0179929-0j -1.4575e-05-0j -8.69953e-05-0j -0.000176689-0j -0.000852376-0j 1.28041e-05-0j 6.17691e-05-0j -0.000766113-0j -0.00369586-0j -0.00249663-0j -0.0120441-0j -1.69186e-07-0j 3.63978e-06-0j -8.16183e-07-0j 7.54488e-07-0j 0.000102433-0j 0.000494152-0j 
-6.15856e-05-0j -0.000492685-0j -3.62897e-06-0j -7.33446e-08-0j -0.000301707-0j -6.2235e-07-0j -7.18628e-07-0j -4.9788e-06-0j 0.579062-0j 0.00119447-0j -3.34771e-09-0j -3.54763e-05-0j 3.48236e-05-0j -3.77864e-05-0j -3.13569e-06-0j -2.61308e-07-0j -2.95636e-06-0j 2.90196e-06-0j 2.565e-07-0j 3.078e-06-0j 0.0060183-0j -0.00590757-0j 0.041696-0j -0.0409288-0j -0.000269246-0j 0.000264292-0j -0.000141905-0j 0.000139294-0j -9.73836e-09-0j 1.2312e-05-0j 9.55918e-09-0j -1.25428e-05-0j -0.00170286-0j 0.00167153-0j 
5.38874e-05-0j 0.000431099-0j 3.17535e-06-0j -4.38038e-06-0j 0.000263993-0j -3.71688e-05-0j -4.29188e-05-0j -0.00029735-0j -0.506679-0j 0.0713376-0j -1.99936e-07-0j -3.05438e-05-0j -3.13508e-05-0j -0.00225673-0j -2.69972e-06-0j -2.24977e-07-0j -2.54532e-06-0j -2.61256e-06-0j -2.3092e-07-0j -2.77104e-06-0j 0.00518154-0j 0.00531843-0j 0.0358988-0j 0.0368472-0j -0.000231811-0j -0.000237935-0j -0.000122175-0j -0.000125403-0j -8.38438e-09-0j -1.10842e-05-0j -8.60588e-09-0j -1.07989e-05-0j -0.0014661-0j -0.00150484-0j 
-0.00178935-0j 9.96463e-05-0j -0.458199-0j 0.0142128-0j -3.17468e-07-0j 8.84311e-06-0j -0.0014669-0j -3.6806e-07-0j -3.11054e-06-0j 8.66444e-05-0j -0.155036-0j 7.17514e-06-0j 7.2495e-06-0j -2.79338e-06-0j -9.11067e-05-0j -0.0329931-0j 0.00815435-0j 0.00823886-0j -0.033335-0j -9.20509e-05-0j -0.00089266-0j -0.00090191-0j -2.23978e-07-0j -2.26299e-07-0j 5.44555e-05-0j 5.50198e-05-0j -1.49319e-07-0j -1.50866e-07-0j -0.0195309-0j -1.33348e-08-0j -0.0197333-0j -1.3198e-08-0j -1.79182e-06-0j -1.81039e-06-0j 
-0.000438806-0j 1.81486e-05-0j 1.33677e-07-0j 0.000108054-0j 0.205751-0j -0.0877546-0j -5.47339e-06-0j 0.00733493-0j 0.000108892-0j -4.64432e-05-0j -2.54976e-08-0j -0.000252774-0j -0.00121942-0j -0.000287798-0j 0.00213841-0j -1.86185e-06-0j 1.08901e-07-0j 5.25356e-07-0j -8.9819e-06-0j 0.010316-0j 1.13173e-06-0j 5.45966e-06-0j -0.00151664-0j -0.00731654-0j 9.918e-06-0j 4.78461e-05-0j 5.22724e-06-0j 2.52171e-05-0j 3.58724e-10-0j 0.125088-0j 1.73054e-09-0j 0.0259295-0j 6.27269e-05-0j 0.000302605-0j 
0.000753447-0j -4.19583e-05-0j 0.192935-0j 0.0176131-0j 1.33677e-07-0j 1.09588e-05-0j -0.00181784-0j -4.56116e-07-0j 1.30976e-06-0j 0.000107373-0j -0.192127-0j -3.02125e-06-0j -1.4575e-05-0j -3.46168e-06-0j 3.83625e-05-0j 0.0138925-0j -0.00343357-0j -0.0165641-0j 0.0670197-0j 0.000185067-0j 0.000375874-0j 0.00181328-0j 9.4311e-08-0j 4.54972e-07-0j -2.29297e-05-0j -0.000110617-0j 6.2874e-08-0j 3.03315e-07-0j 0.00822393-0j 2.68095e-08-0j 0.0396737-0j 5.55733e-09-0j 7.54488e-07-0j 3.63978e-06-0j 
0.00104212-0j -4.31009e-05-0j -3.17468e-07-0j 8.71934e-05-0j -0.488636-0j -0.0708131-0j -4.41672e-06-0j 0.00591888-0j -0.000258606-0j -3.74771e-05-0j -2.05752e-08-0j 0.00060031-0j 0.000606531-0j -0.000232237-0j -0.00507848-0j 4.4217e-06-0j -2.58628e-07-0j -2.61308e-07-0j 4.46752e-06-0j -0.00513111-0j -2.68774e-06-0j -2.71559e-06-0j 0.00360186-0j 0.00363918-0j -2.35541e-05-0j -2.37982e-05-0j -1.24141e-05-0j -1.25428e-05-0j -8.51929e-10-0j -0.0622178-0j -8.60758e-10-0j -0.0615796-0j -0.000148969-0j -0.000150513-0j 
5.27877e-05-0j 0.000422301-0j 3.11054e-06-0j 4.41672e-06-0j 0.000258606-0j 3.74771e-05-0j 4.32748e-05-0j 0.000299817-0j -0.496339-0j -0.0719294-0j 2.01595e-07-0j 3.04083e-05-0j 3.07234e-05-0j 0.00227545-0j 2.68774e-06-0j 2.23978e-07-0j 2.53402e-06-0j 2.56028e-06-0j 2.26299e-07-0j 2.71559e-06-0j -0.00515854-0j -0.005212-0j -0.0357394-0j -0.0361098-0j 0.000230783-0j 0.000233174-0j 0.000121633-0j 0.000122894-0j 8.34717e-09-0j 1.08624e-05-0j 8.43367e-09-0j 1.07509e-05-0j 0.0014596-0j 0.00147472-0j 
-3.77133e-05-0j -0.000301707-0j -2.22228e-06-0j -3.15546e-06-0j -0.000184757-0j -2.67749e-05-0j -3.0917e-05-0j -0.0002142-0j 0.354602-0j 0.0513889-0j -1.44026e-07-0j 6.44772e-05-0j -2.19499e-05-0j -0.00162566-0j 5.69903e-06-0j 4.74919e-07-0j 5.3731e-06-0j -1.82915e-06-0j -1.61676e-07-0j -1.94011e-06-0j -0.0109381-0j 0.00372363-0j -0.0757813-0j 0.0257981-0j 0.000489347-0j -0.000166588-0j 0.000257909-0j -8.77994e-05-0j 1.76992e-08-0j -7.76044e-06-0j -6.02531e-09-0j 2.27961e-05-0j 0.0030949-0j -0.00105359-0j 
-0.000744524-0j 3.07928e-05-0j 2.2681e-07-0j -6.2294e-05-0j 0.349098-0j 0.0505913-0j 3.15546e-06-0j -0.00422865-0j 0.000184757-0j 2.67749e-05-0j 1.46996e-08-0j 0.00127289-0j -0.000433326-0j 0.000165918-0j -0.0107683-0j 9.37569e-06-0j -5.4839e-07-0j 1.86687e-07-0j -3.19175e-06-0j 0.00366584-0j -5.69903e-06-0j 1.94011e-06-0j 0.00763732-0j -0.00259996-0j -4.99438e-05-0j 1.70023e-05-0j -2.63227e-05-0j 8.96099e-06-0j -1.80642e-09-0j 0.0444505-0j 6.14955e-10-0j -0.130572-0j -0.000315872-0j 0.000107532-0j 
0.00127838-0j -7.11908e-05-0j 0.327353-0j -0.0101541-0j 2.2681e-07-0j -6.31782e-06-0j 0.001048-0j 2.62955e-07-0j 2.22228e-06-0j -6.19018e-05-0j 0.110763-0j 1.52141e-05-0j -5.17929e-06-0j 1.99569e-06-0j -0.000193181-0j -0.0699581-0j 0.0172904-0j -0.00588612-0j 0.0238157-0j 6.57643e-05-0j -0.00189278-0j 0.000644356-0j -4.74919e-07-0j 1.61676e-07-0j 0.000115467-0j -3.93081e-05-0j -3.16613e-07-0j 1.07784e-07-0j -0.041413-0j 9.52685e-09-0j 0.0140982-0j -2.79849e-08-0j -3.79935e-06-0j 1.29341e-06-0j 
-2.22274e-05-0j -0.000177819-0j -1.30976e-06-0j 5.47339e-06-0j -0.000108892-0j 4.64432e-05-0j 5.3628e-05-0j 0.000371546-0j 0.208995-0j -0.089138-0j 2.49825e-07-0j -1.28041e-05-0j -6.17691e-05-0j 0.00281984-0j -1.13173e-06-0j -9.4311e-08-0j -1.06701e-06-0j -5.14742e-06-0j -4.54972e-07-0j -5.45966e-06-0j 0.00217212-0j 0.0104787-0j 0.0150489-0j 0.0725984-0j -9.71761e-05-0j -0.000468794-0j -5.12163e-05-0j -0.000247076-0j -3.51476e-09-0j -2.18387e-05-0j -1.69558e-08-0j -4.52693e-06-0j -0.000614596-0j -0.00296491-0j 
