-0.042006-0j -0.049007-0j -0.0300105-0j -0.0428811-0j -0.0176876-0j -0.00541954-0j -0.00612202-0j -0.00499861-0j -0.00505041-0j -0.00437379-0j -0.00360819-0j -0.00115283-0j -0.0034961-0j -0.000504619-0j -0.00386948-0j -0.000558511-0j -0.00305909-0j -0.00203939-0j -0.00309079-0j -0.000441542-0j -0.000294361-0j -0.000446117-0j -0.00356894-0j -0.00126181-0j -0.00208188-0j -0.000515132-0j -0.00220817-0j -0.000182127-0j -0.000300494-0j -0.000318722-0j -0.0012881-0j -0.000336032-0j -0.000185921-0j -4.8502e-05-0j 
0.00378543-0j -0.00424151-0j 0.00270444-0j -0.00386127-0j 0.00747242-0j -0.0229691-0j 0.0249192-0j -0.0211851-0j 0.0213878-0j 0.0178032-0j -0.0135121-0j -0.0508824-0j 0.000315056-0j -0.00432282-0j -0.0003349-0j 0.00459509-0j 0.000275674-0j 0.000183783-0j -0.000278313-0j -0.00378247-0j -0.00252164-0j 0.00381867-0j -0.000308889-0j 0.00011371-0j 0.000165773-0j 0.00423819-0j -0.000198836-0j -0.00156019-0j -0.00227453-0j 0.00272819-0j 0.00054418-0j 0.000546945-0j -0.00746657-0j -0.00750451-0j 
-0.00305909-0j -0.00356894-0j 0.00638892-0j 0.00300305-0j -0.0012881-0j -0.000394679-0j -0.000445837-0j 0.000350063-0j -0.000367797-0j 0.000931132-0j 0.000252689-0j -8.39552e-05-0j 0.0242181-0j -3.67489e-05-0j 0.0268045-0j -4.06736e-05-0j -0.0203781-0j 0.0141272-0j 0.0214104-0j 3.09221e-05-0j -2.14369e-05-0j -3.24885e-05-0j -0.0237745-0j -0.0426982-0j 0.0144215-0j 3.60757e-05-0j -0.0447158-0j 6.47909e-05-0j -2.18835e-05-0j 6.78524e-05-0j -0.00858066-0j 0.00232775-0j 1.30204e-05-0j -3.53217e-06-0j 
0.00309079-0j -0.00346318-0j 0.00220817-0j -0.00315271-0j 0.00610121-0j 0.000398769-0j -0.000432626-0j 0.000367797-0j -0.000371317-0j -0.000309083-0j 0.000234586-0j 0.000883375-0j -0.0244691-0j 3.71297e-05-0j 0.0260103-0j -3.94684e-05-0j -0.0214104-0j -0.0142736-0j 0.0216154-0j 3.24885e-05-0j 2.1659e-05-0j -3.27995e-05-0j 0.0239901-0j -0.00883136-0j -0.0128749-0j -3.64029e-05-0j 0.0154428-0j 1.34008e-05-0j 1.95365e-05-0j -2.34331e-05-0j -0.0422641-0j -0.0424789-0j 6.41322e-05-0j 6.44581e-05-0j 
0.000441542-0j 0.000515132-0j -0.000922161-0j -0.000433453-0j 0.000185921-0j -0.0054153-0j -0.00611723-0j 0.00480314-0j -0.00504646-0j 0.0127759-0j 0.00346709-0j -0.00115193-0j 3.67489e-05-0j 0.023459-0j 4.06736e-05-0j 0.0259643-0j -3.09221e-05-0j 2.14369e-05-0j 3.24885e-05-0j -0.0197393-0j 0.0136844-0j 0.0207393-0j -3.60757e-05-0j -6.47909e-05-0j 2.18835e-05-0j -0.0230292-0j -6.78524e-05-0j -0.0413598-0j 0.0139695-0j -0.0433141-0j -1.30204e-05-0j 3.53217e-06-0j -0.00831169-0j 0.00225479-0j 
0.000382386-0j 0.000446117-0j -0.000798614-0j -0.000375381-0j 0.000161012-0j -0.00232023-0j -0.00262097-0j 0.00205794-0j -0.00216219-0j 0.00547391-0j 0.0014855-0j -0.000493554-0j -0.00608635-0j -0.000436671-0j -0.00673636-0j -0.000483306-0j 0.00512131-0j -0.00355037-0j -0.00538075-0j 0.000367433-0j -0.000254724-0j -0.000386046-0j 0.00597486-0j 0.0107307-0j -0.00362434-0j 0.000428671-0j 0.0112377-0j 0.00076988-0j -0.000260031-0j 0.000806259-0j 0.00215644-0j -0.000584997-0j 0.000154716-0j -4.19711e-05-0j 
-0.000446117-0j 0.000499867-0j -0.000318722-0j 0.000455055-0j -0.000880633-0j 0.00547142-0j -0.00593596-0j 0.00504646-0j -0.00509476-0j -0.00424086-0j 0.0032187-0j 0.0121206-0j -3.71297e-05-0j -0.0237021-0j 3.94684e-05-0j 0.0251949-0j -3.24885e-05-0j -2.1659e-05-0j 3.27995e-05-0j -0.0207393-0j -0.0138262-0j 0.0209378-0j 3.64029e-05-0j -1.34008e-05-0j -1.95365e-05-0j 0.0232381-0j 2.34331e-05-0j -0.00855453-0j -0.0124713-0j 0.0149587-0j -6.41322e-05-0j -6.44581e-05-0j -0.0409393-0j -0.0411473-0j 
-0.000386349-0j 0.000432898-0j -0.000276021-0j 0.000394089-0j -0.000762651-0j 0.00234427-0j -0.00254331-0j 0.00216219-0j -0.00218289-0j -0.00181703-0j 0.00137907-0j 0.00519316-0j 0.00614943-0j 0.000441196-0j -0.00653675-0j -0.000468984-0j 0.00538075-0j 0.00358717-0j -0.00543225-0j 0.000386046-0j 0.000257364-0j -0.000389741-0j -0.00602904-0j 0.00221945-0j 0.00323564-0j -0.000432559-0j -0.00388099-0j 0.000159236-0j 0.000232144-0j -0.000278445-0j 0.0106216-0j 0.0106755-0j 0.000762054-0j 0.000765926-0j 
-4.50646e-05-0j -5.25754e-05-0j 9.41176e-05-0j 4.42391e-05-0j -1.89755e-05-0j 0.000831952-0j 0.00093979-0j -0.000737906-0j 0.000775287-0j -0.00196275-0j -0.000532648-0j 0.000176971-0j 0.000356766-0j -0.00733774-0j 0.000394868-0j -0.00812139-0j -0.000300198-0j 0.000208114-0j 0.000315406-0j 0.00617428-0j -0.00428035-0j -0.00648706-0j -0.000350231-0j -0.000629004-0j 0.000212449-0j 0.00720332-0j -0.000658726-0j 0.0129369-0j -0.00436952-0j 0.0135482-0j -0.000126405-0j 3.4291e-05-0j 0.00259982-0j -0.000705275-0j 
4.55316e-05-0j -5.10175e-05-0j 3.25294e-05-0j -4.64438e-05-0j 8.98793e-05-0j -0.000840573-0j 0.000911942-0j -0.000775287-0j 0.000782708-0j 0.000651523-0j -0.000494488-0j -0.00186209-0j -0.000360464-0j 0.00741378-0j 0.000383167-0j -0.00788073-0j -0.000315406-0j -0.00021027-0j 0.000318425-0j 0.00648706-0j 0.0043247-0j -0.00654915-0j 0.000353407-0j -0.000130098-0j -0.000189665-0j -0.00726865-0j 0.000227493-0j 0.00267577-0j 0.0039009-0j -0.00467894-0j -0.000622609-0j -0.000625773-0j 0.0128054-0j 0.0128705-0j 
2.05691e-06-0j 2.39973e-06-0j -4.29586e-06-0j -2.01923e-06-0j 8.66108e-07-0j -6.34657e-05-0j -7.16921e-05-0j 5.62913e-05-0j -5.91429e-05-0j 0.000149729-0j 4.06332e-05-0j -1.35003e-05-0j 1.71194e-07-0j 0.00112821-0j 1.89477e-07-0j 0.0012487-0j -1.4405e-07-0j 9.98631e-08-0j 1.51347e-07-0j -0.000949324-0j 0.000658124-0j 0.000997416-0j -1.68058e-07-0j -3.01827e-07-0j 1.01944e-07-0j -0.00110754-0j -3.16089e-07-0j -0.00198912-0j 0.000671835-0j -0.0020831-0j -6.06553e-08-0j 1.64545e-08-0j -0.000399734-0j 0.000108439-0j 
-2.07823e-06-0j 2.32862e-06-0j -1.48476e-06-0j 2.11986e-06-0j -4.10241e-06-0j 6.41233e-05-0j -6.95677e-05-0j 5.91429e-05-0j -5.9709e-05-0j -4.97016e-05-0j 3.77221e-05-0j 0.00014205-0j -1.72968e-07-0j -0.0011399-0j 1.83862e-07-0j 0.0012117-0j -1.51347e-07-0j -1.00898e-07-0j 1.52796e-07-0j -0.000997416-0j -0.000664944-0j 0.00100696-0j 1.69582e-07-0j -6.24274e-08-0j -9.10104e-08-0j 0.00111759-0j 1.09162e-07-0j -0.000411413-0j -0.000599782-0j 0.000719409-0j -2.98758e-07-0j -3.00276e-07-0j -0.00196889-0j -0.0019789-0j 
