-0.00665673+0.00577311j -0.00714322-0.00290701j -0.0127698+0.00425113j 0.0187273-0.000269244j -0.00690819+0.00508108j 0.000166486+0.00192293j -0.0137974+0.00518385j -0.00995647-0.00111933j -0.0174938+0.000700185j -0.0226579+0.00521757j 0.00152959+0.00145936j -0.00834344+0.00448711j 0.0196234+0.00236224j -0.00732148-0.00347979j 0.0120184-0.000393552j -0.017531-0.0142808j 0.0113953-0.00832411j -0.00164029-0.0050006j 0.00266236+0.00116821j -0.00206575+0.00142591j -0.00320106-0.00336766j 0.00494678+0.00153453j 0.000858606+0.00454421j -0.00194099-0.00654937j 0.0102731-0.000494005j -0.00233378-0.0129912j 
-0.00363269-0.00285538j -0.00466883+0.00493361j -0.00192534+0.00731171j -0.00417501+0.00471903j -0.000269396+0.00229231j -0.0131438-0.00910503j 0.00919641+0.00653847j -0.00466818-0.00704848j -0.00117465-0.0247144j 0.00161309-0.000601426j -0.0153126-0.030017j -0.00306616-0.00190966j 0.0127974-0.000345678j -0.00820953-4.5933e-05j -0.00776278-0.00941774j -0.00442194-0.00117492j 0.00537966+0.0109908j -0.000752104-0.00206316j -0.00228144+0.00244169j 0.0106839-0.00269013j -0.00350284+2.311e-05j -0.000552333+0.00183928j -0.00772736-0.00543755j -0.00254094+0.0124762j 0.00265746+0.00767736j 0.00170259+0.0141051j 
0.0105998-0.00703324j 0.00575788+0.0052317j 0.00542745-0.000170969j 0.00794159-0.000391047j -0.0156306-0.00795608j 0.00740227-0.00063527j 0.0186235+0.00960009j -0.00555374+0.00362029j -0.0150525-0.0021264j -0.00324198-0.00389847j -0.00585005-0.00500686j 0.00616325+0.00738237j -0.00596478+0.00270081j -0.00208826+0.00661197j 0.00729677+0.00634352j 0.00548556-0.000679741j -0.00877761+0.0038841j -0.00265649+0.00939079j 0.00459168-0.00274469j -0.0075029+0.000616898j 0.00613079-0.00361012j 0.00179085-0.00595263j 0.00159605-0.00311527j -0.00735001-0.0072501j 0.00117153+0.0113273j -0.00392591-0.00101261j 
-0.000986494+0.0036309j 0.00386931+0.00255346j -0.00879754+0.000541946j -0.0129713-0.000306962j -0.0136037-0.00643536j 0.00891477-0.00400027j 0.0110264-0.00647959j 0.0107208-0.0114553j 0.00674116+0.0199574j -0.00361816-0.00303168j 0.0247387-0.0137217j 0.00192034+0.00554682j 0.00398277+0.0055318j -0.00713545+0.00184395j 0.00223446+0.00240745j -0.00838236-0.00647729j 0.00102293-0.00168954j -0.00888105+0.00863829j -0.00794287-0.00359432j 0.00787837-0.00166368j 0.00201427-0.00860576j 0.00681632-0.0081489j -0.00612585-0.00799237j -0.000408443+0.000724464j 0.00582394+0.00329114j 0.00338333-0.00183171j 
0.00317731-0.00196352j -0.000461664-0.000895814j 0.00303076+0.00367878j -0.00182813+0.00624645j -0.00447966+0.00748618j 0.000733496+0.00335065j 0.0170372+0.0198879j 0.0152785+0.0259488j -0.00277427-0.0087909j -0.00573078+0.000995168j 0.00780118+0.0287189j -0.000164879-0.00378138j 0.00123383-0.000877901j -0.00713818-0.00460693j 0.00374431+0.0143105j -0.000841426-0.00416034j -0.00186907-0.00523807j 0.00420806-0.0172563j 0.00493599+0.00193727j -7.50188e-06+0.00476939j -0.00459652+0.017421j -0.00331643+0.00655096j -0.00819732+0.0092806j -0.000212295-0.00180578j 0.00247979+0.00592653j 0.000183245+0.000373216j 
0.00223893+0.000330287j -0.00242723-0.000624356j 0.0018856-0.00176252j 0.015124-0.00180364j 0.00168504+0.00220147j -0.00338684+0.00526035j -0.00461246-0.00671422j -0.023577-0.00127543j -0.0155261-0.00270913j 0.00450965+0.00189352j -0.0379065+0.000372272j 0.00348717+0.00227263j 0.000203872-0.00188109j 0.00874868+0.00690884j -0.00293793+0.000135484j 0.0146552+0.00531424j 0.00816181+0.00558719j 0.0045868+0.00511994j 0.00807854+0.00262413j -0.00122804+0.00191601j 0.000472788-0.00414786j -0.000433432+0.000338543j 0.00390196+0.00262778j 0.00363967+0.00110821j 0.00335886+0.000433486j 0.00173051-0.00215046j 
0.00267673+0.000705995j -0.0127581+0.00610908j -0.00530181+0.00102817j -0.00143329+0.0012349j -9.31545e-05-0.00154357j 0.00396251-0.000589437j 0.00773655+0.00402451j -0.000620104+0.00671432j -0.0111332+0.000208607j 0.00351248-0.00188006j 0.00342212+0.00430311j 0.00453197+0.001012j -0.00378788+0.000629426j -0.00346526+0.00339524j 0.0085529+5.61836e-05j 0.00503694-0.00348259j -0.0109828+0.00170216j -0.00654424+0.00122213j 0.00216548-0.00488411j 0.00132411+0.00178003j 0.0156982+0.00358872j 0.00294978-0.00104259j -0.00348491-0.000228445j -0.00904144-0.00306078j 0.0140738+0.00772577j 0.00151742-0.00243845j 
-0.00226711+0.000826717j 0.00615992-0.00198796j -0.0153484+0.00547565j -0.00287415+0.00172203j -0.0119982-5.88273e-05j 0.00288879-0.00269831j -0.0127363+0.0074702j -0.032165+0.0121834j 0.0160059+0.00334209j 0.00392311-0.00470352j -0.0224723+0.00284116j 0.0116128+0.0013686j 0.00098507+0.00235433j 0.00418813-0.00499661j -0.00474084+0.00231953j 0.00208076-0.000857883j 0.000988427-0.000999461j 0.0031525-0.00264675j -0.00437905+0.00136812j 0.000100467+0.00068024j -0.00565583-0.000280514j -0.00310024+0.000112472j -0.00732665-0.00413153j -0.000747939+0.00128556j -0.000403171-0.000106086j -0.00134142-0.000942334j 
0.000472662+0.00243415j 0.00285107-0.00580962j 0.00130546-0.00137473j 0.00511097+0.0148808j -0.0012406+0.00207631j -0.000396677-0.000676105j 0.00456607-0.012851j 0.00106055-0.0299157j 0.0063139-0.0102877j 0.000945393+0.00893462j 0.00763209-0.0303287j -0.00157878+0.0065181j -0.00415045-0.00839213j -0.0048552+0.00932245j 0.00604144+0.00241527j -0.00677452+0.0174381j -0.00879285-0.00660219j -0.00891327-0.0016931j 0.000564501+0.00655034j -0.00559688-0.00873058j 0.00452672+0.0113461j 0.000289032+0.00108583j 0.00304109+0.00930331j 0.00216856-0.00733944j -0.00217721-0.000287929j 1.43294e-05-0.00605871j 
-0.00420357-0.0025104j 0.00249077-0.00277444j 0.00879241-0.00170419j 0.00908207-0.0137582j 0.0125968-0.00263057j 0.00113962+0.00339788j 0.0158175-0.00433111j 0.0196156+0.00457684j -0.0141944+0.00091394j -0.00111194+0.000359034j 0.0119888+0.011427j -0.00518613-0.00208331j 0.00376449+0.00260412j -0.000219429-0.00216554j 0.00483178-0.00498889j 0.00124176-0.00790534j 0.0114739+0.00462474j -0.0128218-0.00282532j 0.00250279-0.00492502j 0.0064644+0.00526985j 0.00779232-0.00663494j 0.00910812+0.0051621j 0.0131321-0.00139997j 0.0041413+0.00445765j -0.00257975-0.000426987j 0.00237143+0.00428021j 
0.0113531-0.00712961j 0.0125414-0.00680698j 0.0178739-0.00182177j -0.00105589-0.00956874j -0.0169923+0.00814842j 0.00044921-0.00564538j 0.0158374-0.0148551j 0.0109523+0.000826154j 0.00439377-0.000646921j -0.0146251+0.00218042j -0.000276692-0.00331325j -0.00118577-0.000138374j 0.00527254+0.000278919j -0.00156013+0.00134779j 0.0133137+0.00264942j -0.00317554+0.000201208j 0.0100307-0.00161942j 0.00805966+0.00393701j 0.00387748+0.00444313j -0.00844487-0.00326765j -0.0156166-0.00530762j -0.00332725-0.00296178j -0.00310601-0.00813692j -0.0011503+0.00211091j -0.00136555-0.00245888j -0.00874154+0.00025875j 
0.000620641-0.0147889j -0.00431907+0.00144508j -0.00531985-0.030571j -0.0123412-0.00431287j 0.00127321-0.00349358j 0.00344101+0.00216427j -0.000443188-0.0117916j -0.00256453-0.0254159j -0.00572456+0.0134637j 0.00349192+0.0138394j 0.00143522-0.00803747j 0.000419446+0.0112572j 0.00299181-1.22816e-05j 0.0014941+0.00103543j 0.00488577-0.00851715j 0.000267037-0.0014903j -9.26626e-05-0.00311856j 0.00895549-0.0123041j 0.00423317-0.00833168j 0.00286163+0.0123175j -0.0066236+0.00892684j -0.00458537+0.00282441j -0.00638205-0.00719461j -0.00440542+0.00218764j 0.00280475+0.0064255j -0.00103688+0.00526494j 
-0.0104211-0.00475701j 0.00183028-0.0266187j -0.00825155+0.000704719j 0.000863141-0.00581194j -0.00643012+0.0118073j 0.00421788-0.00610917j 0.00132067-0.0137937j -0.0101246+0.0121196j 0.00926537-0.00997577j 0.00696109+0.00530578j -0.007341+0.00338903j 0.0117541-0.00156185j 0.00565994-0.00164116j 0.000614735+0.00155372j 0.00817866-0.00780087j 0.00185138+0.00420949j -0.000652066-0.0126283j -0.0168276+0.00538091j 0.000413933-0.00171783j 0.00736349+0.00934288j 0.003063+0.00851342j 0.00684983-0.00326482j 0.00153275-0.00117278j 0.00434765-0.0027899j -0.0057808+0.00981462j 0.00109423+0.0089658j 
-0.00354296-0.0167844j 0.0277982+0.0125807j -0.00856201-0.000220756j 0.011598+0.00792074j -0.00321775-0.00806086j 0.00463846+0.000694815j 0.0123165+0.00657387j -0.01176-0.00452696j 0.00905431+0.00962682j 0.0015321+0.000759634j -0.00251369-0.00423657j 0.00338882+0.00632571j 0.00109095+0.000663208j 0.0031843+0.00487144j 0.00316907+0.00485224j -0.00375853-0.00274283j 0.00959092+0.00492255j -0.00912064-0.0121491j -0.00338138-0.00712333j 0.000627799-0.000148452j 0.00298515+0.001662j 0.00292125+0.00385971j 0.00494208+0.0115542j 0.00565017+0.00504427j -0.00648396-0.00587579j -0.000838638+0.00710447j 
