0.00621301-0.03939j 0.0488542+0.0661643j 0.0149379+0.0629335j -0.0114299+0.0296858j 0.00112881+0.0208146j -0.00181625+0.0469658j 0.000628116+0.0136323j -0.00210862+0.0217373j 0.00543093+0.0173912j 0.00815843+0.00332463j -0.0062046+0.00776588j -0.004074-0.0174949j -0.0324142+0.0191781j -0.0943159+0.114615j 0.0342741+0.00904947j -0.009228+0.0429583j 0.0206513-0.0627188j -0.0240674-0.0140756j -0.0177606+0.0435049j 0.0176203+0.0265929j 0.0168441+0.0152194j -0.0281368+0.0310897j 0.021483-0.0154391j 0.00260048+0.00757807j -0.0213042+0.0286246j -0.0121583+0.0439858j 0.00013712+0.00811671j -0.00307761+0.0100999j 0.0183173-0.0182938j -0.00968796+0.0264213j 0.00618284+0.00550417j 0.00711782-0.0124753j -0.0127903+0.0334092j 0.00678453-0.0350548j 0.0563778-0.0693409j -0.0509387+0.0736667j 0.181086-0.113872j -0.041927+0.0587648j 0.0258719-0.0650247j -0.00232121-0.00532476j -0.00874628+0.0339122j -0.00705045+0.0175924j 0.0223116-0.0668272j 0.0126298-0.0213546j 0.00825671-0.0201149j -0.00245015+0.00681783j 0.0067563-0.0177161j 0.00588647-0.0209408j 0.0170863-0.0222516j 0.000132261-0.00211165j -0.00309633+0.00686334j 0.00997613-0.00766703j -0.0115274+0.0146201j 0.00639391+0.00141028j -0.0152164+0.0117583j -0.0110739+0.014251j -0.0135615+0.0145916j 0.0097829-0.00813791j -0.00432643+0.00719597j -0.006043+0.00175151j 0.00988433-0.00919209j 0.0014214-0.00383889j -0.0150898+0.0119322j 0.00348862-0.00448001j -0.00237736+0.000908645j -0.00620373+0.000622405j 0.00323563-0.00581707j -0.0031468+0.0026766j -0.00808537+0.01004j 0.012947-0.0101849j 0.0129272-0.00581933j 0.0051715-0.0024776j 0.00277478+0.00178743j 0.000633992+0.00594934j 0.00662469-0.000324935j -0.00629189+0.00373186j 0.00347195-0.00268994j 0.00527368-0.0127941j 0.00530737-0.0107125j -0.00279907+0.00179191j -0.00693385+0.00436714j 0.00896999-0.00409089j 0.00711478-0.00446347j -0.00576635+0.0123814j -0.0169883+8.1887e-05j -0.000129393-0.00123648j -0.0187806+0.012416j 0.0194176+0.022009j 0.0075176+0.00757546j -0.0164093+0.0251737j 0.00113721-0.0191648j 0.00716046-0.00634616j 0.0051924+0.0146237j 0.0263635-0.0307043j 0.0281486-0.0336941j -0.0685061+0.131291j 0.115648-0.0744425j 
-0.0269767-0.171499j 0.123823-0.033458j -0.086022-0.044771j -0.045701+0.103193j 0.0793632+0.0681625j 0.0956941+0.041628j -0.0612118+0.00231151j -0.237115+0.212208j -0.0946981-0.0798962j -0.227667-0.0451252j -0.0110362+0.0633171j -0.0212641-0.0538273j -0.00187549-0.0300113j 0.0426523-0.0239046j 0.0272072-0.135971j 0.0835681+0.0534898j -0.0539522+0.168531j -0.0259224-0.053432j 0.00189798-0.0369234j -0.00786644+0.00524256j -0.0077258+0.0010912j -0.0163011-0.000969422j 0.0248357-0.00754278j 0.00333938+0.00300677j 0.0140189-0.00822439j -0.0138221-0.0192777j -0.0216893+0.0433557j 0.00740466+0.0026093j 0.0122368-0.0177273j -0.0151938-0.000853093j 0.0131482+0.00371838j 0.000848474+0.00243958j 0.0159902-0.00766793j 0.00536385+0.000483669j -0.00875011-0.00896144j 0.0178015-0.00487333j 0.0150571-0.00270498j -0.0104394+0.00445497j -0.00447606+0.0373835j 0.00569079+0.0310998j 0.0170982-0.00742113j 0.00349684+0.0205728j -0.00495378+0.00422845j 0.00425687-0.00426159j 0.00268438-0.00721259j 0.0120692+0.000318746j 0.00819452-0.00565767j 0.00308118+0.00434437j -0.00738566+0.00934547j -0.00580272-0.00724353j 0.00796462+0.00818172j -0.00498649-0.00856094j 0.000117307+0.00716677j 0.00822191-0.00398111j -0.0181739+0.00801206j 0.00225681+0.00224148j 0.00153644-0.00613352j 0.00521398-0.015473j 0.0104768-0.0258758j -0.0124484+0.00330149j -0.0154513-0.00489332j 0.00311408-0.00864868j 0.0102781+0.000921063j 0.00231647-0.00651178j 0.00963518+0.0129527j -0.00509875-0.00808402j 0.00803536-0.017569j -0.000753828+0.00627395j -0.00722906-0.0015795j 0.0114333+0.00212755j -0.00900548-0.00566943j 0.00347595-0.00599978j -0.00457851+0.000841225j -0.00281192-0.00489526j 0.00142085+0.00221585j 0.00786512-0.00406835j -0.00440566-0.00917086j 0.001443+0.00555817j -0.0161352-0.0109446j 0.00568487-0.00487114j -0.00174811-0.00410693j 0.000655506+0.00430033j -0.00194882+0.00226466j -0.00772016+0.00586329j -0.0039859-0.00657562j -0.000469111-0.00164577j 0.0018448-0.0176806j 0.00265847-0.00627706j 0.000555332-0.0123438j -0.00160681-0.00170801j 0.00495178-0.0111511j -0.00898744+0.0065458j 0.00783782-0.020031j 0.00395077-0.0105367j 0.00295988-0.00308411j 0.0162914-0.00818194j 0.0158561-0.0144739j 
0.087584+0.0239304j -0.0343933+0.0943031j 0.050504+0.0436756j -0.0892863-0.0254008j 0.077896-0.04882j -0.235119+0.227243j 0.0465405+0.0358935j -0.0682843+0.00779576j -0.116718+0.0570016j 0.253458-0.292652j 0.17171+0.0691336j -0.0496946-0.0492395j 0.0377445-0.0694245j 0.0424441-0.108449j 0.0491358+0.0266797j -0.0722421+0.0324113j -0.0406661-0.0756037j -0.00373287+0.0228161j 0.02728+0.0335879j 0.0358902-0.0322233j -0.00309003-0.0101637j 0.0266232-0.00911639j 0.0158784-0.00717122j -0.0128172+0.00403693j 0.021856+0.0455948j 0.0153863-0.00889563j -0.00110448+0.0200141j 0.0433731+0.0101155j -1.50566e-05+0.00651177j 0.0315188+0.00122417j 0.00744137-0.000806093j 0.000258485+0.00428745j -0.0223499+9.2255e-05j 0.0138662+0.00716557j 0.0108606-0.0192733j -0.00694418-0.00209646j 0.0196234-0.0228337j 0.00339716+0.00577851j 0.00179001-0.00912724j -0.0140916-0.00767288j -0.00602347+0.0171526j 0.00198717-0.00475589j -0.00824636-0.00951713j -0.000878809+0.00296237j -0.00694573+0.00107608j 0.00114067-0.00323468j -0.00396943-0.00222999j -0.0091341-0.00330519j 0.000892445-0.0034612j 0.00305211+0.00387658j -0.00703811-0.00856852j -0.00944539+0.0131193j 0.00726954+0.00721006j -0.00685917-0.0124839j -0.00105781+0.0032904j 0.00481867+0.00299517j 0.0116721+0.00249672j 0.0118594+0.0130662j 0.00570024+0.00567761j 0.000751185+0.00339985j -0.0177127-0.00619295j 0.00955997+0.00562275j -0.0169392+0.00227685j -0.0111865-0.0132895j 0.0128661-0.00256106j -0.00924599-0.012415j 0.00684938+0.0171979j 0.00157948+0.0116774j -0.0147839-0.00866193j 0.00110165+0.00279529j -0.0157444+0.0115293j 0.0059652+0.0106216j -0.00603411-0.0050892j -0.00446949-0.0124486j 0.000300885-0.00598787j -0.00902327-0.0114064j -0.0080125+0.002932j -0.00674472-0.00641206j 0.00479835+0.0113275j -0.00162544+0.000493976j -0.00823455-0.00387143j -0.00575916+0.0124495j 0.00212129+0.00213627j 0.00118409+0.000138054j 0.00230135-5.57684e-05j 0.00350247+0.00258287j 0.00747958-0.002303j -0.00120951+0.00393845j 0.00373266+0.0058841j -0.00280127+0.00592434j 0.00379619-0.000340226j 8.47458e-05-0.00279949j 0.00773762+0.00329655j 0.00755296+0.00189035j 0.00678561-0.00904025j -0.00146121+0.0118608j -0.000359955-0.0104616j 
0.0815937+0.0801328j -0.0918089-0.067628j -0.0679768+0.108383j -0.00231153+0.0176624j -0.00388152+0.000470589j 0.0245227+0.0114386j -0.0351969+0.110698j 0.246945-0.011468j 0.0671641+0.181325j 0.15995+0.0100679j 0.0315692+0.158544j -0.10799+0.0705245j -0.177022+0.0110984j 0.0622701+0.0781715j 0.018641-0.16953j -0.0534974-0.101676j -0.0304671-0.0857578j -0.0208336+0.041936j -0.00626077+0.0243251j -0.0107978-0.00836727j -0.00732596-0.0020155j -0.0229852+0.0146689j 0.00587709-0.0230549j -0.0191947-0.00598197j -0.0378441+0.0106197j -0.00545362-0.0323895j -0.0149963-0.0105264j 0.0230905-0.001794j -0.00530544-0.0227179j 0.00336405-0.00466445j -0.00263747-0.00591432j 0.00575464-0.0198568j -0.00220155+0.000606155j 0.0176656-0.0119931j -0.0143194+0.00462929j -0.0301625+0.0262025j -0.00589556+0.0167094j 0.000987865+0.00678578j -0.0144705-0.010114j -0.000808458-0.0117121j -0.0212462-0.0186359j 0.00893853-0.00328929j 0.00973735-0.00743043j -0.0073597-0.000908023j -0.00248786+0.0159447j 0.00412649+7.90182e-05j 0.0144778-0.0136587j 0.00469615-0.0175365j -0.00396349+0.00504584j -0.0043767+0.000590516j -0.0102121+0.00563978j 0.0122889+0.005555j 0.0160213-0.0163156j -0.00578932+0.00317323j -0.00570616-0.00389528j -0.00819176-0.000383297j -0.00631914+0.00210988j 0.00989238+0.0124889j 0.00441364+0.00964587j 0.00438092+0.00764475j 0.0131452-0.00545035j 0.00266302+0.000597633j 0.00804891+0.00693405j 0.00211858-0.0118201j -0.0135142+0.0122021j 0.0156945-0.0075717j 0.00827182-0.000973409j -0.00459609-0.00162907j -0.00870843+0.00964903j -0.0130042-0.00535091j 0.00221818-0.00506565j -0.00418213-0.00465067j 0.0176575+0.00805706j 0.00905425+0.00360044j -0.00164414-0.00157538j 0.00539126+0.00400731j -0.000938663+0.00159315j -0.00253506+0.000544701j 0.00616581+0.0108858j -0.00230155-0.000170175j 0.00299293+0.0109316j 0.00107656-0.0037195j 0.00486046+0.0058992j 0.00239062-0.00203472j -0.000840278+0.0055267j -0.00737929+0.00259836j 0.0041216+0.00938151j 0.0105864-0.00456583j 0.00336448+0.00452584j -0.00150271-0.000999166j -0.00208888+0.00299732j 0.00602948+0.00748046j -0.00792489+0.0118713j 0.00309549+0.00529985j -0.00864511+0.00547993j -0.0190379+0.00152058j -0.0110835+0.00363212j 
-0.0251564-0.0233977j 0.0235137+0.0312685j -0.0342911+0.0857088j -0.0685322-0.0595785j 0.237004-0.183244j -0.128023-0.077427j -0.0140675+0.212977j -0.144035+0.0420898j -0.00452246-0.101859j -0.00734125+0.0206459j 0.0499014+0.130595j 0.274272-0.00134512j -0.0395019+0.0300879j -0.118131+0.0392993j -0.0605824+0.0428014j -0.0408454+0.0536485j -0.00535113+0.0152585j 0.00976751+0.00520199j -0.00127755+0.011867j 0.019742-0.0415136j -0.00505215+0.0143651j 0.0288383+0.0419786j -0.0260357-0.0327435j -0.0125808+0.00339695j -0.0130434+0.00590311j 0.0238917+0.00209385j 0.0140845-0.0132091j 0.0117586-0.0041268j -0.0177848+0.014425j 0.0223778-0.00154334j -0.00899528+0.00828584j -0.00485532-0.0106942j -0.0156408-0.00618302j -0.00518417+0.0175953j -0.0188518+0.000875186j -0.00341647+0.0105585j -0.0226714-0.013115j -0.00978362-0.0235139j -0.0114301+0.0164917j 0.00825023+0.00896728j 0.00672816-0.00582001j -0.00819396+0.00347913j 0.013496-0.00153591j -0.00846235+0.00816679j 0.000419167+0.0107507j -0.0014888+0.0133176j 0.0137054+0.013314j -0.00445037+0.00261454j -0.0163907+0.00642994j -0.00203908-0.0055376j -0.00122543-0.000181074j 0.0118719+0.0127197j 0.000474353-0.024768j -0.00561964-0.0082757j -0.00694347+0.0211761j -0.00993165+0.00967503j -0.00250512+0.00309767j -0.00162662+0.00401455j 0.000252222+0.00676489j 0.0198149+0.00453676j -0.00757431+0.0114426j -0.00733227+0.0196062j 0.0166949+0.00047717j -0.00863061-0.00595265j 0.010911+0.00728633j 0.0104088-0.0129841j -0.00715728+0.00791936j -0.0080064+0.0124335j 0.00551904+0.00541218j 0.0191081-0.00713914j 0.0101776-0.00664547j 0.00506591+0.00556899j -0.0112218+0.00825817j 0.00618676-0.000824037j -0.00877652-0.00201675j -0.00482534+0.00185402j -0.003804-0.00391109j 0.000448333+0.0109694j -0.00660862-0.0085287j -0.00392562-0.00476543j 0.0028765+0.00829651j 0.00652323+3.09371e-05j -0.00153345-0.00451123j 0.00717818+0.00201036j -0.00619151+0.00310451j 0.0081846+0.000298624j -0.00922588-0.00475568j 0.00493924-0.00561251j -0.00340489-0.00950235j 0.000711819+0.000188412j -0.0105838+0.00117849j 0.00907443-0.00390616j -0.00495232+0.00876018j -0.00528925-0.00711148j -0.000431744+0.0176245j -0.00558452-0.011669j -0.0128088+0.00688203j 
0.10539+0.0030988j 0.0145342+0.190143j -0.093712+0.0490502j -0.0401504-0.215435j 0.0543323+0.0701375j -0.0116133-0.0339088j -0.117445-0.169823j 0.127679+0.12694j -0.219619+0.128456j -0.0777676+0.110148j 0.0713421-0.0758841j 0.08094+0.229844j 0.0243536+0.0319585j -0.0363411-0.0169888j -0.0484335+0.119289j -0.0590265+0.1897j -0.0825414-0.0585337j -0.0226767+0.0295457j 0.00699241+0.0204563j 0.0113067+0.0126212j -0.0194966-0.0115279j -0.0143118-0.0535462j -0.0205215+0.0108965j -0.00605577+0.0291095j -0.00112349-0.0144513j -0.0324785-0.0261372j -0.0224814+0.0203613j -0.0004427-0.00420336j 0.00742938+0.0152635j 0.0114848-0.0054863j -0.0128995-0.00092227j -0.00733373-0.0126356j 0.0117074-0.00327424j -0.00352366-0.00946502j -0.00918258+0.00652155j 0.0267623-0.0169508j -0.0311527+0.0117176j 0.00175226-0.0389041j -0.00817079+0.0130413j -0.020799-0.00171748j 0.00113803+0.0287996j 0.0120062-0.00173098j 0.00368468+0.00365005j -0.00354631-0.0148534j 0.00213367+0.00569488j 0.0165913+0.0088582j 0.00417105-0.00576893j 0.000154213-0.00163851j 0.0138074+0.00772508j 0.00868006-0.00499135j -0.00470737-0.00140571j -0.00329855-0.00367984j -0.00228611+0.00718143j -0.00362269+0.0152283j 0.0122001+0.0108857j 0.0109724+0.00323772j -0.0131599-0.0128187j -0.00391016+0.0074539j -0.00354304+0.000458335j -0.0186363+0.0147809j 0.00222513+0.0109309j 0.000314452-0.0026697j 0.0219528-0.00152834j 0.00951948-0.00403061j -0.00944457+0.0109616j 0.00086257+0.00184991j 0.00913788-0.00964609j 0.00932773-0.00377127j -0.0163072+0.0083655j -0.00270878+0.00392664j 0.00433167+0.00319634j 0.00519002-0.0126417j -0.000964474+0.00930174j -0.00744218+0.00455141j 0.00184066-0.0020299j -0.0010535-0.000729634j 0.000815423-0.0031912j -0.00662986+0.00810227j 0.00156102+0.00162366j -0.000210307-0.000663356j 0.00293232-0.00502173j 0.00253297+0.00299707j 0.0129708+0.00103598j 0.00231812-0.00379704j -0.00110335-0.000710231j 0.00737855-0.00376312j -0.0133847-0.00956597j -0.00272405+0.0114956j -0.00426103+0.00470441j -0.00422966-0.00404649j -0.00357974-0.0062928j 0.0129352-0.022826j 0.0139347-0.00158048j -0.0073792+0.000368305j 0.00200737-0.0054478j 0.0151008-0.0134843j -0.0228656+0.0015093j 
0.00931253+0.101511j -0.15191+0.00303977j 0.217754-0.0811421j 0.0949558+0.106723j 0.183068+0.071403j 0.0882147+0.181051j 0.0424773-0.0387396j 0.0315827+0.115947j 0.0432537+0.0774145j -0.00177347-0.285424j -0.200548-0.0793674j 0.0438849-0.15637j 0.0970526+0.0227332j -0.02866-0.0131059j -0.0738923+0.0113502j -0.140753-0.0146553j 0.00617372-0.1376j 0.0693335-0.0150482j -0.0293979-0.00106314j -0.0352633-0.0121174j -0.0267796-0.00952966j -0.0287033+0.0143639j -0.0140302+0.0135947j 0.00783262+0.0154949j 0.00322036+0.00995518j -0.00471261-0.00014947j -0.0103428+0.0246944j -0.00699146-0.0121095j -0.0180626+0.0273695j 0.00190676+0.00193184j 0.00543159-0.0114132j -0.00602215+0.0211805j 0.00346511+0.000254537j 0.0172494-0.0123813j 0.00411313+0.00542215j 0.00828352+0.0234173j -0.00709051-0.00106836j 0.0034331-0.0120427j -0.00502518-0.0200243j 0.000848665-0.0136556j -0.0181278+0.0041891j -0.00812363-0.00248701j 0.010637-0.00468932j 0.00814642+0.00788078j 0.00332976-0.00859372j 0.00405034+0.000797027j -0.00343052+0.0127276j 0.00458909-0.0152724j -0.00107861+0.00123632j 0.00307069+0.016986j 0.000473299-0.000563033j -0.0294572+0.00228021j 0.0256874+0.0138608j 0.0164638-0.00811756j -0.0052871+0.00267471j -0.00495677-0.00599084j -0.00436152+0.011158j 0.00549854-0.00680514j 0.00479687-0.00789937j -0.00327822-0.00717614j 0.0059491-0.00613309j -0.00206963-0.00733353j 0.00792892-0.0145593j 0.00519273+0.00171519j -0.00396942+0.00238465j -0.00137923+0.00399648j -0.00655092-0.00627971j 0.00439236-0.0068476j -0.0038635+0.0181081j -0.00220724+0.00317805j -0.00372574+0.000307064j 0.00391471-0.00186021j -0.00108747-0.0128402j -0.00377178+0.0010479j 0.00590871-0.00514438j -0.0010049+0.0079379j 0.00412151+0.00173446j 0.00347408-0.00275522j 0.0129197-0.000782573j 0.0045904-0.00440493j 0.00697189-0.000340014j 0.00621111-0.00423098j 0.00429037-0.0020908j 0.00145514-0.000285862j 0.00480251-0.00668636j -0.00196797-0.000625135j -0.00172717+0.00453824j 8.54483e-05+0.00599589j 0.00642249-0.00422429j 0.00569542-0.00275544j 0.00186025+0.00603938j 0.00448142-0.00524354j -0.000730348+0.0109694j -0.00103565+0.00648429j 0.00188034-0.000561408j -0.010513+0.00546734j -0.0172337+0.00596736j 
-0.0940539+0.0946146j -0.12924-0.122291j -0.015125-0.0596652j -0.209664-0.0513036j 0.285952-0.276428j -0.0653843+0.140109j -0.186125-0.183686j -0.0155211+0.0438199j 0.199247+0.0612482j 0.0541889-0.110424j -0.0205331+0.0650053j -0.00708005+0.10234j 0.0754821-0.0114763j 0.120665+0.0505461j 0.118994-0.0690023j -0.0757794-0.153323j 0.107504-0.0456538j -0.0134055-0.0352741j 0.0476854+0.0208417j 0.0188898-0.0173916j -0.0191447+0.0472498j -0.0427935+0.00286851j -0.00508037-0.00306899j -0.00340233+0.0141642j -0.0176228-0.00315833j -0.0228912+0.015991j 0.00922772+0.0216103j -6.37978e-05+6.11696e-05j -0.00377993+0.0121446j -0.00587769-0.0067244j -0.0242342-0.00597186j -0.00142309+0.00230312j -0.00516635+0.00431901j -0.00767611-0.00149095j 0.0126814-0.0114566j -0.0384905+0.00226192j 0.0278091+0.00093171j 0.0271192+0.0106944j 0.00231242-0.0151394j 0.0142041-0.00297732j -0.0107849-0.0167971j -0.00878123+0.0126472j -0.0033901-0.010063j -0.00780035-0.00724579j -0.00533374+0.0032124j 0.00731761+0.00624211j 0.0100805-0.00377672j -0.00111734+0.00639987j 0.000303221-0.00183605j 0.0181836-0.0241498j 0.00191439+0.00885119j 0.0142196+0.013819j 0.00458523+0.00119377j -0.0100011-0.00240096j -0.0208582+0.00814591j -0.0128916+0.0101072j -0.00609916-0.00476206j 0.00329999-0.0195691j 0.000244695-0.0074713j 0.0014483-0.00986713j -0.0067906-0.00672318j -0.00137813-0.00595407j -0.000948856+0.00465251j 0.000594152+0.00757846j 0.0034506-0.000714091j -0.00825668-0.0107357j 0.00473731-0.00503618j -0.000880487-0.000994096j 0.0053793+0.0118514j -0.00547827-0.0044591j -0.0106554+0.00628347j -0.000311673+5.65976e-05j 0.00818501-0.00328493j 0.0066254-0.00349606j -0.00736792-0.0109845j 0.000567115+0.00248795j -0.00733964+0.000681087j 0.000875447+0.00542608j 0.00037002-0.0033982j 0.00213654+0.00777993j -0.00853026-0.00452487j -0.0049645-0.000451566j -0.00131743+0.0036959j -0.00212749-0.00552403j 0.00220918+0.00688032j 0.00238137-0.00255086j 0.00428791+0.00877954j -0.00544791-0.00761359j 0.000777209+0.00455644j -0.00309564+0.000382556j 0.00201103-0.00284518j -0.00400952+0.013706j -0.00611229+0.00298333j 0.00898489-0.00396137j 0.00246736+0.00107414j -0.0186588+0.010646j 0.0174623-0.00918467j 
-0.0844056-0.0920982j 0.0569166-0.0635809j 0.0971659+0.092235j -0.14292+0.122432j -0.185657-0.0384899j 0.0089012-0.121455j 0.203827+0.201863j -0.139393-0.0978259j 0.00453364+0.0273652j -0.0159148+0.0261846j -0.0801327-0.0535122j 0.0408995+0.0984009j 0.0641578+0.0573772j 0.0514866-0.00232688j 0.00966688-0.000796956j 0.0274299-0.0333684j 0.0602233+0.111549j 0.0240464-0.0161714j 0.0230692-0.0342211j -0.0266749+0.0351849j 0.0525992+0.0153254j 0.0200699+0.0308393j 0.0105218+0.0323469j -0.015704-0.00988036j -0.0104987-0.00526913j -0.0149073-0.0276057j -0.0239097+0.00445875j -0.00744991+0.0134015j 0.00452174-0.000541151j 0.00613593-0.00326541j 0.00416929-0.0211711j -0.00118344+0.00160453j 0.00136028-0.000646826j -0.00425023+0.00966388j 0.00381671-0.00648089j 0.0142395-0.0193175j 0.0156853-0.0129332j 0.00988055+0.00429957j -0.00421479+0.0193212j 0.00604279+0.0231158j 0.0186685-0.00707633j 0.00113766+0.0116798j -0.00587437-0.00972346j -0.00288036-0.0156875j -0.0139082-0.000469533j 0.0179601-0.00519386j -0.00623197-0.00804792j -0.00849883+0.00238685j 0.00417376+0.0056382j 0.0169955-0.0176207j -0.0116501-0.0105584j -0.00412525+0.00624217j 0.0198062+0.0141039j -0.00195703-0.00456049j -0.0102307+0.0111225j 0.00628241+0.0201149j -0.00139342+0.000711434j -0.0063903-0.00188584j 0.00656249+0.0122752j -0.0160145-0.00453357j -0.00251081-0.00495027j -0.00156497+0.0153333j 0.00692287-0.00922078j 0.0125455+0.0116084j -0.0145278+0.00102057j 0.00515385-0.00230302j 0.000776126+0.0164087j 0.000419722-0.00318597j -0.00329842-0.00292956j -0.00587847-0.00553352j 0.00579501+0.000517851j -0.00143434+0.011218j 0.00363551-0.001329j 0.000486432-0.00253048j -0.00041782-0.00632416j -0.0059118+0.00339615j -0.00080914+0.00138493j 0.0021985+0.00150547j 0.0034834-0.00399213j 0.00491294+0.000671903j 0.00265928-0.0046304j 0.0047762-0.00201531j -0.00239007+0.00103589j -0.0022811+0.00341941j 0.00133709+0.00538589j 0.00807935-0.00285111j -0.0050072-0.00239169j -0.0111478-0.0086982j 0.000145211+0.000498374j 0.00371938+0.0032811j -0.000594343-0.00234776j -0.00467942+0.00293679j 0.00845436-0.0094359j -0.000766136-0.00865554j 0.00811949+0.00139075j 0.00786686-0.00354297j 0.00859092-0.0117239j 
-0.0375393-0.0807151j -0.0276696-0.00907361j 0.0450371+0.0523647j -0.077132-0.0383456j 0.0952134+0.0803815j 0.015536-0.122335j -0.202172+0.0191236j -0.0830862-0.0563714j 0.0644377-0.113895j 0.0491568+0.00919392j 0.0117972+0.0436608j -0.0586664+0.0137338j 0.111647+0.138389j 0.0347734-0.127113j -0.0158869-0.023741j 0.0113963-0.0392192j 0.0251398+0.0865208j -0.00373207+0.0220472j 0.040978+0.0279857j 0.00693923+0.0392066j -0.025691+0.0166794j -0.0170128+0.0111467j 0.0273086-0.00266872j 0.00815041+0.0209429j -0.00679979-0.00510818j 0.0118184+0.0142852j 0.0111601-0.00806647j 0.00505632+0.00488661j -0.0262767+0.0198962j 0.00196442+0.00835202j 0.000963555+0.0124599j 0.0088163-0.0183332j 0.00577901-0.00233264j -0.00280488-0.0385999j 0.026319-0.0159754j 0.0070235+0.0228782j 0.041624-0.0277363j -0.00740546+0.0301266j 0.0209862+0.00799716j 0.0213328-0.00279346j 0.000266754-0.00783293j -0.0128-0.0069947j -0.00911564-0.00477094j 0.00629603-0.00723136j 0.00815142-0.00426863j 0.006112+0.00385649j 0.00893699-0.0142578j -0.0116306-0.00852058j 0.00545535-0.0015343j 0.00206608-0.00106348j 0.00387252+0.00187524j 0.00815533-0.00370399j 0.0021362+0.00213219j -0.00145555+0.00281963j -0.0056483-0.00450373j -0.0119342+0.00916142j -0.00590862-0.00771218j -0.0102834+0.0181563j -0.00841926+0.0067272j -0.00607719+0.00896586j -0.0049459+0.00404256j -0.00894911-0.00123013j 0.00413363+0.017298j 0.00658138-0.00763839j -0.00838614-0.00218142j -0.00820873-0.00814327j 0.000218797-0.00702287j 0.00168088-0.00137403j 0.00459545-0.00217243j 0.000403585+0.00233125j 0.00542601+0.00117177j 0.00680333-0.00469694j 0.00321531-0.0156462j 0.00642198-0.00934172j -0.00266107+0.00396352j 0.00361702-0.000313259j -0.000264406+0.00497589j -0.00275772+0.00299059j 0.00709585-0.0080604j -0.00257775+0.00476817j 0.00888772-0.00276225j -0.0032927+0.00468871j 0.00740028-0.00733878j -0.00188882+0.000526666j 0.00253958-0.00372745j 0.00481912+0.00867532j -0.00312398+6.66224e-05j -0.00868146-0.00965924j 0.000438289-0.00435644j -0.00409069+0.0027884j 0.00508405-0.00271895j -0.00960644+0.00962901j -0.000102949+0.000624123j 0.0042699-0.00153854j 0.00499896-0.00291409j -0.000772057+0.0123398j 0.0311214-0.01906j 
-0.0262954+0.0559668j -0.0838464+0.00157356j -0.0848633-0.162173j 0.261765-0.0190286j 0.165737-0.24227j -0.0941097-0.0903435j 0.120872+0.0402441j 0.167183-0.0294978j -0.0271052+0.0710841j -0.121848+0.0034172j -0.0203529-0.088828j 0.0711679-0.0232639j 0.00138384-0.00706808j 0.101121-0.0712561j -0.00915065+0.0794727j -0.0812904-0.0110966j 0.057132-0.0126379j -0.0737725-0.0635057j -0.0490155+0.0290347j 0.0288421+0.0131415j 0.00400227+0.0644969j -0.0121597-0.00798848j -0.0200104-0.0124035j -0.00630158-0.0140741j -0.0240776-0.00570859j -0.0120369+0.0103665j 0.00224303-0.000120084j -0.0012764-0.00590738j 0.0327602+0.00440822j -0.0019325-0.00273417j -0.00340553-0.0279569j -0.00163686-0.0143747j -0.00911546+0.0162892j -0.00646678+0.0232367j 0.00776883-0.0212671j 0.0206782-0.044119j 0.0314184-0.0446212j 0.0100644-0.00162435j -0.0223568+0.0136639j 0.00522953+0.00907838j 0.014821-0.00879443j 0.0103432+0.00708274j -0.0211238-0.00278188j 0.00713064+0.00133126j -0.00454231-0.00333704j -0.00496013+0.00816058j -0.00456174-0.0134183j 0.00676751+0.0124151j -0.015247+0.00229086j -0.00907474+0.00975521j 0.00129895-0.00165247j -0.00730189-0.0159911j 0.00487547-0.00305508j 0.00651515+0.00413975j 0.00206495-0.0124026j 0.00497542-0.000214148j -0.00358157+0.00587742j 0.0073909+0.00754195j 0.00996582+0.0102175j 0.0211735-0.00158335j -0.000158148+0.00985391j 0.00420227+0.0172795j -0.00172048+0.00438022j -0.0144864+0.00267234j 0.00120933-0.00393033j -0.00393767+0.00195159j -0.0026646+0.0129078j 0.00106647+0.0118239j 0.00135945-0.00347455j 0.00153486-1.79297e-05j 0.00886405+0.00690653j -0.00473722+0.0107458j -0.0142298+0.00452627j -0.00540407-0.00197278j -0.00505006-0.00480163j -0.00148507-0.00219657j 0.00172477+0.00883241j 0.00221847+0.000601106j 0.00382995+0.00229357j 0.000234779+0.00701817j -0.00141117-0.0052967j 0.00121137+0.00240315j -0.00280109-0.000454651j 0.000833416+0.00124023j -0.000813924+0.00102316j 0.0111004+0.00245128j -0.00193808-0.00129208j -0.00922262-0.00921799j -0.0053654+0.00419644j 0.000389545+0.00399029j 0.00143213-0.00228254j -0.0012123+0.00733752j 0.00733215-0.00594474j -0.000988827-0.00343135j 0.0093267-0.00312108j 0.0173746-0.0123016j 0.0158404-0.0210483j 
