0.994921-0j -0.000846511-0j -0.00051838-0j -0.000105814-0j -6.23514e-06-0j -0.00456118-0j 0.144184-0j -0.000600989-0j -8.67452e-05-0j -7.51236e-05-0j -8.8534e-06-0j -4.041e-07-0j -0.00292579-0j -0.00295611-0j -0.000462608-0j -0.000467402-0j 0.0716404-0j -0.000243816-0j 0.0103404-0j 0.0723828-0j -0.000246342-0j 0.0104476-0j -6.09539e-05-0j -2.15505e-05-0j -5.0795e-06-0j -6.15856e-05-0j -2.17738e-05-0j -5.38762e-06-0j -5.13213e-06-0j -5.44345e-06-0j -4.48968e-07-0j -1.67321e-08-0j -4.53621e-07-0j -1.69055e-08-0j -0.00219784-0j -0.00271968-0j -0.00158648-0j -0.000342648-0j -0.000424005-0j -0.000247336-0j -0.000265414-0j -3.83092e-05-0j 0.0474611-0j -0.000328433-0j -4.74052e-05-0j -0.000191586-0j 0.00839002-0j 0.0587301-0j -2.7653e-05-0j -2.8554e-05-0j 0.000699168-0j 0.0342592-0j -2.47285e-05-0j 0.0103821-0j -3.53338e-05-0j -5.04768e-06-0j 0.00605623-0j 0.000865176-0j -2.52384e-06-0j -3.05999e-05-0j -2.06114e-05-0j -2.97437e-07-0j 0.000504686-0j -1.785e-05-0j -3.64285e-07-0j -6.24619e-06-0j -3.12309e-06-0j -2.35145e-08-0j -3.6806e-07-0j -3.64361e-06-0j -1.8218e-06-0j -4.5078e-07-0j -7.40637e-10-0j -2.14702e-07-0j -2.62955e-07-0j -2.90977e-08-0j -1.69737e-08-0j -9.16491e-10-0j -5.3462e-10-0j 
4.041e-07-0j -1.61985e-05-0j 4.12433e-08-0j 0.000388784-0j 0.310772-0j 5.16541e-09-0j -2.00483e-07-0j 6.80602e-10-0j 4.53663e-06-0j -2.04617e-08-0j -6.63988e-05-0j -0.0129754-0j 2.32782e-07-0j -2.28498e-07-0j -8.85231e-06-0j 8.68943e-06-0j 2.90977e-08-0j 1.93985e-08-0j 0.000193954-0j -2.85623e-08-0j -1.90415e-08-0j -0.000190385-0j -1.16639e-06-0j 1.7146e-09-0j -0.00267639-0j 1.14493e-06-0j -1.68305e-09-0j 1.97953e-05-0j 0.00262714-0j -1.94311e-05-0j 0.0223775-0j -0.239157-0j -0.0219657-0j 0.234756-0j 1.74864e-07-0j 3.07996e-09-0j -2.47057e-07-0j -6.5568e-06-0j -1.15488e-07-0j 9.26379e-06-0j 2.11169e-08-0j 0.000140757-0j 1.9277e-08-0j 3.71941e-10-0j 2.47921e-06-0j -2.9835e-08-0j -8.19599e-07-0j 3.39534e-10-0j -0.000198868-0j -5.464e-07-0j -0.00188064-0j -2.72355e-08-0j 1.96745e-09-0j -1.4436e-08-0j -9.62399e-09-0j 1.85463e-05-0j 1.15797e-06-0j -3.31246e-05-0j -4.82954e-08-0j 3.46536e-11-0j 7.71982e-07-0j 0.0148249-0j 0.00265707-0j -2.77971e-09-0j -0.000191942-0j 3.26665e-07-0j -8.50649e-10-0j -0.0530451-0j 0.000261117-0j -2.62032e-05-0j 6.82342e-08-0j -3.38076e-06-0j -0.0377113-0j -0.0209453-0j 0.000271186-0j -0.000934309-0j 0.074945-0j -0.000664227-0j 0.0532805-0j 
0.00292579-0j 0.000487632-0j 0.000298612-0j 6.09539e-05-0j 3.59175e-06-0j 0.00262746-0j 0.000424005-0j 0.000346199-0j 4.99695e-05-0j 4.32748e-05-0j 5.09999e-06-0j 2.32782e-07-0j 0.494299-0j -0.507563-0j -0.00026221-0j 0.000269246-0j -0.000207295-0j -0.000138197-0j -2.99205e-05-0j 0.000212858-0j 0.000141905-0j 3.07234e-05-0j -3.45492e-05-0j -1.2215e-05-0j -2.8791e-06-0j 3.54763e-05-0j 1.25428e-05-0j -3.05375e-06-0j 2.95636e-06-0j 3.13569e-06-0j -2.54479e-07-0j -9.48387e-09-0j 2.61308e-07-0j 9.73836e-09-0j 0.00126606-0j -0.00154154-0j 0.000913891-0j -0.0588326-0j 0.0716338-0j -0.0424676-0j 0.000152891-0j 2.2068e-05-0j 0.00013957-0j -0.000186159-0j -2.68697e-05-0j 0.000110363-0j 2.46727e-05-0j -0.000169939-0j 1.59295e-05-0j 1.64485e-05-0j 2.05606e-06-0j 0.000100747-0j 1.42448e-05-0j -3.00412e-05-0j -2.00275e-05-0j 2.90771e-06-0j 1.78097e-05-0j -2.50343e-06-0j 1.45386e-06-0j -1.73443e-05-0j 1.18731e-05-0j 1.71338e-07-0j 1.48414e-06-0j 1.02824e-05-0j 2.09846e-07-0j -3.54039e-06-0j -1.77019e-06-0j 1.35455e-08-0j -2.08619e-07-0j 2.0989e-06-0j 1.04945e-06-0j -2.55506e-07-0j 4.26643e-10-0j 1.23679e-07-0j 1.51475e-07-0j -1.64928e-08-0j 9.77766e-09-0j -5.19475e-10-0j 3.07967e-10-0j 
-0.00295611-0j -0.000492685-0j -0.000301707-0j -6.15856e-05-0j -3.62897e-06-0j 0.00257912-0j 0.000416204-0j 0.000339829-0j 4.90501e-05-0j 4.24786e-05-0j 5.00615e-06-0j 2.28498e-07-0j 0.507563-0j -0.512615-0j -0.000269246-0j 0.000271926-0j -0.000212858-0j -0.000141905-0j -3.07234e-05-0j 0.000214977-0j 0.000143318-0j 3.10292e-05-0j -3.54763e-05-0j -1.25428e-05-0j -2.95636e-06-0j 3.58294e-05-0j 1.26676e-05-0j -3.13569e-06-0j 2.98579e-06-0j 3.1669e-06-0j -2.61308e-07-0j -9.73836e-09-0j 2.63909e-07-0j 9.8353e-09-0j -0.00127918-0j 0.00153784-0j -0.000845626-0j 0.0594422-0j -0.071462-0j 0.0392954-0j -0.000154476-0j -2.22967e-05-0j -0.000141016-0j 0.000185712-0j 2.68053e-05-0j -0.000102119-0j -2.49284e-05-0j 0.000169531-0j -1.47396e-05-0j -1.66189e-05-0j -2.07737e-06-0j -9.32215e-05-0j -1.43924e-05-0j 2.99692e-05-0j 1.99795e-05-0j -2.93784e-06-0j -1.64794e-05-0j 2.49743e-06-0j -1.46892e-06-0j 1.73027e-05-0j -1.09863e-05-0j -1.73114e-07-0j -1.37328e-06-0j -9.51438e-06-0j -2.12021e-07-0j 3.5319e-06-0j 1.76595e-06-0j -1.36859e-08-0j 2.08119e-07-0j -1.94212e-06-0j -9.71058e-07-0j 2.54893e-07-0j -4.31064e-10-0j -1.1444e-07-0j -1.4016e-07-0j 1.64533e-08-0j -9.0473e-09-0j 5.1823e-10-0j -2.84963e-10-0j 
-0.000462608-0j 0.00364709-0j -4.72147e-05-0j 0.00092141-0j 0.000109157-0j 0.102472-0j 0.00317121-0j -5.47388e-05-0j 0.000755363-0j 0.000323661-0j 0.000116044-0j 8.85231e-06-0j 0.00026221-0j -0.000269246-0j 0.483728-0j -0.496709-0j 3.27763e-05-0j 2.18508e-05-0j -0.000452293-0j -3.36558e-05-0j -2.24372e-05-0j 0.00046443-0j -0.0002584-0j 1.93136e-06-0j -6.55105e-05-0j 0.000265334-0j -1.98319e-06-0j -4.61619e-05-0j 6.72684e-05-0j 4.74007e-05-0j -7.73389e-06-0j -4.33088e-07-0j 7.94143e-06-0j 4.44709e-07-0j -0.000200182-0j 0.000243739-0j -0.000144499-0j 0.00147626-0j -0.00179747-0j 0.00106562-0j 0.00596281-0j -0.0822832-0j -2.2068e-05-0j -0.00726024-0j 0.100187-0j 0.00430418-0j 0.000184532-0j 2.68697e-05-0j -0.0593952-0j 0.000123021-0j 4.67832e-05-0j -1.59295e-05-0j -2.2523e-06-0j -0.000224684-0j -0.000149789-0j 4.39544e-05-0j 0.000133202-0j -5.69626e-05-0j 1.08737e-05-0j 2.74237e-06-0j 8.88015e-05-0j 5.20716e-06-0j 3.37699e-05-0j -1.6258e-06-0j 4.77479e-06-0j -5.35183e-05-0j -1.32396e-05-0j 5.15113e-07-0j -6.34017e-06-0j 3.17279e-05-0j 7.84902e-06-0j -5.81372e-06-0j 2.27414e-08-0j 3.75873e-06-0j 3.44663e-06-0j -6.27195e-07-0j 3.71829e-07-0j -2.76896e-08-0j 1.64156e-08-0j 
0.000467402-0j -0.00368488-0j 4.7704e-05-0j -0.000930958-0j -0.000110288-0j 0.100586-0j 0.00311286-0j -5.37316e-05-0j 0.000741465-0j 0.000317705-0j 0.000113909-0j 8.68943e-06-0j 0.000269246-0j -0.000271926-0j 0.496709-0j -0.501653-0j 3.36558e-05-0j 2.24372e-05-0j -0.00046443-0j -3.39908e-05-0j -2.26605e-05-0j 0.000469053-0j -0.000265334-0j 1.98319e-06-0j -6.72684e-05-0j 0.000267975-0j -2.00293e-06-0j -4.74007e-05-0j 6.7938e-05-0j 4.78725e-05-0j -7.94143e-06-0j -4.44709e-07-0j 8.02047e-06-0j 4.49136e-07-0j 0.000202256-0j -0.000243154-0j 0.000133705-0j -0.00149155-0j 0.00179316-0j -0.00098602-0j -0.0060246-0j 0.0831359-0j 2.22967e-05-0j 0.00724283-0j -0.0999468-0j -0.00398267-0j -0.000186444-0j -2.68053e-05-0j 0.0549585-0j -0.000124296-0j -4.7268e-05-0j 1.47396e-05-0j 2.27564e-06-0j 0.000224145-0j 0.00014943-0j -4.44099e-05-0j -0.000123252-0j 5.68261e-05-0j -1.09863e-05-0j -2.7358e-06-0j -8.21683e-05-0j -5.26113e-06-0j -3.12474e-05-0j 1.50436e-06-0j -4.82427e-06-0j 5.339e-05-0j 1.32079e-05-0j -5.20452e-07-0j 6.32498e-06-0j -2.9358e-05-0j -7.26272e-06-0j 5.79979e-06-0j -2.2977e-08-0j -3.47796e-06-0j -3.18917e-06-0j 6.25692e-07-0j -3.44054e-07-0j 2.76232e-08-0j -1.51894e-08-0j 
0.0716404-0j -6.09539e-05-0j 0.00721999-0j 0.000733078-0j -4.48968e-07-0j -0.000328433-0j 0.0103821-0j 0.00416364-0j -6.24619e-06-0j 0.00104632-0j 6.13363e-05-0j -2.90977e-08-0j 0.000207295-0j -0.000212858-0j 3.27763e-05-0j -3.36558e-05-0j 0.488362-0j 1.72746e-05-0j -0.000732628-0j -0.501467-0j -1.77382e-05-0j 0.000752288-0j -0.000415515-0j -0.000443773-0j 3.59888e-07-0j 0.000426665-0j 0.000455682-0j -7.3835e-05-0j -3.69545e-07-0j 7.58163e-05-0j -3.06055e-06-0j 1.18548e-09-0j 3.14268e-06-0j -1.2173e-09-0j -0.000158258-0j 0.000192692-0j -0.000114236-0j -2.46727e-05-0j 3.00412e-05-0j -1.78097e-05-0j 0.00183879-0j -2.7585e-06-0j 0.00341749-0j -0.00223888-0j 3.35871e-06-0j 0.00132731-0j -0.058126-0j -0.00416109-0j -1.99119e-06-0j -2.05606e-06-0j 5.03444e-05-0j 0.00246687-0j 0.000344418-0j 0.0707734-0j 2.50343e-06-0j 3.49703e-05-0j -0.0419576-0j -6.12986e-05-0j 5.28189e-05-0j -0.000419359-0j -1.48414e-06-0j -2.14173e-08-0j 3.63405e-05-0j 0.000248614-0j 5.07376e-06-0j -4.25794e-05-0j -6.43116e-05-0j 1.62908e-07-0j 2.60774e-08-0j 2.52429e-05-0j 3.81267e-05-0j -6.17774e-06-0j -5.33304e-11-0j -1.54598e-08-0j 3.66243e-06-0j -1.98355e-07-0j 1.17593e-07-0j 6.49344e-11-0j -3.84959e-11-0j 
-0.000243816-0j 0.0118852-0j -2.48843e-05-0j -5.0795e-06-0j -2.99312e-07-0j -0.000218955-0j -3.53338e-05-0j 0.00843802-0j 0.00121792-0j -3.60624e-06-0j -4.24999e-07-0j -1.93985e-08-0j 0.000138197-0j -0.000141905-0j 2.18508e-05-0j -2.24372e-05-0j 1.72746e-05-0j 0.489209-0j 2.49337e-06-0j -1.77382e-05-0j -0.502337-0j -2.56028e-06-0j -0.00084208-0j 1.01792e-06-0j -7.01733e-05-0j 0.000864677-0j -1.04523e-06-0j 2.54479e-07-0j 7.20564e-05-0j -2.61308e-07-0j 2.12066e-08-0j 7.90322e-10-0j -2.17756e-08-0j -8.1153e-10-0j -0.000105505-0j 0.000128462-0j -7.61576e-05-0j -1.64485e-05-0j 2.00275e-05-0j -1.18731e-05-0j -1.27409e-05-0j -1.839e-06-0j 0.00340179-0j 1.55132e-05-0j 2.23914e-06-0j -9.1969e-06-0j -2.05606e-06-0j -0.00414198-0j -1.32746e-06-0j -0.0582268-0j -1.71338e-07-0j 0.00245554-0j 0.000347194-0j 2.50343e-06-0j 0.0708961-0j 7.08706e-05-0j -1.48414e-06-0j 2.08619e-07-0j -1.21155e-07-0j -0.000422739-0j -0.0420303-0j 4.17609e-06-0j -1.23679e-07-0j 0.000250618-0j -1.74872e-08-0j -8.62911e-05-0j 1.47516e-07-0j -1.12879e-09-0j -5.08475e-06-0j 5.11571e-05-0j -8.7454e-08-0j 2.12921e-08-0j -3.55536e-11-0j 3.01446e-06-0j -1.26229e-08-0j 1.3744e-09-0j -8.14805e-10-0j 4.32896e-11-0j -2.56639e-11-0j 
-0.0103404-0j -0.000841128-0j 5.38762e-06-0j 0.00492032-0j 0.00178935-0j 4.74052e-05-0j 0.143267-0j 6.24619e-06-0j 0.00403363-0j -7.46459e-05-0j 0.00126153-0j 0.000193954-0j -2.99205e-05-0j 3.07234e-05-0j 0.000452293-0j -0.00046443-0j 0.000732628-0j -2.49337e-06-0j 0.473113-0j -0.000752288-0j 2.56028e-06-0j -0.485809-0j 5.95948e-05-0j -2.20385e-07-0j -0.00071217-0j -6.1194e-05-0j 2.26299e-07-0j -0.000246504-0j 0.000731281-0j 0.000253119-0j -0.000126778-0j -1.18777e-05-0j 0.00013018-0j 1.21964e-05-0j 2.28425e-05-0j -2.78128e-05-0j 1.64886e-05-0j -0.000340469-0j 0.000414551-0j -0.000245764-0j 2.7585e-06-0j 0.00178137-0j -0.000493272-0j -3.35871e-06-0j -0.00216897-0j 1.99119e-06-0j 0.00833667-0j 0.000600602-0j 0.00128586-0j -2.83724e-05-0j -0.0996249-0j -0.000356063-0j 2.57008e-07-0j -0.0101506-0j 3.45459e-05-0j 0.000234716-0j 0.00601773-0j 0.121302-0j -2.50779e-06-0j -3.12929e-07-0j -2.04803e-05-0j 8.53582e-05-0j -0.071913-0j 1.85518e-07-0j 5.19072e-05-0j -0.000285787-0j 3.05345e-06-0j 1.12861e-05-0j -0.000103931-0j 0.000169427-0j -1.81022e-06-0j -6.32015e-05-0j 7.49101e-07-0j 6.16148e-05-0j 3.74686e-05-0j -1.37418e-05-0j 8.14675e-06-0j -9.12095e-07-0j 5.4073e-07-0j 
-0.0723828-0j 6.15856e-05-0j -0.00729481-0j -0.000740675-0j 4.53621e-07-0j -0.00032239-0j 0.0101911-0j 0.00408704-0j -6.13126e-06-0j 0.00102707-0j 6.02077e-05-0j -2.85623e-08-0j 0.000212858-0j -0.000214977-0j 3.36558e-05-0j -3.39908e-05-0j 0.501467-0j 1.77382e-05-0j -0.000752288-0j -0.506459-0j -1.79147e-05-0j 0.000759776-0j -0.000426665-0j -0.000455682-0j 3.69545e-07-0j 0.000430912-0j 0.000460218-0j -7.58163e-05-0j -3.73223e-07-0j 7.6571e-05-0j -3.14268e-06-0j 1.2173e-09-0j 3.17396e-06-0j -1.22941e-09-0j 0.000159898-0j -0.000192231-0j 0.000105703-0j 2.49284e-05-0j -2.99692e-05-0j 1.64794e-05-0j -0.00185784-0j 2.78708e-06-0j -0.0034529-0j 0.00223352-0j -3.35066e-06-0j -0.00122816-0j 0.0587283-0j 0.00415112-0j 1.84245e-06-0j 2.07737e-06-0j -5.08661e-05-0j -0.00228261-0j -0.000347987-0j -0.0706038-0j -2.49743e-06-0j -3.53327e-05-0j 0.0388235-0j 6.11517e-05-0j -5.33663e-05-0j 0.000418354-0j 1.37328e-06-0j 2.16393e-08-0j -3.3626e-05-0j -0.000230043-0j -5.12634e-06-0j 4.24773e-05-0j 6.41575e-05-0j -1.64596e-07-0j -2.60149e-08-0j -2.33573e-05-0j -3.52788e-05-0j 6.16293e-06-0j 5.3883e-11-0j 1.4305e-08-0j -3.38886e-06-0j 1.9788e-07-0j -1.0881e-07-0j -6.47787e-11-0j 3.56204e-11-0j 
0.000246342-0j -0.0120084-0j 2.51422e-05-0j 5.13213e-06-0j 3.02414e-07-0j -0.000214927-0j -3.46836e-05-0j 0.00828276-0j 0.00119551-0j -3.53988e-06-0j -4.17179e-07-0j -1.90415e-08-0j 0.000141905-0j -0.000143318-0j 2.24372e-05-0j -2.26605e-05-0j 1.77382e-05-0j 0.502337-0j 2.56028e-06-0j -1.79147e-05-0j -0.507337-0j -2.58577e-06-0j -0.000864677-0j 1.04523e-06-0j -7.20564e-05-0j 0.000873283-0j -1.05563e-06-0j 2.61308e-07-0j 7.27736e-05-0j -2.63909e-07-0j 2.17756e-08-0j 8.1153e-10-0j -2.19924e-08-0j -8.19608e-10-0j 0.000106598-0j -0.000128154-0j 7.04689e-05-0j 1.66189e-05-0j -1.99795e-05-0j 1.09863e-05-0j 1.2873e-05-0j 1.85805e-06-0j -0.00343704-0j -1.5476e-05-0j -2.23377e-06-0j 8.50992e-06-0j 2.07737e-06-0j 0.00413205-0j 1.2283e-06-0j 0.0588302-0j 1.73114e-07-0j -0.00227212-0j -0.000350792-0j -2.49743e-06-0j -0.0707262-0j -7.16051e-05-0j 1.37328e-06-0j -2.08119e-07-0j 1.2241e-07-0j 0.000421725-0j 0.0388908-0j -4.21937e-06-0j 1.1444e-07-0j -0.000231897-0j 1.76684e-08-0j 8.60843e-05-0j -1.47163e-07-0j 1.14049e-09-0j 5.07257e-06-0j -4.73358e-05-0j 8.09215e-08-0j -2.12411e-08-0j 3.5922e-11-0j -2.78929e-06-0j 1.168e-08-0j -1.37111e-09-0j 7.53941e-10-0j -4.31858e-11-0j 2.37469e-11-0j 
0.0104476-0j 0.000849845-0j -5.44345e-06-0j -0.00497131-0j -0.0018079-0j 4.6533e-05-0j 0.140631-0j 6.13126e-06-0j 0.00395941-0j -7.32724e-05-0j 0.00123831-0j 0.000190385-0j -3.07234e-05-0j 3.10292e-05-0j 0.00046443-0j -0.000469053-0j 0.000752288-0j -2.56028e-06-0j 0.485809-0j -0.000759776-0j 2.58577e-06-0j -0.490644-0j 6.1194e-05-0j -2.26299e-07-0j -0.000731281-0j -6.18031e-05-0j 2.28552e-07-0j -0.000253119-0j 0.000738559-0j 0.000255638-0j -0.00013018-0j -1.21964e-05-0j 0.000131475-0j 1.23178e-05-0j -2.30792e-05-0j 2.77461e-05-0j -1.5257e-05-0j 0.000343997-0j -0.000413557-0j 0.000227406-0j -2.78708e-06-0j -0.00179983-0j 0.000498384-0j 3.35066e-06-0j 0.00216377-0j -1.84245e-06-0j -0.00842306-0j -0.000599162-0j -0.00118981-0j 2.86664e-05-0j 0.100657-0j 0.000329466-0j -2.59671e-07-0j 0.0101263-0j -3.44631e-05-0j -0.000237148-0j -0.00556822-0j -0.121011-0j 2.53378e-06-0j 3.12179e-07-0j 1.89505e-05-0j -8.62428e-05-0j 0.0665413-0j -1.7166e-07-0j -5.24451e-05-0j 0.000285102-0j -3.04614e-06-0j -1.14031e-05-0j 0.000103682-0j -0.000156771-0j 1.675e-06-0j 6.305e-05-0j -7.56864e-07-0j -5.70124e-05-0j -3.46698e-05-0j 1.37089e-05-0j -7.53822e-06-0j 9.09909e-07-0j -5.00339e-07-0j 
6.09539e-05-0j 0.0700348-0j -0.00120333-0j 0.011681-0j -1.43827e-05-0j 5.47388e-05-0j -0.000417844-0j 0.101135-0j 0.0145052-0j 0.00824894-0j 0.00147113-0j -1.16639e-06-0j -3.45492e-05-0j 3.54763e-05-0j 0.0002584-0j -0.000265334-0j 0.000415515-0j 0.00084208-0j 5.95948e-05-0j -0.000426665-0j -0.000864677-0j -6.1194e-05-0j 0.477418-0j 7.39622e-05-0j -0.00125799-0j -0.490229-0j -7.5947e-05-0j -0.0011765-0j 0.00129175-0j 0.00120807-0j -9.80449e-05-0j 5.70643e-08-0j 0.000100676-0j -5.85956e-08-0j 2.63763e-05-0j -3.21154e-05-0j 1.90394e-05-0j -0.000194514-0j 0.000236838-0j -0.000140408-0j -0.000306464-0j -4.39544e-05-0j -0.00042377-0j 0.000373147-0j 5.35183e-05-0j -0.000221218-0j 0.00233937-0j 0.000515977-0j -3.17279e-05-0j 0.00474095-0j -6.16423e-06-0j -0.000305893-0j 0.00836592-0j -0.00284839-0j -0.00577252-0j -0.0812097-0j 0.00168865-0j 7.50548e-06-0j 0.000416411-0j -0.0101862-0j 0.0034222-0j 9.99929e-05-0j -4.44957e-06-0j 0.00603884-0j 0.000121692-0j 0.0988799-0j -0.000507017-0j 6.53025e-06-0j -0.00012175-0j -0.0586203-0j 0.000300582-0j -0.000148171-0j -2.99644e-09-0j 7.21787e-05-0j 8.7842e-05-0j -7.95115e-06-0j 4.71378e-06-0j 3.64842e-09-0j -2.16294e-09-0j 
2.15505e-05-0j 3.59175e-06-0j 0.123438-0j -0.000130489-0j 2.64557e-08-0j 1.93531e-05-0j 3.12309e-06-0j -0.000741135-0j 3.6806e-07-0j 0.0178886-0j -1.0918e-05-0j 1.7146e-09-0j -1.2215e-05-0j 1.25428e-05-0j -1.93136e-06-0j 1.98319e-06-0j 0.000443773-0j -1.01792e-06-0j -2.20385e-07-0j -0.000455682-0j 1.04523e-06-0j 2.26299e-07-0j 7.39622e-05-0j 0.480731-0j -2.12066e-08-0j -7.5947e-05-0j -0.493631-0j -0.00126233-0j 2.17756e-08-0j 0.0012962-0j 5.44783e-07-0j -6.98553e-11-0j -5.59402e-07-0j 7.17298e-11-0j 9.32542e-06-0j -1.13545e-05-0j 6.73144e-06-0j 1.45386e-06-0j -1.77019e-06-0j 1.04945e-06-0j -0.000327307-0j 1.62546e-07-0j 1.02803e-06-0j 0.000398524-0j -1.97914e-07-0j -0.000236263-0j -5.28189e-05-0j -1.25172e-06-0j 1.17332e-07-0j 1.21155e-07-0j 1.51443e-08-0j 7.42072e-07-0j 0.00588839-0j 6.43116e-05-0j -1.47516e-07-0j -6.22477e-06-0j -3.81267e-05-0j -1.84395e-08-0j -0.0572176-0j -0.00716962-0j 8.7454e-08-0j 1.26203e-09-0j 1.09318e-08-0j 0.00425046-0j 8.67441e-05-0j 7.5792e-06-0j 0.0696675-0j -2.89979e-08-0j -1.53663e-09-0j -4.49328e-06-0j -0.0413019-0j -0.000105619-0j 3.14252e-12-0j 9.10979e-10-0j 6.26152e-05-0j 3.53075e-08-0j -2.09318e-08-0j -3.82629e-12-0j 2.26839e-12-0j 
-5.0795e-06-0j -0.0177555-0j -5.18424e-07-0j -0.00145083-0j 0.0163456-0j -4.56157e-06-0j 0.000105933-0j 8.75955e-05-0j 0.17334-0j 1.08118e-05-0j 0.00561898-0j 0.00267639-0j 2.8791e-06-0j -2.95636e-06-0j -6.55105e-05-0j 6.72684e-05-0j 3.59888e-07-0j -7.01733e-05-0j 0.00071217-0j -3.69545e-07-0j 7.20564e-05-0j -0.000731281-0j 0.00125799-0j 2.12066e-08-0j 0.4623-0j -0.00129175-0j -2.17756e-08-0j 7.26855e-05-0j -0.474706-0j -7.4636e-05-0j -0.0011581-0j -0.000219223-0j 0.00118918-0j 0.000225106-0j -2.19802e-06-0j 2.67628e-06-0j -1.58662e-06-0j 4.93138e-05-0j -6.00439e-05-0j 3.55966e-05-0j -2.65436e-07-0j -0.000525264-0j 3.53142e-05-0j 3.23192e-07-0j 0.000639554-0j -1.91602e-07-0j 6.16423e-06-0j -4.29981e-05-0j -0.000379155-0j -0.00120194-0j 0.00226529-0j 2.54911e-05-0j 3.60424e-06-0j -7.50548e-06-0j 0.00146347-0j 0.0100866-0j 4.44957e-06-0j -0.00275819-0j 3.63231e-07-0j -4.38847e-06-0j -0.000867608-0j -0.113639-0j 0.00163517-0j 2.60168e-06-0j 0.0002312-0j -0.0122813-0j -4.42265e-07-0j 0.000155738-0j 0.138366-0j 0.0072809-0j 2.62194e-07-0j -0.000281507-0j 1.73126e-05-0j -0.0820291-0j 0.000166889-0j -0.000189625-0j 0.000112418-0j -2.10796e-05-0j 1.24969e-05-0j 
-6.15856e-05-0j -0.0707606-0j 0.0012158-0j -0.011802-0j 1.45318e-05-0j 5.37316e-05-0j -0.000410156-0j 0.0992741-0j 0.0142383-0j 0.00809716-0j 0.00144406-0j -1.14493e-06-0j -3.54763e-05-0j 3.58294e-05-0j 0.000265334-0j -0.000267975-0j 0.000426665-0j 0.000864677-0j 6.1194e-05-0j -0.000430912-0j -0.000873283-0j -6.18031e-05-0j 0.490229-0j 7.5947e-05-0j -0.00129175-0j -0.495108-0j -7.67029e-05-0j -0.00120807-0j 0.00130461-0j 0.0012201-0j -0.000100676-0j 5.85956e-08-0j 0.000101678-0j -5.91788e-08-0j -2.66496e-05-0j 3.20384e-05-0j -1.76172e-05-0j 0.00019653-0j -0.00023627-0j 0.00012992-0j 0.00030964-0j 4.44099e-05-0j 0.000428161-0j -0.000372253-0j -5.339e-05-0j 0.000204693-0j -0.00236361-0j -0.00051474-0j 2.9358e-05-0j -0.00479008-0j 6.22811e-06-0j 0.000283044-0j -0.00845262-0j 0.00284156-0j 0.00575869-0j 0.0820513-0j -0.00156251-0j -7.48749e-06-0j -0.000420727-0j 0.0101618-0j -0.00316657-0j -0.000101029-0j 4.11721e-06-0j -0.00558776-0j -0.000122953-0j -0.0986429-0j 0.000505802-0j -6.59792e-06-0j 0.000121458-0j 0.0542415-0j -0.000278129-0j 0.000147816-0j 3.02749e-09-0j -6.67871e-05-0j -8.12805e-05-0j 7.93209e-06-0j -4.36168e-06-0j -3.63968e-09-0j 2.00138e-09-0j 
-2.17738e-05-0j -3.62897e-06-0j -0.124717-0j 0.000131841-0j -2.67299e-08-0j 1.8997e-05-0j 3.06563e-06-0j -0.000727499-0j 3.61288e-07-0j 0.0175594-0j -1.07171e-05-0j 1.68305e-09-0j -1.25428e-05-0j 1.26676e-05-0j -1.98319e-06-0j 2.00293e-06-0j 0.000455682-0j -1.04523e-06-0j -2.26299e-07-0j -0.000460218-0j 1.05563e-06-0j 2.28552e-07-0j 7.5947e-05-0j 0.493631-0j -2.17756e-08-0j -7.67029e-05-0j -0.498544-0j -0.0012962-0j 2.19924e-08-0j 0.00130911-0j 5.59402e-07-0j -7.17298e-11-0j -5.6497e-07-0j 7.24438e-11-0j -9.42206e-06-0j 1.13273e-05-0j -6.22863e-06-0j -1.46892e-06-0j 1.76595e-06-0j -9.71058e-07-0j 0.000330699-0j -1.6423e-07-0j -1.03868e-06-0j -0.000397569-0j 1.97439e-07-0j 0.000218614-0j 5.33663e-05-0j 1.24872e-06-0j -1.08568e-07-0j -1.2241e-07-0j -1.53013e-08-0j -6.86641e-07-0j -0.00594941-0j -6.41575e-05-0j 1.47163e-07-0j 6.28928e-06-0j 3.52788e-05-0j 1.83953e-08-0j 0.0578106-0j 0.00715244-0j -8.09215e-08-0j -1.27511e-09-0j -1.01152e-08-0j -0.00393297-0j -8.76431e-05-0j -7.56103e-06-0j -0.0695005-0j 2.92984e-08-0j 1.53294e-09-0j 4.15764e-06-0j 0.0382168-0j 0.000105365-0j -3.17509e-12-0j -8.42932e-10-0j -5.79381e-05-0j -3.52229e-08-0j 1.93683e-08-0j 3.81712e-12-0j -2.09895e-12-0j 
