0.995962-0j -0.000651597-0j -0.000532027-0j -7.67915e-05-0j -6.65034e-05-0j -7.8375e-06-0j -3.57731e-07-0j -0.00370086-0j 0.144335-0j -0.000462608-0j -0.000308405-0j -6.67717e-05-0j -7.71013e-05-0j -2.72594e-05-0j -6.42511e-06-0j -6.81486e-06-0j -5.67905e-07-0j -2.11646e-08-0j -0.00240761-0j -0.00243256-0j -0.000375352-0j -0.000379242-0j 0.0717154-0j 0.0103512-0j 0.0724585-0j -0.000265414-0j 0.0104585-0j -0.000268164-0j -4.6919e-05-0j -3.12793e-05-0j -3.90992e-06-0j -4.74052e-05-0j -2.70887e-05-0j -3.16035e-05-0j -3.95043e-06-0j -2.73694e-05-0j -5.52946e-06-0j -2.76473e-06-0j -5.58676e-06-0j -3.25826e-07-0j -2.79338e-06-0j -3.99054e-07-0j -3.29203e-07-0j -2.57588e-08-0j -4.0319e-07-0j -2.60258e-08-0j -8.11327e-10-0j -8.19735e-10-0j 
6.67717e-05-0j 0.201796-0j 8.79794e-06-0j 0.00568149-0j -0.000105141-0j 0.0017769-0j 0.00027319-0j 8.71108e-07-0j -1.31681e-05-0j -2.13298e-05-0j 7.25924e-08-0j -0.0137743-0j -1.73505e-06-0j 6.41632e-09-0j 2.07342e-05-0j 7.17675e-06-0j 3.69102e-06-0j 3.45808e-07-0j 3.98138e-05-0j -3.90812e-05-0j -0.000593427-0j 0.000582508-0j 4.80797e-06-0j 0.00310487-0j -4.7195e-06-0j -0.000859757-0j -0.00304774-0j 0.000843938-0j 0.0145305-0j -4.94522e-05-0j -0.173643-0j -0.0142632-0j 4.47956e-07-0j 4.85423e-05-0j 0.170448-0j -4.39714e-07-0j 0.000409102-0j -4.371e-06-0j -0.000401575-0j 0.000148777-0j 4.29058e-06-0j 9.04725e-05-0j -0.000146039-0j 1.96713e-05-0j -8.88078e-05-0j -1.93094e-05-0j 1.30566e-06-0j -1.28163e-06-0j 
7.71013e-05-0j -0.000588546-0j 0.142452-0j 0.020431-0j 0.0116189-0j 0.00207213-0j -1.6429e-06-0j 1.00587e-06-0j -7.52309e-06-0j -1.20973e-05-0j -2.45164e-05-0j -1.73505e-06-0j -0.0138996-0j -2.15335e-06-0j 3.66254e-05-0j 3.42528e-05-0j 2.85449e-06-0j -1.66138e-09-0j 4.5973e-05-0j -4.51271e-05-0j -0.000339031-0j 0.000332793-0j -0.000534157-0j -7.66111e-05-0j 0.000524329-0j -0.000738617-0j 7.52014e-05-0j 0.000725027-0j 0.00407745-0j 0.00826333-0j -1.07441e-05-0j -0.00400242-0j 0.0145815-0j -0.00811129-0j 1.05464e-05-0j -0.0143132-0j -0.141546-0j 0.000725792-0j 0.138942-0j 0.000174284-0j -0.000712437-0j 0.000212105-0j -0.000171078-0j 1.1382e-05-0j -0.000208203-0j -1.11726e-05-0j -5.22269e-09-0j 5.1266e-09-0j 
2.72594e-05-0j 4.39897e-06-0j -0.00104391-0j 5.18424e-07-0j 0.0251966-0j -1.53783e-05-0j 2.41506e-09-0j 3.55629e-07-0j 5.62298e-08-0j -1.29201e-05-0j 2.96357e-08-0j 6.41632e-09-0j -2.15335e-06-0j -0.0139961-0j 6.17411e-10-0j 3.67516e-05-0j -1.58609e-08-0j 2.03377e-12-0j 1.62539e-05-0j -1.59548e-05-0j 2.53402e-06-0j -2.4874e-06-0j -0.000570485-0j 2.83312e-07-0j 0.000559988-0j 1.79182e-06-0j -2.78099e-07-0j -1.75886e-06-0j -9.20617e-05-0j 2.11169e-07-0j 2.63961e-08-0j 9.03678e-05-0j 0.0102633-0j -2.07283e-07-0j -2.59104e-08-0j -0.0100744-0j -1.08496e-05-0j -0.0997285-0j 1.06499e-05-0j 2.19967e-09-0j 0.0978935-0j 0.000151192-0j -2.1592e-09-0j -5.05425e-08-0j -0.00014841-0j 4.96125e-08-0j 5.47732e-12-0j -5.37653e-12-0j 
-6.42511e-06-0j 0.00014921-0j 0.000123381-0j 0.244155-0j 1.52287e-05-0j 0.00791451-0j 0.00376978-0j -8.38225e-08-0j 1.90728e-06-0j -1.04778e-08-0j 2.04303e-06-0j -2.07342e-05-0j -3.66254e-05-0j -6.17411e-10-0j -0.0134595-0j -2.11617e-06-0j 3.3717e-05-0j 6.38249e-06-0j -3.83108e-06-0j 3.76059e-06-0j 8.59524e-05-0j -8.43709e-05-0j -4.62647e-07-0j -0.000915517-0j 4.54135e-07-0j 6.15514e-05-0j 0.000898672-0j -6.04189e-05-0j 1.07441e-05-0j -0.00209495-0j 0.00394833-0j -1.05464e-05-0j 6.28207e-06-0j 0.0020564-0j -0.00387568-0j -6.16648e-06-0j 0.0175806-0j 6.33099e-07-0j -0.0172572-0j -0.198069-0j -6.2145e-07-0j 0.000402975-0j 0.194425-0j 0.000271447-0j -0.00039556-0j -0.000266452-0j 3.01753e-05-0j -2.96201e-05-0j 
-6.81486e-06-0j 0.000105141-0j 0.000173686-0j -0.000579865-0j 0.198664-0j 0.0350789-0j -2.78823e-05-0j -8.89071e-08-0j 1.34396e-06-0j 2.14964e-06-0j -7.40893e-09-0j -7.17675e-06-0j -3.42528e-05-0j -3.67516e-05-0j -2.11617e-06-0j -0.0135605-0j 7.28668e-05-0j -3.52938e-08-0j -4.06348e-06-0j 3.98871e-06-0j 6.05664e-05-0j -5.9452e-05-0j 9.49173e-05-0j -0.000316889-0j -9.31709e-05-0j -4.47956e-07-0j 0.000311059-0j 4.39714e-07-0j -0.0014644-0j 5.0472e-06-0j -9.04725e-05-0j 0.00143746-0j -0.000846414-0j -4.95433e-06-0j 8.88078e-05-0j 0.00083084-0j 0.00807636-0j 0.0250364-0j -0.00792775-0j -1.51845e-05-0j -0.0245757-0j -0.170948-0j 1.49051e-05-0j 0.000388345-0j 0.167803-0j -0.0003812-0j -1.33258e-07-0j 1.30806e-07-0j 
5.67905e-07-0j -1.76151e-05-0j -7.1995e-06-0j 0.000298226-0j 0.000347752-0j 0.278012-0j 0.0315193-0j 7.40893e-09-0j -2.25165e-07-0j -8.91053e-08-0j 6.17411e-10-0j 3.69102e-06-0j 2.85449e-06-0j -1.58609e-08-0j -3.3717e-05-0j -7.28668e-05-0j -0.0131257-0j 8.07575e-05-0j 3.38623e-07-0j -3.32392e-07-0j -1.01472e-05-0j 9.96048e-06-0j -3.93444e-06-0j 0.000162977-0j 3.86205e-06-0j 3.73297e-08-0j -0.000159978-0j -3.66428e-08-0j 0.000122038-0j -8.45599e-07-0j -0.0014415-0j -0.000119792-0j -7.3695e-07-0j 8.3004e-07-0j 0.00141498-0j 7.2339e-07-0j -0.0020661-0j 2.17229e-05-0j 0.00202809-0j 0.00549885-0j -2.13232e-05-0j 0.0284576-0j -0.00539768-0j -0.218366-0j -0.027934-0j 0.214348-0j 0.000511043-0j -0.00050164-0j 
-2.11646e-08-0j 9.86424e-07-0j -2.78868e-09-0j -2.79405e-05-0j 1.00677e-07-0j 0.000546972-0j 0.336859-0j -2.76114e-10-0j 1.2609e-08-0j -3.45143e-11-0j -2.30095e-11-0j -3.45808e-07-0j 1.66138e-09-0j -2.03377e-12-0j 6.38249e-06-0j -3.52938e-08-0j -8.07575e-05-0j -0.0126917-0j -1.26197e-08-0j 1.23875e-08-0j 5.68229e-07-0j -5.57773e-07-0j -1.52398e-09-0j -1.52691e-05-0j 1.49594e-09-0j -1.39119e-09-0j 1.49882e-05-0j 1.3656e-09-0j 7.10286e-08-0j 4.73524e-08-0j 0.00027287-0j -6.97217e-08-0j -1.41988e-10-0j -4.64811e-08-0j -0.000267849-0j 1.39376e-10-0j -2.01188e-06-0j 4.1854e-09-0j 1.97487e-06-0j -0.00325516-0j -4.10839e-09-0j 2.78496e-05-0j 0.00319526-0j 0.0242559-0j -2.73372e-05-0j -0.0238096-0j -0.255597-0j 0.250894-0j 
0.00240761-0j 0.000388526-0j 0.00031723-0j 4.57882e-05-0j 3.96538e-05-0j 4.67324e-06-0j 2.13303e-07-0j 0.0022067-0j 0.00034891-0j 0.000275838-0j 0.000183892-0j 3.98138e-05-0j 4.5973e-05-0j 1.62539e-05-0j 3.83108e-06-0j 4.06348e-06-0j 3.38623e-07-0j 1.26197e-08-0j 0.494545-0j -0.507816-0j -0.00022022-0j 0.000226129-0j -0.000170582-0j -2.46213e-05-0j 0.000175159-0j -0.000155719-0j 2.5282e-05-0j 0.000159898-0j -2.75275e-05-0j -1.83517e-05-0j -2.29396e-06-0j 2.82662e-05-0j -1.5893e-05-0j 1.88441e-05-0j 2.35551e-06-0j 1.63195e-05-0j -3.24415e-06-0j -1.62207e-06-0j 3.3312e-06-0j -1.91163e-07-0j 1.6656e-06-0j -2.34126e-07-0j 1.96293e-07-0j -1.51128e-08-0j 2.40409e-07-0j 1.55183e-08-0j -4.76007e-10-0j 4.88781e-10-0j 
-0.00243256-0j -0.000392552-0j -0.000320518-0j -4.62628e-05-0j -4.00647e-05-0j -4.72167e-06-0j -2.15514e-07-0j 0.0021661-0j 0.000342491-0j 0.000270763-0j 0.000180508-0j 3.90812e-05-0j 4.51271e-05-0j 1.59548e-05-0j 3.76059e-06-0j 3.98871e-06-0j 3.32392e-07-0j 1.23875e-08-0j 0.507816-0j -0.51287-0j -0.000226129-0j 0.00022838-0j -0.000175159-0j -2.5282e-05-0j 0.000176903-0j -0.000159898-0j 2.55337e-05-0j 0.000161489-0j -2.82662e-05-0j -1.88441e-05-0j -2.35551e-06-0j 2.85475e-05-0j -1.63195e-05-0j 1.90317e-05-0j 2.37896e-06-0j 1.64819e-05-0j -3.3312e-06-0j -1.6656e-06-0j 3.36436e-06-0j -1.96293e-07-0j 1.68218e-06-0j -2.40409e-07-0j 1.98247e-07-0j -1.55183e-08-0j 2.42802e-07-0j 1.56728e-08-0j -4.88781e-10-0j 4.93646e-10-0j 
-0.000375352-0j 0.00286522-0j -4.9457e-05-0j 0.000682477-0j 0.00029243-0j 0.000104847-0j 7.99813e-06-0j 0.102543-0j 0.00257307-0j -4.30038e-05-0j -2.86692e-05-0j 0.000593427-0j 0.000339031-0j -2.53402e-06-0j 8.59524e-05-0j 6.05664e-05-0j 1.01472e-05-0j 5.68229e-07-0j 0.00022022-0j -0.000226129-0j 0.484066-0j -0.497055-0j 2.65941e-05-0j -0.000366982-0j -2.73077e-05-0j 2.4277e-05-0j 0.00037683-0j -2.49284e-05-0j -0.000203004-0j -0.000135336-0j -5.14662e-05-0j 0.000208451-0j 2.47776e-06-0j 0.000138967-0j 5.28472e-05-0j -2.54425e-06-0j -4.83542e-05-0j -1.19621e-05-0j 4.96517e-05-0j -5.7284e-06-0j 1.22831e-05-0j -5.25274e-06-0j 5.88212e-06-0j -5.66676e-07-0j 5.3937e-06-0j 5.81883e-07-0j -2.50177e-08-0j 2.56891e-08-0j 
0.000379242-0j -0.00289491-0j 4.99695e-05-0j -0.000689549-0j -0.00029546-0j -0.000105933-0j -8.08102e-06-0j 0.100656-0j 0.00252572-0j -4.22125e-05-0j -2.81417e-05-0j 0.000582508-0j 0.000332793-0j -2.4874e-06-0j 8.43709e-05-0j 5.9452e-05-0j 9.96048e-06-0j 5.57773e-07-0j 0.000226129-0j -0.00022838-0j 0.497055-0j -0.502003-0j 2.73077e-05-0j -0.00037683-0j -2.75795e-05-0j 2.49284e-05-0j 0.000380581-0j -2.51765e-05-0j -0.000208451-0j -0.000138967-0j -5.28472e-05-0j 0.000210526-0j 2.54425e-06-0j 0.000140351-0j 5.33733e-05-0j -2.56957e-06-0j -4.96517e-05-0j -1.22831e-05-0j 5.0146e-05-0j -5.88212e-06-0j 1.24054e-05-0j -5.3937e-06-0j 5.94066e-06-0j -5.81883e-07-0j 5.44739e-06-0j 5.87674e-07-0j -2.56891e-08-0j 2.59448e-08-0j 
0.0717154-0j -4.6919e-05-0j 0.00368588-0j -5.52946e-06-0j 0.000926259-0j 5.42981e-05-0j -2.57588e-08-0j -0.000266485-0j 0.010393-0j 0.00320494-0j -2.22071e-05-0j -4.80797e-06-0j 0.000534157-0j 0.000570485-0j -4.62647e-07-0j 9.49173e-05-0j 3.93444e-06-0j -1.52398e-09-0j 0.000170582-0j -0.000175159-0j 2.65941e-05-0j -2.73077e-05-0j 0.488874-0j -0.000733395-0j -0.501992-0j 1.88049e-05-0j 0.000753075-0j -1.93095e-05-0j -0.00031984-0j 2.21617e-06-0j 2.77022e-07-0j 0.000328423-0j -0.000371239-0j -2.27564e-06-0j -2.84455e-07-0j 0.000381201-0j -3.76935e-05-0j -5.69321e-05-0j 3.8705e-05-0j 2.30851e-08-0j 5.84598e-05-0j -5.46887e-06-0j -2.37046e-08-0j -1.75594e-07-0j 5.61562e-06-0j 1.80306e-07-0j 5.74834e-11-0j -5.90259e-11-0j 
-0.0103512-0j -0.000647454-0j 5.52946e-06-0j 0.00357079-0j -6.60805e-05-0j 0.00111677-0j 0.000171698-0j 3.84638e-05-0j 0.143417-0j 4.80797e-06-0j 3.20531e-06-0j 0.00310487-0j -7.66111e-05-0j 2.83312e-07-0j 0.000915517-0j 0.000316889-0j 0.000162977-0j 1.52691e-05-0j -2.46213e-05-0j 2.5282e-05-0j 0.000366982-0j -0.00037683-0j 0.000733395-0j 0.473608-0j -0.000753075-0j -2.71425e-06-0j -0.486317-0j 2.78708e-06-0j 4.58728e-05-0j 3.05819e-05-0j -0.000548189-0j -4.71038e-05-0j -2.77022e-07-0j -3.14025e-05-0j 0.0005629-0j 2.84455e-07-0j -0.000252994-0j 2.70308e-06-0j 0.000259783-0j -9.20053e-05-0j -2.77562e-06-0j -5.59493e-05-0j 9.44742e-05-0j -1.2165e-05-0j 5.74507e-05-0j 1.24914e-05-0j -8.07436e-07-0j 8.29103e-07-0j 
-0.0724585-0j 4.74052e-05-0j -0.00372408-0j 5.58676e-06-0j -0.000935858-0j -5.48608e-05-0j 2.60258e-08-0j -0.000261581-0j 0.0102018-0j 0.00314597-0j -2.17985e-05-0j -4.7195e-06-0j 0.000524329-0j 0.000559988-0j -4.54135e-07-0j 9.31709e-05-0j 3.86205e-06-0j -1.49594e-09-0j 0.000175159-0j -0.000176903-0j 2.73077e-05-0j -2.75795e-05-0j 0.501992-0j -0.000753075-0j -0.506989-0j 1.93095e-05-0j 0.000760571-0j -1.95017e-05-0j -0.000328423-0j 2.27564e-06-0j 2.84455e-07-0j 0.000331692-0j -0.000381201-0j -2.29829e-06-0j -2.87287e-07-0j 0.000384995-0j -3.8705e-05-0j -5.84598e-05-0j 3.90903e-05-0j 2.37046e-08-0j 5.90417e-05-0j -5.61562e-06-0j -2.39406e-08-0j -1.80306e-07-0j 5.67152e-06-0j 1.82101e-07-0j 5.90259e-11-0j -5.96134e-11-0j 
-0.000265414-0j 0.00839002-0j 0.00509673-0j 0.000735649-0j -4.37142e-06-0j -5.15177e-07-0j -2.35145e-08-0j -0.000243266-0j -3.84638e-05-0j 0.00595657-0j 0.00592921-0j 0.000859757-0j 0.000738617-0j -1.79182e-06-0j 6.15514e-05-0j -4.47956e-07-0j -3.73297e-08-0j -1.39119e-09-0j 0.000155719-0j -0.000159898-0j 2.4277e-05-0j -2.49284e-05-0j 1.88049e-05-0j 2.71425e-06-0j -1.93095e-05-0j 0.490076-0j -2.78708e-06-0j -0.503227-0j -0.000594441-0j -0.000591711-0j -4.95368e-05-0j 0.000610393-0j -0.000255342-0j 0.000607589-0j 5.08661e-05-0j 0.000262194-0j -5.21215e-05-0j 1.78817e-07-0j 5.35202e-05-0j -3.07129e-06-0j -1.83615e-07-0j 2.581e-08-0j 3.15371e-06-0j 1.66603e-09-0j -2.65026e-08-0j -1.71073e-09-0j 5.24749e-11-0j -5.3883e-11-0j 
0.0104585-0j 0.000654164-0j -5.58676e-06-0j -0.00360779-0j 6.67653e-05-0j -0.00112834-0j -0.000173478-0j 3.7756e-05-0j 0.140778-0j 4.7195e-06-0j 3.14634e-06-0j 0.00304774-0j -7.52014e-05-0j 2.78099e-07-0j 0.000898672-0j 0.000311059-0j 0.000159978-0j 1.49882e-05-0j -2.5282e-05-0j 2.55337e-05-0j 0.00037683-0j -0.000380581-0j 0.000753075-0j 0.486317-0j -0.000760571-0j -2.78708e-06-0j -0.491158-0j 2.81482e-06-0j 4.71038e-05-0j 3.14025e-05-0j -0.0005629-0j -4.75726e-05-0j -2.84455e-07-0j -3.17151e-05-0j 0.000568502-0j 2.87287e-07-0j -0.000259783-0j 2.77562e-06-0j 0.000262369-0j -9.44742e-05-0j -2.80324e-06-0j -5.74507e-05-0j 9.54146e-05-0j -1.24914e-05-0j 5.80225e-05-0j 1.26158e-05-0j -8.29103e-07-0j 8.37355e-07-0j 
