0.00265469-0j 4.26843e-05-0j 0.0024485-0j -0.00240345-0j 3.04951e-05-0j -0.00345938-0j -0.00221861-0j 0.169594-0j -0.000523534-0j -0.0290779-0j -0.0193853-0j 0.0285429-0j -0.000482872-0j -0.011994-0j 0.0387332-0j 0.020392-0j 0.0360346-0j 0.0156978-0j 0.000226129-0j 0.146029-0j -1.79261e-05-0j -0.0115762-0j 0.000191154-0j 0.123443-0j -0.000187637-0j 0.000174499-0j -0.121171-0j 0.112687-0j 3.07353e-06-0j 2.04902e-06-0j 0.00198481-0j -0.000246541-0j 0.000124668-0j 0.00132321-0j -0.15921-0j 0.0805075-0j -0.000173063-0j 1.26777e-06-0j -0.11176-0j -0.000216247-0j -0.000176138-0j 0.000818692-0j -0.139647-0j -0.113745-0j -0.000159754-0j -0.103165-0j -5.28974e-05-0j -0.0341598-0j 
0.0577595-0j -0.0160932-0j 0.0129293-0j -0.0132762-0j 0.0341238-0j 0.00933284-0j -0.0030305-0j -0.00186539-0j 0.00837051-0j 0.00160604-0j -0.00108815-0j -0.00164913-0j 0.00187371-0j 0.00333388-0j -0.00111082-0j 0.00349679-0j 0.000676257-0j -0.000179294-0j 0.116759-0j -0.000175159-0j 0.127421-0j -0.000191154-0j 0.393739-0j -0.000590676-0j -0.404304-0j 0.0901005-0j 0.000606526-0j -0.000135166-0j -0.109705-0j 0.0743291-0j 0.000164577-0j 0.065038-0j -0.191048-0j -0.000111507-0j -9.75682e-05-0j 0.000286604-0j -0.0905022-0j -0.227731-0j 0.000135769-0j 0.0379388-0j -0.137905-0j 0.000341636-0j -5.69148e-05-0j 0.000206882-0j -0.0206585-0j 3.09913e-05-0j 0.00462903-0j -6.94434e-06-0j 
-0.00833687-0j 0.00232286-0j -0.00186618-0j 0.00191626-0j -0.00492534-0j -0.00134708-0j 0.000437415-0j -0.0257413-0j 0.115508-0j 0.0221623-0j -0.0150158-0j -0.0227571-0j 0.0258561-0j 0.0460056-0j -0.0153286-0j 0.0482537-0j 0.00933195-0j -0.00247416-0j 0.000175159-0j 0.113113-0j 0.000191154-0j 0.123443-0j 0.000590676-0j 0.381444-0j -0.000606526-0j 0.000135166-0j -0.39168-0j 0.087287-0j -0.000164577-0j 0.000111507-0j -0.10628-0j 9.75682e-05-0j -0.000286604-0j 0.0720081-0j 0.0630071-0j -0.185082-0j -0.000135769-0j -0.000341636-0j -0.0876762-0j 5.69148e-05-0j -0.000206882-0j -0.22062-0j 0.0367541-0j -0.133599-0j -3.09913e-05-0j -0.0200134-0j 6.94434e-06-0j 0.00448448-0j 
-0.0583581-0j -0.0157971-0j 0.0132762-0j -0.0134084-0j -0.011286-0j 0.00877649-0j 0.0323859-0j 0.00188472-0j 0.00821649-0j 0.00164913-0j 0.00109942-0j -0.00166555-0j -0.00186922-0j 0.000680233-0j 0.00102784-0j -0.00118993-0j 0.00331557-0j 0.00331923-0j -0.117969-0j 0.000176974-0j 0.125077-0j -0.000187637-0j 0.404304-0j -0.000606526-0j -0.408329-0j -0.0910342-0j 0.000612564-0j 0.000136567-0j 0.109442-0j 0.0729615-0j -0.000164182-0j -0.0601799-0j -0.065038-0j -0.000109455-0j 9.02802e-05-0j 9.75682e-05-0j 0.0928931-0j 0.0451426-0j -0.000139356-0j -0.183023-0j -0.0429946-0j -6.77217e-05-0j 0.000274567-0j 6.44993e-05-0j -0.224369-0j 0.000336593-0j -0.131013-0j 0.000196542-0j 
-0.0130053-0j 0.0443389-0j 0.0239267-0j 0.0241747-0j -0.0104958-0j -0.00865857-0j -0.00276646-0j -0.00170286-0j -0.00188472-0j 0.00449698-0j 0.00495615-0j 0.00454358-0j 0.00346746-0j -0.000614596-0j 0.00202268-0j -0.00107554-0j -0.0006274-0j -0.000163673-0j 0.106586-0j -0.000159898-0j 0.116319-0j -0.000174499-0j 0.0901005-0j -0.000135166-0j 0.0910342-0j 0.495161-0j -0.000136567-0j -0.000742826-0j -0.30718-0j -0.338545-0j 0.000460823-0j -0.179188-0j -0.117213-0j 0.000507875-0j 0.000268813-0j 0.00017584-0j -0.167482-0j 0.0419818-0j 0.000251252-0j -0.0690828-0j 0.0424169-0j -6.298e-05-0j 0.000103636-0j -6.36327e-05-0j 0.019166-0j -2.87523e-05-0j 0.0042257-0j -6.33928e-06-0j 
0.00842326-0j 0.00228012-0j -0.00191626-0j 0.00193533-0j 0.00162899-0j -0.00126678-0j -0.0046745-0j 0.0260081-0j 0.113383-0j 0.0227571-0j 0.0151714-0j -0.0229836-0j -0.0257941-0j 0.00938681-0j 0.0141836-0j -0.0164203-0j 0.0457528-0j 0.0458034-0j -0.000176974-0j -0.114286-0j 0.000187637-0j 0.121171-0j 0.000606526-0j 0.39168-0j -0.000612564-0j -0.000136567-0j -0.395578-0j -0.0881916-0j 0.000164182-0j 0.000109455-0j 0.106025-0j -9.02802e-05-0j -9.75682e-05-0j 0.0706832-0j -0.0583007-0j -0.0630071-0j 0.000139356-0j 6.77217e-05-0j 0.0899924-0j -0.000274567-0j -6.44993e-05-0j 0.043733-0j -0.177308-0j -0.041652-0j -0.000336593-0j -0.217363-0j -0.000196542-0j -0.126922-0j 
0.00187715-0j -0.00639977-0j -0.00345352-0j -0.00348931-0j 0.00151493-0j 0.00124976-0j 0.000399304-0j -0.0234985-0j -0.0260081-0j 0.0620556-0j 0.0683919-0j 0.0626987-0j 0.0478489-0j -0.00848106-0j 0.0279118-0j -0.0148418-0j -0.00865775-0j -0.00225859-0j 0.000159898-0j 0.103258-0j 0.000174499-0j 0.112687-0j 0.000135166-0j 0.087287-0j 0.000136567-0j 0.000742826-0j 0.0881916-0j 0.479699-0j -0.000460823-0j -0.000507875-0j -0.297588-0j -0.000268813-0j -0.00017584-0j -0.327973-0j -0.173593-0j -0.113553-0j -0.000251252-0j 6.298e-05-0j -0.162252-0j -0.000103636-0j 6.36327e-05-0j 0.0406709-0j -0.0669256-0j 0.0410924-0j 2.87523e-05-0j 0.0185675-0j 6.33928e-06-0j 0.00409375-0j 
0.0160932-0j -0.000780962-0j -0.0146052-0j -0.0145702-0j -0.00054867-0j 0.020635-0j -0.0134496-0j 0.00210719-0j 3.31965e-05-0j 0.00547546-0j 0.00122919-0j 0.00546234-0j -3.0127e-05-0j -0.00376602-0j -0.00245602-0j 0.0038376-0j 0.00224825-0j -0.000995376-0j -0.131894-0j 0.000197863-0j -0.00204879-0j 3.07353e-06-0j 0.109705-0j -0.000164577-0j 0.109442-0j 0.30718-0j -0.000164182-0j -0.000460823-0j -0.00532371-0j -0.00119512-0j 7.98648e-06-0j -0.434-0j 0.215811-0j 1.79289e-06-0j 0.000651074-0j -0.000323754-0j -0.0993227-0j 0.00366164-0j 0.000149001-0j 0.126129-0j -0.304909-0j -5.4931e-06-0j -0.000189216-0j 0.000457417-0j -0.0916842-0j 0.000137542-0j 0.0308532-0j -4.62852e-05-0j 
0.0107288-0j 0.000172507-0j -0.0493726-0j 0.0484641-0j 0.000123245-0j -0.0139809-0j -0.00896642-0j 0.00140479-0j 2.2131e-05-0j 0.00122919-0j 0.0057015-0j -0.00120657-0j -0.000101844-0j 0.000507016-0j 0.00816936-0j -0.000862019-0j -0.00152327-0j -0.000663584-0j -0.0879291-0j 0.000131909-0j -0.00136586-0j 2.04902e-06-0j -0.0743291-0j 0.000111507-0j 0.0729615-0j 0.338545-0j -0.000109455-0j -0.000507875-0j -0.00119512-0j -0.00554348-0j 1.79289e-06-0j 0.0958662-0j 0.241868-0j 8.31618e-06-0j -0.000143816-0j -0.000362844-0j -0.335759-0j -0.000492964-0j 0.000503697-0j -0.419539-0j 0.0684901-0j 7.39531e-07-0j 0.000629381-0j -0.000102747-0j 0.0621193-0j -9.31896e-05-0j 0.0205688-0j -3.08568e-05-0j 
-0.00232286-0j 0.000112722-0j 0.00210807-0j 0.00210302-0j 7.91937e-05-0j -0.0029784-0j 0.00194129-0j 0.0290779-0j 0.000458092-0j 0.0755581-0j 0.0169621-0j 0.075377-0j -0.000415735-0j -0.0519688-0j -0.0338916-0j 0.0529566-0j 0.0310245-0j -0.0137356-0j -0.000197863-0j -0.127775-0j -3.07353e-06-0j -0.00198481-0j 0.000164577-0j 0.10628-0j 0.000164182-0j 0.000460823-0j 0.106025-0j 0.297588-0j -7.98648e-06-0j -1.79289e-06-0j -0.00515747-0j -0.000651074-0j 0.000323754-0j -0.00115781-0j -0.420448-0j 0.209072-0j -0.000149001-0j 5.4931e-06-0j -0.0962213-0j 0.000189216-0j -0.000457417-0j 0.00354731-0j 0.122191-0j -0.295388-0j -0.000137542-0j -0.0888213-0j 4.62852e-05-0j 0.0298898-0j 
