0.00972224+0.00147573j -0.000876508+0.010797j 0.00265851+0.0111611j -0.0109344-0.000139898j -0.00103457+0.00336798j 0.00103976+0.00536009j 0.00903911-0.00213412j 0.00267655+0.0011574j -0.00110609-0.00346674j -0.00200894+0.002852j 0.00100144-0.00224081j -0.00115227+0.00704336j 0.0096462-0.00348503j 0.00177814+0.00509253j -0.00138287-0.00551277j 0.00101321-0.000200693j -0.00275945-0.00126097j 0.000544646-0.000294416j -0.00103297+0.00210805j -0.00240666+0.00241921j -0.00695364+0.00346572j 0.00194843-0.00126522j 0.0012999-0.006194j 0.00133487-0.00272906j -0.00457311-0.00836086j -0.00615258-0.00136021j -0.00681982-0.00103563j -0.00445129+0.00542972j 0.00235957-0.00379506j -0.00270797+0.000461261j 0.00106901+0.000951593j -0.0038937+0.00665397j -0.00499841+0.00449184j -0.00156649+0.00725491j 0.0043348-0.000769638j 0.00632994-0.00173395j -0.00532185-0.0014798j 0.000896478-0.00511416j 0.000417979-0.00944808j -0.00207697-0.00132721j -0.00515034+0.00171647j 0.0020197+0.00750347j 0.000609114-0.00481149j -0.00308167-0.00365667j -0.00143827-0.00571739j 0.00311033-0.00919287j -0.00713218-0.00369024j -0.00828152-0.00333078j -0.00325866+0.00670315j 0.00104423+0.00212477j 0.00500331-0.000839749j -0.00952067+0.00546622j 0.00520673+0.00342055j 0.00489603+1.15835e-05j 0.00981638+0.00270405j -0.00123396-0.0061568j -0.00500992+0.000671379j -0.00389048+0.000769858j 0.0119592+0.0039698j 0.0138082-0.0137872j -0.00461376-0.00981647j -0.0129028-0.0051528j -0.00839202+0.0050477j 0.0124105+0.0057753j 0.00538027+0.00312028j -0.00563387-0.00427255j -0.00922357+0.00789244j 0.000953719-0.00794292j 0.00819205+0.0125232j -0.0158428+0.00548524j -0.0383795+0.00510103j 0.00275621+0.037709j 
0.000687824+0.00216676j 0.000274821+0.000845799j -0.00094261+0.00328314j 0.00113884-0.00277025j -0.000173442-0.000190477j -0.00318602-0.00183867j -0.00641981-0.000924507j 0.00307202+0.00431784j 0.00181653+0.00243701j -0.00210561-0.00673092j 0.00237432-0.00204007j 0.000355171-0.00384443j 0.00182512+0.000328639j 0.00275656+0.00626978j -0.00212793-0.00339503j 0.000107234+0.00273936j 0.00171648-0.00463863j 0.00361255-0.00425299j 0.00185324-0.00116647j -0.00561776-0.00199125j 0.00714397-0.00505074j 0.0054863-0.000943492j 0.00194816-0.00752302j -0.00860683+6.15134e-05j -0.00112297+0.00235825j 0.00793555+0.0050194j 0.00169308-0.0146391j -0.00416922-0.00226381j 0.00732029+0.00723369j 0.00645132+0.000369173j -0.000749485-0.0103706j 0.00753941-0.00686539j -0.00136794+0.00212332j -0.0031166-0.00456507j -0.013181-0.00339423j 0.019311-0.00859206j -0.000997793-0.0137745j -0.0025451+0.00386881j 0.00455619-0.00924296j 0.00176356-0.0130686j 0.0165673+0.0144213j 0.000397242+0.00185763j -0.00323165-0.00294556j -0.00162047+0.00345371j 0.0113204+0.00407808j -0.019788-0.00316881j 0.0125019+0.00730495j 0.0142128+0.00188524j -0.0161562+0.00192428j 0.00225667+0.00174733j 0.00205257+0.00704958j 0.00596077+0.00363111j -0.00793707+0.00502493j -0.00780029-0.00263424j -0.00801688-0.00255883j 0.0103321-0.0104204j 0.00194506-0.0119328j 0.00359438-0.00379647j -0.00396271-0.00488384j 0.00852199+4.68687e-05j 0.000189738+0.000229699j 0.0080317-0.00381695j -0.000593179-0.00660576j -0.00357536-0.0195548j 0.00598157-0.00873567j -0.0114457+0.00510857j -0.00767582+0.0107798j 0.00463788-0.00581029j -0.00234672-0.000860973j -0.00140422-0.00122957j -0.00070384+0.0024384j -0.00333726-0.00145304j 
-0.00117899-0.000671288j 0.00574577+0.00711181j 0.001363+0.000949031j -0.00169148+0.0016405j -0.000496197-0.000232593j -0.00540316+0.00512776j -0.00237018+0.00170324j 0.000510588-0.00228714j -0.00712454-0.00139038j 0.00272605-0.00143453j 0.00176588-0.00105174j 0.00931668+0.00111875j -0.00200007+0.000291216j -0.000229601-0.00172195j -0.000638339-0.00418133j -0.00179905+0.00267442j -0.000958339+0.000950585j 0.00376801+0.00414651j -0.0118571+0.00208368j -0.00326767-0.00118136j -0.00492311+0.00431382j -0.00495937+0.00414785j 0.0038873+0.00281312j 0.00353857+0.00464198j 0.00132874-0.00135025j -0.00571797-0.00586477j -0.000950357+0.00170061j -0.00246282-0.00582392j -0.0138746+0.00385806j -0.0047153+0.00164754j 0.00341832+0.0019411j 0.0113068-0.00443698j 0.0032096+0.00327006j -0.00353179+0.00714408j 0.0096702-0.00237567j 0.00508255+0.00656607j -0.0107058+0.00473842j 0.00775796+0.00577858j 0.00816014+0.0028602j 0.000954099-0.00331355j 0.00078019-0.00432487j -0.00570687+0.000179796j 0.00806814+0.00331186j 0.00545657-0.00642094j -0.00179864-0.0139598j -0.00181112-0.0122659j -0.00169746-0.0107478j 0.00666074-0.0131371j -0.0135724+0.00433932j -0.00154833-0.00180619j -0.00293564-0.00511288j -0.00447086+0.0111975j 0.00505762-0.0029968j 0.00713102+0.00260674j 0.00642641+0.0080119j 0.0080141-0.0104426j 0.00496082+0.00856762j 0.00138888+0.00538892j -0.00533844+0.0059558j 0.000466719-0.00779156j 0.0168041+0.000545197j 0.0101702+0.00674743j -0.00632495-0.015801j -0.0215705-0.00269408j 0.00253807-0.00617338j -0.00198105-0.00292023j 0.00492007+0.00322363j -0.00205647-0.0135868j -0.00395295-0.00849855j -0.00188992-0.00114997j -0.00698176+0.0085518j -0.00669637+0.00273639j 
0.00142695+0.000354693j -0.00123792-0.00280384j 0.000616822+0.00350467j 0.00234283-0.0027468j 0.00134888+0.00481632j 0.00358622+0.0019986j 0.00195726+4.11212e-05j -0.00298348-0.000496952j 0.00441652+0.000511735j -0.00293243+0.00365595j 0.000371335-0.0047503j -0.00235742-0.00408553j -0.0055785+0.00159851j -0.00398885+0.00719025j -0.00083595+0.00334145j 0.00438624+0.00449739j 0.00193623-0.00432275j 0.00112331-0.00119014j 0.000395529-0.00430903j 0.0120659-0.00297609j 0.000495356+0.00239234j -0.00701102-0.000594311j -0.00218059+0.00743281j -4.4179e-05+0.0072816j 0.00424412+0.00119112j 0.0055031-0.00681078j 0.00369097+0.00186617j -0.00752081+0.00323579j 0.00569201+0.00154069j 0.00411273+0.0061697j 0.00442208+0.0031999j -0.00991137+0.00341751j -0.0117355+0.00471003j 0.014026-0.000790259j 0.00658971-0.000806746j -0.000403497-0.00255397j 0.00255308-0.00185075j -0.00890688-0.00803288j -0.0041605+0.00637319j 0.00235359+0.000187439j 0.00521778-0.00770965j -0.0103051-0.00432466j -0.00281342-0.00154593j 0.0152407-0.00736285j -0.00591152+0.00266333j 0.00119326-0.000552238j -0.00485602+0.00139926j 0.00673065-0.00654161j -0.00714834+0.00458563j -0.00779362+0.00443269j 0.00174141+0.00104489j 0.014287-0.00186936j -0.00744675+0.010852j 0.00602895+0.00155525j -0.000208376-0.00550346j 0.00841575+0.0062616j 0.00462654+0.00653996j -0.0132109-0.000568905j -0.00953984+0.0130417j -0.0131375+0.00743486j 0.00645674+0.00299704j 0.00574863+0.0110756j 0.013223+0.00403137j -0.00726052-0.00928076j 0.00472058-0.0107622j -0.00168652-0.00533897j 0.000455823+0.00772203j 0.000887635-0.00443491j -0.00650645+0.00225446j 0.00119681+0.00733611j 0.00301154-0.00367932j -0.00230871+0.000968075j 
-0.000116932+0.00252128j 0.000991414-0.000536613j -0.00261216+0.00385406j 0.00129559-0.00530563j -0.00353494-0.00135754j 0.00183872+0.00254578j -0.00134259-0.00198882j -0.00304069-0.00256219j -0.00302902-0.00041223j 0.000664556+0.000523933j 0.00554535-0.00706167j 0.00165806+0.00244283j -0.00474747-0.00092525j 0.00295028-0.00268227j -0.00105341+0.00267307j -0.00678453+0.00792905j 0.00199542-0.00473439j -0.0104643-0.00519644j -0.000476575-0.000713035j 0.00292872+0.0136764j -2.27374e-05+0.00474215j -0.00390219+0.00879008j -0.00498467+0.00566523j 0.0111691+0.00669199j -0.00871709+0.00140382j 0.000994043-0.00359421j 0.00778174+0.00840337j 0.005791+0.00294529j 0.00888611-0.00167364j -0.0011026+0.00388648j -0.00375392+0.00965457j -0.00260361+0.00745598j 0.00327579-0.00398105j 0.0113242+0.0129953j -0.000511044-0.00647823j -0.013797-0.00527868j 0.00160096+0.00368366j 0.00705377+0.000243025j 0.000175253-0.00671036j 0.0173658-0.0103159j -0.0139308-0.0172645j 0.00695964-0.0025795j -0.00216373-0.00715006j -0.00439387+0.004019j 0.0120271+0.000574617j 0.00431286-0.0156371j 0.00013234+0.00394883j -0.00431359+0.00433537j 0.000710261+0.0124381j -0.00446295+0.00404907j 0.00371406+0.00102448j 0.00437664+0.0023674j -0.0131269+0.00640439j -0.00057425-0.0155214j 0.00348645-0.000206309j -0.00333985-0.0024594j 0.000288428-0.00648721j -0.009087+0.00588852j -0.0127044-0.00252173j 0.000356851+0.00367317j 0.00244719+0.00999018j -0.00538891+0.00127743j -0.00189814-0.000233431j -0.00693298-0.00209833j 0.00486997+0.00800413j 0.00013669+0.00127269j -0.00381556+0.00276398j 0.00860126-0.0141255j -0.00358679-0.00579018j -0.00531689-0.00160264j -0.000461957+0.00720845j -0.00130826-0.00236832j 
0.000611024-0.00221416j -0.00336703+0.000458111j -0.00177281+0.000506675j -0.00290814-0.00408973j -3.01134e-05-0.00428596j -0.000796496-0.00239465j 7.32905e-05+0.00635078j 0.00325165+0.00289884j -0.00212665-0.00734826j 0.0062754-0.000147895j -0.000262775+0.00310403j -0.00201089+0.00445881j -0.00189284-0.00251533j 0.00541733-0.00588806j 0.00484471-0.00743424j -0.00608183-0.00183289j -0.000622074-0.000966509j -0.00313611-0.00752876j -0.000948399-0.000365797j 0.000134415+0.000915995j -0.0056052+0.00402895j -0.004297-0.00267129j -0.00586306+0.00985186j 0.0119936-0.0069613j -0.00465474+0.00513847j 0.00152677+0.00583012j 0.00122845-0.00563067j 0.00795442-0.00195136j 0.00174796+0.00362949j -0.00525906+7.97856e-05j 0.000555557+0.000515122j 0.000471142-0.0019123j 0.00425828-0.00622791j -0.00351603+0.00070013j 0.0136052+0.00433555j -0.00828157+0.00374702j -0.015117+0.00259378j 0.00219912-0.0028309j 0.00472516+0.00596573j -0.0047747+0.000997602j -0.00436945-0.00132649j 0.0102857-0.00163348j 0.0205225+0.00955111j 0.00720815-0.00126154j -0.0049706+0.00996811j 0.00580457-0.00627185j 0.00449467+0.00553746j -0.00683555+0.0126071j 0.00257021-0.00807735j -0.00551311+0.0017823j -0.0137545+0.00555755j -0.00633381-0.00823004j 0.000604524-0.00120383j -0.000660192+0.0101144j 0.00636603-0.00632459j -0.011215+0.00356631j 0.000751996-0.00334741j 0.015921+0.00941716j -0.00189224+0.00262141j 0.00371135+0.00131913j -0.00874212-0.00249791j -0.00990822+0.00905913j -0.00307912-0.00136146j 0.0029931-0.0029973j -0.00405055+0.00331885j -0.00257057-0.00416104j -0.00201618+0.00446662j -0.00103771+0.0105098j 0.00184209+0.000294644j 0.00367852-0.00264276j 0.00313472-0.00173105j -5.48833e-05-0.0029465j 
0.000124382-0.00426188j -0.00194653-0.00080054j -0.00310058+0.00109647j -0.000205486-0.00164624j -0.00319434-3.74986e-05j -1.40341e-05-0.000654844j 0.000164725-0.000674827j 0.00407166-0.00732122j 0.00104942+0.0029782j 0.00394867-0.0049729j -0.00111016+0.00138852j 0.0010356+0.0030853j -0.00447775-0.00112534j -6.55091e-05+0.00226118j 0.000303689+0.00273129j -0.00119208+0.0109058j -0.0115095-0.00344665j 0.000411176+0.000566462j -0.00217973-2.7565e-05j -0.00454578+0.000192305j 0.00385738-0.000580228j -0.00920663-0.00759138j -0.000181755+0.00404824j -0.0109062-0.00236008j 0.0104958-0.00358586j 0.000828029-0.00253056j -0.0192717+0.0121711j -0.00567619+0.00333629j 0.0053114-0.0109112j -0.00408714+0.00275203j -0.007717+0.00667099j 0.00239527+0.00456499j -0.0021094+0.00733382j 0.0145109+0.0002374j -0.00268455+0.00928775j 0.00575326+0.000913898j -0.0200947+0.0105998j -0.0113619+0.00293886j 0.00222217+0.00377412j 0.00254424-0.00198482j -0.00265034-0.00456971j -0.0157097-0.00168116j -0.00916882+0.000157813j 0.00902893+0.00517595j -0.0145765+0.00142496j 0.00897157-0.00821376j 0.000439852+0.00267693j 0.0120875-0.00601637j 0.00442769+0.00125878j -0.00070627+0.006298j 0.00377428-0.00542478j -0.0128305-4.5529e-05j -0.00179264-9.98103e-05j 0.0060434-0.00494826j -0.00951124-0.000917404j 0.00110818+0.00273868j 0.00206603-0.00879139j 0.00253198+0.00148634j 0.00894735-0.00675437j 0.0042003-0.00287994j 0.00617447-0.00936241j -0.00550856-0.00771785j -0.010636+0.00375975j -0.0066597-0.00314632j -0.00202178+0.0108935j -0.00279869+0.00635212j -0.000150375-0.00899027j 0.00401768+7.31955e-05j 0.00167625-0.00233035j -0.00297191-0.00127362j -0.00154889-0.00161565j 0.000862692-0.00513285j 
0.000661718-0.000933953j 0.000654049+0.00136821j -6.67591e-05+0.00140791j -0.00130931-0.00285077j -0.0018898+0.00197414j -0.000121806-0.00288981j 0.00350733-0.000579106j 0.00465241-0.00317212j 0.00518988+0.00506963j 0.00250525-0.0080084j -0.00147565+0.000204593j 0.000114743+8.02991e-05j -0.00420692-0.00018498j -0.00808863+0.000688045j -0.00239112-0.000965674j -0.000741678+0.00223777j 2.73907e-05+2.55566e-05j 0.00642859+0.00277127j -0.00287667-0.00159935j 0.00521453+0.0075843j -0.00675409-0.00806898j 0.00172777-0.0141798j 0.00826063-0.00585488j -0.00430465-0.000485078j -0.00657008-0.00234023j 0.000348734+0.00367392j -0.00421849+0.00147122j -0.0121245-0.0160295j -0.00974465+0.00121429j -0.00349312-0.00764828j 0.00171307-0.0156226j -0.000590299+0.000666361j -0.00563554+0.00936283j 0.00160589-0.00478446j 0.00851478-0.00131429j -0.00529404-0.00286584j 0.0132832+0.000731509j 0.00985702+0.0152494j -0.0119292-0.00133201j 0.0118816-0.00324136j -0.00951422+0.00418351j -0.00518641-0.00338709j 0.000606927-0.00532283j 0.00599609+0.00542939j 0.00172661+0.00622498j 0.0133727-0.00281718j 0.00432921+0.00666358j -0.00245165+0.0203747j 0.0129005-0.00168632j 0.00514235+0.00992449j -0.00139328+0.00319966j -0.0160044+0.00419517j -0.00610685-0.00500898j -0.0124395+0.0044798j 0.00161871+0.0141955j -0.00493966-0.00387094j -0.00909293+0.00252401j 0.00316463+0.00189849j -0.00287461+0.00379574j -0.00277431+0.000850803j 0.00978291-0.0108912j -0.00616587+0.000921704j -0.00315901-0.003686j 0.00531725-0.000428423j 0.00624522+0.00402227j -0.00181002+0.00309587j -0.00311135-0.00961098j 0.00749653-0.00609402j 0.000862877-0.000137247j 0.00190363-0.00536386j -0.00185647-0.00103079j -0.00216518-0.000955332j 
-0.00198232+0.000729348j -0.0025548-0.00193572j -0.0012014-0.00340208j -0.00309296+0.00150337j -0.00322803-0.00661902j 0.00183085+0.000787617j 0.00193801+0.00358854j 0.00482032-0.004261j -0.00322007+0.00348608j 0.00407985-0.00551007j -0.00140984-0.000414042j -0.00382029+0.00296904j -0.00287466-0.00943758j -0.00250348-0.00834443j 0.000931174+0.00490092j 0.000567003+0.00892316j -0.000230102-0.00488327j -0.0084811-0.00147624j -0.00269172-0.00648815j 0.00211541+0.00588407j -0.00418418+0.000203549j 0.00684107+0.00460687j 0.00507185+0.00856899j 0.00138906-0.00123322j 0.00255521+0.00260592j 0.00405225+0.00353298j -0.000270203+0.00273611j -0.00136015+0.0118992j -0.00043365-0.00278058j 0.0037862+0.00303107j 0.016863-0.00936979j 0.00342292+0.00359564j -0.00500092+0.00220874j -0.00261475+0.0145599j -0.00263859-0.00460607j 0.00420471+0.00798698j 0.00516589+0.00343679j -0.00299882-0.00442279j 0.00905046+0.0133948j -0.000270752+0.00366867j -0.00309476-0.00033141j 0.00347472+0.0010713j -0.00035785+0.000608722j -0.00571774-0.0101036j 0.00605426+0.00287249j -0.00524072+0.00322916j -0.00595534+0.00632949j 0.0133838-0.00275246j 0.00251705-0.00814097j -0.00610468+0.000548922j 0.0101666+0.0194613j -0.0053846+0.00286915j 0.00504109+0.00740292j -0.0103641+0.00163641j -0.00937433-0.00881317j 0.000557921+0.00576963j -0.0103713+0.0228124j 0.00790301+0.00370773j 0.00223028+0.00896934j 0.00113283+0.0105055j 0.00182908-0.000942562j -0.00473885+0.000582232j -0.00539079+0.00232806j 0.00756837-0.0114615j 0.000427456+0.0115902j 0.000361733+0.00804004j -0.000151831-0.00540296j -0.00050819+0.00629121j 0.000417359+0.000956673j 0.000227743-0.00718747j 0.00197932-0.00230801j 0.00236913-0.00188387j 
-4.23685e-05+0.00155152j -0.00124189-0.00111607j -0.00111387-0.00328371j -0.00010148+0.00197192j 0.000652572-0.00188734j -0.000520359+0.0020038j 0.00292022-0.00180381j -0.00197791+0.000336267j -0.00262848+0.00573067j -0.00433851-0.00232211j -0.00143367+0.00300307j -0.00355-0.00192798j 0.0038874+0.000277676j -0.00549715+0.00125415j -0.000465675-0.000602335j 0.00181578-0.000700276j 0.00188156+0.00249753j -0.00521051+0.0011816j -0.00533121-0.00373067j 0.00359537+0.000395332j -0.00202887+0.001551j 0.00621614-0.00441888j 0.00374954-0.00162911j -0.00554749+0.00607189j -0.00704776+0.00545564j 0.0051171+0.00043767j -0.00101054-0.00538396j 0.00366025-0.00199376j -0.00204485+0.00685044j 0.00121807+0.00154273j 0.00660473-0.00688897j -0.00610158+0.000417102j -0.00817519-0.0029126j 0.00284939+0.000952072j 0.00550617-0.00503314j -0.0114897-0.00820245j -0.0119067+0.000621833j -0.00264367-0.0138677j -0.007161+0.00627435j 0.00561761+0.00308208j 0.00769376+0.00138399j -0.00653491-0.00431706j 0.000459033-0.0183176j 0.00476153-0.0117016j -0.0118502+0.00495975j 0.0120311-0.016655j 0.00538667-0.0156539j 0.0047394-0.00991203j 0.00236539+0.0015174j -0.00894398-0.0102186j -0.00850097+8.16679e-05j -0.0101509-0.00282348j -0.00356364-0.00412814j -0.00623143+0.00478989j -0.00331417+0.00625906j 0.00259632-0.00688587j -0.0115503-0.0046968j 0.000233363+0.00370221j 0.00704751-0.012685j -0.000727974-0.00332858j 0.0089696-0.00633012j -0.00530504-0.0050274j 0.00123733-0.013221j 0.000194623-0.00434256j -0.000273916+0.00716063j 0.00665704+0.00160552j 0.00430886-0.007j -0.00520522-0.0076165j 0.000703778+0.00051905j -0.00328664-0.00112242j -0.000279959-0.00202329j 0.00132739+0.00360868j 
-0.00345597-0.00037914j 0.000540036+0.000430893j 3.30065e-05-0.000508732j 0.00148879+0.00399695j -0.00177352+0.000807963j 0.000846982+0.00475577j -0.00425247-0.00214594j -0.00359404+0.000222718j -0.00286724-0.000195325j -0.00307574+0.00153286j -0.000955545-0.00431377j -0.00332122+0.000828885j 0.00447945-0.00343116j 0.00227196+0.00105242j -0.00214123+0.000216125j 0.00918178+0.00592987j 0.00565727-0.00515983j 0.00740481-0.0034626j 0.00591467+0.00484033j 0.00214889+0.00263337j 0.00104508+0.000256628j 0.00774269+0.00510526j -0.00223525+0.0150966j 0.00787293-0.00521364j -0.00331327+0.00408735j 0.00323008+0.00387064j 0.00878184-0.00408497j 0.0125275+0.00589276j 0.0063834-0.00356864j 0.00845505+0.00571409j 0.00405147+0.00323709j -0.00250514+0.00209564j -0.0119453-0.00510623j 0.00538409+0.00399976j 0.00314134-0.0103378j 0.0104605+0.00830196j -0.00319297-0.0003005j -0.0171863-0.00029076j 0.0110176-0.0085066j -0.00100489-0.00107111j 0.00482732-0.00963553j -0.00158228+0.000652451j 0.00715235-0.00428623j -0.0111421+0.00465996j -0.00895721-0.00280916j -0.00129922-0.00707639j 0.0101579+0.00347221j -0.0118982+0.0162398j -0.00295517+0.0010154j -0.0037287+0.000807293j -0.0120829+0.00192737j -0.00255186+0.0105838j -0.00573724-0.00513225j -0.00327206+0.00219433j 0.00581955-0.00799522j -0.00661476+0.00795349j -0.00901078-0.0142246j -0.00378018+0.00742781j -0.00604156+0.000746997j 0.00222752-0.00756298j -0.00138743-0.00303953j -0.00170555-0.00610339j 0.00344632+0.002236j -0.00167318+0.0169982j 0.00750363+0.00312465j 0.00295524+0.00099517j -0.00754718+0.000750118j -0.00116534+0.00148104j 0.00595241-0.00136395j -0.000232717-0.000811728j -0.00441953+0.000133272j 0.00315021-0.0014408j 
-0.00228091+0.000165243j 0.00198831-0.00189192j 0.00143309-0.000708678j -0.000910516-6.32204e-06j -0.00354659-0.000362479j 0.00390054+0.00281853j 0.00128823+0.00458409j 0.00181955+0.000865114j 0.00281679-0.00105658j 0.00422969+0.00107793j -0.00430228-0.00254722j -0.00457359+0.00112981j 0.000766506-0.00414556j 0.00403668-0.000337577j 0.00292839-0.000897169j -0.00713798+0.00204884j -0.00564084-0.00827487j 0.00252736-0.00197449j 0.00409687-0.000358099j -0.00510523-0.000692442j -0.00201438+0.00116099j 0.00652004+0.00285587j -0.00844419+0.00362148j -0.00166146-0.00264604j -0.00162898+0.00467698j -0.00662128-0.00582208j -0.0038509+0.00647639j -0.00813026-0.00124285j -0.004227-0.018738j 0.00792396+0.00360904j 0.00138991+0.000254912j -0.00742437+0.00878918j -0.00489156+0.00101984j -0.00577847-0.00113989j -0.00711918+0.00400137j 0.00883673+0.00256954j 0.0120901+0.0143708j 0.00116696+0.0123493j -0.00848816-0.0100777j -0.00148653+0.0120263j 0.00991999-0.00162072j -0.0113205-0.00654515j 0.00630298+0.00130535j -0.00128665-0.00359806j 0.00139789-0.0158079j 0.00015541+0.002819j 0.00348443+0.000759557j 0.0146052-0.0185656j -0.00893847+0.00533146j 0.0104996+0.0075729j -0.0094667-0.0139739j -0.00532076-0.00912835j 0.00410639-0.00828985j -0.00746634+0.00423885j -0.00239214+0.00829631j -0.00658392+0.00910814j -0.00157533-0.0195803j 0.000174302-0.00995721j 0.00175921+0.00476036j -0.00455621+0.00264269j -0.0101931+0.000335385j 0.00186759+0.00785018j 0.00524156-0.00376084j -0.000241145-0.0117342j 0.00226506-0.0095258j -0.00447323-0.00135296j 0.00632749+0.00581118j -0.000372756+0.00489952j -0.00217931-0.000662523j 0.00156435-0.00128104j -0.00207886-0.00450525j -0.00156269+0.0010249j 
0.00250177-0.00287356j -0.00233969+9.87797e-05j 0.00216392-0.000543517j -0.0017512-0.00432506j 0.00372131-0.000434513j -0.00174668-0.00745943j 0.00212616-0.000670144j 0.00625017-0.00200138j 0.000686424-0.00090898j 0.00734029+0.00333802j -0.00106566+0.0066941j 0.00232826+0.000355623j -0.00480678-0.00437473j 0.0011244-0.00337143j -0.00262058+0.00350537j 0.000485237+0.000727503j -0.00319753+0.00284945j 8.74977e-05-0.00311949j -0.00929099-0.00410405j 0.00267607+0.00207032j 0.00382298+0.000848857j -0.00436466+0.000654849j 0.00200201+0.00597698j -0.00330913-0.00204059j -0.00461592-0.00101195j -0.0056631+0.0129722j -0.00870885-0.00186096j 0.00101807-0.0050359j -0.00338038+0.00431064j 0.00282715-0.00301778j -0.00249431-0.00322806j 0.00297088+0.000883486j 0.00341291-0.0066525j 0.014666+0.00330081j -0.00138665+0.00714686j 0.00422875-0.00341679j -0.00266552+0.0030793j 0.0028606+0.0119455j -0.00338975-0.00240698j 0.00735526+0.00441684j -0.00917707-0.00852218j -0.00753651+0.00321715j 0.0035776+0.0148998j 0.0158077+0.0135543j -0.0151218+0.0052838j 0.000755185+0.0141237j -0.00661557-0.00467313j -0.00492982+0.00921578j -0.00812477-0.00277971j -0.000600263+0.000364586j -0.0137452+2.54924e-05j 0.00358871-0.000193062j -0.00199259-0.00185659j 5.6714e-05+0.0115097j 0.00446861+0.0244246j 0.00358802-0.00285549j 0.00579046-0.0194406j 0.0093648-0.00156991j 0.00339715+0.00134523j -0.00174175-0.00834063j -0.00758874+0.0132022j 0.00180802+0.00480983j 0.00813248-0.00151982j 0.00892008-0.000981845j -0.00093253+0.011564j -0.00417906-0.00315831j -0.000444886+0.00443958j 0.00139249+0.00344109j 0.00145256+0.00769793j 0.00499251-0.00402627j 0.00431295-0.00311577j -0.000348581+0.00392282j 
0.00479431+0.000696878j -0.00331165-0.00209073j -0.000259682+0.00081974j -0.00112939-0.00423998j 0.00111752-0.00182892j 0.00214089-0.00196403j -0.000447531+0.00364665j -0.00264525-0.00385947j 0.000754341-0.00455636j -0.00590739-0.00462182j -0.00367118-0.00123163j 0.00728378-0.00550171j 0.00251988+0.0110552j -0.00811709-0.00276185j -0.00527526-0.00242807j 0.00297302-0.00458251j -0.00272075+0.000453365j 0.00448652+0.00922343j -0.00592764-0.00342844j 0.00136918-0.00782288j 0.0035579+0.00658583j -0.00112171-0.00730484j 0.00604162-0.00105111j 0.00555639+0.00649839j -0.00806728-0.00651897j -0.000352074-0.00454787j 0.00237856+0.00934411j 0.00549333-0.00122846j -0.0110281+0.00195902j 0.00238987+0.000137654j 0.00810302+0.0093842j 0.0175599-0.00208264j 0.00315121-0.00338455j -0.0110221+0.00240057j 0.00260141+0.00219459j 0.00690377+0.00474217j -0.0146204+0.00038464j 0.00957684-0.00934701j 0.00363358+0.010822j 0.00860773+0.00249069j 0.000607614+0.00624992j -0.00358983-0.0150472j 0.00756819+0.00704619j 0.00552556-0.00883144j -0.00407446-0.00566047j -0.00741723+0.000316458j -0.00149266-0.00237527j 0.00927858+0.00570906j -0.00872915-0.0013367j 0.0135374+0.00380893j -0.00365608-0.00755582j 0.00591429-0.0152601j -0.00351809+0.00826801j -3.30294e-05+0.00320552j 0.000897836+0.00359237j 0.00567022-0.000994747j -0.00756614+0.00394964j 0.00864624-0.00301805j 0.00481865+0.00488505j -0.00465223-0.000394682j -0.00228953-0.00697719j 0.00102581+0.00477545j 0.00495815+0.0039754j 0.00496323-0.00956629j -0.00673952+0.00327367j 0.0034504-0.00478968j 0.00194176+0.00499259j 0.00489972+0.00307696j 0.00107178+0.00865237j 0.000983175-0.00189427j 0.00670317-0.00537822j 0.0016793+0.00781196j 
