0.124858+0.141195j -0.164905+0.120776j 0.0780471+0.230323j 0.234369-0.0281299j -0.06353-0.125958j 0.0637347-0.0952071j -0.148181+0.0441512j -0.00578966+0.209247j 0.0481936-0.0194897j -0.00702178-0.0304405j -0.072752+0.05123j 0.078483-0.0131611j -0.137952-0.1057j 0.0468455-0.049807j -0.0372287+0.035424j -0.0423103-0.0341385j -0.0150023+0.011913j -0.0508331+0.0203387j -0.0138611-0.0286334j 0.121478-0.175127j 0.0408399+0.0886729j 0.0330742+0.0276371j -0.0601919+0.071499j 0.0608499-0.0916994j -0.017034+0.0187893j 0.03852+0.0981881j 0.0948556+0.00872285j 0.065762-0.13917j -0.0427844+0.0147677j 0.0935963-0.0420247j -0.116565-0.0054635j -0.0158136+0.0711187j -0.0514823+0.0066321j -0.0170163+0.0161942j 0.00311579+0.0555644j -0.0477808+0.00583337j -0.0312797+0.013693j -0.024884-0.0299697j 0.00209868-0.104146j 0.05909+0.0414143j 0.0443452-0.068085j 0.0279541+0.00480424j -0.0626983+0.0202196j -0.0906427-0.022937j 0.0308879-0.0400351j 0.0886783-0.045997j -0.00466653+0.0953042j 0.021083-0.0260094j -0.113862-0.0597477j 0.0966159+0.0461837j 0.0425065+0.0657037j -0.0702033+0.0465499j 0.044013-0.108365j -0.0327045+0.000971513j -0.0475966+0.0118998j -0.0806599+0.0630249j -0.0226161+0.0400043j 0.0757308+0.00307442j 0.0873601+0.0457014j 0.0134615+0.0428637j 0.0921003-0.0500058j 0.0698394-0.0584495j -0.179554+0.0456123j 0.0818142+0.0317674j -0.0851727+0.106811j 0.0563347+0.131114j -0.135341+0.14963j -0.120942-0.173085j 0.100554-0.152045j -0.166209-0.125228j 
0.00343771+0.00451699j -0.00755528+0.00176275j 0.00106136-0.00394409j -0.00347021-0.00193463j 0.00929143-0.0106891j 0.00152017+0.00195078j -0.00193244+0.00316921j 0.00225223-0.00534337j -0.00924817+0.00529214j -0.00213332-0.00229663j -3.44991e-05-0.0040281j 0.00173192-0.00342841j 0.00175639-0.00105306j -0.00186981-0.00404793j -0.00266461+0.00527656j 0.00048998+0.00132089j -0.000862825-0.000312471j 0.00249687-0.000819576j -0.00328802+0.00363082j -0.000936996-0.00645616j 0.007438+0.00027281j -0.00191204+0.00737252j 0.0056734-0.00430413j 0.00790408+0.0056555j -0.00562929-0.000916677j 0.00325101-0.000419895j -0.00301818-0.00352426j 0.000332699-0.00347748j -0.00569066-0.00376696j 0.00146408+0.000986126j 0.0103542+0.00593493j -0.00257446-0.0042551j -0.00451129-0.00883268j 0.00111325+0.00754846j 0.00137199-0.00375016j -0.00282642-0.00459074j -0.00708993-0.00091729j -0.00264266-0.00229284j -0.00274866-0.00577834j -0.00262811+0.00922855j -0.00193589+0.000849985j -0.00466278+0.00175816j 0.00385477-0.00228736j 0.000927886-0.00192569j -0.00285233-0.00311003j 0.00256538+0.000278011j 0.00201638+0.0119134j 2.44912e-05+0.00533142j -0.00326783+0.0101866j -0.00698736+0.00342742j 0.00438016+0.00139239j 0.00363436+0.00276805j 0.00054692+0.00671772j -0.00227025+0.00134118j 0.00520998-0.00393399j 0.000823959-0.00102122j 0.00590358-0.00310974j 0.00632099+0.000164151j 0.00536939-0.00542119j -0.00237506-0.00146292j 0.00310737-0.000300599j -0.00022332-0.000105614j -0.0067113-0.00117304j -0.00250318+0.00263456j 0.0012977+0.000457799j -0.00372905-0.00104928j 0.00158653+0.00305804j -0.00300045-0.000164672j 0.00239647+0.000489478j -0.000946945-0.000614772j 
0.00272767-0.00119907j 0.000589169+0.00250899j -0.0021266-0.000225976j -0.000292035+0.0022644j 0.00397931-0.00241897j -0.000601116-0.000581051j -0.00337895+0.000759492j 0.000885587-0.00258143j -0.00440565-0.000731246j -0.00227321-0.00228017j 0.00116017-0.00015669j 0.000203405-0.000211416j -0.000458485-0.000116473j -0.000181963-0.00548559j -0.00168011+0.00216247j -0.000124432+0.00272877j -5.2784e-05-0.000304345j 0.00163035-0.00143221j -0.00359398+0.00216544j -0.00279396-0.00101287j -0.00145019+0.00256681j 0.00390415-8.011e-06j 0.000355574-0.0018955j 0.00392676+0.00157876j -0.00468244+9.64224e-05j -0.00360636-0.00349812j -0.00161445-3.67058e-05j 0.00155529+0.000258851j -0.00471056-0.000686451j -0.00191041-0.00166159j 0.00196133-0.00256113j -0.000605285-0.000258113j -0.00140199-0.00226642j 0.0026588+0.00473165j 0.000892898-0.00312741j -0.00105971+0.00195551j -0.00109848+0.00491631j 0.000886797-0.00137778j -0.00327254-0.000577397j 0.00295663+0.00140032j -0.00226455-0.000229361j -6.5692e-05+0.00103104j -0.000410437-0.0016594j -0.00220711-0.00108178j 0.000607954-0.000130494j 0.00106924+0.000131261j 0.00172137+0.000230395j 9.86339e-06+0.000254884j 0.00181868+0.00158392j -0.000830071+0.0038951j 0.000732446-0.000448908j 0.00241832-0.000462553j -0.000620213+0.00204911j -0.00109497+0.00187276j 0.00154856-0.00120986j 0.0011952-0.00121218j 0.00265085-0.00183265j 0.00201249-0.00239578j -0.00218664-0.000605969j -4.92364e-05+0.000464502j 0.000274371-0.000891201j 0.000578755-0.000680686j -0.00175567-0.000182892j 0.000225581+0.00100025j -0.000125569-0.000653204j -0.000995221-0.000426974j 0.000432458-0.00044391j 0.000520006-0.000202412j -0.000677534-0.000671261j -0.000754021+0.000841694j 
-0.0027949+0.00143608j -0.00125311-0.00331684j -0.00221238-0.000382077j -0.000733411+0.00184514j -0.00197212-0.000433239j 0.000811358-0.00225912j -0.00131657+0.000306885j 0.000153545-0.000361973j 0.000266009-4.99595e-05j -3.84018e-05-0.000387801j -4.28537e-05+0.00249834j -0.00431221-0.00070289j 0.000378022+0.00156474j 0.000220511-0.00145876j 0.00165121-0.0012483j -0.00116374+0.00173456j 0.0012467-7.09368e-05j -0.000604566+0.000317304j 0.000205121+0.000126181j -0.00042818+0.00191251j -8.64963e-05-0.00242866j -0.00168198-0.00075144j -0.000129727+0.00105654j 0.000517918+0.00162676j -0.00121477-0.00068547j -0.00180572-0.00165305j 5.47498e-06-0.0019396j -8.12682e-05-0.000148521j 0.00158671-0.00133005j 0.000478962-0.00173487j 0.00221307-0.000808185j 0.000266921-0.00184505j 1.31182e-05-0.00108194j -0.000232702-0.00149879j 0.000480966+0.00079998j 0.00103645+0.000967059j 0.000764103-0.000120838j -0.0017896-4.61011e-05j 0.00122179+0.00256085j 0.000578404+0.00115045j -0.00125623+0.00181114j -0.000939938-0.000282291j 0.00120828-0.000735229j -0.000951755+0.000581371j 0.00103406-9.61415e-05j -0.000567173+0.00192278j 0.00201508-0.000540661j -0.000352842-0.000756773j -0.00125489+0.00178955j -0.000538811-0.000123493j 0.000369724-0.000846929j -0.000643138+0.000657628j -0.00152891-0.00107261j 0.000936662-4.85476e-05j 0.000397689-8.06236e-05j 0.000881608+0.000900321j 0.00128887+0.000540669j -0.000188442-0.000732773j 0.000363636-0.00030433j -0.00176364-0.00148611j -0.000339888+0.000886051j -0.0009773+0.00103634j -6.5073e-05+0.00158547j 0.00182739+0.00123829j 0.00240787+0.00179846j 0.000652839+0.000582922j 0.00286655+0.00099182j -0.000399329+0.00223917j -0.00100259+0.00552523j 0.00490865+0.000686584j 
0.0020045+0.00257075j -0.00270305+0.00235714j 0.00263478+0.00247413j 0.00292755-0.00292791j -0.00210136-0.00161831j -0.000928806-0.000783727j -0.00194131+0.00378511j 0.00407225+0.00250195j 0.00177174-0.000121118j 0.000269473+0.00130637j 0.00090557-8.00973e-05j -0.000919481+0.000236287j 0.000958564+0.00137962j -0.000669321-0.000953888j 0.000782338-0.000198331j 0.000445639+0.00148357j 0.000973899-0.00139778j -0.00141439-0.000431029j 0.00207899+0.000576501j 0.00180634-0.000514167j -0.000186636+0.000904501j 0.00132425+0.00180294j 0.00142091+0.000404238j 0.000214506-0.000649202j 0.0012718+0.00192549j 1.58141e-05+0.00152039j -0.000783116-0.000733129j -0.00127671-0.000598429j -0.000883555-0.00147544j -0.00088818-0.000770937j 0.000154959-0.00123847j -0.000839554-0.000456283j -0.00204682-0.000277884j -0.000853122+0.00116372j 0.00178-0.00110559j 0.00116646-0.000295941j -0.000754514-0.000578829j -0.00102883+0.00184129j 0.000780842-0.00111866j 0.00185432-0.00161423j 0.00117222+0.00107005j 0.000671693+0.00127399j 0.000131464-0.00120653j -0.000207293+0.00171521j 0.000994544-0.00108732j 0.000468781+0.000549145j -0.00057962-0.000992493j -0.0014954+0.000772665j -0.00054524+0.0015153j 0.000986118+0.000249278j 0.00119199+0.000130314j -0.000807039+0.000117235j 0.000925153-0.000175742j 0.00147733-0.00100335j -0.00157822-0.000671285j -0.000873173-0.000156623j 0.000582401-3.07803e-05j 0.000538358+5.86427e-05j -0.000270858+0.000180572j 0.00117418+0.000959552j 0.00111087+0.000119269j -0.00170372+0.00206504j -0.00189225+0.000306064j 0.000519357+0.00134481j -0.0018441-0.00109659j -0.00172288+0.00282726j -0.00133244+0.000561743j -0.000217348-0.000812455j 0.00500365+1.16746e-05j 0.000141973-0.00452686j 
0.00534742-0.00432138j 0.00380986+0.00661731j 0.00150277+0.0013988j 0.00273683-0.00100631j 0.000476348+0.00413372j -0.00217993+0.00404998j 0.00427464-0.00325456j -0.000451786+0.000230153j 0.00135361-0.00121637j 0.000786749-0.00221228j 0.00102659-0.00314168j 0.00566751+0.00457932j 5.52716e-05-0.000401748j -0.00186649-0.000677939j -0.00320848-0.00141138j 0.00323119-0.000861731j -0.00141736+0.00010458j -0.000638853+0.00234315j -0.00215512-0.00194267j -0.000522004-0.000681811j 0.00089283+0.00144062j -0.00177137+0.00210349j -0.000780453+0.000335581j 0.000726271+0.000218755j 0.000669595+0.000345043j 0.00134519+0.000822093j 5.68483e-05+0.00322885j 3.0417e-05+0.00191369j -0.00223767-8.24584e-05j -0.00189424+0.00117678j -0.00260564+0.00125169j 0.00235269+0.00333132j -0.00227163+0.00312809j 0.00180436+0.00135866j -0.00337449+6.40953e-05j -0.00262481-0.00199329j 0.00134229+0.000632068j -0.000210367+0.00135924j -0.00265392-0.00426915j -0.000615414+0.000860646j 0.00121686-0.00309707j 0.00105107-0.0018687j 0.000265559+0.00232834j 0.00169897-0.00105976j -0.00671795+0.000875128j 0.000119998-0.0028387j -0.00198571+0.00404256j 0.00184586+0.00116673j 0.00191603-0.00356118j 0.000397416+0.00118833j -0.0032236-0.00342367j -0.00121862+0.00148723j 0.00283495+0.00141888j -0.000935225-0.000976246j -0.000327077+0.0013314j -0.00324986-0.000779086j 0.000788643-0.000138434j 0.000653791-0.000329736j -0.0035089-0.000832886j 0.0029052+0.00054958j -0.00239707-0.00033571j 0.00143099+0.0017693j -0.00138985-0.00478435j -0.0032139-0.00160647j -0.00307981-0.00129691j -0.00280768-0.00137743j -0.00754564-0.00415313j 0.00273226-0.00342027j -0.00143114-0.00804806j -0.00699738+0.00207821j 
-0.00473163-0.00602862j 0.0046255-0.00395159j -0.00140417-0.00616547j -0.00587089+0.00167121j -0.00195913-0.00133225j 0.00164555+0.00289148j 0.00974023-0.00401813j -0.00108967-0.0053359j -0.00139118-0.000549181j 0.00444944-0.00614444j -0.00385208-0.00223801j 0.00152872+0.00268008j 0.000345363+0.0010184j 0.000954732-0.00273405j -0.00163068-0.00188412j 0.000726655-0.00129991j -0.00250477-0.000620618j -0.00166796+0.00300338j 0.00105267-0.00276167j -0.00403605+0.00125807j 0.00278906+0.00184592j -0.00376405+0.000654567j -0.00169635-0.000931815j -0.00141112+0.00287403j 0.00169777-0.0018285j -0.0008455-0.0012617j 0.00208891+0.00308049j 0.00212829+0.00410804j -3.88452e-05+0.000965202j 0.00213091+0.00341988j -0.000710151+0.00310341j 0.00135919-0.000442004j 0.00101115+0.00220318j 0.00312468+0.00142225j -0.00457505-0.00112015j -0.00520017+0.00231774j 0.000248516+0.00299123j 0.000709156-0.00273718j -0.00355095+0.00250582j -0.000862124+0.00263071j -0.000973241-0.00329047j 0.00119864-0.00279258j 0.00509142+0.00190943j -0.00108121-0.00432855j -0.0020192+0.0047979j -0.00365738-0.00253944j 0.000658015+0.00523971j 0.00434878-0.000827064j -0.00119003-0.00247181j -0.00263048+0.00146369j -0.00377998-0.00152604j 0.000998086-0.00408567j 0.00111721-0.000821638j -0.00164619-0.00152871j -0.00125709+0.00178225j -0.00202671-0.000641318j -0.00149609+0.00289165j -0.00183397+0.000155136j 0.000789356-0.00335799j 0.00228503-0.000468396j -0.00149318-0.00191737j -0.00138991+0.00022393j 0.00319134-0.00217043j -0.00300592-0.00269865j -0.00102198-0.00168061j 0.00194901-0.00817712j -0.0010323-0.00598835j -0.000465901+0.00136333j -0.00458814+0.000969421j 0.00161527+0.00567995j 
-0.00636024-0.00283582j 0.00245398-0.0079145j -0.00383998-0.00417733j -0.00542064+0.00351653j 0.00171778-0.00416215j 0.00106408-0.000387451j 0.00100468+0.000884968j -0.00330615-0.00145783j -0.0018748+0.000656771j 0.00381759-0.000367828j -0.00117554+0.00107538j -0.00760589-0.00299701j -0.00064571+0.00159517j 0.00465605+0.000660377j 0.00329349+0.000704052j -0.00431026-0.000208778j 0.00181734+7.23187e-05j 0.000305605-0.00350661j 0.00258905-0.000288309j -0.00289123+0.0035805j 0.00156294-0.00145638j -0.00185523-0.00515532j -0.00144986-0.0027231j -0.000553178+0.00422392j 0.00109632-0.0030336j -0.0019967-0.00567264j -0.000784282-0.00365749j 0.000859366+0.000173312j 0.00542769+0.00239108j 0.00219324-0.000319433j 0.00595473+0.00253718j -0.000732417-0.00069518j 0.00441971-0.00417848j 0.000940759-0.00312884j -0.000778675-0.000789347j 0.000803884+0.00172426j -0.000573252+0.00323938j 0.00145185-0.00590629j -0.0011288+0.0073417j -4.72649e-05+0.00314856j -0.00195846+0.00268974j 0.00165979-4.80455e-05j 0.00298312-0.00250188j 0.000229528-0.00244373j 0.00688142+0.00612096j -0.00113264-0.000381802j 0.00341686-0.00372941j 0.00553071-8.86559e-05j -0.0015637+0.00315874j -0.0045585+0.00127015j 8.41437e-05+0.00131524j 0.00203869-0.00592702j -0.00540108+0.000776584j -0.00123878-7.75302e-05j -0.00193864-0.000980302j 0.00426673+2.43547e-05j -0.00378393-0.000494661j -0.00142676+0.00142648j 0.0029947-0.00118251j -0.00168417+0.000263764j -0.00153353-0.00499581j -0.00236225-0.00293628j 0.00582051-0.00212256j -0.00030139-0.0019772j 0.00387867-0.00105163j 0.00438691-0.00250596j 0.00771374-0.0035893j 0.000347815+0.00194742j -0.00423056+0.00717836j 0.0059848+0.00451971j 
-0.0022705+0.00226678j -0.00236369-0.00216825j 0.00109769+0.00355949j 0.00426156-0.00239909j -0.00229521-0.00483244j 0.00167241-0.00278504j -0.00386061+0.00356938j 0.00408859+0.000814975j 8.27413e-05-0.00141087j 0.00197275-0.0011716j -0.00175485+0.00186101j -0.00513817-0.00289156j 0.000219761+0.00272543j -0.00123273-0.0039588j -5.4e-05-0.00028583j -0.00013199+0.000777547j -0.000777566-0.00156625j 0.000343848+0.000898527j 0.00146711+0.00271438j 0.00051491-0.00118641j -0.00127598-0.000290749j -0.00142237+0.00221962j -0.000530515+0.00223279j -0.000167455-0.000370437j -0.0022924+0.00170567j -0.00219609+0.000168615j 0.00161069+0.000738505j -0.000672893-0.0010929j -0.000457404-0.0026955j 0.00108128+0.000376901j -0.000933309-0.00447091j 0.00139738-0.00428093j -0.000381941-0.000911661j -0.00236536-0.00131917j 0.00237666+0.00225201j -0.00184955+0.00233849j -0.000467804-0.00338696j -0.000624129+0.000739213j 0.000777443+0.0014504j 0.00221679-0.00203158j -0.00172911-0.000150321j -0.00337932+0.000225896j -0.00409022-0.00031123j -0.00528792-0.000869156j 0.00496063-0.000980626j -0.000195664-0.00217006j 0.00268481-0.0027716j -0.0014845-0.00602605j -0.00048822+0.00075027j 0.00272171-0.000921042j 0.000913362+0.00498194j 0.00294762-4.15164e-05j 0.00071228+6.78503e-05j 1.10133e-05-0.000562468j 0.00118873+0.000553935j 0.00418806+0.000125216j 0.00153078+0.000789616j 0.000205375+0.00182976j 0.00296218+0.000625527j -0.000680555-0.00126176j 0.00283585+0.00168635j 0.00308026-0.0010084j 0.0013975+0.0035473j 0.00103117-0.000225467j 0.00200611+0.00174184j 0.00355645+0.000696908j -0.00203816+0.00201102j 0.000114117-0.00305829j 0.00239779+0.00286984j 0.0032063-0.00247375j 
-0.00504851-0.000500471j -3.02716e-05-0.00230583j 0.00097007-0.00577311j -0.00453762-0.00324006j -0.00461949-0.00438114j 0.00136351+0.00206066j 0.00437807+0.00049574j 0.00580829-0.00379788j -0.000317487+3.30784e-05j 0.00259642-0.00598835j -0.00463992-0.00396388j 0.00383557+0.000421436j 0.00434419+0.00482267j -0.00344227-0.00631464j -0.00385857-0.000854568j 0.00120638-0.00104693j -0.00441701-0.00230547j -0.00290664+0.00385764j 0.00274284+0.00065043j -0.00184863+0.000760427j 0.00176099+0.00316241j -0.00174783+0.00817774j -0.000453146+0.00145166j -0.00328817+0.00271661j 0.000791893+0.00155644j 0.000128965+0.00318372j 0.00221789+0.00711329j 0.00281745+0.00324447j -0.00231224-0.00286197j 0.00204162+0.00465343j -0.00128636+0.000646577j 0.00370313-0.0034208j -0.00128299+0.00400124j 0.0013924+0.000874851j -0.00140898+0.0019792j -0.00735968+0.00584698j 0.000878129-0.000881892j -0.00220989-0.000590018j -0.00273634-0.000560669j 0.00233133+0.00166903j -0.00281431-0.00266244j -0.00306199-0.00169248j 0.00181837+0.000995757j -0.00765893-0.00134179j -0.0020609+0.00403038j -0.00404706-0.00180768j 0.00389466+0.00752139j 4.13013e-05-0.00766233j -0.00249477-0.00401758j 0.000491507+0.00127603j -0.0033895+0.00478424j 0.000479178+0.000885209j 0.00481299-0.00312109j -0.00132856+0.000208927j 0.000479763+0.00245696j -0.00238281+0.00108326j -0.000754597+0.00399836j -0.00180142+0.0019998j -0.00215649-0.000954811j 0.000983699+0.00221517j 0.00154867+0.00594273j 0.000863209-0.00268962j -0.0011545+0.0064983j 0.00177044-0.00336813j -0.00355409-0.00305215j 0.00169583-0.011747j 0.00106014-0.00522883j -0.00242598+0.0077151j 0.00138319+0.00196652j 0.00451138-0.0016568j 
-0.00500689+0.00313618j -0.00515792-0.00471961j 0.00236319-0.00275735j -0.00211309-0.00244724j -0.00140509-0.00939124j 0.00137221-0.0012283j -3.83931e-05+0.00388409j 0.00291231+0.00112392j -0.00104836+0.000253486j 0.000176641-0.00264777j -0.00198884+0.000663807j 0.00246609-0.000181109j -0.00055135+0.000315018j 0.00302475-0.00261475j -0.000916601+0.00301256j -0.00654789+0.00168578j 0.000440186-0.00155166j -0.000537039-0.000473138j 0.00489788-0.000158378j 0.000344523-0.00353342j 0.000536673+0.00244177j 0.00154315-6.28147e-05j 0.000546236-0.00105475j -0.000810579-0.00203986j 0.00196029+0.000771845j -0.00057754+0.00340076j -0.00146977-0.000873725j 0.00380963-0.00245711j 0.00272438+0.000617368j 0.00257368-0.00181166j 0.000100522+0.00499835j -0.00489543+4.24521e-05j 0.00291672-0.00265248j -0.00118144+0.000602464j 0.00331259-0.00085858j 0.0041395+0.00683133j 0.00138552+0.00259714j -0.00318465-0.0061491j 0.00458798+0.00475096j 0.00300577-0.00257552j -0.000630029+0.000889709j 0.00082651+0.00129257j 0.00213262-0.00556425j -0.004205+0.00185653j 0.0118421-0.00534847j -0.00307244+0.00850578j -0.00112722-0.00536147j -0.00207503-0.00275813j 0.0021081+0.00430353j 0.000459993+0.00240073j 0.00477844+0.00538815j -0.00307949-0.00708019j -0.00396775-0.000336151j -0.00150939+0.00496813j -0.000328886-0.00304796j 0.000914698+0.000843226j -0.00666863+0.00210225j -0.00179118+0.00317045j 0.00467883+0.0025759j -0.00476963+0.000576087j -0.000380038-0.00088808j -6.35111e-05-6.67555e-05j 0.00231424-0.00410417j 0.0053529+0.00656525j 0.00144523-0.00559634j 0.0109552+0.00383667j 0.00899213-0.00195792j -0.00484213+0.000196358j 0.00521175+0.0034307j 0.00413299-0.00306391j 
0.00408893+0.00228934j -0.00180164+0.00252479j 0.00210042+0.00264455j 0.00131004-0.00187661j 0.00179596+0.00145408j -0.00102943-0.00243341j -0.00260208+0.00287073j -0.00128321-0.000286043j 0.00236766+0.00104391j -0.00144396+0.00303861j -0.000247107+0.00127691j -0.00178199+0.00113826j -0.00043416-0.00270906j -0.00183647+0.00474197j -0.00104206+0.00178979j -0.00245025-0.00168767j 0.00137813+0.00336772j 0.00114146-0.00380283j 0.000546707+0.00308516j 0.00096386-0.0011422j -0.00383521+0.00172052j 0.00152501-0.00238338j 0.00119954-0.000327073j 0.00105002+0.000314284j -0.000256969+0.00210329j 0.00181207+0.000384439j -0.000978204+0.00234538j -0.00133808-0.000432026j -0.000663827-0.000968439j -0.0035273+0.000648486j -0.00436226-0.000987092j 7.37445e-05+4.19397e-05j -0.000918316-0.00131237j -0.00239502-0.00195694j 0.00412958-0.000633308j 0.0016309-0.0034124j 0.000280883-0.00514748j -0.000417107+0.00146166j 0.0019716-0.00535571j -0.00451865-0.00143476j 0.00019048+0.00254909j -0.00336925+0.00276997j -0.00653831+0.00447644j 0.00205302+0.00363003j -0.00451011-0.00801256j 0.00321234+0.00245159j -0.00534639-0.00242228j -0.00645337+0.00222783j 0.0034736-0.00252884j 0.00240831-0.00407261j 0.0032945+0.000179727j 0.00258437+0.00512042j 0.00409886+0.0015128j -0.000224411-0.000474692j 0.0067228-0.00198617j 0.000902263-0.00244069j 0.00548902-0.00365545j 0.00219061+0.00297579j -0.00518589+0.00162092j -0.00107813-0.000768379j 0.00132351+0.00525874j 0.00223909-0.000558728j 0.00565446+0.00654625j -0.00857852+0.000123916j 0.00627261+0.00367293j -0.0072731+0.00945271j -0.000679977+0.00840051j 0.00316309-0.00225077j 0.000783156-0.00183854j -0.00392893-0.000819766j 
0.00525306+0.00392854j -0.00371249+0.00389408j 0.00359852+0.00495252j 0.00341599-0.00323816j 0.00154695-0.000121272j 0.000671743-0.00177353j -0.001014+0.00410779j 0.000936326-0.000835987j 0.00317712+0.000189879j -0.00123249+0.00257542j -0.00124795+0.00151363j -0.000805495+0.00221949j 0.000569596-0.00248452j -0.0032045+0.00291088j -0.000385293+0.000768661j -0.000614721-0.00276053j 0.000497572+0.00398784j 0.00300813-0.00110281j 0.00150481+0.00391988j 0.000643017-0.00353353j -0.00241326+0.00395016j 0.00335336-0.000533225j 0.00169752+0.00177782j -0.00114983+0.00187478j -0.000970733+0.00480624j 0.00174814+0.0013124j -0.000206114+0.00174759j -0.00287807+0.000486329j -0.00231407-0.00134228j -0.00124791+0.000396171j -0.00616758-0.00319916j -0.000398982-0.00183316j -0.00217536-0.000263016j -0.00278417+0.000256135j 0.00501614+0.00122855j 0.00087643-0.00458693j 0.000805705-0.00573684j -2.37255e-05+0.00178412j 0.0038931-0.00595868j -0.00382294-0.00130128j -0.000781953+0.00116399j -0.00338092+0.00318782j -0.00590921+0.00512769j -0.00190137+0.00286495j -0.00834155-0.00873278j 0.000390586+0.0034543j -0.00582033+0.000121301j -0.00801229+0.00175278j 0.001317-0.00440137j 0.00384903-0.00559267j 0.000966056-0.000618912j 0.00225285+0.00632922j 0.00581554+0.00204594j 0.00154193+0.00060492j 0.00718544-0.000734909j -2.40638e-06-0.00120702j 0.00636728-0.00479895j 0.00303473+0.00363236j -0.00664082+0.0021883j -3.23253e-05-0.00135162j 0.00173197+0.00913915j 0.0028612-0.00160616j 0.00517775+0.00927007j -0.00825312+0.000474695j 0.00621652+0.00225183j -0.00912138+0.00973155j -0.00337194+0.00880193j 0.00288961-0.00306013j 0.00255554-0.00239623j -0.00457567-0.00257141j 
0.00317647-0.00290722j 0.0049068+0.00323044j -0.000948159-0.00304299j -0.00316633+0.000397313j 0.00363187+0.00856092j 0.00125808+0.00313021j -0.00015766-0.00463943j -0.000210281-0.00437707j 0.000291691+0.00244093j -0.00307641+0.00499721j 0.00107923-0.00389711j 0.00484392-0.00445046j 0.000940865-0.000134441j -0.00430123+0.00199465j -0.00252038-0.00175402j 0.00534076-0.00324477j -0.0018304+0.00150505j 0.0050029+0.00381263j -0.00511512-0.000941466j -0.00204179+0.00125959j -0.00331725-0.00314037j 0.0026388+3.43649e-06j 0.00403332-0.000586807j -0.00622456-0.00297582j 0.000168568-0.001078j 0.00419729+0.00202375j -0.00140014-0.00298347j 0.00159712+0.00332069j -0.00234603+0.00293703j -0.0019236-0.00208954j 0.00188082+0.00398418j -0.00235896+0.00287578j 0.000421752+0.00524412j 0.00778714+0.000977957j -0.0055346-0.00298461j -0.000670545-0.00400515j 0.00403208+0.00283911j -0.0012071+0.00465071j -0.000214011-0.00571103j -0.00340607+0.0100382j 0.00167614-0.000951444j 0.000144069-0.000730019j 0.0125817-0.0042667j 0.00909025-0.00190325j -0.0180359+0.00736323j 0.009479+0.00383616j 0.00162211+0.0125671j 0.00838873+0.0141569j -0.00381298-0.00214455j -0.00589711+0.00291171j -0.00946279-0.0110698j -0.00654488+0.00547491j -0.00167825-0.00334077j 0.000209719-0.00526924j -0.00537482+0.00445299j -0.0098455+0.00865552j 0.00197175+0.00496651j -0.0087752-0.000558006j -0.00465832-0.013035j 0.00237275+0.00287112j -0.0106778-0.00669693j 0.000581176+0.00925936j -0.0170942+0.006106j 0.00480354-0.0146314j -0.00797125+0.00750988j -0.0159559-0.0122588j -0.00929908-0.00486445j 0.0014138+0.00783887j -0.00317489-0.000978783j -0.00154183+0.000836516j 
0.00165905+0.00254514j -0.00215854+0.00103075j 0.00242248-0.000324798j 0.000488202-0.0029895j 0.00131542-0.000673429j -0.00281807-0.00142727j -0.000635076+0.00650393j 0.000908752-0.00284075j 0.00053541+0.00175245j 0.00138058+0.00108294j 0.000459749-0.00198601j -0.000757034+0.003701j 0.00461663-0.00197348j -0.00237517+0.00233571j -0.00293279+0.00249564j 0.000376031-0.00138119j -0.00285363+0.00116428j 0.000312113-0.00278207j -0.00140154+0.00636723j 0.00283809+0.00102094j -0.00757883+0.00409317j 0.00202113+0.00458144j 0.00069446+0.000270399j -0.00584941-0.00130304j -0.00346376+0.00416944j 0.00112715+0.00362079j 0.00350606+0.000295888j 0.000445251-0.00195648j -0.00300686+0.00109055j 0.000347175+0.00346657j -0.00257556+0.00162868j -0.00288179-0.00326751j 0.000573007-0.000561902j 0.000648051+0.000366195j 0.00226451+0.00431909j 0.00524721+0.000933975j -0.00339052-0.00609472j -0.000572561+0.0050139j 0.000974426-0.00347143j -0.00824761-7.2813e-05j -0.00333678-0.000628242j -0.00661866+0.00698138j -0.00115514+0.007195j -0.00022658+0.00174463j -0.009355-0.0129518j 0.00257988+0.00406719j -0.00466479+0.00214818j -0.0136169+0.0049392j 0.00335334-0.00803258j 0.00440251-0.00261844j 0.00505837-0.00109719j 0.000516823+0.00607467j 0.000742168-0.000925008j 0.000933312+0.00227378j 0.00583947-0.00138753j -0.00224333+0.00094447j 0.00973245+0.00301747j -0.00392763+0.00636688j -0.00893263-0.00167232j -0.00095093+0.00140122j 0.000660125+0.0118944j 0.00358203+0.00142841j 0.00415845+0.0140624j -0.00674564-0.00304908j 0.00620752+0.00522825j -0.0100828+0.00772256j -0.00268083+0.00652795j 0.00309212+0.00257016j 0.0012667+0.000444566j -0.00121983-0.001804j 
