0.43205-0.109163j -0.318608-0.217554j 0.0794229-0.0411391j 0.192245+0.222442j 0.364469-0.166226j -0.0370178-0.431125j 0.06439-0.296122j 0.0393715+0.26552j 0.0551512-0.025467j -0.0732972-0.0115892j -0.00576346-0.0412941j -0.0422794+0.0494117j -0.0353363-0.0430284j 0.0165579-0.0808833j 0.03454-0.0655026j -0.000579439-0.0201267j -0.0516735-0.00756578j 0.0285615-0.000382523j -0.11908-0.00345739j 0.0149709-0.0135548j -0.0267368+0.0310855j -0.00366856+0.0213712j -0.0217755+0.0325295j -0.02897-0.00704391j 0.0341984+0.00912309j -0.0206458-0.0469422j 0.0084248+0.0137779j -0.0297547+0.0414521j 0.00998027+0.0067587j -0.0799081-0.0117376j -0.00392649+0.0655881j -0.042953-0.0198353j 0.0265699-0.00196154j -0.00776166+0.0493674j 0.0381947+0.0180098j 0.0101958+0.0674016j 
0.0134397+0.00560478j -0.00589308-0.0130068j -0.0146277-0.00314531j -0.0312604+0.0235315j -0.00618783-0.0551008j 0.0102315+0.0355781j -0.00898872-0.00242493j 0.0141712+0.0523065j -0.0455569+0.031795j -0.024167-0.0285923j -0.0035442-0.0475522j 0.110368-0.0102623j 0.0306169-0.0324291j -0.0544663+0.000312487j 0.0575965-0.0593879j -0.000286651-0.0270684j -0.0177209-0.0160949j 0.00153122-0.0101552j -0.023342-0.0572121j -0.0438918-0.0225761j -0.0731465+0.0295976j -0.0990945+0.103964j 0.0245938-0.0661643j 0.0734177+0.063403j -0.0197417+0.0313771j 0.110675-0.0203987j 0.0528202+0.0247247j -0.0443871+0.0426655j 0.174042+0.0326188j -0.0671347+0.0817704j -0.0894458-0.00237522j -0.0325047+0.179982j -0.0700318-0.00444458j 0.0657766-0.214483j -0.00579005-0.030559j -0.0960955-0.0906825j 
-0.0397078+0.0295505j 0.0220825+0.029746j 0.0122149+0.000956532j -0.00967506-0.0145127j -0.00476418-0.0127503j -0.0129008-0.0252526j -0.00146028-0.00929082j -0.00364254+0.0114351j 0.00580471+0.031827j 0.0175142-0.032524j -0.00398859+0.0354664j -0.0163262-0.0123085j -0.0214988-0.0197104j 0.0207498-0.00223033j 0.0220263+0.0203642j 0.0286278+0.0254737j -0.0356807-0.00425386j -0.0211988+0.0655027j 0.0230697+0.0326762j -0.00096269-0.0223614j 0.0220821+0.00737287j -0.00951749+0.00701706j 0.0136844-0.00234176j -0.00178994+0.01061j -0.0149593-0.0140302j 0.0121824+0.00525904j 0.065683-0.0303063j -0.0172825+0.0498578j -0.00605425-0.00555514j -0.00839749-0.0189091j -0.00316705+0.0239137j -0.0171355-0.0174719j 0.00896051+0.0282879j -0.00862996+0.0077612j -0.0125202-0.0375076j 0.0098903+0.00089405j 
0.0165221+0.0181292j -0.0170378+0.0126026j 0.0106358+0.00991236j 0.00719137-0.0124435j -0.000677645-0.0149409j -0.0192616+0.0349945j 0.0164722-0.00490342j -0.0079819+0.0429068j 0.0377646+0.0331876j 0.00523088-0.0356648j 0.0323502+0.00692875j -0.0503585-0.0532419j 0.0499622+0.00528556j 0.000351644+0.0194042j 0.0294237-0.0295666j 0.0340828+0.0447148j -0.0268401+0.0311469j 0.00121536+0.0181305j 0.00144242+0.00419097j 0.0517898-0.00632185j 0.0413685+0.0546908j -0.0203121+0.0517215j 0.051388-0.0118709j -0.068909-0.0384283j -0.0162585-0.0333163j -0.0509038-0.0348941j 0.0255257+0.0179497j -0.0406577+0.0133431j 0.0269054+0.0500888j -0.0518711-0.00576758j -0.0181454+0.0331319j -0.0360866+0.0355454j -0.0140063+0.0361744j -0.0245358-0.0463232j -0.0517331-0.0323931j 0.0380983-0.00196596j 
-0.0218153+0.0456996j 0.00993576-0.0094869j -0.0138428+0.00543088j -0.00404987-0.0341548j 0.00258928-0.0650824j -0.0170167+0.00107437j 0.0169005-0.0035022j -0.0175897+0.0426776j -5.65032e-05+0.0163494j 0.00693134-0.0338725j 0.0295837+0.0514125j -0.0412453-0.0535742j 0.00955098-0.0260462j 0.0165946+0.0717995j 0.056771-0.0267701j -0.0289797+0.00745991j -0.0232767+0.0175259j 0.011309-0.0396983j 0.0294147+0.00323061j 0.0355014-0.000998565j 0.0501999+0.0626133j -0.00133215-0.0183999j 0.0877047+0.00145317j 0.0078588+0.0131762j -0.0456286-0.0656984j 0.0880568+0.0197454j 0.010534+0.0292203j 0.0391986+0.0537544j 0.0815315+0.0206395j -0.0622654+0.0155863j -0.0131083+0.00555791j 0.00516194+0.0179761j -0.0641522+0.0510153j -0.00722791-0.091184j -0.0832772-0.0315583j 0.0490872-0.0328583j 
-0.0237833-0.0045849j 0.00094314+0.00168108j -0.00960425+0.00845113j -0.00120062+0.00212441j 0.00774542+0.0106105j 0.000249055+0.0200603j 0.00622001-0.0224535j -0.00909239-0.0208821j -0.0195106-0.0124033j 0.0143646-0.00618784j -0.022616+0.0327995j -0.00360259+0.0280139j -0.0911467-0.0204789j 0.051058-0.00499704j 0.00513568+0.0356924j -0.0261514-0.0196155j -0.0142019-0.0188385j 0.0111658+0.0131922j 0.0371597+0.0229701j -0.0342794+0.00390309j -0.000632692-0.0188176j -0.0190232+0.0368142j 0.00400832-0.0027633j -0.00194352-0.0253144j -0.00787322-0.0267284j -0.0184852-0.00169412j 0.0200411+0.0222211j -0.000193641+0.0136109j 0.00857302-0.0243705j 0.0106287-0.00888819j -0.0167102-0.0040174j -0.0030501+0.0421746j -0.00175157-0.0431847j -0.00234358+0.0128596j 0.0258118+0.0368149j 0.0226375-0.0223046j 
0.0246314+0.000987656j 0.0073972-0.0173823j -0.0195934+0.00467408j -0.00970392-0.0376178j 0.0297495-0.0245619j 0.00163367+0.00836488j -0.038594+0.0243027j -0.00702381+0.0148237j 0.0105052+0.0201827j 0.0230965-0.0327617j -0.0046977-0.00458905j 0.022528-0.00805306j 0.0312855-0.0364308j -0.00507153+0.031601j 0.0425008+0.000645629j -0.000549672+0.0380271j 0.014037+0.00676996j -0.0139367+0.0526754j -0.00841907+0.004408j -0.0188095+0.0280908j 0.0150945+0.018501j 0.0191404-0.0275551j -0.000666497+0.0131731j 0.00196444+0.0294891j -0.0247196+0.00330666j 0.025248+0.00295793j -0.0677423+0.0216718j 0.0537257-0.00235292j 0.0529655-0.0117755j -0.0452674+0.0177803j 0.0225243-0.0166232j 0.0140417-0.0213385j -0.0436154+0.0632774j 0.0239358-0.0303288j -0.0367538-0.0320286j -0.0173177-6.6709e-05j 
0.0156138-0.0661257j -0.0418166-0.0264981j -0.00919111-0.00775786j 0.00526865+0.0587842j -0.0516587+0.0514282j 0.0418602-0.0318673j -0.0014601+0.0126198j 0.0215911-0.00633252j 0.0259751-0.0494867j 0.0284743+0.0563692j 0.000871795-0.0843599j -0.0319304+0.0225483j -0.00159397+0.034494j 0.00193155-0.0494591j -0.0657587-0.00641716j 0.0314582+0.023695j 0.0460694+0.0260075j -0.016586-0.00212018j -0.0425729-0.0181216j -0.0397481+0.00747878j -0.0262654-0.0852248j -0.00569591+0.00876146j -0.0429297+0.0566181j 0.0631753-0.0282132j 0.0416936-0.0222687j 0.0145981+0.042556j -0.00190129-0.00192688j -0.00236399-0.00164066j -0.075187+0.0271975j 0.0368579+0.0334126j -0.0452416-0.00269806j 0.0251056+0.01744j 0.0436814-0.0753592j -0.0210974+0.0560752j 0.0771427+0.0837678j 0.0211421-0.0186492j 
-0.015193-0.00114511j 0.0234587-0.0175049j -0.00545272-0.00765906j 0.00205956+0.0121049j -0.0083312-0.00977588j -0.00432466+0.00470726j -0.0180658-0.0154891j -0.0254269+0.00228028j -0.0215607+0.00346986j -0.0425889+0.0177152j -0.0157773-0.0129892j -0.0276489+0.00415471j -0.00303418+0.00356547j -0.00257481+0.033374j 0.00595308+0.00126707j 0.0145917+0.0207616j 0.000897107-0.00860342j 0.0105576-0.0258205j 0.0109636-0.00609969j 0.00387598+0.000257034j 0.00441039-0.0130802j 0.00063876-0.0194443j 0.0183758+0.041857j -0.000897946-0.0193344j -0.00498894-0.0226704j -0.0124521+0.0131723j -0.0182717-0.0187077j 0.022935-0.0033252j 0.00878345-0.0242814j 6.16108e-05-0.00967807j 0.00983021-0.00474678j 0.00274441-0.0345238j -0.0115727+0.0684767j 0.00648231+0.0355321j -0.00765228-0.0159861j 0.00943899+0.00277201j 
-0.0068799-0.00647596j -0.0230791-0.00504618j -3.05759e-05+0.0141108j -0.0096567+0.00575434j 0.00682389+0.00287781j -0.00435896-0.0201005j 0.0279274+0.00645352j 0.0366035+0.00875361j 0.0122099-0.0141878j 0.0285827-0.00804046j 0.0284567+0.0173499j 0.0079803-0.00492586j 0.0118032+0.0189815j 0.00428326-0.0143609j 0.000422128-0.0102915j -0.00954208-0.0261516j -0.00569475+0.00586845j -0.0129088+0.00163286j -0.00387959+0.00207327j 0.0050732-0.00198958j 0.0130144+0.00607332j 0.000825049-0.00958756j 0.00292963+0.0100126j -0.000917273+0.00245503j -0.00856387+0.000485871j 0.00456903-0.00457103j 0.0111457+0.00113583j 0.00667755+0.00936749j -0.00374831-0.00658096j -0.000804153+0.00216679j 0.00340146+0.00866231j -0.000137598-0.00930154j -0.000236263+0.00342521j -0.00219066+0.0136854j 0.000817598-0.00376714j 0.00117846+0.00614866j 
-0.0293163+0.012669j 0.0190125-0.00876102j -0.00441408-0.0167891j 0.0166632-0.000802498j 0.0172584-0.0212567j -0.00422482+0.0204167j 0.036476+0.0167035j 0.0233106-0.0110106j 0.000541265-0.0041493j 0.0312033-0.019131j 0.00935246+0.0289949j 0.0443698-0.00761267j 0.000753235-0.0112063j -0.00209563-0.0014161j -0.00247855-0.021998j -0.0261554-0.0297324j -0.0271381+0.000728096j 0.00239858+0.00818431j 0.00617762-0.000345182j 0.0049046-0.0137836j -0.0205023-0.00365686j 0.00203374+0.011683j -0.00734752-0.002448j 0.00467501-0.00899778j 0.0318878+0.0185304j -0.0126277+0.00798842j -0.00567564-0.0173736j -0.0160941-0.0162199j 0.0129098-0.00513336j -0.00769564-0.012922j 0.00146631-0.0117212j -0.00655829+0.00471021j -0.00476428+0.00487964j 0.00331984-0.00802809j -0.0164139-0.000125238j -0.0107093+0.0237556j 
-0.0213081-0.005698j -0.0170593-0.0322568j -0.00590893+0.0161558j 0.0129207+0.0265551j 0.0187973-0.0505401j -0.00271397+0.0160768j -0.0150817+0.0135324j -0.0303059-0.0153585j -0.0151145+0.0139206j 0.00209718+0.014891j -0.0456501-0.0212537j 0.0440494+0.00722587j 0.00688306-0.0456735j -0.0367653+0.0145731j -0.00913056-0.0469519j -0.00759931+0.0127474j -0.00780442-0.00561928j 0.0248723+0.00546864j -0.0270846-0.0252659j -0.0220185-0.00579093j -0.0761395-0.042399j 0.00839555+0.0194601j -0.0366673-0.000765483j 0.0544219-0.00511269j 0.0984661+0.0309536j 0.00664365+0.033054j -0.0441368-0.0445197j -0.0295297-0.0280335j 0.00660428+0.0218777j -0.0181402-0.0145799j -0.0079292-0.0332358j -0.005678+0.0151414j 0.00964566-0.00812658j 0.00825574-0.0322071j -0.0147046+0.0223294j -0.0225026+0.0352832j 
0.0198818+0.0629727j -0.0105418+0.0336378j 0.00653492+0.0105807j -0.00663869-0.0736304j -0.0214186-0.0444222j 0.00539257+0.0133052j 0.00489749-0.0228994j -0.0107454+0.0510445j 0.00229475+0.0363989j -0.0355523-0.0595579j -0.000233728+0.0536792j 0.0205394-0.0279519j -0.0330841-0.0298367j -0.00420458+0.0437508j -0.0390075-0.034383j 0.00736463-0.0062924j -0.0213223-0.0239815j 0.00124567+0.00566749j 0.00619316+0.0162667j 0.0151145-0.00461578j -0.0376318+0.00826623j 0.00603691-0.00695054j -0.0135174-0.105853j 0.00314069+0.0826979j 0.0128449+0.0212153j 0.0195846-0.0606689j -0.0179738+0.0234693j -0.0255695+0.0492291j 0.020133+0.0920856j 0.000756434-0.0277592j -0.0108+0.0392845j 4.55745e-05+0.00815871j -0.00349959+0.0514521j 0.00898848-0.0432435j 0.0221411-0.0289624j 0.0118783-0.0432429j 
0.0128967-0.0323008j -0.016546+0.018754j 0.0058521+0.00304968j -0.00831448+0.0251456j 0.0118907+0.058364j -0.00738439-0.0303145j -0.00253363-0.0138247j 0.00294915-0.039536j -0.00169153+0.0118429j -0.0214759+0.0279015j -0.00316397-0.00660359j -0.042197+0.00546705j 0.0345431+0.0591524j -0.0131996-0.0832981j 0.024451+0.0303694j 0.0184942+0.000433147j -0.00460974-0.0104402j 0.00518318+0.00364735j -0.012849+0.00963819j 0.0186596-0.0148j 0.0301193+0.0470785j -0.0107391+0.0156054j 0.0269517-0.00152572j 0.012332+0.0138371j -0.0122796+0.0282741j 0.00130848-0.0204878j 0.0525164+0.0360711j 0.0107166+0.000404167j -0.0287954-0.051874j 0.0112938-0.00288221j 0.00677315-0.0206723j -0.00521073+0.0334033j 0.0191643-0.141199j -0.0129646+0.0280128j -0.00723646+0.0492495j -0.00710309+0.0572429j 
