0.0487183-0.015156j 0.0773936-0.0120601j -0.246923-0.0225589j 0.0482827+0.0688141j -0.000400225-0.00809585j -0.014641-0.0965073j -0.0103046+0.00104996j -0.0531879-0.143937j 0.0368093+0.0988906j -0.27977+0.272412j 0.00723543-0.0159743j 0.215518+0.0804157j -0.0958708+0.14712j 0.0559313+0.151422j -0.17141-0.203596j 0.0260689+0.41039j 0.00783615+0.000559832j -0.060138-0.0587813j 
-0.0278818+0.00174913j -0.0156792+0.00384937j 0.0558123+0.011643j 0.024374+0.0102027j 0.00329069+0.0254541j 0.050895+0.0291196j 0.0311964+0.0227348j 0.0156362-0.00602714j -0.0239561-0.0123773j 0.00707306+0.0174566j -0.00234516-0.00170893j 0.0355064-0.0275078j 0.00240618+0.00226453j 0.0240334-0.0329357j 0.0382492+0.0221326j 0.000675579-0.0340311j 0.0299021-0.0154611j -0.00735028+0.0165961j 
-0.025224+0.0158939j 0.00209661-0.0165482j 0.0309465+0.00714499j 0.000449698-0.00272202j 0.0373798-0.0148354j 0.00883658+0.0107365j 0.0273369-0.00934909j 0.00192106+0.0167639j 0.00555626-0.0341045j 0.0369728+0.0386228j 0.00649845-0.00893452j -0.00904926-0.0173209j -0.0268057-0.0186296j -0.0255115-0.0532883j 0.0315225+0.0564962j -0.0187599+0.00838153j 0.00774795+0.0387894j -0.00478682-0.00851595j 
0.0205035+0.00672208j 0.00369848-0.0182467j -0.00733931-0.0356819j -0.00637653+0.00946931j 0.0294-0.0146191j 0.0183153-0.00633372j -0.0103365-0.0161959j -0.0269969-0.0373226j -0.019212-0.0207612j -0.00165543+0.021539j 0.0152581-0.00298556j 0.0143147-0.0290826j -0.000929945-0.0243365j -0.00737622+0.033904j -0.0212299-0.000693124j -0.0114379+0.037966j -0.0223776+0.036865j 0.00800824-0.0145746j 
0.00906237-0.0190751j 0.00603215+0.0133829j -0.0189308-0.0209863j -0.004069+0.0200699j -0.00508282+0.0072066j -0.0223091-0.0201189j -0.0283102+0.00775937j -0.00495173-0.00585072j -0.0144129-0.0226133j -0.0116199-0.0503666j -0.0109921+0.0019525j -0.0281437-0.00790041j 0.0250527+0.0321049j -0.026673-0.00355039j -0.0732114+0.024058j 0.0281255+0.00444937j 0.00540191-0.0132229j -0.0127958+0.00163606j 
0.00686439+0.0153271j -0.00167004-0.00671076j 0.0315238-0.00883566j 0.016019+0.00949731j -0.0296004+0.0226358j 0.0163029+0.0203034j -0.0159329+0.00981107j 0.0173169-0.034146j 0.0104951-0.00350126j 0.0206176+0.0348969j -0.0094107+0.0140577j 0.0131011-0.0104132j -0.00796921-0.0261655j -0.00369481-0.00969058j 0.0343532-0.0206044j -0.0124795+0.00859794j -0.0103947+0.0160651j 0.00412526-0.00356464j 
-0.00348746+0.0266318j 0.00250926-0.0123557j -0.00587896-0.00710318j -0.0232045-0.01386j 0.0416521+0.0264256j 0.000576293+0.0418536j 0.0325569-0.0158053j -0.00215707-0.00774662j 0.0316954+0.0017352j 0.0281531+0.0382762j -0.0028338-0.00500627j -0.00227938+0.00630946j 0.00588922-0.011685j -0.0251209+0.0227443j 0.008281-0.0369336j -0.000538197+0.00647838j 0.00053467-0.0104835j 0.00581405-0.0137821j 
-0.0218655-0.0238591j 0.00685983+0.0224655j -0.0341777-0.0144377j -0.00658299+0.0289533j 0.0169951-0.00223079j 0.0232589-0.0147111j 0.000713045-0.0110851j -0.0104944-0.00256815j -0.026035+0.0167197j -0.0237228-0.0153219j -0.00783989-0.0100877j 0.00670002+0.00444074j -0.0154127+0.00331814j 0.030958-0.0145036j 0.013843+0.0284304j -0.00834195-0.000954438j -0.00933919+0.0213043j 0.000605111+0.0104897j 
-0.00920373+0.013518j 0.019584-0.00444018j 0.0209882+0.0388349j -0.00491047+0.00103528j -0.0097408+0.0195251j 0.00494341+0.0481309j 0.0205197+0.0275341j 0.00474465+0.026359j 0.0694108-0.0689802j 0.0679338-0.0315786j -0.00650612-0.000417994j -0.0112544+0.0132723j -0.0209988+0.00103173j -0.0127417-0.0250955j -0.026492-0.0274543j 0.0126538-0.0385524j 0.00311652+0.0178061j -0.000273391-0.01009j 
-0.0076044-0.016572j -0.00132098+0.016405j 0.0110157+0.0035832j -0.0127083+0.0101239j 0.0254813+0.0175949j -0.0148355-0.0020701j -0.0100315+0.024029j -0.010766-0.00212852j -0.00303223+0.0164609j -0.0127042-0.0147975j 0.0062355-0.00780815j 0.020503-0.00177138j 0.0050018+0.0152765j 0.0071062-0.0242775j -0.00703216+0.0272059j -0.00274897-0.00147547j 0.0166542-0.00772463j -0.00538853+0.00297698j 
-0.011431-0.0198159j -0.0238811+0.00845317j 0.0156258+0.0111228j 0.0157997+0.00819523j -0.00171027+0.000565362j 0.0187254+0.00506606j 0.00813727+0.0166657j -0.00160816+0.00435688j 0.00141113+0.0154584j -0.0196297+0.015828j 0.00158562+0.000487445j 0.0417234+0.00145772j -0.0238585-0.0197276j 0.0179995-0.00163393j 0.0434728-0.00237598j -0.0347288+0.00106373j 0.0091274+0.020581j 0.0182815-0.00630707j 
-0.00426338-0.0055632j -0.0181247+0.00527806j 0.0184908+0.0144969j 0.00625574+0.0088589j 0.0156026+0.0122109j 0.015843-0.00439827j -0.0210313-0.00322929j 0.0463915+0.0224397j 0.00301377+0.00468623j 0.00490429-0.039388j 0.0149478+0.0220995j -0.0135704-0.0508369j -0.000364492-0.00255527j 0.0063819-0.00743363j 0.00753296+0.0100607j -0.00248534-0.0186234j 0.0196302-0.00561012j 0.00709382+0.00113403j 
8.39986e-05-0.0245766j -0.0428329-0.0171128j 0.00649676+0.0102292j 0.0155941-0.00116806j -0.0131011-0.00079942j 0.0405088-0.00642491j 0.0104389+0.00257754j -0.016349+0.00662188j -0.028946+0.0107784j -0.0324067+0.00703345j 0.00421562-0.00453601j 0.0208278-0.0286116j 0.00447141-0.00671292j 0.0112988-0.003232j -0.00219144-0.00943647j -0.00433206+0.00742249j 0.0468318-0.019569j -0.0153367-0.0018264j 
-0.00211106+0.00150632j -0.00305786-0.0192573j -0.0160577-0.0129014j -0.00610303+0.012214j 0.012026-0.000185025j -0.0199369+0.0101203j -0.0103367-0.00297021j 0.0130058+0.0159131j 0.0136871-0.00362082j -0.00380651+0.00679233j 0.0193566+0.0166014j -5.37431e-05+0.0296439j 0.0164013-0.0116274j -0.00774918-0.00759264j -0.00774668+0.00321915j -0.0152201-0.0131423j -0.0141653+0.00689307j -0.000775041+0.00220492j 
0.0151641-0.0156046j -0.0277661-0.00845875j -0.00204132+0.00318344j 0.00395616-0.00290007j 0.00923199-0.00138982j 0.00915916+0.00952832j 0.00473542-0.00817489j -0.00972859-0.0240522j -0.0014677-0.00538639j -0.0260108+0.0152379j -0.013975-0.0083733j 0.0159947-0.0094075j -0.0111111-0.00867572j -0.00256963+0.0156866j -0.0142885-0.0366736j -0.0128139+0.0311069j 0.010675+0.0149961j 0.00823943-0.01518j 
-0.0116476+0.000144645j -0.000614349+0.0169861j -0.00204436-0.0058449j -0.0267968+0.0155096j 0.0326355-0.00919011j 0.00875017+0.00327287j -0.0128049-0.0263088j 0.0116152-0.00912301j -0.00271028+0.000107721j 0.00800043+0.00557455j -0.00848163-0.00200707j -0.028222+0.00791522j -0.0178699+0.0029814j 0.00796165+0.000282069j -0.00225344+0.0165729j -0.00552971+0.00691774j 0.00262736+0.0219054j 0.00764687-0.0160849j 
-0.0043954+0.00854044j 0.0197688+0.00296173j -0.00252935+0.015314j 0.00241876+0.00422086j 0.00604537+0.00596661j -0.00507215-0.0038313j -0.00642823+0.0071409j 0.00616384-0.00712712j 0.00292693+0.0124266j -0.0102502-0.0149334j -0.00336788-0.00184139j -0.00821962+0.00458074j 0.0101049+0.0112952j 0.0163863-0.0236885j 0.00275945-0.00144627j 0.00857845-0.0114288j -0.00416067-0.0188256j -0.0128632+0.0163118j 
0.00975233-0.00253249j -0.00811386+0.0081186j 0.000123549+0.00245797j 0.0206119-0.00632929j 0.0149985-0.0132794j -0.025843+0.00625625j 0.0119263+0.0131687j 0.022995+0.00531666j -0.00481942+0.00608129j 0.0111757-0.0134229j -0.00349658-0.0056859j -0.00110668+0.0277466j 6.65377e-05+0.0205268j 0.0326949-0.0353649j 0.0116137+0.0174628j 0.008073-0.0340233j -0.00494316-0.0129517j -0.00483243+0.0211764j 
-0.0215729-0.0116292j -0.00813509+0.0126999j 0.00335998+0.0151308j 0.022471+0.0018946j -0.00939202+0.00430883j -0.00570666-0.00414236j 0.011178+0.0165072j 0.00593686+0.00950369j 0.00300335-0.00585651j -0.0244103-0.00687874j -0.00290567-0.000707221j 0.0152594+0.00396259j 0.00254752+0.0140571j 0.00345195-0.00276082j 0.00955415-0.0185982j 0.00821227-0.00608599j 0.00626546-0.0214021j -0.00940536+0.0160162j 
-0.0480817-0.00294018j -0.025514+0.00822527j 0.0239256+0.00586167j 0.0125685+0.000298923j 0.00532937+0.00874358j -0.00435131+0.0101843j 0.0221285-0.0131394j 0.0139036+0.00525054j -0.0185174-0.062548j 0.00224616-0.00575119j -0.00839857-0.00990274j -0.0243808-0.00163957j 0.0220146-0.00305811j -0.0226976+0.0287391j 0.018336+0.00190802j 0.0105682-0.0313824j 0.00879291-0.00667145j -0.00735761-0.00257567j 
-0.0359028-0.0324087j -0.0152323+0.0187425j 0.0382239+0.00642116j -0.0161616+0.0122378j -0.0193644-0.00185338j 0.0155783+0.00928288j 0.00271626+0.00410164j 0.0151602+0.0322119j -0.0069293+0.00245326j -0.0284435-0.0375263j -0.000580413+0.00436748j 0.0149863-0.016126j 0.00792288+0.0293288j 0.022375-0.0417058j 0.00807284-0.0182328j 0.0172281-0.0299646j 0.018485-0.025059j -0.0123666+0.0356823j 
-0.00820984-0.00593736j -0.00472518+0.00140552j 0.0265481+0.00321665j 0.0114986-0.0232741j 0.0303984-0.0135691j -0.00474091+0.00787067j -0.00869784-0.011361j -0.00149036+0.00803805j -0.0017382-0.0147993j 0.00708325+0.00458692j 0.00349447+0.0599756j -0.0231839+0.000116983j 0.00513956-0.00510219j -0.00865659+0.00868717j 0.0101234+0.0087847j 0.000531574-0.0200928j 0.00374807+0.00301501j -0.00387378-0.0113385j 
-0.00442725+9.41468e-05j 0.0123853+0.0113017j -0.000760314+0.0258539j 0.00199427+0.000780199j -0.0127895+0.00719151j 0.00961687-0.0103635j -0.0126536+0.0116073j -0.0107372-0.000978645j 0.0119561+0.0132735j -0.0214482-0.00523444j -0.0049975+0.00320461j 0.00830633-0.0137783j -0.0136981-0.00355745j -0.00193001+0.00542675j -0.00809778-0.0167927j 1.9532e-05+0.0219135j 0.00418504-0.00594036j -0.00199561+0.000630862j 
-0.00281879+0.00871432j 0.0187692-0.00944337j 0.0241533+0.0175411j -0.0036636-0.00296602j 0.00907445+0.00481291j 0.0109352+0.00178926j 0.00342651-0.00421716j 0.00380053-0.00724267j 0.00231963-0.0143841j -0.00257026-0.0234606j -0.000631085+0.00260708j -0.00702285-0.0114647j 0.0153401-0.0115385j -0.00193007-0.00847207j 0.0151192+0.0134697j -0.00935458-0.0317323j -0.022177+0.00412326j 0.0111647+0.00936348j 
0.0120409-0.0175971j -0.0163881+0.0097883j -0.0271418-0.0083535j -0.00221719+0.0110934j -0.00225159-0.0103529j 0.00152896-0.0233531j -0.0186071+0.00377539j -0.0164541+0.00129996j -0.0030945+0.0326873j -0.0137588+0.00767755j 0.00208879-0.00397761j 0.00864829+0.0133238j -0.0214485+0.00332576j 0.0163881-0.000765312j -0.0142058-0.00542169j -0.00402564+0.0292407j 0.0123952-0.000647716j -0.00629199-0.00504621j 
-0.0308214-0.0111827j 0.00738434+0.0202886j 0.024488+0.025789j 0.0148736+0.00514013j -0.0177816+0.00662176j -0.00239009+0.00587525j 0.0140653+0.0341408j 0.0136406+0.0260717j 0.00702846-0.00466494j -0.0246985-0.0333478j -0.000598493-0.00258839j 0.0256519-0.00391216j -0.00205365+0.0381484j 0.0149807-0.0402318j 0.00281475-0.020631j 0.0206475-0.0268917j 0.0139545-0.0235715j -0.00671304+0.0398447j 
