-0.350857-0j -0.00539418-0j -0.289442-0j 0.284117-0j -0.258885-0j -0.177247-0j -0.00455987-0j 0.365767-0j -0.00416257-0j -0.179083-0j -0.168841-0j 0.248602-0j 0.165735-0j 0.310634-0j -0.00297388-0j -0.0522327-0j 0.337358-0j 0.102543-0j 0.216359-0j 0.221928-0j 0.136725-0j 0.036579-0j -0.0474466-0j -0.000723736-0j -0.0384361-0j 0.0377289-0j -0.0338975-0j -0.032158-0j -0.000597052-0j 0.0478921-0j -0.000534019-0j -0.000365618-0j -0.0229748-0j 0.0318934-0j -0.0296603-0j 0.0398515-0j -0.0114162-0j 0.0291145-0j -0.000369407-0j -0.00034828-0j 0.0419056-0j -0.0122342-0j 0.0279371-0j 0.0268755-0j 0.0208004-0j -0.000107744-0j 0.0367563-0j 0.0172852-0j 0.0160122-0j 0.0192008-0j 0.00899118-0j 0.00201996-0j 
-0.0167371-0j -0.000257321-0j -0.0138074-0j 0.0135533-0j 0.0246339-0j -0.00845526-0j -0.000217521-0j 0.0174483-0j 0.000396084-0j -0.00854289-0j 0.0401861-0j 0.0118592-0j -0.0394467-0j 0.0148183-0j 0.000282976-0j -0.00249168-0j -0.0321009-0j 0.00489166-0j -0.0205874-0j 0.0105867-0j 0.00652223-0j 0.00174494-0j -0.00226336-0j -3.45247e-05-0j -0.00183353-0j 0.0017998-0j 0.00322547-0j -0.00153404-0j -2.84814e-05-0j 0.00228462-0j 5.08139e-05-0j -1.74412e-05-0j -0.00109597-0j 0.00152142-0j 0.00282229-0j 0.00190105-0j 0.00434808-0j -0.00277036-0j -1.7622e-05-0j 8.28945e-05-0j 0.00199904-0j 0.00116413-0j -0.00664933-0j 0.00128205-0j -0.00197924-0j -5.13974e-06-0j -0.0034975-0j 0.000824562-0j -0.00152362-0j 0.000915941-0j 0.00042891-0j 9.63591e-05-0j 
0.000211338-0j 0.000228271-0j 0.000174345-0j 0.000176151-0j 0.000155939-0j -0.000751211-0j 0.000192964-0j 0.000112562-0j -0.000531641-0j -0.000325563-0j 0.000101701-0j -0.000465186-0j 0.000102755-0j -0.00019188-0j 0.000125849-0j 3.14621e-05-0j 0.00010382-0j 6.35764e-05-0j 3.31709e-05-0j 4.54212e-05-0j 1.67573e-05-0j 3.19966e-06-0j -0.00411277-0j -0.00440746-0j -0.00333173-0j -0.00336625-0j -0.00293831-0j 0.00841301-0j -0.00363597-0j -0.00212098-0j -0.00325211-0j 0.0156666-0j -0.0019915-0j -0.0028456-0j 0.00775958-0j -0.00117375-0j -0.000989586-0j 0.00783999-0j 0.00678963-0j -0.00212098-0j 0.00560116-0j -0.00106049-0j -0.00123724-0j 0.0017896-0j -0.00185586-0j -0.000656146-0j -0.00108259-0j -0.000765503-0j -0.000282419-0j -0.000423628-0j -0.000132089-0j -2.2243e-05-0j 
-0.0102493-0j -0.0110705-0j 0.0250945-0j -0.00854289-0j -0.00756262-0j -0.00517777-0j 0.0277746-0j -0.00545899-0j -0.00854289-0j -0.00489845-0j 0.0146385-0j 0.0221853-0j -0.00498335-0j -0.00308329-0j -0.00571486-0j -0.0493782-0j 0.0149434-0j -0.0391973-0j -0.0016087-0j -0.0020626-0j 0.00241199-0j -0.000155175-0j -0.00138602-0j -0.00148533-0j 0.00333239-0j -0.00113444-0j -0.000990221-0j -0.000939406-0j 0.0036367-0j -0.000714779-0j -0.00109597-0j -0.000750362-0j -0.000628426-0j 0.00284617-0j 0.00257153-0j -0.000395558-0j -0.000333494-0j -0.000875422-0j -0.000709883-0j 0.00212141-0j 0.00185623-0j -0.00454342-0j -0.000416955-0j -0.000199829-0j -0.000585623-0j -0.00715588-0j 0.0010828-0j -0.00327962-0j -9.51763e-05-0j -0.000133677-0j 0.000132116-0j -7.49599e-06-0j 
0.0146449-0j -0.015368-0j -0.0118877-0j -0.0122017-0j 0.010806-0j 0.00739836-0j 0.0127827-0j 0.0071435-0j -0.0118592-0j -0.0221853-0j -0.00693447-0j 0.0105052-0j -0.00711767-0j 0.0210355-0j 0.025146-0j -0.0151216-0j -0.00648298-0j 0.0218072-0j 0.0243127-0j -0.0446032-0j -0.0209356-0j 0.00879026-0j 0.00198044-0j -0.00206193-0j -0.00157861-0j -0.00162031-0j 0.0014149-0j 0.00134229-0j 0.00167372-0j 0.000935343-0j -0.00152142-0j -0.00104165-0j -0.00284617-0j 0.00134773-0j -0.00121817-0j 0.00269866-0j 0.00047652-0j -0.00125036-0j 0.00312356-0j 0.000976334-0j -0.000805297-0j -0.00252874-0j 0.000545617-0j 0.00302005-0j 0.00265124-0j 0.00212904-0j -0.00244913-0j -0.00167167-0j 0.00249181-0j -0.00640366-0j -0.00175315-0j 0.00057004-0j 
0.00295873-0j 4.54883e-05-0j 0.00244082-0j -0.00239591-0j -0.0043547-0j 0.00149469-0j 3.84527e-05-0j -0.00308446-0j -7.00184e-05-0j 0.00151018-0j -0.00710397-0j -0.00209642-0j 0.00697326-0j -0.00261953-0j -5.00236e-05-0j 0.00044047-0j 0.00567469-0j -0.000864731-0j 0.00363936-0j -0.00187148-0j -0.00115298-0j -0.000308466-0j -0.0189262-0j -0.000288695-0j -0.015332-0j 0.0150499-0j 0.0269713-0j -0.0128277-0j -0.000238161-0j 0.0191039-0j 0.000424906-0j -0.000145843-0j -0.00916452-0j 0.0127221-0j 0.0235999-0j 0.0158966-0j 0.0363586-0j -0.0231657-0j -0.000147355-0j 0.000693163-0j 0.0167159-0j 0.00973447-0j -0.0556016-0j 0.0107205-0j -0.0165504-0j -4.29784e-05-0j -0.029246-0j 0.00689498-0j -0.0127405-0j 0.00765909-0j 0.00358654-0j 0.000805753-0j 
0.00181184-0j 0.00195701-0j -0.00443613-0j 0.00151018-0j 0.00133689-0j 0.000915309-0j -0.00490989-0j 0.000965022-0j 0.00151018-0j 0.000865931-0j -0.00258774-0j -0.00392184-0j 0.00088094-0j 0.000545054-0j 0.00101025-0j 0.00872891-0j -0.00264165-0j 0.00692916-0j 0.000284381-0j 0.00036462-0j -0.000426384-0j 2.74313e-05-0j -0.0115899-0j -0.0124203-0j 0.0278654-0j -0.00948618-0j -0.00828022-0j -0.0078553-0j 0.03041-0j -0.00597698-0j -0.00916452-0j -0.00627452-0j -0.00525489-0j 0.0237996-0j 0.0215031-0j -0.00330765-0j -0.00278867-0j -0.00732027-0j -0.00593603-0j 0.0177392-0j 0.0155218-0j -0.0379921-0j -0.00348657-0j -0.00167096-0j -0.00489697-0j -0.0598374-0j 0.00905437-0j -0.0274241-0j -0.000795863-0j -0.00111781-0j 0.00110475-0j -6.26814e-05-0j 
-0.00604073-0j 0.0192027-0j -0.00498335-0j -0.0240405-0j -0.00445724-0j -0.00305167-0j 0.0162326-0j -0.00374372-0j 0.0148183-0j -0.00308329-0j -0.00290695-0j -0.0210355-0j -0.0140236-0j 0.0256295-0j 0.0105867-0j -0.000899293-0j -0.00345295-0j -0.00867669-0j 0.0177223-0j 0.0183106-0j -0.0155175-0j -0.0544084-0j -0.000816891-0j 0.00257642-0j -0.000661757-0j -0.00319243-0j -0.000583615-0j -0.000553666-0j 0.00212544-0j -0.000490188-0j 0.00190105-0j 0.00130156-0j -0.000395558-0j -0.00269866-0j -0.000510663-0j 0.00328802-0j -0.000196554-0j -0.00246353-0j 0.00131505-0j 0.00123984-0j -0.000428915-0j -0.000210638-0j -0.000285943-0j 0.00220141-0j -0.00176003-0j 0.000383556-0j 0.00303265-0j -0.000176918-0j -0.00181731-0j 0.00157276-0j -0.00542619-0j -0.00578594-0j 
-0.000246561-0j -3.79069e-06-0j -0.000203402-0j 0.00019966-0j 0.000362892-0j -0.000124558-0j -3.20439e-06-0j 0.000257038-0j 5.83487e-06-0j -0.000125849-0j 0.000591997-0j 0.000174702-0j -0.000581105-0j 0.000218294-0j 4.16863e-06-0j -3.67058e-05-0j -0.000472891-0j 7.20609e-05-0j -0.00030328-0j 0.000155957-0j 9.60815e-05-0j 2.57055e-05-0j 0.00479824-0j 7.31909e-05-0j 0.00388702-0j -0.0038155-0j -0.00683787-0j 0.00325211-0j 6.03794e-05-0j -0.0048433-0j -0.000107724-0j 3.69747e-05-0j 0.00232342-0j -0.00322535-0j -0.00598313-0j -0.00403016-0j -0.00921776-0j 0.00587305-0j 3.73579e-05-0j -0.000175733-0j -0.00423788-0j -0.00246792-0j 0.0140963-0j -0.0027179-0j 0.00419591-0j 1.0896e-05-0j 0.00741456-0j -0.00174804-0j 0.00323002-0j -0.00194176-0j -0.000909271-0j -0.000204277-0j 
-0.00258889-0j 0.00271671-0j 0.00210146-0j 0.00215698-0j -0.00191025-0j -0.00130786-0j -0.00225968-0j -0.0012628-0j 0.00209642-0j 0.00392184-0j 0.00122585-0j -0.00185708-0j 0.00125824-0j -0.00371858-0j -0.00444522-0j 0.00267315-0j 0.00114604-0j -0.00385501-0j -0.00429791-0j 0.00788481-0j 0.00370093-0j -0.00155391-0j 0.0165604-0j -0.0172418-0j -0.0132003-0j -0.013549-0j 0.0118313-0j 0.0112242-0j 0.0139956-0j 0.00782133-0j -0.0127221-0j -0.00871024-0j -0.0237996-0j 0.0112697-0j -0.0101864-0j 0.0225661-0j 0.00398465-0j -0.0104555-0j 0.0261192-0j 0.0081641-0j -0.00673388-0j -0.0211453-0j 0.00456244-0j 0.0252536-0j 0.0221696-0j 0.017803-0j -0.0204796-0j -0.0139785-0j 0.0208364-0j -0.0535473-0j -0.0146598-0j 0.00476667-0j 
-0.000150987-0j -0.000163084-0j 0.000369677-0j -0.000125849-0j -0.000111408-0j -7.62758e-05-0j 0.000409158-0j -8.04185e-05-0j -0.000125849-0j -7.21609e-05-0j 0.000215645-0j 0.00032682-0j -7.34117e-05-0j -4.54212e-05-0j -8.41878e-05-0j -0.000727409-0j 0.000220138-0j -0.00057743-0j -2.36985e-05-0j -3.0385e-05-0j 3.5532e-05-0j -2.28595e-06-0j 0.00293831-0j 0.00314884-0j -0.00706454-0j 0.00240497-0j 0.00209923-0j 0.0019915-0j -0.00770965-0j 0.0015153-0j 0.00232342-0j 0.00159074-0j 0.00133224-0j -0.00603376-0j -0.00545155-0j 0.000838567-0j 0.000706994-0j 0.00185586-0j 0.00150492-0j -0.0044973-0j -0.00393513-0j 0.00963188-0j 0.000883927-0j 0.000423628-0j 0.0012415-0j 0.0151702-0j -0.00229549-0j 0.00695266-0j 0.00020177-0j 0.000283391-0j -0.00028008-0j 1.58912e-05-0j 
0.00106786-0j -0.00339459-0j 0.00088094-0j 0.0042498-0j 0.000787937-0j 0.000539463-0j -0.00286955-0j 0.000661802-0j -0.00261953-0j 0.000545054-0j 0.000513882-0j 0.00371858-0j 0.00247905-0j -0.00453069-0j -0.00187148-0j 0.000158974-0j 0.0006104-0j 0.00153384-0j -0.00313288-0j -0.00323688-0j 0.00274314-0j 0.00961814-0j -0.00683083-0j 0.021544-0j -0.0055336-0j -0.026695-0j -0.00488018-0j -0.00462975-0j 0.0177729-0j -0.00409895-0j 0.0158966-0j 0.0108836-0j -0.00330765-0j -0.0225661-0j -0.00427016-0j 0.0274944-0j -0.00164358-0j -0.0206-0j 0.0109964-0j 0.0103675-0j -0.00358658-0j -0.00176135-0j -0.00239105-0j 0.0184081-0j -0.0147173-0j 0.00320729-0j 0.0253589-0j -0.00147939-0j -0.0151963-0j 0.0131514-0j -0.0453737-0j -0.048382-0j 
0.00021574-0j -0.000226393-0j -0.000175122-0j -0.000179748-0j 0.000159187-0j 0.000108988-0j 0.000188307-0j 0.000105234-0j -0.000174702-0j -0.00032682-0j -0.000102154-0j 0.000154757-0j -0.000104853-0j 0.000309882-0j 0.000370435-0j -0.000222762-0j -9.55033e-05-0j 0.000321251-0j 0.000358159-0j -0.000657068-0j -0.000308411-0j 0.000129493-0j -0.00419846-0j 0.0043712-0j 0.00334658-0j 0.00343499-0j -0.00299952-0j -0.0028456-0j -0.00354821-0j -0.00198289-0j 0.00322535-0j 0.00220825-0j 0.00603376-0j -0.00285712-0j 0.00258248-0j -0.00572104-0j -0.0010102-0j 0.00265071-0j -0.00662182-0j -0.00206979-0j 0.0017072-0j 0.00536083-0j -0.00115669-0j -0.00640238-0j -0.00562051-0j -0.00451348-0j 0.00519205-0j 0.00354387-0j -0.00528253-0j 0.0135755-0j 0.0037166-0j -0.00120846-0j 
-8.89884e-05-0j 0.000282883-0j -7.34117e-05-0j -0.00035415-0j -6.56614e-05-0j -4.49553e-05-0j 0.000239129-0j -5.51502e-05-0j 0.000218294-0j -4.54212e-05-0j -4.28235e-05-0j -0.000309882-0j -0.000206588-0j 0.000377557-0j 0.000155957-0j -1.32478e-05-0j -5.08667e-05-0j -0.00012782-0j 0.000261074-0j 0.00026974-0j -0.000228595-0j -0.000801511-0j 0.00173178-0j -0.00546192-0j 0.0014029-0j 0.00676782-0j 0.00123724-0j 0.00117375-0j -0.00450585-0j 0.00103918-0j -0.00403016-0j -0.00275926-0j 0.000838567-0j 0.00572104-0j 0.00108259-0j -0.00697048-0j 0.000416687-0j 0.00522257-0j -0.00278785-0j -0.00262841-0j 0.000909282-0j 0.000446544-0j 0.000606188-0j -0.0046669-0j 0.00373119-0j -0.000813124-0j -0.00642909-0j 0.00037506-0j 0.00385261-0j -0.00333419-0j 0.0115033-0j 0.012266-0j 
0.0110428-0j 0.0119276-0j 0.00910986-0j 0.00920426-0j -0.0330347-0j 0.00557863-0j -0.0408783-0j -0.0238457-0j 0.00920426-0j 0.00563644-0j 0.00531408-0j 0.00805373-0j 0.00536915-0j 0.00332199-0j 0.00657584-0j 0.00164396-0j 0.00542479-0j 0.00332199-0j 0.00173325-0j 0.00237335-0j 0.000875605-0j 0.000167189-0j 0.00149332-0j 0.00160032-0j 0.00120973-0j 0.00122227-0j 0.00106688-0j -0.00410347-0j 0.0013202-0j 0.000770117-0j -0.00478738-0j 0.000808454-0j -0.00293166-0j -0.00418896-0j 0.000933522-0j -0.00172786-0j 0.000359313-0j 0.000943196-0j 0.000816832-0j 0.000770117-0j 0.000673852-0j 0.000385058-0j 0.000449235-0j 0.000215299-0j 0.000673852-0j 0.000238243-0j 0.00039308-0j 0.00027795-0j 0.000102545-0j 0.000153817-0j 4.79609e-05-0j 8.07632e-06-0j 
-0.00184047-0j -0.00198793-0j -0.00151831-0j -0.00153404-0j 0.00550578-0j -0.000929771-0j 0.00681305-0j 0.00397428-0j -0.00153404-0j -0.000939406-0j -0.000885681-0j -0.00134229-0j -0.000894859-0j -0.000553666-0j -0.00109597-0j -0.000273993-0j -0.000904132-0j -0.000553666-0j -0.000288875-0j -0.000395558-0j -0.000145934-0j -2.78648e-05-0j 0.011773-0j 0.0126166-0j 0.00953723-0j 0.00963606-0j 0.00841104-0j -0.0323508-0j 0.0104081-0j 0.00607141-0j -0.0377425-0j 0.00637365-0j -0.0231125-0j -0.0330247-0j 0.00735966-0j -0.013622-0j 0.00283274-0j 0.00743593-0j 0.0064397-0j 0.00607141-0j 0.00531249-0j 0.00303571-0j 0.00354166-0j 0.00169736-0j 0.00531249-0j 0.00187825-0j 0.00309895-0j 0.00219129-0j 0.000808437-0j 0.00121266-0j 0.000378112-0j 6.36717e-05-0j 
-0.0124742-0j -0.000191782-0j -0.0102907-0j 0.0101013-0j -0.00920426-0j 0.0443402-0j -0.000162119-0j 0.0130043-0j 0.000446659-0j 0.0192163-0j -0.0060029-0j -0.0266759-0j 0.00589244-0j -0.0333322-0j -0.000105732-0j -0.00185705-0j 0.0119942-0j 0.00364576-0j 0.0076923-0j 0.0078903-0j 0.00486103-0j 0.00130051-0j -0.00168689-0j -2.57313e-05-0j -0.00136654-0j 0.00134139-0j -0.00120517-0j 0.00345067-0j -2.12273e-05-0j 0.00170273-0j -1.89862e-05-0j 9.14633e-05-0j -0.000816832-0j 0.00113392-0j 0.00318266-0j 0.00141686-0j -0.000405887-0j -0.0031241-0j 3.96387e-05-0j -1.23826e-05-0j -0.00449663-0j -0.00043497-0j 0.00099326-0j -0.00288384-0j 0.000739527-0j -3.83066e-06-0j 0.00130681-0j 0.000614548-0j 0.00056929-0j 0.000682653-0j 0.000319667-0j 7.18166e-05-0j 
-0.00112705-0j -0.00121736-0j -0.000929771-0j -0.000939406-0j 0.00337159-0j -0.000569366-0j 0.00417213-0j 0.00243374-0j -0.000939406-0j -0.000575266-0j -0.000542366-0j -0.00082198-0j -0.000547987-0j -0.00033905-0j -0.000671144-0j -0.000167786-0j -0.000553666-0j -0.00033905-0j -0.000176899-0j -0.000242229-0j -8.9366e-05-0j -1.70636e-05-0j -0.000152412-0j -0.000163332-0j -0.000123468-0j -0.000124747-0j -0.000108888-0j 0.000418809-0j -0.000134742-0j -7.85997e-05-0j 0.00048861-0j -8.25125e-05-0j 0.000299211-0j 0.000427534-0j -9.52772e-05-0j 0.000176349-0j -3.66722e-05-0j -9.62646e-05-0j -8.33676e-05-0j -7.85997e-05-0j -6.87747e-05-0j -3.92998e-05-0j -4.58498e-05-0j -2.19739e-05-0j -6.87747e-05-0j -2.43155e-05-0j -4.01186e-05-0j -2.83681e-05-0j -1.04659e-05-0j -1.56989e-05-0j -4.89499e-06-0j -8.24286e-07-0j 
