-0.0594428-0j -0.0600588-0j -0.007001-0j -0.00866329-0j -0.00505359-0j -0.00428452-0j -0.000618418-0j -0.00499861-0j -0.00306101-0j -0.000721487-0j -0.000441819-0j -0.00437379-0j -0.000631302-0j -0.00180409-0j -0.000260399-0j 0.448012-0j -0.000552782-0j -4.60652e-05-0j 0.506083-0j 0.413215-0j -0.000624434-0j 0.417497-0j -5.20362e-05-0j -0.000509848-0j 0.361563-0j -0.000515132-0j -4.24874e-05-0j 0.298275-0j -0.000446117-0j 0.0953001-0j -4.29276e-05-0j -0.000368028-0j -3.71764e-05-0j -3.0669e-05-0j -0.000117587-0j -9.79889e-06-0j 
0.00535677-0j -0.00540804-0j -0.0296716-0j 0.0352633-0j -0.0189249-0j 0.000386106-0j -0.00529768-0j -0.000432626-0j 0.000275848-0j 0.00593596-0j -0.00378484-0j -0.000393841-0j 0.00540381-0j 0.000762172-0j -0.0104576-0j 0.000281795-0j -0.0023428-0j -0.000594002-0j -0.000305721-0j 0.000259908-0j 0.00254171-0j -0.000262396-0j 0.000644435-0j -0.00216083-0j -0.000218417-0j 0.00218152-0j -0.000547866-0j 0.000165773-0j 0.00181589-0j 0.000624248-0j 0.00055311-0j -0.00137821-0j 0.000460407-0j -0.000349436-0j -0.0051899-0j -0.00131587-0j 
0.0041629-0j -0.00437379-0j -0.000509848-0j 0.000606708-0j -0.000368028-0j 0.0296797-0j -4.50363e-05-0j 0.0346263-0j -0.061986-0j -5.25424e-05-0j 9.40585e-05-0j -0.029136-0j 4.42113e-05-0j 0.0124973-0j -1.89636e-05-0j 0.0326265-0j 0.00382922-0j -3.3547e-06-0j 0.0368556-0j -0.0289383-0j 0.00432556-0j 0.0304043-0j -3.78954e-06-0j -0.00339635-0j -0.0769729-0j 0.00356841-0j 2.97548e-06-0j -0.0208888-0j -0.00903395-0j 0.00694024-0j -3.12621e-06-0j -0.00245162-0j 7.91446e-06-0j 2.14781e-06-0j 0.000814544-0j -7.13605e-07-0j 
0.00437379-0j -0.00441565-0j 0.000515132-0j -0.00061221-0j 0.000328558-0j -0.0299872-0j 4.5503e-05-0j 0.0336002-0j -0.0214239-0j -5.09854e-05-0j 3.25089e-05-0j 0.030588-0j -4.64146e-05-0j -0.0591946-0j 8.98228e-05-0j -0.0329646-0j -0.0038689-0j 3.38947e-06-0j 0.0357634-0j -0.0304043-0j 0.00419739-0j 0.0306953-0j -3.67725e-06-0j -0.00356841-0j 0.0255506-0j 0.00360256-0j 3.12621e-06-0j -0.0193922-0j 0.00299876-0j -0.0730251-0j -3.15613e-06-0j -0.00227598-0j -2.62715e-06-0j 1.99394e-06-0j -0.00857061-0j 7.50854e-06-0j 
-0.000600863-0j 0.000631302-0j -0.00699551-0j 0.00832451-0j -0.00504963-0j 4.50363e-05-0j 0.0287493-0j 5.25424e-05-0j -9.40585e-05-0j 0.0335409-0j -0.060043-0j -4.42113e-05-0j -0.0282227-0j 1.89636e-05-0j 0.0121055-0j -0.00470923-0j -0.000552349-0j 0.00656307-0j -0.00531964-0j 0.00417688-0j -0.000623945-0j -0.00438848-0j 0.00741378-0j 0.00048991-0j 0.0111101-0j -0.000514728-0j -0.00582116-0j 0.00301503-0j 0.00130311-0j -0.00100174-0j 0.00611606-0j 0.000353636-0j -0.0154837-0j -0.00420194-0j -0.000117495-0j 0.00139608-0j 
-0.000520362-0j 0.000546723-0j -0.00299728-0j 0.0035667-0j -0.00216355-0j -0.00745892-0j -0.000535146-0j -0.00870207-0j 0.015578-0j -0.000624337-0j 0.00111765-0j 0.00732228-0j 0.000525343-0j -0.00314074-0j -0.000225335-0j 2.84656e-05-0j 0.0452589-0j -6.00032e-05-0j 3.21553e-05-0j -2.52478e-05-0j 0.0511253-0j 2.65268e-05-0j -6.77809e-05-0j -0.0401427-0j -6.71564e-05-0j 0.0421762-0j 5.32203e-05-0j -1.82248e-05-0j -0.106775-0j 6.05514e-06-0j -5.59164e-05-0j -0.0289765-0j 0.000141561-0j 3.84164e-05-0j 0.00962737-0j -1.27638e-05-0j 
-0.000631302-0j 0.000637344-0j 0.00706801-0j -0.0084-0j 0.00450807-0j -4.5503e-05-0j -0.0290472-0j 5.09854e-05-0j -3.25089e-05-0j 0.032547-0j -0.0207523-0j 4.64146e-05-0j 0.0296292-0j -8.98228e-05-0j -0.0573391-0j 0.00475803-0j 0.000558073-0j -0.00663109-0j -0.00516201-0j 0.00438848-0j -0.000605456-0j -0.00443048-0j 0.00719409-0j 0.000514728-0j -0.00368792-0j -0.000519655-0j -0.00611606-0j 0.00279903-0j -0.000432559-0j 0.0105403-0j 0.0061746-0j 0.0003283-0j 0.00513971-0j -0.0039009-0j 0.00123628-0j -0.0146896-0j 
-0.000546723-0j 0.000551956-0j 0.00302834-0j -0.00359904-0j 0.00193152-0j 0.00753621-0j 0.000540692-0j -0.00844421-0j 0.00538413-0j -0.000605837-0j 0.000386289-0j -0.00768719-0j -0.000551524-0j 0.0148764-0j 0.00106732-0j -2.87606e-05-0j -0.0457279-0j 6.06251e-05-0j 3.12025e-05-0j -2.65268e-05-0j 0.0496104-0j 2.67807e-05-0j -6.57724e-05-0j -0.0421762-0j 2.22921e-05-0j 0.0425799-0j 5.59164e-05-0j -1.69191e-05-0j 0.0354434-0j -6.37121e-05-0j -5.64516e-05-0j -0.0269006-0j -4.69901e-05-0j 3.56642e-05-0j -0.101299-0j 0.0001343-0j 
6.13253e-05-0j -6.44319e-05-0j 0.00107472-0j -0.00127889-0j 0.000775774-0j 0.000437223-0j -0.00899251-0j 0.000510093-0j -0.00091314-0j -0.0104913-0j 0.0187809-0j -0.000429213-0j 0.00882778-0j 0.000184102-0j -0.0037865-0j -3.3547e-06-0j -0.0080717-0j 0.0308234-0j -3.78954e-06-0j 2.97548e-06-0j -0.00911795-0j -3.12621e-06-0j 0.0348188-0j 0.00715925-0j 7.91446e-06-0j -0.00752193-0j -0.0273391-0j 2.14781e-06-0j 0.0190429-0j -7.13605e-07-0j 0.028724-0j 0.00516782-0j -0.0727191-0j -0.0197344-0j -0.00171699-0j 0.0065567-0j 
6.44319e-05-0j -6.50486e-05-0j -0.00108586-0j 0.00129049-0j -0.000692574-0j -0.000441753-0j 0.0090857-0j 0.000494978-0j -0.000315604-0j -0.0101804-0j 0.00649113-0j 0.000450603-0j -0.00926771-0j -0.000872019-0j 0.0179351-0j 3.38947e-06-0j 0.00815534-0j -0.0311429-0j -3.67725e-06-0j 3.12621e-06-0j -0.00884777-0j -3.15613e-06-0j 0.033787-0j 0.00752193-0j -2.62715e-06-0j -0.00759392-0j -0.028724-0j 1.99394e-06-0j -0.00632115-0j 7.50854e-06-0j 0.028999-0j 0.00479758-0j 0.0241386-0j -0.0183206-0j 0.0180662-0j -0.0689895-0j 
-2.7991e-06-0j 2.9409e-06-0j -8.19853e-05-0j 9.75607e-05-0j -5.91801e-05-0j 2.09801e-07-0j 0.00138264-0j 2.44767e-07-0j -4.38169e-07-0j 0.00161308-0j -0.00288765-0j -2.05957e-07-0j -0.00135731-0j 8.83412e-08-0j 0.000582191-0j 1.5312e-07-0j -6.47337e-06-0j -0.0146852-0j 1.72968e-07-0j -1.35811e-07-0j -7.31245e-06-0j 1.42691e-07-0j -0.0165887-0j 5.7416e-06-0j -3.61244e-07-0j -6.03246e-06-0j 0.0130252-0j -9.80338e-08-0j 1.52721e-05-0j 3.25715e-08-0j -0.013685-0j 4.1445e-06-0j 0.0346456-0j 0.00940207-0j -1.377e-06-0j -0.00312381-0j 
-2.9409e-06-0j 2.96905e-06-0j 8.28349e-05-0j -9.84454e-05-0j 5.28332e-05-0j -2.11975e-07-0j -0.00139697-0j 2.37514e-07-0j -1.51442e-07-0j 0.00156528-0j -0.000998042-0j 2.16221e-07-0j 0.00142495-0j -4.18437e-07-0j -0.00275761-0j -1.54707e-07-0j 6.54045e-06-0j 0.0148374-0j 1.67843e-07-0j -1.42691e-07-0j -7.09576e-06-0j 1.44057e-07-0j -0.0160972-0j 6.03246e-06-0j 1.19913e-07-0j -6.0902e-06-0j 0.013685-0j -9.10104e-08-0j -5.06946e-06-0j -3.42716e-07-0j -0.013816-0j 3.84758e-06-0j -0.0115004-0j 0.00872848-0j 1.44888e-05-0j 0.0328687-0j 
