0.257969-0.112399j -0.103802-0.261712j -0.210946-0.0814948j 0.0519875-0.169108j -0.102085-0.0524763j 0.0857397-0.113068j -0.0738545-0.201007j -0.143182+0.0637957j -0.0149059+0.00752052j 0.0739367-0.181932j -0.0152003+0.0663092j -0.0608261+0.0182424j -0.0826604+0.0103563j 0.075734+0.00425267j -0.0747503+0.0416382j -0.11267-0.158454j -0.0836845+0.0443736j 0.0119721+0.00518153j 0.0394813-0.0825937j 0.113783+0.145375j 0.0377843-0.0136868j 0.121619-0.00561475j -0.110367-0.074389j 0.0848374-0.0701389j 0.0924728-0.0175801j -0.0430667-0.0712599j 0.00597816+0.00575728j 0.0483326+0.00216447j 0.0814167-0.00840517j 0.0324719-0.0273305j -0.0348347-0.00607633j 0.106016-0.0447128j -0.0720856-0.0354157j 0.0288821+0.0813475j 0.0191616-0.0071351j -0.161833+0.0102971j -0.00394764+0.0568303j -0.0814086+0.0890626j -0.0490827+0.0408011j -0.030637+0.00482268j -0.0297884+0.083176j -0.0264016-0.0120895j 0.0337049-0.088957j 0.0309088-0.121239j 0.0133868+0.0309169j -0.0287853-0.00578433j 0.0375732+0.0633355j -0.0822721+0.0194925j -0.0594749+0.129992j 0.0995519+0.056566j -0.00020301+0.0287101j 0.0673179+0.090443j 0.157295-0.0851137j -0.0712011-0.142412j 0.0361402-0.2784j 0.278933+0.0366429j 
2.95442e-05+0.00525165j 0.00448821+0.00186347j 0.00250575+0.00231931j -0.00315464-0.00167948j 0.00140792+0.00233804j -0.000457036+0.000719159j -0.00560381+0.00174331j -0.00314984+0.00242595j -0.000721776+0.00756216j 0.00520629-0.0011219j -0.00410583-0.00111759j -0.00537163+0.000493606j 0.00189201-0.00742284j 0.00914166-0.000256865j -0.000815455+0.00206971j 0.000956033-0.00135328j -0.00468289+0.00602252j 0.00105545-0.00430786j -0.000786767+0.00662899j -0.000695465-0.00629913j 0.00304132+0.00757658j -0.00231582+0.00608481j -0.00590441-0.00856253j -0.00235402-6.2232e-05j -0.00151159+0.00122023j -0.00948837-0.00021653j -0.000383749+0.00171801j -0.000970284-0.00324407j -0.00452989-0.00261047j -0.00574957-0.00800935j 0.00174427-0.00893769j -0.00439905+0.000373311j -0.00668323-0.00122401j -0.000113235+0.00385491j -0.00704433-0.00183576j 0.000224578-0.000689938j -0.00184149+0.00569287j -0.00486994+0.00900592j -0.00773963+0.00442129j -0.00277147-0.00121976j -0.00571738+0.000851041j 0.00271146+0.00382038j 0.00619177+0.00169853j -0.00333139-0.00279979j -0.000662315+0.000886715j -0.00158085+0.00278925j 0.00132451+0.00103649j 0.00226311-0.00173877j 0.0012899+0.0103887j -0.000800328+0.00156963j 0.0055342-0.00352035j -0.00765426-0.00652477j -0.0066353+0.00219465j -0.00815189-0.00124948j 0.00175281-0.00716054j 0.00880577+0.00183546j 
0.00614855-0.00139656j -0.00125774-0.00681578j -0.000788131-0.00187895j 0.00361829-0.000721429j -0.00556864-0.000661116j -0.00204082-0.000613917j -0.000977017-0.00141756j -0.00504341+0.00624891j -0.00360847-0.00484226j 0.000599459+0.00413352j 0.0034037-0.00188937j -0.00254724+0.000202446j -0.00101159-0.00196684j -0.00399759+0.00147445j -0.00204269-0.00410815j 0.00110014-0.00463218j 0.00204706-0.000709041j -0.00019853-0.00122723j 4.52696e-05-0.00250581j 0.00577398+0.00271287j -0.00229827+0.000979132j 0.00148085+0.00475559j -0.00525149-0.00191268j -0.00270745-0.00176685j -0.00471671-0.0039294j 0.00377879+9.75918e-05j -0.00308469+0.000929591j 0.00455141-0.00123219j -0.00512186+0.00496745j 0.00176531+0.00238505j -0.00689559+0.00116548j -0.00634024-0.0004544j -0.00304911+0.0029068j 0.000553582+0.0109476j -0.00123879+0.00303074j -0.00527858+0.00584416j -0.00441185-0.0026941j -0.00339128+0.00512912j -0.00334151+0.00417474j -0.00878974+0.000282028j -0.00466907-0.00131464j -0.00143128+0.00397667j 0.00153626+0.000732583j 0.00190156+0.00193485j 0.00444667-0.00408482j -0.00610048+0.00554219j 0.00217362+0.00797433j 0.00211712-0.000178204j -0.0100825+0.00429377j -0.000596047-0.000180975j 0.00359976+0.00624748j -0.000302807+0.00301711j 0.000454912-0.00163302j -0.00222187-0.0029563j -0.00337022-0.00273538j 0.00268329-0.00289008j 
0.000765315-0.000264474j 0.000452014-0.00053864j 0.000881542+0.00103146j -0.00276782-0.000928426j 0.00176654+0.00100704j 0.00146414-0.000130692j 0.00154492+0.000136375j -0.000824972+0.00141066j -0.00137068-5.50609e-05j 0.000485424+0.00101322j 0.00123727-0.000251442j 0.00113106-0.000986002j 0.000773463-0.00175882j 0.00291404-0.00282926j -0.000478497-0.000259495j -0.00371272+0.00022097j 0.000104263-0.00231845j -0.00321848-0.00254036j 0.00263195+0.00254516j -0.00267776-0.00514108j 0.00489051-0.000763664j -0.000358306+0.00388661j 0.00145971-0.00293587j -0.00216368+0.00152658j -0.00119298+0.000441212j -0.00686291-0.00300812j 0.00338423-0.00220919j -0.00325126+0.00282348j 0.00205838-0.00415758j 0.00202413-0.00118072j 0.00596886+0.000629161j -0.00251046-0.000479169j 0.000190361-0.00444905j -0.00190933+0.000378435j -0.00077177-0.00351173j -0.000822463-0.00302344j 0.00635855+0.0022957j -0.002969-0.00123849j 0.00129987+0.00263826j -0.00193949+0.00650061j 7.41538e-05+0.00113855j -0.00314447-0.000987536j 0.00172296-0.0011774j 0.0028659-0.00261741j -0.00173759-0.000385074j -0.000273763+0.00126421j -0.000923548-0.00167243j 0.00102817-0.00167071j 0.00240236+0.00418966j 0.00185225+0.000364623j -0.00157492-0.00294813j -0.00453696+0.00444904j 0.00235865+0.00252483j -0.0031274+0.00184849j -0.00130783-0.00033601j 0.000482794-0.00203777j 
-0.00312057-0.000274159j 0.000130425+0.00349494j 0.00208175+8.94393e-05j -0.00163061+0.000527118j 0.000729235+0.00175741j 0.00150743+0.000754311j -0.0014076+0.000413947j 0.000640464+0.000634617j -0.000247786+0.00169164j -0.00115445+0.0013263j -0.000163583+0.000930669j 0.00195781-0.00308986j 0.000289678-0.00172719j 0.00124331-0.00202901j -0.00173148+0.00117917j -0.000730255+0.000353182j -0.0011949+0.00135683j -6.75896e-05+0.000350493j -0.00110359+0.00160059j -0.00394147-0.00187682j -0.00201736+0.00503187j 0.00260746-0.000380542j 0.003594-0.00102806j -0.00683575+0.00215874j -3.93997e-05+0.0032684j -0.00324106-3.35444e-05j -0.00186841-0.000479254j 0.000194675-0.00177915j 0.00419995-0.00257447j -9.2613e-05-0.00248987j 0.00402236+0.00180983j 0.00374355-0.000535204j -0.0027016-0.00395545j -0.000312522-0.000963249j -0.00188799-0.00216891j 0.000160434+0.0033267j 0.000840104+6.99318e-05j -0.00331913-0.00152078j -0.000464934-0.00464544j 0.00200793+0.00685674j -0.000631172-0.000841113j -0.00117116+0.000562792j 0.00142704-0.000714903j -0.00415919-0.000816276j -0.00357371+0.00090237j 0.00318904-0.000111341j -0.00585529-0.0005547j 0.00092818-0.00133591j 0.00573034+0.00166189j -0.00124639+0.00287743j -0.00302502-0.00290941j -0.0110266+0.00147945j 0.00117438+0.00328417j -0.00447019+0.00258757j 0.000899051+0.00234567j -0.00180354+3.64538e-05j 
-0.0047733-0.000119639j -0.000337319+0.00539967j 0.00252789-0.000509817j -0.000136212+0.00232487j 0.0026148+0.00141423j 0.00161187+0.00267645j 0.00233029+0.00176057j 0.00395268-0.000871378j 0.00182546+0.0030072j -0.000185662-0.000178405j -0.00626147+0.00163633j 0.00151795+0.000156713j -0.000147302+0.0014409j 0.00213908-0.000260309j 0.00415056-1.06817e-05j -0.000603828+0.00169104j 0.000763966-0.00197558j 8.07457e-05+0.000828515j 0.00162815+0.00182578j -0.00273992+0.00142621j -0.000248134-0.00345596j -0.00272847-0.00492613j 0.00301536+0.00382108j 0.00618791-0.000606745j 0.00215961+0.00462119j 0.000781436-0.00573303j 0.00451912-0.00156399j -0.00258659+0.00333727j 0.00381168+0.00252674j 0.00140107+0.00351252j 0.00440173+0.00322709j 0.00203812-0.0010209j 0.00681541+0.00144188j 0.00135479-0.00800284j 0.00465616-0.00168605j 0.000282815-0.00343165j 0.00232436+0.00168793j 0.00406652-0.00265201j 0.00934583+0.0014247j 0.00367647-0.000113206j 0.00230167-0.000527494j -0.000535586-0.00304046j -0.00378578+0.00117615j 0.00091675-0.0003319j -0.00291792+0.00470296j 0.00364499-0.00618922j 0.00212434-0.0037928j -0.00341854+0.0043357j 0.00667595-0.00766928j 0.000603264+0.00127787j -0.00295212-0.00423608j 0.00125789+0.0077555j 0.000531388-0.00133314j 0.00182119+0.00577743j 0.000149632+0.00195842j -0.00247562-0.000618072j 
0.000359826+0.00136307j 0.00118371-0.000470497j -2.61121e-05+0.00153118j -0.000894884+0.00039845j -0.00102291-0.00106536j -0.00327525+0.000715394j 0.00127687+0.000125158j -0.00278077+0.00396863j 0.00102064-0.00148629j 0.000973283+0.00148852j -0.000677524-0.000948463j -0.00141037+0.00169512j -0.00152511-0.00109975j -0.000586458+0.00185322j 0.00245157-0.00201948j -0.00248064-0.00145533j -0.000635462-0.00193993j 0.000992204-0.00215392j 0.00172849+0.00128386j 0.00129812+0.00077831j 0.000775835+0.000372932j -0.00375628+0.0022517j -0.000602724-0.00256931j 0.00317076+9.02645e-05j 0.00225206-0.000122794j -0.0024172-0.00325838j 0.00166659-0.000812039j 0.000970918+0.00125313j 0.00111746-0.00161226j 0.0017944-0.00181663j 0.00095494-0.00266696j -0.00584181-0.00106293j -0.000954526+0.000202712j -0.000119272+0.00145452j -0.00132947-0.00240901j -0.00186377+0.00106522j 0.00131857+0.00232548j -0.0028516+0.00262012j 0.00100651+0.00144294j -0.0034194+0.00141087j -0.00302034+0.00142454j -0.00149527+0.00117664j 0.00384023+0.0030235j -0.000967259-0.000286156j -0.00228025-0.00116433j -0.00111875+0.00387289j 0.00291697+0.000875649j 0.00211095-0.00141493j -0.00144024+0.00446662j -0.00270022-0.00055354j 0.00349395+0.000797551j -0.00368447-0.00299697j -0.000460655+9.38126e-05j -0.00338488-0.00159199j -0.00070113-0.00170233j 0.00216723-0.000451985j 
0.00239024-0.0014464j -0.00073061-0.00265614j -0.00227708-0.00307994j 0.00148461-0.00103433j 0.00144229-0.00101922j 0.00216441-0.00132571j 0.000502014-0.00265315j -0.0010228-0.00251453j -6.24565e-05+0.000193099j -0.00323477-0.0012711j 0.00278883+0.000934123j 0.00247938-0.00252994j -0.00122797-0.000260475j 0.00158778-0.00582828j -0.00265345+6.58586e-05j 0.00167093+0.00238907j -0.000118094+0.00267883j -0.000145712+0.00489002j -0.0019507-0.000672553j -8.85622e-05+0.00339737j -0.00750534-0.000301879j 0.00539999+0.00411042j -0.00148469+0.00402397j -0.00518282+0.000674238j -0.00325666-1.91973e-05j 0.00238726+0.00403475j -0.00620774-0.00120788j 0.00136346-0.00519726j -0.000427392+0.00282239j -0.00305562+0.001742j -0.00328963+0.00176584j 0.000571311+0.00105441j -0.00187699-0.00106948j -0.00156741+0.00296194j -0.000633446+0.00263422j -0.00332129+0.00483771j 0.00060157-0.00504097j -0.00104475+0.00193393j -0.00355085-0.00473072j 0.000514329+0.00191564j 0.00164914-0.00219128j -0.000560645+0.00311396j 0.00244449-0.00154786j -0.00196758+0.000457301j 0.00266728-0.000732179j -0.00227481+0.000565998j -0.00654776+0.0038076j 0.00394504-0.000744975j -0.00213331-0.00155849j 0.00217604+0.000501218j -0.00609064+0.0037844j 0.00144427+0.00276965j -2.14825e-06-0.0013986j -0.000165391+0.00344695j -4.70064e-05-0.00192702j 0.00129474-0.000245693j 
0.00186153+0.00425077j 0.00340489-0.00290142j -0.005199+0.00467374j -0.00152531-0.00333j -0.0034864+0.000933495j 0.000295148+0.00157549j 0.000486057-1.71095e-05j 0.00431392-0.00059604j -0.00344251-0.00459443j 0.00369803-0.0032785j 0.0042609-0.00340829j -0.00233133-0.000217481j 0.00435567+0.00371843j -0.00222276+0.0115307j -0.00388711+0.00432333j 0.00187544-0.00553344j 0.00511451+0.0014766j 0.00401128-0.00738231j 0.00397225-0.00600531j 0.00452871-0.00922283j 0.0120331+0.0109423j 0.00423426-0.00212252j 0.00442296-0.00634335j -0.00369719-0.0087997j 0.00715762-0.00748253j -0.00828804+0.00256552j 0.00528523+0.00394013j -0.00795996+0.00578677j 0.00521831-0.00507057j 0.00197488+9.7604e-05j 0.00406677+0.00415804j 0.00904924+0.00362376j 0.00369438-0.00577582j -0.00478971-0.00935211j 0.00206243+0.000884215j 0.0119846-0.00257975j 0.0066765+0.00530734j 0.011338-0.011869j 0.0019818-0.00100403j -0.00125131-0.00165397j 0.00603525+0.00482724j 0.00460135-0.00640257j 0.00363138-0.009888j 0.00830896+0.00636241j -0.0056339-6.15919e-05j 0.00380738-0.000192869j 0.00508475-0.00577913j -0.0054227-0.00594012j 0.00124454+0.00471205j 0.00179988+0.000835934j 0.00331421-0.00179755j 0.00554241-0.00475632j 0.00135219-0.00328633j 0.00147975-0.00191081j 0.000321316-0.00294385j 0.00285441+0.0008103j 
0.00434109-0.000707603j -0.000111144-0.00499132j 0.000826813-0.00190336j 0.000228784+0.00326965j 0.000994274-0.00683709j -0.000562187-0.00658906j 8.54555e-05-0.00286183j -0.00287492-0.0027791j -0.00102438+0.000882753j -0.000277579-0.00366857j -0.00139316+0.00269118j -0.00101368-0.00072768j -0.00296336+0.000814662j -0.000781956-0.00656757j -0.000975499-0.0027529j 0.00260698+0.00386197j 0.000788696-0.000787679j -0.00565231+0.00784749j -0.0039194-0.00548783j 0.00306503+0.0137417j -0.00878445-0.0137244j -0.000894884+0.000637511j -0.0108269+0.00618525j 0.00161566+0.00109338j -0.00371987-0.00796416j 0.0130648+0.0119342j -0.00581369-0.00223235j 0.00958741-0.00309064j -0.0115942+0.00579414j -0.00492681+0.00251276j -0.0135389-0.00781212j -0.00502694-0.000702679j -0.00651678+0.00808834j -0.00166423+0.00718212j -0.00152423+0.00622794j -0.00830353+0.00143772j -0.00266865-0.0125537j -0.00324905+0.00399121j -0.00403568-0.0035528j 0.00381355-0.0094785j 0.0022764-0.00348322j -0.00193332+0.00611382j -0.00658685+0.00279706j -0.0016712-0.000294658j 0.00962698-0.000169482j -0.00880026-0.00106053j -0.00407328+0.00719922j 0.00190555+0.00441155j -0.00519403-0.0107401j 0.00163951-0.00637095j -0.003542+0.0104735j 0.0121958-0.00127048j -0.00220454-0.00558574j 0.00472276+0.000265482j 0.00210778-0.00367089j 0.00247215+0.00289537j 
-4.49055e-05+0.00162361j 0.00298728-0.00106813j -0.00464816+0.00420815j -0.00343899-0.00255917j -0.00038432-0.00426349j -0.00255244-0.000926918j 0.00646139+0.000662543j -0.00345412+0.00426206j 0.00107789-0.00810867j -0.00148736+0.00298372j 0.00536073-0.00105998j 0.00202684-0.000776411j 0.000463123+0.00351303j -0.0058441+0.000272254j -0.00165469-0.00196028j -0.00284563-0.00280088j 0.00865919-0.00832405j -0.00104018-0.00324825j 0.00371978-0.00251476j 0.00213489-0.00277976j 0.00495877+0.00434165j -0.00296527+0.00498262j 0.00379187-0.000529802j -0.000504856+0.000824627j 0.00265468-0.00521554j -0.00224337-0.00118109j 0.0023931+0.0032096j -0.00467074+0.00444739j 0.00436147-0.00158555j 0.00350416+0.0044645j 0.00261817+0.00617571j -0.000342379-0.00530562j 0.00117289-0.00049887j -0.0022965-0.00229205j 0.00554197+0.00104368j 0.00308533-0.00191256j 0.00885282+0.00391415j 0.00523303-0.00768313j -0.000441045+0.00169583j -0.00883014+0.00386563j 0.00293226-0.00178787j -0.00271373-0.00303774j 0.00431549-0.00841666j 0.00571952+0.00651j -0.00370354-0.00738425j -0.00561115+0.00364262j 0.00365012+0.00442824j -0.00228811-0.00546984j -0.00467513+0.00531145j -0.00110769-0.000722385j -0.00224359+0.00113467j 0.00505787+0.00668859j -0.00184306-0.00251613j -0.000234197+0.0087238j -1.95351e-05-0.00231985j 0.00117512-0.00031261j 
0.000814027-0.000596692j -0.000495323-0.00117121j -0.00154616+0.000400126j -0.000544832-0.000706914j 0.00102225-0.000667062j 0.00200999-0.00109411j -0.00217527-0.00351394j 0.0014225-0.00305287j -0.00384399-0.00142152j -0.00251489-0.0034934j 0.00559001+0.000945964j 0.000833259-0.00226716j -0.00327043+0.00102913j 0.00343281-0.00329478j -0.00709963+0.00143021j 0.00120275-0.00236213j -0.00705263+0.0100008j 0.004083+0.00339033j -0.00497077-0.00556628j 0.000165337-0.00615365j -0.00549481+0.000453212j 0.00830192+0.00688055j -0.00222354+0.00510402j -0.014304-0.00146061j 0.00135561-0.00251813j -0.00370705+0.00343443j -0.00375846+0.00228552j -0.00233701-0.00759226j -0.00187062+0.0015579j -0.00168678-0.00232329j -0.00373344-0.00231998j 0.00344058+0.00408473j 0.000465838-0.00595626j -0.00554661-0.00169798j -0.00126699+0.00130407j 0.00297298+0.00481329j 0.000565319-0.00460615j 0.00224878-0.00234767j -0.0020883-0.00952991j 0.00603918+0.00407307j 7.89878e-05+0.00258141j 0.0026791+0.0013503j 0.00432795+0.00177362j 0.00299299+0.00206089j -0.00113743+0.00663398j -0.00155242+0.002693j -0.0113821+0.00216543j -0.00132049-0.00843992j 0.00246237+0.00224501j 0.00242915+0.00386583j -0.00680302+0.00222369j -0.00396353-0.00515987j 0.00328454+0.00129188j 5.2633e-05-0.00263736j 0.000672328-0.000408465j 0.000459022+0.000726231j 
-0.000531272-0.000174939j -0.000975557+0.00106561j 0.0030361-0.00101276j 0.00068675+0.00193768j 0.000789405+0.00259382j 0.00271447+0.000767201j -0.00352244-0.000313347j 0.00471071-0.0014577j -0.00378087+0.00360452j 0.00254406-0.00303927j -0.00392269-0.00059124j -0.00065579+0.000304895j -0.00130201-0.000543541j 0.00504118+0.000442011j -0.000306875+0.00197828j 0.00162999-0.00106847j -0.0046818+0.00660971j 0.000683993+0.00231296j -0.00239891-0.000852793j -0.00221178-6.00449e-05j -0.00112903-0.00294852j 0.00503329-0.00170164j -0.00105789+0.00340313j -0.0036516-0.0022497j -0.000773299+0.00205116j 0.0005056+0.000694156j 0.00100055-0.000214068j -0.00151258-0.00221691j 6.90619e-05+0.00157733j -0.00153386+0.000580638j -0.00167316-0.000351076j 0.00601615+0.00521116j 0.00334999-0.00146123j -0.000692617-0.00413215j 0.000438799+0.000459067j 0.000974537-0.00127585j -0.0012139-0.00156419j 0.00355026-0.00171517j 0.00240635-0.00331186j 0.0067192+0.00142689j 0.00140028+0.00244864j 0.001777-0.00108208j -0.00227784-0.00110192j 0.000929994-0.000982098j 7.11905e-05+0.00720757j 0.00392008-0.00468597j -0.0041371-0.00559768j -0.00151183+3.6211e-05j 0.00722121-0.00348229j 0.00299641+0.00227918j -0.00274917-0.00251884j -0.00140972-0.000284601j 0.00293136-0.00059192j 0.000381109-0.00173649j 7.87728e-05-0.000117484j 0.000307676-0.000203056j 
-0.00172014+0.00200312j 0.0012886+0.00211509j 0.000973092+0.0013j -0.000609447+0.00156462j -0.00107272-0.00129583j -0.00273197+0.0010888j 7.9804e-05-0.00165798j -0.00375898+0.000239616j 0.00612313+0.000222076j -0.00219466-0.00415515j -0.00519979+0.00216312j -0.00262767+0.00100056j 0.000896901-0.00118278j -0.000480829+0.00454858j -0.00312406-0.00289233j 0.00789241+0.00291655j 0.00886592-0.00486004j 0.00414642+0.00383979j -0.00197894-0.00557712j 0.00583017-0.00452112j 0.000337932+0.0123483j -0.00415618-0.000352049j -0.00503212-0.00731545j 0.00280415-0.00392934j -0.00269097-0.00552256j 0.00306947+0.0102913j -0.00929976+0.00781904j 0.00352973-0.00131496j -0.00393842-0.00101853j 0.000334099-0.00207923j 0.00109024-0.00746772j 0.000792042-0.0018918j -0.0115075-0.00519144j -3.32562e-05-0.00199181j -0.00895343+0.0052284j 0.00497874+0.00167344j -0.00364648-0.00238384j -0.000167194+0.00186176j -0.0120002-0.00493604j -0.00464633-0.00586875j -0.00244482+0.00106837j -0.00359301+0.00926258j 0.000622313-0.00603577j -0.00628139+0.00266951j 0.00246146-0.00252156j -0.00532408+0.00336709j 0.00238201-0.00965557j 0.00602139-0.00294215j -0.00756401+0.00518182j -0.00110383-0.00143651j 0.0087824+0.0011352j 0.00045995-0.00914934j -0.00430862+0.000764735j -0.00178383-0.00442624j 0.00197743+0.0030169j -0.00206421+0.00268742j 
-9.7333e-05+0.00178895j 0.00162223-0.00079893j -0.00326306+0.00106349j 0.00114242-0.000186531j -0.00682601-0.00303493j -0.00284275-0.000385987j -0.00266295-0.00204914j -0.00466959-0.000751966j 0.00410142-0.000455078j -0.0014129+0.0022801j 0.0129079-5.73509e-06j -0.00100279-0.00164561j 0.00290994+0.00277499j -0.00839635+0.00552617j 6.99896e-06+0.00125506j -0.000643794-0.00471076j -0.00460492+0.00529154j 0.00927392-0.00765955j -0.00205313-0.00188615j 0.00471591-0.00328914j 0.000554526+0.0046351j -0.0016021+0.00305273j 0.00427461-0.00652374j -0.00640215-0.00294792j 0.00738087-0.00573126j -0.00811977+0.000938279j 0.000190273+0.00187981j 0.00163811+0.000777716j -0.00404244-0.00506444j 0.00206135-0.00817849j -0.00319488-0.00657391j -0.00929951-0.00519611j -0.00542688-0.00265145j -0.00228974+0.00537018j -0.00297017-0.00591702j 0.00140574+0.00987283j -0.00729559-0.00354242j -0.00630026+0.00195501j -0.00653447-0.00151992j -0.00785545-0.00808399j -0.00795936-0.000699263j 0.00556585+0.00190794j 0.00431382+0.0114731j -0.00188897+0.00313283j 0.00235247-0.00667871j -0.00612986+0.0106722j 0.0031573+0.013576j 0.00309842-0.00351864j -0.0150791+0.00273756j -0.00722878-0.000534665j 0.0077032+0.00760843j -0.00105746-0.0122975j -0.00423304-3.93971e-05j -0.00131007-0.00624956j 0.000496839+0.00116372j -0.000552631+0.00183198j 
0.00197233-0.000416659j -0.00019069-0.00229158j -0.0030383-0.00402305j 0.00318753-0.0019873j -0.00234364+0.00362787j 0.00444793+0.00214203j -0.00164363-0.00136528j 0.00278993-0.00459197j 0.000922534+0.0045663j -0.000611949+0.000506907j 0.00456488-0.00113208j 0.00282985-0.00439588j 0.00983354-0.00732589j -0.00168294+0.00232803j -0.000281445+0.00783126j 0.00243937+0.00620652j 0.000981005-0.00404597j -0.00142351-0.0042826j 0.00663065+0.00791667j 0.00125419+0.007856j 0.00680181+0.00911267j 0.00715589-0.00126852j 0.00815324-0.0059048j 0.00106662-0.00826717j -0.0054992+0.00345254j -0.000902805+0.00344688j -0.00282904-0.00431257j 0.00459269+0.000892671j 0.0122893-0.00610505j -0.00230833+0.00189313j 0.00480848+0.0105931j -0.000493781-0.00150594j -0.000994524+0.00313204j 0.000553154+0.00775528j -0.00128734-0.00118779j -0.00736693+0.00878241j 0.000965685-0.00162809j -0.000664295-0.00223697j -0.00256359-0.00131658j -0.00141308+0.001518j 0.00687269+0.000247934j 0.00779046+0.000562815j -0.000725342-0.000327862j -0.00799748-0.0021328j -0.00279732-0.00990534j 0.0105427-0.00605607j -0.00499804+0.000259653j 0.0109518+0.00478135j -0.00148413-0.00159868j 0.00223676-0.000777183j -0.00211008+0.00331217j -0.00164211+0.000920242j 0.00125742-0.000309469j -7.36986e-06+0.000387061j -0.00133869-0.00118418j 0.000933676-0.00141081j 
-0.000664889-0.000869674j -0.00172036-0.000107571j -0.001289+0.00133017j 0.00219838-0.00192694j -0.00391547+0.00136801j -0.00430581-0.0010627j -0.00310568+0.00653346j 0.00827378+0.00235062j -0.0126556-0.00348575j -0.00242088+0.00171968j 0.000712772+0.00359363j -0.00980071-0.00129186j 0.00443752-0.00253737j 0.00562549+0.00267041j 0.0121762-0.00021626j -0.00318254-0.00377409j -0.0117576+0.005672j 0.00100282-0.000822863j 0.000504056+0.0111115j -0.00420487+0.00209074j 0.00345113-0.00845778j 0.000384256-0.00774446j 0.00389182+0.00188197j -0.00037016+0.00597048j 0.00630586+0.0145049j 0.000652194-0.0127168j 0.00613085-0.0130695j 0.00353799-0.00344949j -0.00260969+0.00137149j 0.000150537+0.00555493j -0.000345161-0.00522657j -0.00333088-0.00395948j 0.0124764+0.00901792j -0.00558283+0.0101019j 0.00484038-0.00175442j -0.0104429-0.0097158j -0.0128084+0.00926673j -0.00614901+0.0100398j 0.0028311+0.00779741j 0.0120019+0.00656152j 0.00145941-0.0113586j 0.0005272-0.00119866j -0.00348411+0.0147144j 0.00376399-0.00470593j -0.00207423-0.000407552j 0.00355669+0.00121455j -0.000188533+0.00686205j -0.00311216+0.00289931j 0.00269792-0.00245088j -0.0066996-0.00466415j 0.00601936-0.00074787j -0.00384739-0.00365666j -0.00239167+0.000935444j 0.00153463-0.000389163j -0.00167762-0.000422467j 0.000741208-0.00121317j 
4.45537e-05+0.00118927j 0.00112467+0.000899837j 0.000330588-0.00388608j 0.00218643+0.0012447j 0.00172483+0.000263106j 0.00212512+0.000876628j -0.00466898+0.000294053j -0.00148029-0.000474372j 0.0109641+0.0101301j 0.00551065+0.00912802j 0.00683103-0.00195324j 0.00772939+0.000357766j -0.00210027+0.00893831j -0.00819493+6.80116e-05j 0.00305224+0.00561376j -0.00205625-0.00469032j -0.00694632-0.00353778j 0.00375326-0.00803198j -0.00074939-0.00124482j -0.00501657+0.00139861j 0.00223448-0.00731504j -0.00423182-0.00108268j 0.0029269+0.00125338j 0.00414679-0.000493419j 0.00371101-0.00281906j 0.000104912-0.011061j 0.0141341+0.00593723j -0.00594041+0.0106709j 0.00117863-0.00179837j 0.00351733-0.00817084j -0.00310365+0.00132298j -0.00408242+0.000679136j 0.000141918+0.00850483j 0.00876444-0.00587365j 0.0117118-0.00897175j 0.00475951+0.00868615j 0.0047142-0.00694803j -0.00623229-0.00465028j 0.00958518+0.00943655j -0.00651488-0.0124248j -0.00826771+0.0035992j 0.0121802-0.0123057j -0.00907019+0.00510642j -0.0016916+0.00135573j 0.00378711+0.0011032j 0.00308927-0.00193486j 0.00132364+0.0132005j -0.00661305+0.00425594j 0.00347145-0.00732676j -0.00264011-0.000869113j -0.00208205-0.00175469j 0.00369265+0.0034509j -0.00060662-0.00130173j 0.00128919+0.00106087j -0.000338351+0.000491574j -0.00069965-0.000528277j 
-0.000834917-0.00120389j -0.000778478+0.000651957j -0.000385475+0.00218941j -0.00205112-0.00051689j 0.00147486-0.00126052j -0.00145149-0.00357767j -0.00144121-9.59646e-05j -0.00155736+0.00323768j -0.000470613-0.00345656j -0.000404313+0.00336303j 0.0058051+0.000168223j -0.000372426+0.000206795j -0.0058524+0.00394369j 0.00294167-0.00261735j 0.00240231-0.0030833j -0.00405575-0.00611115j -0.0104569+0.00342243j 0.000715321+0.00177292j -0.00348173-0.00263453j -0.00385251-0.0051631j -0.00339091-0.00890191j -0.00271591+0.00459602j -0.00347537+0.00179058j -0.00960268+0.00393942j 0.00330651+0.00190672j -0.00431326-0.00899805j 0.00448754+0.000241703j -0.00305568-0.000523882j -0.00687643+0.000235201j 0.00309061-0.00250874j -0.00122111-0.00716986j -0.00377788-0.000855155j 0.00294516-0.000366712j -0.00194998-0.00137092j 0.00448592-0.00436242j 0.00133709+0.00187205j -0.000916725-0.000899722j -0.00779931+0.000805888j 0.00412049+0.00106292j -0.00121845+0.00503546j -0.00962765-0.00371422j -0.00151554-0.00427057j -0.000236493+0.00740164j 0.00496077+0.00341455j -0.000929922+0.00604094j -0.0073312+0.0062151j -0.00302982+0.00848835j -0.00483377-0.00589378j 0.00150606+0.0021506j -0.00381126+0.00217856j -0.00248007-0.000896801j -0.00431828-7.67301e-05j 0.00061451+0.00155098j -0.00157272+0.00096824j -0.000238451+0.00103443j -0.00099931-0.000471621j 
