-0.00423792-0j -0.000749165-0j -6.24304e-05-0j -0.00370585-0j -0.000617641-0j -0.000378226-0j -7.72051e-05-0j -4.54936e-06-0j -0.00234231-0j -0.00236658-0j -0.000377989-0j -0.000381906-0j -0.000308627-0j -0.000311825-0j -4.45464e-05-0j -3.85783e-05-0j -4.5008e-05-0j -3.89781e-05-0j -4.5465e-06-0j -4.59361e-06-0j -2.07518e-07-0j -2.09669e-07-0j 
9.01105e-06-0j 0.0144037-0j 0.00179926-0j -0.00150883-0j -0.000124841-0j -0.0001538-0j -0.0690604-0j 0.000264076-0j 4.98044e-06-0j 5.03205e-06-0j 0.0146296-0j 0.0147812-0j -6.24211e-05-0j -6.3068e-05-0j 0.00041891-0j 0.00149124-0j 0.000423251-0j 0.00150669-0j -0.0124638-0j -0.0125929-0j 2.01466e-05-0j 2.03554e-05-0j 
-0.00172738-0j -0.000100951-0j 0.0011995-0j 5.25315e-06-0j 0.0239316-0j 5.36147e-07-0j 0.00048402-0j 0.00017605-0j 3.32029e-06-0j 3.3547e-06-0j -5.09343e-05-0j -5.14621e-05-0j -0.000125797-0j -0.0001271-0j -0.0803032-0j -5.19846e-06-0j -0.0811354-0j -5.25233e-06-0j 8.7354e-05-0j 8.82593e-05-0j 1.34311e-05-0j 1.35703e-05-0j 
-5.30981e-07-0j 1.79396e-05-0j 0.0201555-0j 8.89088e-05-0j 1.47901e-05-0j -4.73891e-08-0j -0.000264076-0j -0.0668334-0j -2.93475e-07-0j -2.96517e-07-0j -0.00173318-0j -0.00175114-0j -3.86688e-08-0j -3.90695e-08-0j -0.000152368-0j 9.238e-07-0j -0.000153947-0j 9.33373e-07-0j 0.00146783-0j 0.00148304-0j -0.0159201-0j -0.0160851-0j 
-0.00105412-0j 0.011698-0j -1.5509e-05-0j 6.43376e-06-0j 0.00722521-0j 0.0118819-0j 0.00243672-0j -1.50951e-06-0j 4.06651e-06-0j 4.10865e-06-0j -3.08626e-05-0j -3.11825e-05-0j 0.0146809-0j 0.0148331-0j 0.00105329-0j -0.0569972-0j 0.00106421-0j -0.0575879-0j 0.000215997-0j 0.000218235-0j -8.61601e-08-0j -8.70529e-08-0j 
1.83937e-06-0j -0.000124693-0j 2.70965e-08-0j 1.60844e-06-0j 2.68073e-07-0j 0.0180745-0j -1.28502e-05-0j 1.97455e-09-0j 1.01663e-06-0j 1.02716e-06-0j 1.64058e-07-0j 1.65758e-07-0j -5.13685e-05-0j -5.19008e-05-0j 1.93344e-08-0j 0.00184356-0j 1.95347e-08-0j 0.00186267-0j -7.56729e-07-0j -7.64571e-07-0j 9.00687e-11-0j 9.10021e-11-0j 
0.000124229-0j -0.00208629-0j 0.00796693-0j -7.58226e-07-0j -0.00259071-0j 1.47994e-05-0j 0.020366-0j 0.00239846-0j -4.79243e-07-0j -4.8421e-07-0j 1.10663e-05-0j 1.11809e-05-0j -0.000860558-0j -0.000869476-0j 0.0176994-0j -0.000215997-0j 0.0178828-0j -0.000218235-0j -0.0551883-0j -0.0557602-0j 0.000276421-0j 0.000279286-0j 
-5.30981e-07-0j -0.00256409-0j -0.000106022-0j -4.64317e-07-0j 7.35635e-06-0j -0.00259974-0j 0.0122938-0j -1.55608e-05-0j -2.93475e-07-0j -2.96517e-07-0j 4.502e-06-0j 4.54865e-06-0j 1.11119e-05-0j 1.12271e-05-0j -2.46845e-05-0j 0.025207-0j -2.49403e-05-0j 0.0254682-0j 0.00221875-0j 0.00224174-0j -1.18715e-06-0j -1.19945e-06-0j 
-5.67027e-06-0j -1.67317e-06-0j -0.00379569-0j 3.46081e-08-0j 0.000197633-0j 3.53218e-09-0j 3.292e-05-0j 0.0260137-0j 2.18744e-08-0j 2.2101e-08-0j -8.44193e-07-0j -8.52941e-07-0j -4.12938e-07-0j -4.17217e-07-0j -0.00272136-0j -8.61601e-08-0j -0.00274957-0j -8.70529e-08-0j -0.000276421-0j -0.000279286-0j -0.0533826-0j -0.0539358-0j 
5.41931e-08-0j 0.000350153-0j -0.00205711-0j 4.73891e-08-0j -1.50951e-06-0j 8.75184e-05-0j -0.00515436-0j 0.00682116-0j 2.99527e-08-0j 3.02631e-08-0j -9.238e-07-0j -9.33373e-07-0j -7.54756e-07-0j -7.62578e-07-0j 1.5551e-05-0j -0.00170608-0j 1.57122e-05-0j -0.00172376-0j 0.0286498-0j 0.0289467-0j 0.00162484-0j 0.00164167-0j 
-2.85622e-09-0j -1.37927e-05-0j 0.000550748-0j -2.49763e-09-0j 1.19545e-07-0j 4.87499e-08-0j 0.000339692-0j -0.0057124-0j -1.57865e-09-0j -1.59501e-09-0j 7.31602e-08-0j 7.39183e-08-0j 1.97856e-08-0j 1.99906e-08-0j -2.06052e-06-0j -1.42798e-06-0j -2.08187e-06-0j -1.44277e-06-0j -0.00381513-0j -0.00385467-0j 0.0244182-0j 0.0246713-0j 
7.79099e-11-0j -5.27825e-09-0j -4.22851e-05-0j 6.81284e-11-0j -4.3516e-09-0j 6.95332e-12-0j 1.8227e-07-0j 0.00073536-0j 4.30611e-11-0j 4.35073e-11-0j -2.66313e-09-0j -2.69072e-09-0j 5.6738e-12-0j 5.73259e-12-0j 1.05168e-07-0j -2.71804e-10-0j 1.06257e-07-0j -2.74621e-10-0j -3.07941e-06-0j -3.11133e-06-0j -0.00638382-0j -0.00644998-0j 
