-0.0451135-0j -0.0509611-0j -0.0416095-0j -0.0420407-0j -0.0364084-0j -0.0300354-0j -0.00959644-0j -0.00590699-0j -0.00653784-0j -0.00516862-0j -0.00344574-0j -0.00522218-0j -0.00603005-0j -0.00213195-0j -0.00351753-0j -0.0037309-0j -0.00217636-0j -0.000567757-0j 0.369732-0j -0.000554662-0j 0.403495-0j -0.000605312-0j 0.312546-0j 0.315785-0j -0.000468873-0j 0.285314-0j -0.000473732-0j -0.00042802-0j 0.353058-0j 0.235372-0j 0.205951-0j -0.000529648-0j 0.203838-0j -0.000353099-0j -0.000308961-0j -0.000305792-0j 0.291258-0j 0.145629-0j -0.000436937-0j 0.120138-0j -0.000218469-0j 0.147138-0j -0.000180227-0j 0.0664841-0j -0.000220733-0j -9.97376e-05-0j 0.0146584-0j -2.19901e-05-0j 
0.0023208-0j -0.00254699-0j 0.00214055-0j -0.00216185-0j -0.00181966-0j 0.00141505-0j 0.00522163-0j 0.000303877-0j -0.000326756-0j 0.000265892-0j 0.000177262-0j -0.000268539-0j -0.000301377-0j 0.000109675-0j 0.00016572-0j -0.000191854-0j 0.000534574-0j 0.000535165-0j -0.0382384-0j 2.85338e-05-0j 0.0405423-0j -3.0253e-05-0j -0.0323241-0j 0.0326458-0j 2.41205e-05-0j -0.0295077-0j -2.43606e-05-0j 2.20189e-05-0j 0.0354745-0j 0.0236497-0j -0.0195066-0j -2.64714e-05-0j -0.0210813-0j -1.76476e-05-0j 1.4556e-05-0j 1.57311e-05-0j 0.0301103-0j 0.0146325-0j -2.24685e-05-0j -0.059325-0j -1.09189e-05-0j -0.0139362-0j 4.42688e-05-0j -0.0727268-0j 1.03993e-05-0j 5.42694e-05-0j -0.0424663-0j 3.16887e-05-0j 
-0.000473732-0j 0.000519903-0j -0.000436937-0j 0.000441286-0j 0.000371436-0j -0.000288845-0j -0.00106586-0j 0.00593025-0j -0.00637674-0j 0.00518897-0j 0.00345931-0j -0.00524062-0j -0.00588146-0j 0.00214034-0j 0.00323409-0j -0.00374408-0j 0.0104324-0j 0.0104439-0j 0.00388252-0j -0.0260589-0j -0.00411644-0j 0.027629-0j 0.00328201-0j -0.00331468-0j -0.0220284-0j 0.00299605-0j 0.0222477-0j -0.0201091-0j -0.00360188-0j -0.00240125-0j 0.00198059-0j 0.0241753-0j 0.00214048-0j 0.0161169-0j -0.0132935-0j -0.0143666-0j -0.00305723-0j -0.0014857-0j 0.0205197-0j 0.00602353-0j 0.00997182-0j 0.00141501-0j -0.0404291-0j 0.00738428-0j -0.00949732-0j -0.0495622-0j 0.00431179-0j -0.0289402-0j 
-2.76286e-05-0j -3.12098e-05-0j 2.50739e-05-0j -2.57468e-05-0j 6.61767e-05-0j 1.80993e-05-0j -5.87709e-06-0j 0.000695336-0j 0.000769596-0j -0.00059866-0j 0.000405613-0j 0.000614724-0j -0.000698436-0j -0.00124272-0j 0.000414063-0j -0.00130345-0j -0.000252079-0j 6.68331e-05-0j -2.35343e-06-0j -0.00937955-0j -2.56834e-06-0j -0.0102361-0j 1.95751e-06-0j -2.01004e-06-0j 0.00780163-0j -1.81609e-06-0j -0.00801098-0j -0.00723799-0j 2.21125e-06-0j -1.4982e-06-0j -1.31092e-06-0j 0.00881288-0j 3.85081e-06-0j -0.00597103-0j -0.00522466-0j 0.0153473-0j 1.82419e-06-0j 4.5902e-06-0j 0.00727025-0j -7.64705e-07-0j 0.0182942-0j 2.77966e-06-0j -0.00304772-0j 4.16398e-07-0j 0.0110783-0j 0.00165955-0j -9.33039e-08-0j -0.000371861-0j 
2.79149e-05-0j -3.06356e-05-0j 2.57468e-05-0j -2.6003e-05-0j -2.18871e-05-0j 1.70204e-05-0j 6.28064e-05-0j -0.000702542-0j 0.000755436-0j -0.000614724-0j -0.000409816-0j 0.000620843-0j 0.000696762-0j -0.000253561-0j -0.000383134-0j 0.000443552-0j -0.0012359-0j -0.00123726-0j 2.37782e-06-0j 0.00947675-0j -2.52108e-06-0j -0.0100477-0j 2.01004e-06-0j -2.03005e-06-0j 0.00801098-0j 1.83491e-06-0j -0.00809072-0j 0.00731299-0j -2.20595e-06-0j -1.47063e-06-0j 1.213e-06-0j -0.00879175-0j 1.31092e-06-0j -0.00586117-0j 0.00483439-0j 0.00522466-0j -1.87238e-06-0j -9.09907e-07-0j -0.00746232-0j 3.68907e-06-0j -0.00362641-0j 8.6661e-07-0j 0.0147027-0j 4.52245e-06-0j 0.00345386-0j 0.0180241-0j 2.64073e-06-0j 0.0105246-0j 
0.016333-0j 0.0184501-0j -0.030049-0j -0.0303604-0j 0.0131814-0j 0.0108741-0j 0.00347433-0j 0.00213859-0j 0.00236698-0j 0.00187126-0j -0.00622431-0j 0.00189065-0j -0.0043547-0j 0.000771856-0j -0.00254024-0j 0.00135075-0j 0.000787937-0j 0.000205553-0j 0.00139126-0j 0.000200812-0j 0.00151831-0j 0.000219149-0j 0.00117608-0j 0.00118827-0j 0.000169752-0j -0.00214152-0j 0.000171511-0j -0.000309102-0j 0.00132852-0j -0.00441901-0j 0.000774971-0j 0.000191755-0j -0.00152998-0j -0.000637829-0j 0.000111857-0j -0.000220833-0j -0.00218613-0j 0.000547987-0j -0.000315541-0j -0.000901734-0j 7.90951e-05-0j 0.000553666-0j -0.000130154-0j 0.000250173-0j 7.99148e-05-0j 3.61093e-05-0j 5.51579e-05-0j 7.96136e-06-0j 
-0.0202111-0j -0.00032497-0j 0.0183423-0j 0.0182983-0j 0.000689062-0j -0.025915-0j 0.0168911-0j -0.00264637-0j -4.16907e-05-0j 0.00227843-0j -0.00154371-0j 0.00227296-0j 3.78358e-05-0j 0.00472965-0j 0.00308446-0j -0.00481955-0j -0.00282352-0j 0.00125007-0j -0.0017216-0j -0.000248492-0j -2.67427e-05-0j -3.85998e-06-0j 0.00143198-0j 0.00142854-0j 0.000206688-0j -0.00132852-0j 0.000206193-0j -0.000191755-0j 2.30245e-05-0j -1.55999e-05-0j 0.001877-0j 3.3233e-06-0j 0.00281697-0j -2.25165e-06-0j 0.000270922-0j 0.000406595-0j -0.00129646-0j 4.77953e-05-0j -0.000187127-0j 0.00164636-0j 6.89865e-06-0j -0.00397997-0j 0.000237632-0j -0.00119675-0j -0.000574459-0j -0.000172736-0j 0.000402726-0j 5.81285e-05-0j 
0.0117898-0j -0.0260673-0j 0.0108741-0j 0.0100618-0j -0.0186234-0j 0.030392-0j -0.0324939-0j 0.00154371-0j -0.0033442-0j 0.00135075-0j 0.000900499-0j 0.00124985-0j -0.00308446-0j 0.000557155-0j 0.00355929-0j 0.000892938-0j 0.000661802-0j -0.00656356-0j 0.00100427-0j 0.000144954-0j -0.00214515-0j -0.000309625-0j 0.000848938-0j 0.000785525-0j 0.000122534-0j 0.000774971-0j 0.000113381-0j 0.000111857-0j -0.001877-0j -0.00125134-0j 0.00216596-0j -0.000270922-0j 0.000553666-0j -0.000180615-0j 0.00031263-0j 7.99148e-05-0j 0.000724514-0j -0.000774225-0j 0.000104575-0j 0.000379698-0j -0.00011175-0j 0.00154744-0j 5.48047e-05-0j -0.00233976-0j 0.000223353-0j -0.000337715-0j -0.00391869-0j -0.000565614-0j 
-0.00263573-0j -0.00297737-0j 0.00484914-0j 0.00489939-0j -0.00212714-0j -0.0017548-0j -0.000560667-0j 0.0163247-0j 0.0180681-0j 0.0142841-0j -0.0475127-0j 0.0144322-0j -0.0332412-0j 0.0058919-0j -0.0193907-0j 0.0103108-0j 0.00601465-0j 0.00156907-0j -0.000224514-0j 0.00309816-0j -0.000245016-0j 0.00338108-0j -0.000189789-0j -0.000191755-0j 0.00261897-0j 0.000345586-0j 0.00264611-0j -0.00476888-0j -0.000214389-0j 0.000713114-0j -0.00012506-0j 0.00295844-0j 0.000246899-0j -0.00984055-0j 0.00172576-0j -0.00340706-0j 0.000352786-0j -8.8431e-05-0j -0.00486824-0j 0.000145517-0j 0.0012203-0j -8.93474e-05-0j -0.00200804-0j -4.03715e-05-0j 0.00123294-0j 0.000557102-0j -8.90107e-06-0j 0.000122829-0j 
-0.00215207-0j -0.00243102-0j 0.0039593-0j 0.00400033-0j -0.0017368-0j -0.00143279-0j -0.000457783-0j -0.000281783-0j -0.000311877-0j -0.000246561-0j 0.000820125-0j -0.000249116-0j 0.000573782-0j -0.000101701-0j 0.000334706-0j -0.000177977-0j -0.00010382-0j -2.70839e-05-0j 0.0176375-0j -2.64593e-05-0j 0.0192481-0j -2.88754e-05-0j 0.0149095-0j 0.015064-0j -2.23668e-05-0j -0.0271487-0j -2.25986e-05-0j 4.07277e-05-0j 0.0168421-0j -0.0560211-0j 0.00982454-0j -2.5266e-05-0j -0.019396-0j 8.40413e-05-0j -1.47385e-05-0j 2.90973e-05-0j -0.0277143-0j 0.006947-0j 4.15762e-05-0j -0.0114316-0j -1.04217e-05-0j 0.00701899-0j 1.71493e-05-0j 0.00317152-0j -1.05297e-05-0j -4.75782e-06-0j 0.000699254-0j -1.049e-06-0j 
0.00326155-0j 5.24419e-05-0j -0.00295997-0j -0.00295288-0j -0.000111197-0j 0.00418201-0j -0.00272578-0j -0.0202008-0j -0.000318243-0j 0.0173922-0j -0.0117838-0j 0.0173505-0j 0.000288817-0j 0.0361034-0j 0.0235449-0j -0.0367896-0j -0.0215531-0j 0.0095423-0j 0.000277822-0j -0.00383378-0j 4.31558e-06-0j -5.95525e-05-0j -0.000231084-0j -0.00023053-0j 0.00318883-0j 0.000214389-0j 0.00318118-0j -0.00295844-0j -3.71556e-06-0j 2.51742e-06-0j -0.0003029-0j 5.12726e-05-0j -0.000454587-0j -3.4739e-05-0j 0.00417984-0j 0.00627303-0j 0.000209215-0j -7.71293e-06-0j -0.00288704-0j -0.00026568-0j 0.000106434-0j 0.000642265-0j 0.00366623-0j 0.000193125-0j -0.00886287-0j -0.00266501-0j -6.49896e-05-0j 0.000896818-0j 
0.000310624-0j 0.000350887-0j -0.000571476-0j -0.000577399-0j 0.000250686-0j 0.000206805-0j 6.60753e-05-0j -0.00388844-0j -0.00430372-0j -0.00340239-0j 0.0113172-0j -0.00343765-0j 0.00791785-0j -0.00140341-0j 0.00461875-0j -0.00245597-0j -0.00143265-0j -0.000373742-0j 2.64593e-05-0j 0.0170867-0j 2.88754e-05-0j 0.018647-0j 2.23668e-05-0j 2.25986e-05-0j 0.0144439-0j -4.07277e-05-0j 0.0145936-0j -0.0263009-0j 2.5266e-05-0j -8.40413e-05-0j 1.47385e-05-0j 0.0163162-0j -2.90973e-05-0j -0.0542718-0j 0.00951776-0j -0.0187903-0j -4.15762e-05-0j 1.04217e-05-0j -0.0268489-0j -1.71493e-05-0j 0.00673007-0j 1.05297e-05-0j -0.0110746-0j 4.75782e-06-0j 0.00679981-0j 0.00307248-0j 1.049e-06-0j 0.000677419-0j 
-0.00190257-0j 0.00420659-0j -0.0017548-0j -0.00162372-0j 0.00300533-0j -0.00490448-0j 0.00524368-0j 0.0117838-0j -0.0255276-0j 0.0103108-0j 0.00687388-0j 0.00954064-0j -0.0235449-0j 0.004253-0j 0.0271696-0j 0.00681616-0j 0.00505181-0j -0.0501024-0j -0.000162063-0j 0.00223637-0j 0.000346172-0j -0.00477696-0j -0.000136997-0j -0.000126764-0j 0.00189047-0j -0.00012506-0j 0.00174926-0j 0.00172576-0j 0.0003029-0j 0.000201934-0j -0.00034953-0j -0.00417984-0j -8.93474e-05-0j -0.00278656-0j 0.00482331-0j 0.00123294-0j -0.000116918-0j 0.00012494-0j 0.0016134-0j -6.12736e-05-0j -0.0017241-0j -0.000249717-0j 0.000845539-0j 0.000377577-0j 0.00344594-0j -0.00521034-0j 0.000632376-0j -0.00872641-0j 
0.00266305-0j 4.28186e-05-0j -0.00241681-0j -0.00241102-0j -9.07919e-05-0j 0.00341459-0j -0.00222559-0j 0.000348689-0j 5.49324e-06-0j -0.000300209-0j 0.000203402-0j -0.000299489-0j -4.98531e-06-0j -0.000623187-0j -0.000406413-0j 0.000635032-0j 0.000372032-0j -0.000164711-0j -0.0218253-0j 3.27417e-05-0j -0.000339025-0j 5.08596e-07-0j 0.0181536-0j 0.0181101-0j -2.72335e-05-0j -0.0168421-0j -2.71683e-05-0j 2.5266e-05-0j 0.000291889-0j -0.000197765-0j 0.0237954-0j -4.37883e-07-0j 0.0357116-0j 2.96681e-07-0j -3.56971e-05-0j -5.35736e-05-0j -0.0164356-0j 0.000605915-0j 2.46562e-05-0j 0.0208714-0j -9.08977e-07-0j -0.0504553-0j -3.13107e-05-0j -0.0151716-0j 7.56916e-05-0j 2.276e-05-0j 0.00510548-0j -7.6591e-06-0j 
0.000269008-0j 0.000303877-0j -0.000494913-0j -0.000500042-0j 0.0002171-0j 0.000179099-0j 5.72229e-05-0j -0.00166613-0j -0.00184407-0j -0.00145787-0j 0.00484925-0j -0.00147298-0j 0.00339267-0j -0.00060134-0j 0.00197906-0j -0.00105234-0j -0.000613868-0j -0.000160142-0j -0.00443228-0j -0.000316205-0j -0.00483703-0j -0.00034508-0j -0.00374674-0j -0.00378557-0j -0.000267298-0j 0.00682244-0j -0.000270068-0j 0.000486722-0j -0.0042324-0j 0.0140781-0j -0.0024689-0j -0.000301945-0j 0.00487419-0j 0.00100435-0j -0.000176134-0j 0.000347731-0j 0.00696458-0j -0.00174577-0j 0.000496862-0j 0.00287274-0j -0.000124546-0j -0.00176387-0j 0.000204945-0j -0.000797-0j -0.000125837-0j -5.6859e-05-0j -0.000175722-0j -1.25362e-05-0j 
-0.00155344-0j 0.00343467-0j -0.00143279-0j -0.00132576-0j 0.00245385-0j -0.00400449-0j 0.00428145-0j -0.000203402-0j 0.000440636-0j -0.000177977-0j -0.000118651-0j -0.000164682-0j 0.000406413-0j -7.34117e-05-0j -0.000468978-0j -0.000117655-0j -8.72001e-05-0j 0.000864825-0j 0.0127314-0j -1.90993e-05-0j -0.0271947-0j 4.07967e-05-0j 0.0107622-0j 0.00995834-0j -1.61452e-05-0j 0.00982454-0j -1.49392e-05-0j -1.47385e-05-0j -0.0237954-0j -0.0158636-0j 0.0274585-0j 3.56971e-05-0j 0.00701899-0j 2.37981e-05-0j -4.11926e-05-0j -1.05297e-05-0j 0.00918488-0j -0.00981509-0j -1.37789e-05-0j 0.00481355-0j 1.47243e-05-0j 0.0196173-0j -7.22116e-06-0j -0.0296618-0j -2.94294e-05-0j 4.44979e-05-0j -0.0496784-0j 7.45262e-05-0j 
-0.000384377-0j -6.18034e-06-0j 0.000348836-0j 0.000348-0j 1.31047e-05-0j -0.000492854-0j 0.000321237-0j 0.0048117-0j 7.58034e-05-0j -0.0041427-0j 0.00280683-0j -0.00413277-0j -6.87943e-05-0j -0.00859961-0j -0.00560825-0j 0.00876306-0j 0.00513382-0j -0.00227292-0j -3.27417e-05-0j -0.0211438-0j -5.08596e-07-0j -0.000328439-0j 2.72335e-05-0j 2.71683e-05-0j 0.0175867-0j -2.5266e-05-0j 0.0175446-0j -0.0163162-0j 4.37883e-07-0j -2.96681e-07-0j 3.56971e-05-0j 0.000282774-0j 5.35736e-05-0j -0.000191589-0j 0.0230523-0j 0.0345965-0j -2.46562e-05-0j 9.08977e-07-0j -0.0159223-0j 3.13107e-05-0j 0.000586995-0j -7.56916e-05-0j 0.0202197-0j -2.276e-05-0j -0.0488798-0j -0.0146978-0j 7.6591e-06-0j 0.00494606-0j 
-3.17029e-05-0j -3.58123e-05-0j 5.83261e-05-0j 5.89305e-05-0j -2.55855e-05-0j -2.1107e-05-0j -6.74378e-06-0j 0.000597369-0j 0.000661167-0j 0.000522698-0j -0.00173863-0j 0.000528115-0j -0.00121639-0j 0.000215602-0j -0.000709564-0j 0.000377304-0j 0.000220094-0j 5.74169e-05-0j 0.000259825-0j -0.00534391-0j 0.000283551-0j -0.00583189-0j 0.000219638-0j 0.000221914-0j -0.00451737-0j -0.000399938-0j -0.00456418-0j 0.00822567-0j 0.000248107-0j -0.000825269-0j 0.000144729-0j -0.00510291-0j -0.00028573-0j 0.0169736-0j -0.0029767-0j 0.0058767-0j -0.00040827-0j 0.000102339-0j 0.00839704-0j -0.000168403-0j -0.00210484-0j 0.000103399-0j 0.0034636-0j 4.67209e-05-0j -0.00212665-0j -0.000960925-0j 1.0301e-05-0j -0.000211864-0j 
-0.000332881-0j -5.35233e-06-0j 0.000302101-0j 0.000301377-0j 1.1349e-05-0j -0.000426824-0j 0.000278199-0j 0.00206174-0j 3.24805e-05-0j -0.00177508-0j 0.00120268-0j -0.00177083-0j -2.94772e-05-0j -0.00368479-0j -0.00240304-0j 0.00375483-0j 0.00219976-0j -0.000973907-0j 0.00548467-0j 0.000391284-0j 8.51968e-05-0j 6.07805e-06-0j -0.00456199-0j -0.00455105-0j -0.000325458-0j 0.0042324-0j -0.000324678-0j 0.000301945-0j -7.33514e-05-0j 4.96981e-05-0j -0.00597975-0j -5.23298e-06-0j -0.0089743-0j 3.54553e-06-0j -0.000426604-0j -0.000640239-0j 0.00413024-0j -0.000152266-0j 0.000294657-0j -0.00524497-0j -1.08629e-05-0j 0.0126794-0j -0.000374183-0j 0.0038126-0j 0.000904563-0j 0.000271996-0j -0.001283-0j -9.15311e-05-0j 
0.00022422-0j -0.000495752-0j 0.000206805-0j 0.000191358-0j -0.000354182-0j 0.000577999-0j -0.000617974-0j -0.00280683-0j 0.00608052-0j -0.00245597-0j -0.00163732-0j -0.00227252-0j 0.00560825-0j -0.00101304-0j -0.00647162-0j -0.00162357-0j -0.00120331-0j 0.0119341-0j 1.90993e-05-0j 0.0123339-0j -4.07967e-05-0j -0.0263455-0j 1.61452e-05-0j 1.49392e-05-0j 0.0104262-0j 1.47385e-05-0j 0.00964738-0j 0.00951776-0j -3.56971e-05-0j -2.37981e-05-0j 4.11926e-05-0j -0.0230523-0j 1.05297e-05-0j -0.0153682-0j 0.0266011-0j 0.00679981-0j 1.37789e-05-0j -1.47243e-05-0j 0.00889808-0j 7.22116e-06-0j -0.0095086-0j 2.94294e-05-0j 0.00466324-0j -4.44979e-05-0j 0.0190048-0j -0.0287356-0j -7.45262e-05-0j -0.0481272-0j 
