-0.0183035-0j 0.0335706-0j 0.0987503-0j -0.370836-0j 0.0112599-0j 0.0156048-0j 0.00402729-0j 0.0117578-0j -0.0211293-0j 0.00482999-0j -0.0834597-0j -0.0181381-0j 0.113996-0j 0.000935324-0j 0.111711-0j -0.00608369-0j -0.00354262-0j -0.000663708-0j 
-0.00480366-0j 0.0201684-0j 0.0165258-0j -0.0226155-0j -0.114255-0j 0.245873-0j -0.017571-0j -0.00483822-0j 0.0199031-0j 0.0157905-0j -0.001325-0j -0.0216093-0j -0.0684716-0j 0.00994323-0j -0.0278792-0j 0.122417-0j 0.14026-0j -0.00576782-0j 
-0.0112086-0j -0.00594423-0j 0.0819739-0j -0.00230219-0j -0.249705-0j 0.013042-0j -0.000115827-0j 0.00720013-0j 0.0037413-0j -0.049956-0j 0.00197184-0j 0.00140299-0j -0.027362-0j 0.2448-0j 0.000443663-0j 0.0589365-0j -0.00217664-0j 1.57836e-05-0j 
0.0082704-0j -0.0151688-0j -0.0446201-0j 0.167562-0j -0.00508777-0j -0.00705098-0j -0.00181972-0j -0.0189553-0j 0.0340637-0j -0.0077867-0j 0.13455-0j 0.0292414-0j -0.183779-0j -0.00150789-0j -0.180096-0j 0.00980785-0j 0.00571126-0j 0.00107-0j 
0.00151905-0j -0.0135612-0j 0.000657769-0j 0.0636069-0j -0.00454857-0j -0.153193-0j 0.446468-0j 0.000277087-0j -0.00242369-0j 0.000113825-0j 7.58834e-05-0j 0.011007-0j -0.00104949-0j 2.20421e-05-0j -0.0249935-0j 0.00369186-0j 0.0115849-0j 0.0626699-0j 
0.00506456-0j 0.00268589-0j -0.0370397-0j 0.00104024-0j 0.112829-0j -0.00589299-0j 5.23361e-05-0j -0.0116077-0j -0.00603155-0j 0.0805368-0j -0.00317891-0j -0.00226183-0j 0.0441118-0j -0.394656-0j -0.000715254-0j -0.0950148-0j 0.00350907-0j -2.54456e-05-0j 
0.00751892-0j -0.0315686-0j -0.025867-0j 0.0353989-0j 0.178837-0j -0.384852-0j 0.0275029-0j -0.00482999-0j 0.0198692-0j 0.0157637-0j -0.00132275-0j -0.0215726-0j -0.0683552-0j 0.00992632-0j -0.0278318-0j 0.122209-0j 0.140022-0j -0.00575801-0j 
0.000930226-0j -0.00830452-0j 0.0004028-0j 0.0389511-0j -0.00278542-0j -0.0938112-0j 0.273405-0j 0.000936918-0j -0.00819527-0j 0.000384878-0j 0.000256585-0j 0.0372181-0j -0.00354866-0j 7.45313e-05-0j -0.0845109-0j 0.0124833-0j 0.0391721-0j 0.211907-0j 
-0.00145603-0j 0.0129986-0j -0.000630481-0j -0.0609682-0j 0.00435987-0j 0.146838-0j -0.427946-0j 0.000935324-0j -0.00818133-0j 0.000384224-0j 0.000256149-0j 0.0371548-0j -0.00354262-0j 7.44046e-05-0j -0.0843672-0j 0.0124621-0j 0.0391055-0j 0.211546-0j 
-0.00339741-0j 0.0142642-0j 0.0116879-0j -0.0159949-0j -0.080807-0j 0.173895-0j -0.0124271-0j 0.0077867-0j -0.0320323-0j -0.0254135-0j 0.00213248-0j 0.0347783-0j 0.110199-0j -0.0160028-0j 0.0448691-0j -0.19702-0j -0.225737-0j 0.00928281-0j 
0.000657906-0j -0.00587341-0j 0.000284882-0j 0.0275483-0j -0.00197-0j -0.0663484-0j 0.193367-0j -0.00150789-0j 0.0131896-0j -0.000619428-0j -0.000412952-0j -0.0598993-0j 0.00571126-0j -0.000119952-0j 0.136013-0j -0.0200908-0j -0.0630441-0j -0.341045-0j 
