-0.139949+0.328373j 0.0408064+0.0187221j -0.0363924+0.0208998j 0.0155284-0.011154j 0.00719745-0.0204327j 0.0228903+0.00873235j -0.0197342+0.0066198j -0.00590051+0.01312j -0.00618993+0.00635045j 0.019362-0.0173899j 0.00126957-0.0121885j 0.00674476+0.00675668j 0.00870797-0.00731789j 0.0102333+0.00524951j 0.0161126-0.00876582j 0.000695532-0.004087j -0.00573748+0.000441917j 0.00549677+0.00015624j 0.0079839-0.00217411j -0.00205475+0.00303223j -0.0058732-0.00048494j -0.00135442-0.00369125j 0.00512821-0.00730328j 0.000703918-0.00235529j -0.00130438+0.00181543j -0.00718811+0.00204644j -0.00246513+0.00421191j -0.00109664+0.00129693j -0.000828163-0.00405244j 0.000172345+0.00204047j -0.00118034-9.22586e-08j 0.00963232-0.00570097j -0.0015201-0.00086703j 0.00182064-0.00206788j 0.00563159-0.00280863j 0.00720257-0.00610648j 0.011057-0.00603059j 0.00880227-0.000337817j -0.00543966+0.00593823j -0.0102402+0.00273087j 
-0.0100198-0.0076132j 0.00556434-0.00624972j -0.0095835+0.000268874j 0.00258575+0.0143836j 0.0139685+0.00704819j -0.0192399+0.0147104j 0.00760661-0.0190747j -0.00412546-0.00739875j -0.00218975-0.0134631j -0.0105595-0.00819594j -0.0232683-0.00676831j -0.00646022+0.00426709j -0.00228409-0.000979652j 0.00114526-0.0173145j -0.000409506-0.0118409j -0.000122468-5.49371e-06j 6.88409e-05+0.00144519j -0.00305232+0.00499098j 0.00204533+0.00505723j 0.016638-0.00626697j -0.00061073-0.00179645j -0.0066488-0.00296026j -0.018512+0.00395499j -0.00365933-0.000773003j 0.00293704-0.00589323j -0.0298896-0.000771288j 0.00486073+0.00273656j 0.00211427-0.000384643j -0.00512803-0.00627651j 0.00881997+0.00174869j -0.00474718-0.00583882j 0.00926305-0.00153702j 0.00146007+0.00101674j 8.86356e-05+0.000748684j 0.00464139+0.00617369j 0.000892528-0.000239232j 0.00113446-0.00071592j 0.00226573+0.00219793j -0.000820314+0.000788976j -0.000883774-0.00084025j 
-0.0175324-0.0713299j -0.00917752+0.000779972j -0.000311823-0.00214889j 0.00504944-0.00324119j 0.00206393+0.00550015j 0.00950353-0.0145793j -0.0119854+0.000437153j -0.00713187+0.00387499j -0.00980172+0.000546316j 0.00945618+0.00213306j 0.0153261+0.00269998j -0.00722711+0.0156314j 0.007464+0.0169256j -0.00955273+0.0121209j -0.00321256+0.0202499j -0.00187741+0.00388976j 0.000973247+0.00302488j -0.00377691+0.00166323j -0.00617248+0.00101722j 0.0129753+0.00399244j -0.000401625+0.00683665j 0.00105028+0.00804652j -0.0141992-0.00203961j 1.90629e-05-0.004422j 0.00375564+0.00269403j -0.00729669+0.0111409j 0.0147898+0.0154029j 0.00259493+0.00183641j -0.00136808+0.00886844j 0.0131521+0.00587635j -0.00371494+0.00298845j 0.00277583-0.00541047j -0.00313609+0.00488358j -0.00450481-0.00756424j 0.00576302-0.00934354j -0.00395192-0.0128076j -0.00366324-0.00597261j 0.011679-0.00410199j 0.00756788+0.00516915j -0.00355824+0.00252868j 
0.144858+0.164677j 0.032141+0.0477574j -0.00781497-0.0182334j -0.00963148+0.006281j -0.0126968+0.00417309j -0.00120321-0.00200352j 0.000513481+0.0119656j 0.00459054+0.00360512j 0.00134272+0.00903903j 0.00680929-0.000290455j 0.000529254+0.0127342j -0.0265598-0.00798959j 0.00446967-0.00434085j -0.0220439-0.0122232j -0.00739002-0.00888148j -0.000340173+0.00278939j 0.00342623+0.00604833j 0.00210319+0.00733776j -0.00298995-0.0107968j 0.0083766-0.00901623j 0.00241094+0.0102136j -0.00239447-0.00138875j -0.006424+0.00447258j -0.00565532-0.00715295j 0.0060198-0.000690013j -0.00996983+0.00117872j -0.00649215-0.0175798j 0.000789247+0.00295481j 0.00799206+0.00532054j 0.00221374+0.00933423j 0.00512117-0.00470826j -0.00477728+0.011529j 0.00267006+0.00648054j -0.00609967-0.00499526j -0.00502792+0.0018088j 0.00076353-0.0048159j -0.00619155+0.00334043j 0.00283417-0.00643385j 0.00406538-0.00313536j 0.00153768+0.00275j 
0.0150414+0.0622663j 0.0246712+0.007525j -0.0150977+0.00195053j 0.0034409+0.000647784j 0.00688732-0.00311669j -0.00148412+0.00704935j 0.00123148-0.00288294j 0.00246887-0.000418468j 0.00359591-0.00281577j -0.00262447-0.00413739j -0.00233039-0.000444498j -0.016236+0.011598j -0.0108402-0.0048846j -0.00141485-0.00158261j -0.0109304-0.00307756j -0.0019334+0.00402019j -0.00389234+0.00354859j -0.00696138+0.00749587j 0.0117142+0.00665161j 0.0116056-0.0150891j -0.0070319+0.000376397j 0.0018685-0.00252361j -0.0114023+0.0141608j -0.00339369-0.00289544j -0.000773966-0.00670673j -0.0082368+0.00799168j 0.019388-0.015523j -0.0007806-0.00226232j -0.00728046+0.00119907j -0.00282775-0.0100974j 0.00124752-0.00047175j -0.0101962-0.0066102j 0.00568984+0.00303547j 0.00118883+0.000820522j -0.00474786-0.00092083j -0.00144465+0.00376254j -0.00590254+0.00151788j 0.00128098-0.00438078j 0.00408125-0.00351229j 0.0012327+0.00186705j 
0.0266654-0.0116667j -0.0141776+0.00903738j 0.0148977-0.0148964j -0.0147146-0.000467881j -0.0163661+0.0220963j 0.00857878-0.0308773j 0.00840084+0.00736195j 0.000928596-0.00135705j 0.0034974-0.00538246j 0.00745701-0.0155731j 0.00591182-0.0166641j -0.00431765+0.0200116j 0.00892443-0.000539336j 0.000792758+0.00844162j 0.0119312-0.00115864j 0.00348832-0.00260999j 0.00191112-0.00457993j -0.00356521+0.00402766j -0.000439844+0.00576686j 0.00278949-0.0103004j 0.0037624-0.00762214j -0.00653787-0.012036j -0.00560534-5.12146e-05j -0.00871872-0.00652937j 0.00354453-0.0120475j -0.0075874-0.000681259j -0.00086717-0.00551068j 0.000305037+0.000441543j 0.00288182-0.0223601j -0.00108046+0.00146731j 0.00632437-0.0124088j 0.00619987-0.00157881j 0.00549896+0.00582636j 0.00131745+0.00514767j -0.00596563+0.00607807j 0.00300542-0.00132747j 0.00297949+0.00076358j -0.006163+0.00584608j -0.00542689+0.00188397j 0.000721834-0.00331864j 
-0.116438-0.135482j -0.0244974+0.00706654j 0.00340287-0.0086088j -0.00350303-0.00250588j 0.00184217-0.00370744j -0.0189478-0.00125322j -0.00370911+0.00673516j -0.00336749+0.00365279j -0.00333685+0.00460363j 0.0183666-0.00285378j -0.0144471-0.025678j -0.00106523-0.0252401j 0.0254333-0.004798j 0.0116943-0.0223381j 0.0276062-0.0121898j -0.000102781-0.00020793j -0.000875867+0.000761095j 0.00562325+0.00732139j -0.00298873-0.00359514j -0.00576986-0.0152321j 0.00147787+0.00183131j -0.00121088+0.00495396j -0.0016263+0.0160389j -0.00208506-0.000773808j -0.000785355-0.00349139j -0.00696893+0.0138658j -0.010798-0.00491063j 0.00311262-0.00124559j -0.00105193+0.0058011j 0.0125279-0.00548649j -0.00836421+0.000522628j 0.0102406+0.00352169j 0.00132785+0.0029625j -0.00139466-0.0037966j 0.00834116+0.00222016j -0.00360818+0.000530957j -0.000193321+0.00556776j 0.012354-0.0017111j 0.00636654-0.00141268j -0.00426274+0.000901128j 
-0.177181-0.0223081j -0.0403668-0.0175487j 0.0134419+0.0101882j 0.0116221-0.00995066j -0.00688841-0.00527813j 0.0332674+0.00399933j -0.00514581-0.00780289j -0.00779961-0.00582497j 0.00297846-0.0138051j 0.0121354+0.00246071j -0.00921672-0.00098668j -0.0212594-0.00791982j -0.00669826+0.00647214j -0.000122143-0.0197809j 0.000122347-0.00524881j -0.00211858-0.00195093j 0.000810697-0.000223907j 0.00686701+0.00402583j -0.00481453-0.00819966j 0.0010032-0.00863052j 0.00477436-0.00112311j 0.00116546-0.00884637j 0.00530139+0.00763665j 0.0123064-0.0077253j 0.0125938+0.00446093j -0.00577743+0.00922509j -0.000784892-0.00589992j 0.000222557-0.000666255j 0.0163577-0.00253133j 0.00447703-0.000748154j 0.00846125+0.00980236j 0.0112853+0.00330374j -0.0147081+0.00522245j -0.00130439+0.00398453j 0.00212569-0.00432773j 0.00126862+0.00602332j 0.00312179-0.00308678j -0.00145188+0.00600224j -0.00231359+0.00224325j -0.000581851-0.00149981j 
-0.257736+0.116148j -0.0396874+0.025916j -0.000126916+0.00143594j 0.0149457-0.0148349j 0.0360006+0.0098166j 0.000653445-0.0441041j -0.00923969+0.00511626j -0.00393466+0.0115207j -0.000549336+0.00491735j -0.000676262-0.00172926j 0.000778278+0.00669735j -0.00492438-0.0131975j -0.0151831-0.00640992j 0.00586175-0.00815261j -0.00643593-0.00532886j -0.000790773+0.00728065j -0.00405444+0.00529294j -0.00245427-0.00755564j 0.0042471+0.00613578j -0.00801243+0.00589706j -0.00437359+0.0013036j 0.00262447+0.00366962j 0.00696318-0.00332837j -0.00872823-0.00229419j -0.00501491-0.00563319j -0.000907844+0.000344206j -0.00200401+0.00242058j -0.00153925-0.00113799j -0.0051549+0.00116058j -0.00296272-0.00995401j -0.00179259-0.0025933j 0.00537908-0.00700477j 0.0118526+0.00260233j -0.000177069-8.86587e-05j 0.00508633-0.00409589j 0.00342677-0.0013254j 0.00440166+0.00234895j 0.00519885-0.010377j 0.00156144-0.00586907j -0.000919472+0.00314197j 
0.0528891+0.205677j 0.00485069+0.024583j 0.0053055+0.00458942j -0.00808495-0.0255258j 0.00868811-0.0380337j -0.0358608-0.00766391j 0.00265461-0.00229954j 0.000728873-0.00158517j -0.000413482-0.0166353j 0.0137881-0.00126113j 0.00372147-0.0161122j -0.0189035+0.00461454j 0.00168193+0.0271986j -0.00278333-0.016655j 0.00188483+0.00968649j 0.000842115-0.000658118j 0.00219278-0.0016406j 0.00246621-0.00421862j -0.00870955-0.00103508j -0.00628276+0.00241037j 0.00224196-0.00523082j -0.00105547+0.00339525j 0.002571+0.00158442j 0.00665396+0.00504247j 0.000469072+0.000932147j 0.00785511+0.00603302j -0.0126378+0.000903502j 0.0021373-0.00210702j -0.00217272-0.00365117j 0.00628265-0.00855984j -0.00384346+0.00545304j 0.00393814-0.00595217j -0.00532942-0.00163489j 0.0079177+0.00742105j 0.000679276-0.00177839j -0.00549385+0.0112813j -0.00417907-0.00383696j -0.0016165+0.0080534j 0.00109068+0.00119096j 0.000791243-0.00212667j 
0.263026-0.215253j 0.0243183+0.047305j 0.00853602-0.029474j 0.0189233-0.0237j 0.000725853-0.0178085j 0.0256041+0.0031494j -0.00947139+0.00559411j 0.00430601+0.00452826j 0.00248811-0.00163845j -0.0146854+0.0104041j -0.0114903-0.00785133j 0.0049409+0.00975508j -0.01124-0.0041492j 0.00929336-0.00021118j -0.00603559-0.000299544j -0.0011232+0.00135585j 0.000693816+0.00010967j 0.00101354+0.00811833j 0.00121145-0.00257698j 0.00345902-0.00280986j 0.000922138-0.00320141j -0.000436081-0.000265373j -0.00381149+0.00155626j -0.00171026-0.000659143j 0.00172938-0.00117675j 0.00271825-0.00694717j 0.000276384+0.00440739j 0.000632225+0.000633172j 0.00113299-0.00158618j 0.00317087+0.000238431j 0.00119147-0.00363199j -0.00183216+0.00538545j 0.000225623+0.00061805j -0.00259992+0.00283463j -0.00223699+0.002384j -0.00300516-0.00339669j -0.00221162+0.00378307j -0.00424114+0.0061537j 0.000499625+0.00161844j 0.00207079-0.0044122j 
0.213566+0.260686j -0.0481325+0.0228195j 0.0287235+0.00889651j 0.0249984+0.0185126j 0.0189418+0.00115958j -0.00197268+0.0248338j -0.00594855-0.0114453j -0.00542593+0.0035647j 0.00121569+0.000779534j -0.0105156-0.013673j 0.00856328-0.0118892j -0.00943683+0.00463817j 0.00234681-0.0100399j 0.00204504+0.0092766j -0.0010777-0.00498875j -0.0026825-0.000973616j -0.00149238+0.00052556j -0.00862895+0.00037677j 0.00272916+0.00194653j 0.00316908+0.00410721j 0.0016052+0.00018407j -8.77895e-06+0.000140039j -0.00198254-0.0040001j 0.00203619-0.00235817j 0.00156753+0.00181841j 0.00667093+0.00171102j -0.00373892+0.000324328j -0.000714357+0.000399114j -0.000489891+0.00108797j 4.44762e-06+0.00253071j 0.00373079+0.00156598j -0.0057712-0.00214285j -0.0014826+0.00107751j -0.00125364-0.00262772j -0.00200438-0.00192806j 0.00391011-0.00177254j -0.00472774-0.00248629j -0.00467209-0.00239581j -0.00074673+0.00121526j 0.00404834+0.00173263j 
