-0.0481551-0j -0.0085127-0j -0.000709392-0j -0.0420036-0j -0.00700059-0j -0.00428697-0j -0.000875074-0j -5.15642e-05-0j -0.0264821-0j -0.0267565-0j -0.00427352-0j -0.00431781-0j -0.00348932-0j -0.00352548-0j -0.00050364-0j -0.000436165-0j -0.000508859-0j -0.000440685-0j -5.14025e-05-0j -5.19352e-05-0j -2.34619e-06-0j -2.37051e-06-0j 0.0386962-0j -0.0243486-0j -0.0142034-0j 0.0061184-0j -0.00384985-0j 0.00483702-0j -0.00224575-0j 0.00322468-0j 0.000698164-0j -0.00304358-0j -0.00202905-0j 0.00080617-0j -0.00177542-0j -0.000439302-0j 0.000285024-0j -0.00118361-0j 6.71808e-05-0j -0.00025626-0j 7.1256e-05-0j -0.000507263-0j -0.000179344-0j -0.000295903-0j -4.22719e-05-0j 5.938e-06-0j -0.000104618-0j -4.48361e-05-0j -2.46586e-05-0j 2.21296e-07-0j -3.73634e-06-0j -2.61544e-05-0j -1.39245e-07-0j -2.17953e-06-0j -8.12264e-08-0j 
0.00061683-0j -0.0103918-0j 0.123791-0j 9.32188e-06-0j -0.000148066-0j 9.51411e-07-0j 0.000863331-0j 0.000313993-0j 0.000339215-0j -0.000330854-0j -0.00521689-0j 0.0050883-0j 4.46955e-05-0j -4.35938e-05-0j 0.0286786-0j -0.000532446-0j -0.0279717-0j 0.000519323-0j 0.00896989-0j -0.0087488-0j 0.00137913-0j -0.00134513-0j 0.000252043-0j 5.40371e-06-0j -0.000354412-0j -0.00379793-0j -8.14262e-05-0j 3.15053e-05-0j 0.00534048-0j 2.10036e-05-0j 0.0202152-0j 6.75463e-07-0j 4.50309e-07-0j -0.000500421-0j -4.43015e-05-0j 0.000433407-0j 1.85647e-06-0j -2.95343e-05-0j 0.00596117-0j -0.0284258-0j 0.00206321-0j -1.07288e-05-0j 3.9802e-08-0j 0.00070367-0j 0.000127805-0j 0.00106121-0j -2.61049e-06-0j 4.42344e-05-0j -0.00838234-0j 9.94252e-05-0j 2.27519e-05-0j -0.00290119-0j 2.13164e-06-0j -0.00149222-0j -0.000139807-0j 
-0.00348932-0j 0.0589721-0j -5.14025e-05-0j -0.00304358-0j -0.000507263-0j 0.059707-0j 0.00606211-0j -3.73634e-06-0j 0.00186426-0j -0.00193877-0j 0.000300844-0j -0.000312868-0j -0.0234843-0j 0.0244229-0j 3.54548e-05-0j -0.00590177-0j -3.68719e-05-0j 0.00613765-0j -0.000345956-0j 0.000359783-0j 1.65165e-07-0j -1.71767e-07-0j 0.00280392-0j 0.00171407-0j -0.00102917-0j 0.000443339-0j 0.000271019-0j -0.0335087-0j -0.000162727-0j 0.00023366-0j 5.05889e-05-0j -0.0204843-0j 0.000142839-0j -0.00558478-0j 0.0122993-0j 3.09257e-05-0j -0.00596486-0j -8.57645e-05-0j 4.86792e-06-0j -1.85686e-05-0j -0.000992421-0j -0.00341404-0j -0.00364639-0j 0.00204988-0j 2.97582e-06-0j -4.11358e-05-0j 0.00218939-0j -0.00060668-0j -1.78676e-06-0j 1.60351e-08-0j -2.51468e-05-0j 0.000364266-0j 9.80247e-09-0j 1.50988e-05-0j -5.88566e-09-0j 
0.00352548-0j -0.0595832-0j 5.19352e-05-0j -0.00296856-0j -0.00049476-0j 0.0582353-0j 0.00591269-0j -3.64425e-06-0j 0.00193877-0j -0.00195769-0j 0.000312868-0j -0.000315921-0j -0.0244229-0j 0.0246612-0j 3.68719e-05-0j -0.00613765-0j -3.72316e-05-0j 0.00619753-0j -0.000359783-0j 0.000363293-0j 1.71767e-07-0j -1.73443e-07-0j -0.00283298-0j -0.00172081-0j 0.000933616-0j -0.000447933-0j -0.000272084-0j 0.0338559-0j 0.000147618-0j -0.000236082-0j -5.11132e-05-0j 0.0205648-0j -0.000143401-0j 0.00564265-0j -0.0111573-0j -3.10472e-05-0j 0.00602667-0j 7.78013e-05-0j -4.91837e-06-0j 1.68445e-05-0j 0.00100271-0j 0.00342747-0j 0.00366073-0j -0.00185955-0j -2.98752e-06-0j 4.1562e-05-0j -0.0019861-0j 0.000609065-0j 1.62086e-06-0j -1.62013e-08-0j 2.52457e-05-0j -0.000330444-0j -9.84102e-09-0j -1.36969e-05-0j 5.33918e-09-0j 
0.00050364-0j -0.00848491-0j 0.101075-0j 0.000439302-0j -0.00697774-0j 4.48361e-05-0j 0.0406853-0j 0.0147972-0j -0.000269083-0j 0.000279838-0j 0.00413831-0j -0.00430371-0j -3.54548e-05-0j 3.68719e-05-0j -0.0227494-0j 0.000422365-0j 0.0236586-0j -0.000439246-0j -0.00711539-0j 0.00739978-0j -0.001094-0j 0.00113772-0j -0.000404711-0j -0.000247405-0j 0.000148549-0j 0.00609843-0j 0.00372805-0j -5.05889e-05-0j -0.00223842-0j -3.37259e-05-0j -0.0324601-0j -3.09257e-05-0j -2.06171e-05-0j 0.000803538-0j 1.85686e-05-0j -0.0198433-0j -2.98098e-06-0j 1.2379e-05-0j -0.009572-0j 0.0119144-0j -0.00331294-0j 0.000491213-0j -1.82231e-06-0j -0.000294937-0j -0.00585149-0j -0.00170401-0j 1.09416e-06-0j -0.00202524-0j 0.00351339-0j -0.00015965-0j -0.00104168-0j 0.00121601-0j -9.75958e-05-0j 0.000625452-0j 5.85991e-05-0j 
0.00305315-0j -0.0516006-0j 4.49772e-05-0j 4.6141e-05-0j 7.69016e-06-0j -0.000905164-0j -9.19023e-05-0j 5.66434e-08-0j -0.00494149-0j -0.00163764-0j -0.000797429-0j -0.000264274-0j 0.0622483-0j 0.0206295-0j -9.39779e-05-0j 0.0156435-0j -3.11449e-05-0j 0.00518435-0j 0.000917004-0j 0.000303901-0j -4.37794e-07-0j -1.45088e-07-0j 0.00124755-0j -7.87181e-05-0j -0.00175425-0j 0.000197255-0j -1.24464e-05-0j -0.014909-0j -0.000277371-0j 0.000103962-0j 2.25085e-05-0j 0.000940731-0j -6.55984e-06-0j -0.00248483-0j 0.0209644-0j -1.42025e-06-0j -0.00265394-0j -0.000146187-0j 2.16588e-06-0j -3.16505e-05-0j -0.000441558-0j 0.000156789-0j 0.000167459-0j 0.00349406-0j -1.36663e-07-0j -1.83025e-05-0j 0.00373186-0j 2.78615e-05-0j -3.04557e-06-0j 7.1345e-09-0j 1.15486e-06-0j 0.000620899-0j -4.50174e-10-0j 2.57362e-05-0j -1.00322e-08-0j 
-0.000508859-0j 0.00857284-0j -0.102122-0j 0.000428475-0j -0.00680575-0j 4.3731e-05-0j 0.0396825-0j 0.0144325-0j -0.000279838-0j 0.000282568-0j 0.00430371-0j -0.0043457-0j -3.68719e-05-0j 3.72316e-05-0j -0.0236586-0j 0.000439246-0j 0.0238894-0j -0.000443531-0j -0.00739978-0j 0.00747198-0j -0.00113772-0j 0.00114882-0j 0.000408905-0j 0.000248378-0j -0.000134756-0j -0.00616162-0j -0.0037427-0j 5.11132e-05-0j 0.00203058-0j 3.40754e-05-0j 0.0327965-0j 3.10472e-05-0j 2.06982e-05-0j -0.000811865-0j -1.68445e-05-0j 0.0199213-0j 3.01187e-06-0j -1.12297e-05-0j 0.0096712-0j -0.0108082-0j 0.00334727-0j -0.000493144-0j 1.82948e-06-0j 0.000267552-0j 0.00587449-0j 0.00172167-0j -9.92571e-07-0j 0.00203321-0j -0.00318717-0j 0.000161304-0j 0.00104578-0j -0.0011031-0j 9.79795e-05-0j -0.000567379-0j -5.31582e-05-0j 
-0.000440685-0j 0.0074243-0j -0.0884406-0j -6.65987e-06-0j 0.000105783-0j -6.79721e-07-0j -0.000616793-0j -0.000224327-0j 0.000713242-0j 0.000236373-0j -0.0109692-0j -0.00363526-0j 9.39779e-05-0j 3.11449e-05-0j 0.0603004-0j -0.00111954-0j 0.019984-0j -0.000371022-0j 0.0188603-0j 0.00625045-0j 0.00289979-0j 0.00096101-0j -0.000180068-0j 1.1362e-05-0j 0.000253204-0j 0.00271337-0j -0.000171209-0j -2.25085e-05-0j -0.00381542-0j -1.50057e-05-0j -0.0144424-0j 1.42025e-06-0j 9.46831e-07-0j 0.000357518-0j 3.16505e-05-0j 0.000911293-0j -1.32633e-06-0j 2.11003e-05-0j -0.00425887-0j 0.0203083-0j -0.00147403-0j -2.25587e-05-0j 8.36889e-08-0j -0.000502726-0j 0.000268727-0j -0.000758163-0j 1.86502e-06-0j 9.30084e-05-0j 0.00598864-0j -7.10328e-05-0j 4.78387e-05-0j 0.00207271-0j 4.48204e-06-0j 0.0010661-0j 9.98832e-05-0j 
-0.00251872-0j 0.0425683-0j -3.71043e-05-0j 0.00427975-0j 0.000713291-0j -0.0839573-0j -0.00852428-0j 5.25388e-06-0j 0.0013457-0j -0.00125652-0j 0.000217161-0j -0.00020277-0j -0.0169518-0j 0.0158285-0j 2.55926e-05-0j -0.00426012-0j -2.38967e-05-0j 0.00397781-0j -0.000249724-0j 0.000233175-0j 1.19223e-07-0j -1.11322e-07-0j -0.00102917-0j -0.00241026-0j -0.00285577-0j -0.000162727-0j -0.000381095-0j 0.0122993-0j -0.000451537-0j -8.57645e-05-0j -1.85686e-05-0j 0.0288041-0j -0.000200855-0j 0.00204988-0j 0.0341283-0j -4.34863e-05-0j 0.00218939-0j -0.000237981-0j -1.78676e-06-0j -5.15244e-05-0j 0.000364266-0j 0.00480068-0j 0.0051274-0j 0.00568805-0j -4.18447e-06-0j 1.50988e-05-0j 0.00607515-0j 0.000853087-0j -4.95794e-06-0j -5.88566e-09-0j 3.53604e-05-0j 0.00101077-0j -1.37838e-08-0j 4.18964e-05-0j -1.63316e-08-0j 
0.000363546-0j -0.00612473-0j 0.0729598-0j -0.000617728-0j 0.00981179-0j -6.30466e-05-0j -0.0572099-0j -0.0208072-0j -0.000194234-0j 0.000181363-0j 0.00298719-0j -0.00278923-0j -2.55926e-05-0j 2.38967e-05-0j -0.0164214-0j 0.000304879-0j 0.0153331-0j -0.000284675-0j -0.00513616-0j 0.0047958-0j -0.000789688-0j 0.000737357-0j 0.000148549-0j 0.000347891-0j 0.000412195-0j -0.00223842-0j -0.00524222-0j 1.85686e-05-0j -0.00621119-0j 1.2379e-05-0j 0.0119144-0j 4.34863e-05-0j 2.89909e-05-0j -0.000294937-0j 5.15244e-05-0j 0.0279027-0j 1.09416e-06-0j 3.43496e-05-0j 0.00351339-0j 0.0330603-0j 0.00121601-0j -0.000690723-0j 2.56246e-06-0j -0.000818397-0j 0.00822811-0j 0.000625452-0j 3.0361e-06-0j 0.00284781-0j 0.009749-0j 5.85991e-05-0j 0.00146477-0j 0.0033742-0j 0.000137235-0j 0.00173552-0j 0.000162602-0j 
0.000804744-0j -0.0136008-0j 1.1855e-05-0j -0.00274696-0j -0.000457827-0j 0.0538881-0j 0.00547132-0j -3.37221e-06-0j 0.000442555-0j 0.00468882-0j 7.1417e-05-0j 0.000756655-0j -0.0055749-0j -0.0590654-0j 8.41657e-06-0j -0.00140101-0j 8.91727e-05-0j -0.0148436-0j -8.2126e-05-0j -0.000870116-0j 3.92084e-08-0j 4.15409e-07-0j 0.000328826-0j -0.00159236-0j -0.00302307-0j 5.1992e-05-0j -0.000251774-0j -0.00392968-0j -0.00047799-0j 2.74022e-05-0j 5.93275e-06-0j 0.0190297-0j -0.000132696-0j -0.000654947-0j 0.0361276-0j -2.87296e-05-0j -0.00069952-0j -0.000251923-0j 5.70879e-07-0j -5.45429e-05-0j -0.000116385-0j 0.00317161-0j 0.00338746-0j 0.00602127-0j -2.76451e-06-0j -4.82414e-06-0j 0.00643106-0j 0.000563599-0j -5.24839e-06-0j 1.8805e-09-0j 2.33611e-05-0j 0.00106999-0j -9.1064e-09-0j 4.43509e-05-0j -1.72884e-08-0j 
-0.000116155-0j 0.00195688-0j -0.023311-0j 0.00039649-0j -0.00629771-0j 4.04665e-05-0j 0.0367202-0j 0.0133551-0j -6.38773e-05-0j -0.000676773-0j 0.000982388-0j 0.0104083-0j -8.41657e-06-0j -8.91727e-05-0j -0.00540044-0j 0.000100265-0j -0.0572171-0j 0.00106229-0j -0.00168911-0j -0.017896-0j -0.000259702-0j -0.00275152-0j -4.7462e-05-0j 0.000229837-0j 0.000436343-0j 0.000715185-0j -0.00346332-0j -5.93275e-06-0j -0.00657507-0j -3.95516e-06-0j -0.00380671-0j 2.87296e-05-0j 1.91531e-05-0j 9.42338e-05-0j 5.45429e-05-0j 0.0184342-0j -3.4959e-07-0j 3.63619e-05-0j -0.00112254-0j 0.0349971-0j -0.000388521-0j -0.000456332-0j 1.69291e-06-0j -0.000866341-0j 0.00543597-0j -0.000199835-0j 3.21397e-06-0j 0.00188143-0j 0.0103201-0j -1.87227e-05-0j 0.000967711-0j 0.00357188-0j 9.06655e-05-0j 0.00183719-0j 0.000172127-0j 
-0.405799-0j 0.00049691-0j 4.14092e-05-0j 0.00245187-0j -0.0589934-0j 0.000250243-0j 5.10805e-05-0j 3.00995e-06-0j 0.00154583-0j 0.00156185-0j 0.000249458-0j 0.000252043-0j -0.0294042-0j -0.0297089-0j -0.00424412-0j 2.54602e-05-0j -0.00428811-0j 2.5724e-05-0j 3.00051e-06-0j 3.0316e-06-0j 1.36954e-07-0j 1.38373e-07-0j 0.00114858-0j 0.0014213-0j 0.00082909-0j 0.000181607-0j 0.000224727-0j 0.000143573-0j 0.000131091-0j -0.0277313-0j 2.07229e-05-0j 0.000177662-0j -0.0343157-0j -0.00345444-0j 0.000103636-0j 2.56433e-05-0j 8.4601e-06-0j -0.0200175-0j -0.00028787-0j 1.49586e-05-0j 2.11502e-06-0j -0.00427466-0j 1.04688e-05-0j -0.00249355-0j -0.000356221-0j 1.76252e-07-0j 6.10682e-06-0j 2.61721e-06-0j -0.000207796-0j 6.56853e-09-0j 2.18101e-07-0j 1.52671e-06-0j 8.12814e-09-0j 1.27225e-07-0j 4.74141e-09-0j 
-0.00049691-0j -0.395982-0j 0.0010501-0j -0.000433433-0j 0.00340613-0j 0.00850281-0j -0.0822742-0j 0.00010195-0j -0.000273267-0j -0.000276099-0j 0.00207928-0j 0.00210083-0j 0.00344237-0j 0.00347804-0j 0.000495288-0j -0.04079-0j 0.000500421-0j -0.0412127-0j -0.00727463-0j -0.00735002-0j 5.80453e-06-0j 5.86468e-06-0j -0.000203042-0j -0.000251252-0j -0.000146564-0j 0.00151373-0j 0.00187314-0j 0.00242649-0j 0.00109267-0j -1.69202e-05-0j 0.000349123-0j 0.00300262-0j -2.09377e-05-0j -0.0190686-0j 0.00175153-0j 0.000432018-0j 0.000431937-0j -1.22136e-05-0j 5.05678e-05-0j 0.00025201-0j -0.00684887-0j -0.0235961-0j 0.000534495-0j -0.0137644-0j 6.25745e-05-0j -0.000570749-0j 0.000311789-0j -0.00847505-0j 3.65018e-05-0j 3.34306e-07-0j -0.000706266-0j -0.00494378-0j 4.13682e-07-0j -0.000411988-0j 2.41315e-07-0j 
4.14092e-05-0j -0.0010501-0j -0.383415-0j 3.61194e-05-0j -0.000863573-0j 3.68642e-06-0j 0.0102513-0j -0.115129-0j 2.27723e-05-0j 2.30082e-05-0j -0.00052717-0j -0.000532633-0j 3.00051e-06-0j 3.0316e-06-0j 0.00590003-0j -5.3804e-05-0j 0.00596117-0j -5.43616e-05-0j -0.0277823-0j -0.0280702-0j -0.0132349-0j -0.013372-0j 1.69202e-05-0j 2.09377e-05-0j 1.22136e-05-0j -0.000383783-0j -0.000474907-0j 2.11502e-06-0j -0.000277029-0j 1.41002e-06-0j 0.00415887-0j 2.61721e-06-0j 1.74481e-06-0j -5.05678e-05-0j 1.52671e-06-0j 0.00514633-0j 1.24629e-07-0j 1.0178e-06-0j -0.0184634-0j 0.00300203-0j 0.000424462-0j -6.25745e-05-0j 1.54221e-07-0j -3.65018e-05-0j -0.0228473-0j -0.00674153-0j 8.9962e-08-0j 0.000525245-0j -0.0133276-0j -0.00127621-0j -0.00834221-0j 0.000306393-0j -0.00157922-0j -0.00486629-0j -0.000921214-0j 
