0.0175792-0j 0.019257-0j 0.0032095-0j 0.00814054-0j 0.00212588-0j -0.000763771-0j 0.0891427-0j -0.00432054-0j 0.0364056-0j 0.00542702-0j -0.00483051-0j 0.000858088-0j 0.00901935-0j -0.00072009-0j 0.00174557-0j 0.000318697-0j 0.000291909-0j 4.53235e-05-0j -0.00295807-0j -5.69281e-05-0j -0.0229131-0j 2.95698e-06-0j 
-0.0518796-0j 0.00126696-0j -0.00947188-0j 0.000535584-0j -0.00627389-0j -5.02502e-05-0j 0.0058649-0j 0.0127508-0j 0.00239521-0j -0.0323895-0j -0.00031781-0j 5.64556e-05-0j 0.000593403-0j 0.00429763-0j 0.000114845-0j 2.09678e-05-0j -0.00086148-0j 2.98194e-06-0j -0.000194618-0j -3.74543e-06-0j -0.00150751-0j 1.94546e-07-0j 
0.027938-0j -0.000505633-0j -8.42722e-05-0j 0.00624712-0j -1.77661e-05-0j 0.0171084-0j -0.00234063-0j -0.00159895-0j -0.000461578-0j -6.8808e-05-0j -0.00178768-0j -1.08795e-05-0j -7.53753e-05-0j -0.000266492-0j 0.000658504-0j -1.98631e-06-0j -1.4506e-06-0j -1.87272e-07-0j 0.133616-0j -2.1068e-05-0j -0.00847973-0j -9.13792e-09-0j 
8.42722e-05-0j -0.00551666-0j 0.0265453-0j -0.00112608-0j -0.000193836-0j 0.0890355-0j 0.000427338-0j 0.000291927-0j 8.42722e-05-0j 1.25626e-05-0j -0.0195043-0j 0.010639-0j 1.37616e-05-0j -0.00290754-0j 1.98631e-06-0j 0.000625678-0j 2.64842e-07-0j -2.04321e-06-0j 0.000199869-0j 0.0416683-0j 0.00154818-0j 1.66835e-09-0j 
-0.000535584-0j 0.017237-0j 0.00584344-0j -0.0477719-0j -0.026507-0j -0.000671467-0j -0.00271591-0j 6.35621e-05-0j 0.00727185-0j 0.00108402-0j -0.00208783-0j -0.0154496-0j 0.00382784-0j -0.000311236-0j 0.00113068-0j -0.0123362-0j 0.000254126-0j -0.00145559-0j 4.3518e-05-0j -0.000100934-0j 0.000337089-0j 4.5475e-06-0j 
-0.000192601-0j -0.000210984-0j -3.5164e-05-0j 0.00189621-0j -0.00930353-0j 1.98631e-06-0j -0.000976667-0j 1.12363e-05-0j 0.00848013-0j 0.00126414-0j 1.25626e-05-0j 0.000199878-0j -0.0394715-0j 1.87272e-06-0j 0.0712485-0j 0.0130081-0j 0.0553649-0j 0.0224757-0j 7.69296e-06-0j 1.48051e-07-0j 5.95894e-05-0j 0.00530853-0j 
-0.0687833-0j 0.00167977-0j -0.0125581-0j 0.000710091-0j -0.00831808-0j -6.6623e-05-0j 0.00777583-0j 0.0169053-0j 0.00317563-0j -0.0429428-0j -0.000421361-0j 7.48502e-05-0j 0.000786749-0j 0.00569791-0j 0.000152265-0j 2.77996e-05-0j -0.00114217-0j 3.95353e-06-0j -0.00025803-0j -4.96579e-06-0j -0.00199869-0j 2.57935e-07-0j 
-0.000710091-0j 0.0228532-0j 0.00774738-0j -0.0633372-0j -0.0351436-0j -0.000890247-0j -0.00360082-0j 8.42722e-05-0j 0.00964121-0j 0.00143723-0j -0.0027681-0j -0.0204835-0j 0.00507505-0j -0.000412644-0j 0.00149909-0j -0.0163557-0j 0.000336927-0j -0.00192986-0j 5.76972e-05-0j -0.000133821-0j 0.000446921-0j 6.0292e-06-0j 
-0.016659-0j 0.000301501-0j 5.02502e-05-0j -0.00372506-0j 1.05937e-05-0j -0.0102015-0j 0.00139568-0j 0.000953431-0j 0.000275232-0j 4.10291e-05-0j 0.00106597-0j 6.48728e-06-0j 4.49452e-05-0j 0.000158905-0j -0.000392656-0j 1.18441e-06-0j 8.6497e-07-0j 1.11667e-07-0j -0.0796732-0j 1.25626e-05-0j 0.00505633-0j 5.4488e-09-0j 
-0.0220869-0j 0.000399738-0j 6.6623e-05-0j -0.00493878-0j 1.40454e-05-0j -0.0135254-0j 0.00185043-0j 0.00126408-0j 0.000364909-0j 5.43975e-05-0j 0.00141329-0j 8.601e-06-0j 5.95894e-05-0j 0.00021068-0j -0.000520593-0j 1.57032e-06-0j 1.1468e-06-0j 1.48051e-07-0j -0.105633-0j 1.66558e-05-0j 0.00670381-0j 7.22416e-09-0j 
-6.6623e-05-0j 0.0043613-0j -0.0209859-0j 0.000890247-0j 0.000153241-0j -0.0703888-0j -0.00033784-0j -0.000230789-0j -6.6623e-05-0j -9.93157e-06-0j 0.0154195-0j -0.00841088-0j -1.08795e-05-0j 0.00229861-0j -1.57032e-06-0j -0.000494642-0j -2.09376e-07-0j 1.6153e-06-0j -0.00015801-0j -0.0329417-0j -0.00122394-0j -1.31894e-09-0j 
-5.02502e-05-0j 0.0032895-0j -0.0158285-0j 0.000671467-0j 0.000115581-0j -0.0530905-0j -0.000254815-0j -0.000174072-0j -5.02502e-05-0j -7.49086e-06-0j 0.0116301-0j -0.00634389-0j -8.20583e-06-0j 0.00173372-0j -1.18441e-06-0j -0.000373082-0j -1.57921e-07-0j 1.21833e-06-0j -0.000119179-0j -0.0248462-0j -0.000923156-0j -9.9481e-10-0j 
0.000114845-0j 0.000125807-0j 2.09678e-05-0j -0.00113068-0j 0.00554755-0j -1.18441e-06-0j 0.000582372-0j -6.70003e-06-0j -0.00505657-0j -0.000753789-0j -7.49086e-06-0j -0.000119184-0j 0.0235363-0j -1.11667e-06-0j -0.0424844-0j -0.00775656-0j -0.0330132-0j -0.0134019-0j -4.5872e-06-0j -8.82807e-08-0j -3.55323e-05-0j -0.00316539-0j 
0.000152265-0j 0.000166798-0j 2.77996e-05-0j -0.00149909-0j 0.00735508-0j -1.57032e-06-0j 0.000772123-0j -8.88307e-06-0j -0.00670413-0j -0.000999392-0j -9.93157e-06-0j -0.000158018-0j 0.031205-0j -1.48051e-06-0j -0.0563269-0j -0.0102838-0j -0.0437698-0j -0.0177686-0j -6.08182e-06-0j -1.17045e-07-0j -4.71096e-05-0j -0.00419676-0j 
