0.160205+0.0956069j -0.0236443+0.0496627j -0.000369169+0.172614j -0.0213032-0.053379j 0.160786-0.0947646j -0.057749+0.150306j -0.0770453+0.0128971j -0.130651+0.0400125j -0.000627843+0.0409564j -0.130062-0.0402805j 0.0787153+0.013978j 0.056665+0.149552j -0.0916162-0.0367781j 0.0221771+0.0496902j -0.0390548+0.099622j -0.0324879+0.0188117j 0.0550752+0.0272681j -0.0356457-0.0122431j -0.0433234-0.0355201j -0.0383749+0.0423898j -0.0476049+0.0383823j 0.0106488+0.0312142j 0.0512464-0.0594566j 0.0500589+0.0598708j -0.0109263+0.0312294j -0.0488907-0.0395601j -0.037941-0.0424596j 0.0420139-0.0362671j 0.0329935-0.0116803j -0.0574417+0.0240652j 0.0320388+0.0186006j -0.0374789-0.0995527j -0.0231429+0.0508443j 0.090506-0.0364227j 
0.000188566-0.0150162j -0.0586076+0.0196634j 0.0195456-0.00381869j -0.293313+0.0876683j -0.318212+0.338366j 0.0055464-0.0213143j -0.0625803-0.0275452j 0.00984923-0.110802j 0.0211378+0.0995718j -0.0483855+0.233648j 0.074613-0.133494j 0.0102412-0.0676908j 0.00325776-0.0149867j 0.0189504+0.0202393j -0.00234728+0.0102842j -0.00128265+0.0332501j 0.0149135+0.0192878j 0.000370512+0.00165148j -0.00181761+0.0297231j -0.00980663-0.00602915j -0.0116557-0.00913253j 0.00110485+0.00518899j 0.0447434+0.0695737j -0.0782208+0.00419107j -0.0294713+0.00979476j -0.100746-0.0253328j 0.0212274-0.0687312j 0.00550469-0.0839769j 0.00940186+0.0243631j 0.0473976+0.0246935j -0.0655432+0.0486014j -0.000531641+0.0853897j -0.0100892-0.0156584j -0.0862634+0.0049402j 
0.00702222-0.011976j -0.00386778-0.126336j -0.156944-0.0607751j -0.0376844-0.337371j 0.0883271-0.0195201j -0.0311968+0.0184305j -0.00280143+0.0929288j -0.00135534+0.168578j 0.0359298+0.118588j 0.0536502+0.014402j 0.0158566-0.0854117j -0.0125925-0.0974502j -0.0130353+0.0151311j -0.0197956-0.038505j 0.0183798-0.0107373j 0.0316604-0.0591339j -0.00319188-0.0161276j 0.0180183+0.020137j 0.0522415+0.0209508j 0.0406614-0.00562241j -0.035469-0.0219588j -0.0314073-0.0388293j 0.0404453-0.084169j 0.0540136+0.0339329j -0.0398881+0.101492j -0.0910366+0.0272322j -0.0171734-0.0184265j -0.0230715-0.0281106j -0.0934559+0.0387789j -0.00234209-0.0851981j -0.116996-0.00244926j 0.0151753-0.0123196j -0.0558403-0.0553077j 0.0214668-0.0291257j 
0.0126032-0.0371977j 0.0741158-0.0535295j 0.346779-0.0945308j 0.236243-0.169247j 0.201309+0.0277515j 0.0228706-0.0206492j -0.0340785-0.0416855j 0.0236146-0.213907j -0.0155383-0.126515j -0.010361+0.205104j 0.0443229+0.0991758j 0.0173172-0.133987j 0.00658126-0.00107303j -0.00252913+0.0248428j 0.00686387+0.00521413j 0.0143092+0.0240304j 0.0300043+0.0443263j -0.0136511+0.0351043j 0.036539-0.0549013j -0.0750312+0.0577122j -0.0717634-0.0562961j -0.012844+0.0169007j 0.0103286+0.0115875j -0.00928617+0.0249526j 0.0986147+0.0354118j 0.040946+0.00883834j -0.0186653+0.0991796j -0.031794-0.00336538j -0.113894+0.0531233j 0.0101233-0.0706187j -0.038682-0.0394079j -0.0200433+0.00415404j -0.0318896-0.0286807j 0.00195365-0.0461556j 
-0.00103402+0.0153835j 0.0519863+0.0840555j -0.108519+0.0489179j 0.0711663+0.279846j 0.33841+0.25469j -0.000340679-3.05491e-05j -0.010164-0.000581013j 0.0291912+0.0628479j -0.0627551+0.0482306j 0.0691356+0.0163841j 0.0591486+0.160068j 0.0429531-0.256552j 0.00558902+9.92211e-05j -0.000617567+0.00996574j -0.00558704-0.00287417j -0.0119181-0.00782051j 0.00453332-0.0139313j 0.00484557+0.00591742j -0.0195723+0.00960378j 0.0294488-0.0247294j 0.0248579+0.0146197j -0.00582982-0.00331643j -0.0320202+0.0324317j -0.0310993-0.0692223j -0.0279922-0.0392321j -0.037403-0.107671j 0.104153-0.0510299j 0.121824-0.00216235j -0.000884662+0.0368966j -0.0171113+0.0304987j -0.0528815-0.0537702j -0.0861697+0.0389343j 0.0423296-0.0372714j -0.0194586-0.0935036j 
-0.00198765+0.024049j -0.339076+0.121404j 0.171197-0.0948746j -0.131249+0.100412j -0.0504163+0.0365719j -0.075313+0.0152276j 0.0127908+0.288313j -0.0187948+0.174354j 0.119119-0.168031j -0.0107006+0.058346j -0.0247913-0.0601054j -0.0155689-0.0340883j -0.0178296-0.00111601j -0.00540772-0.096541j -0.0049528-0.0207904j -0.0014475-0.0464257j -0.0817644-0.0428495j 0.082857-0.0574121j -0.018986-0.056309j -0.0805281+0.0796781j -0.0432848-0.00427933j 0.0436539+0.082465j -0.0446542-0.0117117j 0.0416618+0.0125613j 0.00238257-0.036711j 0.0347219+0.0457321j -0.0152602+0.0133712j -0.0548362+0.0182332j 0.0428716-0.00528573j 0.0101231+0.0264836j -0.0209663+0.0116768j 0.00324486+0.003882j 0.0200154-0.0186967j 0.000361208+0.00418654j 
0.0212797+0.0129614j -0.0466203-0.0984228j 0.00509834+0.557066j -0.0427878+0.0977927j 0.0225921-0.0117277j -0.00255572-0.00676641j -0.00525377+0.0204719j -0.0098856-0.0617685j 0.000930422-0.0836072j -0.0108093+0.0650787j 0.00530396+0.0185074j 0.00199596-0.00757145j -0.0134879+0.00267278j 0.00221746-0.0206584j 0.0133272+0.00793121j 0.0465924-0.0191254j 0.0255524-0.0124829j 0.0331962+0.0297242j -0.0388357+0.0246683j 0.0992298+0.100072j 0.0115617+0.124967j 0.0483542-0.118773j 0.0755863-0.000625825j 0.0759653-0.000910558j -0.0476578-0.120817j 0.0121481-0.125986j 0.101053-0.0981831j 0.0382801+0.0254039j -0.0335381+0.0286831j -0.0239508-0.0139062j -0.0481728-0.0194963j 0.0133014-0.00755061j -0.00337166-0.0205814j 0.0134099+0.00237469j 
0.0548756+0.0437714j 0.139062+0.104306j 0.171557+0.0886607j 0.336858+0.115498j -0.0084596+0.019153j -0.0144143+0.0398083j -0.0211573+0.0586816j 0.00904203+0.0598098j 0.119598+0.167182j 0.0171426+0.169392j 0.00945571-0.293005j -0.075762-0.00649856j -0.00169268-0.00356929j 0.0212018+0.0188143j -0.00244633+0.00611912j -0.0217832-0.00966211j 0.01018-0.0269464j 0.0417236+0.0051709j -0.0521711-0.0162053j 0.0130066+0.0105716j -0.0335846+0.0424151j 0.00101376+0.0373811j -0.0384361+0.0104598j 0.045607-0.00879817j 0.0450392-0.0808578j 0.0419906-0.00118604j 0.078004+0.0792824j -0.0214086+0.0574579j 0.0835794+0.0568212j -0.0820752+0.0390307j -0.00209629+0.0465413j 0.00817516-0.0213725j -0.00529219+0.0955861j -0.0171096+0.0048827j 
-0.344402+0.263111j -0.066358+0.265999j -0.100731-0.045218j -0.0520422+0.0721464j 0.00229341+0.00884504j 0.044646+0.257841j 0.0601724-0.16948j -0.068304+0.0184532j -0.0677587-0.0450296j -0.0299022+0.0564693j -0.0110276+0.00550235j 0.00125302+0.00213773j -0.019742+0.0954381j 0.0400469+0.0427238j 0.0854829+0.0410428j -0.0550009+0.0559414j -0.0140404-0.0242403j -0.00664654-0.0378983j 0.120688+0.00453765j -0.104407-0.0494059j 0.0390462-0.110065j -0.0263971+0.0347198j 0.0330472-0.0668744j 0.0295111+0.0341404j -0.00617638+0.0058917j -0.0235033+0.0117837j -0.0292489-0.0230629j -0.0180848-0.00979862j 0.00152186-0.00820681j 0.00680087+0.0102495j -0.0105005+0.00712192j 0.00550454-0.00325455j -0.00196331-0.0108545j 0.00634093-0.00023726j 
-0.196625+0.0154492j -0.23445-0.176495j 0.351563+0.0895029j -0.0676437-0.0526242j -0.00685806-0.0340039j 0.0166283+0.125049j 0.0400492-0.0994181j 0.0126856+0.200276j -0.0149127+0.129952j -0.0221597-0.216699j -0.0326349+0.0436961j 0.0235009+0.017829j 0.00393591+0.0442233j -0.0329249+0.028906j 0.0164394+0.00105235j -0.0370976+0.0359051j 0.00855611+0.0721929j -0.114217-0.0514968j -0.0330219+0.00321408j 0.0222257+0.100274j -0.0427313+0.0115752j 0.0977303-0.0345419j 0.00614104+0.0266617j -0.0100908+0.00803766j -0.011329-0.0161666j 0.073813-0.0566993j 0.0761694+0.0602003j 0.0387842+0.0552314j -0.0131799-0.0350049j 0.0296448-0.0423248j 0.0161179-0.0243911j -0.00870716+0.00587058j -0.00275104-0.0243651j 0.0059814-0.000903555j 
0.0866731+0.0320307j -0.0375001+0.341889j 0.155166-0.0602289j -0.00428885+0.118611j 0.00805728+0.00729095j 0.0128132-0.0970649j -0.01513-0.0830659j 0.0546897-0.0169181j -0.0367411+0.118323j -0.00178579-0.167945j 0.00416358+0.0944501j 0.031554+0.0153272j -0.0225184-0.0286375j 0.0539179-0.054227j 0.016797+0.0154578j 0.114571-0.000602038j 0.00671419-0.0850144j 0.0938035+0.0377049j 0.0225854-0.0261872j -0.0200669+0.016563j -0.0884371-0.0301844j 0.039844+0.100719j 0.0581302-0.0347179j 0.0393494+0.0875425j 0.0319847-0.038562j -0.036719+0.0215376j 0.0410763+0.00577793j -0.052403+0.0194877j -0.01831+0.0194606j 0.00541278-0.0157923j -0.0329319-0.0585757j 0.0188517+0.0102869j 0.019138-0.0387113j 0.0136841+0.01414j 
0.329305+0.341149j 0.283828+0.0745163j 0.0199873+0.00166733j 0.0479984+0.0150895j -0.00317928-0.0166133j 0.015151+0.0708383j 0.0724906+0.126553j 0.0478475+0.23174j 0.0190454-0.0988919j -0.0113857-0.112087j -0.061453+0.0321261j 0.00694224+0.0210739j -0.0866563-0.0037694j -0.0144877+0.0147386j -0.00113719+0.0856342j -0.067682-0.0513254j 0.0430428-0.0221204j 0.00669021-0.0272887j 0.00319696+0.0851324j -0.0196871-0.0693384j 0.104058-0.0235602j -0.0277332-0.011012j 0.0763665+0.00673386j -0.0465079+0.0668136j -0.000581478-0.00350691j 0.0138155-0.0101296j 0.00849984-0.00534826j -0.000538956-0.0299298j 0.000544414-0.00303951j 0.016829-0.0174951j -0.000860739-0.0321373j 0.00217988+0.0103467j 0.0177166-0.0219406j 0.00381498+0.0143008j 
-0.0768621-0.406442j 0.136155-0.0728571j -0.0240259+0.0170403j 0.0379976-0.0274161j 0.00458155-0.00597486j -0.0318816+0.156333j 0.137574+0.12195j 0.0281832+0.261116j 0.0156504-0.12181j -0.0201934-0.103045j -0.0729291+0.00517764j -0.00136775+0.0255045j 0.0439043-0.0276983j 0.0999288-0.0167849j -0.0250574-0.0704817j 0.0996152+0.0475179j 0.050407-0.0357576j -0.00322625+0.140789j 0.0204356-0.0365695j -0.0207764+0.0474017j -0.0579137+0.0232796j -0.0492155+0.00343305j 0.00180446-0.00316388j -0.0394532+0.0429988j 0.0162777+0.00645491j -0.0259268-0.0229293j 0.020756-0.00304084j -0.00967812-0.0564897j -0.018562+0.0117017j -0.00589452-0.0237914j 0.00927612-0.0432197j -0.00050823+0.0177061j 0.0213504-0.00191555j -0.00415724+0.0149698j 
-0.340257+0.154956j -0.0114777+0.0564261j 0.00300854+0.0248118j -1.94121e-06+0.00626666j 0.00408458-0.00509981j -0.163415-0.287485j 0.0243893+0.338194j 0.0703676+0.00801528j 0.0996743-0.0724156j 0.0332482-0.0409164j -0.00373477-0.0260761j -0.0123207-0.00292771j 0.0440871+0.00999287j 0.026105-0.000280465j 0.0748447-0.00601751j -0.0328668+0.0477381j 0.0545454-0.0162924j -0.0761786+0.00709038j -0.00808514-0.0179485j -0.0357501+0.00699592j -0.00628944-0.100383j -0.0198113-0.0154064j 0.00551361-0.0254839j 0.000136186+0.0166147j -0.000867833+0.00375629j 0.00416896-0.0145709j 0.00377572+0.0047147j 0.0179551-0.0207016j -0.00529017-0.00123423j 0.00449531-0.0148521j 0.00729256-0.00796005j -0.00364177+0.00106617j -0.000337984+0.00728192j -0.00376875+0.00105339j 
