-0.725723-0j -0.192314-0j 0.0221731-0j -0.0254812-0j 0.085876-0j -0.0986884-0j 0.0227568-0j 0.00339239-0j -0.0200185-0j -0.0150989-0j 0.0719634-0j -0.00298418-0j -0.00225081-0j -0.00375108-0j 0.00301524-0j -0.0633041-0j -0.0477469-0j -0.0167754-0j 0.0134846-0j -0.00141462-0j -0.0102728-0j 0.00825757-0j 0.000317834-0j -0.000395399-0j -0.0140666-0j 0.0287373-0j -0.00314538-0j 0.00642585-0j -0.00632638-0j -0.0562663-0j 0.0452286-0j -0.000331552-0j -0.0038741-0j -0.000149114-0j -0.00861398-0j -0.0471807-0j 0.0963877-0j 0.0175979-0j 0.000677344-0j -0.0212193-0j 
-0.0675673-0j -0.0179051-0j 0.00642585-0j -0.00237239-0j -0.73117-0j 0.269945-0j -0.193757-0j 0.000983127-0j 0.0547571-0j 0.0413004-0j 0.0208553-0j -0.000277838-0j -0.000209559-0j 0.0102604-0j -0.0256725-0j -0.00589384-0j -0.00444541-0j -0.00156185-0j 0.00390788-0j 0.00386945-0j 0.0571551-0j -0.143007-0j 9.21095e-05-0j -3.6813e-05-0j -0.00130965-0j -0.000588551-0j 0.00860363-0j 0.00386644-0j -0.000589009-0j -0.00523859-0j 0.0131074-0j -3.08687e-05-0j 0.0215545-0j -1.38831e-05-0j 0.047926-0j -0.00439269-0j -0.00197406-0j 0.0215378-0j -1.38723e-05-0j -0.0019756-0j 
-0.0238887-0j 0.184779-0j -0.321859-0j -0.332414-0j -0.00314538-0j -0.00324853-0j 0.0243295-0j -0.158734-0j 0.0192342-0j 0.0145073-0j -0.0026358-0j -0.12549-0j -0.0946505-0j -0.0489346-0j -0.0437684-0j -0.00208379-0j -0.00157169-0j 0.0161181-0j 0.0144165-0j -0.0184544-0j -0.000338149-0j -0.00030245-0j -0.0304349-0j -0.0340272-0j -0.0384574-0j 0.00987027-0j 0.116757-0j -0.0299662-0j 0.00607851-0j -0.00185212-0j -0.00165659-0j 0.0811882-0j -0.000127524-0j -0.0128325-0j 0.000806816-0j 0.00441912-0j -0.00113419-0j -0.000207073-0j -0.0208373-0j -0.000698478-0j 
0.0174458-0j -0.134943-0j -0.65754-0j 0.242761-0j -0.00642585-0j 0.00237239-0j 0.0497039-0j -0.324285-0j -0.0140467-0j -0.0105947-0j -0.00538481-0j 0.091645-0j 0.069123-0j 0.0357367-0j -0.0894165-0j 0.00152178-0j 0.0011478-0j -0.011771-0j 0.0294521-0j 0.0134772-0j 0.000246949-0j -0.00061789-0j -0.0621769-0j 0.02485-0j -0.00987027-0j -0.00443567-0j 0.0299662-0j 0.0134667-0j -0.00443912-0j 0.0013526-0j -0.00338432-0j 0.0208373-0j 9.31305e-05-0j 0.00937151-0j 0.000207073-0j 0.00113419-0j 0.0005097-0j 9.30581e-05-0j 0.00936423-0j 0.000510097-0j 
-0.0416107-0j 0.030584-0j -0.00141462-0j -0.00603834-0j 0.160964-0j 0.687078-0j -0.118309-0j 0.000600301-0j 0.0337216-0j 0.039885-0j 0.0127343-0j -0.000171104-0j -0.000202377-0j -0.017526-0j 0.0233583-0j -0.00362966-0j -0.00429306-0j 0.00266781-0j -0.00355561-0j -0.0276627-0j -0.0976276-0j 0.130116-0j -8.38065e-05-0j 6.2881e-05-0j -0.000806533-0j -0.000589009-0j 0.00529846-0j 0.00386945-0j 0.00421082-0j 0.00894812-0j -0.0119259-0j -1.90102e-05-0j -0.154093-0j 9.92499e-05-0j 0.0295148-0j -0.0027052-0j -0.0019756-0j 0.0215545-0j -1.38831e-05-0j 0.0141235-0j 
0.0200185-0j -0.0747692-0j 0.0178529-0j -0.0205165-0j 0.0695946-0j -0.0799779-0j -0.259936-0j 0.00414391-0j -0.42668-0j 0.172465-0j -0.00198506-0j 0.00680214-0j -0.00274944-0j -0.165576-0j -0.0713257-0j -0.00325843-0j 0.00131706-0j 0.0121703-0j 0.00524263-0j 0.033463-0j 0.0315984-0j 0.0136118-0j 0.000520581-0j 0.00120848-0j -0.0054689-0j 0.0111727-0j 0.0744042-0j -0.152004-0j -0.00245962-0j -0.00289618-0j -0.0012476-0j -0.00054305-0j -0.00638607-0j -0.000244235-0j -0.0141993-0j 0.00130144-0j -0.00265878-0j 0.0290084-0j 0.00110942-0j 0.00058532-0j 
0.0245176-0j -0.00518222-0j -0.0243295-0j 0.0222835-0j -0.0948421-0j 0.086866-0j 0.0200465-0j -0.000319582-0j 0.280048-0j -0.38659-0j 0.00015309-0j -0.00446453-0j 0.00616303-0j 0.00614998-0j -0.0861998-0j 0.00213864-0j -0.00295228-0j -0.00045204-0j 0.00633591-0j -0.113674-0j -0.00117366-0j 0.0164504-0j 0.000629142-0j -4.48866e-05-0j 0.0190588-0j -0.00489154-0j -0.259294-0j 0.0665491-0j 0.00835532-0j 0.000107573-0j -0.00150777-0j 0.0018925-0j 0.0216935-0j 0.000829664-0j 0.0494837-0j -0.00453546-0j 0.00116405-0j -0.0127002-0j -0.000485719-0j -0.00198833-0j 
-0.0179051-0j 0.00378456-0j -0.0497039-0j -0.0162735-0j -0.193757-0j -0.063438-0j 0.040954-0j -0.00065289-0j -0.204518-0j 0.282326-0j 0.000312754-0j 0.00326043-0j -0.00450084-0j -0.00449131-0j -0.176102-0j -0.00156185-0j 0.00215604-0j 0.000330123-0j 0.0129439-0j 0.0830155-0j 0.000857121-0j 0.0336072-0j 0.0012853-0j 3.27805e-05-0j 0.00489154-0j 0.00219824-0j -0.0665491-0j -0.0299069-0j -0.00610186-0j -7.856e-05-0j -0.00308029-0j 0.000485719-0j -0.0158427-0j -0.000605901-0j 0.0127002-0j -0.00116405-0j -0.000523119-0j 0.00570744-0j 0.00021828-0j 0.00145207-0j 
-0.020675-0j -0.0684813-0j 0.0205165-0j -0.0210536-0j 0.0799779-0j -0.0820717-0j 0.264908-0j -0.00422317-0j 0.440673-0j -0.121063-0j 0.00202303-0j -0.00702522-0j 0.00192999-0j -0.151651-0j 0.0814423-0j 0.00336529-0j -0.000924525-0j 0.0111468-0j -0.00598622-0j -0.142837-0j 0.0289411-0j -0.0155424-0j -0.000594419-0j 0.00110685-0j 0.00564826-0j 0.00412491-0j -0.0768443-0j -0.0561191-0j 0.0104989-0j -0.00265261-0j 0.00142455-0j 0.00056086-0j 0.0272591-0j 0.00104252-0j 0.014665-0j -0.00134413-0j -0.000981611-0j 0.0107098-0j 0.000409594-0j -0.00249845-0j 
0.0150989-0j 0.103215-0j 0.0134655-0j -0.0105175-0j 0.0524915-0j -0.0409998-0j 0.358827-0j -0.00572043-0j 0.172465-0j 0.454213-0j 0.00274026-0j -0.00274944-0j -0.00724107-0j -0.12249-0j -0.0365643-0j 0.00131706-0j 0.00346869-0j 0.00900332-0j 0.00268757-0j 0.0395791-0j 0.0233759-0j 0.00697793-0j 0.00026687-0j 0.00089401-0j -0.00412491-0j 0.00842697-0j 0.0561191-0j -0.114648-0j -0.00290917-0j -0.00214254-0j -0.000639566-0j -0.000409594-0j -0.00755327-0j -0.000288874-0j -0.0107098-0j 0.000981611-0j -0.00200538-0j 0.0218795-0j 0.000836779-0j 0.0006923-0j 
0.00266914-0j -0.00177256-0j -0.324285-0j -0.106174-0j -0.000983127-0j -0.000321885-0j 0.00065289-0j 0.0366352-0j -0.00326043-0j 0.00450084-0j -4.66226e-05-0j -0.182951-0j 0.252553-0j 0.000997393-0j 0.0391072-0j 0.000232826-0j -0.000321403-0j -0.000154619-0j -0.00606251-0j -0.0184354-0j 2.13813e-06-0j 8.38349e-05-0j -0.240458-0j -0.00613267-0j -0.00229103-0j -0.00102958-0j 0.0147787-0j 0.00664148-0j 0.00285791-0j 1.1711e-05-0j 0.000459183-0j -0.0908696-0j -3.95203e-05-0j 0.113354-0j 3.16813e-05-0j 0.000173526-0j 7.79819e-05-0j 1.42375e-05-0j -0.0408365-0j -0.000216462-0j 
0.00308205-0j 0.0320743-0j 0.133856-0j -0.13736-0j 0.000405809-0j -0.000416433-0j 0.00422317-0j 0.236972-0j 0.00702522-0j -0.00192999-0j -0.000301575-0j 0.394202-0j -0.108297-0j 0.0336774-0j -0.018086-0j -0.000501668-0j 0.00013782-0j -0.00522077-0j 0.00280375-0j 0.0317201-0j 7.2195e-05-0j -3.87714e-05-0j 0.111205-0j -0.207072-0j -0.00264546-0j -0.00193197-0j 0.0170649-0j 0.0124625-0j -0.00491735-0j 0.000395428-0j -0.00021236-0j -0.104927-0j 6.79991e-05-0j -0.195038-0j 3.65825e-05-0j 0.00020037-0j 0.00014633-0j 2.67161e-05-0j -0.076628-0j 0.000372447-0j 
-0.0212328-0j 0.0793047-0j 0.02107-0j 0.021761-0j 0.0821357-0j 0.0848294-0j -0.306777-0j 0.00489065-0j -0.242529-0j -0.182926-0j -0.00234277-0j 0.0038664-0j 0.00291622-0j -0.0941147-0j -0.0841787-0j -0.00185212-0j -0.00139696-0j 0.00691768-0j 0.00618736-0j -0.0354929-0j 0.0179608-0j 0.0160647-0j 0.000614391-0j 0.00068691-0j 0.00580065-0j 0.0042362-0j -0.0789175-0j -0.0576332-0j 0.00260882-0j -0.00164621-0j -0.00147242-0j 0.000575992-0j 0.00677345-0j 0.00025905-0j 0.0150606-0j -0.00138039-0j -0.00100809-0j 0.0109987-0j 0.000420645-0j -0.000620825-0j 
-0.00225081-0j -0.0483423-0j 0.0878531-0j -0.0686198-0j 0.000266342-0j -0.000208033-0j 0.00572043-0j 0.320987-0j 0.00274944-0j 0.00724107-0j -0.000408494-0j 0.154278-0j 0.406314-0j 0.0272015-0j 0.0081199-0j -0.000196336-0j -0.000517082-0j -0.00421686-0j -0.00125877-0j -0.0087894-0j 5.83124e-05-0j 1.74068e-05-0j -0.0499268-0j -0.167254-0j 0.00193197-0j -0.00394691-0j -0.0124625-0j 0.0254602-0j 0.00136256-0j 0.00031939-0j 9.53409e-05-0j 0.076628-0j -1.8842e-05-0j 0.0540434-0j -2.67161e-05-0j -0.00014633-0j 0.000298944-0j 5.45795e-05-0j -0.156547-0j -0.000103202-0j 
-0.00298418-0j 0.0350194-0j 0.116478-0j -0.133856-0j 0.000353124-0j -0.000405809-0j -0.00414391-0j -0.232525-0j -0.00680214-0j 0.00274944-0j 0.000295915-0j -0.381685-0j 0.154278-0j 0.0367697-0j 0.0158394-0j 0.000485738-0j -0.000196336-0j -0.00570014-0j -0.00245547-0j -0.00743118-0j 7.88239e-05-0j 3.39553e-05-0j -0.0973918-0j -0.226086-0j 0.00256145-0j -0.00523291-0j -0.0165231-0j 0.0337557-0j 0.001152-0j 0.000431736-0j 0.000185981-0j 0.101595-0j -1.59304e-05-0j 0.0456921-0j -3.54208e-05-0j -0.000194008-0j 0.000396348-0j 7.23629e-05-0j -0.207554-0j -8.72543e-05-0j 
-0.00365486-0j 0.00242718-0j -0.158734-0j 0.145384-0j -0.00048123-0j 0.000440759-0j 0.000319582-0j 0.0179325-0j 0.00446453-0j -0.00616303-0j -2.28213e-05-0j 0.250516-0j -0.345823-0j -0.00136574-0j 0.0191425-0j -0.00031881-0j 0.0004401-0j 0.00021172-0j -0.00296753-0j 0.0252437-0j -2.92776e-06-0j 4.10362e-05-0j -0.117702-0j 0.00839751-0j -0.00892651-0j 0.00229103-0j 0.0575819-0j -0.0147787-0j -0.00391335-0j -1.6036e-05-0j 0.000224765-0j -0.354054-0j 5.41154e-05-0j -0.155216-0j 0.000123439-0j 0.000676106-0j -0.000173526-0j -3.16813e-05-0j 0.0908696-0j 0.000296403-0j 
-0.00493128-0j -0.0684619-0j 0.00489346-0j 0.0473369-0j 0.0190758-0j 0.18453-0j 0.264833-0j -0.00422198-0j -0.0563267-0j 0.430328-0j 0.00202246-0j 0.000897962-0j -0.0068603-0j 0.0812469-0j -0.183115-0j -0.000430151-0j 0.00328629-0j -0.00597187-0j 0.0134594-0j 0.144471-0j -0.0155052-0j 0.0349456-0j 0.00133649-0j -0.000592993-0j 0.00134719-0j 0.000983848-0j -0.0183284-0j -0.0133852-0j -0.010619-0j 0.00142113-0j -0.00320296-0j 0.000133773-0j -0.0275707-0j -0.00105444-0j 0.0034978-0j -0.000320593-0j -0.000234128-0j 0.00255443-0j 9.76939e-05-0j 0.00252701-0j 
-0.0633041-0j -0.0167754-0j 0.00193414-0j -0.0022227-0j 0.00749088-0j -0.0086085-0j 0.00198506-0j 0.000295915-0j 0.00325843-0j -0.00131706-0j -0.281576-0j 0.000485738-0j -0.000196336-0j 0.000610567-0j 0.000263016-0j -0.462202-0j 0.186823-0j -0.122482-0j -0.052762-0j -0.000123396-0j 0.00167211-0j 0.0007203-0j 2.77244e-05-0j 6.43595e-05-0j 0.0550392-0j -0.112442-0j -0.000274369-0j 0.000560521-0j 0.0247537-0j 0.00915851-0j 0.00394525-0j -2.8921e-05-0j -0.000337934-0j -1.30071e-05-0j -0.000751389-0j -0.00411553-0j 0.00840781-0j 0.00153505-0j 5.90841e-05-0j -0.00185094-0j 
-0.0775314-0j -0.00116269-0j -0.0026358-0j 0.00241414-0j -0.0102084-0j 0.00934991-0j -0.00015309-0j -2.28213e-05-0j -0.00213864-0j 0.00295228-0j 0.0217155-0j -0.00031881-0j 0.0004401-0j -2.26783e-05-0j 0.000317865-0j 0.303362-0j -0.418775-0j 0.00454935-0j -0.0637649-0j 0.000419176-0j -6.21071e-05-0j 0.00087051-0j 3.35059e-05-0j -2.3905e-06-0j -0.191809-0j 0.0492286-0j 0.000956158-0j -0.000245403-0j -0.0840882-0j -0.000340175-0j 0.00476798-0j 0.000100788-0j 0.00114796-0j 4.41851e-05-0j 0.00261855-0j 0.0143424-0j -0.00368104-0j -0.000672063-0j -2.58677e-05-0j 0.00628765-0j 
0.0566209-0j 0.00084911-0j -0.00538481-0j -0.00176304-0j -0.0208553-0j -0.00682821-0j -0.000312754-0j -4.66226e-05-0j 0.00156185-0j -0.00215604-0j 0.0443635-0j 0.000232826-0j -0.000321403-0j 1.65619e-05-0j 0.000649382-0j -0.221545-0j 0.30583-0j -0.00332237-0j -0.130268-0j -0.000306123-0j 4.53566e-05-0j 0.00177841-0j 6.84509e-05-0j 1.74578e-06-0j -0.0492286-0j -0.0221232-0j 0.000245403-0j 0.000110283-0j 0.0614093-0j 0.000248429-0j 0.00974073-0j 2.58677e-05-0j -0.000838353-0j -3.22682e-05-0j 0.000672063-0j 0.00368104-0j 0.00165425-0j 0.000302023-0j 1.16249e-05-0j -0.00459185-0j 
0.0653802-0j -0.0153646-0j 0.0022227-0j -0.0022809-0j 0.0086085-0j -0.00883387-0j -0.00202303-0j -0.000301575-0j -0.00336529-0j 0.000924525-0j 0.286962-0j -0.000501668-0j 0.00013782-0j 0.00055922-0j -0.000300322-0j 0.47736-0j -0.131142-0j -0.112181-0j 0.0602455-0j 0.000526719-0j 0.00153149-0j -0.000822465-0j -3.16567e-05-0j 5.89469e-05-0j -0.0568443-0j -0.0415132-0j 0.000283367-0j 0.000206942-0j -0.105662-0j 0.0083883-0j -0.00450483-0j 2.98695e-05-0j 0.00144248-0j 5.5521e-05-0j 0.000776031-0j 0.0042505-0j 0.00310413-0j 0.000566733-0j 2.18136e-05-0j 0.00790078-0j 
-0.0477469-0j 0.0231574-0j 0.00145882-0j -0.00113944-0j 0.00564998-0j -0.00441305-0j -0.00274026-0j -0.000408494-0j -0.00131706-0j -0.00346869-0j 0.3887-0j -0.000196336-0j -0.000517082-0j 0.000451686-0j 0.000134832-0j 0.186823-0j 0.492027-0j -0.0906098-0j -0.0270478-0j -0.00014595-0j 0.00123699-0j 0.000369254-0j 1.42126e-05-0j 4.76119e-05-0j 0.0415132-0j -0.0848093-0j -0.000206942-0j 0.000422771-0j 0.029278-0j 0.00677529-0j 0.00202249-0j -2.18136e-05-0j -0.0003997-0j -1.53844e-05-0j -0.000566733-0j -0.00310413-0j 0.00634157-0j 0.00115781-0j 4.4564e-05-0j -0.00218924-0j 
0.0671441-0j 0.017793-0j 0.00228267-0j 0.00235753-0j 0.00884075-0j 0.00913069-0j 0.00234277-0j 0.000349239-0j 0.00185212-0j 0.00139696-0j -0.332317-0j 0.000276098-0j 0.000208246-0j 0.000347052-0j 0.000310413-0j -0.26272-0j -0.198156-0j -0.0696198-0j -0.0622698-0j 0.000130881-0j 0.00095044-0j 0.0008501-0j 3.27204e-05-0j 3.65825e-05-0j -0.0583779-0j -0.0426332-0j 0.000291012-0j 0.000212525-0j -0.0262553-0j 0.00520578-0j 0.00465619-0j 3.06753e-05-0j 0.000358434-0j 1.37961e-05-0j 0.000796969-0j 0.00436518-0j 0.00318787-0j 0.000582024-0j 2.24021e-05-0j 0.00196322-0j 
0.0031652-0j -0.0371437-0j 0.137467-0j 0.141976-0j 0.000416757-0j 0.000430425-0j -0.00489065-0j -0.274426-0j -0.0038664-0j -0.00291622-0j 0.000349239-0j -0.216953-0j -0.163636-0j 0.0209002-0j 0.0186937-0j 0.000276098-0j 0.000208246-0j -0.00324001-0j -0.00289795-0j 0.00788196-0j 4.48042e-05-0j 4.00741e-05-0j -0.114942-0j -0.128509-0j -0.00271683-0j -0.00198409-0j 0.0175254-0j 0.0127987-0j -0.00122188-0j 0.000245403-0j 0.000219495-0j -0.107758-0j 1.68967e-05-0j -0.0484638-0j 3.75695e-05-0j 0.000205776-0j 0.000150278-0j 2.74369e-05-0j -0.0786954-0j 9.25471e-05-0j 
0.000735112-0j 0.0320653-0j 0.0319265-0j 0.308841-0j 9.6791e-05-0j 0.000936307-0j 0.00422198-0j 0.236905-0j -0.000897962-0j 0.0068603-0j -0.00030149-0j -0.0503868-0j 0.384948-0j -0.0180426-0j 0.0406646-0j 6.41232e-05-0j -0.000489891-0j 0.00279702-0j -0.00630394-0j -0.0320828-0j -3.86784e-05-0j 8.71735e-05-0j -0.250034-0j 0.110939-0j -0.000630978-0j -0.000460801-0j 0.00407023-0j 0.00297247-0j 0.00497357-0j -0.00021185-0j 0.000477469-0j -0.0250266-0j -6.87766e-05-0j 0.197268-0j 8.72543e-06-0j 4.77911e-05-0j 3.49017e-05-0j 6.37215e-06-0j -0.0182768-0j -0.000376705-0j 
0.0155941-0j -0.0153602-0j 0.000530146-0j 0.00512837-0j 0.00205325-0j 0.0198621-0j -0.00202246-0j -0.00030149-0j 0.000430151-0j -0.00328629-0j 0.286881-0j 6.41232e-05-0j -0.000489891-0j -0.000299601-0j 0.000675243-0j -0.0610161-0j 0.466154-0j 0.0601011-0j -0.135456-0j -0.000532741-0j -0.000820492-0j 0.00184923-0j 7.11769e-05-0j -3.15808e-05-0j -0.0135582-0j -0.00990148-0j 6.75869e-05-0j 4.93585e-05-0j 0.10687-0j -0.00449402-0j 0.0101286-0j 7.12428e-06-0j -0.00145897-0j -5.61558e-05-0j 0.000185094-0j 0.0010138-0j 0.000740377-0j 0.000135174-0j 5.20284e-06-0j -0.00799112-0j 
