-0.264996-0j -0.00281004-0j -0.0108832-0j -0.0348916-0j 0.0319573-0j -0.00520134-0j 0.00476391-0j -0.000369993-0j -0.110337-0j 0.101058-0j -0.00165466-0j -3.90007e-05-0j 0.00713518-0j -0.00101327-0j -0.0231154-0j -0.00516876-0j 0.0319095-0j -0.00554989-0j -0.0141552-0j 0.0195405-0j 0.000752114-0j -0.0775314-0j -0.000544835-0j 0.107028-0j 
0.0482545-0j -0.0147615-0j -4.4752e-05-0j 0.00635359-0j -0.00581927-0j 0.356515-0j -0.326533-0j -0.00194362-0j -0.000453708-0j 0.000415552-0j 0.000301305-0j 0.0119507-0j 0.037482-0j -4.16657e-06-0j -0.00785444-0j 0.0506663-0j -0.00581056-0j -2.28213e-05-0j 0.000108614-0j 8.03509e-05-0j -0.230465-0j 0.000594906-0j -0.311532-0j 0.0004401-0j 
0.086391-0j 0.0335246-0j 0.130686-0j -0.334189-0j -0.345149-0j 0.00532765-0j 0.00550237-0j -0.129684-0j -0.00255211-0j -0.0026358-0j 0.00953212-0j 0.000946519-0j -0.0773287-0j 0.0247489-0j 0.00753581-0j -0.102524-0j 0.00568386-0j -0.00226838-0j 0.0195657-0j 0.0147574-0j 0.000564395-0j -0.00179331-0j 0.000748289-0j -0.0013526-0j 
-0.0630911-0j -0.0244829-0j -0.0954399-0j -0.682731-0j 0.252061-0j 0.0108841-0j -0.00401837-0j -0.264938-0j -0.00521382-0j 0.00192492-0j 0.0194736-0j 0.00193369-0j 0.0564729-0j 0.0505607-0j -0.00550337-0j 0.0748731-0j -0.00415091-0j -0.00463417-0j -0.0142888-0j -0.0107773-0j -0.000412176-0j 0.00130965-0j -0.000546473-0j 0.000987798-0j 
-0.0431602-0j -0.206901-0j -0.000627256-0j 0.00510722-0j 0.00583161-0j 0.286578-0j 0.327225-0j 0.0244829-0j -0.000364704-0j -0.000416433-0j -0.00379541-0j -0.150538-0j 0.0124497-0j 5.24845e-05-0j -0.00376482-0j 0.0242856-0j -0.00192999-0j 0.00028747-0j 5.20615e-05-0j 2.66888e-05-0j -0.0765497-0j 0.000285153-0j -0.149325-0j 0.00014618-0j 
-0.038854-0j 0.0418196-0j 0.163022-0j 0.1503-0j 0.641559-0j -0.00239609-0j -0.0102278-0j -0.161772-0j 0.0011478-0j 0.0048994-0j 0.0118907-0j 0.00118072-0j 0.0545375-0j 0.0308726-0j -0.0033892-0j 0.0461099-0j -0.00400865-0j -0.00282964-0j -0.00879961-0j -0.0104079-0j -0.00039805-0j 0.000806533-0j -0.00033654-0j 0.000953946-0j 
-0.0231154-0j -0.000245117-0j -0.000949334-0j -0.00304356-0j 0.00278761-0j -0.000453708-0j 0.000415552-0j -3.22741e-05-0j 0.431723-0j -0.395416-0j 0.0064743-0j -3.40199e-06-0j 0.000622395-0j -8.83863e-05-0j -0.168772-0j 0.000841324-0j -0.124855-0j -0.000484112-0j 0.00230406-0j 0.0017045-0j 6.56062e-05-0j 0.0126199-0j 8.86833e-05-0j 0.00933593-0j 
0.020675-0j -0.00343562-0j -0.0133061-0j -0.00244651-0j -0.00279352-0j -0.000364704-0j -0.000416433-0j 0.000406543-0j 0.347033-0j 0.396255-0j -0.081554-0j 4.28534e-05-0j 0.00020673-0j 0.00111336-0j -0.0808967-0j 0.000403267-0j -0.0414708-0j 0.00609815-0j 0.00110439-0j 0.000566154-0j 2.17913e-05-0j 0.006049-0j 4.2508e-05-0j 0.00310095-0j 
-0.0404627-0j 0.218725-0j 0.000663104-0j -0.00532765-0j -0.00550237-0j -0.298947-0j -0.308751-0j 0.0287992-0j 0.000380445-0j 0.000392922-0j -0.00446453-0j -0.177077-0j 0.0171725-0j 6.17374e-05-0j -0.00352952-0j 0.0227677-0j -0.00266213-0j 0.000338149-0j 4.88077e-05-0j 3.6813e-05-0j -0.105589-0j 0.000267331-0j -0.139992-0j 0.000201633-0j 
0.0193828-0j 0.00363197-0j 0.0140666-0j 0.00255211-0j 0.0026358-0j 0.000380445-0j 0.000392922-0j 0.000478216-0j -0.362011-0j -0.373883-0j -0.0959316-0j 5.04083e-05-0j 0.000285153-0j 0.00130965-0j -0.0758406-0j 0.000378063-0j -0.0572026-0j 0.00717323-0j 0.00103537-0j 0.000780923-0j 3.00577e-05-0j 0.00567094-0j 3.98513e-05-0j 0.00427729-0j 
-0.0141552-0j -0.00265242-0j -0.0102728-0j 0.00521382-0j -0.00192492-0j 0.00077723-0j -0.00028695-0j 0.000976969-0j -0.73957-0j 0.273046-0j -0.195983-0j 0.000102982-0j -0.000208246-0j 0.00267554-0j 0.0553862-0j -0.000276098-0j 0.0417749-0j 0.0146545-0j -0.000756125-0j -0.000570305-0j -2.19511e-05-0j -0.00414147-0j -2.91033e-05-0j -0.00312369-0j 
0.0295498-0j -0.159734-0j -0.000484263-0j -0.0108841-0j 0.00401837-0j -0.610734-0j 0.22548-0j 0.0588352-0j 0.00077723-0j -0.00028695-0j -0.0091208-0j -0.36176-0j -0.012541-0j 0.000126126-0j 0.0025776-0j -0.0166272-0j 0.00194415-0j 0.000690822-0j -3.56441e-05-0j -2.68844e-05-0j 0.077111-0j -0.000195231-0j 0.102236-0j -0.000147252-0j 
0.0181979-0j 0.272845-0j 0.000827178-0j 0.00239609-0j 0.0102278-0j 0.13445-0j 0.573904-0j 0.035925-0j -0.000171104-0j -0.00073036-0j -0.0055692-0j -0.220892-0j -0.0121112-0j 7.70132e-05-0j 0.00158739-0j -0.0102397-0j 0.00187752-0j 0.000421819-0j -2.19511e-05-0j -2.59631e-05-0j 0.0744684-0j -0.000120231-0j 0.0629609-0j -0.000142206-0j 
-0.00871736-0j 0.00453064-0j 0.0175471-0j -0.0011478-0j -0.0048994-0j -0.000171104-0j -0.00073036-0j 0.000596541-0j 0.162813-0j 0.694971-0j -0.119668-0j 6.2881e-05-0j -0.000201109-0j 0.0016337-0j 0.034109-0j -0.000170032-0j 0.0403432-0j 0.00894812-0j -0.000465652-0j -0.000550761-0j -2.11988e-05-0j -0.00255048-0j -1.7923e-05-0j -0.00301664-0j 
