-0.0092994-0j 0.0705775-0j -0.0012253-0j 0.0168121-0j 0.00720328-0j 0.00258285-0j 0.000197033-0j -0.00857174-0j 0.0637405-0j -0.00107147-0j -0.000714312-0j 0.0147014-0j 0.00839855-0j -6.31368e-05-0j 0.0021294-0j 0.00150045-0j 0.000251391-0j 1.40777e-05-0j -0.005608-0j -0.00566611-0j 0.0411185-0j 0.0415446-0j -0.00067723-0j 0.00929212-0j -0.000684248-0j -0.000618224-0j 0.00938842-0j -0.00062463-0j 0.00513981-0j 0.00342654-0j 0.00130317-0j 0.00519307-0j -6.30972e-05-0j 0.00346205-0j 0.00131667-0j -6.37511e-05-0j 0.00122434-0j 0.000302866-0j 0.000145049-0j 0.00123703-0j 0.000133004-0j 0.000306005-0j 0.000146552-0j 0.000134382-0j 1.43489e-05-0j 1.44976e-05-0j 6.33485e-07-0j 6.4005e-07-0j -0.00428049-0j -0.00529683-0j -0.00308982-0j 0.0310631-0j 0.0384387-0j 0.0224226-0j -0.00050446-0j 0.00692159-0j -0.000624238-0j -0.000451203-0j 0.00856503-0j -0.000364139-0j -0.000308918-0j 0.00499627-0j -0.000558335-0j 0.00375123-0j -0.000382266-0j 0.000951101-0j -0.000325696-0j 0.00342439-0j -0.000222989-0j 0.00464191-0j -4.45884e-05-0j 0.00117693-0j 0.00270778-0j -4.20384e-05-0j 0.00423746-0j 0.000865199-0j 0.000686541-0j 0.000576799-0j -5.51754e-05-0j 0.00247185-0j 0.000102501-0j 0.0003495-0j -5.20198e-05-0j 0.00107063-0j -3.21856e-05-0j -1.85785e-06-0j -3.03449e-05-0j 0.000125319-0j 0.000713752-0j 0.000126838-0j 0.000624533-0j 0.000432484-0j 5.09823e-05-0j 9.55996e-06-0j 0.000416356-0j 7.39891e-05-0j -2.29897e-06-0j 0.000252283-0j 1.04615e-05-0j 0.000155074-0j 6.30874e-05-0j -1.34107e-06-0j 8.28493e-07-0j 1.18298e-05-0j 9.04597e-05-0j 1.29454e-05-0j 3.6801e-05-0j 6.90074e-06-0j 3.01582e-08-0j 7.55148e-06-0j 1.02521e-06-0j 3.73189e-08-0j 5.98038e-07-0j 2.17694e-08-0j 
-0.000345235-0j -0.501715-0j -4.54888e-05-0j 0.000624141-0j 0.000267418-0j 9.58868e-05-0j 7.31474e-06-0j 0.000305625-0j -0.00227266-0j -0.00731524-0j 2.54687e-05-0j 0.100371-0j -0.000299449-0j 2.25114e-06-0j -7.59235e-05-0j -5.34985e-05-0j -8.96331e-06-0j -5.01938e-07-0j 0.000200209-0j 0.000210187-0j -0.00146796-0j -0.00154111-0j 2.41775e-05-0j -0.000331735-0j 2.53824e-05-0j -0.00422622-0j -0.000348267-0j -0.00443684-0j 0.0351361-0j -0.00012233-0j 0.00890854-0j 0.0368871-0j 2.25261e-06-0j -0.000128426-0j 0.0093525-0j 2.36487e-06-0j -4.37099e-05-0j -1.08125e-05-0j -5.17835e-06-0j -4.58882e-05-0j -4.74833e-06-0j -1.13514e-05-0j -5.43642e-06-0j -4.98496e-06-0j -5.12266e-07-0j -5.37796e-07-0j -2.26158e-08-0j -2.37429e-08-0j -0.000158911-0j -0.000181615-0j -0.000101355-0j 0.0011532-0j 0.00131796-0j 0.000735527-0j -1.87278e-05-0j 0.00025696-0j -2.14035e-05-0j -1.67507e-05-0j 0.000293673-0j -1.19448e-05-0j 0.00440348-0j 0.000163893-0j -1.91439e-05-0j 0.000139262-0j 0.00503262-0j 3.53091e-05-0j -1.06838e-05-0j -0.024343-0j 0.0028086-0j 0.000159159-0j 0.000316966-0j 4.03538e-05-0j 8.88234e-05-0j -1.56065e-06-0j -0.0278209-0j -0.00615044-0j 2.25206e-05-0j 2.14134e-05-0j 0.000362252-0j -0.0155263-0j -0.000728649-0j 1.2975e-05-0j -1.78363e-06-0j -0.00702917-0j 0.000202165-0j -6.89717e-08-0j -9.95404e-07-0j 4.65238e-06-0j 2.44727e-05-0j -0.000832753-0j -0.00392283-0j 1.48288e-05-0j 1.89269e-06-0j 3.54908e-07-0j 1.36577e-05-0j -0.000464742-0j -7.88259e-08-0j 8.27563e-06-0j 3.88376e-07-0j 5.31708e-06-0j 2.1631e-06-0j -4.39911e-08-0j 3.07574e-08-0j 4.05615e-07-0j 2.96735e-06-0j 4.43864e-07-0j 1.20718e-06-0j 2.26365e-07-0j 1.11961e-09-0j 2.47711e-07-0j 3.51518e-08-0j 1.27957e-09-0j 1.96175e-08-0j 7.14101e-10-0j 
-4.06779e-06-0j 9.39299e-05-0j 5.09827e-05-0j -0.00104858-0j -0.00183337-0j -0.468435-0j 0.00234625-0j -3.74949e-06-0j 8.48308e-05-0j 4.45818e-05-0j -3.12458e-07-0j -0.000916929-0j -0.00106321-0j 7.93626e-06-0j 0.00406007-0j 0.0178971-0j -0.141023-0j 0.00028067-0j -2.45308e-06-0j -2.4785e-06-0j 5.47236e-05-0j 5.52907e-05-0j 2.81783e-05-0j -0.000579553-0j 2.84703e-05-0j -2.70426e-07-0j -0.000585559-0j -2.73229e-07-0j -0.000650669-0j 4.5603e-06-0j 0.00248471-0j -0.000657412-0j 5.27832e-06-0j 4.60756e-06-0j 0.00251046-0j 5.33301e-06-0j 0.00726368-0j -0.000115829-0j 0.000855426-0j 0.00733896-0j -0.0484979-0j -0.00011703-0j 0.000864291-0j -0.0490004-0j -0.0162529-0j -0.0164213-0j 1.89951e-05-0j 1.9192e-05-0j -1.87239e-06-0j -2.31697e-06-0j -1.35156e-06-0j 4.13412e-05-0j 5.11571e-05-0j 2.98416e-05-0j 2.09897e-05-0j -0.000431702-0j 2.59734e-05-0j -1.97367e-07-0j -0.000534204-0j 1.51511e-05-0j -1.35128e-07-0j -0.000311619-0j -2.4423e-07-0j -0.000474883-0j -1.67213e-07-0j 0.00181344-0j -1.42467e-07-0j 4.55744e-06-0j -9.75407e-08-0j -0.000587637-0j 3.72999e-06-0j 0.00224402-0j -0.000342789-0j 1.74914e-06-0j 5.63954e-06-0j 0.00513297-0j 0.00130901-0j -3.59751e-05-0j 4.61563e-06-0j 3.28973e-06-0j 0.000604498-0j -8.89543e-05-0j 2.16445e-06-0j 0.00635173-0j 2.69245e-06-0j 3.11645e-07-0j 1.2626e-06-0j -0.0227283-0j -4.4517e-05-0j 0.000748028-0j 0.00370518-0j -0.000110075-0j 0.000913749-0j 0.000113839-0j -2.59682e-05-0j 0.00043635-0j 3.85641e-07-0j -6.42106e-05-0j -0.0117989-0j -0.0281248-0j 0.00113071-0j 2.24957e-07-0j -0.00157119-0j 0.000140869-0j -0.0164061-0j -0.0146004-0j 0.000659579-0j 8.21734e-05-0j 1.2682e-06-0j -0.00851689-0j -0.00194425-0j 1.56932e-06-0j -0.00113415-0j 9.15435e-07-0j 
0.000197277-0j 3.18355e-05-0j 0.354243-0j -0.000537534-0j -0.000621381-0j -3.64238e-05-0j 1.74779e-08-0j 0.000181841-0j 2.87515e-05-0j -0.0021621-0j -0.00435726-0j 3.28081e-06-0j 0.051628-0j -0.000384888-0j -4.52303e-05-0j -6.40364e-05-0j -2.65423e-06-0j 1.03991e-09-0j -0.000347778-0j 0.000120201-0j -5.42195e-05-0j 1.87396e-05-0j 0.0039949-0j -6.06192e-06-0j -0.00138074-0j 0.00549289-0j 2.09515e-06-0j -0.00189848-0j 0.000644674-0j 0.0012992-0j -5.64786e-07-0j -0.000222815-0j -0.107213-0j -0.000449037-0j 1.95204e-07-0j 0.0370554-0j -0.0108852-0j 0.000114762-0j 6.74315e-06-0j 0.00376218-0j 1.10238e-05-0j -3.96646e-05-0j -2.3306e-06-0j -3.81009e-06-0j 3.5393e-07-0j -1.22327e-07-0j -1.17196e-10-0j 4.05058e-11-0j 9.08062e-05-0j -0.000328482-0j 6.55474e-05-0j 1.40117e-05-0j -5.06858e-05-0j 1.01142e-05-0j -0.00101794-0j 1.54464e-06-0j 0.00368231-0j -0.00137137-0j -5.58759e-06-0j -0.000734791-0j 6.55337e-06-0j 1.11498e-06-0j 0.00496078-0j -0.000160951-0j -2.37061e-05-0j 1.41006e-07-0j -0.000989907-0j -0.000221304-0j 4.73047e-06-0j 0.000582224-0j -0.000180895-0j -5.10074e-07-0j -0.000116181-0j 0.0243919-0j 0.000800543-0j -1.8366e-05-0j 1.01784e-07-0j -3.70127e-05-0j 0.000654368-0j -0.000159746-0j 1.13774e-08-0j 0.00431952-0j -0.0882352-0j 6.64369e-05-0j -0.000130577-0j -1.5114e-05-0j 0.017607-0j 0.000253199-0j 0.000133889-0j -4.11565e-08-0j -1.32573e-05-0j -0.0156254-0j -3.26943e-06-0j -1.21497e-07-0j -2.67172e-05-0j 8.21263e-09-0j 5.46732e-05-0j 0.00311799-0j -2.22069e-07-0j -0.00091592-0j 1.18268e-05-0j -1.09098e-05-0j -5.82144e-09-0j 4.39503e-07-0j 0.000182769-0j 8.03312e-07-0j -2.36e-06-0j -8.77014e-08-0j 1.66938e-12-0j -1.60298e-07-0j 2.10584e-08-0j -6.03881e-12-0j -4.20214e-09-0j 1.20502e-12-0j 
-4.64987e-05-0j 0.000713304-0j 0.000877789-0j 0.560344-0j 7.28013e-05-0j -0.00122334-0j -0.000188094-0j -8.48311e-07-0j 1.27504e-05-0j -1.06039e-07-0j 2.03272e-05-0j -6.76907e-05-0j -0.000240699-0j -6.2484e-09-0j 0.00286001-0j -6.90866e-06-0j -3.55372e-06-0j -3.32955e-07-0j -2.8041e-05-0j 2.72101e-05-0j 0.000415572-0j -0.000403257-0j -3.38627e-06-0j -0.00216165-0j 3.28593e-06-0j 0.000442886-0j 0.0020976-0j -0.000429762-0j 5.19464e-05-0j -0.0099579-0j -0.000617233-0j -5.04072e-05-0j 4.52018e-05-0j 0.00966283-0j 0.000598943-0j -4.38624e-05-0j 0.0408071-0j 3.06097e-06-0j 0.0148426-0j -0.0395979-0j -6.29961e-05-0j -2.97027e-06-0j -0.0144028-0j 6.11294e-05-0j -1.3698e-05-0j 1.32921e-05-0j -9.09204e-07-0j 8.82262e-07-0j 4.16147e-05-0j -5.24206e-07-0j 2.9982e-05-0j -0.00061041-0j 7.68913e-06-0j -0.000439779-0j 4.90434e-06-0j 0.00313073-0j -6.17783e-08-0j -0.000628472-0j -3.94367e-05-0j 3.53341e-06-0j 3.00328e-06-0j 0.00225558-0j 7.91665e-06-0j -7.3714e-05-0j -3.78313e-08-0j 0.000875878-0j -0.000452792-0j 0.00964095-0j 2.16376e-06-0j 9.2855e-07-0j 4.33487e-07-0j -1.10331e-05-0j -5.31084e-05-0j -0.000117518-0j -0.000121444-0j 0.000391341-0j 0.000631039-0j -0.0750183-0j -5.46048e-09-0j 0.00694597-0j 0.000142341-0j 0.000983975-0j 1.48033e-06-0j -4.92958e-06-0j 3.12312e-07-0j 1.80619e-08-0j -8.46673e-05-0j -0.0165346-0j 0.00094498-0j -1.79302e-06-0j 0.000281947-0j -1.23948e-05-0j 2.306e-05-0j -0.00254227-0j -0.0540481-0j 0.000102552-0j -2.2752e-10-0j 0.00070892-0j 1.45276e-05-0j 0.00020828-0j -2.90479e-07-0j 1.3013e-08-0j 1.92491e-06-0j 3.20241e-05-0j -0.0119126-0j -1.82999e-07-0j 1.66139e-05-0j -0.00183161-0j 9.82462e-08-0j 1.04666e-05-0j -2.42475e-08-0j -1.23757e-09-0j 1.38683e-06-0j 7.0783e-08-0j 
0.000142402-0j 0.206947-0j 1.87632e-05-0j -0.000257445-0j -0.000110304-0j -3.95513e-05-0j -3.01718e-06-0j -0.000383387-0j 0.00285091-0j 0.00917652-0j -3.19489e-05-0j -0.125909-0j 0.000375641-0j -2.82391e-06-0j 9.52414e-05-0j 6.71105e-05-0j 1.12439e-05-0j 6.2965e-07-0j 8.58756e-05-0j 0.000406759-0j -0.00062965-0j -0.0029824-0j 1.03705e-05-0j -0.000142291-0j 4.91208e-05-0j -0.00181275-0j -0.000673975-0j -0.00858628-0j 0.0150709-0j -5.24708e-05-0j 0.00382114-0j 0.0713849-0j 9.66211e-07-0j -0.000248533-0j 0.0180992-0j 4.57656e-06-0j -1.87485e-05-0j -4.63781e-06-0j -2.22115e-06-0j -8.8804e-05-0j -2.0367e-06-0j -2.19675e-05-0j -1.05207e-05-0j -9.64703e-06-0j -2.19726e-07-0j -1.04076e-06-0j -9.70059e-09-0j -4.59479e-08-0j 6.55474e-05-0j -0.000236911-0j 5.78938e-05-0j -0.000475672-0j 0.00171924-0j -0.00042013-0j 7.72483e-06-0j -0.000105991-0j -2.79202e-05-0j 6.9093e-06-0j 0.000383087-0j 6.82285e-06-0j -0.00181634-0j -9.36148e-05-0j -2.49726e-05-0j -5.74428e-05-0j 0.00656488-0j -1.45643e-05-0j 6.10254e-06-0j 0.010041-0j -0.00160426-0j 0.000207618-0j -0.000130742-0j 5.26402e-05-0j -5.07356e-05-0j 6.43736e-07-0j -0.0362915-0j 0.00253693-0j -1.28637e-05-0j -8.83256e-06-0j 0.000472546-0j 0.00886854-0j 0.000300553-0j -5.35192e-06-0j -2.32668e-06-0j -0.00916933-0j -0.000115476-0j 2.84494e-08-0j 5.68571e-07-0j -1.91901e-06-0j 3.19239e-05-0j -0.0010863-0j 0.00224071-0j 1.93437e-05-0j -7.80695e-07-0j -1.46392e-07-0j -7.80123e-06-0j 0.000265459-0j -1.02826e-07-0j -4.72701e-06-0j -1.60197e-07-0j 6.93596e-06-0j 2.8217e-06-0j 2.51275e-08-0j -1.26868e-08-0j 5.29111e-07-0j -1.69494e-06-0j 5.79007e-07-0j -6.89538e-07-0j -1.29299e-07-0j -4.61815e-10-0j -1.41492e-07-0j 4.58543e-08-0j 1.66916e-09-0j -1.12054e-08-0j -4.07892e-10-0j 
1.85668e-07-0j -7.16546e-06-0j 2.4464e-08-0j 0.000161224-0j -7.31322e-07-0j -0.00234625-0j -0.453109-0j 1.7114e-07-0j -6.47133e-06-0j 2.13925e-08-0j 1.42617e-08-0j 0.000140982-0j -8.52673e-07-0j 1.26057e-09-0j -0.00193434-0j 1.43889e-05-0j 0.01608-0j -0.170874-0j 1.11967e-07-0j 1.13127e-07-0j -4.1746e-06-0j -4.21787e-06-0j 1.35213e-08-0j 8.9109e-05-0j 1.36614e-08-0j 1.23432e-08-0j 9.00324e-05-0j 1.24711e-08-0j -5.21826e-07-0j -3.47884e-07-0j -0.00118379-0j -5.27233e-07-0j 1.25977e-09-0j -3.51489e-07-0j -0.00119606-0j 1.27283e-09-0j 1.17411e-05-0j -3.07489e-08-0j 0.00927797-0j 1.18628e-05-0j -0.00012082-0j -3.10675e-08-0j 0.00937411-0j -0.000122073-0j -0.0329977-0j -0.0333397-0j -0.0234691-0j -0.0237123-0j 8.54626e-08-0j 1.05755e-07-0j 6.16902e-08-0j -3.15372e-06-0j -3.90253e-06-0j -2.27648e-06-0j 1.00719e-08-0j 6.63762e-05-0j 1.24633e-08-0j 9.00855e-09-0j 8.21363e-05-0j 7.27026e-09-0j 6.16773e-09-0j 4.79129e-05-0j 1.11475e-08-0j -3.80848e-07-0j 7.63218e-09-0j -0.000863978-0j 6.50272e-09-0j -3.47665e-07-0j 4.4521e-09-0j -4.71275e-07-0j 8.90235e-10-0j -0.00106912-0j -2.74911e-07-0j 8.39322e-10-0j -4.30214e-07-0j 8.29702e-06-0j -0.000623652-0j 5.53135e-06-0j 1.10161e-09-0j -2.50958e-07-0j 0.00655639-0j -3.54834e-08-0j 1.03861e-09-0j 1.0267e-05-0j 6.42606e-10-0j 3.70931e-11-0j 6.05855e-10-0j -0.000113839-0j 6.84469e-06-0j 0.00811312-0j 5.98911e-06-0j -4.39085e-08-0j 4.88907e-07-0j -0.0219847-0j 3.99274e-06-0j 0.00473265-0j 4.59004e-11-0j -2.56133e-08-0j 0.000669159-0j -0.000140869-0j 6.04991e-07-0j 2.67752e-11-0j -0.0100562-0j -0.0272046-0j -8.21734e-05-0j 0.000828042-0j 3.52912e-07-0j -0.0158694-0j -0.00262906-0j 0.000483024-0j -0.0124439-0j -0.00325329-0j -0.00725894-0j -0.00189776-0j 
-4.02691e-05-0j 0.000305621-0j 0.00101471-0j 7.28013e-05-0j 0.564421-0j -0.00213893-0j 8.53209e-07-0j -7.34659e-07-0j 5.46301e-06-0j 1.75621e-05-0j -6.12216e-08-0j 1.26001e-06-0j -0.000137658-0j -0.000296859-0j 1.82505e-07-0j 0.00232699-0j -4.12048e-06-0j 1.20656e-09-0j -2.42842e-05-0j 2.35646e-05-0j 0.000178055-0j -0.000172779-0j 0.000560834-0j 4.02375e-05-0j -0.000544216-0j -2.67708e-06-0j -3.90452e-05-0j 2.59776e-06-0j -0.00425643-0j 1.48379e-05-0j 5.64309e-06-0j 0.0041303-0j -0.00494405-0j -1.43982e-05-0j -5.47587e-06-0j 0.00479754-0j -0.00101392-0j 0.071948-0j 6.28105e-07-0j 0.000983872-0j 0.0104217-0j -0.069816-0j -6.09493e-07-0j -0.0101129-0j -1.18828e-05-0j 1.15307e-05-0j 2.74317e-09-0j -2.66188e-09-0j 3.60394e-05-0j -4.53976e-07-0j 2.59651e-05-0j -0.000261535-0j 3.29446e-06-0j -0.000188427-0j -0.000812257-0j -5.8276e-05-0j 1.02317e-05-0j 3.79889e-06-0j 7.34083e-07-0j -0.000585203-0j 2.60092e-06-0j -4.19859e-05-0j -4.78533e-08-0j 0.00604004-0j -3.27629e-08-0j -8.00776e-06-0j 2.73697e-06-0j -2.88315e-05-0j 1.87387e-06-0j -7.60843e-05-0j 0.00679301-0j 1.00871e-07-0j 0.00435164-0j -6.76881e-05-0j 3.63181e-07-0j 0.0013931-0j -5.76931e-06-0j -4.85634e-06-0j -8.55693e-05-0j -2.07721e-05-0j -8.63003e-07-0j -0.0532461-0j 8.52643e-07-0j -1.75484e-05-0j 0.00489413-0j 0.00172223-0j -4.87669e-05-0j 0.000201782-0j 6.11736e-08-0j 1.0871e-08-0j 0.00100368-0j 0.000670723-0j -0.0235481-0j -8.04897e-08-0j -3.49882e-06-0j -6.21764e-07-0j -2.16944e-05-0j -0.038362-0j -0.0015938-0j -2.54177e-06-0j 0.000296627-0j 0.00124081-0j 1.334e-06-0j 1.0139e-09-0j 0.000145377-0j 2.00765e-05-0j -0.0169656-0j -5.799e-08-0j -2.53916e-10-0j -0.00114827-0j -1.68039e-08-0j 3.1985e-12-0j 9.611e-07-0j -1.82938e-10-0j 
-2.84745e-05-0j 0.000436808-0j 0.000537534-0j 0.343139-0j 4.45815e-05-0j -0.00074914-0j -0.000115184-0j -2.62464e-05-0j 0.000394494-0j -3.28081e-06-0j 0.000628916-0j -0.00209433-0j -0.00744713-0j -1.93323e-07-0j 0.0884876-0j -0.000213752-0j -0.000109951-0j -1.03015e-05-0j 5.01975e-05-0j -1.73495e-05-0j -0.000743933-0j 0.000257122-0j 6.06192e-06-0j 0.00386968-0j -2.09515e-06-0j -0.00079283-0j -0.00133746-0j 0.000274022-0j -9.29917e-05-0j 0.0178261-0j 0.00110494-0j 3.21402e-05-0j -8.09179e-05-0j -0.00616114-0j -0.000381893-0j 2.79672e-05-0j -0.0730506-0j -5.47959e-06-0j -0.0265704-0j 0.0252481-0j 0.000112772-0j 1.89388e-06-0j 0.00918338-0j -3.89768e-05-0j 2.45214e-05-0j -8.4752e-06-0j 1.62761e-06-0j -5.62541e-07-0j -1.31067e-05-0j 4.74122e-05-0j -9.46095e-06-0j 0.000192251-0j -0.000695449-0j 0.000138774-0j -1.54464e-06-0j -0.000986036-0j 5.58759e-06-0j 0.00019794-0j 0.00356688-0j -1.11498e-06-0j -9.45898e-07-0j -0.000711758-0j -0.000716027-0j 2.32166e-05-0j 3.42168e-06-0j -0.000275862-0j 0.000142881-0j -0.00303646-0j -6.82785e-07-0j -8.39834e-05-0j -1.36529e-07-0j 0.0009979-0j 1.67586e-05-0j 3.70127e-05-0j 0.0109841-0j -0.000123255-0j -0.000199127-0j 0.0236273-0j 4.93877e-07-0j -0.00219183-0j -4.48308e-05-0j -0.000309907-0j -0.000133889-0j 0.00044586-0j -9.85515e-08-0j -5.68869e-09-0j 2.67172e-05-0j 0.00520763-0j -0.0854694-0j 0.000162171-0j -8.89698e-05-0j 0.00112106-0j -7.26284e-06-0j 0.000800698-0j 0.0170551-0j -3.23606e-05-0j 2.05782e-08-0j -0.000223703-0j -4.57553e-06-0j -0.0188381-0j 2.62725e-05-0j -4.10631e-09-0j -6.0626e-07-0j -0.00289644-0j 0.00375907-0j 1.65515e-05-0j -5.2426e-06-0j 0.000577974-0j -3.09431e-08-0j -3.30279e-06-0j 2.19308e-06-0j 1.11933e-07-0j -4.37621e-07-0j -2.23359e-08-0j 
-0.000281884-0j -4.54888e-05-0j -0.506167-0j 0.000768065-0j 0.000887872-0j 5.20448e-05-0j -2.49736e-08-0j 0.000249541-0j 3.9456e-05-0j -0.00296707-0j -0.0059795-0j 4.50227e-06-0j 0.0708495-0j -0.000528185-0j -6.20698e-05-0j -8.78776e-05-0j -3.64242e-06-0j 1.42708e-09-0j 0.00016347-0j 0.000171617-0j 2.54854e-05-0j 2.67554e-05-0j -0.00187777-0j 2.84935e-06-0j -0.00197135-0j -0.00258188-0j 2.99135e-06-0j -0.00271055-0j -0.000303023-0j -0.000610679-0j 2.65473e-07-0j -0.000318125-0j 0.0503944-0j -0.000641112-0j 2.78703e-07-0j 0.0529059-0j 0.00511647-0j -5.39429e-05-0j -3.16956e-06-0j 0.00537145-0j -5.18163e-06-0j -5.66312e-05-0j -3.32751e-06-0j -5.43985e-06-0j -1.66362e-07-0j -1.74652e-07-0j 5.50869e-11-0j 5.78322e-11-0j -0.00012975-0j -0.000148288-0j -8.27563e-05-0j -2.00209e-05-0j -2.28813e-05-0j -1.27696e-05-0j 0.00145451-0j -2.20709e-06-0j 0.00166232-0j 0.00195951-0j -2.52243e-06-0j 0.000927705-0j -9.36391e-06-0j -1.40771e-06-0j 0.00223947-0j 0.000229978-0j -1.07018e-05-0j -2.01479e-07-0j 0.0012498-0j 0.000316214-0j -5.97242e-06-0j 0.000262836-0j 0.000258475-0j -2.30265e-07-0j 0.000146683-0j -0.0348529-0j 0.000361392-0j 2.62426e-05-0j -1.28506e-07-0j 5.28863e-05-0j 0.000295404-0j 0.000201686-0j -1.62568e-08-0j -0.00617203-0j -0.0398324-0j 2.99919e-05-0j 0.000164859-0j 2.15959e-05-0j -0.0222296-0j -0.000361788-0j 6.04423e-05-0j -1.85794e-08-0j 1.67378e-05-0j -0.00705384-0j 4.67159e-06-0j 1.73604e-07-0j 3.37316e-05-0j -1.03688e-08-0j 2.46814e-05-0j -0.0039366-0j 3.17308e-07-0j -0.000413478-0j 5.33903e-06-0j 1.37741e-05-0j 8.31808e-09-0j 1.98407e-07-0j -0.000230753-0j 3.62643e-07-0j 2.9796e-06-0j 1.10727e-07-0j -2.38533e-12-0j 2.02383e-07-0j 9.5065e-09-0j -2.72613e-12-0j 5.30538e-09-0j -1.52139e-12-0j 
-2.46597e-05-0j 0.000187154-0j 0.000621381-0j 4.45815e-05-0j 0.345636-0j -0.00130982-0j 5.22482e-07-0j -2.27301e-05-0j 0.000169024-0j 0.000543367-0j -1.89417e-06-0j 3.89843e-05-0j -0.00425911-0j -0.00918473-0j 5.64663e-06-0j 0.0719964-0j -0.000127486-0j 3.73304e-08-0j 4.34723e-05-0j -1.50251e-05-0j -0.000318744-0j 0.000110166-0j -0.00100397-0j -7.2031e-05-0j 0.000346999-0j 4.79237e-06-0j 2.48957e-05-0j -1.65636e-06-0j 0.00761963-0j -2.6562e-05-0j -1.01019e-05-0j -0.00263353-0j 0.00885056-0j 9.18048e-06-0j 3.49148e-06-0j -0.00305897-0j 0.00181506-0j -0.128797-0j -1.1244e-06-0j -0.000627329-0j -0.0186563-0j 0.0445155-0j 3.8862e-07-0j 0.00644808-0j 2.12719e-05-0j -7.3521e-06-0j -4.91067e-09-0j 1.69725e-09-0j -1.13508e-05-0j 4.10602e-05-0j -8.19342e-06-0j 8.23716e-05-0j -0.00029797-0j 5.94589e-05-0j 0.000255824-0j 1.83543e-05-0j -0.000925415-0j -1.19648e-06-0j -6.63947e-05-0j 0.000184663-0j -8.19171e-07-0j 1.32488e-05-0j 4.32812e-06-0j -0.00190234-0j 2.96326e-06-0j 2.52208e-06-0j -8.63662e-07-0j 9.08061e-06-0j -5.91309e-07-0j 0.0068815-0j -0.00213949-0j -9.12335e-06-0j -0.00137318-0j 2.13187e-05-0j -3.28481e-05-0j -0.000438763-0j 1.82053e-06-0j 1.52953e-06-0j 0.00773938-0j 6.55473e-06-0j 2.71807e-07-0j 0.0167701-0j -7.7118e-05-0j 0.00158718-0j -0.00154437-0j -0.000542425-0j 1.53886e-05-0j -6.3552e-05-0j -5.53289e-06-0j -9.83231e-07-0j -0.000316716-0j -0.060664-0j 0.00741657-0j 2.53506e-08-0j 1.10407e-06-0j 1.962e-07-0j 0.00196216-0j 0.0121053-0j 0.000501973-0j 0.000229893-0j -0.0268286-0j -0.000391543-0j -4.20149e-07-0j -9.1703e-08-0j -4.58743e-05-0j -0.00181583-0j 0.00535356-0j 1.8299e-08-0j 7.9972e-11-0j 0.000362343-0j 1.51984e-06-0j -2.8929e-10-0j -3.03279e-07-0j 5.77269e-11-0j 
4.74576e-06-0j -0.000109585-0j -5.94798e-05-0j 0.00122334-0j 0.00213893-0j 0.546508-0j -0.00273729-0j 8.65804e-08-0j -1.95885e-06-0j -1.02945e-06-0j 7.21503e-09-0j 2.1173e-05-0j 2.45507e-05-0j -1.83258e-07-0j -9.3752e-05-0j -0.000413265-0j 0.0032564-0j -6.48101e-06-0j 2.86192e-06-0j -2.77712e-06-0j -6.38442e-05-0j 6.19524e-05-0j -3.28747e-05-0j 0.000676145-0j 3.19005e-05-0j 3.15497e-07-0j -0.000656109-0j -3.06149e-07-0j 0.000759114-0j -5.32035e-06-0j -0.00289883-0j -0.000736619-0j -6.15804e-06-0j 5.1627e-06-0j 0.00281293-0j 5.97556e-06-0j -0.0084743-0j 0.000135134-0j -0.000997997-0j 0.00822318-0j 0.0565808-0j -0.00013113-0j 0.000968425-0j -0.0549042-0j 0.0189617-0j -0.0183998-0j -2.2161e-05-0j 2.15043e-05-0j -4.24728e-06-0j 5.35016e-08-0j -3.06002e-06-0j 9.37773e-05-0j -1.18128e-06-0j 6.75633e-05-0j 4.76124e-05-0j -0.000979261-0j -5.99757e-07-0j -4.47703e-07-0j 1.23354e-05-0j 3.43031e-05-0j -3.06521e-07-0j -0.000705524-0j 5.63956e-09-0j -0.00107721-0j 3.86114e-09-0j 0.00411355-0j -3.22555e-07-0j 1.0338e-05-0j -2.20838e-07-0j 1.35693e-05-0j 8.46101e-06-0j -5.1817e-05-0j -0.000776094-0j 3.9677e-06-0j -1.30224e-07-0j 0.0116435-0j 0.00296367-0j -8.16051e-05-0j -1.0658e-07-0j 7.44815e-06-0j 0.00137123-0j -0.000201782-0j -4.99798e-08-0j -0.000146669-0j 6.09586e-06-0j 7.06927e-07-0j 2.85859e-06-0j -0.0515562-0j 1.02795e-06-0j -1.72729e-05-0j 0.00838874-0j 2.54177e-06-0j 0.00207273-0j 0.00025823-0j -5.87936e-05-0j 0.000987922-0j -8.90492e-09-0j -0.000145377-0j -0.0267643-0j 0.000649436-0j -2.61094e-05-0j 5.09317e-07-0j -0.00356405-0j -3.25283e-06-0j -0.0371445-0j 0.000337141-0j 0.00149333-0j 0.000186045-0j 2.87675e-06-0j -0.0192827-0j 4.48951e-05-0j -3.62374e-08-0j -0.00256777-0j 2.0726e-06-0j 
