0.922472+3.46945e-18j 0.295596-0.025166j -0.104128-0.0153335j 0.0620859+0.0317762j -0.000742324-0.00524824j -0.103172+0.00396315j 0.00929802+0.0172267j -0.0200936+0.00832241j 0.0269547+0.0758205j 0.00150729-0.0444957j 0.00524563+0.0114018j -0.0254401+0.0271944j -0.0209432-0.0197357j 0.0443858-0.000139974j 0.0471669+0.0177115j 0.00820867-0.0191613j 0.0363444-0.00108041j -0.0134077-0.00650904j -0.0132371-0.00925375j 0.0167513-0.0307104j 0.0322908-0.0247835j 0.0141926-0.060942j 0.0223168+0.00415412j -0.0178263+0.0859685j 
-0.0254401-0.0271944j 0.073124+0.0544118j -0.0316482+0.0130262j -0.0444064-0.0211307j -0.110295+0.0389191j -0.0191765+0.0895477j -0.158737+0.103071j -0.0853827-0.0290732j -0.0111998-0.0885525j 0.0604867+0.0807603j 0.0866878+0.0102906j -0.00826233+1.9984e-15j -0.0893815-0.0957077j -0.0390549+0.0391243j 0.00279143-0.0386912j 0.0982187-0.0139195j -0.11205-0.0353882j 0.0925394-0.0877385j -0.200097+0.163269j 0.0184216-0.130809j -0.0773229-0.0511515j 0.0535892-0.206273j 0.145256-0.419977j -0.125841+0.087306j 
-0.0209432+0.0197357j 0.0823144-0.049979j -0.037193-0.00637154j -0.00195012-0.0347696j 0.0215102+0.0857873j 0.0751056+0.0149769j 0.192493+0.192237j -0.0807555+0.00325692j -0.0332053+0.0101967j 0.0502239-0.0206677j 0.116791-0.0945224j -0.0893815+0.0957077j 0.00552361-4.57967e-16j 0.0482975-0.0496152j 0.00249423-0.00116958j -0.0535544+0.14627j 0.237346-0.000570831j 0.109244-0.0603201j -0.156891-0.000927688j -0.0724249+0.392247j -0.27779-0.101948j -0.0422721-0.0969982j -0.255767-0.0601969j -0.209873+0.0384558j 
0.0443858+0.000139974j -0.0407114+0.0225273j 0.0215619-0.049673j 0.0111453-0.0336307j 0.0520117-0.0610303j 0.0111366+0.0563846j -0.0235597+0.0243746j 0.0627808+0.0158794j 0.00518385-0.0168134j -0.00274896-0.0116562j -0.00748529+0.0561425j -0.0390549-0.0391243j 0.0482975+0.0496152j 0.043876+3.28904e-15j -0.0166013-0.0233741j 0.2305-0.101544j 0.226749+0.0784446j -0.0828801-0.0409513j 0.186807+0.334725j -0.165701+0.288094j 0.074111-0.261523j -0.0968699+0.2117j 0.0992377-0.133004j 0.155751-0.0266747j 
0.0471669-0.0177115j 0.0381588-0.00728222j 0.00331477+0.0514564j -0.00676394+0.013195j -0.00475911+0.0120527j 0.0119045-0.01621j 0.0328309+0.0341461j -0.0610405+0.0242018j -0.0252236+0.0292906j 0.0215211-0.00863278j 0.0156424-0.0187141j 0.00279143+0.0386912j 0.00249423+0.00116958j -0.0166013+0.0233741j -0.0406003+4.70457e-15j -0.241912-0.00750659j -0.0972049-0.0301082j -0.188431-0.10234j 0.391406+0.21922j 0.0182677-0.341689j -0.185544+0.0240147j -0.215374+0.196255j -0.140425-0.128328j 0.0238039+0.0552227j 
0.00820867+0.0191613j 0.0725553-0.0139565j -0.0304163-0.0458133j -0.0705169+0.0410751j -0.0587088+0.0471321j -0.0978261-0.030371j -0.0527762-0.097222j 0.00594878-0.000298324j 0.0139329+0.00959252j 0.0366644+0.0551639j -0.0706364-0.0581959j 0.0982187+0.0139195j -0.0535544-0.14627j 0.2305+0.101544j -0.241912+0.00750659j -0.0530284-1.66533e-16j 0.088008+0.0751067j -0.31967+0.507234j -0.0653798+0.182992j -0.0195604+0.0655045j -0.0408257+0.0458487j 0.024916-0.0488029j -0.0171553+0.018612j -0.0271958+0.0252558j 
0.0363444+0.00108041j -0.0164789+0.000403529j -0.00241712+0.0534788j 0.013723+0.00474291j 0.0971648+0.0291127j 0.0017976-0.0122487j 0.0443023+0.0681814j -0.00827388+0.0118199j 0.0203397-0.0125397j -0.0149155+0.00372227j 0.0613076-0.0296878j -0.11205+0.0353882j 0.237346+0.000570831j 0.226749-0.0784446j -0.0972049+0.0301082j 0.088008-0.0751067j -0.369788+4.51687e-14j -0.0940994-0.1295j -0.124627-0.077833j -0.322582-0.134113j 0.154289+0.0123625j -0.0811262-0.00158161j -0.10277+0.00388616j -0.0626489+0.00817891j 
-0.0134077+0.00650904j -0.0180952+0.0531322j -0.00588847-0.00983181j 0.0204993+0.00636936j -0.0251279-0.0412337j 0.040422+0.0357922j -0.0126958-0.00324881j -0.00770619-0.116557j -0.00236723-0.0473028j 0.0381077+0.0180647j 0.0286389+0.0500805j 0.0925394+0.0877385j 0.109244+0.0603201j -0.0828801+0.0409513j -0.188431+0.10234j -0.31967-0.507234j -0.0940994+0.1295j -0.0421745+3.60822e-15j -0.00334803-0.0726984j 0.209835-0.0417511j 0.192-0.203682j 0.0360593-0.0457115j -0.0633222+0.0409844j -0.0751421-0.0814011j 
-0.0132371+0.00925375j 0.0680956+0.0760509j 0.034194+0.0429086j -0.0787043+0.0921524j 0.0548016-0.0599777j -0.107635-0.0594633j -0.00654693+0.0646751j -0.0295718-0.0483232j -0.00718572+0.00213796j -0.0410469+0.144789j -0.122113-0.158457j -0.200097-0.163269j -0.156891+0.000927688j 0.186807-0.334725j 0.391406-0.21922j -0.0653798-0.182992j -0.124627+0.077833j -0.00334803+0.0726984j 0.0418247+2.66454e-15j 0.0958322-0.0421506j 0.0492979-0.0425359j -0.0149746-0.00904652j -0.0596139+0.00708714j -0.0249743-0.0163478j 
0.0167513+0.0307104j -0.0478205-0.0417931j 0.0343658+0.12432j 0.0440773+0.00663023j 0.0766284+0.0319476j -0.00190813+0.0267953j -0.0024247-0.0466384j 0.00718152+0.0117157j -0.0155598-0.0329405j -0.00599553-0.0540472j 0.103365+0.0203008j 0.0184216+0.130809j -0.0724249-0.392247j -0.165701-0.288094j 0.0182677+0.341689j -0.0195604-0.0655045j -0.322582+0.134113j 0.209835+0.0417511j 0.0958322+0.0421506j -0.0115711+4.71845e-16j -0.0356397+0.0888229j -0.0419277+0.0201314j 0.0241931+0.0129231j 0.040733+0.0542266j 
0.0322908+0.0247835j -0.128528-0.106172j 0.0922606-0.0523687j 0.114216+0.113578j 0.275341+0.0852195j -0.0815172+0.0633481j -0.110782-0.0357779j -0.0283628-0.00741354j -0.0316032+0.0126232j 0.000563376+0.0348694j 0.148057+0.0389998j -0.0773229+0.0511515j -0.27779+0.101948j 0.074111+0.261523j -0.185544-0.0240147j -0.0408257-0.0458487j 0.154289-0.0123625j 0.192+0.203682j 0.0492979+0.0425359j -0.0356397-0.0888229j 0.197993-6.34909e-16j -0.1077-0.0445122j -0.0928088+0.00173657j -0.0150999-0.00392122j 
0.0141926+0.060942j -0.0519564-0.0392907j -0.0233558-0.0896447j 0.17251+0.172541j -0.0606015-0.25377j -0.0149091+0.10459j -0.015798+0.0279672j 0.0261104+0.0792942j 0.011406+0.061773j 0.250671+0.242623j -0.00328033-0.11984j 0.0535892+0.206273j -0.0422721+0.0969982j -0.0968699-0.2117j -0.215374-0.196255j 0.024916+0.0488029j -0.0811262+0.00158161j 0.0360593+0.0457115j -0.0149746+0.00904652j -0.0419277-0.0201314j -0.1077+0.0445122j 0.0235121-2.77556e-17j 0.0565019+0.0114999j 0.0244209+0.0140157j 
0.0223168-0.00415412j 0.0265811+0.0547753j 0.0753799-0.122507j -0.214212-0.104289j 0.194003-0.259615j 0.00326935+0.125088j -0.148262-0.0945437j -0.00313269+0.0767699j -0.0744067+0.0171085j -0.288541+0.019287j 0.0433358-0.0665201j 0.145256+0.419977j -0.255767+0.0601969j 0.0992377+0.133004j -0.140425+0.128328j -0.0171553-0.018612j -0.10277-0.00388616j -0.0633222-0.0409844j -0.0596139-0.00708714j 0.0241931-0.0129231j -0.0928088-0.00173657j 0.0565019-0.0114999j 0.0330741-1.38778e-16j 0.00664319+0.00866094j 
-0.0178263-0.0859685j -0.111716+0.288872j -0.019141-0.0277997j 0.292628-0.328661j -0.0578755-0.118691j -0.126764-0.0648561j -0.0566203-0.0439712j -0.00755129-0.0163519j 0.0351194-0.00039858j 0.27363-0.244253j -0.189208-0.372168j -0.125841-0.087306j -0.209873-0.0384558j 0.155751+0.0266747j 0.0238039-0.0552227j -0.0271958-0.0252558j -0.0626489-0.00817891j -0.0751421+0.0814011j -0.0249743+0.0163478j 0.040733-0.0542266j -0.0150999+0.00392122j 0.0244209-0.0140157j 0.00664319-0.00866094j -0.00745531-1.11022e-16j 
