0.972493-1.73472e-18j 0.232172-0.013659j -0.0653013-0.0137243j -0.0188209-0.0303963j -0.0448807+0.0583187j 0.0876688+0.0402258j -0.0138456+0.0290947j 0.0169405-0.0334374j 0.0159136-0.0232298j -0.0212015+0.0294468j -0.0397701+0.00732727j 0.0562771-0.0116436j 0.0144368-0.00968198j 0.0271741+0.0298031j -0.0174183+0.0530345j 0.0143586-0.00035391j -0.00132495-0.0138872j 0.0106321-0.0069195j 0.0164541-0.000169737j 0.0308003-0.00849406j -0.00320277-0.0098126j 0.00312439-0.0133757j -0.0260871+0.019053j -0.00982123+0.00428848j 0.0170983-0.00728087j -0.0218104-0.00671104j 0.0308633+0.022359j 0.0113684-0.00649095j 0.00478053-0.00052657j 0.0341499+0.00344511j 0.0024861-0.00127784j -0.0155541+0.0385692j 0.00269843-0.013972j -0.0126391-0.00470624j -0.0173816+0.0353719j 0.00119095-0.0106606j -0.039156+0.0427801j 0.00694392+0.0198218j -0.0173381+0.00803265j 0.000877022-0.038435j 
0.0562771+0.0116436j 0.0159397-0.0102639j 0.00321659-0.019169j 0.0248277-0.0688465j -0.0560493+0.0168253j 0.0285791+0.0219676j 0.021452-0.0553219j -0.0295049+0.0187231j -0.0797222+0.0189963j -0.0849762-0.0827417j 0.395029+0.0899398j 0.464402+3.28626e-14j -0.0432153+0.00659923j 0.203164-0.148542j 0.240236-0.0828743j 0.00507533+0.196062j -0.00189078-0.0498099j 0.0839907+0.0179627j 0.000267997-0.0211369j 0.000474759+0.0191842j 0.0937595-0.0262375j 0.108676+0.0524763j 0.0924152-0.0200742j -0.00313985-0.0359385j 0.0171447+0.0529311j -0.0344526+0.0181802j 0.00190641+0.0266765j -0.0309382+0.0116238j 6.76955e-05-0.0383061j 0.0567397+0.0328826j 0.0112718-0.00697184j 0.00265139-0.0918994j 0.024118+0.0624802j 0.0100995+0.0345153j -0.00687787+0.0328874j -0.0238797+0.0726746j 0.0596203+0.0511393j -0.0288607-0.0165329j -0.00380781+0.0648135j 0.00706289-0.0254574j 
0.00946484+0.0145801j 0.0547905+0.0136618j 0.067367+0.0919997j 0.128973-0.0583349j -0.0367556-0.0190462j -0.0441812-0.0657244j 0.0922495+0.0231579j -0.0532318-0.0633004j -0.143864+0.0516467j 0.147509+0.246155j -0.185691-0.0953793j -0.0371362-0.0230654j 0.0670375+0.02868j -0.289388+0.0846038j 0.293352+0.11422j -0.0948481+0.131752j 0.31136+0.167682j -0.0180428-0.141043j 0.0890429-0.119921j 0.109612+0.0553663j 0.0916793-0.0869989j -0.0823214-0.0342803j -0.0461093-0.000856798j 0.0318644-0.0479945j -0.131292-0.0215337j 0.0109712+0.00202753j -0.0317124-0.0294914j 0.0585508-0.00451403j -0.0102869-0.0267675j 0.0803454-0.0868026j -0.0549837+0.0794209j -0.0306961-0.00659099j 0.00942296+0.0302423j -0.0404962-0.0614937j -0.0135765-0.0415792j -0.0018626-0.043953j 0.0146327-0.0481948j -0.0985076+0.0388403j -0.0310689-0.0259346j 0.039422-0.0485866j 
0.0271741-0.0298031j 0.0427684-0.0233621j 0.0589894-0.0392129j 0.135996+0.146534j -0.0466241-0.0675625j -0.0372439+0.0116051j 0.0555395+0.171463j -0.0434212+0.00447079j -0.0293089-0.0848021j -0.0530203-0.0439531j -0.13003+0.0780721j 0.203164+0.148542j -0.232784-0.191611j 0.0328055-1.69309e-15j -0.0762792+0.0582585j -0.251345-0.255489j 0.197043-0.0746313j 0.0878721+0.0621768j -0.0444827+0.0906501j 0.0155624+0.00668033j 0.0503384+0.113486j -0.0654418+0.0402252j 0.0290078+0.0306574j 0.0410036-0.0163223j -0.0460216-0.0857119j -0.0133619+0.0230812j -0.00330008+0.0164654j -0.0228848-0.0497392j -0.0592837-0.00803758j -0.0563187-0.0117532j -0.0259138-0.0372178j 0.0425524+0.0444316j -0.0631321+0.000664074j 0.0236786-0.00014371j 0.0280925-0.0412601j -0.013989+0.0629959j -0.0183773-0.0330342j 0.0452613-0.0162064j -0.0174949-0.0304279j -0.00594067+0.0607304j 
-0.0174183-0.0530345j -0.00649574+0.145149j -0.0353938+0.108883j -0.117244-0.00566359j -0.00461852-0.120117j 0.0147724-0.00671518j -0.0963501-0.0535816j 0.0436802-0.0922124j -0.117342-0.227768j -0.140999-0.19507j 0.0529567+0.253022j 0.240236+0.0828743j 0.314633+0.0103728j -0.0762792-0.0582585j -0.00802925-1.38778e-15j 0.15759-0.00305751j 0.0330047+0.399118j 0.0929276+0.230878j -0.0592554+0.0201081j -0.0301557-0.0266867j -0.0292173-0.0186413j -0.0129537+0.0750553j 0.0520485-0.0217401j 0.0277069+0.0829054j 0.00991118-0.0720218j -0.0297953-0.0167194j -0.0165811-0.00888679j 0.0172716+0.0394178j 0.0498824-0.0552375j 0.0376429-0.00759822j -0.00352919+0.017344j -0.0241126-0.01627j -0.0269497-0.038938j -0.00586604+0.0121852j 0.0248846+0.007425j 0.0232269-0.0947998j -0.0257119-0.0173234j -0.0261753-0.00492865j 0.0762335-0.0471025j -0.0123042-0.0529491j 
0.0139011+0.00361292j -0.0183923+0.029471j -0.0233865-0.0848949j -0.120605-0.0434933j -0.0945065-0.0328469j -0.0512307-0.0392907j -0.0428869-0.0356014j 0.0274954+0.0406789j -0.0635888-0.0637922j 0.0101976-0.135156j -0.0763088+0.00748661j 0.0495696-0.18976j 0.00161237-0.162333j -0.302902+0.191572j 0.152758+0.0388479j 0.138209+0.032307j -0.0838436-0.123829j -0.0275989+0.163856j -0.0606185-0.0988316j 0.028252-0.042808j -0.0443635+0.067234j -0.0511777+0.000653065j 0.025438-0.0858805j 0.0607187-0.00952879j 0.0258701-0.071658j 0.0273863+0.0130373j 0.0568065+0.0238481j -0.00795169+0.0316776j -0.0661124-0.00969163j 0.0689841-0.0892255j 0.0638381-0.00862091j -0.0314463+0.140991j 0.00773904+0.0493704j 0.118324-0.00202222j -0.101587+0.156156j -0.0845334+0.00606741j 0.149107-0.124722j 0.293419-0.116161j -0.092587-0.17967j 0.0630189+0.0379868j 
-0.00132495+0.0138872j 0.00297481-0.0748913j -0.0170125-0.0464823j -0.000864736+0.00658012j -0.0765842+0.00264615j -0.0642639+0.0155285j 0.0643948-0.0333015j 0.0149577-0.0048028j -0.14129-0.0738275j 0.105523+0.10903j 0.115344-0.0310583j -0.00189078+0.0498099j 0.352218-0.0316966j 0.197043+0.0746313j 0.0330047-0.399118j -0.109829+0.101494j 0.00218192+4.08007e-15j -0.0168143-0.156354j 0.113436-0.0148516j -0.000860889-0.0181246j 0.155566+0.240324j 0.0101631-0.000356268j -0.0697122-0.00565284j 0.0387565-0.0018818j -0.0548672+0.00106446j 0.000851908+0.00463802j -0.0103129+0.031159j 0.0148418+0.00900149j -0.00793922-0.0646996j -0.0669992-0.0976949j -0.00486624+0.0330857j -0.0499752+0.00993874j -0.0894407+0.0200399j -0.0361835-0.0269753j 0.0321487+0.0414948j 0.0475711-0.0706087j -0.106206+0.0316142j -0.0392446-0.131794j 0.167558-0.0206584j 0.0169015-0.235749j 
0.0106321+0.0069195j -0.0395263+0.0248642j -0.0137024+0.0246268j 0.0242032+0.0119141j 0.0253675-0.0599345j -0.0229977-0.0766624j -0.0585648+0.0216567j -0.0562758-0.0177612j 0.0778312-0.0225105j -0.0285639-0.0110205j -0.0925478-0.158582j 0.0839907-0.0179627j -0.0720655+0.122577j 0.0878721-0.0621768j 0.0929276-0.230878j 0.0104225-0.165837j -0.0168143+0.156354j 0.00176382+1.11022e-16j -0.0289746+0.0290989j -0.012447-0.0242458j -0.0189736+0.0347217j -0.0376878+0.00182566j -0.0165485-0.0231989j -0.0734213-0.0163064j -0.0273659+0.0315992j 0.115779+0.00226518j 0.0928167-0.0185398j 0.0115715-0.0192707j -0.0137862+0.117979j 0.0411667-0.021064j -0.0100058-0.0623949j -0.149216+0.110828j -0.0129315-0.0281279j -0.0480493-0.022828j -0.135925+0.0676407j -0.215185+0.252922j -0.0190991+0.27437j 0.0660941+0.0454254j -0.106176+0.137466j 0.140363-0.122671j 
0.0111144+0.0121341j -0.0163339+0.0406575j -0.0227885+0.0504236j 0.0158535+0.00851298j -0.128425+0.0088259j -0.0640546-0.0523777j -0.0160473+0.0109854j 0.0018814+0.0587166j -0.0741669+0.0108379j -0.0308404+0.108714j -0.0591582+0.041766j -0.0152554+0.0146325j -0.082414+0.12457j 0.0358289-0.0944057j -0.0257853-0.0570145j -0.115896-0.00323774j 0.066631+0.0929982j 0.00146393-0.0410382j 0.0335113+0.0358365j -0.0701508+0.0702288j 0.087174-0.140441j 0.0171832-0.0454048j 0.00886313+0.0395666j 0.0457355-0.0103807j 0.0778271+0.058986j -0.0191572+0.0678318j -0.0386291+0.105767j -0.0987558+0.0543447j 0.0993551+0.0334315j -0.146836-0.0392228j 0.210679-0.0480614j -0.0793273+0.151367j -0.00128984-0.022248j 0.0153804+0.0978887j -0.19712+0.244019j 0.0791251-0.0496135j 0.154017+0.0133607j 0.229239-0.128293j -0.146089+0.100261j -0.152394+0.0358887j 
0.0308003+0.00849406j -0.0191483+0.0432532j -0.00515588+0.011894j -0.0537484-0.0827224j 0.0372136+0.0150569j -0.086851+0.0135946j 0.0101871+0.0311832j -0.0376547+0.017781j 0.0275427-0.0366726j -0.00296584+0.00181199j 0.0484607+0.00330335j 0.000474759-0.0191842j 0.122555-0.00778897j 0.0155624-0.00668033j -0.0301557+0.0266867j 0.0177665+0.048115j -0.000860889+0.0181246j -0.012447+0.0242458j 0.00338145-0.0992058j 0.0543898+4.57967e-16j 0.00708454-0.029854j -0.0164821+0.0192743j -0.0415695-0.0319734j -0.0699578+0.030022j -0.0495465+0.00503692j -0.18582+0.102484j -0.0639234+0.0970878j 0.0667583-0.106024j -0.0691114+0.0428668j 0.0890271+0.0655038j -0.197482+0.0119271j 0.122554+0.00530775j 0.00888446-0.0186289j -0.0499147-0.0884491j 0.136552-0.22743j -0.0440955+0.413225j 0.261447-0.16689j 0.0734343-0.074166j -0.0330212-0.00331592j -0.014314+0.0834236j 
-0.00320277+0.0098126j 0.079153-0.0469262j 0.129497-0.0548974j 0.0122686+0.0620641j 0.0730788+0.0479807j 0.00810109+0.0276941j -0.0711287+0.107722j -0.000419017+0.0535512j 0.102631+0.0968811j 0.0496413-0.0427378j 0.0925142-0.0177722j 0.0937595+0.0262375j 0.0500697+0.116047j 0.0503384-0.113486j -0.0292173+0.0186413j -0.0278952-0.0755671j 0.155566-0.240324j -0.0189736-0.0347217j -0.043038+0.159596j 0.00708454+0.029854j -0.408095-4.19028e-14j -0.00661875+0.0718279j 0.0303778+0.0706567j 0.0463278+0.0697578j 0.076529-0.0294786j -0.00335356-0.0199228j 0.00159163-0.0056724j 0.0227153-0.0139388j -0.023851+0.0359197j 0.0415133-0.00289276j -0.0605445-0.0297923j -0.0906114+0.0484092j -0.144496+0.0477606j 0.0658701-0.102652j -0.0245216-0.0512587j 0.000131538-0.158057j 0.0322826+0.145326j 0.00619603-0.0849528j 0.12215-0.061931j 0.112135+0.083889j 
0.011551-0.00743267j -0.0120213+0.0204635j -0.0427822-0.0145554j -0.00958028+0.0495064j -0.0426924-0.00937499j -0.0114983-0.0246932j -0.0515189+0.0145687j 0.000384029+0.017452j -0.0269846+0.0946285j -0.051423-0.00294025j 0.0199912+0.130294j -0.0859091-0.0847579j 0.0291169+0.0842862j -0.0159261+0.0751469j -0.0663532+0.0373945j 0.0051047+0.0509267j -0.00307565-0.00969311j 0.0109302+0.0361142j 0.0482278+0.00556253j -0.012624+0.0219954j -0.0654394+0.0303438j -0.0020342-0.0057089j 0.0216554-0.0522992j 0.086128+0.050744j -0.0802274+0.0172458j -0.002904+0.027773j 0.0487867+0.0447919j -0.106174-0.040396j -0.0759235+0.114429j -0.0113044+0.127121j -0.112024-0.00401822j 0.107218+0.259519j -0.257992+0.016537j -0.253927+0.0756838j -0.0615368-0.160223j 0.0816589+0.00405243j 0.0347106+0.013209j -0.041332-0.10836j 0.10978-0.0608058j -0.147699+0.0313573j 
-0.0260871-0.019053j -0.0298337+0.00423913j -0.0573385-0.0139829j -0.0987809-0.0524172j -0.0268387-0.00102237j -0.0157895-0.0132458j 0.0124251-0.022545j 0.0246212+0.0125481j -0.0745227-0.0137484j -0.0636603+0.0336087j 0.0878422+0.0523636j 0.0924152+0.0200742j -0.0427297-0.0173487j 0.0290078-0.0306574j 0.0520485+0.0217401j 0.00522213+0.0894163j -0.0697122+0.00565284j -0.0165485+0.0231989j 0.0349533-0.0205509j -0.0415695+0.0319734j 0.0303778-0.0706567j 0.0419965-0.0379534j 0.0619078+2.77556e-16j -0.0103487+0.0750056j -0.0957891-0.0387664j 0.170579-0.0784876j 0.0577396-0.0900301j -0.00270678-0.107487j -0.121288+0.00157997j -0.0962004-0.00916341j 0.00497095+0.0274284j -0.164988+0.233057j -0.0128573-0.189616j -0.153056-0.21607j -0.0228275-0.166425j 0.0676458-0.136902j -0.0892831-0.0850958j 0.0413217+0.141203j -0.141895-0.0499838j 0.0260025+0.076542j 
0.00271442+0.0103672j 0.0403079-0.0148745j 0.0196381+0.0199193j -0.0248521-0.00605568j 0.0328325+0.00403009j 0.00733214-0.0153773j 0.0205146-0.0405612j -0.00729026-0.0889013j 0.0584788-0.0232601j -0.00907347+0.0347306j 0.0398625-0.0286713j 0.0301632-0.0197893j 0.0380375-0.0432661j -0.012575-0.0423035j -0.0822545+0.0295831j -0.0171319-0.0590259j -0.0225221-0.0315969j 0.0582694+0.0475528j 0.0171484-0.0436512j 0.0197476+0.0735218j -0.0834619+0.00682051j -0.00282917+0.0999249j -0.052486+0.0545725j 0.0758699+0.0962029j -0.0996202+0.133954j 0.0126443+0.0409255j 0.0216807+0.0598044j 0.143198-0.154585j 0.138375+0.0261744j -0.18962-0.0504584j 0.130369+0.0982941j 0.020874+0.161116j 0.0722254+0.16736j -0.136329-0.207615j 0.109958+0.0376993j -0.118846+0.00347008j 0.12164-0.12003j -0.138864+0.232085j 0.111664+0.168498j 0.0886104-0.0054544j 
0.0170983+0.00728087j -0.00431116-0.0165136j -0.0457613-0.0235982j 0.0650479-0.0453384j 0.0659877+0.0686509j -0.0397056+0.0235772j -0.0134013+0.0293568j 0.0175006-0.0351042j 6.33291e-05+0.00614678j -0.0593386-0.0278672j -0.0214849-0.0251397j 0.0171447-0.0529311j -0.129179-0.0318438j -0.0460216+0.0857119j 0.00991118+0.0720218j 0.00888026+0.0756655j -0.0548672-0.00106446j -0.0273659-0.0315992j 0.0962407+0.0165569j -0.0495465-0.00503692j 0.076529+0.0294786j 0.010683+0.0813617j -0.0957891+0.0387664j -0.0434915+0.161172j -0.154217-1.47798e-15j -0.0259498+0.0125112j 0.0217329+0.00586114j 0.16006+0.157385j -0.030405-0.00748208j -0.0701621+0.114566j 0.0975987+0.0473275j 0.0327471+0.00554132j -0.086776-0.145348j 0.133753+0.0478649j 0.229542+0.0136311j -0.133582+0.078703j -0.124624-0.0671247j 0.0962521-0.0123547j 0.00675743-0.0979246j -0.0731081-0.0693114j 
-0.0218104+0.00671104j -0.0153629+0.0131193j 0.00064044+0.0171892j 0.0356829+0.0267889j 0.0122682+0.0076957j -0.0392877-0.00195139j 0.0310192+0.0302629j -0.0439989-0.00368242j 0.0026348-0.0213544j 0.0689261-0.020074j 0.0166903+0.0151673j -0.0344526-0.0181802j 0.0108843+0.00245125j -0.0133619-0.0230812j -0.0297953+0.0167194j 0.029635-0.0064614j 0.000851908-0.00463802j 0.115779-0.00226518j 0.0364601-0.0603226j -0.18582-0.102484j -0.00335356+0.0199228j -0.0251871+0.0120575j 0.170579+0.0784876j -0.0399646+0.0154145j -0.0259498-0.0125112j 0.576072-3.81639e-16j 0.193937+0.443777j 0.0325179+0.0116112j 0.0221322+0.0153665j 0.0442549+0.0424298j -0.00117971-0.0422278j -0.0955629+0.0696456j 0.0120793+0.0539686j 0.0341432+0.0277882j -0.0349964+0.0659654j 0.026043+0.151939j -0.0255134-0.0370629j -0.0832527-0.0307491j 0.067256-0.0323285j -0.00631759+0.020092j 
