-0.309114-0.0838308j 0.041099-0.418315j 0.237336-0.107115j -0.21091+0.0497717j 0.100669+0.0141148j -0.0489425-0.312844j -0.263126+0.057318j 0.0939823-0.0346062j 0.208232-0.0408209j 0.259512-0.0316029j -0.217013-0.352315j -0.174828+0.26831j -0.149654-0.135045j -0.0120949-0.00294899j 0.0744732-0.0125372j 0.0383535-0.00488321j -0.0235539+0.0206352j 0.0196031-0.0104598j -0.0498111-0.0436847j -0.0148779-0.00846446j 0.033741+0.0374891j 0.0268131-0.0262656j -0.123181+0.0428015j 0.0435905-0.0295875j -0.0130598-0.114943j -0.0591741+0.00697933j 
0.000243635+0.00488338j 0.0101337-0.00971329j -0.00904511+0.00415338j 0.00631506+0.00107635j 0.00763554+0.00450709j -0.00694242-0.00485081j -0.00131272+0.00331662j 0.00310443-0.012386j -0.00257569+0.0128277j -0.014883+0.0110997j 0.00169633-0.00124037j 0.0102866+0.00177191j -0.00375102+0.00484941j 0.000787684+0.00165809j -0.0101532-0.00518172j 0.015394+0.0121159j -0.0117721-0.000117826j 0.0182923-0.016678j -0.00733787-0.00822156j -0.00381363+0.0209224j -0.0095997-0.0099929j -0.0143057+0.0106916j -5.35128e-07-0.00706041j -0.013954-0.00504216j 0.00774223-0.0114844j 0.00552591+0.015883j 
-5.35241e-05+0.00214159j 0.00195384+0.001335j -0.000988721-0.000705832j 0.00378422-0.00662949j 0.00918966-0.017429j -0.00282267-0.00728814j -0.000300308+0.000712615j 0.016459+0.00487941j -0.00715495-0.0032692j -0.00120662-0.00221581j 0.00250337+0.00159471j -0.00292318+0.00094097j -2.62939e-05+0.00105568j 0.0159243+0.0106442j 0.00803401+0.0202166j -0.0147322-0.029703j 0.00761261-0.0115066j 0.0152622-0.00987662j 0.0153116-5.60533e-05j -0.0144059-0.000343828j 0.0149853+0.00966196j 0.00454434+0.043072j -0.00220285+0.00426594j 0.00496929-0.0158389j 0.000706343+0.00127057j 0.00821479+5.248e-05j 
0.000972777-0.00372364j -0.00678719-0.00395022j -0.00161466+0.009382j -0.0127143+0.00140322j -0.000633636-0.00153171j 0.00631652+0.0184923j -0.00470645-0.00595034j 0.00923347+0.018181j 0.00776935-0.00748572j -0.00688819+0.00706661j -0.0175204-0.0102771j 0.0163702-0.0117049j -0.00135524-0.00600565j -0.00613598+0.0142992j -0.00434903+0.0022313j -0.000450501+0.00450093j -0.00847776-0.0208642j 0.00900067-0.00755064j -0.00777246-0.0157055j 0.00296706+0.0104879j -0.00316207-0.00605719j -0.0207203+0.00956573j 0.0161831-0.00172594j -0.00413278-0.0266053j 0.0017958-2.01944e-05j -0.0335434-0.00590013j 
-0.0173707+0.000908362j 0.00386838+0.0114056j 0.0135861+0.000993654j -0.00112655+0.00208j -0.00980558-0.0244817j 0.0156753+0.0122295j -0.00853984+0.00428885j -0.0269506+0.00572447j 0.0148001-0.0204117j 0.010274+7.50439e-05j -0.00743459+0.0167998j -0.0196928-0.0152165j 0.00328837+0.00713208j -0.00755131-0.00293578j 0.00525771-0.00270677j 0.00413406-0.00277695j -0.000823435-0.00386869j -0.00479124+0.00347307j 0.00301447-0.00251832j 0.00283158+8.0039e-05j -0.000885414+0.000831429j -0.000800397+0.00651879j -0.00412714+0.00915259j -0.00415673+0.0050856j -0.00328084+0.00476044j -0.0120988-0.00987185j 
-0.0060236-0.00614623j -0.0150843+0.0138742j 0.00734854+0.00362846j -0.00932246-0.0144822j -0.0193129+0.0179226j -0.0180766+0.00120809j -0.000372493-0.010338j 0.0107773+0.02094j -0.00566206+0.00735291j 0.0121097-0.00812956j -0.0109813-0.00580481j -0.00646123-0.00472963j 0.00339523+0.0124228j 0.0135472-0.00185765j -0.00332478+0.00127308j 0.018048+0.0102307j 0.00209529+0.0022154j -0.00585831-0.0162171j -0.00502449-0.000691691j 0.0240717+0.0115186j 0.00905788+0.00270589j -0.0111582+0.0189817j -0.00698356+0.00179754j -0.0167083+0.00674487j -0.0101204-0.00524089j -0.0109488-0.00994294j 
-0.000393212+0.00267533j 0.000753139-0.000595524j -0.00322121+0.00189357j 0.0104541-0.0155065j 0.0328528-0.0300371j 0.00123464-0.00769074j -0.00122835-0.000183613j 0.0319653+0.0290309j -0.0131635-0.0195647j -0.00332421-0.000353452j 0.000452314-0.000995366j -0.000526967-0.00326193j -0.000680082-6.26341e-05j 6.26283e-05-0.000845436j -0.00169997+0.00132883j 0.00111459-0.000240167j -0.00205848-0.0012895j 0.00146221+2.3633e-05j -0.000530753+0.000970591j -0.00203133-0.00123123j -0.00289501+0.00265427j -0.00109353-0.00010514j 0.00089366+0.000783622j 0.0011728+0.00224375j -5.91298e-05+0.00114914j 0.0010463-0.000880452j 
0.0054806+0.00165621j 0.0097783+0.00098762j 0.00497728-0.00488436j 0.00699885+0.0132731j 0.0138399-0.0132058j 0.014761+0.00122863j -0.00265848+0.00896307j -0.0111975-0.0189781j 0.0111102-0.00503098j 0.00600513-0.00282974j 0.00739466+0.0125371j -0.00755912-0.00955233j -0.00813639+0.00579903j 0.0195099+0.00912672j -0.00694475-0.00142998j 0.00717683+0.0156429j 0.000333337+0.0103021j 0.0178278-0.0160287j -0.0104297-7.15182e-05j -0.00015954+0.0191292j 0.00368654-0.000309588j -0.0128019+0.00151988j -0.00521352-0.0154286j -0.00747617-0.00731787j 0.0112982-0.00853962j 0.00938915+0.0165713j 
-0.0182674+0.0117432j 0.000335734+0.0140361j 0.00935635+0.00747236j -0.00738221-0.0193427j -0.0233937-0.0103333j -0.0170523+0.00702137j -0.00910754-0.00417591j -0.0127583+0.0185998j 0.00247499+0.0045218j 0.0116913+0.0043513j -0.00816116+0.00862015j -0.00529507-0.00853537j -0.0138458-0.00345458j -0.000519209-0.000415314j 0.00544601+0.00127127j 0.000228596-0.00327423j -0.00149321+0.0019294j 0.0160006+0.000585142j -0.00387492-0.00150576j -0.0152304+0.00024206j -0.000700306-0.00539101j 0.000409378-0.00553475j -0.00701941-0.00950477j 0.00845804-0.00744799j 0.0116858+0.00488486j 0.0133132+0.0164648j 
0.00355015-0.00487428j -0.00462106+0.000890387j 0.00164887-0.00042327j -0.00435346+0.00979533j -0.0159158+0.0125103j -0.000315868-0.00481624j 0.00297991-0.000941816j -0.00708923-0.0170158j -0.000928381+0.0122077j 0.00407902+0.000294134j -9.79514e-05-2.95485e-05j -0.000820417+0.00171846j -0.00315141+0.00366359j 0.00520988+0.0221664j -0.00306916+0.021729j -0.00402983-0.0349042j 0.0119494-0.00645562j 0.0149503+0.00537534j 0.0125962+0.00908231j -0.0139804-0.006637j 0.00495813+0.0196317j -0.0177082+0.0352123j -0.000720331+0.00487319j 0.0110532-0.0123515j -0.00122879+0.000417638j 0.00226291-0.00209291j 
-0.0028309+0.015453j 0.0231443-0.00222411j -0.00266975-0.00532846j -0.012705-0.00912666j 0.0023185-0.0219449j -0.00487772+0.0247694j -0.00689449+0.00387149j -0.00367516-0.00786325j 0.0181907-0.00167726j -0.0125524-0.0118384j 0.00707917-0.00242743j 0.0038496+0.00926374j 0.0123839-0.011206j 0.00643017-0.0145845j -0.00537705+0.00071389j 0.0182876-0.00297083j 0.00913717-0.00976482j 0.00310031-0.0229132j -0.00141847-0.0087964j 0.00863881-0.00588872j 0.011223-0.0150299j -0.00957252+0.0142279j -0.00231602+0.00263582j 0.0215556-0.00451751j 0.00718503+0.00320421j 0.00416042+0.00196659j 
-0.00440895+0.00931774j 0.00702323+0.00294681j 0.00117242+0.00541704j -0.0011347-0.00900255j -0.000994405-0.00978985j -0.00938611+0.00181494j -0.00463958+0.001998j -0.0071969+0.00425625j 0.00148617+0.00568403j 0.004383+0.00881106j 0.00206045+0.0061628j 0.00387904-0.00518458j -0.0121498-0.000509035j -0.00602986+0.0208853j 0.00444478-0.00583005j -0.0183807-0.00773314j -0.00255888+0.00537217j -0.0117248+0.0140573j -0.00625306+0.0123547j -0.0184457-0.0148199j -0.0105395+0.00231629j 0.0152194-0.0101884j 0.00531735-0.00239974j 0.00877279-0.000430336j 0.0095465-0.00343519j -0.00228509+0.0110897j 
-0.00831746-0.00833344j -0.00562494+0.0049449j -0.00649001+6.05444e-06j 0.004774+0.00780797j -0.0148506+0.0127654j 0.0115281-0.0142875j -0.00294494-0.00494656j -0.00508206+0.00187271j -0.0153049-0.00613032j -0.0165228+0.00651644j -0.0133327+0.00320398j 0.00428802-4.00842e-05j -0.0137322-0.017857j 0.00922503-0.0155632j 0.00556586-0.00240061j 0.0126462+0.00557546j 0.0112722-0.00500338j 0.00830471-0.0177607j -0.00820139-0.0109791j -0.00631606-0.0126867j 0.0112917-0.0193313j 0.000276253-0.000210651j -0.00314813-0.0107299j 0.0302024+0.00124872j 0.012498+0.0101673j 0.00488162+0.0170603j 
-0.00937028-0.00450392j 0.00767527+0.00177427j -0.00587234-0.000731339j 0.000921477+0.00243377j -0.00669143+0.000894995j 0.00407467-0.00146514j -0.00600761-0.00169106j -0.00380381-0.00137697j -0.00460664-0.00414291j -0.022999-0.00104252j -0.0110674-0.000787357j 0.00150321+0.000975348j 0.000524601-0.00376321j 0.0167702-0.00627945j 0.00550505-0.00649286j 0.0107534+0.0112838j 0.00624417-0.000996449j 0.0173028-0.00469435j 0.00352402-0.00616452j -0.00350071-0.00527404j 0.0159782-0.00706222j -0.0051181+0.00291728j -0.00137096+0.0012542j 0.0114612+0.0149532j 0.00564581+0.00373336j -0.0054279+0.00382034j 
