0.104335-0.0894107j -0.0116965+0.0392344j -0.06594-0.0210314j -0.134789-0.0399016j 0.0271368-0.0315508j 0.00433342+0.0044201j 0.0969063+0.0886016j 0.0737213+0.0498501j 0.00195596+0.0465973j -0.0011443-0.0428222j -0.0449066-0.024047j -0.0240234-0.0775375j -0.0276918-0.0594963j -0.0225519-0.0386523j -0.0244705-0.0389545j 0.00680888-0.00467045j -0.0207994-0.030188j -0.0108782-0.0320765j -0.00630916+0.0192787j -0.0289309-0.043266j -0.0118105+0.0414733j -0.0330507+0.0316507j -0.00508181-0.0301883j 0.0259128-0.0263761j 0.00520781-0.0128492j 0.00104974+0.0231177j -0.00760775-0.00259995j 0.0108259-0.0489508j -0.00583364-0.0176152j 0.0151337+0.065511j 0.0185549-0.00843326j 0.0169727+0.0374206j -0.0300035-0.0117232j 0.0128067-0.0115014j 0.0272739-0.0509481j 0.00785592-0.0644228j 0.0469902-0.0023519j 0.0142748-0.0444349j -0.0327634+0.0073172j -0.00579462+0.0130719j -0.00767843+0.0225895j 0.0266168-0.0686211j 0.0408141+0.0245235j 0.0124724-0.0154552j 0.0643227-0.0350008j 0.0761407-0.0588319j 0.0136999+0.00847571j -0.0197926+0.0253998j 0.023134-0.0223903j 0.00711815-0.00745582j -0.0197364+0.0135519j 0.0301939-0.0302576j -0.0147892-0.0274712j -0.0121368-0.0211126j -0.0359191-0.0195413j -0.0380432-0.00890014j -0.0104869+0.0237025j -0.0385176+0.0787532j -0.0227379+0.0995552j 0.0403481-0.0234237j -0.00202801+0.0360059j 0.0165546-0.0464876j 0.0363864-0.0671932j 0.0585958-0.00752744j -0.0551647-0.0694752j 0.0989197+0.0846458j 0.26252-0.145945j -0.125812-0.223047j -0.0547071+0.0714698j 0.110393+0.0349645j -0.129045-0.00491987j 0.022816-0.160241j 0.0423334-0.0718408j 0.112429+0.0909565j -0.051979+0.0802395j 0.0710293+0.00420091j -0.184842+0.223617j 
-0.0461198-0.0225044j 0.0196281-0.0985636j -0.00681657+0.0206409j 0.0109974-0.00492003j 0.0266746+0.0100091j -0.00736822-0.0013388j -0.024962-0.060486j 0.0118739-0.00377162j 0.114612-0.0724013j 0.0325436+0.0442521j -0.0584628-0.0375926j 0.01986+0.0489712j 0.0204358-0.0579474j 0.0535285+0.0414357j -0.000119934-0.0117659j -0.011289-0.00116972j -0.0232801+0.0245997j -0.0868288-0.00900618j -0.0898316+0.0606693j -0.0942663-0.0307033j 0.0537349-0.0329134j -0.0661677-0.0278089j 0.0359649-0.0490732j 0.0196271+0.0355486j -0.0530632+0.0277736j -0.0427901-0.0597245j 0.0510378-0.0185744j -0.0324078+0.00386876j 0.0113586+0.0101129j -0.0169167-0.00367666j 0.0368473+0.00236169j 0.0604461-0.028585j -0.086303+0.00527701j 0.0452691+0.0671442j -0.00891441+0.0157962j -0.00860518-0.0228751j 0.0135429+0.0289894j 0.0102016-0.0886356j 0.0209827+0.00109294j 0.0240951+0.0329908j 0.0301575+0.0182944j -0.0766213+0.0750707j 0.0834164+0.0380562j -0.142468-0.0943635j 0.0561517-0.0277598j -0.0186266-0.0711868j -0.0113122-0.0850994j -0.0637747-0.124596j -0.127824-0.0290932j 0.0563921-0.142783j -0.140144+0.0102185j -0.00933526+0.0106107j -0.0686689+0.00654998j 0.110993-0.00940767j -0.0837947+0.0503981j 0.0340497+0.151678j -0.0580339-0.0599059j -0.0428279-0.00447028j -0.00340602-0.143151j 0.0943547+0.061622j -0.0726982+0.0409559j 0.0162407+0.0159347j 0.0122001+0.0777207j -0.129825-0.0642639j -0.0188715-0.120655j 0.102505+0.0344983j -0.063036-0.215644j -0.0599447+0.0169302j -0.00371777-0.0556067j -0.104321-0.162505j -0.147976-0.0953589j -0.191367-0.0135644j 0.152956-0.0425303j 0.063829+0.0155673j -0.0154197-0.0275272j 0.0709187+0.0313744j 0.0131616-0.0116356j 
0.000217621-0.0541911j 0.0341897+0.00278008j 0.00976237-0.0303081j -0.0436684-0.070697j 0.0365371-0.0641085j 0.0469883+0.0172743j -0.00598307-0.0155757j 0.00964008-0.0114097j 0.0082673+0.0337561j 0.011889-0.0163317j 0.028632-0.030885j 0.00874259+0.0195854j -0.0172747-0.00864905j -0.0140699+0.0708858j 0.0573852-0.000944639j -0.00754429-0.0321978j -0.0408025+0.0127184j -0.0440789-0.0185844j -0.0169508+0.00808561j -0.0554007-0.0149433j -0.0228019+0.00897152j -0.0751387-0.0206087j -0.0342796-0.0134264j -0.0363305+0.0533329j 0.0477713+0.0346753j -0.0375529-0.00151819j -0.0260101+0.00373383j -0.0249997-0.0149888j 0.00775432+0.0133592j -0.0635757-0.00957122j 0.0605426+0.0344263j 0.0700802+0.0557687j -0.0173703-0.0277262j 0.0657415-0.0198423j -0.0831604-0.0633117j -0.00725181-0.0302954j -0.0346186+0.0133917j 0.022391-0.0271759j 0.0323037+0.0530102j 0.0115271+0.0150171j -0.171885-0.171449j -0.0413049-0.00923394j 0.0451668+0.0265344j 0.0157861-0.00757801j 0.0289928-0.001078j 0.0137434+0.062443j 0.0821004+0.102003j 0.128408-0.106028j 0.123686-0.107213j -0.167275+0.0431056j -0.068613-0.00512792j 0.144544-0.0396687j 0.0274698-0.13173j 0.0451848+0.0729846j 0.0246611+0.0651253j 0.00931923+0.0284677j 0.0141114-0.176241j -0.0196633-0.154176j -0.0281993-0.0457505j 0.024872+0.15213j 0.0504722+0.0343021j 0.0780512-0.024737j -0.273056-0.0306668j 0.179566+0.00733028j 0.125355-0.124018j -0.0850377+0.131586j -0.0558937-0.0268689j 0.0530254-0.0166558j 0.101335-0.0575949j -0.168085-0.0755659j -0.0968914-0.0289939j -0.125152+0.00418948j -0.0575711-0.0932404j 0.0812334-0.0253178j -0.0588654+0.0255798j -0.000194111+0.0121338j 0.0182928+0.0155028j 
0.00883189-0.0142939j 0.0230812+0.0499857j 0.011953-0.0539187j -0.0174247-0.0311801j -0.00285113-0.0208885j 0.0379922+0.0398298j -0.0216105+0.0401694j -0.0654511-0.0436303j -0.0643446+0.0423658j -0.00440078-0.0179519j -0.00375206-0.0266744j 0.0375105+0.0281188j 0.0400193-0.0106479j -0.041071+0.0561631j -0.00454291+0.00596617j -0.00647201-0.101578j 0.00740091-0.0281805j 0.0128919-0.00410294j 0.0058+0.0369009j -0.00547305-0.0606945j 0.00171059+0.012359j 0.0203267-0.0105587j -0.0227404+0.0192363j 0.0385837-0.00848041j 0.0103537-0.0487313j -0.00777175+0.0348279j -0.0591285-0.00643056j 0.0198687+0.0642024j -0.0752482-0.0613702j 0.0263123-0.0687636j 0.0269522-0.00854815j 0.0343656-0.0143096j 0.0861342+0.0102038j -0.011054-0.0186369j -0.0177708+0.0311524j 0.0402309-0.102658j 0.00718379-0.00472793j -0.000857009+0.112091j 0.0289416-0.0348005j -0.0989213+0.0533246j -0.0215096+0.0174362j -0.0265872-0.00445459j -0.0155492-0.00211249j -0.129301-0.118361j -0.0672159+0.0671821j 0.0142507-0.0259386j 0.110917+0.0472379j -0.156687+0.047517j 0.108192+0.0131259j 0.0454421-0.0256125j -0.127826-0.164994j -0.0528191+0.0113962j 0.102394-0.0288768j -0.0140874-0.206846j 0.0318532-0.0194721j 0.0776693+0.117961j 0.0833515-0.0234095j -0.00177555-0.0356706j -0.00860412-0.0431231j 0.000714343+0.0333622j 0.0845608+0.0488551j -0.14773-0.0431297j 0.0165585+0.0168185j -0.189646+0.0400407j 0.0678752-0.127632j 0.0931425+0.151295j -0.11842+0.207891j -0.0918946-0.0831626j 0.0804841+0.0464594j -0.122349-0.0322396j 0.0835947-0.0172845j 0.0375879+0.00780106j 0.0623902+0.0137222j -0.0109654+0.00512361j 0.00664743-0.0320174j -0.00719957+0.0177344j 0.033588-0.00221622j 
0.0137326+0.0194842j -0.0101225-0.0105248j -0.0323322-0.0099403j -0.00544139-0.00169999j -0.0062315+0.00180133j 0.0296405+0.00411011j -0.0359686+0.0678209j 0.04639-0.0429294j 0.0320865-0.0388782j 0.0251971-0.0425843j 0.0136746+0.0396524j -0.00333305-0.016014j 0.0172739-0.0475722j -0.0268122+0.0374348j -0.00616475-0.0447066j 0.030715+0.0288065j 0.00427901-0.000631626j 0.0705286-0.0165884j -0.0670715+0.0568757j -0.079006+0.041455j -0.0140941+0.027224j -0.040473+0.00461417j 0.0292552-0.0242997j -0.0651462-0.0798363j 0.0408164+0.0111159j 0.00105461-0.0289947j -0.00338287-0.0193784j -0.0611593-0.0608775j -0.0244227-0.026757j 0.0266284-0.0476559j -0.0382278-0.0240112j -0.0319581-0.0825034j -0.0382876+0.0455352j 0.0613021-0.0712368j -0.0313707-0.0551185j 0.0355031+0.0105478j -0.0462487-0.185641j -0.00387542+0.00492268j -0.0627775+0.0236952j -0.0221189-0.10017j -0.0791745-0.0593965j -0.157163+0.0895955j -0.156867+0.0527166j 0.192768+0.048105j 0.0171843+0.0774052j 0.0287898+0.100423j 0.128217-0.111116j 0.0504911+0.0318712j -0.0675364+0.0116519j 0.110433+0.0456769j 0.0215344-0.100504j 0.0414716-0.03217j -0.0862242-0.0274538j 0.0557166+0.0274038j 0.0945349+0.0341323j -0.0139409-0.020438j -0.0262558+0.0865975j 0.00227229+0.0101966j -0.055911-0.0361654j 0.079344-0.0298352j 0.0484507-0.137885j -0.0976516+0.035786j 0.0110577+0.117953j 0.0527167-0.173329j 0.016517+0.1072j -0.00330261-0.18693j 0.175747+0.113136j 0.0861847+0.240618j -0.079097-0.0104876j 0.150141-0.0277643j 0.0555257-0.0145532j -0.00521823+0.0428919j 0.0561184-0.0438906j 0.0447605-0.0212271j 0.0163053+0.0518429j -0.00600643+0.0117761j -0.0153914+0.0125637j 
-0.00436877-0.01508j 0.0041119-0.0183125j -0.0161406+0.0529235j 0.00655411+0.0580191j 0.0158115+0.0133431j 0.00541845-0.0639565j -0.00290303-0.0266314j 0.00475815-0.0166722j -0.00340744-0.0590839j -0.0325732+0.0979554j -0.0220733-0.0299848j 0.0247055-0.0293869j 0.0782015-0.0296989j -0.0520261-0.00498181j -0.00786596-0.0131563j -0.0284788+0.0143917j 0.00491461+0.000743683j 0.0331667+0.0247808j -0.0465691-0.00621368j -0.0222882-0.0296424j -0.0385833+0.0157985j -0.0586871-0.00264258j -0.00647676+0.00110094j 0.024349-0.0360575j -0.0076147-0.0073132j 0.0283864+0.0584169j -0.0733766+0.0330164j 0.0111267-0.0745785j 0.0315615-0.00311766j -0.00187972-0.0666758j 0.0307967+0.0178695j 0.00441842+0.0397205j -0.0442852-0.012489j 0.078563-0.0343272j -0.0128246-0.0070187j -0.0762557+0.0342188j -0.102545-0.0398756j 0.00237604-0.00781093j 0.037283+0.0394415j -7.00553e-05-0.0926619j 0.0350581+0.0689648j -0.0648447+0.077876j -0.159481+0.117653j 0.0695574-0.0740195j -0.062818-0.116217j 0.263166+0.0717317j -0.0978639-0.00330586j -0.105277-0.0346027j 0.0803403+0.0977319j 0.0319069-0.186738j -0.128962-0.0095349j -0.0393418-0.116506j 0.121208+0.0384114j 0.0628526-0.00242523j 0.0256499+0.00357181j -0.025037+0.00731814j 0.00882177+0.17624j -0.0210466+0.0378807j 0.0674074-0.0681934j -0.154344+0.0883901j -0.0600543+0.0283678j 0.158665+0.118543j -0.046241-0.038974j 0.102521+0.157058j -0.140686+0.100011j 0.114258-0.0965965j -0.0163957+0.182812j -0.274512-0.046j -0.0346655-0.0396897j -0.0165967+0.0226551j 0.018088-0.110892j 0.0423187-0.0198113j 0.0754146+0.000712557j -0.00149797-0.00242068j 0.000799706-0.0584681j 0.0112249-0.00278741j 0.0228013+0.018147j 
0.00919656-0.0178833j 0.0124622+0.0456866j 0.0545631-0.023166j -0.0290108-0.0660967j 0.0322112-0.047889j 0.0713255-0.0269691j 0.00360804+0.0259548j 0.0546351+0.00739807j 0.044001+0.035891j 0.00759967-0.06405j 0.0695095+0.0173272j -0.0658688+0.00553638j -0.0492848+0.0010182j -0.041747+0.0253464j -0.00966884+0.050133j -0.0341119-0.0152164j 0.00544657+0.0175247j -0.0102572-0.0833858j 0.018329-0.0393833j 0.1075-0.0371027j 0.0461385+0.00242469j 0.0536649+0.0127139j 0.0756135-0.00402241j 0.0303705-0.028353j -0.093836+0.0296644j 0.0506499+0.0525444j -0.0713917+0.0146188j 0.0345091+0.0318317j 0.0679569+0.0609694j -0.0579763-0.039169j 0.0109202-0.0790971j -0.0298072+0.022874j -0.0577727-0.0165281j -0.00516483+0.026803j -0.0320416+0.0121138j -0.0208903+0.0275334j 0.0375373-0.0348828j 0.0254229-0.0217786j -0.0719131-0.122604j 0.0427053-0.205184j 0.0196788-0.146076j 0.0188537-0.062129j -0.0542754+0.0351895j -0.00138264+0.035062j 0.0347602+0.185421j -0.0482124+0.118849j -0.0756077-0.0720842j -0.171242+0.0329621j 0.118109+0.106849j 0.0669915-0.104534j 0.0630576+0.0201606j 0.0673987+0.0158969j 0.0632232+0.0189007j 0.0820074+0.08792j 0.0849143+0.0316061j -0.0929712+0.10233j 0.000713751-0.0931917j 0.0708315-0.000709495j 0.128768-0.0596577j -0.0258817+0.143605j 0.00344363+0.0393436j -0.087301+0.0739265j 0.00834781-0.0831093j -0.0381223+0.112061j -0.110527+0.0430241j 0.00985659+0.00959431j 0.0167059-0.0170193j -0.0049484+0.147942j -0.0305629-0.0586163j -0.0959044-0.0213899j -0.0187861-0.0186784j 0.0208804+0.0410763j -0.135142-0.109201j 0.023828-0.0175255j -0.0802152+0.105655j 0.00321871-0.0217856j -0.0270421-0.0198172j 
-0.0195399-0.00156478j -0.0189325-0.0510216j -0.0214277+0.0631175j 0.0206891+0.0913941j -0.0112714+0.0537557j -0.0455589+0.00228862j -0.00176876-0.0773594j -0.0163469-0.00312005j 0.00474143-0.0362009j -0.015194+0.0673174j -0.0766649-0.00619841j 0.0387648+0.0817036j 0.0181914-0.0419216j 0.0176281-0.0499334j -0.0484514+0.0140303j -0.00974696+0.0231199j 0.0156796-0.0637944j 0.014869+0.00399165j 0.0378387-0.0151894j -0.0244532-0.0777665j -0.00227927-0.0461946j -0.0186468-0.036668j 0.0241639-0.0856017j 0.0520765-0.0374469j 0.00956102-0.0114877j 0.0210603+0.0262271j -0.0192731-0.0203032j 0.0106226-0.0330984j 0.071134+0.0197464j 0.046293-0.00619858j 0.00173801+0.0368188j -0.0547826-0.0603289j -0.0398397+0.0603907j -0.0252214+0.116912j -0.06137+0.0539507j 0.12396-0.0492916j -0.0947804-0.0737471j -0.0320775-0.0172239j -0.0909761+0.0311925j -0.000380599+0.0997901j 0.0130478-0.0137716j -0.0435986-0.00591719j -0.0256516+0.0268683j -0.0943219+0.138882j 0.11571-0.0359561j 0.0736861-0.0729454j -0.0849003-0.0823807j 0.113493+0.0699095j 0.185932+0.0882137j -0.104961-0.063892j -0.0495611+0.0466074j -0.00386262+0.00727919j -0.250107-0.0655418j -0.186219-0.108853j 0.110763-0.0169359j 0.013414-0.0239303j 0.0200303+0.00746519j 0.0614384+0.0941922j -0.0861831+0.0194161j 0.197236-0.0416531j 0.023719+0.00708405j -0.124799-0.0929774j -0.083208-0.0834222j 0.0410405+0.105721j 0.0870394+0.0633073j -0.0112612-0.0769801j -0.112328-0.0390723j -0.0661342-0.0584864j 0.0928333+0.088621j 0.0261623+0.0218441j -0.00175758-0.0539744j 0.0158927-0.0248793j 0.0532466+0.0731018j -0.021043+0.04275j 0.0462466-0.0890912j 0.0178939-0.0224467j 0.0132835+0.0121879j 
0.0207058-0.0021702j -0.00960079+0.039654j -0.0255739-0.0317814j -0.0280034+0.0216114j -0.0221578+0.00344339j -0.0157741+0.0497207j -0.00862808-0.0215608j -0.00567364-0.0635431j 0.00631454-0.0331867j -0.00556223-0.0219054j -0.0116922-0.0573516j 0.00834856+0.0261629j 0.015402+0.0336358j 0.0932995-0.0329382j 0.0940138-0.0866757j -0.0557303+0.0685986j 0.0102909-0.0209202j 0.0968309-0.0280684j 0.0271673-0.0246353j 0.00100584-0.0236034j -0.032786-0.0566677j 0.0142522-0.0244493j -0.0408192+0.00108526j 0.112853+0.0048819j -0.12733-0.00148469j -0.00910705+0.0528958j 0.067904+0.0767037j -0.0472828-0.0635451j 0.057424+0.0160711j -0.0237348+0.0513073j 0.0199398+0.0444744j 0.00755961+0.11092j 0.00386999+0.0573629j -0.0162176+0.103601j 0.0738016-0.0567219j -0.0206527+0.076956j 0.148449-0.165332j -0.122508-0.00562308j 0.154433+0.00525216j 0.100675-0.0407379j 0.00396646-0.0216073j -0.0932164-0.17678j -0.0404743-0.0332281j -0.109158-0.000687374j 0.0940515-0.0401833j -0.13914-0.0328233j 0.0346055+0.078785j 0.0190105+0.0816714j 0.0717121+0.0289261j -0.0592078+0.0461321j -0.0237495-0.0526431j -0.00465449-0.200019j 0.0918323-0.0984311j 0.0410439-0.0599597j -0.00513971+0.129128j -0.130525+0.00132604j -0.107599+0.0550192j -0.108984-0.0931189j 0.0298347+0.0700331j -0.0790696+0.0187323j -0.0395051-0.0964383j 0.0658968+0.0695134j 0.0403169-0.200731j -0.0318927-0.0143111j 0.103721+0.0242078j -0.0256272-0.0766821j 0.0185645-0.0492063j 0.101996-0.0548072j 0.0816238+0.107483j -0.0357093-0.0202174j 0.00702869+0.0424559j -0.0588413-0.00219753j 0.0890998+0.014561j -0.0252998-0.0298178j -0.0176003-0.0456523j -0.0502106-0.00861763j 0.0181136+0.0304956j 
0.0116581+0.0311849j -0.029685+0.0252551j -0.0223252-0.0306275j -0.0364445+0.00321376j -0.0123464-0.0478047j 0.00382632-0.0449648j 0.0162743-0.00785965j 0.016911-0.054691j 0.0600368-0.0373301j -0.044568+0.0911167j 0.00414783-0.025465j -0.00403409-0.08132j 0.00218422-0.010956j 0.0541775+0.0494238j 0.033974+0.0095088j -0.0726399+0.029733j 0.0143022+0.0274223j 0.0408142+0.0208187j -0.00518861+0.0774552j -0.0293826+0.0603164j -0.0848026+0.0489209j -0.0160188+0.0285961j 0.0447672+0.0343439j -0.059362-0.00917524j -0.0199966+0.0110184j -0.0683483-0.0763637j -0.00600109+0.0680881j -0.0254547+0.0710096j 0.190074-0.0329975j -0.0382194+0.0245716j 0.0494673+0.0426235j 0.0192776-0.0865377j -0.09428-0.0340564j 0.067713-0.0543398j 0.0444358+0.0214393j 0.180928+0.0190029j 0.0316756+0.0595534j -0.0389621+0.0568668j -0.0878274+0.142299j 0.0198978-0.045468j 0.00516347+0.0870308j -0.123399-0.0323732j 0.109109-0.00379526j -0.0829299-0.0443648j -0.0170085-0.0763452j -0.000391025-0.0870923j -0.0290237-0.0026243j -0.00868382+0.112934j 0.024415+0.0761787j 0.0697455+0.0889385j -0.0352662-0.0854899j -0.0122874+0.0102853j 0.051759+0.102304j 0.029017-0.26569j 0.0383948-0.0116253j -0.0600017-0.0136679j 0.095961-0.0149253j -0.0345248-0.0517503j 0.0164816+0.169438j 0.14932+0.0526532j -0.0302283-0.0614354j -0.0537089+0.0470044j 0.0246086+0.0953927j -0.0500408-0.0988939j 0.07731-0.124877j 0.0599955-0.0496915j 0.0629178+0.113949j -0.0325225-0.128175j 0.0968244-0.021462j 0.0603633+0.00650003j -0.065308+0.030684j -0.0004447-0.0254598j 0.0782616-0.0480248j -0.0253359-0.0284738j -0.0424872+0.00515108j -0.0284676-0.0277383j -0.0402825+0.015171j 
0.0273277-0.0268419j 0.0146115+0.0185268j 0.00126274+0.0382066j 0.0119196-0.0042496j -0.00788185+0.00595305j -0.028357-0.00362871j 0.0212045+0.0267762j 0.000101353+0.0399254j -0.0776378-0.00296009j 0.0170348-0.0264583j -0.0190428+0.0312649j -0.00654702-0.0400465j -0.0198929-0.00214512j -0.0614457-0.0312668j 0.00964506-0.10388j -0.0355345+0.0918835j 0.0282519-0.0486762j 0.0512118-0.0477365j 0.0120094-0.0140838j -0.0308505-0.0257315j -0.0442861+0.102143j 0.0412984+0.0242465j -0.078598+0.0399964j -0.0646426-0.0967933j -0.0231968+0.0527578j 0.0985305-0.0148975j 0.0195513+0.0451144j 0.0725045-0.041472j 0.0935573-0.119233j 0.0178183-0.15129j -0.0149931+0.0964822j 0.0939983+0.0057806j 0.125348+0.0722964j 0.0404522+0.022187j -0.0480429+0.00903746j 0.089589-0.101791j -0.0226338-0.0137022j -0.13366+0.00355158j -0.0097396-0.0376873j 0.0266054-0.0230469j 0.0115523-0.0681929j -0.00253959+0.136637j -0.0941385+0.0827324j -0.0719018+0.00711589j 0.120547+0.0314142j -0.101903-0.102849j 0.0381355+0.140664j 0.0136395-0.123341j 0.0641267-0.147835j -0.102993-0.031626j -0.0765306-0.057914j -0.070347+0.0635185j -0.0158381+0.121445j 0.0877054+0.0618855j -0.103954-0.0533022j -0.0738909+0.217467j 0.0194883+0.0903049j -0.0114232-0.200516j -0.0341456-0.12504j 0.0122436-0.110916j 0.0108747+0.0851579j -0.0226098+0.201918j 0.081118+0.062452j -0.111871+0.0292737j -0.000936789+0.00108205j 0.0837028+0.0474139j -0.0815526+0.0426576j 0.0627217+0.0736291j -0.131695-0.0238281j 0.0127095+0.0481308j -0.0342183+0.0334851j 0.0331489-0.0361327j -0.0275972+0.0419162j 0.0147443+0.0124913j -0.0131807-0.00200008j -0.0197883+0.000320082j 0.0115068+0.0258466j 
0.0199307+0.0216025j 0.00381639+0.0218027j 0.011874+0.0243004j 0.0530247+0.00823472j 0.0357281+0.0280408j -0.0135443-0.0195534j -0.0337616-0.0145554j 0.0680773+0.0106753j -0.0385198-0.0451863j 0.0052893-0.0220989j 0.0327071-0.00229672j -0.0296514+0.00360081j 0.00329172+0.0519679j -0.00668632-0.0418227j -0.0356472-0.00355493j 0.0887454-0.00375164j 0.00104368+0.0501798j -0.00146636+0.0196677j 0.00562891-0.0725695j 0.11705-0.0296449j -0.0461276-0.0500909j 0.0336773-0.056273j -0.0227615+0.0117823j -0.000955821+0.00341067j -0.000437495+0.00601j -0.0214295-0.00407792j -0.0209906-0.0165525j 0.0987381+0.0833643j -0.0195536-0.0188984j -0.00141164+0.0924721j -0.16334+0.0215468j -0.064529+0.0300811j -0.00936925-0.201088j -0.0145614-0.00842429j 0.0455954-0.0426796j 0.0147112-0.106157j 0.0664456-0.0400339j -0.156855-0.0394562j -0.119236-0.0193618j -0.0557294+0.148426j -0.109809+0.119497j -0.134745-0.110455j 0.0728246-0.00900108j 0.00577305-0.0765697j -0.12966-0.144103j 0.0557902-0.0410914j -0.0480296+0.068545j -0.0472375-0.106721j 0.0396573-0.0101655j -0.0183493-0.102237j -0.094387+0.00170839j 0.0552732+0.0180958j 0.0791218+0.194027j 0.0445154+0.0399324j -0.0403753+0.1884j -0.105133+0.108951j 0.0837868-0.075752j -0.0629464+0.0772633j 0.0544995+0.124571j 0.0326867+0.0729906j 0.0398028-0.0909362j 0.00547095-0.00573559j -0.11176+0.0328188j 0.0919869+0.103143j -0.0427572-0.0352174j 0.00178079+0.0190133j 0.0476782+0.00926012j -0.0487831-0.0117985j -0.17124-0.00344754j -0.0234808-0.05809j 0.0602533-0.00158915j 0.00257553+0.0521003j -0.0396103+0.00954506j -0.0314-0.0357423j 0.0567387+0.00473715j -0.0228937+0.0436413j 0.0289368+0.0118879j 
-0.0435078+0.0222385j -0.0196875-0.0768417j 0.0207245+0.0397956j 0.0302223+0.00208382j 0.0250269-0.0147662j -0.0167529-0.0194102j -0.0257435-0.0866655j 0.0275353-0.0213125j 0.0828338-0.0376418j -0.0455964+0.048883j -0.0253538-0.00743334j -0.00933727+0.0659154j 0.0219878-0.0593296j 0.0110646+0.00406192j -0.0436954-0.0278906j 0.0152614+0.033498j 0.0197496-0.0136945j -0.131855-0.019015j -0.0928525-0.115732j 0.013096+0.00124719j 0.0770507-0.0420011j -0.0181156-0.0122959j -0.0433577-0.0301368j 0.00684565-0.0174297j -0.0185878+0.127603j 0.0638541+0.0838804j -0.0426227+0.13429j 0.0480518-0.0617476j -0.00148212+0.0287963j 0.0692001+0.0626056j -0.104077+0.0708951j 0.0642013-0.125737j -0.0238028-0.0299583j -0.0394106-0.0380815j -0.0212272+0.0470776j -0.000850465+0.0883769j -0.0628083+0.0125141j 0.26841-0.0735709j 0.0841463+0.0256686j -0.0676766+0.0119945j -0.00512078+0.119905j 0.120296+0.083522j 0.0571811-0.0203891j -0.0257616+0.0693268j 0.118815-0.0892787j 0.0256884+0.0874342j 0.0522761+0.171517j 0.00734988+0.127041j -0.034798+0.0440235j -0.0993063+0.156206j 0.196169+0.0223461j -0.0595977-0.114344j 0.156122+0.168457j 0.0927644+0.024662j 0.0302301-0.0725762j -0.0950923+0.128301j -0.0243486-0.0228303j -0.0460716+0.0649668j 0.0367207+0.0879909j -0.0454556-0.0080276j -0.0067628+0.0133362j 0.0488669+0.0115605j -0.0839334+0.0170308j -0.0143409+0.0846142j 0.046099+0.0254717j -0.0400452-0.0852191j 0.0503128+0.0263505j -0.112855-0.0227775j 0.0996416-0.00684514j 0.00993563-0.0429393j 0.00222025-0.042631j -0.0456513+0.000313211j -0.0117398-0.0422964j 0.000430776+0.0330792j 0.0176207-0.0238482j 0.0558752-0.00135406j -0.0106303-0.0340383j 
0.0214394+0.0199499j -0.00209181+0.0164j -0.00612519+0.0154945j 0.0253449-0.0106133j 0.0227278-0.0267347j 0.0217995-0.0551345j 0.00989218+0.0482208j -0.00715193-0.00681051j -0.0462609-0.012083j 0.00410947+0.000929859j -0.026662+0.0419783j -0.0134405+0.022204j 0.0149519-0.0611817j 0.00658773-0.0110245j -0.0531375+0.000256279j 0.00762311-0.0193774j 0.0274561-0.0319592j 0.0361939+0.0449644j 0.024281-0.00694854j -0.006144-0.0339131j 0.0259899-0.0461115j 0.0384106+0.0217579j -0.10522-0.0113561j 0.0225995-0.0487466j -0.0712519-0.00414422j 0.00766453+0.0773468j 0.0558255-0.00711158j -0.0809734-0.0303808j -0.0978379+0.0248983j 0.0150085-0.0701472j -0.13069+0.0240778j 0.117319+0.0458534j -0.00888026-0.0566457j 0.111305+0.105536j -0.0473124-0.0933022j 0.0323615+0.0730611j -0.136641-0.0832619j -0.102388-0.0215409j 0.142391+0.00252151j 0.052959-0.0487304j -0.00989929+0.0760113j 0.0813727+0.0515608j 0.132161-0.0973763j -0.055921-0.0129279j -0.0737261+0.0794995j -0.0357524-0.170186j -0.0285456+0.0213845j 0.0587584+0.00552553j -0.0619128+0.226523j -0.0602919-0.0977625j -0.0326532+0.0485084j 0.0176732+0.0181975j -0.0704016+0.105888j 0.0455684+0.0237033j -0.115254+0.153161j -0.100077-0.0417084j -0.0493406-0.0220649j -0.104407-0.149281j -0.0539123+0.0371784j 0.0794987+0.119961j 0.0325745-0.0593768j 0.0445762+0.0208604j -0.0431909+0.0486974j 0.0823082+0.0765703j 0.0289501-0.0924042j 0.053567-0.0811193j 0.0281666-0.00907096j 0.0787215+0.040838j -0.0534676+0.00530554j 0.0406211+0.0295874j -0.0414325-0.0118202j 0.0107328-0.0535262j -0.0206271-0.0378051j -0.0120336-0.0478921j 0.0390462+0.00262513j -0.0208206+0.00843564j -0.0138833+0.0091389j 
