0.188054-0.171466j -0.325364-0.382988j -0.0475908+0.0247523j 0.532377-0.247717j 0.0225284+0.0172799j -0.0634098-0.515376j -0.268081-0.0306909j -0.0679548-0.055511j -0.11428+0.0871552j 0.0196155-0.00327921j 0.0293658+0.092407j 0.0113705+0.0851722j -0.000980777+0.0144696j -0.0238666-0.00145789j 0.0887073+0.0422275j 0.0191018+0.00287055j -0.0565534+0.0376644j -0.0105017-0.0259971j 
0.0129167+0.00866948j -0.00909953+0.0127048j 0.00414975+0.0127061j -0.00273565+0.00784842j 0.0169413-0.00370677j 0.0042768-0.014369j 0.012368+0.00571052j 0.00346828-0.012852j 0.00394519+0.00281747j 0.0127678+0.019999j 0.0165618+0.0151699j -0.0100821-0.0378465j 0.00195601+0.0151032j -0.0139723+0.0299484j -0.00431757-0.000773944j -0.0122152-0.0230432j -0.00742079+0.00782615j 0.00504293-0.0236619j 
0.012371+0.00973089j -0.0107208+0.00628119j -0.00954361+0.0176485j -0.00971288+0.00326689j 0.0129291+0.0144799j 0.00866891-0.00821892j -0.000213073+0.00663393j -0.00908966-0.00780594j 0.00880193-0.00888066j -0.0170028-0.00707019j -0.0216785-0.0291721j 0.000154615+0.0249032j 0.0027977+0.000790874j 0.0283705-0.014852j 0.0223026-0.00919869j -0.00495202+0.00815216j 0.00501316+0.00788452j 0.0121514-0.0129447j 
0.0222668-0.0107303j 0.00745824+0.0156786j -0.00919244+0.0215058j -0.00305952+0.00955523j 0.0224412+0.0143687j -0.012056-0.00810071j 0.00502865-0.010437j 0.00856682+0.0189587j -0.0100927+0.0111312j -0.00196525-8.9984e-05j 0.0109229+0.0112085j -0.00262003+0.00124848j -0.000811173-0.0025446j -0.0105273+0.0066909j -0.0169868+0.00850438j 0.0143731+0.00893091j 0.00277034-0.00695355j -0.0122787+0.00963667j 
0.0125633-0.00507185j 0.00389227+0.000525889j -0.00944089+0.00627082j -0.00458919+0.00473815j 0.00564843+0.0102645j -0.00451324-0.00100228j 0.000490129+0.00149626j -0.0120233+0.0351488j -0.00247469+0.000349601j -0.0121135-0.0171211j 0.00999012-0.00272783j -0.0189339+0.0297091j 0.0123794-0.00830842j 0.00561147+0.00739003j -0.00663155+0.00253199j 0.00942747+0.0314281j 0.00292365-0.011376j -0.0107715+0.00403321j 
-0.00043293-0.000444938j 2.22913e-05+4.78114e-06j -0.00145176+0.00093073j 0.000340828-0.000329772j 0.00158468+0.00259511j 0.000525779+0.00150007j -0.00169809-0.000487924j 0.00334146-0.00295243j 0.00171691+0.00238822j -0.00650319+0.00263131j -0.000788755-0.00275188j -0.00136977+0.00219886j -0.00319119+0.00909683j 0.00255983+0.0131718j 0.00169292+0.00124832j -0.0019132-0.00655542j 0.0011193-0.00533962j -0.0056841-0.0079798j 
-0.000826868+0.00613217j -0.00657574+0.00438693j -0.00241229-0.00588709j 0.00715801-0.000478147j -0.011046+0.00990594j 0.00211177+0.00546446j 0.00244855-0.00120849j 0.0018229+0.00768572j -0.00199662+0.011537j -0.00462506-0.00888316j -0.0025377-0.000620263j -0.00814673+0.0051749j -0.0148595+0.00832649j -0.00703644+0.0125599j -0.00135974+0.00343416j -0.00393654-0.00863145j 0.00915444-0.0135052j -0.0131062-0.0136622j 
-0.0005842+0.00412422j -0.003673+0.00468813j 0.00153391-0.0023043j 0.00418946-0.00300533j -0.0110402+0.00337803j 0.00446679-0.000147151j 0.00661022+0.00019773j -0.00285847+0.000476353j 0.00215169+0.00230556j 0.00028373-0.0069173j 0.00246187+0.013038j 0.00146742-0.00263938j -0.00584224+0.0102926j -0.0187628+0.000890343j -0.00625394-0.000426402j -0.0119103+0.00245468j -0.00623163-0.00960099j -0.00536752+0.0128369j 
-7.9053e-05-0.0004478j 0.000726426-0.000389664j 0.000938336+9.46343e-05j -0.000333674-0.000158481j 0.000817421-0.00098669j 0.000217959-0.000223758j -0.000399961+0.000571754j -0.00216111-0.000256829j -0.00018214-0.000161745j 0.00996+0.00135197j -0.0130826-0.00592618j 0.0131892+0.00253239j 0.00211522-0.00247593j -0.00412137+0.0201153j -0.000501462+0.00549004j -0.0040452+0.00652788j -0.000308047+0.00125828j -0.00112365+0.00103709j 
0.00183614-0.00163089j 0.00158495+0.00234773j -0.000709969-3.68352e-05j 0.00103862-0.00181483j -0.00311369+0.00134422j 5.02243e-05-0.000525203j 0.000962502-0.00260428j -0.00247672-0.0025015j 0.00013737-0.00664859j 0.000319391+0.0102365j 0.0032533-0.00317971j 0.00168977-0.00310231j 0.0144331-0.00639466j 0.0145527-0.00698765j 0.00239698-0.00233252j 0.00804743+0.00624407j -0.00697819+0.0119249j 0.00984223+0.00401925j 
0.00203875-0.00828037j 0.00979947-0.00296214j 0.00130868+0.00958164j -0.00540781-0.00791115j 0.0026619-0.0172717j 0.00923206-0.00678163j 0.00573297+0.0116979j -0.00322795-0.00994152j 0.00738091-0.00605477j 0.000190047-0.00161663j -0.000257644+0.0157491j 0.00676633-0.00131647j -0.00720937+0.00652549j -0.0105735-0.0101157j -0.0062098-0.00621666j -0.0107175-0.00307871j -0.0107027-0.00723789j -0.00853551+0.0196558j 
-0.00440721+0.00292879j 0.00250077-0.0101104j 0.00446885+0.00161549j -0.0162342+0.0111607j 0.0377465+0.0129965j -0.015119-0.00678593j -0.0167432-0.0109165j 0.00602393+0.00233128j 0.00304398+0.00485713j -0.000778689-0.00201275j 0.00542371-0.00199043j -0.0051731-0.000435149j 0.000604902-0.00459147j -0.00032836+0.00432511j 0.00353364+0.00579019j 0.00463834+0.00135712j 0.00645227-0.00276058j -0.00397171-0.00502488j 
-0.00178305+0.0036007j -0.00647552+0.00854341j 0.00767069+0.00390564j 0.0117916+0.000561119j -0.00116976+0.0079282j 0.0058359+0.00787834j 0.000572807+4.59837e-05j -0.00273419-0.00152743j 0.0104004+0.00687017j 0.00846613-0.0099501j 0.0149493+0.00961499j -0.0204644-0.00341896j 0.00126256-0.0138736j -0.012887+0.0182322j 0.00103073+0.00172733j 0.0160498+0.00801393j -0.00338132-0.0118622j 0.00123195+0.00118204j 
-0.00372296-0.00434048j 0.0011234-0.00385454j 0.00489483+0.00379033j 0.000560615+0.00198589j 0.00604144-0.00589929j 0.00157754+0.00275973j -0.0028544+0.00550202j -0.00043867-2.37534e-06j -0.00163429+0.00278279j 0.00937005+0.0023444j -0.00848914-0.0128249j 0.0044849+0.00739727j 0.00495743-0.00736751j -0.013371+0.0266017j -0.000637458+0.00846022j -0.00161509+0.00791065j 0.00637335-0.000183687j 0.00115244-0.00388537j 
-0.000389291+0.000191241j -0.000979102-0.00166235j -0.00454704-0.00179543j 0.000567981+4.15023e-05j -0.00505747+0.00144334j 0.00103595+0.00213777j 0.00129613+0.00238136j 0.00346941+0.00411691j -0.00256082+0.00879556j 0.000886703-0.00640327j 0.0123833+0.000340494j -0.0203693-0.00638313j 0.00247145-0.0102644j 0.00254572+0.00815377j 0.00185261+0.0052602j 0.0162071+0.00388216j 0.0102483-0.000313495j 0.00649326-0.0108291j 
-0.000396284+0.00171071j 0.00371332-0.00440592j -0.00103788-0.00670643j -0.00588981-0.00238256j 0.00261327-0.00508147j -0.000778918-0.00531539j 0.000506941+0.00136924j -0.000384782+0.00135029j -2.29382e-05+0.00056842j 0.00882292+0.0052039j -0.0120384-0.0157378j 0.0129096+0.0134645j 0.00304599-0.000578349j -0.0169656+0.018843j -0.00305129+0.00673711j -0.0104526+0.00560573j 0.00213294+0.000552879j -0.00215882-0.000636707j 
0.0038603-0.00557592j -0.013203+0.0190868j 0.00399025+0.0277993j 0.0198923+0.0103944j -0.00546224+0.029885j -0.00204385+0.0183941j -0.00547332-0.013817j -0.00919843-0.00368018j -0.00151217-0.00526167j 0.00528422-0.00195686j -0.00807786+0.00240914j 0.00825018+0.00112301j -0.0072713+0.00155451j -0.0055121-0.00114448j -0.00138621-0.00479404j -0.00559678-0.00427207j -0.00685613-0.00172807j -0.00160892+0.00509485j 
-0.00537359+0.0118717j -0.00918218-0.000775253j 0.00541208-0.0172557j -0.000599716+0.00761445j -0.00337544+0.0085707j -0.0124325-0.00317213j 4.65342e-05-0.0146744j -7.90021e-05+0.00619867j -0.00224911-0.00541903j -0.00330566+0.00767967j 0.00403277-0.00677164j 0.00764965+7.92168e-05j 0.0116598+0.00186323j 0.0151313-0.00733828j 0.00343566+0.00202732j -0.00225485+0.00405968j -0.00936462+0.0108952j 0.0076711+0.00737728j 
-0.0114077+0.00838214j -0.0158854+0.00187035j 0.0170474-0.00480785j 0.0136972+0.00884419j -0.00207902+0.00183631j 0.00138125+0.00952476j 0.00019449+0.000424103j 0.00598416+0.00294063j 0.00642928+0.00983458j -0.0100359+0.0110211j 0.006013-0.00807113j -0.00745118+0.00858302j 0.0167347+0.00254894j 0.002053+0.00207643j 0.00696195+0.00332414j 0.00198324+0.0105609j -0.00490489-0.00904667j -0.00502352+0.00124577j 
0.00384858-0.00860392j 0.00481945+0.00447822j -0.00375037+0.00845975j 0.00987752-0.00767159j -0.00822058-0.0139898j 0.0124357+0.00953781j 0.00123678+0.0137093j 0.000722286-0.0044652j -0.00389364+0.00452273j 0.00522367+0.00352729j 0.00523996-0.00179241j -0.0107102-0.00568969j 0.0170834-0.0126651j -0.00258767+0.0104886j -0.00130924+0.00547641j 0.00948675+0.0164692j 0.00433118+0.0051101j 0.00947095+0.00717927j 
0.00497277+0.00454182j 0.000985674+0.00460636j -0.00658721-0.00213719j -0.00136413-0.00395688j -0.00370166+0.00318078j 0.000233416-0.00368864j 0.00306904-0.00314065j -0.00631851-0.00737982j 0.00772789-0.000989814j 0.0148425-0.00145042j -0.00782299+0.00531201j 0.00416667+0.000624632j -0.00344232-0.00844968j -0.0253403+0.00962076j -0.00344594-0.00197001j -0.00468636+0.00310923j -0.00129701-0.00613913j -0.00358196+0.00460686j 
0.000715317-0.00205565j 0.00224715+0.00118468j 0.00203752+0.00733136j 2.89791e-05-0.000730735j 0.00756653-0.00447515j 0.00277448-2.60737e-05j -0.000710032+0.0039566j -0.00306043-0.00965907j 0.00827177-0.00109167j 0.00268884-0.0107433j 0.00629715+0.024438j -0.0110334-0.0149506j -0.00667468-0.00637637j 0.000786002-0.0108613j 0.00179471-0.00925328j 0.0119257-0.00106513j -0.00146103-0.00894595j -0.00220153+0.00355497j 
-0.0179591+0.0144797j -0.00737881-0.00444848j 0.0277302-0.0172088j -0.00223624+0.00554457j 0.0102957-0.00300865j -0.00459572-0.00823j -0.000541868-0.00488239j -0.00900501-0.00879144j 0.00950397+0.00198314j 0.0142435-0.00526062j -0.00378957+0.0137398j -0.00286616-0.0103624j -0.00415763-0.0117302j -0.0198277-0.000302624j 0.00273446-0.00436885j 0.00406579+0.00212708j 0.00272694-0.00917603j -0.00330763-0.00155332j 
-0.0102801+0.000334971j -0.00961681+0.00183284j 0.0194595+0.00324811j 0.0107699+0.00895877j -0.00321107-0.00513717j -0.00237546+0.00754958j -0.000983657-0.00213232j -0.0084196-0.00188452j -0.00552964-0.00753247j -0.00390448+0.00318929j 0.00199349-0.00504665j 0.00497008+0.0046719j 0.00215922+0.00636927j 0.00894363-0.00181948j -0.00207472-0.00107757j -0.00146598-0.000360443j -0.00818902+0.00286469j -0.000781184+0.0110711j 
-0.00306297-0.00791954j -0.000298352-0.00180036j 0.00606685+0.00882704j 0.007643+0.00317123j 0.00108849-0.0088019j 0.00373252+0.0111568j -0.00585129+0.00895287j -0.000112168+0.00493995j -0.0117685+0.00160196j -0.00125668+0.000359741j -0.000546543-0.0185026j -0.00231435+0.00626411j -0.00289338+0.00521921j -0.00527357+0.0112144j -0.00268718+0.00567753j -0.00449578-0.00393553j 0.00953518+0.00701448j 0.00583689-0.0141004j 
0.00297909-0.000466748j 0.00365767+0.000961536j -0.00180043-0.00140822j -0.0038682-0.00120379j -0.00019704+0.0026092j -0.00442467-0.0041278j -0.000678602-0.00596809j -0.010722+0.00332021j -0.00428923-0.0141847j 0.00855048-0.00541984j -0.00935199-0.000718164j 0.0146825+0.00493779j -0.0147928-0.00675349j 0.00220537-0.00299484j -0.00536853-0.00480673j 0.000213595-0.0098767j -0.00390714+0.00752894j 0.000823319+0.00338844j 
-0.00202282-0.00472675j -0.000901843-0.00083787j 0.00474984+0.00659505j 0.00461209+0.00289353j 0.00101029-0.00444926j 0.00131329+0.0067521j -0.00373946+0.00407629j -0.000749545+0.00265087j -0.00571471-0.0010766j -0.00527337-0.00814365j 0.0024674+0.00581744j -0.00461461-0.0111047j -0.00346919+0.000465457j 0.0206915-0.00345815j 0.00359953-0.000457599j 0.00767502-0.00116839j 0.00284619+0.0050984j 0.0052086-0.00392233j 
0.00510781+0.00428385j 0.00216734-0.00105809j -0.0131617-0.00789486j -0.00405772-0.00465253j -0.000734266+0.00314328j 0.00206489-0.00202984j 0.000812719+0.00273216j 0.0134296+0.00451723j -0.000655241+0.0154055j -0.0128576+0.00129458j 0.0109374+0.00125574j -0.014033-0.00593278j 0.00999248+0.0127376j -0.00127749+0.00480903j 0.00174078+0.00783319j -0.00443178+0.00756915j 0.00683946-0.00446844j -0.00103851-0.00489379j 
0.00205191+0.00588224j -0.00058005+0.00285598j -0.00423697-0.00560903j -0.00126103-0.00378549j -0.00258971+0.00453886j 0.00181755-0.00456511j 0.00515298-0.00131979j 0.00361487-0.00460271j 0.00960578+0.00887577j -0.0014997+0.00453941j 0.000959788+0.0114963j -0.00397686-0.00343141j 0.0117335+0.00249568j -0.00418313-0.00717947j 0.00159264-0.00121603j -0.00155311+0.0123545j -0.00361689-0.0110685j -0.00979769+0.00925136j 
-0.00066607+0.00268546j -0.00174336+0.00097924j 0.000389004-0.0025598j 0.00109499-0.000496621j -0.00122047+0.00122366j 0.00125641-0.000307951j 0.00186295+0.000606581j 0.0038776+0.000614106j 0.0019037+0.00665507j -0.00482633+3.81477e-05j 0.00119554+0.00716368j -0.00290288-0.00396691j 0.00568526+0.00576209j -0.000330078-0.00337814j 0.00126733+0.000812297j -0.00300003+0.00674276j 0.000242497-0.00605554j -0.00453148+0.00347959j 
