0.0181022-0.00930554j 0.0179244+0.0330493j -0.0264688+0.0179417j 0.0623973+0.0465484j 0.116429-0.060595j 0.000663685-0.00532012j -0.00963165+0.138951j 0.0974209+0.0546064j 0.112716-0.018781j -0.209388+0.0558218j 0.00985215+0.20127j 0.0944899+0.445739j -0.0138204+0.0127744j 0.103969-0.0275058j 0.0823061-0.0262565j 0.0368731-0.000948299j 0.563215+0.0591271j -0.00644545-0.0241105j -0.0776227+0.264685j -0.164775+0.382369j 0.103835+0.0891766j 0.185736+0.0861898j 
-0.0112595-0.0138056j -0.017642+0.017788j 0.0129731+0.0114549j -0.0224297+0.000800742j 0.000357011-0.00888042j -0.0159631+0.026002j 0.00891716-0.00295727j -0.000509047+0.0104324j 0.0059201+0.00177422j -0.0121011+0.0168306j -0.00459537-0.00256389j 0.00232689-0.001832j -0.00603429-0.00485694j 0.00130747+0.00648765j 0.00150321-0.0086728j -0.0132877+0.00672353j -0.00888862+0.00861851j 0.0178039-0.00221358j -0.000502544-0.0010757j 0.00213184-0.0052575j 0.00387063-0.00874924j -0.00274797-0.0137129j 
0.00316788-0.000785863j 6.35154e-05-0.00625302j -0.00625948-0.000644735j 0.000340501-0.0074198j 0.00982679+0.00936915j -0.00258418+0.0270558j 0.00232283+0.00668705j -0.0191288-0.0123133j -0.0107612-0.00774311j 0.00287918-0.00578788j -0.0182958+0.00376073j 0.00383404-0.00187494j -0.0449684-0.0360697j -0.00727976-0.0190686j -0.00038861+0.000965876j -0.0260419+0.0082588j 0.00587088+0.00680806j -0.015768+0.00225557j -0.0129425-0.00148001j 0.0147823-0.000733978j 0.00694524+0.0239238j -0.00210805-0.0260619j 
0.00129668-0.00309054j -0.00434526+0.000935277j 0.00266976+0.00379624j -0.0214715-0.00120424j -0.00490566-0.00643826j -0.0234861+0.0029808j 0.0112122-0.00325219j 0.0102967+0.0149229j -0.0242021+0.03588j -0.00888833+0.0101078j -3.62946e-05-0.00246602j -0.000980657+0.000662797j 0.00747016-0.0118801j -0.0110001+0.0239408j 0.00159751+0.00535285j -0.0412976+0.00429151j 0.0106594-0.013076j -0.0224293+0.000647385j 0.00377136-0.00594014j -0.00826768+0.00992421j 0.00201115-0.0219824j -0.00910619+0.0261828j 
-0.00104897-0.000386229j 0.000906216+0.00189142j 0.00202191-0.00139056j 0.000454399-0.00105905j -4.74258e-05+0.000623406j 0.00457357+0.00411989j 0.0019696+0.00445269j -0.00537068+0.0021219j -0.00103655+0.00582413j -0.000127038-0.00290803j -0.00366569+0.0049094j -0.00313783+0.00424922j 0.00678013+0.00620062j 0.00340481+0.00447392j -0.00889418-0.00745393j -0.00580679-0.00303193j -0.00467684-0.00861442j -0.014455-0.00722838j -7.8569e-05-0.0018998j -0.00117408-0.00564955j 0.00453547+0.000825046j 0.0239128+0.0126566j 
-0.00175005-0.00133914j -0.00140482+0.00202397j 0.00120057+0.000446127j 0.000359698-0.00200157j -0.00148354-0.00353564j 0.00687488-0.000843897j -0.00532653+0.00672141j -0.0104662-0.00199857j 0.00166707-0.000963013j -0.000519151+0.00293351j -0.010913-0.00294282j -0.00952074-0.00172198j 0.0019202-0.00213629j 0.000766928+0.0015896j -0.00261188+0.00023574j 0.000231825+0.00245163j 0.00110488-0.00645973j -0.00750466+0.00541374j 0.00290853-0.000677718j 0.0132116-0.00375866j 0.00447586+0.00494916j 0.00787692+0.0174223j 
-0.00445904+0.00381536j 0.00649211-0.00379599j -0.00930475-0.00765776j 0.00328318-0.00819366j 0.0104393-0.000779707j 0.0101207-0.0140326j -0.00530916-0.0120597j 0.00408741-0.00182369j 0.00112629+0.00811444j -0.00142783-0.00604319j -0.0022239-0.00632257j 0.00459799-0.00843216j 0.00572574-0.00294346j 0.00147437-0.00108183j -0.00727213+0.0144117j -0.00317382+0.000112552j 0.0029368+0.0049197j 0.0113022+0.0148934j -0.00236283+0.00724888j 0.00658113+0.00903319j -0.0114182-0.00526962j -0.0153158-0.0103955j 
0.00190257+0.00202164j 0.00179131-0.00300404j -0.00234729-0.000564359j -0.00187355+0.00519213j -0.00638439+0.00376965j -0.00249687+0.00634553j 0.00803315+0.00146406j 0.00363569+0.00489366j -0.00813727-0.00128596j 0.00817103-0.00164792j 0.00229806+0.00561538j 0.00278004+0.00621173j 0.00181831-0.00926704j -0.000856624-0.00170066j -0.000806477+0.0156274j 0.00300787-0.000178171j 0.00159602-0.00537901j 0.0249689-0.0036782j -0.00107735-0.00323744j -0.00649184-0.00568307j -0.000777615-0.00325059j 0.00106754-0.00251763j 
0.00395312-0.00944032j -0.00213942-0.00114078j 0.00546221-0.00555323j -0.00343711+0.00408371j -0.00125451-0.0144537j 0.0163866+0.018354j -0.0165485+0.00743835j -0.0116952-0.0107168j -0.00309545-0.0078647j -0.00287688+0.00515674j -0.00213292+0.0020983j -0.0082177-0.00800132j -0.00347577+0.00126442j 0.00166433+0.00127552j -0.00745885+0.00906975j -0.00314934-0.00672303j 0.00964855-0.000820001j 0.00451527+0.00623607j 0.00863716+0.00545245j 0.00788521-0.00135627j -0.00803628+0.00689843j 0.000415202+0.0131302j 
-0.00300814+0.00435415j 0.00386981-0.00113895j -0.00515286-0.00206205j -0.00292443+0.00343379j -0.00775879+0.00380216j -0.0151738-0.00174681j 0.00881557+0.0048058j 0.00392552+0.00723874j 0.000882879-0.0103666j -0.00158179-0.00925641j -0.0101401+0.0093597j 0.00778699-0.00357687j -0.0186216+0.0177268j 0.00789509+0.00740985j 0.00459606+0.00423226j -0.0126887-0.0204809j -0.00505868-0.00142306j -0.00308012-0.00941107j -0.00662539+0.0120482j 0.00157917-0.00708652j -0.0189264-0.0101433j 0.0135237+0.00145964j 
0.00554042+0.00363383j -0.0241941+0.0031048j 0.00355078+0.0399073j -0.00197461+0.00183037j -0.00505186+0.00495257j -0.0085781+0.00148594j 0.00525384+0.00255246j -0.00198787-0.000767055j 0.00147594-0.000141223j 0.00223375+0.00142822j -0.00219393-0.00498298j 0.000859479+0.00106606j 0.00300181-0.00223458j -0.00032621-0.00296958j 0.00140944+0.00182329j 0.00178732+0.00498663j -0.000344581+0.000681501j 0.00444645+0.00314493j -0.00219675-0.00323268j 1.82985e-05+0.000220625j 0.00418993+0.00174559j -0.00758918-0.00568989j 
-0.00904677-0.0113506j -0.0131384+0.00194667j -0.0048843+0.00561391j 0.000993394-0.00522279j 0.0060039-0.00862475j 0.0119342+0.0028273j -0.0107426-0.0020208j -0.00452458-0.00574447j -0.00111985-0.00872775j -0.00574356-0.00948259j -0.00987941-0.00580293j 0.00871991-0.0066327j 0.00906172-0.00901114j -0.0102286+0.0043896j -0.000742994-0.0100302j 0.0105266+0.00728219j -0.00110867+0.00370646j -0.00714321+7.44452e-05j -0.0112667+0.0059717j 0.0068832+0.00406651j -0.00354544-0.0163049j -0.00413101+0.00580473j 
-0.0073746-0.016226j -0.0162046+0.00249395j -0.00208556+0.00470125j 0.00884699-0.0124104j 0.014291+0.00461941j 0.0117767-0.021863j 0.00181474-0.0140688j 0.00706464+0.00328456j -0.00461002+0.00891691j -0.00707945+0.00569866j 0.0106312+0.00415272j -0.00775175-0.00358475j -0.00334864+0.000523194j 0.00065299-0.000860327j 0.00994813-0.0162945j 0.00571377+0.00240509j -0.010114+0.0013691j -0.0146863-0.0156416j 0.0100953-0.00278434j -0.00135697-0.00366746j 0.00716367+0.0144112j 0.00429231-0.00375857j 
-3.37857e-05+0.00483502j 0.00540516+0.000306403j 0.000447502-0.00240831j -0.00306214+0.000275254j 0.007177-0.0102944j 0.0154519+0.0151809j -0.0115804-0.00372779j -0.0036961-0.00827434j -0.00203908-0.00747381j 0.0066273-0.000385944j -0.00422346+0.00222189j -0.00138047+0.0136251j 0.00119276-0.00208442j -0.00984773-0.00441564j 0.0211192-0.0111255j 0.00255485+0.0111951j -0.00362167-0.00539691j -0.00281023-0.0213735j -0.00462304-0.0125042j 0.00418062-0.0113153j 0.016834-0.00175901j 0.0164486+0.0110165j 
0.0263446-0.000154807j 0.00425443+0.00191097j 0.0286377+7.14363e-05j 0.00101048+5.78685e-05j 0.00285252+0.00164302j 0.00645483-0.00298337j -0.000636403-0.00238013j -0.00200375-0.00106733j 0.000814198+0.00164626j -0.00217478-7.39224e-05j 0.00321296-0.000156436j 0.00336492+0.00034105j -0.00302272+0.00260413j 0.00281141-0.000841222j 0.00407382-0.00295488j 0.000851038-0.00273374j -0.00207755+0.00262905j -0.00347018-0.0048345j -0.00125518+0.00251834j -0.00354532+0.000615518j -0.000525164+0.00241611j -0.000235277-0.00674327j 
0.00139555+0.00072683j -0.00128449-0.00130345j -0.00100599+0.00327022j -0.0086716+0.0130707j -0.015277-0.000941897j -0.0161021+0.0154036j 0.00085243+0.0100293j -0.000172566-0.00376431j -0.0101055+0.00792756j -0.015516-0.00554614j 0.00513835+0.0117143j 0.00582844-0.008547j 0.00398078-0.0207354j -0.0102846+0.00831028j 0.00337447-0.0117768j 0.0248273+0.00956578j -0.0038174-0.00112621j -0.00367116-0.00352603j 0.000882437+0.0111692j -0.0116844-0.000584167j -0.00619878-0.00135078j -5.71884e-05-0.00880896j 
0.000593516-0.000489962j 0.000497293-0.000556142j 0.000101798-0.00173806j 0.00354547-0.00559979j -0.00162282+0.00824639j -0.00292366-0.0139078j 0.0132731+0.00192521j 0.00247937+0.013997j -0.00834972-0.00505912j -0.00595649+0.0151072j -0.00612977+0.00785427j -0.0192957-0.00492095j 0.00444556-0.0139448j 0.000757147+0.000974617j -0.00401341+0.00242057j 0.013794+0.0057753j 0.00511173-0.00305667j 0.00513325+0.0062311j 0.015114+0.00171435j 0.0119161-0.0054715j 0.00332606+0.0167376j 0.000856495+0.0121852j 
-0.00379018-0.00987376j -0.0177519-0.00379989j -0.00867816+0.0141241j -0.00268604-0.0011218j 0.00975073-0.00973759j 0.0108104+0.0121305j -0.0117289-0.00834525j 0.00318359-0.00910949j -0.00147238+0.000494462j 0.0011205+0.0017375j 0.00441842+0.00889797j -0.00169883-0.00298663j -0.0142839+0.00714277j 0.00742623+0.00410042j -0.00866479+0.00948639j -0.0070332-0.0198424j 0.00451023+0.00252737j 0.00135675+0.00390807j 0.00488847+0.0051336j 0.000416045-0.00153384j -0.0132797-0.000658921j 0.00751795-0.000489744j 
-0.00842762+0.0379415j 0.0227884+0.00755733j -0.00304186+0.0040025j 0.0053928-0.0068961j 0.00847563+0.00174692j 0.0103782+0.00043177j -0.00235265-0.00933713j 0.00228049-0.00243602j -0.00132167+0.00247755j -0.00368307-0.00114145j -0.000787005-0.0017641j -0.00142803-0.00420296j -0.00223683+0.00249296j 0.000994429+0.00310826j -0.000851094-0.00460797j -0.00250656-0.00319078j -0.00283058+0.00200509j -0.00850808-0.00304336j 0.00128173+0.0032208j 0.00533286+0.000763096j -0.0028849-0.00181044j -0.000182067+0.00309714j 
0.00273014-0.00363302j -0.00393235+0.000157169j 0.00345746+0.00242672j 0.000608538-0.00136552j 0.00496469-0.00110731j 0.0120404+0.00243848j -0.000670172-0.00706815j 0.0043161-0.000466201j -0.0154821+0.00326751j 0.020056-0.00603345j 0.00427064+0.00788267j 0.00691868+0.0156713j 0.00322107-0.00768956j 0.00126154-0.00315213j -0.0136844+0.0207253j -0.00347481-0.00178571j 0.00736672-0.0049564j 0.0196103+0.0184514j -0.00752496-0.00571285j -0.00908237-0.00857374j 0.000477503-0.0135114j 0.00331407-0.00802233j 
0.00387087+0.00422497j -0.00549119+0.00205745j 0.00576924+0.0125498j 0.00962356-0.0110075j 0.0102776+0.0075964j 0.0168985-0.0151312j 0.00932947-0.00916467j 0.00379723+0.0123276j -0.00610409-0.00900975j -0.00377362-0.00736095j -0.0131056+0.00504543j 0.0041567-0.00451587j 0.00758694-0.00753544j -0.00568177+0.0033312j -0.000621874-0.00129924j 0.00632505+0.00762151j -0.00178996+8.78671e-05j 0.00152751+0.00225764j -0.00745688+0.00642298j 0.00910155-0.000403997j -0.0060844-0.0109523j 0.00223738+0.00532317j 
-0.00178209+0.0010837j 0.00140297+0.000980941j -0.000228991-0.00108514j 0.00109053+0.00108036j -0.003585+0.000530161j -0.00161653-0.000157387j -0.000491897+0.00608342j -0.00490905-0.000941025j 0.00199521-0.00128399j -3.75679e-05+0.00172084j -0.000230691-0.00686788j -0.0026259-0.000921707j 0.0147294-0.00511805j -0.00507833-0.00858322j -0.00247582-0.000314132j -0.00422424+0.0165047j 0.00469206+0.00357922j -0.0025082+0.0102591j 0.00120609-0.00517921j 0.000480156+0.00729937j 0.0071835+0.00663482j -0.0104727-0.00647147j 
0.0113499-0.0061497j -0.00794095-0.00509731j 0.00307821+0.0069738j -0.00161296-0.00215417j -0.00562783+0.00466531j -0.011372-0.0153378j 0.0079293+0.00642577j -0.00387245+0.00964622j 0.0179296-0.000735337j 0.00802471-0.00214861j -0.0117569-0.0164899j 0.00359301+0.00372319j -0.00885524+0.0129402j 0.00536817+0.00178826j -0.0019219+0.00180005j -0.0122929-0.0125221j -0.00134428+0.000672855j -0.00241242-0.00154258j -0.00987127-0.00564593j 0.00721684+0.00653757j 0.00320227-0.0113401j -0.00471695+0.00185598j 
-0.00127558+0.000397722j -0.000314524-0.000372213j -0.00110622+0.000492008j 0.00145076-0.00140782j 0.00159172-0.00033279j 0.00532249+0.00145687j 0.00317625-0.000875192j 0.00189438+0.00573322j -0.00474469-0.00919051j 0.00095628-0.00137921j -0.00882804+0.004623j -9.80208e-05+0.00120594j 0.00312656-0.000830514j -0.0036162+0.00547268j -0.00203173+0.00130659j 0.00295323-0.000924377j 0.00349975-0.00423404j 0.00280607+0.00020697j -0.00325297+0.00197776j 0.00529903-0.00294645j -0.00264057-0.00948674j 0.00561618+0.0168246j 
-4.34377e-07+0.00219229j 0.000739146-0.000593242j -0.000860837+0.000882739j 0.000628934-0.00360771j 0.00082268-0.00183596j 0.000946583-0.0037126j 0.000468831+0.00126462j -0.00166913+0.00474618j 0.00862245+0.00138953j 0.00105993+0.000711901j -0.00334575-0.0112847j -0.000529765+0.000139479j -0.010147+0.00311667j -0.000837155+0.0073398j 0.0024526-0.000582357j -0.00720207-0.0106065j 0.000653036-0.00358172j -0.00628226-0.00860993j -0.00205028-0.00438998j 0.00452281+0.00718002j 0.00240813-0.00987434j -0.00367849+0.0198093j 
