-0.0549815-0j -0.00857174-0j -0.00663964-0j -0.00095835-0j -0.00606114-0j -0.00107147-0j -0.000714312-0j -8.9289e-05-0j -0.000618612-0j -0.000126274-0j -6.31368e-05-0j -7.44075e-06-0j -9.11302e-06-0j -5.88243e-07-0j -1.85279e-08-0j 
-0.00266768-0j -0.000415897-0j -0.000322153-0j -4.64987e-05-0j 0.0421339-0j -5.19871e-05-0j 0.00996571-0j -4.33226e-06-0j 0.00430027-0j 0.000877789-0j -3.06337e-06-0j 5.17242e-05-0j -4.4216e-07-0j -2.85413e-08-0j -8.98966e-10-0j 
3.36845e-05-0j -0.000751439-0j 4.06779e-06-0j 0.00795815-0j 3.71337e-06-0j -9.39299e-05-0j -6.26199e-05-0j -0.0341189-0j 3.78994e-07-0j 0.00104858-0j -5.53487e-06-0j -0.0117463-0j -0.00348225-0j -0.00234625-0j -0.000260832-0j 
-0.00163361-0j -0.000254684-0j -0.000197277-0j -2.84745e-05-0j 0.0258016-0j -3.18355e-05-0j 0.00610272-0j -2.65296e-06-0j 0.00263337-0j 0.000537534-0j -1.87592e-06-0j 3.16745e-05-0j -2.70766e-07-0j -1.74779e-08-0j -5.50502e-10-0j 
0.000471583-0j -0.0034577-0j -0.00541704-0j -0.000781386-0j 5.19871e-05-0j 0.0411124-0j -0.000288142-0j -0.000109585-0j -0.00101471-0j 0.0097933-0j 0.00731865-0j -1.21974e-05-0j 0.00213893-0j 0.000114775-0j -5.32705e-08-0j 
0.00233422-0j 0.00036391-0j 0.000281884-0j 4.06864e-05-0j -0.0368671-0j 4.54888e-05-0j -0.00871999-0j 3.79073e-06-0j -0.00376274-0j -0.000768065-0j 2.68045e-06-0j -4.52587e-05-0j 3.8689e-07-0j 2.49736e-08-0j 7.86595e-10-0j 
0.000288784-0j -0.0021174-0j -0.00331724-0j -0.000478499-0j 3.18355e-05-0j 0.0251761-0j -0.00017645-0j -6.71068e-05-0j -0.000621381-0j 0.00599715-0j 0.00448174-0j -7.46933e-06-0j 0.00130982-0j 7.02848e-05-0j -3.26214e-08-0j 
-0.000962815-0j -0.000150105-0j -0.000116271-0j -1.67823e-05-0j 0.0152069-0j -1.87632e-05-0j 0.00359681-0j -1.5636e-06-0j 0.00155205-0j 0.000316811-0j -1.10563e-06-0j 1.86683e-05-0j -1.59584e-07-0j -1.03011e-08-0j -3.24454e-10-0j 
-3.92986e-05-0j 0.000876679-0j -4.74576e-06-0j -0.0092845-0j -4.33226e-06-0j 0.000109585-0j 7.30566e-05-0j 0.0398054-0j -4.4216e-07-0j -0.00122334-0j 6.45735e-06-0j 0.013704-0j 0.00406262-0j 0.00273729-0j 0.000304304-0j 
-0.000412635-0j 0.00302549-0j 0.00473991-0j 0.000683712-0j -4.54888e-05-0j -0.0359733-0j 0.000252124-0j 9.58868e-05-0j 0.000887872-0j -0.00856914-0j -0.00640382-0j 1.06727e-05-0j -0.00187157-0j -0.000100428-0j 4.66117e-08-0j 
-2.40654e-05-0j 0.000536854-0j -2.90617e-06-0j -0.00568557-0j -2.65296e-06-0j 6.71068e-05-0j 4.47378e-05-0j 0.0243757-0j -2.70766e-07-0j -0.00074914-0j 3.9543e-06-0j 0.00839197-0j 0.00248784-0j 0.00167624-0j 0.000186348-0j 
0.000170203-0j -0.00124795-0j -0.00195511-0j -0.000282017-0j 1.87632e-05-0j 0.0148382-0j -0.000103996-0j -3.95513e-05-0j -0.000366229-0j 0.00353459-0j 0.00264144-0j -4.40226e-06-0j 0.000771981-0j 4.14243e-05-0j -1.92263e-08-0j 
3.43863e-05-0j -0.000767094-0j 4.15254e-06-0j 0.00812394-0j 3.79073e-06-0j -9.58868e-05-0j -6.39245e-05-0j -0.0348297-0j 3.8689e-07-0j 0.00107042-0j -5.65018e-06-0j -0.011991-0j -0.00355479-0j -0.00239513-0j -0.000266266-0j 
-1.41836e-05-0j 0.00031641-0j -1.71283e-06-0j -0.00335095-0j -1.5636e-06-0j 3.95513e-05-0j 2.63675e-05-0j 0.0143665-0j -1.59584e-07-0j -0.000441527-0j 2.33058e-06-0j 0.00494605-0j 0.00146628-0j 0.000987941-0j 0.000109829-0j 
