-0.502462-0j -0.0509611-0j -0.0514892-0j -0.0292381-0j -0.00422016-0j -0.0361803-0j -0.0211052-0j -0.00522218-0j -0.00304627-0j 0.0620067-0j 0.0109613-0j -0.0239691-0j 0.000913444-0j -0.014678-0j -0.020973-0j -0.00423718-0j -0.00259473-0j -0.00865092-0j -0.000353099-0j -0.00370754-0j -0.000216228-0j -0.00152928-0j -0.000308961-0j -0.00012744-0j -0.0158144-0j -0.00263573-0j 0.053916-0j -0.00161405-0j -0.000329466-0j -0.0145861-0j -1.9414e-05-0j 0.008986-0j -0.0147373-0j -0.0127628-0j 0.00550278-0j -0.00243102-0j -0.0105288-0j 0.00112325-0j -0.00148869-0j -0.00245621-0j -0.003364-0j 6.61881e-05-0j -0.00150411-0j -0.00212714-0j -0.000303877-0j -0.0013026-0j -0.0017548-0j -0.000307026-0j -1.79061e-05-0j -0.000265892-0j -0.00107459-0j -0.000560667-0j -1.80917e-05-0j -0.00021935-0j -0.000343337-0j -1.56679e-05-0j -7.00834e-05-0j -1.29253e-05-0j -4.1297e-06-0j 
-0.0241202-0j -0.00244634-0j -0.00247169-0j -0.673772-0j 0.00101077-0j 0.167105-0j 0.0974777-0j -0.000250686-0j -0.000146233-0j -0.000986242-0j 0.0167744-0j 0.00574087-0j -1.45287e-05-0j -0.000704605-0j -0.00100679-0j -0.097643-0j 0.0119842-0j -0.000415279-0j 8.4571e-05-0j 0.0171239-0j -1.03798e-05-0j 0.00706323-0j -1.48314e-05-0j -6.11764e-06-0j -0.000759155-0j -0.000126526-0j -0.000857557-0j 0.014987-0j 0.00152169-0j 0.00349353-0j -9.31951e-07-0j -0.000142926-0j 0.00352974-0j -0.000612668-0j 0.0169296-0j 0.000582255-0j -0.000505425-0j 0.00171894-0j -0.0689681-0j 0.000588289-0j -0.000161486-0j -1.05275e-06-0j -0.0696828-0j -0.000102111-0j -0.00700264-0j 0.0120951-0j -8.42376e-05-0j -0.00707521-0j 4.28872e-06-0j 0.00122807-0j 0.00997794-0j -2.69143e-05-0j 4.33316e-06-0j 0.0010131-0j 0.003188-0j -7.52121e-07-0j 0.000323692-0j -6.20468e-07-0j -1.98243e-07-0j 
-0.0355146-0j 0.00370754-0j -0.00374444-0j -0.204661-0j 0.000307026-0j 0.246045-0j -0.135295-0j -0.00036911-0j 0.000202965-0j -0.00451113-0j 0.076727-0j -0.00169417-0j -6.64552e-05-0j 0.00106786-0j -0.00152521-0j 0.0288151-0j -0.0181626-0j 0.00300507-0j -2.49574e-05-0j 0.0259414-0j 1.57311e-05-0j -0.0511113-0j -2.24685e-05-0j 4.42688e-05-0j 0.00115053-0j 0.000191755-0j 0.00381085-0j -0.0227134-0j -0.00230619-0j 0.00106117-0j 1.41241e-06-0j 0.000635141-0j -0.00107173-0j -0.000902093-0j -0.0752325-0j 0.000176862-0j 0.000701508-0j -0.00763868-0j -0.0209493-0j -0.000178622-0j 0.00258861-0j 4.67826e-06-0j 0.0211578-0j -0.000150349-0j -0.00212708-0j 0.0178088-0j 0.000116918-0j 0.00214825-0j 1.30271e-06-0j 0.00180821-0j -0.0138489-0j 0.000431436-0j -1.31568e-06-0j -0.00140614-0j -0.0511035-0j -1.10742e-06-0j -0.00518877-0j 8.61182e-07-0j 3.17782e-06-0j 
0.00522218-0j 0.0498248-0j -0.0511618-0j 0.000303877-0j 0.196236-0j -0.000369997-0j 0.00021935-0j -0.238935-0j 0.141651-0j -0.000644447-0j 0.0108916-0j 0.000249116-0j -0.130157-0j -0.00045276-0j -0.00021448-0j -0.00421024-0j 0.00765199-0j 8.99106e-05-0j 0.0503132-0j 0.00362487-0j -0.0914428-0j -0.00151956-0j -0.0433179-0j 0.018159-0j 0.000164362-0j -0.00261897-0j -0.000560359-0j 1.67751e-05-0j 0.0153201-0j -0.000149164-0j 0.0055714-0j 0.00892886-0j 0.000153167-0j -0.000393684-0j -5.71914e-05-0j 0.00237681-0j -0.000107672-0j -0.0522308-0j -1.5224e-05-0j -0.00244059-0j 3.49627e-05-0j -0.0189946-0j 1.56325e-05-0j 0.00627303-0j -0.0139035-0j -4.01802e-05-0j 0.00171567-0j 0.0142766-0j -0.00505625-0j -0.0366951-0j -1.09893e-05-0j -0.000557102-0j 0.00519193-0j -0.0100361-0j 3.56837e-06-0j -0.0133448-0j 0.00325886-0j -0.00364979-0j 0.00118514-0j 
0.00348145-0j -0.033758-0j -0.0341079-0j -0.00101077-0j -0.652733-0j 0.000250686-0j 0.000146233-0j 0.161887-0j 0.0944339-0j 0.000142352-0j -0.00240585-0j -0.000828623-0j 0.0287504-0j 0.000101701-0j 0.000145317-0j 0.0140044-0j -0.00171882-0j 5.99404e-05-0j -0.167355-0j -0.00245597-0j 0.0205403-0j -0.00101304-0j 0.0293494-0j 0.012106-0j 0.000109575-0j -0.00174598-0j 0.000123778-0j 1.11834e-05-0j 0.0102134-0j -0.000504248-0j 0.00371427-0j -0.0019723-0j -0.000509473-0j 8.8431e-05-0j 1.2633e-05-0j 0.00803478-0j 7.29519e-05-0j 0.0115373-0j -5.14646e-05-0j 0.00811804-0j 2.33085e-05-0j 0.00419571-0j -5.19979e-05-0j -0.00140908-0j -0.0470007-0j 9.02545e-06-0j -0.00116243-0j -0.0474878-0j -0.0170926-0j 0.00824262-0j 7.44562e-06-0j -0.000371401-0j -0.0172697-0j 0.00679981-0j 2.37891e-06-0j 0.00299756-0j 0.00217257-0j 0.00247286-0j 0.000790092-0j 
0.00512609-0j 0.0511618-0j -0.051671-0j -0.000307026-0j -0.19827-0j 0.00036911-0j -0.000202965-0j 0.238362-0j -0.13107-0j 0.000651125-0j -0.0110045-0j 0.000244532-0j 0.131506-0j -0.000154132-0j 0.000220146-0j -0.00413277-0j 0.00260495-0j -0.000433744-0j 0.0493875-0j -0.00372063-0j -0.0311297-0j 0.0073306-0j 0.0444623-0j -0.0876021-0j -0.000166065-0j 0.00264611-0j -0.000550048-0j -1.6949e-05-0j -0.0154789-0j -0.000153167-0j -0.00562914-0j 0.00876457-0j 0.000154692-0j 0.000130206-0j -5.61391e-05-0j 0.00244059-0j -0.000101254-0j -0.0512698-0j -1.56325e-05-0j -0.00246488-0j -0.000373634-0j -0.0186451-0j 1.57881e-05-0j -0.00207472-0j -0.0142766-0j 1.32891e-05-0j 0.0016134-0j 0.0144187-0j -0.00519193-0j 0.0121364-0j -1.03342e-05-0j 0.00595355-0j 0.00524361-0j -0.00943784-0j -3.81339e-05-0j 0.00441361-0j -0.0348263-0j -0.00343222-0j -0.0126651-0j 
0.000600815-0j -0.00421242-0j -0.00420232-0j 0.47139-0j -0.000707166-0j 0.00409567-0j 0.333888-0j -6.14422e-06-0j -0.000500889-0j 0.00172592-0j -0.0293552-0j -5.71698e-05-0j 2.54253e-05-0j -0.00365962-0j 0.00168427-0j 0.000972366-0j 0.0622442-0j -0.00213884-0j -8.42191e-07-0j -0.0286466-0j -5.39113e-05-0j 0.0363782-0j 2.48116e-05-0j -3.15081e-05-0j 0.00132852-0j 0.00022142-0j 2.13611e-05-0j -0.0262272-0j -0.00266296-0j 0.00240497-0j 1.63091e-06-0j 3.56018e-06-0j 0.0023992-0j -4.52936e-05-0j -0.000421703-0j 0.000400828-0j 0.00170345-0j -4.28173e-05-0j -0.047478-0j 0.000399867-0j -0.00111029-0j 2.62232e-08-0j -0.0473642-0j -7.54893e-06-0j -0.00482065-0j 0.000894171-0j 0.000283908-0j -0.0048091-0j 2.95237e-06-0j 9.07891e-05-0j -0.0336289-0j -0.000185048-0j 2.9453e-06-0j -0.00341449-0j 0.0219189-0j -5.56032e-08-0j 0.00222553-0j 2.09118e-06-0j -1.36301e-06-0j 
0.0149236-0j -0.00749514-0j 0.00152928-0j -0.0835523-0j 0.000125343-0j 0.511978-0j -0.0603113-0j -0.000768055-0j 9.04773e-05-0j 0.000610206-0j -0.0103786-0j 0.000711907-0j 8.98919e-06-0j 0.00554218-0j -0.00308462-0j -0.0121084-0j -0.0942635-0j 0.000256941-0j 1.04874e-05-0j 0.0524644-0j 8.1644e-05-0j -0.00437015-0j -4.54407e-05-0j 3.7851e-06-0j 0.000469703-0j 7.82839e-05-0j 0.000530586-0j -0.00927272-0j -0.0009415-0j -0.00214526-0j 5.76615e-07-0j 8.8431e-05-0j 0.000437711-0j 0.00481903-0j -0.0104746-0j -0.000357543-0j -0.00154853-0j -0.00106354-0j 0.042351-0j 7.29519e-05-0j 9.99143e-05-0j 6.51356e-07-0j -0.00864115-0j 0.000803172-0j 0.00430008-0j -0.0951356-0j -0.000258088-0j -0.000877374-0j -2.63356e-06-0j -0.00965954-0j 0.0305706-0j 1.66524e-05-0j 5.37341e-07-0j 0.00310397-0j -0.00197247-0j 5.91592e-06-0j -0.000200274-0j -1.901e-06-0j 1.22656e-07-0j 
0.048194-0j -0.0024973-0j -0.00231076-0j -0.274977-0j 0.000412513-0j -0.333888-0j 0.385288-0j 0.000500889-0j -0.000577999-0j -0.00100679-0j 0.0171239-0j -0.00458584-0j -1.48314e-05-0j -0.000719285-0j -0.000941239-0j 0.0779977-0j 0.0122339-0j -0.000493278-0j -6.75558e-05-0j 0.016009-0j -1.05961e-05-0j 0.00838987-0j -1.38658e-05-0j -7.26667e-06-0j -0.000774971-0j -0.000129162-0j 0.00171346-0j 0.0152992-0j 0.0015534-0j 0.00142577-0j -9.51366e-07-0j 0.000285577-0j 0.00131927-0j 0.00122416-0j -0.0338266-0j 0.000237628-0j -0.00199773-0j -0.00343456-0j -0.028147-0j 0.000219878-0j 0.0021359-0j 2.10347e-06-0j -0.0260445-0j 0.000204026-0j -0.00285789-0j -0.0241669-0j -0.000332955-0j -0.00264442-0j 1.75029e-06-0j -0.00245377-0j 0.0394386-0j 0.000355983-0j 1.61955e-06-0j 0.00400437-0j -0.0421662-0j 1.50279e-06-0j -0.00428132-0j -2.45245e-06-0j 2.62206e-06-0j 
-8.67202e-05-0j -0.0581289-0j -0.0579896-0j 0.000707166-0j 0.45667-0j 6.14422e-06-0j 0.000500889-0j 0.00396778-0j 0.323462-0j -0.000249116-0j 0.00421024-0j 8.25175e-06-0j -0.0503132-0j 0.00052822-0j -0.000243103-0j -0.000139461-0j -0.00892732-0j 0.000308715-0j 0.00166658-0j 0.00410862-0j 0.106683-0j -0.00521751-0j -0.0490988-0j 0.0623503-0j -0.000191755-0j 0.00305547-0j -3.0832e-06-0j -1.9571e-05-0j -0.0178735-0j -0.000347127-0j -0.00649997-0j 4.91283e-05-0j -0.000346295-0j 6.53757e-06-0j -3.14678e-07-0j 0.00553118-0j -0.000245872-0j -0.000287384-0j -3.54285e-05-0j 0.00551792-0j 0.000160256-0j -0.000104512-0j -3.53436e-05-0j -0.000104171-0j -0.0323556-0j 6.67238e-07-0j 0.00391776-0j -0.032278-0j -0.0117666-0j 0.000609364-0j -2.50942e-05-0j -0.00255355-0j -0.0117384-0j -0.0229176-0j 1.63561e-05-0j 0.000221605-0j 0.0149374-0j -0.00833436-0j 0.00543224-0j 
-0.00215404-0j -0.103428-0j 0.0211032-0j -0.000125343-0j -0.0809433-0j 0.000768055-0j -9.04773e-05-0j 0.495991-0j -0.058428-0j -8.80757e-05-0j 0.00148854-0j -0.000102755-0j -0.0177884-0j -0.000799944-0j 0.000445226-0j 0.00173664-0j 0.0135197-0j -3.70862e-05-0j -0.0207531-0j -0.00752466-0j -0.161563-0j 0.000626785-0j 0.0899211-0j -0.00749021-0j -6.77958e-05-0j 0.00108027-0j -7.65835e-05-0j -6.91938e-06-0j -0.00631922-0j 0.000309642-0j -0.00229809-0j 0.0012203-0j -6.31782e-05-0j -0.000695567-0j -7.81627e-06-0j -0.00493389-0j 0.000223511-0j -0.00713832-0j 3.16027e-05-0j 0.00100669-0j -1.44214e-05-0j -0.00259597-0j -6.44809e-06-0j 0.0110833-0j 0.0288616-0j -7.0991e-05-0j -0.00356147-0j -0.00588881-0j 0.010496-0j -0.0648335-0j 2.2812e-05-0j 0.000229793-0j -0.00214156-0j 0.0208334-0j -1.47188e-06-0j -0.0235778-0j -0.00134421-0j 0.0075764-0j -0.000488844-0j 
0.0253729-0j 0.00786139-0j 0.00267516-0j 0.146217-0j -0.00021935-0j 0.521709-0j 0.0966592-0j -0.000782654-0j -0.000145005-0j -0.00106786-0j 0.0181626-0j 0.00121037-0j -1.57311e-05-0j -0.000714357-0j -0.00323404-0j -0.0205865-0j 0.0121501-0j -0.00214692-0j 1.78305e-05-0j 0.0550058-0j -1.05235e-05-0j 0.0365157-0j -4.76419e-05-0j -3.16272e-05-0j -0.00082198-0j -0.000136997-0j 0.000902093-0j 0.0162273-0j 0.00164763-0j 0.00225009-0j -1.00908e-06-0j 0.000150349-0j 0.000765684-0j 0.000603465-0j -0.0178088-0j 0.000375015-0j 0.00148746-0j -0.00180821-0j -0.0444205-0j 0.000127614-0j -0.00184939-0j 1.10742e-06-0j -0.0151159-0j 0.000100577-0j -0.00451021-0j -0.0119134-0j 0.000247911-0j -0.00153478-0j 2.76225e-06-0j -0.00120962-0j -0.029365-0j -0.000308232-0j 9.39966e-07-0j -0.00298156-0j 0.0365101-0j 7.40823e-07-0j 0.00370703-0j 1.82604e-06-0j -2.27035e-06-0j 
-0.0069562-0j -0.0344613-0j -0.0318872-0j -0.000412513-0j -0.266391-0j -0.000500889-0j 0.000577999-0j -0.323462-0j 0.373257-0j 0.000145317-0j -0.00245597-0j 0.000661909-0j 0.0293494-0j 0.00010382-0j 0.000135856-0j -0.0111868-0j -0.00175463-0j 7.11986e-05-0j 0.133684-0j -0.00229607-0j 0.0209682-0j -0.00120331-0j 0.0274385-0j 0.0143798-0j 0.000111857-0j -0.00178236-0j -0.000247317-0j 1.14164e-05-0j 0.0104262-0j -0.000205792-0j 0.00379165-0j 0.00394079-0j -0.00019042-0j -0.000176692-0j -2.52417e-05-0j 0.00327912-0j 0.000288348-0j -0.0230523-0j -2.10035e-05-0j 0.00303418-0j -0.00030829-0j -0.00838335-0j -1.94346e-05-0j 0.00281544-0j -0.0191818-0j -1.80335e-05-0j -0.00459459-0j -0.017749-0j -0.00697576-0j -0.0164694-0j 2.94294e-05-0j 0.00491235-0j -0.00645469-0j 0.0268768-0j -3.14647e-05-0j -0.00598936-0j -0.0287356-0j 0.00977418-0j -0.0104502-0j 
-0.00366226-0j 0.108483-0j 0.0369156-0j 0.00021935-0j 0.141651-0j 0.000782654-0j 0.000145005-0j 0.505419-0j 0.0936409-0j 0.000154132-0j -0.00260495-0j -0.000174702-0j 0.0311297-0j 0.000103109-0j 0.000466793-0j 0.0029526-0j -0.00174261-0j 0.000309882-0j -0.0352841-0j -0.00788916-0j 0.0208246-0j -0.00523723-0j 0.094277-0j 0.062586-0j 0.000118643-0j -0.00189047-0j -0.000130206-0j 1.21089e-05-0j 0.0110586-0j -0.000324773-0j 0.00402165-0j 0.00207472-0j -0.000110517-0j -8.71026e-05-0j -1.32891e-05-0j 0.00517499-0j -0.000214697-0j -0.0121364-0j -3.3147e-05-0j 0.001761-0j 0.000266937-0j -0.00441361-0j -1.12796e-05-0j 0.00138791-0j -0.0302719-0j -8.88987e-06-0j 0.00342102-0j -0.0103012-0j -0.0110089-0j -0.0081188-0j -2.19124e-05-0j -0.00425342-0j -0.00374622-0j -0.0200118-0j 2.72442e-05-0j -0.00295253-0j 0.0248811-0j -0.00727762-0j 0.00904842-0j 
-0.0448362-0j -0.00152034-0j 0.00745396-0j -0.085293-0j 0.000127954-0j -0.305642-0j -0.0716391-0j 0.000458516-0j 0.000107471-0j 0.000622919-0j -0.0105948-0j -0.00213884-0j 9.17646e-06-0j -0.00132083-0j -0.0029875-0j 0.0363782-0j 0.0224651-0j -0.00369929-0j -3.15081e-05-0j 0.0508126-0j -1.94576e-05-0j 0.062919-0j -4.40101e-05-0j -5.44957e-05-0j 0.000479489-0j 7.99148e-05-0j -0.00159408-0j -0.0094659-0j -0.000961115-0j -0.000435153-0j 5.88628e-07-0j -0.00026568-0j 0.00213348-0j 0.00338006-0j 0.0314698-0j -7.25255e-05-0j -0.000365493-0j 0.00319527-0j 0.00859064-0j 0.000355579-0j -0.00190647-0j -1.95692e-06-0j -0.0421183-0j 0.000563344-0j 0.000872246-0j -0.0667281-0j -6.09154e-05-0j -0.00427646-0j -5.34201e-07-0j -0.00677519-0j 0.00721543-0j -0.000317746-0j 2.61909e-06-0j 0.000732615-0j 0.037637-0j 4.14942e-06-0j 0.00382145-0j -4.48685e-07-0j -2.34042e-06-0j 
0.0195321-0j -0.000403085-0j -0.0074622-0j 0.0222508-0j -3.338e-05-0j -0.135318-0j -0.710496-0j 0.000203001-0j 0.00106587-0j -0.000162504-0j 0.00276393-0j 0.000931747-0j -2.39391e-06-0j -0.000116098-0j -0.00303956-0j -0.0158475-0j 0.00197464-0j -0.00221679-0j 1.37259e-05-0j 0.0516981-0j -1.71029e-06-0j 0.0377041-0j -4.4777e-05-0j -3.26564e-05-0j -0.000125086-0j -2.08477e-05-0j 0.000694433-0j 0.00246941-0j 0.00025073-0j -0.000115371-0j -1.53558e-07-0j 0.000115739-0j -0.00213583-0j 0.000496127-0j -0.0137093-0j -1.92285e-05-0j 0.00368394-0j -0.00139196-0j 0.00227762-0j -0.000355972-0j -0.00380365-0j 8.52497e-07-0j 0.0421649-0j 8.26878e-05-0j 0.000231256-0j -0.00979437-0j 0.000613991-0j 0.00428119-0j -1.41631e-07-0j -0.000994466-0j -0.0727272-0j -0.000633942-0j -2.62198e-06-0j -0.00738431-0j 0.0750904-0j 6.09053e-07-0j 0.00762426-0j 4.52247e-06-0j -4.66943e-06-0j 
0.00647155-0j -0.0209798-0j 0.10286-0j -0.000127954-0j -0.0826296-0j -0.000458516-0j -0.000107471-0j -0.296098-0j -0.0694021-0j -8.99106e-05-0j 0.00151956-0j 0.000308715-0j -0.018159-0j 0.000190645-0j 0.000431209-0j -0.00521751-0j -0.00322204-0j 0.000533947-0j 0.0623503-0j -0.00728775-0j 0.038504-0j -0.0090241-0j 0.0870901-0j 0.10784-0j -6.92082e-05-0j 0.00110278-0j 0.000230086-0j -7.06353e-06-0j -0.00645087-0j 6.28089e-05-0j -0.00234596-0j -0.00366623-0j -0.000307941-0j -0.00048787-0j 2.3483e-05-0j -0.00100081-0j 5.27543e-05-0j 0.0214462-0j 6.41041e-06-0j 0.00490678-0j 0.000275176-0j 0.00779926-0j -3.14291e-05-0j 0.00777381-0j 0.0058544-0j -4.9793e-05-0j -0.000840597-0j -0.028703-0j 0.00212905-0j -0.0454742-0j 5.38422e-06-0j -0.0043847-0j -0.0104383-0j 0.00491721-0j 2.8085e-05-0j -0.0165374-0j 0.025649-0j 0.00178822-0j 0.00932769-0j 
-0.00281921-0j -0.00556233-0j -0.102974-0j 3.338e-05-0j 0.021556-0j -0.000203001-0j -0.00106587-0j -0.131093-0j -0.68831-0j 2.34554e-05-0j -0.000396414-0j -0.000134486-0j 0.00473722-0j 1.67573e-05-0j 0.000438723-0j 0.00227292-0j -0.000283212-0j 0.000319966-0j -0.0271618-0j -0.00741475-0j 0.00338443-0j -0.00540767-0j 0.0886078-0j 0.0646228-0j 1.80547e-05-0j -0.000287686-0j -0.000100233-0j 1.8427e-06-0j 0.00168287-0j 1.66524e-05-0j 0.000612002-0j 0.00159713-0j 0.000308281-0j -7.16098e-05-0j -1.023e-05-0j -0.000265342-0j -0.000531732-0j -0.00934266-0j 1.69958e-06-0j -0.00491221-0j 0.00054901-0j -0.00339761-0j 3.14638e-05-0j 0.00114104-0j 0.00155216-0j -7.30864e-06-0j 0.00847271-0j 0.0287348-0j 0.000564469-0j -0.00667472-0j -5.42696e-05-0j -0.00874803-0j 0.0104499-0j -0.0495625-0j 5.60331e-05-0j -0.00242737-0j 0.051173-0j -0.0180242-0j 0.0186099-0j 
0.0310611-0j 0.0031503-0j 0.00318295-0j 0.00180743-0j 0.000260881-0j 0.00223659-0j 0.00130468-0j 0.000322823-0j 0.000188314-0j -0.185096-0j 0.000224514-0j -0.215946-0j 1.87095e-05-0j -0.132239-0j -0.188953-0j 0.000261933-0j 0.000160401-0j -0.077939-0j 2.18278e-05-0j 0.000229192-0j 1.33667e-05-0j 9.45367e-05-0j 1.90993e-05-0j 7.87806e-06-0j 0.00097761-0j -0.0237462-0j 0.00110433-0j 9.97769e-05-0j 2.03669e-05-0j 0.00090168-0j 1.20013e-06-0j -0.0268242-0j 0.000911024-0j 0.00078897-0j 0.00011271-0j -0.0219018-0j 0.000650867-0j 2.30068e-05-0j 9.20274e-05-0j -0.0221288-0j 0.000207955-0j 1.35569e-06-0j 9.2981e-05-0j -0.0191641-0j 1.8785e-05-0j 8.05239e-05-0j -0.0158096-0j 1.89797e-05-0j 1.10692e-06-0j 1.64369e-05-0j 6.64289e-05-0j -0.00505124-0j 1.11839e-06-0j 1.35597e-05-0j 2.12243e-05-0j 9.68553e-07-0j 4.3324e-06-0j 7.99015e-07-0j 2.55289e-07-0j 
-0.00549087-0j 0.0263428-0j 0.0266158-0j 0.0307416-0j 0.00440908-0j 0.0380407-0j 0.0221904-0j 0.00545596-0j 0.00318264-0j -0.000224514-0j -0.180631-0j -0.000261933-0j 0.000475961-0j -0.000160401-0j -0.000229192-0j -0.210736-0j -0.129049-0j -9.45367e-05-0j 0.000555288-0j -0.184394-0j 0.000340043-0j -0.0760586-0j 0.000485877-0j 0.000200414-0j -0.000172819-0j 0.00136246-0j -0.00019522-0j 0.00341173-0j -0.0331184-0j -0.000159396-0j 4.07784e-05-0j 0.00153906-0j -0.000161048-0j -0.000139472-0j 0.00385396-0j 0.00125664-0j -0.000115058-0j -0.0374112-0j 0.00314674-0j 0.00126966-0j -3.67616e-05-0j 4.60641e-05-0j 0.00317935-0j 0.00109956-0j -0.0305461-0j 0.0027534-0j 0.000907091-0j -0.0308626-0j 3.76111e-05-0j -0.0267278-0j 0.00227144-0j 0.00028982-0j 3.80009e-05-0j -0.0220493-0j 0.000725736-0j 3.29097e-05-0j -0.00704487-0j 2.71492e-05-0j 8.67429e-06-0j 
0.000457573-0j -0.00667851-0j -0.00674772-0j 2.6626e-05-0j 0.0526894-0j 3.2948e-05-0j 1.92197e-05-0j 0.0651998-0j 0.0380332-0j 1.87095e-05-0j -0.000475961-0j 2.18278e-05-0j -0.174911-0j 1.33667e-05-0j 1.90993e-05-0j -0.000555288-0j -0.000340043-0j 7.87806e-06-0j -0.204063-0j -0.000485877-0j -0.124962-0j -0.000200414-0j -0.178555-0j -0.0736502-0j 1.44016e-05-0j -0.000345416-0j 1.62683e-05-0j 1.46985e-06-0j 0.00411345-0j 1.3283e-05-0j -0.0463435-0j -0.000390189-0j 1.34207e-05-0j 1.16226e-05-0j 1.66038e-06-0j -0.000318588-0j 9.58818e-06-0j 0.00464663-0j 1.35569e-06-0j -0.000321889-0j 3.06347e-06-0j -0.0523505-0j 1.36974e-06-0j -0.000278764-0j 0.00379396-0j 1.18623e-06-0j -0.000229969-0j 0.00383327-0j -0.042744-0j 0.00331971-0j 9.7859e-07-0j -7.34761e-05-0j -0.043187-0j 0.00273862-0j 3.12664e-07-0j -0.037401-0j 0.000875004-0j -0.0308543-0j -0.00985809-0j 
-0.000482491-0j -0.00343798-0j 0.00337472-0j -0.00197248-0j -0.000284704-0j -3.47423e-05-0j 0.00278683-0j -5.01462e-06-0j 0.000402244-0j 0.201999-0j -0.000245016-0j 0.00335442-0j -2.0418e-05-0j 0.144315-0j -0.200337-0j -4.06877e-06-0j -0.000175048-0j -0.250326-0j -3.39064e-07-0j 0.000243-0j -1.45873e-05-0j 0.000303635-0j 2.025e-05-0j 2.53029e-05-0j -0.00106688-0j 0.0259146-0j -1.71542e-05-0j -0.000108888-0j -2.22267e-05-0j -0.000984019-0j -1.30972e-06-0j 0.000416676-0j 0.000965913-0j -1.22556e-05-0j -1.75079e-06-0j 0.0239018-0j 0.00139027-0j -3.57379e-07-0j -0.000100431-0j -0.023462-0j 0.000891629-0j -2.10588e-08-0j 9.85831e-05-0j 0.000297688-0j -2.05004e-05-0j -1.25083e-06-0j -0.0337698-0j 2.01232e-05-0j -1.208e-06-0j -2.55324e-07-0j 0.000141894-0j -0.0216577-0j 1.18577e-06-0j 2.8964e-05-0j 9.10015e-05-0j -1.50451e-08-0j 1.85756e-05-0j 1.70672e-06-0j 1.09458e-06-0j 
8.52931e-05-0j -0.0287483-0j 0.0282194-0j -0.0335488-0j -0.0048117-0j -0.00059091-0j 0.0473995-0j -8.47508e-05-0j 0.00679823-0j 0.000245016-0j 0.197125-0j 4.06877e-06-0j -0.000519424-0j 0.000175048-0j -0.000243-0j 0.00327349-0j 0.140833-0j -0.000303635-0j -8.62563e-06-0j -0.195504-0j -0.000371095-0j -0.244286-0j 0.000515151-0j 0.000643693-0j 0.0001886-0j -0.00148688-0j 3.03247e-06-0j -0.00372328-0j 0.0361426-0j 0.000173952-0j -4.45021e-05-0j -2.39072e-05-0j -0.000170751-0j 2.1665e-06-0j -5.98659e-05-0j -0.00137139-0j -0.000245768-0j 0.000581131-0j -0.00343409-0j 0.00134616-0j -0.000157619-0j -7.15541e-07-0j 0.00337091-0j -1.70801e-05-0j 0.0333355-0j -4.27703e-05-0j 0.00193758-0j -0.0327221-0j -4.10457e-05-0j 0.00041518-0j 0.00485187-0j 0.00124263-0j 4.02904e-05-0j -0.0470981-0j 0.00311166-0j -5.11207e-07-0j -0.0302056-0j 5.79915e-05-0j 3.71919e-05-0j 
-7.10776e-06-0j 0.00728837-0j -0.00715427-0j -2.90574e-05-0j -0.0575008-0j -5.11802e-07-0j 4.10539e-05-0j -0.00101279-0j 0.0812402-0j -2.0418e-05-0j 0.000519424-0j -3.39064e-07-0j 0.190883-0j -1.45873e-05-0j 2.025e-05-0j 8.62563e-06-0j 0.000371095-0j 2.53029e-05-0j 0.00316983-0j -0.000515151-0j 0.136374-0j -0.000643693-0j -0.189313-0j -0.236551-0j -1.57167e-05-0j 0.000376958-0j -2.52705e-07-0j -1.60408e-06-0j -0.00448907-0j -1.4496e-05-0j 0.0505754-0j 6.06104e-06-0j 1.42292e-05-0j -1.80541e-07-0j -2.57916e-08-0j 0.00034768-0j 2.04807e-05-0j -7.2179e-05-0j -1.47949e-06-0j -0.000341283-0j 1.31349e-05-0j 0.000813193-0j 1.45227e-06-0j 4.33022e-06-0j -0.00414041-0j -1.84264e-08-0j -0.000491221-0j 0.00406423-0j 0.0466473-0j -5.15672e-05-0j 2.0903e-06-0j -0.000315036-0j -0.045789-0j 0.00584979-0j 1.34058e-06-0j 0.000580973-0j 0.00375166-0j -0.0659057-0j -0.0422675-0j 
-0.0262569-0j 0.00262033-0j -0.00269064-0j -0.00152788-0j -0.00022053-0j 0.00186033-0j -0.00110288-0j 0.000268515-0j -0.000159187-0j 0.156468-0j -0.000189789-0j 0.182546-0j -1.58157e-05-0j -0.331771-0j -0.157165-0j -0.00022142-0j 0.000402425-0j 0.0658842-0j -1.84517e-05-0j 0.000190635-0j 3.35354e-05-0j -7.99148e-05-0j 1.58862e-05-0j -6.65956e-06-0j 0.00335047-0j -0.0813829-0j -0.000933522-0j 0.000341956-0j 6.98014e-05-0j 0.000749991-0j 4.11309e-06-0j 0.0226753-0j -0.000770117-0j 0.00197942-0j -9.52772e-05-0j -0.0182173-0j 0.000541372-0j -1.94484e-05-0j 7.65456e-05-0j 0.0187061-0j -0.000175791-0j -1.14601e-06-0j -7.85997e-05-0j -0.0480802-0j 1.56248e-05-0j 0.000202024-0j -0.0131499-0j -1.60441e-05-0j 9.20701e-07-0j 4.1238e-05-0j 5.52536e-05-0j 0.00426996-0j -9.45407e-07-0j 1.12786e-05-0j -1.79416e-05-0j 2.42997e-06-0j -3.66231e-06-0j 6.64597e-07-0j -2.15804e-07-0j 
