-0.0102543-0j 0.0808426-0j -0.00104658-0j 0.0204243-0j 0.00241961-0j -0.00920875-0j 0.0702942-0j -0.00121336-0j 0.0167436-0j 0.00717437-0j 0.00257227-0j 0.000196223-0j -0.00590699-0j -0.0059682-0j 0.0441795-0j 0.0446373-0j -0.000738374-0j -0.000492249-0j -0.000746025-0j 0.0101891-0j -0.00049735-0j 0.0102947-0j 0.00582116-0j -4.35091e-05-0j 0.00588148-0j 0.0014758-0j -4.396e-05-0j 0.00103992-0j 0.00149109-0j 0.0010507-0j 0.000174227-0j 0.000176032-0j 9.75647e-06-0j 9.85757e-06-0j -0.0044373-0j -0.00549087-0j -0.00320301-0j 0.0327232-0j 0.0404929-0j 0.0236208-0j -0.000535854-0j 0.00739447-0j -0.000489166-0j -0.000663086-0j -0.0003868-0j 0.00915019-0j -0.000605312-0j 0.0040904-0j 0.00533761-0j 0.00272693-0j -0.000353099-0j 0.00103701-0j -4.99253e-05-0j 0.00506161-0j 0.00337441-0j 0.000974307-0j 0.00295261-0j 0.00128324-0j -6.17794e-05-0j 0.000241029-0j 0.0019684-0j 0.000115424-0j 0.000748555-0j -3.6038e-05-0j 0.00120564-0j 0.00010584-0j 0.000298258-0j 0.000703292-0j 0.00014283-0j 1.14182e-05-0j 0.000173984-0j 0.00013097-0j 8.33172e-05-0j 5.04092e-07-0j 1.41293e-05-0j 7.63991e-05-0j 8.24208e-06-0j 6.23782e-07-0j 3.63873e-07-0j 
-0.000489166-0j -0.562042-0j -4.99253e-05-0j 0.000974307-0j 0.000115424-0j -0.000439289-0j 0.00335327-0j 0.00843563-0j -0.116407-0j 0.000342242-0j 0.000122706-0j 9.36052e-06-0j -0.000281783-0j -0.000284704-0j 0.00210751-0j 0.00212935-0j -3.52229e-05-0j 0.00686801-0j -3.55879e-05-0j 0.000486055-0j 0.00693918-0j 0.000491092-0j -0.0404704-0j -2.07553e-06-0j -0.0408898-0j -0.0102602-0j -2.09704e-06-0j 4.96078e-05-0j -0.0103665-0j 5.01219e-05-0j 8.31121e-06-0j 8.39734e-06-0j 4.65417e-07-0j 4.7024e-07-0j 0.000422225-0j -0.000261933-0j -0.000152794-0j -0.00311373-0j 0.00193165-0j 0.00112679-0j 5.09886e-05-0j -0.000703612-0j -0.00678361-0j -3.16315e-05-0j -1.84517e-05-0j 0.000436495-0j 0.00420831-0j -0.000389217-0j 0.000254622-0j 0.0758921-0j 0.00245485-0j -9.86756e-05-0j -0.00069235-0j 0.000241456-0j -0.0470807-0j 0.0135114-0j 0.000140849-0j 6.12148e-05-0j 0.000429509-0j -2.29348e-05-0j -0.0274638-0j 0.00160066-0j 3.57086e-05-0j 0.000250547-0j -0.00838199-0j -1.0071e-05-0j 1.42279e-05-0j -0.0048895-0j -0.000992993-0j -1.08648e-06-0j 8.29963e-06-0j 6.2477e-06-0j -0.000579246-0j -4.79663e-08-0j 6.74014e-07-0j 3.64449e-06-0j 3.93175e-07-0j 2.97565e-08-0j 1.7358e-08-0j 
-0.415004-0j 0.000353099-0j 0.000216228-0j 4.41373e-05-0j 2.60082e-06-0j -0.0037239-0j 0.117716-0j -0.000490667-0j -7.08217e-05-0j -6.13334e-05-0j -7.22821e-06-0j -3.29921e-07-0j 0.00122041-0j 0.00112925-0j 0.000192964-0j 0.00017855-0j -0.0298828-0j 0.000101701-0j -0.0276507-0j -0.00431321-0j 9.41043e-05-0j -0.00399103-0j 2.54253e-05-0j 8.98919e-06-0j 2.35261e-05-0j 2.11877e-06-0j 8.31772e-06-0j 2.2473e-06-0j 1.96051e-06-0j 2.07943e-06-0j 1.87275e-07-0j 1.73286e-07-0j 6.97932e-09-0j 6.45798e-09-0j 0.000916767-0j -0.00222044-0j 0.00256227-0j 0.000142926-0j -0.000346172-0j 0.000399463-0j 0.00011071-0j 1.59796e-05-0j -0.0197971-0j -0.000268144-0j 0.000309423-0j -3.87032e-05-0j 0.0479492-0j -0.00349966-0j 4.46614e-05-0j 1.19105e-05-0j -0.0553308-0j -0.000291639-0j 1.03148e-05-0j 0.0084763-0j -2.88476e-05-0j 2.1055e-06-0j -0.00978119-0j 0.000706359-0j -2.49828e-05-0j 1.05275e-06-0j 3.32886e-05-0j 1.24068e-07-0j -0.000815099-0j 2.88288e-05-0j -5.09959e-06-0j 1.51951e-07-0j -2.5498e-06-0j 5.88465e-06-0j -3.00496e-07-0j 9.80842e-09-0j 2.94233e-06-0j -3.68031e-07-0j 3.46756e-07-0j 3.08936e-10-0j -2.37563e-08-0j 4.24688e-07-0j 2.74135e-08-0j -7.48254e-10-0j 8.63444e-10-0j 
-0.000299552-0j -4.99253e-05-0j -0.566004-0j 0.00120712-0j -3.67734e-07-0j -0.000269008-0j -4.3411e-05-0j 0.00685604-0j -5.11604e-06-0j -0.0820252-0j 0.000100999-0j -2.38329e-08-0j -0.000172556-0j -0.000174345-0j -2.72836e-05-0j -2.75663e-05-0j 0.00417215-0j -1.43797e-05-0j 0.00421539-0j -3.1133e-06-0j -1.45287e-05-0j -3.14556e-06-0j 0.000695359-0j -0.0713298-0j 0.000702565-0j -2.99577e-07-0j -0.072069-0j -0.00588258-0j -3.02682e-07-0j -0.00594354-0j 5.1218e-06-0j 5.17488e-06-0j -9.86819e-10-0j -9.97045e-10-0j 0.000258559-0j -0.000160401-0j -9.35671e-05-0j 4.031e-05-0j -2.50069e-05-0j -1.45873e-05-0j -0.00603959-0j 4.50679e-06-0j 2.85035e-05-0j 0.00374674-0j 0.0021856-0j -2.79585e-06-0j -1.76825e-05-0j -0.000974635-0j -1.63091e-06-0j 3.35917e-06-0j -1.03148e-05-0j 4.19896e-07-0j 0.0538574-0j 0.000604628-0j -2.0839e-06-0j -0.000114862-0j 0.0003527-0j -2.60488e-07-0j -0.0334112-0j 0.016663-0j -1.21561e-06-0j 3.49913e-08-0j -1.51951e-07-0j -0.0194898-0j 7.12561e-05-0j 0.000793394-0j -0.0103371-0j 4.15661e-05-0j -2.17073e-08-0j -5.35081e-07-0j -0.00602998-0j -0.000492193-0j -1.26626e-08-0j 8.71305e-11-0j 3.31945e-07-0j -0.000287112-0j 1.93634e-07-0j -5.40526e-11-0j -3.15307e-11-0j 
0.000605312-0j 0.695491-0j 6.17794e-05-0j -0.00120564-0j -0.00014283-0j 7.73739e-06-0j -5.90627e-05-0j -0.000148581-0j 0.00205033-0j -6.02806e-06-0j -2.16128e-06-0j -1.64871e-07-0j -0.000343096-0j -0.000342273-0j 0.00256608-0j 0.00255993-0j -4.2887e-05-0j 0.00836239-0j -4.27842e-05-0j 0.000591815-0j 0.00834235-0j 0.000590396-0j -0.0492763-0j -2.52714e-06-0j -0.0491581-0j -0.0124927-0j -2.52108e-06-0j 6.04018e-05-0j -0.0124627-0j 6.02571e-05-0j 1.01196e-05-0j 1.00954e-05-0j 5.66685e-07-0j 5.65327e-07-0j 0.000261933-0j -4.53955e-06-0j -0.000370073-0j -0.00193165-0j 3.34772e-05-0j 0.00272913-0j 3.16315e-05-0j -0.000436495-0j -0.00420831-0j -5.48202e-07-0j -4.46906e-05-0j 7.56487e-06-0j 7.29339e-05-0j -0.000241456-0j 0.000616704-0j 0.0470807-0j 0.00594572-0j -6.12148e-05-0j -0.000429509-0j 4.18466e-06-0j -0.000815953-0j 0.00838199-0j 0.000341142-0j 1.06091e-06-0j 7.44378e-06-0j -1.42279e-05-0j -0.0665181-0j 0.000992993-0j 8.64874e-05-0j 0.000606832-0j -0.000145268-0j -6.2477e-06-0j 2.46583e-07-0j -0.0118425-0j -1.72095e-05-0j -6.74014e-07-0j 2.0102e-05-0j 1.08278e-07-0j -0.00140295-0j -2.97565e-08-0j 1.16813e-08-0j 8.82709e-06-0j 9.52283e-07-0j 5.15708e-10-0j 4.20416e-08-0j 
6.11457e-05-0j -0.000974307-0j -0.00120712-0j -0.548359-0j 0.00207267-0j 5.49111e-05-0j -0.000847179-0j -0.000696124-0j 0.00467229-0j 0.0167247-0j -0.140594-0j 0.000224663-0j 3.52229e-05-0j 3.55879e-05-0j -0.000532447-0j -0.000537965-0j -0.000423617-0j 2.93524e-06-0j -0.000428007-0j 0.00284326-0j 2.96566e-06-0j 0.00287273-0j 0.00674999-0j -7.54045e-05-0j 0.00681994-0j 0.000838379-0j -7.6186e-05-0j -0.0561307-0j 0.000847067-0j -0.0567124-0j -0.0143594-0j -0.0145082-0j 1.39826e-05-0j 1.41275e-05-0j -5.27782e-05-0j 3.27417e-05-0j 1.90993e-05-0j 0.000786662-0j -0.000488017-0j -0.000284676-0j 0.000613226-0j -0.00411589-0j -5.81825e-06-0j -0.000380424-0j -0.000221914-0j 0.00255335-0j 3.60943e-06-0j -0.00946098-0j 0.00148945-0j 6.55552e-05-0j 2.1055e-06-0j -0.0011751-0j 0.000114862-0j 0.00586925-0j -4.0668e-05-0j 0.0521784-0j 0.00342373-0j 0.000728987-0j -7.12561e-05-0j -0.00168407-0j -2.3723e-05-0j -0.000197222-0j 0.000425242-0j -4.15661e-05-0j -0.0323696-0j 0.0231983-0j 0.00104474-0j -0.0188823-0j 0.000122349-0j 0.00250896-0j 0.000609429-0j -0.0143914-0j 7.13705e-05-0j -1.73081e-06-0j -0.00155647-0j -0.00839499-0j -0.000907938-0j 1.07373e-06-0j 6.26345e-07-0j 
0.000370676-0j 6.17794e-05-0j 0.700394-0j -0.00149373-0j 4.55048e-07-0j 4.73817e-06-0j 7.64618e-07-0j -0.000120759-0j 9.01111e-08-0j 0.00144475-0j -1.77894e-06-0j 4.1978e-10-0j -0.000210102-0j -0.000209599-0j -3.32201e-05-0j -3.31405e-05-0j 0.00507996-0j -1.75085e-05-0j 0.00506778-0j -3.79071e-06-0j -1.74666e-05-0j -3.78162e-06-0j 0.00084666-0j -0.0868502-0j 0.000844631-0j -3.64761e-07-0j -0.086642-0j -0.00716255-0j -3.63887e-07-0j -0.00714538-0j 6.23624e-06-0j 6.22129e-06-0j -1.20154e-09-0j -1.19866e-09-0j 0.000160401-0j -2.77989e-06-0j -0.000226623-0j 2.50069e-05-0j -4.33392e-07-0j -3.5331e-05-0j -0.00374674-0j 2.79585e-06-0j 1.76825e-05-0j 6.49345e-05-0j 0.0052936-0j -4.84547e-08-0j -3.06454e-07-0j -0.000604628-0j -3.95013e-06-0j 2.0839e-06-0j -2.49828e-05-0j 2.60488e-07-0j 0.0334112-0j 1.04788e-05-0j -3.6116e-08-0j -7.12561e-05-0j 0.000854251-0j -4.5145e-09-0j -0.000579046-0j 0.0103371-0j -2.94425e-06-0j 2.17073e-08-0j -3.68031e-07-0j -0.047205-0j 1.23493e-06-0j 0.000492193-0j -0.000179152-0j 0.000100674-0j -3.76208e-10-0j -3.31945e-07-0j -0.0146048-0j -8.53016e-06-0j -3.06693e-08-0j 5.40526e-11-0j 5.75291e-09-0j -0.000695396-0j 4.68989e-07-0j -9.36781e-13-0j -7.63683e-11-0j 
-0.000353099-0j -0.405703-0j -3.6038e-05-0j 0.000703292-0j 8.33172e-05-0j 0.00062065-0j -0.00473768-0j -0.0119183-0j 0.164466-0j -0.000483537-0j -0.000173366-0j -1.3225e-05-0j -0.000203402-0j -0.000188209-0j 0.00152128-0j 0.00140765-0j -2.54253e-05-0j 0.00495759-0j -2.35261e-05-0j 0.000350853-0j 0.00458727-0j 0.000324646-0j -0.0292131-0j -1.4982e-06-0j -0.027031-0j -0.0074062-0j -1.38629e-06-0j 3.58088e-05-0j -0.00685298-0j 3.3134e-05-0j 5.99935e-06-0j 5.55122e-06-0j 3.35955e-07-0j 3.10861e-07-0j -0.000152794-0j 0.000370073-0j -0.000427044-0j 0.00112679-0j -0.00272913-0j 0.00314927-0j -1.84517e-05-0j 0.000254622-0j 0.00245485-0j 4.46906e-05-0j -5.15705e-05-0j -0.000616704-0j -0.00594572-0j 0.000140849-0j 0.000711642-0j -0.0274638-0j 0.00686104-0j 3.57086e-05-0j 0.000250547-0j -0.000341142-0j 0.0665181-0j -0.0048895-0j 0.000393659-0j -8.64874e-05-0j -0.000606832-0j 8.29963e-06-0j -0.0767583-0j -0.000579246-0j 9.98018e-05-0j 0.000700252-0j 0.0118425-0j 3.64449e-06-0j -2.0102e-05-0j -0.0136656-0j 0.00140295-0j 3.93175e-07-0j 2.31966e-05-0j -8.82709e-06-0j -0.00161893-0j 1.7358e-08-0j -9.52283e-07-0j 1.0186e-05-0j 1.09888e-06-0j -4.20416e-08-0j 4.85137e-08-0j 
-3.60305e-06-0j 0.000115424-0j -3.67734e-07-0j -0.00207267-0j -0.530747-0j -3.23567e-06-0j 0.000100363-0j -4.26336e-07-0j -0.00169915-0j 1.02433e-05-0j 0.0164631-0j -0.179583-0j -2.07553e-06-0j -2.09704e-06-0j 6.30777e-05-0j 6.37313e-05-0j -2.59441e-07-0j -1.72961e-07-0j -2.6213e-07-0j -0.001034-0j -1.74753e-07-0j -0.00104471-0j 8.31121e-06-0j -1.52877e-08-0j 8.39734e-06-0j 0.00944546-0j -1.54462e-08-0j -0.000105532-0j 0.00954335-0j -0.000106626-0j -0.0382171-0j -0.0386131-0j -0.0226233-0j -0.0228578-0j 3.10998e-06-0j -1.92932e-06-0j -1.12544e-06-0j -9.31938e-05-0j 5.78141e-05-0j 3.37249e-05-0j 3.75566e-07-0j 0.00149681-0j 3.42843e-07-0j -2.32988e-07-0j -1.35909e-07-0j -0.000928567-0j -2.12688e-07-0j -1.16492e-05-0j -0.000541664-0j -7.76615e-06-0j -1.24068e-07-0j -0.013239-0j 3.49913e-08-0j 7.22676e-06-0j 4.81784e-06-0j 0.000197222-0j 4.21561e-06-0j 0.00821301-0j -2.17073e-08-0j -6.86437e-07-0j 2.81041e-06-0j 0.0505026-0j 0.00479093-0j -1.26626e-08-0j -0.000122349-0j -0.0013512-0j 4.25841e-07-0j -7.13705e-05-0j -0.03133-0j 0.0208443-0j 2.48407e-07-0j 0.000838237-0j -0.0182758-0j 0.00469352-0j -0.0129311-0j 0.000488972-0j -0.00754312-0j -0.00291169-0j -0.00169849-0j 
-0.000216228-0j -3.6038e-05-0j -0.408563-0j 0.000871344-0j -2.65445e-07-0j 0.000380069-0j 6.13334e-05-0j -0.00968658-0j 7.22821e-06-0j 0.115889-0j -0.000142697-0j 3.36724e-08-0j -0.000124558-0j -0.000115254-0j -1.96943e-05-0j -1.82232e-05-0j 0.00301162-0j -1.03798e-05-0j 0.00278666-0j -2.2473e-06-0j -9.60448e-06-0j -2.07943e-06-0j 0.000501937-0j -0.0514885-0j 0.000464444-0j -2.16246e-07-0j -0.0476425-0j -0.00424627-0j -2.00093e-07-0j -0.00392909-0j 3.69711e-06-0j 3.42095e-06-0j -7.12323e-10-0j -6.59115e-10-0j -9.35671e-05-0j 0.000226623-0j -0.00026151-0j -1.45873e-05-0j 3.5331e-05-0j -4.07701e-05-0j 0.0021856-0j -1.63091e-06-0j -1.03148e-05-0j -0.0052936-0j 0.00610852-0j 3.95013e-06-0j 2.49828e-05-0j 0.0003527-0j -4.55823e-06-0j -1.21561e-06-0j -2.88288e-05-0j -1.51951e-07-0j -0.0194898-0j -0.000854251-0j 2.94425e-06-0j 4.15661e-05-0j 0.000985759-0j 3.68031e-07-0j 0.047205-0j -0.00602998-0j -3.39751e-06-0j -1.26626e-08-0j -4.24688e-07-0j -0.054472-0j -0.000100674-0j -0.000287112-0j 0.0146048-0j 0.000116173-0j 3.06693e-08-0j 1.93634e-07-0j -0.0168531-0j 0.000695396-0j -3.53907e-08-0j -3.15307e-11-0j -4.68989e-07-0j -0.000802449-0j 5.41188e-07-0j 7.63683e-11-0j -8.81249e-11-0j 
-7.5664e-05-0j 0.00120564-0j 0.00149373-0j 0.67856-0j -0.0025648-0j -9.67174e-07-0j 1.49218e-05-0j 1.22612e-05-0j -8.22952e-05-0j -0.00029458-0j 0.00247635-0j -3.9571e-06-0j 4.2887e-05-0j 4.27842e-05-0j -0.000648301-0j -0.000646747-0j -0.000515791-0j 3.57391e-06-0j -0.000514555-0j 0.00346192-0j 3.56535e-06-0j 0.00345362-0j 0.00821871-0j -9.18116e-05-0j 0.00819901-0j 0.0010208-0j -9.15915e-05-0j -0.068344-0j 0.00101835-0j -0.0681802-0j -0.0174839-0j -0.017442-0j 1.7025e-05-0j 1.69842e-05-0j -3.27417e-05-0j 5.67443e-07-0j 4.62592e-05-0j 0.000488017-0j -8.45778e-06-0j -0.000689495-0j 0.000380424-0j -0.00255335-0j -3.60943e-06-0j -6.59309e-06-0j -0.000537482-0j 4.42519e-05-0j 6.25547e-08-0j -0.00586925-0j 0.00360751-0j 4.0668e-05-0j 5.09959e-06-0j -0.000728987-0j 7.12561e-05-0j 0.00010172-0j -7.04815e-07-0j 0.0323696-0j 0.00829239-0j 1.2634e-05-0j -1.23493e-06-0j -0.00104474-0j -5.7458e-05-0j -0.000122349-0j 0.00102995-0j -0.000100674-0j -0.000560995-0j 0.0143914-0j 1.81062e-05-0j -0.0457335-0j 2.12043e-06-0j 0.00155647-0j 0.00147606-0j -0.000249416-0j 0.000172862-0j -1.07373e-06-0j -2.6975e-05-0j -0.0203329-0j -0.00219906-0j 1.86088e-08-0j 1.51703e-06-0j 
4.41373e-05-0j -0.000703292-0j -0.000871344-0j -0.395827-0j 0.00149613-0j -7.75812e-05-0j 0.00119694-0j 0.000983521-0j -0.00660126-0j -0.0236296-0j 0.198639-0j -0.000317416-0j 2.54253e-05-0j 2.35261e-05-0j -0.000384341-0j -0.000355632-0j -0.000305783-0j 2.11877e-06-0j -0.000282942-0j 0.00205237-0j 1.96051e-06-0j 0.00189907-0j 0.0048724-0j -5.44299e-05-0j 0.00450845-0j 0.000605174-0j -5.03641e-05-0j -0.0405173-0j 0.000559969-0j -0.0374908-0j -0.0103652-0j -0.00959094-0j 1.00932e-05-0j 9.33924e-06-0j 1.90993e-05-0j -4.62592e-05-0j 5.33805e-05-0j -0.000284676-0j 0.000689495-0j -0.00079564-0j -0.000221914-0j 0.00148945-0j 2.1055e-06-0j 0.000537482-0j -0.000620225-0j -0.00360751-0j -5.09959e-06-0j 0.00342373-0j 0.00416287-0j -2.3723e-05-0j 5.88465e-06-0j 0.000425242-0j -4.15661e-05-0j -0.00829239-0j 5.7458e-05-0j -0.0188823-0j 0.00956896-0j -0.00102995-0j 0.000100674-0j 0.000609429-0j -6.63034e-05-0j 7.13705e-05-0j 0.00118851-0j -0.000116173-0j 0.0457335-0j -0.00839499-0j -0.00147606-0j -0.0527739-0j -0.000172862-0j -0.000907938-0j 0.00170329-0j 0.0203329-0j 0.000199473-0j 6.26345e-07-0j 0.00219906-0j -0.0234631-0j -0.00253759-0j -1.51703e-06-0j 1.75057e-06-0j 
4.45854e-06-0j -0.00014283-0j 4.55048e-07-0j 0.0025648-0j 0.656767-0j 5.69913e-08-0j -1.76774e-06-0j 7.50926e-09-0j 2.9928e-05-0j -1.8042e-07-0j -0.000289973-0j 0.00316308-0j -2.52714e-06-0j -2.52108e-06-0j 7.68025e-05-0j 7.66184e-05-0j -3.15892e-07-0j -2.10595e-07-0j -3.15135e-07-0j -0.00125898-0j -2.1009e-07-0j -0.00125596-0j 1.01196e-05-0j -1.86141e-08-0j 1.00954e-05-0j 0.0115007-0j -1.85695e-08-0j -0.000128494-0j 0.0114731-0j -0.000128186-0j -0.0465326-0j -0.0464211-0j -0.0275459-0j -0.0274799-0j 1.92932e-06-0j -3.34369e-08-0j -2.72585e-06-0j -5.78141e-05-0j 1.00197e-06-0j 8.16828e-05-0j 2.32988e-07-0j 0.000928567-0j 2.12688e-07-0j -4.03789e-09-0j -3.29177e-07-0j -1.60929e-05-0j -3.68607e-09-0j -7.22676e-06-0j -0.00131193-0j -4.81784e-06-0j -3.00496e-07-0j -0.00821301-0j 2.17073e-08-0j 1.25246e-07-0j 8.34976e-08-0j 0.000122349-0j 1.02103e-05-0j 0.000142339-0j -3.76208e-10-0j -4.25841e-07-0j 6.8069e-06-0j 0.03133-0j 0.0116038-0j -3.06693e-08-0j -2.12043e-06-0j -0.000838237-0j 7.38022e-09-0j -0.000172862-0j -0.000542978-0j 0.0129311-0j 6.01651e-07-0j 1.45274e-05-0j -0.0442647-0j 0.00291169-0j -0.000224107-0j 0.00118431-0j -0.0182697-0j -5.04623e-05-0j -0.00411379-0j 
-2.60082e-06-0j 8.33172e-05-0j -2.65445e-07-0j -0.00149613-0j -0.383114-0j 4.57152e-06-0j -0.000141798-0j 6.02351e-07-0j 0.00240066-0j -1.44722e-05-0j -0.02326-0j 0.253724-0j -1.4982e-06-0j -1.38629e-06-0j 4.55319e-05-0j 4.21308e-05-0j -1.87275e-07-0j -1.2485e-07-0j -1.73286e-07-0j -0.000746379-0j -1.15524e-07-0j -0.000690627-0j 5.99935e-06-0j -1.10353e-08-0j 5.55122e-06-0j 0.0068181-0j -1.0211e-08-0j -7.6177e-05-0j 0.00630881-0j -7.04868e-05-0j -0.0275865-0j -0.0255259-0j -0.0163304-0j -0.0151106-0j -1.12544e-06-0j 2.72585e-06-0j -3.14548e-06-0j 3.37249e-05-0j -8.16828e-05-0j 9.42575e-05-0j -1.35909e-07-0j -0.000541664-0j -1.24068e-07-0j 3.29177e-07-0j -3.79853e-07-0j 0.00131193-0j 3.00496e-07-0j 4.21561e-06-0j -0.00151389-0j 2.81041e-06-0j -3.46756e-07-0j 0.00479093-0j -1.26626e-08-0j -1.02103e-05-0j -6.8069e-06-0j -7.13705e-05-0j 1.17822e-05-0j -0.0116038-0j 3.06693e-08-0j 2.48407e-07-0j 7.85479e-06-0j -0.0182758-0j 0.0133901-0j -3.53907e-08-0j 0.000172862-0j 0.000488972-0j -6.01651e-07-0j -0.000199473-0j 0.0442647-0j -0.00754312-0j 6.94272e-07-0j -0.00118431-0j -0.051079-0j -0.00169849-0j 0.0182697-0j 0.00136662-0j -0.0210822-0j 0.00411379-0j -0.00474709-0j 
0.0022592-0j 0.000376533-0j 0.000230578-0j 4.70666e-05-0j 2.77343e-06-0j -0.500433-0j 0.000327403-0j 0.000267323-0j 3.85848e-05-0j 3.34154e-05-0j 3.93804e-06-0j 1.79746e-07-0j 0.00130141-0j 0.00131489-0j -0.0507553-0j -0.0512813-0j 0.000162676-0j 0.000108451-0j 0.000164362-0j 2.34803e-05-0j 0.000109575-0j 2.37236e-05-0j 2.71127e-05-0j 9.58578e-06-0j 2.73936e-05-0j 2.25939e-06-0j 9.68511e-06-0j 2.39644e-06-0j 2.2828e-06-0j 2.42128e-06-0j 1.99704e-07-0j 2.01773e-07-0j 7.44252e-09-0j 7.51964e-09-0j 0.00097761-0j 0.00120973-0j 0.000705676-0j 0.000152412-0j 0.0001886-0j 0.000110017-0j -0.02912-0j -0.00420312-0j 0.000107771-0j -0.0360342-0j -0.02102-0j -0.00520109-0j 0.00013336-0j 1.90515e-05-0j -0.00303397-0j 1.2701e-05-0j 7.77935e-05-0j 1.58762e-06-0j 1.09994e-05-0j 2.3575e-05-0j 1.57167e-05-0j 2.24524e-06-0j 1.37521e-05-0j 1.96458e-06-0j 1.3611e-05-0j 1.12262e-06-0j 9.16805e-06-0j 1.32302e-07-0j 1.14601e-06-0j 7.93977e-06-0j 2.77834e-06-0j 1.62036e-07-0j 1.38917e-06-0j 1.6207e-06-0j 1.63715e-07-0j 1.04594e-08-0j 8.10349e-07-0j 2.00509e-07-0j 9.55006e-08-0j 3.2944e-10-0j 1.29428e-08-0j 1.16964e-07-0j 7.54998e-09-0j 4.07661e-10-0j 2.37802e-10-0j 
-0.00263573-0j -0.000439289-0j -0.000269008-0j -5.49111e-05-0j -3.23567e-06-0j 0.00831026-0j -5.43689e-06-0j -4.43921e-06-0j -6.40744e-07-0j -5.54901e-07-0j -6.53957e-08-0j -2.98489e-09-0j -0.00151831-0j 0.00149037-0j 0.0592145-0j -0.058125-0j -0.000189789-0j -0.000126526-0j 0.000186297-0j -2.73936e-05-0j 0.000124198-0j 2.68896e-05-0j -3.16315e-05-0j -1.11834e-05-0j 3.10494e-05-0j -2.63595e-06-0j 1.09776e-05-0j -2.79585e-06-0j 2.58745e-06-0j 2.74441e-06-0j -2.32988e-07-0j 2.28701e-07-0j -8.68294e-09-0j 8.52317e-09-0j 0.00227504-0j -2.0089e-05-0j 0.00161142-0j 0.000354684-0j -3.13192e-06-0j 0.000251225-0j -0.0677666-0j -0.00978126-0j 0.0002508-0j 0.000598389-0j -0.0479994-0j 8.637e-05-0j -2.2146e-06-0j 4.43355e-05-0j -0.00692812-0j 2.9557e-05-0j 0.000177643-0j 3.69463e-06-0j 2.55971e-05-0j -3.9149e-07-0j -2.60993e-07-0j 5.22499e-06-0j 3.14031e-05-0j -3.26241e-08-0j -2.26027e-07-0j 2.6125e-06-0j 2.09354e-05-0j 3.07886e-07-0j 2.61692e-06-0j 1.81306e-05-0j -4.61375e-08-0j 3.77081e-07-0j -2.30687e-08-0j 3.70089e-06-0j -2.71868e-09-0j 2.43405e-08-0j 1.85044e-06-0j -3.32969e-09-0j 2.18077e-07-0j 7.66654e-10-0j -2.1493e-10-0j 2.67089e-07-0j 1.72405e-08-0j -6.76967e-12-0j 5.43025e-10-0j 
0.0714157-0j 0.00287423-0j -3.72094e-05-0j 0.000726154-0j 8.60256e-05-0j -0.000327403-0j -0.48956-0j -4.31391e-05-0j 0.000595294-0j 0.000255074-0j 9.14532e-05-0j 6.97641e-06-0j -0.000210014-0j -0.00021219-0j 0.00157073-0j 0.00158701-0j 0.00514236-0j -1.75012e-05-0j 0.00519565-0j -0.0709616-0j -1.76825e-05-0j -0.0716969-0j 0.000206962-0j -1.5469e-06-0j 0.000209107-0j 5.24698e-05-0j -1.56293e-06-0j 3.69728e-05-0j 5.30135e-05-0j 3.7356e-05-0j 6.19437e-06-0j 6.25856e-06-0j 3.46876e-07-0j 3.50471e-07-0j -0.000157761-0j -0.00019522-0j -0.000113878-0j 0.00116342-0j 0.00143966-0j 0.000839803-0j -1.90515e-05-0j 0.000262899-0j 0.00340677-0j -2.3575e-05-0j -1.37521e-05-0j 0.000325321-0j 0.00421566-0j -0.0284874-0j 0.000189771-0j 9.69519e-05-0j 0.00245914-0j -0.00722221-0j -1.77502e-06-0j -0.0352513-0j 0.000119972-0j 3.464e-05-0j -0.0205633-0j -0.00893703-0j -2.19647e-06-0j 8.56942e-06-0j 6.99836e-05-0j 4.10371e-06-0j -0.00521327-0j -1.28127e-06-0j 4.28648e-05-0j 3.76296e-06-0j 1.06041e-05-0j 2.50045e-05-0j 5.07808e-06-0j 4.05956e-07-0j 6.18573e-06-0j 4.65643e-06-0j 2.96222e-06-0j 1.79222e-08-0j 5.02344e-07-0j 2.71625e-06-0j 2.93034e-07-0j 2.21776e-08-0j 1.29369e-08-0j 
