-0.00848649-0j 0.0631066-0j -0.00106081-0j -0.000707207-0j 0.0145552-0j 0.00831502-0j -6.25089e-05-0j 0.00210822-0j 0.00148553-0j 0.00024889-0j 1.39377e-05-0j -0.0079334-0j 0.0581686-0j -0.000958049-0j 0.0131452-0j -0.000874575-0j 0.00727107-0j 0.00484738-0j 0.00184354-0j -8.92609e-05-0j 0.00173203-0j 0.000428452-0j 0.000205195-0j 0.000188155-0j 2.02989e-05-0j 8.96165e-07-0j 
-0.000252151-0j -3.98686e-05-0j 0.00602771-0j -2.10126e-05-0j -4.54936e-06-0j 0.00100462-0j -0.101889-0j -4.37762e-07-0j -0.00840177-0j 7.39972e-06-0j -1.44201e-09-0j -0.000235717-0j -3.67489e-05-0j 0.0054438-0j -4.10865e-06-0j -2.59854e-05-0j 0.000878489-0j -3.06241e-06-0j -3.82801e-07-0j -0.0479899-0j 0.000103531-0j -0.0148494-0j -3.19001e-08-0j -0.000706958-0j 4.82296e-07-0j -7.94332e-11-0j 
0.000509528-0j -0.00378891-0j 6.3691e-05-0j -0.0122093-0j -0.00087389-0j 0.071526-0j 3.75303e-06-0j 0.018135-0j -8.9191e-05-0j -1.49434e-05-0j -8.36816e-07-0j 9.42756e-06-0j -6.9124e-05-0j 1.13849e-06-0j -1.56209e-05-0j -0.000148901-0j -8.64049e-06-0j 0.00165634-0j -2.19074e-06-0j -1.51971e-05-0j 0.000294887-0j -5.09146e-07-0j 3.49356e-05-0j -2.23592e-07-0j -2.41219e-08-0j -1.06495e-09-0j 
5.14701e-05-0j -0.000773614-0j -0.000611984-0j 4.28917e-06-0j 0.00410704-0j 0.0096959-0j -0.000108943-0j 0.00121117-0j -0.0801633-0j -0.0205096-0j 2.02016e-05-0j 4.81156e-05-0j -0.00071308-0j -0.0005527-0j 0.00370919-0j 5.30425e-06-0j 0.00847859-0j -5.94233e-05-0j 0.00105911-0j -0.000103531-0j -0.0464882-0j 0.00150932-0j 0.000177763-0j -0.0206723-0j -0.00223576-0j 1.5601e-06-0j 
0.000312021-0j 4.93348e-05-0j -0.00745892-0j 2.60017e-05-0j 5.62954e-06-0j -0.00124315-0j 0.126081-0j 5.41703e-07-0j 0.0103967-0j -9.15668e-06-0j 1.78439e-09-0j 5.77318e-06-0j 9.00052e-07-0j -0.000133329-0j 1.00629e-07-0j 6.36433e-07-0j -2.15159e-05-0j 7.50043e-08-0j 9.37554e-09-0j 0.00117537-0j -2.53567e-06-0j 0.000363691-0j 7.81295e-10-0j 1.73148e-05-0j -1.18124e-08-0j 1.94547e-12-0j 
-0.000297225-0j 0.0022102-0j -3.71531e-05-0j 0.00712208-0j 0.000509769-0j -0.0417235-0j -2.18927e-06-0j -0.0105787-0j 5.20281e-05-0j 8.71696e-06-0j 4.88143e-07-0j 0.000539209-0j -0.00395354-0j 6.51157e-05-0j -0.000893438-0j -0.00851638-0j -0.000494193-0j 0.0947346-0j -0.0001253-0j -0.0008692-0j 0.016866-0j -2.91206e-05-0j 0.00199814-0j -1.27883e-05-0j -1.37965e-06-0j -6.09096e-08-0j 
-3.0329e-06-0j 9.16508e-05-0j -3.79113e-07-0j -2.52742e-07-0j -0.00149384-0j 1.20761e-05-0j -2.23395e-08-0j 0.0135677-0j -0.000152464-0j -0.0545693-0j -0.0323142-0j -2.83524e-06-0j 8.44793e-05-0j -3.42388e-07-0j -0.00134913-0j -3.12556e-07-0j 1.05599e-05-0j 7.03994e-06-0j 0.0118643-0j -3.19001e-08-0j -0.000177763-0j 6.22249e-07-0j -0.0449891-0j 0.0012109-0j -0.0185734-0j -0.00418269-0j 
-0.000182012-0j -2.87787e-05-0j 0.00435103-0j -1.51677e-05-0j -3.2839e-06-0j 0.000725172-0j -0.0735471-0j -3.15993e-07-0j -0.00606472-0j 5.3414e-06-0j -1.04089e-09-0j 0.000330197-0j 5.14785e-05-0j -0.00762576-0j 5.75547e-06-0j 3.64008e-05-0j -0.0012306-0j 4.28987e-06-0j 5.36234e-07-0j 0.067225-0j -0.000145028-0j 0.0208013-0j 4.46862e-08-0j 0.000990318-0j -6.75608e-07-0j 1.11271e-10-0j 
-6.3691e-05-0j 0.000957299-0j 0.000757292-0j -5.30758e-06-0j -0.00508221-0j -0.0119981-0j 0.00013481-0j -0.00149875-0j 0.099197-0j 0.0253794-0j -2.49982e-05-0j -1.17844e-06-0j 1.74647e-05-0j 1.35367e-05-0j -9.08452e-05-0j -1.29911e-07-0j -0.000207657-0j 1.45539e-06-0j -2.59397e-05-0j 2.53567e-06-0j 0.00113859-0j -3.69662e-05-0j -4.35376e-06-0j 0.000506304-0j 5.4758e-05-0j -3.821e-08-0j 
3.71531e-05-0j -0.000558424-0j -0.000441753-0j 3.09609e-06-0j 0.00296462-0j 0.00699887-0j -7.8639e-05-0j 0.000874271-0j -0.0578649-0j -0.0148046-0j 1.45823e-05-0j -6.74011e-05-0j 0.000998894-0j 0.000774231-0j -0.00519589-0j -7.43027e-06-0j -0.0118769-0j 8.32411e-05-0j -0.00148362-0j 0.000145028-0j 0.0651214-0j -0.00211428-0j -0.000249013-0j 0.028958-0j 0.00313188-0j -2.18542e-06-0j 
3.75303e-06-0j -0.000113412-0j 4.69129e-07-0j 3.12752e-07-0j 0.00184853-0j -1.49434e-05-0j 2.76437e-08-0j -0.0167892-0j 0.000188665-0j 0.067526-0j 0.0399868-0j 6.94405e-08-0j -2.06906e-06-0j 8.38574e-09-0j 3.30427e-05-0j 7.6551e-09-0j -2.58633e-07-0j -1.72422e-07-0j -0.00029058-0j 7.81295e-10-0j 4.35376e-06-0j -1.52401e-08-0j 0.00110187-0j -2.96572e-05-0j 0.000454899-0j 0.000102442-0j 
-2.18927e-06-0j 6.61571e-05-0j -2.73658e-07-0j -1.82439e-07-0j -0.00107831-0j 8.71696e-06-0j -1.61255e-08-0j 0.00979371-0j -0.000110054-0j -0.0393902-0j -0.0233256-0j 3.97165e-06-0j -0.00011834-0j 4.79622e-07-0j 0.00188988-0j 4.37833e-07-0j -1.47925e-05-0j -9.86166e-06-0j -0.0166197-0j 4.46862e-08-0j 0.000249013-0j -8.71656e-07-0j 0.0630214-0j -0.00169624-0j 0.0260179-0j 0.00585918-0j 
