0.0644484-0j 0.0104003-0j 0.00849182-0j 0.00122569-0j 0.00106148-0j 0.000125096-0j 5.70984e-06-0j 0.0594054-0j 0.00939282-0j 0.00742568-0j 0.00495045-0j 0.0010718-0j 0.00123761-0j 0.000437562-0j 0.000103134-0j 0.000109391-0j 9.11588e-06-0j 3.39729e-07-0j 
0.000684033-0j -0.00519144-0j -0.00857316-0j -0.00123664-0j 0.101329-0j 0.0180716-0j -1.44931e-05-0j 1.24793e-05-0j -9.27978e-05-0j -0.00014838-0j 1.03994e-06-0j -2.14033e-05-0j 0.00116306-0j -2.6414e-05-0j -3.10013e-06-0j 0.000417759-0j 3.48134e-05-0j -2.04952e-08-0j 
-0.000399019-0j 0.00302834-0j 0.00500101-0j 0.000721376-0j -0.0591087-0j -0.0105417-0j 8.4543e-06-0j 0.000713755-0j -0.00530757-0j -0.00848661-0j 5.94796e-05-0j -0.00122416-0j 0.0665211-0j -0.00151075-0j -0.000177312-0j 0.0238937-0j 0.00199115-0j -1.17222e-06-0j 
-5.70028e-05-0j 0.00131626-0j -7.51077e-06-0j -0.0146939-0j 0.00013434-0j 0.06901-0j 0.0328785-0j -1.03994e-06-0j 2.35283e-05-0j -1.29993e-07-0j -8.6662e-08-0j -0.000254316-0j 3.10013e-06-0j -7.65991e-09-0j 0.00112608-0j -2.5956e-05-0j 0.0004112-0j 7.78455e-05-0j 
3.32516e-05-0j -0.000767817-0j 4.38128e-06-0j 0.00857146-0j -7.8365e-05-0j -0.0402558-0j -0.0191791-0j -5.94796e-05-0j 0.0013457-0j -7.43494e-06-0j -4.95663e-06-0j -0.0145456-0j 0.000177312-0j -4.38108e-07-0j 0.0644064-0j -0.00148455-0j 0.0235186-0j 0.00445237-0j 
0.00234378-0j -0.072424-0j 0.000308821-0j 4.45744e-05-0j 3.86026e-05-0j 4.54936e-06-0j 2.07649e-07-0j 0.00216039-0j 0.000341587-0j -0.0517097-0j 0.000180032-0j -0.00746365-0j 4.5008e-05-0j 1.59127e-05-0j 3.75067e-06-0j 3.97819e-06-0j 3.31516e-07-0j 1.23549e-08-0j 
-0.00273441-0j 0.0844947-0j -0.000360291-0j -5.20035e-05-0j -4.50363e-05-0j -5.30758e-06-0j -2.42257e-07-0j -4.9886e-05-0j -7.88766e-06-0j 0.00119404-0j -4.15716e-06-0j 0.000172345-0j -1.03929e-06-0j -3.67445e-07-0j -8.66076e-08-0j -9.18612e-08-0j -7.6551e-09-0j -2.85289e-10-0j 
-0.000390631-0j 0.00296468-0j 0.00737421-0j -0.10118-0j 0.000302581-0j 0.000108495-0j 8.27656e-06-0j -0.000360064-0j 0.00267748-0j -4.5008e-05-0j 0.00862784-0j 0.000617545-0j -0.0505447-0j -2.65212e-06-0j -0.0128153-0j 6.3028e-05-0j 1.05599e-05-0j 5.91347e-07-0j 
-0.00167448-0j 0.0517422-0j -0.000220632-0j -3.18455e-05-0j -2.7579e-05-0j -3.25022e-06-0j -1.48351e-07-0j -0.00154345-0j -0.000244042-0j 0.0369432-0j -0.000128621-0j 0.00533229-0j -3.21553e-05-0j -1.13686e-05-0j -2.67961e-06-0j -2.84215e-06-0j -2.36846e-07-0j -8.82674e-09-0j 
-0.000239211-0j -3.86026e-05-0j 0.00602771-0j -4.54936e-06-0j -0.0712914-0j 8.87966e-05-0j -2.11931e-08-0j -0.000220494-0j -3.48631e-05-0j 0.00527094-0j -1.83745e-05-0j -3.97819e-06-0j 0.000878489-0j -0.0890965-0j -3.82801e-07-0j -0.00734693-0j 6.47069e-06-0j -1.26096e-09-0j 
0.00239261-0j -0.0739328-0j 0.000315254-0j 4.5503e-05-0j 3.94068e-05-0j 4.64414e-06-0j 2.11975e-07-0j -0.00211809-0j -0.0003349-0j 0.0506974-0j -0.000176508-0j 0.00731754-0j -4.4127e-05-0j -1.56012e-05-0j -3.67725e-06-0j -3.90031e-06-0j -3.25026e-07-0j -1.2113e-08-0j 
4.88288e-05-0j -0.000749049-0j -0.000611984-0j 0.00410704-0j 0.0146203-0j -0.122196-0j 0.00019752-0j 4.5008e-05-0j -0.000676487-0j -0.00053515-0j 3.75067e-06-0j 0.00359141-0j 0.00847859-0j -9.5265e-05-0j 0.00105911-0j -0.0700988-0j -0.0179346-0j 1.76653e-05-0j 
0.000455736-0j -0.00345879-0j -0.00860324-0j 0.118043-0j -0.000353011-0j -0.000126577-0j -9.65599e-06-0j 8.31433e-06-0j -6.18263e-05-0j 1.03929e-06-0j -0.000199227-0j -1.42599e-05-0j 0.00116714-0j 6.12408e-08-0j 0.000295921-0j -1.45539e-06-0j -2.43841e-07-0j -1.36549e-08-0j 
-0.000986902-0j 0.0304957-0j -0.000130036-0j -1.8769e-05-0j -1.62545e-05-0j -1.91561e-06-0j -8.74351e-08-0j 0.00265702-0j 0.000420111-0j -0.0635968-0j 0.000221418-0j -0.0091794-0j 5.53545e-05-0j 1.95708e-05-0j 4.61288e-06-0j 4.89269e-06-0j 4.07725e-07-0j 1.5195e-08-0j 
-2.87727e-06-0j 8.87405e-05-0j -3.79113e-07-0j -0.00149384-0j 9.05704e-06-0j 0.0143908-0j -0.156082-0j -2.65212e-06-0j 8.01441e-05-0j -3.31516e-07-0j -2.2101e-07-0j -0.00130629-0j 1.05599e-05-0j -1.95347e-08-0j 0.0118643-0j -0.000133322-0j -0.0477181-0j -0.0282572-0j 
0.00027908-0j 4.50363e-05-0j -0.00703233-0j 5.30758e-06-0j 0.0831732-0j -0.000103596-0j 2.47252e-08-0j 5.09146e-06-0j 8.05031e-07-0j -0.000121712-0j 4.24289e-07-0j 9.18612e-08-0j -2.02854e-05-0j 0.00205735-0j 8.83935e-09-0j 0.00016965-0j -1.49416e-07-0j 2.91172e-11-0j 
0.00027908-0j -0.00211807-0j -0.00526839-0j 0.0722864-0j -0.000216174-0j -7.75125e-05-0j -5.91306e-06-0j 0.000257242-0j -0.00191289-0j 3.21553e-05-0j -0.00616403-0j -0.000441196-0j 0.0361109-0j 1.89477e-06-0j 0.0091557-0j -4.50294e-05-0j -7.54437e-06-0j -4.22478e-07-0j 
0.000170901-0j 2.7579e-05-0j -0.00430641-0j 3.25022e-06-0j 0.050933-0j -6.34394e-05-0j 1.51411e-08-0j 0.000157528-0j 2.49074e-05-0j -0.00376574-0j 1.31273e-05-0j 2.84215e-06-0j -0.000627623-0j 0.0636536-0j 2.73486e-07-0j 0.0052489-0j -4.62288e-06-0j 9.00875e-10-0j 
-5.6967e-05-0j 0.00087389-0j 0.000713981-0j -0.00479155-0j -0.017057-0j 0.142562-0j -0.00023044-0j -1.03929e-06-0j 1.56209e-05-0j 1.23573e-05-0j -8.66076e-08-0j -8.29299e-05-0j -0.000195781-0j 2.19979e-06-0j -2.44562e-05-0j 0.00161867-0j 0.000414133-0j -4.07913e-07-0j 
-0.000398769-0j 0.00302644-0j 0.00752784-0j -0.103288-0j 0.000308885-0j 0.000110755-0j 8.44899e-06-0j 0.000353016-0j -0.00262507-0j 4.4127e-05-0j -0.00845894-0j -0.000605456-0j 0.0495552-0j 2.60021e-06-0j 0.0125644-0j -6.17941e-05-0j -1.03532e-05-0j -5.7977e-07-0j 
-3.4885e-05-0j 0.000535146-0j 0.000437223-0j -0.00293421-0j -0.0104452-0j 0.0873012-0j -0.000141115-0j -3.21553e-05-0j 0.000483306-0j 0.000382329-0j -2.67961e-06-0j -0.00256582-0j -0.00605739-0j 6.80606e-05-0j -0.000756666-0j 0.050081-0j 0.0128131-0j -1.26207e-05-0j 
-0.000244195-0j -3.94068e-05-0j 0.00615329-0j -4.64414e-06-0j -0.0727766-0j 9.06465e-05-0j -2.16346e-08-0j 0.000216177-0j 3.41806e-05-0j -0.00516775-0j 1.80148e-05-0j 3.90031e-06-0j -0.000861292-0j 0.0873524-0j 3.75307e-07-0j 0.0072031-0j -6.34401e-06-0j 1.23628e-09-0j 
0.000164484-0j -0.00124834-0j -0.00310507-0j 0.042604-0j -0.000127408-0j -4.56842e-05-0j -3.48503e-06-0j -0.000442836-0j 0.00329298-0j -5.53545e-05-0j 0.0106112-0j 0.000759507-0j -0.062164-0j -3.2618e-06-0j -0.0157613-0j 7.75169e-05-0j 1.29874e-05-0j 7.27286e-07-0j 
3.35681e-06-0j -0.000103531-0j 4.42299e-07-0j 0.00174281-0j -1.05666e-05-0j -0.0167892-0j 0.182096-0j 6.12408e-08-0j -1.85063e-06-0j 7.6551e-09-0j 5.1034e-09-0j 3.01637e-05-0j -2.43841e-07-0j 4.51081e-10-0j -0.000273961-0j 3.07857e-06-0j 0.00110187-0j 0.000652493-0j 
0.000100725-0j 1.62545e-05-0j -0.0025381-0j 1.91561e-06-0j 0.0300188-0j -3.73898e-05-0j 8.92381e-09-0j -0.000271181-0j -4.28774e-05-0j 0.00648262-0j -2.25984e-05-0j -4.89269e-06-0j 0.00108044-0j -0.109578-0j -4.708e-07-0j -0.00903584-0j 7.95817e-06-0j -1.55083e-09-0j 
4.98461e-05-0j -0.000764654-0j -0.000624734-0j 0.00419261-0j 0.0149249-0j -0.124742-0j 0.000201635-0j -4.4127e-05-0j 0.000663244-0j 0.000524673-0j -3.67725e-06-0j -0.0035211-0j -0.00831261-0j 9.34001e-05-0j -0.00103838-0j 0.0687266-0j 0.0175836-0j -1.73194e-05-0j 
2.05562e-06-0j -6.33993e-05-0j 2.70851e-07-0j 0.00106725-0j -6.47066e-06-0j -0.0102813-0j 0.111511-0j 1.89477e-06-0j -5.72577e-05-0j 2.36846e-07-0j 1.57897e-07-0j 0.000933256-0j -7.54437e-06-0j 1.39563e-08-0j -0.00847627-0j 9.52501e-05-0j 0.0340915-0j 0.0201879-0j 
-2.93721e-06-0j 9.05893e-05-0j -3.87011e-07-0j -0.00152496-0j 9.24573e-06-0j 0.0146906-0j -0.159334-0j 2.60021e-06-0j -7.85752e-05-0j 3.25026e-07-0j 2.16684e-07-0j 0.00128071-0j -1.03532e-05-0j 1.91523e-08-0j -0.0116321-0j 0.000130712-0j 0.046784-0j 0.027704-0j 
-2.05605e-05-0j 0.000315404-0j 0.00025769-0j -0.00172936-0j -0.0061562-0j 0.0514534-0j -8.31702e-05-0j 5.53545e-05-0j -0.000831998-0j -0.00065817-0j 4.61288e-06-0j 0.004417-0j 0.0104276-0j -0.000117165-0j 0.00130258-0j -0.0862132-0j -0.0220575-0j 2.17262e-05-0j 
1.21154e-06-0j -3.73662e-05-0j 1.59634e-07-0j 0.000629013-0j -3.81367e-06-0j -0.00605955-0j 0.0657219-0j -3.2618e-06-0j 9.85677e-05-0j -4.07725e-07-0j -2.71816e-07-0j -0.00160658-0j 1.29874e-05-0j -2.40254e-08-0j 0.0145917-0j -0.000163971-0j -0.0586876-0j -0.034753-0j 
