-0.577861-0j -0.0837436-0j -0.0416095-0j -0.0420407-0j -0.00600582-0j -0.00606806-0j 0.0549857-0j -0.0341111-0j 0.00972019-0j -0.0198982-0j 0.000810015-0j -0.00603005-0j -0.00351753-0j -0.000502504-0j -0.000293128-0j -0.020545-0j 0.0478111-0j -0.00342416-0j -0.014678-0j -0.00209686-0j -0.020973-0j -0.00042802-0j 0.00796852-0j -0.00865092-0j -2.52213e-05-0j -0.00244634-0j 0.0048797-0j -0.00149807-0j -0.0034955-0j 0.000996065-0j -0.00214055-0j -0.000305792-0j -0.00144182-0j 5.86937e-05-0j -0.000436937-0j -1.8019e-05-0j -0.00088293-0j -0.000180227-0j -2.57468e-05-0j -1.062e-05-0j -0.016333-0j -0.0184501-0j -0.00263573-0j -0.00215207-0j 0.030049-0j 0.0303604-0j -0.000310624-0j -0.00297737-0j -0.0131814-0j -0.000269008-0j -0.0108741-0j -3.17029e-05-0j -0.00243102-0j 0.00484914-0j -0.00347433-0j -1.44703e-06-0j -0.000350887-0j 0.00489939-0j 0.0039593-0j -0.000303877-0j -0.00212714-0j 0.00400033-0j 0.000571476-0j -0.0017548-0j -3.58123e-05-0j 0.000494913-0j -0.0017368-0j 0.000577399-0j -0.000560667-0j -1.6346e-06-0j -0.00143279-0j 0.000500042-0j -0.000250686-0j 5.83261e-05-0j -0.0002171-0j -0.000457783-0j 2.66221e-06-0j -0.000206805-0j 5.89305e-05-0j -0.000179099-0j -2.55855e-05-0j 2.6898e-06-0j -6.60753e-05-0j -5.72229e-05-0j -2.1107e-05-0j -1.16781e-06-0j -6.74378e-06-0j -9.63397e-07-0j -3.0781e-07-0j 
0.0073556-0j -0.0014506-0j 0.000529648-0j -0.000519903-0j 0.342033-0j -0.33574-0j 0.000350887-0j 6.18034e-06-0j -0.00593025-0j -0.000495752-0j 0.0708677-0j -0.000104452-0j 0.00837858-0j 0.00124823-0j -0.100126-0j -0.000789283-0j 4.34278e-06-0j 0.0125766-0j 0.000186837-0j -8.05558e-05-0j -0.000259365-0j -0.0735687-0j -6.91987e-05-0j -0.000324083-0j -0.0267545-0j -0.00297709-0j 4.43234e-07-0j 1.90689e-05-0j 0.00413277-0j 0.000404789-0j -2.64714e-05-0j 0.017415-0j 0.005164-0j 0.000147208-0j -0.0241753-0j 0.00633324-0j -3.30766e-05-0j -0.0302076-0j -0.00879175-0j -0.0109855-0j 0.000207903-0j -1.0089e-05-0j -0.00320757-0j 2.73936e-05-0j 0.000191755-0j -0.000188227-0j 0.0176901-0j 0.000155655-0j 2.38824e-06-0j -0.000327371-0j -0.000270922-0j 0.00553262-0j -1.32934e-06-0j -0.00295844-0j -0.000173751-0j 0.000850616-0j -0.000858456-0j 0.00290401-0j 2.5266e-05-0j 1.58865e-05-0j -3.68462e-05-0j -2.48011e-05-0j 0.0163162-0j 0.00417984-0j -0.000268484-0j -0.000301945-0j 3.14678e-07-0j -0.0160159-0j 0.00268067-0j -4.12782e-05-0j -3.56971e-05-0j 0.000296389-0j 0.000203211-0j 0.00510291-0j -3.7606e-06-0j -2.28938e-05-0j 0.000784549-0j -0.0230523-0j -0.00500902-0j 0.000426604-0j 6.35547e-05-0j -0.000770114-0j -0.0147842-0j 0.000273595-0j -0.00720966-0j 9.77125e-06-0j -0.00462379-0j -0.00110845-0j -0.000710887-0j 
-0.0416095-0j -0.00603005-0j -0.283646-0j 0.291258-0j 0.000425519-0j -0.000436937-0j 0.0039593-0j 0.00241681-0j -0.0673414-0j -0.00143279-0j 5.83261e-05-0j -0.041106-0j 0.0243694-0j 3.5603e-05-0j -2.1107e-05-0j -0.00147936-0j 0.00344269-0j -0.000246561-0j 0.00313682-0j 0.0292051-0j 0.00148596-0j 0.00296532-0j 0.000573782-0j -0.000622919-0j -1.81609e-06-0j 0.000522803-0j -0.0679645-0j -0.061926-0j 0.00024766-0j -0.00690073-0j -0.0293353-0j -0.00628762-0j -0.00010382-0j 4.2263e-06-0j -0.00297854-0j 3.85081e-06-0j 0.0122974-0j 0.00124861-0j 1.82419e-06-0j -7.64705e-07-0j -0.00117608-0j -0.00132852-0j -0.000189789-0j 0.0149095-0j -0.002129-0j 0.00218613-0j -2.23668e-05-0j -0.000214389-0j 0.00281697-0j 0.00374674-0j 0.000770441-0j 0.000219638-0j 0.0168421-0j -0.000343566-0j -0.000250173-0j -1.04195e-07-0j -2.5266e-05-0j 0.000352786-0j 0.02699-0j 0.0042324-0j 0.000454587-0j -0.0277143-0j -4.04897e-05-0j 0.000124329-0j 0.000248107-0j 0.00678257-0j -0.0357116-0j 4.15762e-05-0j -4.03715e-05-0j -1.17701e-07-0j -0.00976712-0j -0.00696458-0j 5.35736e-05-0j 0.000397601-0j -0.0089743-0j 0.00317152-0j -1.8862e-07-0j 1.46524e-05-0j -0.00040827-0j -0.00245447-0j -0.000526082-0j 1.93682e-07-0j -4.75782e-06-0j 0.000797-0j -0.000143883-0j 2.49571e-07-0j 4.67209e-05-0j 6.82577e-08-0j -2.21642e-08-0j 
0.0420407-0j -0.0059191-0j -0.291258-0j 0.294157-0j 0.000436937-0j -0.000441286-0j -0.00400033-0j -0.00241102-0j 0.0680392-0j 0.00132576-0j -5.89305e-05-0j 0.0410075-0j -0.0225491-0j -3.55176e-05-0j 1.95303e-05-0j 0.00149469-0j 0.00337935-0j 0.000249116-0j 0.00106786-0j -0.0295077-0j -0.00152521-0j -0.00299605-0j 0.000563225-0j 0.00300507-0j 1.83491e-06-0j 0.000177977-0j -0.0667139-0j -0.0210813-0j -0.000254202-0j -0.00677376-0j 0.0301103-0j -0.00214048-0j 0.000500844-0j 4.14854e-06-0j 0.00305723-0j 1.31092e-06-0j -0.059325-0j -0.00602353-0j -1.87238e-06-0j 3.68907e-06-0j 0.00118827-0j -0.00130408-0j 0.000191755-0j -0.015064-0j -0.00218613-0j 0.00220789-0j 2.25986e-05-0j -0.000210444-0j -0.000931677-0j -0.00378557-0j 0.000724514-0j -0.000221914-0j 0.0165322-0j -0.000352786-0j 0.00267351-0j 1.05275e-07-0j -2.48011e-05-0j 0.000356297-0j 0.0277143-0j 0.00415452-0j -0.000150349-0j -0.0279901-0j -4.15762e-05-0j 0.000116918-0j 0.000243542-0j 0.00696458-0j 0.0118112-0j 4.199e-05-0j 0.000431436-0j -1.15535e-07-0j -0.00918488-0j -0.0070339-0j -1.77188e-05-0j 0.00040827-0j 0.00296813-0j -0.0338929-0j -1.93682e-07-0j 1.37789e-05-0j -0.000412334-0j -0.00230815-0j 0.000173995-0j 1.9561e-07-0j 5.08452e-05-0j -0.00851725-0j -0.000135306-0j -8.25425e-08-0j -0.000499289-0j 6.41887e-08-0j 2.36861e-07-0j 
0.00600582-0j -0.0832111-0j -0.000425519-0j 0.000436937-0j -0.274789-0j 0.282163-0j -0.000571476-0j -0.000348836-0j 0.00965838-0j 0.000206805-0j -0.11542-0j 0.00589559-0j -0.00349516-0j -0.0704535-0j 0.0417679-0j 0.000213528-0j -0.00049691-0j -0.00340239-0j -0.00045276-0j 2.17931e-05-0j -0.00021448-0j 0.0199028-0j 0.00791785-0j 8.99106e-05-0j 0.00723799-0j 0.00721437-0j -5.07156e-05-0j -4.62097e-05-0j 0.00341756-0j -0.0463168-0j -2.18902e-05-0j -0.0422016-0j -0.00143265-0j -0.0168438-0j -0.0199916-0j -0.0153473-0j 9.17646e-06-0j 0.00838053-0j -0.00727025-0j 0.00304772-0j 0.000169752-0j 0.000191755-0j -0.00261897-0j 2.23668e-05-0j 0.000307295-0j -0.000315541-0j 0.0144439-0j -0.00295844-0j -0.000406595-0j -0.000267298-0j -0.000111204-0j 0.00451737-0j 2.5266e-05-0j -0.00474101-0j 3.61093e-05-0j 0.000694525-0j 0.0163162-0j 0.00486824-0j 4.04897e-05-0j -0.000301945-0j 0.00627303-0j -4.15762e-05-0j 0.0261472-0j 0.00171567-0j 0.00510291-0j -0.000483878-0j -5.35736e-05-0j -0.0268489-0j -0.000557102-0j 0.000784549-0j -1.46524e-05-0j 0.000496862-0j -0.0345965-0j 0.0081776-0j 0.000640239-0j 4.75782e-06-0j 0.00125727-0j -0.00946213-0j -0.00839704-0j 0.000175105-0j -0.0108201-0j -0.00129101-0j 0.00307248-0j -5.6859e-05-0j -0.0029593-0j -0.00166354-0j 0.000960925-0j -0.000454979-0j 0.000147738-0j 
0.0364084-0j 7.51019e-05-0j 0.748618-0j 0.247596-0j -0.00112306-0j -0.000371436-0j 0.0017368-0j -9.07919e-05-0j -0.0295402-0j -0.00245385-0j 2.55855e-05-0j 0.00154422-0j 0.041736-0j -1.33749e-06-0j -3.61486e-05-0j 0.00129444-0j 2.14957e-05-0j 0.00021574-0j 0.000865931-0j -0.0255544-0j 0.00381019-0j -0.00259466-0j 3.58261e-06-0j -0.00160413-0j 1.58908e-06-0j 0.000144322-0j -0.000424361-0j -0.0170949-0j 0.000635032-0j -4.30872e-05-0j -0.0752195-0j -0.00173572-0j -0.000267355-0j 2.63885e-08-0j -0.00763737-0j 1.06303e-06-0j 0.0316682-0j 0.00321541-0j 4.67745e-06-0j -1.96925e-06-0j 0.00102907-0j 1.65462e-05-0j 0.000166065-0j -0.0130458-0j -0.00281697-0j -0.000931677-0j 1.9571e-05-0j 2.67013e-06-0j 1.10688e-05-0j -0.0032784-0j 0.00397997-0j -0.000192183-0j -0.000209761-0j -0.000454587-0j -0.000860026-0j 9.11708e-08-0j 3.14678e-07-0j -0.000150349-0j 0.0357116-0j -5.27128e-05-0j 1.78621e-06-0j 0.0118112-0j -5.35736e-05-0j 0.000642265-0j -3.09007e-06-0j 0.0089743-0j -0.000140322-0j -1.77188e-05-0j -0.000138786-0j 1.46592e-09-0j -0.0504553-0j 0.00296813-0j 2.10507e-07-0j 0.000526082-0j -3.52628e-05-0j 0.0109028-0j -2.49571e-07-0j 7.56916e-05-0j 0.000173995-0j -0.0126794-0j -2.06714e-06-0j -8.25425e-08-0j -1.63561e-05-0j 0.00273987-0j -0.000743276-0j 9.80643e-10-0j 0.000160614-0j 3.52607e-07-0j -7.61945e-08-0j 
-0.00606806-0j -0.0816801-0j -0.000436937-0j 0.000441286-0j -0.282163-0j 0.284972-0j 0.000577399-0j 0.000348-0j -0.00975847-0j -0.000191358-0j 0.116616-0j -0.00588146-0j 0.00323409-0j 0.0702847-0j -0.038648-0j -0.00021574-0j -0.000487767-0j 0.00343765-0j -0.000154132-0j -2.20189e-05-0j 0.000220146-0j -0.0201091-0j 0.00777216-0j -0.000433744-0j -0.00731299-0j 0.00245597-0j -4.97825e-05-0j -1.57311e-05-0j -0.00350784-0j -0.0454645-0j 2.24685e-05-0j -0.0143666-0j 0.00691135-0j -0.0165339-0j 0.0205197-0j -0.00522466-0j -4.42688e-05-0j -0.0404291-0j 0.00746232-0j -0.0147027-0j -0.000171511-0j 0.000188227-0j 0.00264611-0j -2.25986e-05-0j 0.000315541-0j -0.000318682-0j -0.0145936-0j -0.00290401-0j 0.000134476-0j 0.000270068-0j -0.000104575-0j -0.00456418-0j 2.48011e-05-0j -0.00486824-0j -0.000385888-0j -0.000701722-0j 0.0160159-0j 0.00491669-0j 4.15762e-05-0j -0.000296389-0j -0.00207472-0j -4.199e-05-0j 0.0268489-0j 0.0016134-0j 0.00500902-0j -0.000496862-0j 1.77188e-05-0j -0.0271161-0j 0.00595355-0j 0.000770114-0j -1.37789e-05-0j 0.000501808-0j 0.0114423-0j 0.00839704-0j -0.000211751-0j -5.08452e-05-0j 0.00129101-0j -0.00889808-0j -0.00848062-0j 0.000164667-0j 0.00357861-0j -0.00130386-0j -0.0328345-0j 0.000607632-0j -0.00278289-0j 0.000550196-0j -0.0102691-0j -0.000427857-0j -0.00157882-0j 
-0.0300354-0j 0.00851957-0j -0.204747-0j 0.192542-0j 0.000307156-0j -0.000288845-0j -0.00143279-0j -0.00341459-0j 0.0243694-0j -0.00400449-0j -2.1107e-05-0j 0.0580768-0j 0.06811-0j -5.03017e-05-0j -5.89918e-05-0j -0.00106786-0j 0.00243848-0j -0.000177977-0j 0.00226427-0j 0.0210813-0j 0.00098232-0j 0.00214048-0j 0.000406413-0j -0.0005232-0j -1.31092e-06-0j 0.000377379-0j -0.0481396-0j -0.0447005-0j 0.00016372-0j -0.00488782-0j -0.0193926-0j -0.00453864-0j -8.72001e-05-0j 2.99351e-06-0j -0.00196902-0j 2.77966e-06-0j 0.0103288-0j 0.00104873-0j 1.20591e-06-0j -6.42289e-07-0j -0.000848938-0j 0.001877-0j -0.000136997-0j 0.0107622-0j 0.000770441-0j -0.000724514-0j -1.61452e-05-0j 0.0003029-0j -0.00397997-0j 0.00270454-0j 0.0021533-0j 0.000158543-0j -0.0237954-0j 0.000124329-0j 0.00233976-0j -7.52121e-08-0j 3.56971e-05-0j -0.000116918-0j -0.00976712-0j -0.00597975-0j -0.000642265-0j 0.00918488-0j 1.46524e-05-0j 0.000347488-0j -0.000350539-0j -0.00245447-0j 0.0504553-0j -1.37789e-05-0j 0.000377577-0j 1.66294e-07-0j -0.0272981-0j 0.00230815-0j -7.56916e-05-0j -0.000143883-0j 0.0126794-0j -0.0296618-0j 6.82577e-08-0j 4.09518e-05-0j 0.000135306-0j -0.00685998-0j 0.000743276-0j -6.41887e-08-0j 4.44979e-05-0j -0.00745399-0j -0.000402139-0j -3.52607e-07-0j -0.00043696-0j 1.90773e-07-0j 2.07292e-07-0j 
-0.00525509-0j 0.00103636-0j 0.00112306-0j 0.000371436-0j 0.725242-0j 0.239864-0j -0.000250686-0j 1.31047e-05-0j 0.00423678-0j 0.000354182-0j -0.0506303-0j -0.000221479-0j -0.00598594-0j 0.00264672-0j 0.0715332-0j -0.000186837-0j -3.10264e-06-0j 0.00297709-0j -0.000124986-0j -1.90689e-05-0j -0.000549954-0j -0.017415-0j 4.9438e-05-0j 0.000231536-0j -0.00633324-0j 0.00199156-0j -3.16661e-07-0j -1.27564e-05-0j 0.00876306-0j -0.000289195-0j -5.61294e-05-0j -0.0116499-0j -0.00368934-0j -0.000105171-0j -0.051261-0j -0.00423669-0j 2.36311e-05-0j 0.0215814-0j -0.0186419-0j 0.00784842-0j -0.000148533-0j -2.38824e-06-0j 0.0022916-0j -1.9571e-05-0j 0.000406595-0j 0.000134476-0j -0.0126384-0j 3.68462e-05-0j -1.59764e-06-0j 0.000233885-0j -0.000574459-0j -0.0039527-0j -3.14678e-07-0j -0.00627303-0j 0.000124134-0j -0.000607709-0j -0.000203211-0j -0.00207472-0j 5.35736e-05-0j 3.7606e-06-0j 2.46487e-05-0j 1.77188e-05-0j 0.0345965-0j 0.00886287-0j -6.35547e-05-0j -0.000640239-0j -2.10507e-07-0j 0.0114423-0j -0.00191517-0j -9.77125e-06-0j -7.56916e-05-0j -0.000211751-0j -0.00013594-0j 0.0108201-0j 2.5157e-06-0j 1.63561e-05-0j 0.00166354-0j -0.0488798-0j 0.00357861-0j 0.000904563-0j -4.25156e-05-0j 0.000550196-0j 0.0105624-0j -0.000195466-0j -0.0152872-0j -6.53658e-06-0j 0.0033034-0j -0.00235034-0j 0.000507882-0j 
0.00959644-0j -0.00546389-0j -0.0664841-0j -0.710492-0j 9.97376e-05-0j 0.00106586-0j 0.000457783-0j -0.00222559-0j -0.00778615-0j -0.00428145-0j 6.74378e-06-0j 0.0378538-0j 0.0728205-0j -3.27861e-05-0j -6.30717e-05-0j 0.000341187-0j -0.00156388-0j 5.68644e-05-0j 0.000243756-0j -0.00673559-0j 0.00368393-0j -0.000683894-0j -0.000260646-0j -0.00268533-0j 4.18846e-07-0j 4.06259e-05-0j 0.0308735-0j -0.00481214-0j 0.000613988-0j 0.00313472-0j -0.0727268-0j -0.000488598-0j -0.000447555-0j -1.91984e-06-0j -0.00738428-0j 2.99238e-07-0j 0.0530128-0j 0.00538263-0j 4.52245e-06-0j -3.29655e-06-0j 0.00027124-0j -0.00120379-0j 4.37711e-05-0j -0.00343859-0j 0.000250173-0j 0.00267351-0j 5.15848e-06-0j -0.00019426-0j -0.000860026-0j -0.000864115-0j -0.00233976-0j -5.06552e-05-0j 0.0152608-0j 4.03715e-05-0j 0.00293234-0j 2.40306e-08-0j -2.28938e-05-0j 0.000431436-0j -0.00317152-0j 0.00383501-0j -0.000138786-0j -0.0338929-0j 4.75782e-06-0j -0.000377577-0j 0.000224812-0j -0.000797-0j 0.0109028-0j 5.08452e-05-0j 0.000473205-0j -1.0665e-07-0j 0.0296618-0j -0.00851725-0j -1.63561e-05-0j -4.67209e-05-0j 0.00273987-0j -0.0371742-0j 2.21642e-08-0j -4.44979e-05-0j -0.000499289-0j 0.00745399-0j 0.000160614-0j 2.36861e-07-0j 5.57677e-05-0j -0.00934185-0j 0.00043696-0j -7.61945e-08-0j -0.000547628-0j -2.07292e-07-0j 2.59793e-07-0j 
0.00433523-0j 0.117565-0j -0.000307156-0j 0.000288845-0j -0.198353-0j 0.186529-0j 0.000206805-0j 0.000492854-0j -0.00349516-0j 0.000577999-0j 0.0417679-0j -0.00832961-0j -0.00976861-0j 0.0995405-0j 0.116737-0j 0.000154132-0j -0.000351964-0j -0.00245597-0j -0.00032682-0j 1.57311e-05-0j -0.000141786-0j 0.0143666-0j 0.00560825-0j 7.55175e-05-0j 0.00522466-0j 0.0052076-0j -3.59221e-05-0j -3.33559e-05-0j 0.00225924-0j -0.0328064-0j -1.44709e-05-0j -0.0304627-0j -0.00120331-0j -0.0119306-0j -0.0132158-0j -0.0110783-0j 7.70747e-06-0j 0.00703895-0j -0.00480614-0j 0.00255983-0j 0.000122534-0j -0.000270922-0j -0.00189047-0j 1.61452e-05-0j -0.000111204-0j 0.000104575-0j 0.0104262-0j 0.00417984-0j 0.000574459-0j -0.000192946-0j -0.000310802-0j 0.00326081-0j -3.56971e-05-0j 0.00171567-0j -0.000337715-0j 0.000501334-0j -0.0230523-0j -0.0016134-0j -1.46524e-05-0j 0.000426604-0j -0.00886287-0j 1.37789e-05-0j -0.00946213-0j 0.00479512-0j -0.00720966-0j 0.000175105-0j 7.56916e-05-0j 0.00889808-0j 0.00521034-0j -0.00110845-0j -4.09518e-05-0j -0.000164667-0j 0.0488798-0j -0.0029593-0j -0.000904563-0j -4.44979e-05-0j -0.000454979-0j -0.0264457-0j 0.00278289-0j 0.0004894-0j 0.0152872-0j 0.000427857-0j -0.0287356-0j 0.000531778-0j -0.00827093-0j 0.00235034-0j -0.00898712-0j -0.00127162-0j -0.00138173-0j 
-0.00138513-0j -0.0753984-0j -9.97376e-05-0j -0.00106586-0j -0.0644081-0j -0.688306-0j -6.60753e-05-0j 0.000321237-0j 0.00111672-0j 0.000617974-0j -0.013345-0j -0.00542914-0j -0.0104442-0j 0.0648793-0j 0.12481-0j -4.92461e-05-0j 0.000225726-0j 0.000784695-0j -3.51831e-05-0j -5.02615e-06-0j -0.000531729-0j -0.0045902-0j -0.00359676-0j 0.000387594-0j -0.0016693-0j 0.000560614-0j 2.30381e-05-0j -3.59086e-06-0j 0.00847266-0j 0.0210398-0j -5.42694e-05-0j -0.0032794-0j -0.00617599-0j 0.00765148-0j -0.0495622-0j -0.00119261-0j 3.95586e-05-0j 0.0361275-0j -0.0180241-0j 0.0131383-0j -3.91501e-05-0j 0.000173751-0j 0.000604015-0j -5.15848e-06-0j -3.61093e-05-0j -0.000385888-0j -0.00333122-0j -0.00268067-0j 0.000124134-0j 6.16471e-05-0j 0.000337715-0j -0.00104184-0j 2.28938e-05-0j 0.000557102-0j -0.000423247-0j -0.000160179-0j 0.0147842-0j 0.00595355-0j -4.75782e-06-0j -0.000273595-0j -0.00191517-0j -5.08452e-05-0j -0.00307248-0j -0.00521034-0j 0.00462379-0j 5.6859e-05-0j 1.63561e-05-0j -0.0328345-0j 0.00652995-0j 0.000710887-0j 4.44979e-05-0j 0.000607632-0j 0.0105624-0j -0.000960925-0j -0.000195466-0j -5.57677e-05-0j -0.000147738-0j 0.0287356-0j -0.0102691-0j -0.000531778-0j 0.0033034-0j -0.00157882-0j -0.0360134-0j 0.00066646-0j 0.00898712-0j 0.000507882-0j -0.0112633-0j 0.00138173-0j -0.00173168-0j 
0.033415-0j 0.0048425-0j 0.00240608-0j 0.00243102-0j 0.000347288-0j 0.000350887-0j -0.232311-0j -0.28747-0j 0.000281783-0j -0.167691-0j 2.3482e-05-0j 0.000348689-0j 0.000203402-0j 2.90574e-05-0j 1.69502e-05-0j 0.00118802-0j 0.00138602-0j -0.028857-0j 0.000848761-0j 0.000121252-0j 0.00121277-0j 2.47504e-05-0j -0.0336665-0j 0.000500241-0j 1.45843e-06-0j -0.0206164-0j 0.00014146-0j 8.66263e-05-0j -0.0294582-0j 2.88754e-05-0j 0.000123778-0j 1.76825e-05-0j -0.0121509-0j 1.7015e-06-0j 2.5266e-05-0j 1.04195e-06-0j 5.10557e-05-0j 1.04217e-05-0j 1.48881e-06-0j 6.14104e-07-0j 0.000944461-0j 0.00106688-0j 0.000152412-0j -0.0181364-0j 0.000871106-0j 0.000880133-0j -0.00261777-0j 0.000172167-0j 0.000762218-0j 1.55555e-05-0j 0.000628798-0j 1.83323e-06-0j -0.0204873-0j 0.000140574-0j 0.000200904-0j 8.36751e-08-0j -0.00295708-0j 0.000142031-0j -0.0167278-0j 1.75718e-05-0j 0.000123002-0j -0.0169011-0j -0.00241445-0j 0.000101472-0j 2.07085e-06-0j 1.43473e-05-0j -0.0146368-0j -0.00243947-0j 3.24207e-05-0j 9.4521e-08-0j -0.0120748-0j 1.4496e-05-0j -0.00211264-0j 1.69084e-06-0j 1.25539e-05-0j -0.00385794-0j 7.71761e-08-0j -0.00174284-0j 1.70837e-06-0j 1.03564e-05-0j 1.47949e-06-0j 7.79759e-08-0j -0.000556846-0j 3.30893e-06-0j 1.22052e-06-0j 6.75291e-08-0j 3.89961e-07-0j 5.57087e-08-0j 1.77992e-08-0j 
-0.00590699-0j 0.0404929-0j 0.0409236-0j 0.0413477-0j 0.00586943-0j 0.00593025-0j -0.000281783-0j -0.000348689-0j -0.226706-0j -0.000203402-0j 0.000597369-0j -0.280534-0j -0.163645-0j 0.000739207-0j 0.000431204-0j -0.000210014-0j -0.000245016-0j 0.0016557-0j -0.000150041-0j 0.00414602-0j -0.000214389-0j -0.0402463-0j 0.00193165-0j -8.8431e-05-0j 4.95549e-05-0j 0.00118289-0j 0.00483703-0j 0.00296206-0j 0.00169019-0j -0.046954-0j 0.0042324-0j -0.0287533-0j 0.000697169-0j 5.78141e-05-0j -0.0410848-0j 3.54038e-05-0j 0.00174577-0j -0.0169466-0j 5.05873e-05-0j 2.08662e-05-0j -0.000166959-0j -0.0001886-0j 0.00127447-0j 0.00211659-0j -0.000153991-0j -0.000155587-0j 0.00030357-0j 0.00143966-0j -0.000134742-0j -0.0251601-0j -0.000111157-0j -0.00448708-0j 0.00239094-0j 0.00117548-0j -3.55151e-05-0j 3.55762e-06-0j 0.000342918-0j 0.00118766-0j 0.00195219-0j -0.0284213-0j 0.00102854-0j 0.00197242-0j 0.000279992-0j 0.000848506-0j -0.0050687-0j -0.0232059-0j 0.00170817-0j 0.000282893-0j 0.000271102-0j 4.01876e-06-0j 0.00140917-0j -0.0234464-0j 0.000244993-0j -0.00413857-0j -0.0203052-0j 0.000450236-0j 3.2813e-06-0j 0.000202109-0j -0.00418146-0j -0.0167509-0j -0.00362125-0j 3.3153e-06-0j 6.45747e-05-0j -0.005352-0j -0.00298738-0j 2.87114e-06-0j -0.000954482-0j 2.36857e-06-0j 7.56769e-07-0j 
0.000492249-0j -0.0102659-0j 3.54449e-05-0j 3.58123e-05-0j 0.0701408-0j 0.0708677-0j 2.3482e-05-0j 2.90574e-05-0j -0.000597369-0j 1.69502e-05-0j -0.219527-0j -0.000739207-0j -0.000431204-0j -0.271651-0j -0.158463-0j 1.75012e-05-0j 2.0418e-05-0j -0.000419758-0j 1.25034e-05-0j 1.7862e-06-0j 1.78658e-05-0j 0.00499877-0j -0.000489718-0j 7.36925e-06-0j -0.0563178-0j -0.00029989-0j 2.0839e-06-0j 1.27613e-06-0j -0.000428503-0j 0.00583189-0j 1.82342e-06-0j 0.00357129-0j -0.000176749-0j -0.0657041-0j 0.00510291-0j -0.0402354-0j 7.52121e-07-0j 0.00210484-0j -0.0574911-0j -0.0237139-0j 1.39132e-05-0j 1.57167e-05-0j -0.000323107-0j 1.83323e-06-0j 1.28326e-05-0j 1.29656e-05-0j 0.00362772-0j -0.000364988-0j 1.12285e-05-0j -3.2977e-05-0j 9.26306e-06-0j -0.0171384-0j 2.07085e-06-0j -0.000298011-0j 2.95959e-06-0j -0.00816325-0j 0.00409794-0j -0.0003011-0j 1.69084e-06-0j -3.72514e-05-0j -0.00026076-0j 1.70837e-06-0j 0.00334596-0j -0.000215116-0j -0.0193599-0j -3.04157e-05-0j 1.47949e-06-0j 0.00338063-0j -6.87306e-05-0j -0.00922137-0j 1.22052e-06-0j -3.07309e-05-0j 0.00292771-0j -0.0158073-0j -2.66137e-05-0j 3.89961e-07-0j -0.00752922-0j 0.00241524-0j -0.0159711-0j -2.19552e-05-0j -0.0138314-0j -0.00760724-0j 0.000771681-0j -7.01479e-06-0j -0.0114103-0j -0.00658807-0j -0.00364565-0j -0.00543488-0j -0.00173647-0j 
-0.0369836-0j -7.62885e-05-0j -0.00266305-0j 0.00261405-0j -0.000384377-0j 0.000377305-0j 0.257121-0j 0.00452879-0j -0.000311877-0j -0.363274-0j -2.59898e-05-0j -5.49324e-06-0j 0.000440636-0j -4.5777e-07-0j 3.67197e-05-0j -0.00131489-0j -2.18353e-05-0j 0.0319388-0j -0.000939406-0j -0.000134201-0j 0.00130408-0j -2.73936e-05-0j 0.00053038-0j 0.00162947-0j -1.61419e-06-0j 0.0228182-0j -2.22856e-06-0j -9.58777e-05-0j -0.031676-0j -4.54902e-07-0j 0.000133097-0j -1.9571e-05-0j -0.0395799-0j -2.68054e-08-0j 2.71683e-05-0j -1.15323e-06-0j 0.000166308-0j 3.39474e-05-0j 1.60091e-06-0j 2.00037e-06-0j 0.00423804-0j -1.68076e-05-0j 0.000683911-0j -0.0813829-0j -0.000964138-0j 0.000946398-0j -0.0117466-0j -2.71232e-06-0j -1.20079e-05-0j 6.98014e-05-0j 0.00136218-0j 8.22618e-06-0j 0.000322756-0j -0.000155587-0j 0.000873614-0j 3.75472e-07-0j 4.65858e-05-0j 0.000152724-0j 0.0185143-0j -2.76825e-07-0j -1.93777e-06-0j -0.0181736-0j 0.00267231-0j 0.000219822-0j -3.26241e-08-0j -1.58795e-05-0j 0.000230588-0j -0.00262314-0j 0.000140979-0j -1.48908e-09-0j -0.026158-0j 1.55874e-05-0j 3.32825e-05-0j -1.87142e-06-0j -1.97773e-07-0j -0.016776-0j -8.54183e-08-0j -0.00377557-0j 1.83699e-06-0j 2.24354e-05-0j -2.33078e-08-0j 8.38466e-08-0j -0.0024214-0j 1.43886e-05-0j 2.64404e-06-0j -1.06385e-09-0j 1.69571e-06-0j 1.20683e-07-0j 7.73983e-08-0j 
