0.127011-0.118263j -0.00422224-0.0966825j 0.00144325+0.0598629j 0.102516-0.117189j 0.10044-0.00998887j -0.0186145-0.0214296j -0.105209+0.0529171j -0.0229661+0.00775342j 0.0813765-0.01512j 0.140214-0.0585814j 0.0276426+0.0254098j 0.0069603+0.0129493j -0.0141585+0.00287299j -0.0271626+0.00674098j -0.0279131+0.00706024j -0.021301+0.00824045j 0.00289999-0.0009017j -0.0362687+0.0245422j -0.011439+0.0318509j 0.010583+0.00825531j 0.0183328+0.0214651j -0.00651028-0.00169318j 0.0257195+0.00424932j -0.0820069+0.0261819j 0.012296-0.00443109j -0.00585042+0.00450034j 0.00254258-0.00263492j -0.0121077+0.000823549j 0.00206874-0.00120983j -0.0177645+0.0147498j -0.00302131-0.00569126j 0.0103425+0.0136565j 0.012154-0.0100554j -0.00386803-0.0200697j 0.0115274-0.00486385j 0.000128516+0.030049j 0.00323275+0.0196985j 0.00937975-0.0112929j 0.0221809-0.0202993j -0.0685463+0.0413212j 
-0.0642667-0.111375j 0.0557588-0.194611j 0.0378345-0.0307133j -0.227226+0.00152841j 0.119521+0.0789395j -0.00349605-0.0809227j 0.0798295+0.0612211j 0.0551086-0.168896j 0.104959+0.0901037j -0.0306988+0.0383348j 0.014488-0.00351227j 0.00977969+0.00786742j 0.00485297+0.0201541j -0.00709244-0.021046j 0.0171449-0.00113877j 0.00802271+0.0018576j -0.0345147+0.0204j 0.0222867-0.0224995j 0.020557-0.0023969j 0.0359814+0.0120901j 0.000669739-0.00886851j -0.00899798-0.000430555j 0.00233951+0.00652208j 0.000250412-0.0128778j 0.00253841-0.0129096j 0.00607152-0.00199251j 0.00105498-0.00642112j -0.0155455-0.0185263j -0.00263111+0.0157908j 0.0175908-0.00273189j 0.0151091+0.00827127j 0.00523356-0.0218884j -0.022217+0.00176929j -0.0209632+0.00621377j -0.00182018+0.0337145j 0.0157039-0.0273136j 0.0207033-0.0220048j -0.00853532-0.00982067j -0.0118276+0.00481179j 0.00513859-0.00544371j 
-0.127883-0.0399426j -0.109365+0.0554055j -0.0177128-0.00573342j -0.098025-0.294005j 0.0120764+0.093177j -0.172329-0.18498j -0.00494316-0.0355447j -0.153037+0.0385861j 0.0360581+0.0437086j 0.0292363+0.0786038j 0.00135142-0.021703j -0.0023106+0.01546j -0.0194937+0.00919696j 0.00494559-0.013966j 0.0093092-0.00131965j -0.0184885-0.00192107j 0.00576562+0.00400918j 0.00952787+0.0129775j -0.0169791-0.0141246j -0.0189546+0.0123526j -0.0126589+0.00532749j 0.0248032-0.00422676j -0.0196096-0.00382455j 0.00975271-0.00561245j -0.0509068-0.0129139j -0.0118869-0.0056527j 0.0018054-0.00292165j 0.00798779-0.00207821j -0.00725677+0.00663639j -0.00381828+0.000120602j 0.00777051+0.027639j -0.0047418-0.0117467j -0.00121844-0.0181628j -0.00124676-0.00608199j 0.00357835-0.00699343j 0.00406904+0.0124757j -0.00991872+0.0120701j -0.0249819-0.00880741j 0.0138063-0.0117926j 0.0304015-0.00236864j 
-0.0530004+0.0612832j -0.020753-0.00698351j 0.00155571+0.0201524j -0.0592956+0.179082j 0.0243312-0.0783662j -0.0712494+0.0853997j -0.0256758+0.0571226j -0.10535+0.0368617j 0.0146891-0.0651762j -0.0169893-0.0108912j -0.00806229-0.0105314j -0.00810271-0.00467915j 0.00128418+0.00902018j -0.00825365-0.00577838j -0.0306441+0.00283601j 0.0377697-0.0066698j 0.0153764+0.0353117j 0.0244382-0.0276303j 0.0212011+0.00354094j 0.00143183-0.00385326j 0.0279281-0.0172293j 0.00830606+0.00564408j 0.0262621-0.00169856j -0.00571807-0.00620782j -0.037152+0.00592468j 0.0073523+0.00259889j 0.0101161+0.0159399j 0.0061035-0.00450796j 0.00350228-0.0165075j 0.00531381-0.00986754j -0.0192806-0.00260212j 0.00138603+0.00780713j -0.00538897-0.0133852j 0.00496708+0.00597232j 0.00503385-0.0081982j -0.0017783+0.00843653j -0.0110913-0.000125051j -0.00717148+0.000490748j -0.0156278-0.00275496j -0.0114239+0.00103821j 
0.0600975-0.0530801j -0.071412-0.0115337j -0.0188797-0.0324769j 0.0391059-0.0957124j -0.0530354+0.0322279j -0.0877705-0.0658579j 0.0576548-0.0905088j 0.103361-0.112339j -0.0895468+0.0297742j 0.0677062-0.0167077j -0.0417281+0.00112129j 0.0143679-0.00443329j -8.32518e-05-0.0216136j 0.0096668+0.0199851j 0.000948659-0.0218598j -0.0429325+0.0214684j 0.0306273+0.00784054j -0.01316+0.0420259j -0.00183342-0.00509087j -0.00933577+0.00589857j -0.0118396-0.00920692j 0.00130696-0.00521532j 0.0112535+0.0132398j -0.00145693+0.0108847j -0.00850514-0.00844232j 0.00545444+0.0235003j 0.015618+0.00188867j 0.00568079-0.0265871j 0.00300235+0.0190641j -0.0136639-0.00248203j 0.0183732+0.00288759j -0.00930253+0.00535682j 0.000740049+0.00135778j 0.00974448+0.00840943j -0.0169566+0.0182513j -0.0306628-0.0124985j 0.00684272-0.019935j 0.0228619-0.00246095j 0.00969342+0.0168289j 0.0028188-0.00642725j 
-0.116544+0.0190097j -0.00534222-0.0152768j 0.017411-0.0951944j -0.0972745+0.0482811j 0.0113613-0.0364983j 0.00372752+0.0440393j 0.187701-0.0112711j -0.044227+0.0814203j 0.0387055-0.0492462j -0.0744367-0.0209566j -0.0133596-0.0211153j -0.00762036+0.0172996j -0.00847497-0.0220066j 0.0158976+0.0102819j 0.0378566+0.036106j 0.00530096-0.0114389j 0.00346517-0.0376624j 0.0333389+0.0160702j 0.00712627-0.0434656j -0.00226002+0.000606283j -0.0233899-0.00316189j -0.00241397+0.0121174j -0.0201865+0.0091292j 0.0467865+0.00751774j -0.000625406+0.0041911j -0.00151987+0.00947519j -0.00378269+0.000379727j -0.0023062+0.00468445j -0.0179945+0.0123597j 0.0219391+0.00259177j -0.00439491+0.00127054j -0.00526811+0.00647172j -0.0017241-0.00269039j -0.00133185-0.00331147j 0.014226-0.00715346j 0.0165051-0.0309351j -0.0117513+0.000767648j -0.0197939+0.0107229j 0.0021155+0.0264097j 0.0471962-0.0100637j 
0.0707954+0.0388138j -0.012227+0.0431548j 0.10709+0.00146971j 0.0461629+0.105444j -0.225783+0.0936518j -0.21449+0.0193656j 0.109122+0.174545j -0.00909772-0.185871j -0.256445+0.143405j 0.104012+0.066165j -0.00676775-0.0439063j 0.0120651-0.0401483j 0.0242023+0.0172347j 0.00997592+0.012297j 0.0143849+0.042952j 0.0122292+0.0213027j 0.0137119+0.0146136j 0.0167283-0.043843j 0.0527684+0.0242248j -0.0697391+0.0232767j 0.0449575-0.00647779j -0.0110131-0.0158117j -0.0207663+0.00942544j 0.019134-0.0377566j -0.0189874-0.0165783j -0.00343407-0.00316366j -0.0141314+0.00959895j 0.00964876-0.00616843j 0.00982623-0.0149867j 0.00937701+0.0074289j 0.0375931-0.0155827j 0.00915146-0.00532094j -0.000784104+0.0143332j 0.00154011+0.0226578j 0.0173291+0.0239902j 0.0283057-0.0164695j 0.00778015-0.0499331j 0.0128175+0.00575503j -0.0302533+0.00794709j 0.0202135-0.0399658j 
0.0067616-0.0908704j 0.0226832-0.0169311j 0.0444545+0.0319665j 0.374072-0.150381j -0.0918871-0.0278424j 0.194852-0.137404j 0.0267752+0.148818j -0.259046-0.00756491j -0.000441303-0.0787836j -0.0765528-0.0221443j 0.0192014-0.0384555j -0.0223778+0.00456159j -0.0137907+0.00537779j 0.017326-0.00167378j 0.0114042+0.0481747j 0.0257212+0.00987396j 0.00579415+0.0233555j 0.0391387+0.0139148j -0.00948844+0.01752j 0.00547939-0.0296309j 0.02367+0.0116541j -0.00304133-0.0124031j -0.0334214+0.0110243j 0.0236318+0.0201055j -0.00971049+0.00426177j 0.000754537+0.00344682j 0.0134603-0.000886042j -0.00795047+0.00328283j 0.00341381+0.01056j 0.0223488-0.00178592j -0.00428816-0.00150071j 0.00848862-0.00602244j 0.00347657+0.00431814j -0.00728072-0.0227058j 0.0214173+0.0141725j 0.0307628-0.000514987j -0.0457508+0.0211246j -0.0141011-0.0301532j -0.0218442-0.00849422j 0.0232583+0.016092j 
-0.0740531+0.0112185j 0.0116398-0.0773989j -0.0750468+0.0629626j 0.0879041+0.0651683j -0.0296088+0.0281595j 0.166838-0.119906j -0.181376-0.107558j 0.0140219-0.138056j 0.0636382+0.0602609j -0.116412+0.12139j -0.0113534+0.0481421j -0.0242992-0.000653752j 0.0265358+0.0559844j -0.0267022-0.021327j -0.0226846-0.0420272j 0.0161641+0.0123466j 0.0324214+0.0240453j -0.0327375-0.040251j -0.0296044+0.053737j 0.0407537-0.0104014j 0.015513+0.0171594j 0.0028847+0.00346075j -0.0317901-0.00625743j 0.0259041-0.00514406j -0.0190991-0.035835j -0.00275925-0.00574514j 0.00844411-0.00214677j -0.0121573-0.0141875j 0.0133484-0.0425113j -0.0282356-0.00921338j -0.0137422+0.022411j 0.00941731-0.0132434j -0.00174301+0.00409273j -0.00289513-0.00681473j -0.0303926-0.0130416j -0.0197739+0.0237022j -0.00304143-0.0316817j -0.0470622+0.0102457j 0.00647185-0.0329556j 0.0257554-0.0429869j 
0.0598427+0.0270837j 0.0284919-0.0102381j 0.0109674-0.0826365j 0.129728-0.0989271j -0.0294042+0.0130122j 0.119574-0.00379112j 0.110708-0.02382j 0.0407764+0.131569j 0.016214+0.0166918j -0.00837592+0.0875014j -0.00794789-0.0176517j -0.00750782+0.0136976j 0.0165221+0.0035702j -0.00208085+0.0309376j -0.00527229+0.00545826j 0.00786997+0.00620539j 0.00423372-0.0538793j -0.0121168+0.0154657j 0.0356617-0.0351148j 0.0122743+0.0277668j -0.00600563-0.0207895j -0.00731195+0.00235918j -0.0154044-0.00658788j 0.0111929+0.0196318j 0.000530216-0.00165777j -0.00199964-0.0070807j 0.00386981+0.00280102j -0.00739418-0.00937678j 0.0052163-0.00565343j -0.0180433+0.0168633j -0.00683726-0.00180704j -0.00729767-0.0110898j -0.0249275-0.0028391j -0.0024215+0.0317807j -0.017121-0.0213365j -0.0120281-0.0359812j -0.00694684+0.00481428j 0.00946912+0.0217695j 0.0135635+0.0365439j -0.00291689-0.019659j 
-0.0158268+0.0195079j -0.0328339+0.00370072j 0.0404264-0.0429304j -0.0957935+0.0510995j 0.06244-0.0452576j 0.0593031-0.157836j 0.125767+0.00555587j 0.0966319-0.191041j 0.0626367-0.0811519j -0.0275765+0.0648926j -0.0259225-0.0221455j -0.0305189-0.00780369j -0.0246096-0.0253365j 0.0441296+0.0222681j 0.0366923+0.0137377j -0.000521177+0.024788j -0.0281577+0.0114291j -0.0194217+0.018968j 0.000201817-0.00888506j -0.0267808-0.051002j 0.0108118-0.0132873j -0.0294517-0.0275467j 0.0422546+0.0111492j 0.0129328+0.000620253j -0.0127635-0.0246534j -0.0277545-0.00244066j 0.0144457-0.0104961j -0.0350905-0.033421j 0.00449409-0.00457768j -0.00333261+0.0036341j -0.0697182-0.0156969j 0.00456682+0.00465567j -0.00117523-0.0273409j 0.0152503+0.0144432j -0.034315+0.0366229j 0.0161182-0.0385734j 0.0095666-0.0199606j 0.00195418+0.00186885j 0.001495+0.0196502j 0.00197329+0.00506044j 
-0.0452924-0.0945357j 0.036101+0.0716832j -0.0175878-0.00419928j 0.0485094-0.0193442j 0.0629989+0.163557j 0.188631+0.191621j 0.0532144-0.0335671j 0.020954-0.0783232j 0.0765241+0.191836j -0.0672765-0.0654426j -0.0171405+0.00174289j -0.00329828+0.0091403j -0.0109502+0.0243833j -0.0169297-0.0333222j 0.0400092+0.0128955j 0.00797522-0.00530394j 0.0176923+0.0399501j 0.000380185+0.0310105j 0.0162453-4.62093e-05j 0.0261365+0.0717925j 0.00266618+0.0193651j -0.00332198-0.000312689j 0.00105921-0.0152984j 0.0117108-0.0114293j 0.0181288-0.00928805j -0.00955009+0.0109075j -0.00741438-0.026798j -0.017784-0.0424373j -0.0190621-0.00664062j 0.00348493-0.0351797j -0.0162232-0.0163423j 0.000843697+0.00226185j -0.0241848-0.00173823j -0.0117311+0.0163168j -0.022259+0.0383146j -0.0123693-0.0296816j 0.00859486-0.0164638j -0.0215457-0.0382088j -0.000161955+0.00255831j 0.00685298-0.00164107j 
-0.00290566-0.0486503j 0.00424947-0.0167974j -0.00666765-0.00622262j -0.0333022-0.153327j 0.00403662-0.0072748j -0.0215609-0.140702j -0.00476594+0.0600854j -0.0169573-0.0106099j -0.056641-0.0390108j -0.0101032+0.0290048j -0.0313137+0.00987995j -0.00585513+0.0119597j 0.00670901+0.00187547j -0.0240022+0.0118851j -0.0322596+0.0515779j 0.043912+0.0102321j 0.0418276+0.00550952j -0.0059865+0.0195995j -0.0110548-0.0263282j 0.0065052+0.00383508j 0.00587135-0.0169214j -0.00016146-0.0124739j 0.0257671+0.00148524j -0.0415065+0.0228406j -0.00792425-0.00629902j 0.00210346+0.0112886j 0.00143522+0.0101466j -0.00357687-0.013965j 0.0048376-0.0123532j -0.00902648-0.00249833j 0.00177543+0.00526052j 0.00347135-0.00613283j -0.0193969+0.007592j 0.00653336+0.0148362j 0.00225101+0.0120553j 0.0175347-0.0090376j -0.00571992-0.00391812j -0.0064925-0.0052999j -0.00261681+0.0013228j -0.0307187+0.00480782j 
0.00550853-0.0257849j 0.0204459-0.0101877j -0.00866786-0.0705053j 0.0173343-0.0713869j -0.012644+0.0810999j 0.0919109+0.163871j 0.150632-0.0508901j 0.0753268+0.178194j -0.00841303+0.0915118j -0.105967-0.0457192j -0.00691651-0.0573449j 0.00859481-0.0111654j -0.0011204-0.0041993j -0.0301153-0.00416618j 0.022894-0.00763112j -0.0160948+0.0052501j -0.0258502+0.00863625j -0.00330625-0.0254937j -0.0115789+0.00207006j -0.0221556+0.0295829j -0.00137483+0.011211j 0.0345413+0.00267967j 0.00975343+0.0131695j -0.0389352+0.0278826j -0.0335084+0.0459923j -0.0246593+0.000353941j -0.0174474+0.00492081j -0.0316816+0.0413807j 0.0228566+0.00847716j -0.0302777+0.0151212j -0.00401623-0.0271079j 0.0195268-0.0171931j 0.0143846+0.0125613j 0.016961-0.000331112j -0.0266011-0.0218j -0.00342415-0.022838j 0.0173221+0.00497958j -0.00616836-0.0104459j 0.00912967+0.0119084j -0.00668813-0.0038473j 
0.0321651-0.0435259j 0.00757492+0.0186897j 0.000766954-0.00801335j -0.0414344-0.119048j -0.0382675+0.104272j 0.100274-0.18424j 0.0158332+0.0537903j 0.0783384-0.199058j -0.0341674+0.0719406j -0.0522419+0.0635116j 0.00670091-0.0144469j 0.0172893-0.0103658j 0.0626925-0.00163766j -0.0339087-0.00669409j -0.0258921+0.0276002j 0.0630354+0.00735378j -0.0400965+0.00727726j 0.0182528-0.00597198j -0.0107102+0.0130084j 0.0137655-0.0281933j -0.0114748-0.0143871j 0.0176856+0.0174549j 0.0101029+0.0245424j 0.0145865-0.052244j 0.0115205-0.0380468j -6.66943e-05-0.0101319j 0.00483932-0.0123143j 0.00574911+0.00185835j -0.0167062+0.00172879j 0.00763945+0.00999102j -0.002373+0.0280487j -0.000925454-0.0104715j 0.00480258+0.00144202j -0.026042-0.00265204j -0.0236944+0.0237176j 0.01555+0.0159126j 0.0283344-0.0259681j 0.00889988+0.00186197j -0.0254472-0.00404863j 0.00692609-0.0206737j 
-0.0128672-0.108557j -0.0291638+0.0129589j -0.0555227+0.000821992j -0.0487638-0.0874243j 0.0610796+0.0411525j -0.11056+0.135333j -0.0375149-0.104788j -0.243251+0.031037j 0.0883815+0.0264889j 0.0746116-0.0837584j -0.00207086-0.0130919j 0.00676671+0.00343807j 0.0622887+0.0208582j -0.0543988+0.0285733j 0.00463808-0.0253743j 0.0715047+0.0113245j -0.023567-0.0154717j 0.00804251+0.0510072j -0.0231893-0.0126119j 0.024136+0.0435511j -0.0094921-0.00637811j 0.00997435-0.0178912j 0.0141313-0.00910425j -0.0252642+0.0418967j -0.0259648+0.0104081j -0.00292598+0.00518025j 0.0103649+0.0142923j -0.013708-0.0163028j 0.0116841-0.0309604j -0.00438177+0.000166814j -0.0158093-0.034864j -0.0158995+0.00635259j -0.00450193+0.00374918j 0.00531681+0.0134993j 0.0369276-0.0215164j -0.0163297-0.00199954j -0.020222+0.0146342j -0.0219804-0.0197984j 0.00491169-0.00282171j -0.0291571+0.0286141j 
