0.00791915+0.0292744j 0.0439307+0.0223568j -0.125623-0.0110709j 0.0160913+0.0247518j -0.032176-0.0288945j 0.0605377-0.00703455j 0.0200783-0.120192j 0.214804-0.0745833j 0.0478444+0.0187435j -0.0104142+0.0194838j 0.00649946+0.0313536j -0.00332626-0.0152376j 0.0361648+0.0275833j 0.0102238-0.00595619j -0.0330822-0.0168654j 0.00397635-0.00642836j 0.0432282+0.0255836j 0.0170174-0.0244435j 0.00815083-0.00662168j 0.00945392+0.0283993j 0.00661054-0.00662812j 0.0173627-0.000911787j -0.0366134-0.0101576j -0.0130285+0.0102467j 0.0306551+0.00530912j 0.0151825+0.00712671j 0.000213622-0.00447253j 0.0162079+0.0254946j 0.0267947-0.00427189j 0.00882755+0.00604487j -0.0419434+0.0112081j -0.0263648-0.0327748j 0.0489916+0.00385076j 0.058902+0.0320913j 
0.0193385-0.0259592j 0.0127664+0.0157035j -0.0942815-0.0661212j 0.0365849-0.037102j -0.0136627+0.10436j -0.190822-0.234537j 0.114345-0.0192734j 0.186263+0.0694272j -0.0330955-0.00682926j -0.0338777-0.0268976j 0.0120257-0.00448794j 0.0085077+0.0378938j -0.000219567-0.0155867j -0.0205039+0.00945704j -0.00380388+0.0119009j 0.0172607-0.0171247j 0.0201702+0.00902101j 0.00750971+0.0147457j 0.0260028+0.00520652j -0.0313414-0.0426928j -0.0279376-0.00855416j 0.0199634-0.0145707j 0.00464191+0.0167804j -0.00345364-0.0109213j 0.011209+0.0105239j -0.0212903-0.00712983j 0.0238524-0.0138112j -0.0130985+0.00768034j 0.00895726+0.0100209j -0.0101515+0.0240532j -0.0354841-0.00178753j 0.00942307-0.00600993j 0.00792484+0.00657954j 0.0282723-0.00718727j 
0.0535655-0.0673847j -0.000113649+0.00791511j 0.0484244-0.0211025j -0.00810077-0.0319987j -0.0107955+0.163158j 0.020726-0.075072j -0.239646-0.16571j -0.197042-0.0374949j 0.00877867+0.0132474j -0.0122686-0.0284938j 0.0176678+0.00697997j -0.023922+0.0359989j -0.0120428-0.0168753j -0.0473079-0.0153406j -0.0138879-0.00986392j 0.00165442-0.0208504j -0.020568+0.0106055j -0.00725922+0.0141029j -0.0180016+0.00788233j 0.035507-0.00727977j -0.0238309-0.0054274j -0.00280852+0.00379519j 0.00853369+0.0103861j 0.00736423+0.00850705j -0.0171988-0.0247325j -0.0106791+0.0182271j -0.00959912-0.00449912j 0.0109605+0.00670596j -0.0107261-0.0126204j -0.000922138+0.0142852j 0.0482494-0.00366638j -0.0295076+0.0103701j -0.0131322+0.00286492j -0.0465553-0.00981825j 
-0.0516454-0.00416396j 0.0261422+0.056135j -0.0958351-0.0920801j -0.0747372-0.108015j 0.118811+0.0626277j 0.214982+0.0301699j -0.222892-0.148539j 0.0793172+0.0407449j 0.101719+0.0346993j -0.0518716-0.0537189j -0.0359962+0.00817699j 0.0449125+0.0159699j 0.00115494+0.0266018j -0.00588869-0.0181547j -0.00400621-0.0134298j -0.0258512-0.0108815j 0.00431584+0.00017257j 0.0101663-0.0067665j 0.0182148-0.00218217j 0.0257796+0.0196513j -0.0134182-0.00413471j 0.0241368+0.00380655j 0.00116628+0.00828929j 0.00641271+0.00731598j 0.0031677-0.0256445j 0.0104804+0.0250061j -0.0449832-0.0147625j 0.0156209-0.0020531j -0.0123575-0.00481291j 0.0347863+0.0347068j 0.00294646-0.0036747j 0.00245842-0.0139956j -0.000778113-0.0141165j 0.0352461+0.029078j 
-0.00617065-0.022947j -0.0139457-0.0473044j 0.0545931+0.117603j 0.0050737-0.0100213j -0.0235815-0.0264448j 0.236542+0.197105j 0.0611778+0.0482898j -0.054375-0.0411848j 0.0270684+0.00524741j 0.0278072+0.00822251j -0.0257849-0.038883j 0.00344778-0.0102524j -0.0204736-0.0482692j 0.00753487-0.00726982j -0.0184573-0.0125897j -0.0135996-0.0228581j 0.00569343-0.0419426j 0.0196276+0.038722j -0.0348208+0.00538416j 0.0197439-0.0445323j 0.0194074+0.0234498j -0.00263293-0.0395835j 0.00668882+0.0150927j 0.00162655-0.0603437j 0.0155798-0.000916551j 0.0162628-0.0159712j -0.0349125-0.0269569j -0.0164927-0.00758434j -0.00314833-0.00605111j -0.00964837+0.0263005j 0.00126772+0.00325688j 0.0262182+0.0255412j 0.0121741+0.0250018j 0.00111667-0.0261931j 
-0.0019855-0.0114711j 0.00433082+0.0739515j 0.0164646+0.0227494j -0.118167-0.230662j -0.0402288-0.0335928j -0.0245265-0.00375501j 0.174569-0.175473j 0.0445875-0.122288j 0.00679891+0.0916135j -0.0798647-0.0731386j 0.0195167+0.0279687j 0.00620289-0.0262467j 0.000631878+0.0398407j 0.016233-0.00289336j 0.0385617-0.0335572j -0.0122574+0.00650476j -0.0296809-0.00337783j -0.0207572-0.0287768j -0.00604545+0.00464706j 0.0117938+0.00229187j 0.0102522-0.0239692j 0.00364132-0.0143784j -0.00203191+0.00679434j -0.0154217-0.00384169j 0.00497346-0.0022229j -0.0110124+0.0140673j -0.00772194-0.0285953j 0.00312013-0.00500041j -0.00288669-0.018062j 0.00296604+0.0234356j 0.00235955+0.0347951j -0.00331861+0.00429661j -0.00559476-0.0282751j -0.004933+0.00181965j 
0.00408463-0.0164656j 0.0326297+0.0508478j 0.026791+0.0621131j -0.197387-0.196549j -0.0762699-0.0903439j 0.0211176-0.0635266j 0.0142141+0.364802j -0.0299523+0.102326j 0.0750629-0.029393j -0.0968894-0.0629227j 0.0308141-0.00783427j -0.0191174+0.00530924j 0.0257138+0.000261506j -0.0196876+0.0249392j -0.0328973+0.0127996j 0.00244707+0.00950361j -0.00898879-0.00915147j 0.0150773-0.0147003j -0.0158716+0.00107634j -0.0123627-0.0169126j 0.0135899-0.0037339j 0.0190917-0.0196407j -0.00419678+0.00496076j 0.00756922-0.0064206j -0.00347748+0.0219459j 0.00618701-0.0135272j 0.0103975+0.0229392j -0.00388232+0.00616532j 0.0112738+0.00873875j -0.00144029-0.0221143j -0.0161323-0.0321768j -0.00187745-0.0147113j 0.00908721+0.0194611j 0.00619827-0.00402238j 
-0.029836-0.000291222j 0.000522734-0.00572205j -0.0550561-0.0337005j 0.021889+0.0564551j 0.107706+0.0257988j 0.0516065-0.0921574j -0.0906816+0.0526812j 0.0454254+0.0157326j 0.0123607+0.011948j 0.00268269+0.021996j -0.0186682-0.0150838j 0.0285695+0.0179146j -0.00198482+0.00221901j 0.00106738+0.0241495j -0.010383+0.0211959j -0.0174735+0.0195379j 0.0270309+0.0329254j 0.0132595-0.0435476j 0.0114072+0.0213983j 0.00269574-0.0304715j -0.00692295-0.0919144j 0.00404938-0.0173988j -0.0159427-0.00452112j 0.00520112-0.0583425j -0.00413136+0.00880448j 0.0161086-0.00771367j -0.0128247-0.0294188j 0.00256545+0.0107414j 0.0148596+0.0077491j 0.0137029-0.0192333j -0.0109146-0.013553j 0.00678994-0.00138484j -9.46099e-05+0.00175442j 0.00882193-0.00280536j 
0.0165656-0.0529401j -0.0189702-0.0441946j -0.00936182+0.0450117j 0.00811571-0.0393145j 0.0183761+0.171772j -0.115754-0.357972j -0.0255747-0.0275361j -0.0194926-0.1295j -0.0151774-0.0449637j 0.00571582-0.00447356j 0.00926862+0.0598243j 0.0157268+0.0419428j -0.0140599-0.0204299j 0.00712414-0.00287455j 0.00138961+0.00788459j 0.00429055+0.0274682j -0.000297922-0.012406j 0.00494105+1.93656e-05j 0.0297183+0.0177839j -0.0115287-0.00762615j -0.0219823-0.00599264j -0.00310484-0.0518303j -0.00781362+0.00480142j 0.0216315+0.0256852j 0.0103599-0.0162027j -0.00387808+0.0290829j 0.0201953-0.0204338j -0.00936141+0.0130008j 0.00173898+0.0170826j -0.0114017-0.021382j 0.0128112+0.0239228j 0.00329294+0.0229213j 0.00229802+0.02564j -0.0171951-0.0182393j 
0.103976+0.0388952j 0.00243725+0.0273765j 0.166012-0.0825889j -0.0445314+0.00063586j -0.358186-0.00972116j -0.124316+0.0723368j 0.144308-0.0353044j -0.165771+0.0600401j -0.025226+0.0142481j 0.0259942-0.00434702j 0.0142803+0.00128684j -0.124698+0.00892653j 0.0197858+0.016888j -0.0120154-0.00632601j 0.0319099+0.00229272j 0.0219358+0.00535229j -0.0215504+0.0199509j 0.0070816-0.0181807j -0.0682126+0.0101939j -0.0220596+0.00929336j -0.0185419-0.0320745j -0.042782+0.00626914j 0.0332014+3.66619e-05j 0.0275605-0.0251415j 0.00417829+0.00583295j -0.0098786-0.00429704j 0.000660496-0.0131453j -0.0508541-0.00960879j -0.0119526+0.000920624j -0.031374+0.0103605j 0.0428535-0.00624996j -0.0215888-0.0231805j -0.00113949-0.014388j -0.0312239+0.0294479j 
-0.0292675-0.0125383j -2.2639e-05-0.0263715j -0.134682+0.0824317j 0.106694-0.0295206j 0.160202-0.0539269j -0.278844+0.132147j -0.0961496+0.0292808j 0.11451-0.0520856j -0.0446042-0.0106483j -0.0043941+0.000119083j 0.027682+0.0122973j 0.0496636-0.00977627j -0.0140766-0.0300693j -9.09315e-05+0.0243179j 0.0260473-0.0194885j -0.0211126-0.0355991j 0.018901-0.0207831j 0.0240575+0.0332844j 0.00745565+0.0215323j -0.0100099-0.00627543j -0.0494227-0.0196712j 0.017529-0.0116655j 7.46649e-06-0.0101619j 0.0267109-0.0144336j 0.00553328+0.0225313j 0.0249381-0.00816306j -0.0182727+0.00841843j 0.00118011-0.0271807j 0.00285848-0.0164022j 0.00460352+0.00506414j -0.00855106+0.017494j 0.00382999+0.0157472j 0.000178373+0.00797144j 0.00912374-0.0104095j 
0.0662929+0.0334345j -0.07725+0.04229j 0.0302166+0.0506729j 0.290197-0.178132j 0.0080151-0.13945j 0.0511998-0.226209j -0.0175532+0.0336802j 0.027625-0.146786j -0.0477427-0.00551704j 0.0920967-0.055532j -0.0424812+0.0487212j -0.00680498-0.041635j -0.0566899+0.0542363j 0.020041-0.014177j 0.0397343-0.0158646j 0.00710327+0.019768j -0.0113183-0.0258647j -0.0213305-0.0206616j 0.00871417-0.0223466j -0.0247877-0.00768202j 0.0154873-0.000426034j 0.0252984-0.00693992j 0.0213705+0.00379035j 0.024468+0.00671215j -0.00657132-0.0117073j -0.0269433+0.00434263j -0.00261739+0.0236857j -0.0186705-0.00550871j 0.0132579-0.0266839j -0.0300683-0.0144582j 0.0152099+0.0248759j -0.00227077-0.017304j 0.00784739-0.0280783j -0.0286616-0.0175514j 
-0.0355728+0.0636116j -0.0125265+0.0194611j -0.020275-0.101538j 0.0264731+0.133044j 0.0453978-0.0798717j -0.264429-0.126295j -0.04862-0.0754125j -0.0281858+0.131887j -0.0259743-0.0462455j 0.0126523-0.000317396j 0.0654047+0.0339062j -0.0075316-0.0650228j -0.023596+0.0390275j 0.0303416-0.00915727j 0.0118271+0.00622171j -0.0172585-0.016013j 0.0148324+0.0319107j -0.0096691-0.00782616j 0.0392797+0.0136081j -0.0291512-0.00603366j -0.0328554-0.0334741j -0.036582+0.0247811j 0.0073188-0.0172872j 0.0161151-0.00583499j 0.00107601+0.0215303j 0.0104055-0.00950729j 0.0374272+0.0100022j 0.0207025-0.0125107j 0.00482795+0.0160825j -0.00206107+0.0196175j 0.0128415-0.0157106j -0.00407208-0.0243642j 0.00070483-0.0215635j 0.00537231+0.0161733j 
-0.0225861-0.0379728j -0.0595742+0.0151175j 0.0960658-0.0699379j 0.104512-0.00798604j 0.0869459+0.0141584j 0.164797+0.0981873j 0.00573804-0.0333186j -0.0976461+0.100379j -0.0390117+0.0617121j 0.0338112-0.0102338j 0.0338772-0.0353146j 0.0258163+0.0408559j -0.0524869+0.0235334j -0.0105501+0.0756558j -0.0444914-0.010359j 0.0112971-0.0382233j -0.0330732-0.0177247j -0.011748+0.0276386j 0.0110929+0.00818896j -0.015083+0.0239346j 0.0228841-0.00874951j -0.00768406+0.0285596j -0.00126019-0.0234545j -0.0411475+0.000283118j -0.014798+0.0278314j -0.00563455+0.00813965j -0.00101025-0.0076173j 0.0148098-0.00342512j -0.0110762+0.0160906j -0.0101271+0.0195319j 0.0030105-0.0101685j 0.0165848-0.00459123j 0.018452+0.0057762j 0.000770489+0.0322893j 
0.0164955+0.0512574j -0.0737421+0.0353208j 0.0340843+0.069848j 0.166446-0.150454j 0.04699-0.170322j 0.089256+0.182275j 0.00172608+0.0740513j -0.0085107-0.0854169j -0.0604647+0.0621692j 0.0691758-0.0254119j -0.0202441-0.0016335j 0.00465969-0.0604277j -0.0463095+0.000394519j -0.0372419-0.0341395j 0.0208528+0.0324982j 0.0191344+0.000358069j -0.00103673+0.0282271j 0.0100137-0.00928469j 0.0318631-0.049812j 0.00622943+0.000598963j -0.000612033-0.00669042j -0.00379739-0.0262428j 0.00428058+0.0187017j -0.0339173+0.00299926j -0.00867002+0.00739438j -0.0296134-0.00918224j 0.000724008-0.0266502j -0.00592097-0.0184667j -0.00512749-0.00699744j -0.0162515+0.00182912j 0.00736357+0.0111205j 0.0060712-0.0166765j 0.0102834-0.0177499j -0.0132054-0.00749128j 
0.0415031-0.00437113j -0.0838395-0.00615458j -0.0217456-0.145354j 0.324257+0.0147823j 0.0438921+0.100352j -0.0235339-0.0581974j -0.0614235-0.0783251j -0.0556032+0.198803j -0.0478815+0.014113j 0.116258-0.0418356j 0.0424589+0.0117225j -0.0356318+0.017544j -0.0244287-0.0130139j 0.00457499-0.0276125j 0.0188555+0.0240494j -0.000816759+0.00090923j 0.0354852+0.0281044j -0.0310494-0.0146123j -0.0293205+0.0553278j -0.0099517-0.00481718j 0.0185224-0.0131078j 0.0289187+0.0086072j -0.0149927-0.00560081j 0.00555187+0.00905362j 0.00412519+0.00237627j 0.00485198+0.00154473j -5.53787e-05+0.0018995j -0.000761077+0.0222081j 0.023948+0.0291514j -0.0053328+0.0236247j -0.00723718-0.02684j -0.00705037-0.00478024j -0.0043904+0.00758672j 0.00583192+0.0344401j 
-0.0421008+0.148195j -0.102876-0.0365817j 0.0487432+0.00287568j 0.0926678+0.308934j 0.128832-0.0957373j 0.00703536+0.0173412j 0.0102957-0.00788367j -0.0807189-0.0161199j 0.00324025-0.0756814j -0.0136185+0.110051j 0.00602168+0.00360141j 0.0580286-0.0709428j -0.0751042-0.00515946j -0.0236908-0.032692j 0.0190014+0.0253185j -0.0207471+0.0434244j -0.0171364+0.0132906j 0.027076-0.0452556j 0.00161889-0.0202201j -0.0322342-0.0113468j 0.0166865-0.00303312j 0.0232155+0.032172j 0.000796993+0.00771667j -0.00512807+0.00882608j -0.0311224-0.00927368j -0.00662837-0.037382j -0.00277703-0.00086632j -0.0062051-0.0279142j -0.0123027+0.0171564j -0.0291174-0.0296357j 0.0113519+0.00628439j 0.0228803-0.0342048j 0.0216098-0.022363j -0.0170445-0.0153392j 
-0.0185792+0.0230054j -0.00908176+0.163761j -0.03031-0.0914301j 0.0176041-0.172426j 0.106467-0.226593j -0.0232541-0.0462674j 0.0290342-0.0129239j -0.072722+0.162582j -0.00855934+0.0574887j 0.0287946-0.0669048j 0.0108596-0.0444571j 0.0729547-0.0400822j -0.0361715+0.11023j -0.0143194+0.0253575j -0.000135456-0.0217134j 0.00998488+0.0161313j 0.033793-0.0014249j -0.00808908-0.00702783j -0.0374455+0.00506571j 0.0115307+0.0364231j -0.00367049-0.0145294j -0.0117969-0.00400958j -0.0118119-0.00750351j -0.00474665+0.00694811j 0.000883394+0.0235171j 0.010922+0.00771235j 0.0043677+0.0163018j -0.00189601-0.00725706j -0.00353057-0.00765921j -0.000640651+0.0296188j -0.000124167-0.00366559j -0.00466128-0.0364518j -0.00318987-0.0305061j 0.00952086+0.0433642j 
0.0515619+0.128446j 0.100372-0.0318246j -0.0376456-0.0497051j -0.15162+0.178143j -0.0489511-0.243688j -0.00317254+0.0352627j 0.0276721-0.0657023j 0.0591628+0.0977906j 0.0167901-0.00816688j -0.0764134+0.0260691j 0.0121749+0.00593766j 0.00764789-0.108197j 0.0238224+0.0264161j -0.0178544-0.028078j -0.0217769+0.0610174j 0.0353148-0.00129904j 0.00885094+0.0106937j -0.0517021-0.00411627j -0.0193175-0.00363973j 0.00740584-0.00306791j -0.0190284-0.00512733j 0.0176226+0.0257218j -0.00889823+0.00415498j 0.00805626+0.00214652j 0.0148773+0.00672953j -0.00961564-0.020391j 0.00474364+0.011914j -0.0132398-0.0235713j 0.00831745+0.0124773j 0.0142614+0.00304754j -0.00809964+0.0108522j -0.0342692-0.0275226j -0.0260034-0.0149078j 0.0146577-0.00194376j 
0.182463-0.0429604j -0.0480732-0.0136776j -0.0836758+0.0557885j 0.149267+0.130606j -0.208958-0.0236077j 0.0344243+0.00139923j -0.0373983-0.0453372j 0.0724743-0.000939493j 0.00209675-0.0292788j 0.0405857+0.0424945j -0.00922165+0.00179477j -0.068726-0.0340859j 0.0224874-0.00423522j -0.0366412+0.0373893j 0.0562869-0.0129305j 0.0438486-0.0261327j -0.00863807-0.0132998j -0.0201236+0.0131539j -0.00268831+0.00604403j 0.0267708-0.010056j -0.00982697-0.000413394j 0.03012+0.00170037j -0.000263726-0.00598461j 0.0111737-0.00712508j 0.0258422-0.00056208j -0.0327728+0.0150126j 0.00798324+0.010342j -0.0228696-5.70831e-05j 0.0390067-0.00689249j 0.0035265-0.000702046j 0.00482972+0.0112763j -0.0318068+0.0140663j -0.0206064+0.0123895j -0.00403501-0.00720067j 
