-0.0287121-0j -0.00463339-0j -0.00378315-0j -0.000546051-0j -0.000472894-0j -5.57311e-05-0j -2.54376e-06-0j -0.026399-0j -0.00417405-0j -0.00329987-0j -0.00219992-0j -0.000476296-0j -0.000549979-0j -0.000194447-0j -4.58316e-05-0j -4.86117e-05-0j -4.05098e-06-0j -1.50971e-07-0j -0.017228-0j -0.0174065-0j -0.00268588-0j -0.00271372-0j -0.00208048-0j -0.00210204-0j -0.000300291-0j -0.00189921-0j -0.000303403-0j -0.00191889-0j -0.000335736-0j -0.000223824-0j -0.000339215-0j -2.7978e-05-0j -0.000193837-0j -0.000226143-0j -2.82679e-05-0j -0.000195846-0j -3.95668e-05-0j -1.97834e-05-0j -3.99768e-05-0j -2.3315e-06-0j -2.85549e-06-0j -1.99884e-05-0j -2.35566e-06-0j -2.88508e-06-0j -1.84321e-07-0j -1.86231e-07-0j -5.80557e-09-0j -5.86573e-09-0j 
0.00333407-0j -0.0253688-0j 0.000439302-0j -0.0060429-0j -0.0025892-0j -0.000928362-0j -7.08198e-05-0j -0.00295925-0j 0.0220619-0j -0.000369906-0j -0.000246604-0j 0.0050883-0j 0.00290691-0j -2.17969e-05-0j 0.000737002-0j 0.000519323-0j 8.70079e-05-0j 4.87235e-06-0j 0.00200053-0j -0.00202004-0j -0.0147058-0j 0.0148493-0j 0.000241587-0j -0.000243944-0j -0.00332319-0j 0.000220537-0j 0.00335561-0j -0.000222689-0j -0.00183822-0j -0.00122548-0j 0.00185616-0j -0.000466054-0j 2.25085e-05-0j 0.00123744-0j 0.000470601-0j -2.27281e-05-0j -0.000437868-0j -0.000108318-0j 0.00044214-0j -5.1874e-05-0j -4.75664e-05-0j 0.000109375-0j 5.23801e-05-0j 4.80305e-05-0j -5.1316e-06-0j 5.18166e-06-0j -2.26552e-07-0j 2.28762e-07-0j 
0.00384985-0j -0.0292934-0j 0.000507263-0j -0.00697774-0j -0.00298974-0j -0.00107198-0j -8.17757e-05-0j 6.13283e-05-0j -0.000457217-0j 7.66604e-06-0j 5.11069e-06-0j -0.000105451-0j -6.02436e-05-0j 4.51726e-07-0j -1.52738e-05-0j -1.07626e-05-0j -1.80318e-06-0j -1.00976e-07-0j -0.00224425-0j -0.00225307-0j 0.0164974-0j 0.0165622-0j -0.000271019-0j -0.000272084-0j 0.00372805-0j -0.000247405-0j 0.0037427-0j -0.000248378-0j 0.00206217-0j 0.00137478-0j 0.00207028-0j 0.000522832-0j -2.52507e-05-0j 0.00138019-0j 0.000524888-0j -2.535e-05-0j 0.000491213-0j 0.000121515-0j 0.000493144-0j 5.81937e-05-0j 5.33614e-05-0j 0.000121992-0j 5.84225e-05-0j 5.35712e-05-0j 5.75678e-06-0j 5.77941e-06-0j 2.54152e-07-0j 2.55152e-07-0j 
0.00136113-0j -0.0103568-0j 0.000179344-0j -0.002467-0j -0.00105703-0j -0.000379002-0j -2.89121e-05-0j 0.00125147-0j -0.00933002-0j 0.000156434-0j 0.000104289-0j -0.00215186-0j -0.00122934-0j 9.21797e-06-0j -0.00031168-0j -0.000219623-0j -3.67959e-05-0j -2.06053e-06-0j -0.00401381-0j 0.000825175-0j 0.0295053-0j -0.00606583-0j -0.000484713-0j 9.96494e-05-0j 0.00666756-0j -0.000442481-0j -0.00137074-0j 9.0967e-05-0j 0.00368817-0j 0.00245878-0j -0.000758229-0j 0.000935079-0j -4.51605e-05-0j -0.000505486-0j -0.000192237-0j 9.28428e-06-0j 0.000878528-0j 0.000217327-0j -0.000180611-0j 0.000104079-0j 9.54361e-05-0j -4.46791e-05-0j -2.13969e-05-0j -1.96201e-05-0j 1.02959e-05-0j -2.11668e-06-0j 4.54548e-07-0j -9.34479e-08-0j 
-0.00224575-0j 0.0170878-0j -0.000295903-0j 0.00407035-0j 0.00174402-0j 0.000625322-0j 4.77025e-05-0j 0.00402233-0j -0.0299874-0j 0.000502791-0j 0.000335194-0j -0.00691622-0j -0.00395118-0j 2.96272e-05-0j -0.00100176-0j -0.000705884-0j -0.000118265-0j -6.62269e-06-0j -0.00134751-0j -0.00122239-0j 0.00990546-0j 0.00898574-0j -0.000162727-0j -0.000147618-0j 0.00223842-0j -0.000148549-0j 0.00203058-0j -0.000134756-0j 0.00123818-0j 0.000825455-0j 0.00112322-0j 0.000313922-0j -1.51612e-05-0j 0.000748812-0j 0.000284775-0j -1.37535e-05-0j 0.000294937-0j 7.29606e-05-0j 0.000267552-0j 3.4941e-05-0j 3.20396e-05-0j 6.61862e-05-0j 3.16968e-05-0j 2.90647e-05-0j 3.45652e-06-0j 3.13558e-06-0j 1.526e-07-0j 1.38431e-07-0j 
-0.00238197-0j 0.0181244-0j -0.000313853-0j 0.00431725-0j 0.00184981-0j 0.000663254-0j 5.05961e-05-0j 0.00211419-0j -0.0157618-0j 0.000264274-0j 0.000176182-0j -0.00363526-0j -0.0020768-0j 1.55725e-05-0j -0.00052654-0j -0.000371022-0j -6.21614e-05-0j -3.48098e-06-0j 0.00420636-0j 0.00144319-0j -0.0309208-0j -0.0106088-0j 0.000507966-0j 0.000174282-0j -0.00698742-0j 0.000463708-0j -0.00239736-0j 0.000159097-0j -0.0038651-0j -0.00257673-0j -0.0013261-0j -0.000979937-0j 4.7327e-05-0j -0.000884069-0j -0.000336213-0j 1.62377e-05-0j -0.000920673-0j -0.000227753-0j -0.00031588-0j -0.000109072-0j -0.000100014-0j -7.81414e-05-0j -3.74221e-05-0j -3.43146e-05-0j -1.07898e-05-0j -3.70196e-06-0j -4.76354e-07-0j -1.63436e-07-0j 
0.00138949-0j -0.0105725-0j 0.000183081-0j -0.0025184-0j -0.00107906-0j -0.000386898-0j -2.95144e-05-0j -0.0037441-0j 0.0279131-0j -0.000468012-0j -0.000312008-0j 0.00643782-0j 0.00367788-0j -2.75779e-05-0j 0.00093247-0j 0.000657057-0j 0.000110084-0j 6.1646e-06-0j -0.000809992-0j 0.00398135-0j 0.00595422-0j -0.0292667-0j -9.78159e-05-0j 0.000480794-0j 0.00134552-0j -8.92933e-05-0j -0.00661364-0j 0.000438903-0j 0.000744278-0j 0.000496185-0j -0.00365834-0j 0.0001887-0j -9.11346e-06-0j -0.0024389-0j -0.000927517-0j 4.47953e-05-0j 0.000177288-0j 4.3857e-05-0j -0.000871424-0j 2.10032e-05-0j 1.92591e-05-0j -0.00021557-0j -0.000103237-0j -9.46643e-05-0j 2.07773e-06-0j -1.02127e-05-0j 9.17285e-08-0j -4.50873e-07-0j 
-0.000362481-0j 0.00275811-0j -4.77611e-05-0j 0.000656986-0j 0.000281498-0j 0.000100932-0j 7.69956e-06-0j 0.00163175-0j -0.0121651-0j 0.000203969-0j 0.000135979-0j -0.00280573-0j -0.00160289-0j 1.2019e-05-0j -0.000406388-0j -0.000286358-0j -4.79768e-05-0j -2.68665e-06-0j -0.000217498-0j -0.00399451-0j 0.00159882-0j 0.0293635-0j -2.62654e-05-0j -0.000482383-0j 0.000361298-0j -2.39769e-05-0j 0.0066355-0j -0.000440354-0j 0.000199852-0j 0.000133235-0j 0.00367044-0j 5.06695e-05-0j -2.44713e-06-0j 0.00244696-0j 0.000930583-0j -4.49434e-05-0j 4.76052e-05-0j 1.17764e-05-0j 0.000874304-0j 5.63976e-06-0j 5.17144e-06-0j 0.000216283-0j 0.000103578-0j 9.49773e-05-0j 5.57909e-07-0j 1.02464e-05-0j 2.46308e-08-0j 4.52363e-07-0j 
0.00246114-0j 0.000397165-0j -0.0310032-0j 4.68063e-05-0j -0.00779133-0j -0.00045672-0j 2.18046e-07-0j 0.00226287-0j 0.000357791-0j -0.0270427-0j 0.000188572-0j 4.08271e-05-0j -0.00450712-0j -0.00481385-0j 3.92859e-06-0j -0.00080092-0j -3.3198e-05-0j 1.29409e-08-0j 0.00147675-0j 0.00149205-0j 0.000230228-0j 0.000232614-0j -0.0170497-0j -0.0172263-0j 2.57403e-05-0j 0.000162796-0j 2.60071e-05-0j 0.000164483-0j -0.00275138-0j 1.91857e-05-0j -0.00277989-0j 2.39821e-06-0j -0.00319363-0j 1.93845e-05-0j 2.42307e-06-0j -0.00322673-0j -0.000324253-0j -0.000489771-0j -0.000327613-0j 1.99851e-07-0j -4.70466e-05-0j -0.000494846-0j 2.01922e-07-0j -4.75342e-05-0j -1.51052e-06-0j -1.52618e-06-0j 4.97641e-10-0j 5.02798e-10-0j 
-0.000355235-0j 0.00546327-0j -4.68063e-05-0j -0.030033-0j 0.000557593-0j -0.00939352-0j -0.00144426-0j -0.000326617-0j 0.00492165-0j -4.08271e-05-0j -2.72181e-05-0j -0.0261965-0j 0.000648484-0j -2.40576e-06-0j -0.00772495-0j -0.00267366-0j -0.00137519-0j -0.000128843-0j -0.00021315-0j -0.000215359-0j 0.00316695-0j 0.00319976-0j -2.57403e-05-0j -2.60071e-05-0j -0.0165161-0j -2.34976e-05-0j -0.0166873-0j -2.37411e-05-0j 0.000395868-0j 0.000263912-0j 0.000399971-0j -0.00471571-0j -2.39821e-06-0j 0.000266647-0j -0.00476458-0j -2.42307e-06-0j -0.00217619-0j 2.33268e-05-0j -0.00219874-0j -0.000791479-0j -0.000481295-0j 2.35685e-05-0j -0.000799681-0j -0.000486283-0j -0.000104651-0j -0.000105735-0j -6.94614e-06-0j -7.01813e-06-0j 
-0.00268588-0j -0.000433433-0j 0.0338343-0j -5.10805e-05-0j 0.00850281-0j 0.000498426-0j -2.37957e-07-0j -4.27862e-05-0j -6.7651e-06-0j 0.000511323-0j -3.56552e-06-0j -7.71958e-07-0j 8.52205e-05-0j 9.10203e-05-0j -7.42817e-08-0j 1.51438e-05-0j 6.27708e-07-0j -2.44687e-10-0j -0.0016116-0j 0.00157188-0j -0.000251252-0j 0.000245059-0j 0.0186066-0j -0.018148-0j -2.80908e-05-0j -0.000177662-0j 2.73985e-05-0j 0.000173283-0j 0.00300262-0j -2.09377e-05-0j -0.00292861-0j -2.61721e-06-0j 0.00348526-0j 2.04216e-05-0j 2.5527e-06-0j -0.00339936-0j 0.000353862-0j 0.000534495-0j -0.000345141-0j -2.18101e-07-0j 5.13428e-05-0j -0.000521321-0j 2.12725e-07-0j -5.00773e-05-0j 1.64846e-06-0j -1.60783e-06-0j -5.43084e-10-0j 5.29698e-10-0j 
0.000387674-0j -0.00596216-0j 5.10805e-05-0j 0.0327755-0j -0.00060851-0j 0.0102513-0j 0.00157614-0j 6.17566e-06-0j -9.30585e-05-0j 7.71958e-07-0j 5.14639e-07-0j 0.000495322-0j -1.22615e-05-0j 4.54881e-08-0j 0.000146063-0j 5.05536e-05-0j 2.60022e-05-0j 2.43616e-06-0j 0.000232614-0j -0.000226881-0j -0.00345614-0j 0.00337095-0j 2.80908e-05-0j -2.73985e-05-0j 0.0180243-0j 2.56433e-05-0j -0.0175801-0j -2.50113e-05-0j -0.000432018-0j -0.000288012-0j 0.000421369-0j 0.00514633-0j 2.61721e-06-0j 0.000280913-0j -0.00501949-0j -2.5527e-06-0j 0.00237491-0j -2.54569e-05-0j -0.00231638-0j 0.000863754-0j 0.000525245-0j 2.48294e-05-0j -0.000842464-0j -0.000512299-0j 0.000114207-0j -0.000111392-0j 7.58044e-06-0j -7.3936e-06-0j 
-0.00208048-0j -0.000335736-0j 0.0262079-0j -3.95668e-05-0j 0.00658625-0j 0.000386079-0j -1.84321e-07-0j -0.00191287-0j -0.000302451-0j 0.02286-0j -0.000159406-0j -3.45124e-05-0j 0.00381-0j 0.0040693-0j -3.32095e-06-0j 0.000677042-0j 2.80633e-05-0j -1.09394e-08-0j 0.0012128-0j -0.00126128-0j 0.000189079-0j -0.000196636-0j -0.0140023-0j 0.0145619-0j 2.11396e-05-0j 0.000133699-0j -2.19846e-05-0j -0.000139043-0j -0.00225961-0j 1.57566e-05-0j 0.00234992-0j 1.96957e-06-0j -0.00262282-0j -1.63863e-05-0j -2.04829e-06-0j 0.00272765-0j -0.000266298-0j -0.000402232-0j 0.000276941-0j 1.64131e-07-0j -3.86378e-05-0j 0.000418309-0j -1.70691e-07-0j 4.01821e-05-0j -1.24054e-06-0j 1.29012e-06-0j 4.08696e-10-0j -4.2503e-10-0j 
0.00210204-0j 0.000339215-0j -0.0264795-0j 3.99768e-05-0j -0.0066545-0j -0.00039008-0j 1.86231e-07-0j -0.00186572-0j -0.000294996-0j 0.0222966-0j -0.000155477-0j -3.36617e-05-0j 0.00371609-0j 0.003969-0j -3.2391e-06-0j 0.000660354-0j 2.73716e-05-0j -1.06697e-08-0j 0.00126128-0j -0.00127358-0j 0.000196636-0j -0.000198554-0j -0.0145619-0j 0.014704-0j 2.19846e-05-0j 0.000139043-0j -2.21991e-05-0j -0.000140399-0j -0.00234992-0j 1.63863e-05-0j 0.00237285-0j 2.04829e-06-0j -0.00272765-0j -1.65462e-05-0j -2.06827e-06-0j 0.00275426-0j -0.000276941-0j -0.000418309-0j 0.000279643-0j 1.70691e-07-0j -4.01821e-05-0j 0.00042239-0j -1.72356e-07-0j 4.05741e-05-0j -1.29012e-06-0j 1.30271e-06-0j 4.2503e-10-0j -4.29177e-10-0j 
0.000300291-0j -0.00461827-0j 3.95668e-05-0j 0.0253878-0j -0.00047135-0j 0.00794063-0j 0.00122088-0j 0.000276099-0j -0.00416042-0j 3.45124e-05-0j 2.30082e-05-0j 0.0221447-0j -0.000548183-0j 2.03366e-06-0j 0.00653014-0j 0.00226013-0j 0.00116249-0j 0.000108915-0j -0.000175053-0j 0.000182049-0j 0.0026009-0j -0.00270486-0j -2.11396e-05-0j 2.19846e-05-0j -0.0135641-0j -1.92978e-05-0j 0.0141063-0j 2.00691e-05-0j 0.000325113-0j 0.000216742-0j -0.000338107-0j -0.00387285-0j -1.96957e-06-0j -0.000225405-0j 0.00402764-0j 2.04829e-06-0j -0.00178723-0j 1.91575e-05-0j 0.00185866-0j -0.000650014-0j -0.000395271-0j -1.99232e-05-0j 0.000675994-0j 0.00041107-0j -8.59463e-05-0j 8.93814e-05-0j -5.70463e-06-0j 5.93263e-06-0j 
-0.00189921-0j -0.000306483-0j 0.0239245-0j -3.61194e-05-0j 0.00601239-0j 0.000352441-0j -1.68261e-07-0j -0.0017462-0j -0.000276099-0j 0.0208682-0j -0.000145517-0j -3.15053e-05-0j 0.00347804-0j 0.00371474-0j -3.0316e-06-0j 0.000618052-0j 2.56182e-05-0j -9.98622e-09-0j -0.00113957-0j -0.00115138-0j -0.000177662-0j -0.000179503-0j 0.0131568-0j 0.0132932-0j -1.98632e-05-0j -0.000125626-0j -2.00691e-05-0j -0.000126928-0j 0.00212317-0j -1.48052e-05-0j 0.00214518-0j -1.85065e-06-0j 0.00246445-0j -1.49586e-05-0j -1.86983e-06-0j 0.00248999-0j 0.000250219-0j 0.000377945-0j 0.000252812-0j -1.54221e-07-0j 3.63048e-05-0j 0.000381862-0j -1.55819e-07-0j 3.6681e-05-0j 1.16564e-06-0j 1.17772e-06-0j -3.84018e-10-0j -3.87998e-10-0j 
-0.000303403-0j 0.00466613-0j -3.99768e-05-0j -0.0256509-0j 0.000476235-0j -0.00802292-0j -0.00123353-0j 0.000269294-0j -0.00405787-0j 3.36617e-05-0j 2.24411e-05-0j 0.0215988-0j -0.000534672-0j 1.98354e-06-0j 0.00636918-0j 0.00220442-0j 0.00113384-0j 0.00010623-0j -0.000182049-0j 0.000183826-0j 0.00270486-0j -0.00273125-0j -2.19846e-05-0j 2.21991e-05-0j -0.0141063-0j -2.00691e-05-0j 0.0142439-0j 2.02649e-05-0j 0.000338107-0j 0.000225405-0j -0.000341406-0j -0.00402764-0j -2.04829e-06-0j -0.000227604-0j 0.00406694-0j 2.06827e-06-0j -0.00185866-0j 1.99232e-05-0j 0.0018768-0j -0.000675994-0j -0.00041107-0j -2.01175e-05-0j 0.00068259-0j 0.00041508-0j -8.93814e-05-0j 9.02534e-05-0j -5.93263e-06-0j 5.99051e-06-0j 
0.000274127-0j -0.00421588-0j 3.61194e-05-0j 0.0231758-0j -0.000430282-0j 0.00724877-0j 0.0011145-0j 0.000252043-0j -0.00379793-0j 3.15053e-05-0j 2.10036e-05-0j 0.0202152-0j -0.000500421-0j 1.85647e-06-0j 0.00596117-0j 0.00206321-0j 0.00106121-0j 9.94252e-05-0j 0.000164483-0j 0.000166188-0j -0.00244386-0j -0.00246919-0j 1.98632e-05-0j 2.00691e-05-0j 0.0127451-0j 1.81326e-05-0j 0.0128772-0j 1.83205e-05-0j -0.000305483-0j -0.000203655-0j -0.000308648-0j 0.00363901-0j 1.85065e-06-0j -0.000205766-0j 0.00367672-0j 1.86983e-06-0j 0.00167932-0j -1.80007e-05-0j 0.00169672-0j 0.000610766-0j 0.000371405-0j -1.81873e-05-0j 0.000617096-0j 0.000375253-0j 8.07568e-05-0j 8.15937e-05-0j 5.36018e-06-0j 5.41573e-06-0j 
