-0.186793-0j -0.0350014-0j 0.430862-0j -0.0037866-0j -0.00614477-0j 0.0570884-0j -0.000289667-0j -0.03389-0j 0.722577-0j -0.00635033-0j -0.0145736-0j 0.135397-0j -0.000687006-0j -0.00997786-0j 0.0927-0j -0.000470361-0j 0.571248-0j -0.00502038-0j -0.0162938-0j 0.151379-0j -0.000768096-0j -0.0136627-0j 0.126935-0j -0.000644068-0j 
0.00635033-0j -0.034733-0j -0.0146478-0j 0.051018-0j 0.000208901-0j 0.0566506-0j 0.0125805-0j 0.0302237-0j 0.022077-0j -0.0768934-0j -0.000445269-0j -0.120749-0j -0.026815-0j -0.000948923-0j -0.257332-0j -0.0571462-0j -0.0194205-0j 0.0676409-0j 0.000553933-0j 0.150217-0j 0.033359-0j 0.000464487-0j 0.125961-0j 0.0279724-0j 
-0.000669383-0j 0.00744778-0j -5.25545e-05-0j -0.035476-0j -2.20201e-05-0j 0.000413473-0j 0.0773536-0j -0.00648086-0j 7.92093e-05-0j 0.0534688-0j 4.69355e-05-0j -0.000881308-0j -0.164878-0j 0.000100025-0j -0.00187818-0j -0.351375-0j -6.96781e-05-0j -0.0470349-0j -5.83897e-05-0j 0.00109638-0j 0.205115-0j -4.89612e-05-0j 0.000919347-0j 0.171994-0j 
-0.0049484-0j 0.0145304-0j 0.0125649-0j 0.00324424-0j 0.00797834-0j 0.00252297-0j 0.000376103-0j 0.0142577-0j 0.000585553-0j 0.000151189-0j -0.00543724-0j -0.00171941-0j -0.000256314-0j 0.0130663-0j 0.00413193-0j 0.000615952-0j -0.00910205-0j -0.00235014-0j -0.000431645-0j -0.000136498-0j -2.03479e-05-0j -0.00639581-0j -0.00202253-0j -0.000301501-0j 
0.00116635-0j -0.00342485-0j 0.087009-0j -0.000764674-0j 0.0843528-0j 0.017471-0j -8.86482e-05-0j -0.00336057-0j 0.00405483-0j -3.56356e-05-0j -0.0574865-0j -0.0119065-0j 6.04138e-05-0j 0.138146-0j 0.0286127-0j -0.000145181-0j -0.0630297-0j 0.000553933-0j -0.00456366-0j -0.000945219-0j 4.79605e-06-0j -0.0676211-0j -0.0140056-0j 7.10646e-05-0j 
0.00142848-0j 0.0591205-0j -0.00362717-0j 0.0273365-0j -0.00230315-0j 0.0102653-0j 0.00480794-0j 0.0580108-0j -0.000169035-0j 0.00127394-0j 0.0015696-0j -0.00699583-0j -0.00327661-0j -0.00377192-0j 0.0168118-0j 0.00787407-0j 0.00262754-0j -0.0198027-0j 0.000124605-0j -0.000555376-0j -0.000260119-0j 0.00184631-0j -0.00822917-0j -0.00385427-0j 
-0.000260804-0j -0.0107939-0j -0.0395738-0j -0.00499093-0j 0.000420495-0j 0.111999-0j -0.000877805-0j -0.0105913-0j -0.00184424-0j -0.000232589-0j -0.000286568-0j -0.0763273-0j 0.000598225-0j 0.000688655-0j 0.183423-0j -0.0014376-0j 0.0286675-0j 0.00361546-0j -2.27497e-05-0j -0.00605937-0j 4.74911e-05-0j -0.000337089-0j -0.0897836-0j 0.00070369-0j 
-0.00030115-0j -0.0258117-0j 0.000764674-0j 0.0782471-0j -0.0217798-0j -0.00448179-0j 0.0292406-0j -0.0253272-0j 3.56356e-05-0j 0.0036465-0j 0.0148429-0j 0.00305434-0j -0.0199275-0j -0.0356693-0j -0.00733992-0j 0.047888-0j -0.000553933-0j -0.0566826-0j 0.00117833-0j 0.000242474-0j -0.00158198-0j 0.0174597-0j 0.00359281-0j -0.0234407-0j 
5.49823e-05-0j 0.00714954-0j 0.00410164-0j -0.0460503-0j -8.86482e-05-0j -0.0364717-0j 0.0696582-0j 0.00701535-0j 0.000191146-0j -0.00214605-0j 6.04138e-05-0j 0.0248555-0j -0.0474721-0j -0.000145181-0j -0.0597305-0j 0.114081-0j -0.00297125-0j 0.033359-0j 4.79605e-06-0j 0.00197319-0j -0.00376865-0j 7.10646e-05-0j 0.0292374-0j -0.0558413-0j 
-4.48928e-06-0j -0.000981718-0j 1.13991e-05-0j 0.0129707-0j 7.2381e-06-0j -0.00017046-0j -0.0658216-0j -0.000963291-0j 5.31225e-07-0j 0.000604466-0j -4.93277e-06-0j 0.000116168-0j 0.0448574-0j 1.1854e-05-0j -0.000279166-0j -0.107797-0j -8.25755e-06-0j -0.00939604-0j -3.91596e-07-0j 9.22222e-06-0j 0.00356108-0j -5.8024e-06-0j 0.000136648-0j 0.0527656-0j 
0.0691287-0j 0.0129534-0j 0.00542742-0j 0.00140135-0j 0.00227407-0j 0.000719123-0j 0.0001072-0j 0.0125421-0j 0.00910205-0j 0.00235014-0j 0.00539342-0j 0.00170555-0j 0.000254248-0j 0.00369262-0j 0.00116771-0j 0.000174072-0j -0.0134275-0j -0.00346696-0j -0.0112521-0j -0.00355824-0j -0.000530431-0j 0.00505633-0j 0.00159895-0j 0.000238358-0j 
-0.0162938-0j -0.00305314-0j 0.0375837-0j -0.000330302-0j 0.0240431-0j 0.00497977-0j -2.52674e-05-0j -0.00295619-0j 0.0630297-0j -0.000553933-0j 0.0570232-0j 0.0118106-0j -5.99269e-05-0j 0.0390411-0j 0.00808614-0j -4.10291e-05-0j -0.0929825-0j 0.000817171-0j -0.118966-0j -0.02464-0j 0.000125024-0j 0.0534592-0j 0.0110724-0j -5.61815e-05-0j 
-0.0199557-0j 0.052704-0j -0.00156676-0j 0.011808-0j -0.000656466-0j 0.00292593-0j 0.00137041-0j 0.0510304-0j -0.00262754-0j 0.0198027-0j -0.00155695-0j 0.00693944-0j 0.0032502-0j -0.00106597-0j 0.00475111-0j 0.00222526-0j 0.00387618-0j -0.0292132-0j 0.00324821-0j -0.0144776-0j -0.00678081-0j -0.00145964-0j 0.00650573-0j 0.00304707-0j 
0.0036434-0j -0.00962239-0j -0.017094-0j -0.00215584-0j 0.000119854-0j 0.031923-0j -0.000250201-0j -0.00931684-0j -0.0286675-0j -0.00361546-0j 0.000284258-0j 0.0757121-0j -0.000593403-0j 0.000194618-0j 0.0518366-0j -0.000406276-0j 0.0422907-0j 0.00533358-0j -0.00059304-0j -0.157956-0j 0.001238-0j 0.000266492-0j 0.0709801-0j -0.000556316-0j 
0.00420704-0j -0.0230103-0j 0.000330302-0j 0.0337989-0j -0.00620789-0j -0.00127744-0j 0.00833446-0j -0.0222796-0j 0.000553933-0j 0.0566826-0j -0.0147233-0j -0.00302972-0j 0.0197669-0j -0.0100804-0j -0.00207431-0j 0.0135335-0j -0.000817171-0j -0.083619-0j 0.0307168-0j 0.00632082-0j -0.0412391-0j -0.0138031-0j -0.00284037-0j 0.0185315-0j 
-0.000768096-0j 0.00637359-0j 0.00177171-0j -0.0198915-0j -2.52674e-05-0j -0.0103955-0j 0.0198547-0j 0.0061712-0j 0.00297125-0j -0.033359-0j -5.99269e-05-0j -0.0246551-0j 0.0470895-0j -4.10291e-05-0j -0.0168802-0j 0.03224-0j -0.00438324-0j 0.0492118-0j 0.000125024-0j 0.0514373-0j -0.0982414-0j -5.61815e-05-0j -0.0231142-0j 0.0441464-0j 
6.27148e-05-0j -0.000875169-0j 4.92385e-06-0j 0.00560271-0j 2.06307e-06-0j -4.85861e-05-0j -0.0187611-0j -0.000847379-0j 8.25755e-06-0j 0.00939604-0j 4.89301e-06-0j -0.000115232-0j -0.0444959-0j 3.35002e-06-0j -7.8894e-05-0j -0.0304643-0j -1.21817e-05-0j -0.0138612-0j -1.02081e-05-0j 0.000240405-0j 0.0928305-0j 4.5872e-06-0j -0.00010803-0j -0.0417149-0j 
