-0.272059-0j -0.296902-0j 0.221159-0j -0.232363-0j -0.209942-0j 0.249826-0j -0.173193-0j -0.151544-0j 0.438464-0j 0.206096-0j 0.523459-0j -0.0884006-0j 0.3165-0j 0.0470445-0j -0.010786-0j 
0.020018-0j -0.0209812-0j -0.0162728-0j -0.0170838-0j 0.0154475-0j 0.0176545-0j -0.0122391-0j 0.00985259-0j -0.0322621-0j 0.0151526-0j 0.0369914-0j 0.0304932-0j -0.0205772-0j -0.0360485-0j 0.0219289-0j 
-0.00288935-0j 0.00302838-0j 0.00234878-0j 0.00246584-0j -0.00222965-0j -0.0025482-0j 0.00176656-0j -0.0014221-0j 0.00465663-0j -0.00218709-0j -0.00533924-0j -0.00440132-0j 0.00297006-0j 0.00520316-0j -0.00316516-0j 
-0.00825702-0j 0.0263197-0j -0.00697991-0j -0.033061-0j -0.00637175-0j 0.0230297-0j 0.0153531-0j -0.00562776-0j -0.0045522-0j -0.0304932-0j 0.00949927-0j 0.0369216-0j -0.00402067-0j 0.0275555-0j -0.0654778-0j 
0.0011918-0j -0.00379892-0j 0.00100746-0j 0.00477195-0j 0.000919683-0j -0.00332405-0j -0.00221603-0j 0.000812298-0j 0.000657054-0j 0.00440132-0j -0.0013711-0j -0.00532918-0j 0.000580333-0j -0.00397729-0j 0.0094509-0j 
0.0143118-0j 0.0156187-0j -0.0473446-0j -0.0478352-0j 0.0110441-0j 0.0136663-0j 0.00911089-0j 0.00797203-0j 0.00789026-0j 0.0112741-0j 0.00563707-0j 0.00465035-0j 0.00569549-0j 0.0025735-0j 0.000567403-0j 
-0.00252999-0j -0.00276102-0j 0.00836942-0j 0.00845615-0j -0.00195233-0j -0.00241589-0j -0.00161059-0j -0.00140927-0j -0.00139481-0j -0.00199301-0j -0.000996503-0j -0.000822073-0j -0.00100683-0j -0.000454934-0j -0.000100304-0j 
0.000210832-0j 0.000230085-0j -0.000697452-0j -0.000704679-0j 0.000162694-0j 0.000201324-0j 0.000134216-0j 0.000117439-0j 0.000116234-0j 0.000166084-0j 8.30419e-05-0j 6.85061e-05-0j 8.39025e-05-0j 3.79112e-05-0j 8.35863e-06-0j 
-0.0161669-0j -0.000349202-0j -0.0136663-0j 0.0132614-0j 0.0365314-0j 0.000894724-0j -0.000203701-0j -0.0511737-0j -0.008913-0j 0.0122314-0j -0.000126034-0j 0.0153435-0j 0.0124855-0j 0.0113406-0j 0.00375689-0j 
-0.0132002-0j -0.0144056-0j 0.0107306-0j -0.0112741-0j 0.0198054-0j 0.0121214-0j 0.0410805-0j -0.00735285-0j -0.0413636-0j -0.0194426-0j 0.025398-0j 0.0083395-0j 0.0153564-0j 0.00228258-0j -0.000523333-0j 
0.00285792-0j 6.17307e-05-0j 0.00241589-0j -0.0023443-0j -0.0064579-0j -0.000158166-0j 3.60096e-05-0j 0.00904632-0j 0.00157561-0j -0.00216222-0j 2.22798e-05-0j -0.00271237-0j -0.00220714-0j -0.00200475-0j -0.000664131-0j 
0.013337-0j -0.0139787-0j 0.0112741-0j -0.0113821-0j -0.0200106-0j -0.0122314-0j 0.0398632-0j 0.00656427-0j -0.0142963-0j 0.0204115-0j -0.00504518-0j -0.0395009-0j 0.00468974-0j 0.0249751-0j 0.0146101-0j 
-0.00023816-0j -5.14423e-06-0j -0.000201324-0j 0.000195358-0j 0.000538158-0j 1.31805e-05-0j -3.0008e-06-0j -0.00075386-0j -0.000131301-0j 0.000180185-0j -1.85665e-06-0j 0.000226031-0j 0.000183928-0j 0.000167063-0j 5.53443e-05-0j 
0.00233348-0j 0.00254657-0j -0.00189691-0j 0.00199301-0j -0.00350113-0j -0.00214279-0j -0.00726207-0j 0.00129981-0j 0.00731212-0j 0.003437-0j -0.00448978-0j -0.00147423-0j -0.00271466-0j -0.000403507-0j 9.25131e-05-0j 
0.0115502-0j 0.000249482-0j -0.0285422-0j -0.00947438-0j 0.008913-0j -0.000638145-0j 0.000145531-0j -0.0124855-0j 0.0054096-0j 0.0255452-0j 0.00110919-0j -0.0109619-0j -0.00757785-0j 0.0236849-0j -0.00268405-0j 
-0.00235767-0j 0.00247111-0j -0.00199301-0j 0.00201208-0j 0.00353741-0j 0.00216222-0j -0.00704688-0j -0.00116041-0j 0.00252725-0j -0.00360828-0j 0.000891871-0j 0.00698284-0j -0.000829037-0j -0.00441502-0j -0.00258272-0j 
-0.000194457-0j -0.000212214-0j 0.000158076-0j -0.000166084-0j 0.000291761-0j 0.000178566-0j 0.000605173-0j -0.000108318-0j -0.000609343-0j -0.000286416-0j 0.000374148-0j 0.000122852-0j 0.000226222-0j 3.36256e-05-0j -7.70942e-06-0j 
-0.00952839-0j 0.0201796-0j 0.00774572-0j -0.0071908-0j -0.00735285-0j -0.0169799-0j 0.0117714-0j -0.0202851-0j 0.0153564-0j 0.00637793-0j -0.0355779-0j -0.00378834-0j 0.0423654-0j -0.020698-0j 0.0363779-0j 
-0.0020418-0j -4.41026e-05-0j 0.00504559-0j 0.00167485-0j -0.00157561-0j 0.000112809-0j -2.57265e-05-0j 0.00220714-0j -0.000956291-0j -0.0045158-0j -0.000196079-0j 0.00193781-0j 0.00133959-0j -0.00418693-0j 0.000474478-0j 
0.000196472-0j -0.000205926-0j 0.000166084-0j -0.000167674-0j -0.000294784-0j -0.000180185-0j 0.00058724-0j 9.67008e-05-0j -0.000210604-0j 0.00030069-0j -7.43226e-05-0j -0.000581903-0j 6.90864e-05-0j 0.000367918-0j 0.000215226-0j 
0.00304437-0j -0.0129607-0j 0.0025735-0j 0.0270783-0j 0.00234927-0j -0.0113406-0j -0.0075604-0j -0.0213027-0j 0.0016784-0j 0.0249751-0j -0.00467776-0j -0.0183588-0j -0.0152194-0j 0.0267619-0j -0.00127843-0j 
0.00017015-0j 3.67521e-06-0j -0.000420466-0j -0.000139571-0j 0.000131301-0j -9.40076e-06-0j 2.14387e-06-0j -0.000183928-0j 7.96909e-05-0j 0.000376317-0j 1.63399e-05-0j -0.000161484-0j -0.000111632-0j 0.000348911-0j -3.95399e-05-0j 
0.0016844-0j -0.00356727-0j -0.00136926-0j 0.00127117-0j 0.00129981-0j 0.00300165-0j -0.00208091-0j 0.00358593-0j -0.00271466-0j -0.00112747-0j 0.00628935-0j 0.00066969-0j -0.00748921-0j 0.00365892-0j -0.00643077-0j 
-0.000538173-0j 0.00229115-0j -0.000454934-0j -0.00478681-0j -0.000415296-0j 0.00200475-0j 0.0013365-0j 0.00376583-0j -0.000296702-0j -0.00441502-0j 0.000826919-0j 0.0032454-0j 0.00269044-0j -0.00473088-0j 0.000225996-0j 
-0.000140366-0j 0.000297273-0j 0.000114105-0j -0.00010593-0j -0.000108318-0j -0.000250138-0j 0.000173409-0j -0.000298827-0j 0.000226222-0j 9.39558e-05-0j -0.000524113-0j -5.58075e-05-0j 0.000624101-0j -0.00030491-0j 0.000535897-0j 
4.48478e-05-0j -0.000190929-0j 3.79112e-05-0j 0.000398901-0j 3.4608e-05-0j -0.000167063-0j -0.000111375-0j -0.000313819-0j 2.47252e-05-0j 0.000367918-0j -6.89099e-05-0j -0.00027045-0j -0.000224203-0j 0.00039424-0j -1.8833e-05-0j 
